Merge ID	Masuda_et_al_Supple_rev2009(5)F	OurStudy	# Identified
	1570	1729	Novel: 341
P0AE52	1	1	2	A;9
P0AE58	0	0	0	A
P0AE60	0	0	0	A
P0AE74	0	0	0	B
P0AE76	0	0	0	A
P0AE78	1	1	2	A;2,59
P0AE82	1	1	2	B;4,88
P0AE91	1	1	2	G;0,87
P0AE95	0	0	0	G
P0AEA2	0	0	0	I
P0AEA5	0	0	0	B
P0AEA8	0	1	1	A
P0AEB2	1	1	2	F2;8,12;16,38
P0AEB5	1	1	2	B;0,52
P0AEB7	1	1	2	A;3,64
P0AEC0	1	1	2	B;0,64
P0AEC3	1	1	2	B;0,66;7,45
P0AED0	1	1	2	F1;30,62;9
P0AED7	1	0	1	A;0,27
P0AEE1	1	1	2	E;6,94;9
P0AEE8	0	1	1	A
P0AEF0	1	1	2	A;0,39
P0AEF4	0	1	1	A
P0AEF8	0	1	1	B
P0AEG6	1	1	2	G;0,47
P0AEH1	1	1	2	B;1,37
P0AEI1	1	1	2	A;9,83;0,37
P0AEI4	1	1	2	A_trl;1,47;0,64
P0AEI6	0	0	0	A
P0AEJ0	0	0	0	B
P0AEJ2	0	1	1	A
P0AEJ4	1	1	2	B;0,89
P0AEJ8	0	0	0	A
P0AEK0	0	1	1	A
P0AEK4	1	1	2	F1;99;7,38
P0AEK7	0	0	0	B
P0AEL0	1	1	2	B;1,68
P0AEL6	0	1	1	G
P0AEM0	1	0	1	A;2,16
P0AEN1	1	1	2	A;2,98;0,42;0,58
P0AEN8	0	1	1	A
P0AEP3	1	1	2	B;12,59;1,15
P0AEQ3	1	1	2	G;4,82
P0AER0	1	1	2	B;4,62
P0AER3	1	1	2	B;1,15
P0AER5	0	1	1	B
P0AES0	1	1	2	A;0,58;0,48
P0AES2	1	0	1	A;0,19
P0AES4	1	1	2	A;5,63;2,16
P0AES9	1	0	1	G;2,16
P0AET2	0	0	0	G
P0AET8	1	1	2	A;1,61
P0AEU0	1	1	2	G;1,15
P0AEV1	0	1	1	A
P0AEV4	0	0	0	A
P0AEV7	0	0	0	A
P0AEV9	0	0	0	A
P0AEW4	0	0	0	A
P0AEW6	1	1	2	A;1,61
P0AEX3	1	1	2	B;1,15
P0AEX5	0	0	0	A
P0AEX9	1	0	1	G;12,18
P0AEY1	0	0	0	B
P0AEY3	1	0	1	A;1
P0AEY5	1	1	2	B;2,51
P0AEY8	0	0	0	B
P0AEZ1	0	1	1	A
P0AEZ3	1	1	2	F1;14,01;18,68
P0AEZ7	0	0	0	I
P0AEZ9	1	1	2	A;4,01
P0AF03	1	1	2	A;1,51
P0AF06	0	0	0	B
P0AF08	1	1	2	A;7;1,05
P0AF10	0	0	0	A
P0AF12	1	1	2	A;9;9
P0AF18	1	1	2	A;0,78
P0AF20	1	1	2	B;0,17;0,37
P0AF24	1	1	2	A;2,51;0,87
P0AF26	1	0	1	A;0,64
P0AF28	1	1	2	A;11,92;1,78
P0AF34	0	0	0	B
P0AF40	0	0	0	B
P0AF48	0	0	0	A
P0AF50	0	0	0	A
P0AF56	0	0	0	G
P0AF63	0	1	1	A
P0AF67	1	1	2	A;1,68
P0AF70	1	1	2	I;16,78
P0AF76	0	0	0	A
P0AF80	0	0	0	B
P0AF82	0	0	0	G
P0AF93	1	1	2	A;12,34;0,78
P0AFA2	1	1	2	B;0,91
P0AFB1	1	1	2	I;0,36;10,66
P0AFB5	1	1	2	A;0,44;0,83
P0AFB8	1	1	2	A;2,29;4,74
P0AFC0	0	1	1	A
P0AFC3	1	1	2	B;3,64;45,42
P0AFC7	1	1	2	F1;4,41;4,41
P0AFD1	1	1	2	F1;12,89;0,93
P0AFD4	1	1	2	B;1,31;0,52
P0AFD6	1	1	2	F1;6;15,38
P0AFE8	0	1	1	B
P0AFF0	0	1	1	B
P0AFF2	1	1	2	B;2,16
P0AFF6	1	1	2	A;29,39;0,17
P0AFG0	1	1	2	A;11,12;2,83
P0AFG3	1	1	2	A;14,44;6,38
P0AFG6	1	1	2	A;30,62;27,48
P0AFG8	1	1	2	B;47,33;9,41
P0AFH8	0	1	1	G
P0AFI0	0	0	0	A
P0AFI2	1	1	2	F1;0,78;1,31
P0AFI5	1	0	1	G;0,25
P0AFI7	1	1	2	A;3,08;1,78
P0AFJ5	0	0	0	A
P0AFJ7	1	1	2	B;2,98;24,12
P0AFK0	1	1	2	A;6,74;2,03
P0AFK2	0	1	1	B
P0AFK4	1	1	2	B;0,78
P0AFK6	0	1	1	B
P0AFK9	1	1	2	G;1,15
P0AFL6	1	1	2	F1;0,22;0,22
P0AFL9	1	0	1	B;0,33
P0AFM2	0	1	1	G
P0AFP2	0	0	0	A
P0AFP6	1	1	2	A;2,16
P0AFP9	0	1	1	B
P0AFQ2	0	0	0	B
P0AFQ5	0	0	0	G
P0AFQ7	1	1	2	A;0,83
P0AFR0	0	0	0	A
P0AFR4	1	1	2	A;2,59;0,67
P0AFS3	0	0	0	A
P0AFS9	0	1	1	B
P0AFT5	0	1	1	A
P0AFU0	0	0	0	B
P0AFU4	0	1	1	A
P0AFU8	1	1	2	A;3,64
P0AFV0	0	0	0	B
P0AFV2	0	0	0	B
P0AFV4	0	0	0	I
P0AFW0	0	1	1	A
P0AFW4	1	0	1	A;2,16
P0AFW8	0	0	0	A
P0AFX0	0	1	1	A
P0AFX4	0	1	1	A
P0AFX9	1	1	2	G;0,31
P0AFY2	1	1	2	B;1,42
P0AFY6	1	1	2	B;1
P0AFY8	1	1	2	F1;11,59
P0AFZ1	1	0	1	A;1,78
P0AFZ3	1	1	2	A;2,73
P0AFZ7	0	1	1	B
P0AG00	1	1	2	B;0,78;7
P0AG03	1	0	1	A;0,52
P0AG07	1	1	2	A;4,88
P0AG16	1	0	1	A;0,86;0,56
P0AG24	1	1	2	A;0,33;0,19
P0AG27	1	1	2	B;18,31;70,97
P0AG30	1	1	2	A;33,33;9,86
P0AG40	1	1	2	A;0,67;1,78
P0AG44	1	1	2	A_trl;15,68;20,54
P0AG55	1	1	2	A_trl;42,29;9
P0AG59	1	1	2	A_trl;50,79;2,73
P0AG63	1	1	2	A_trl;99;99
P0AG71	1	1	2	B;2,79
P0AG76	0	0	0	A
P0AG78	0	0	0	G
P0AG80	0	1	1	G
P0AG82	0	1	1	G
P0AG84	0	1	1	A
P0AG86	1	1	2	F1;62;2,98
P0AG90	1	1	2	B;2,73;21,02
P0AG93	1	1	2	B;1,78;11,92
P0AG99	1	1	2	B;9;315,23
P0AGA2	1	1	2	B;4,88;7,38
P0AGA6	0	1	1	A
P0AGB0	1	1	2	B;0,27
P0AGB3	0	0	0	A
P0AGB6	0	1	1	F1
P0AGC0	0	0	0	B
P0AGC3	1	1	2	G;0
P0AGD1	0	1	1	G
P0AGD3	1	1	2	A;11,92
P0AGD7	1	1	2	F1;7,48;4,62
P0AGE0	0	1	1	A
P0AGE6	1	0	1	A;4,62
P0AGF2	1	0	1	A;0,87
P0AGF6	1	0	1	B;1;0,97
P0AGG0	1	1	2	A;0,58
P0AGG2	1	0	1	A;1,37
P0AGG4	1	1	2	A;0,67
P0AGG8	1	1	2	A;1,37;0,21
P0AGH3	0	1	1	B
P0AGH5	1	1	2	B;1,51
P0AGJ2	0	0	0	A
P0AGJ5	1	1	2	A;1,87;0,96
P0AGJ7	0	0	0	A
P0AGK8	1	1	2	A;4,34
P0AGL2	0	0	0	A
P0AGL5	0	0	0	A
P0AGL7	0	1	1	A
P0AGM0	0	0	0	B
P0AGM5	0	0	0	B
P0AGM7	1	0	1	B;1,15
P0AGM9	0	0	0	B
P0C037	0	0	0	A
P0C054	1	1	2	A;3,22;1,37
P0C058	0	1	1	A
P0C066	1	1	2	I;0,62
P0C093	1	1	2	A;1,61;0,78
P0C0K3	0	1	1	A
P0C0L2	1	0	1	A;0,78
P0C0L7	1	1	2	B;0,52;4,34
P0C0R7	1	1	2	A_trl;0,43
P0C0U4	0	1	1	A
P0C8K0	0	0	0	A
P0C960	1	1	2	I;4,34
P0CB39	1	1	2	B;0,53;5
P10121	1	1	2	F1;6,02;1,22
P10346	1	1	2	F1;3,92;33,55
P10378	0	0	0	F1
P10408	1	1	2	F1;5,17;2,67
P10423	0	0	0	F2
P10441	1	1	2	F1;0,45;0,74
P10442	0	1	1	A
P10443	1	1	2	A;0,17
P10905	0	0	0	B
P10906	0	1	1	B
P10907	0	1	1	F1
P11071	0	0	0	A
P11289	0	1	1	I
P11290	0	1	1	A
P11349	1	1	2	F1;1,41;0,31
P11350	1	1	2	B;0,93
P11446	0	1	1	A
P11447	0	1	1	A
P11454	0	0	0	F1
P11458	0	0	0	A
P11663	0	0	0	A
P11875	1	1	2	A;5;1,07
P11880	1	1	2	A;0,33;0,78
P12008	1	1	2	B;0,33
P12281	1	1	2	A;5,81;1,15
P12282	0	0	0	A
P12295	1	0	1	A;0,64
P12758	1	1	2	A;6,02;2,46
P12994	0	0	0	A
P12995	0	0	0	A
P12996	0	0	0	B
P12999	0	0	0	A
P13000	0	0	0	A
P13001	1	1	2	A;0,36
P13009	1	1	2	A;0,09
P13016	0	1	1	A
P13024	1	1	2	A;4,27
P13029	1	1	2	A;10;1,19
P13033	1	0	1	F1;0,83
P13039	0	0	0	A
P13518	1	1	2	B;0,18
P14081	1	1	2	A;0,68
P14294	1	1	2	A;0,11
P14376	1	1	2	B;0,35;2,73
P14407	1	0	1	A;0,13
P15034	1	1	2	A;7,19;0,65
P15038	1	1	2	A;0,09
P15042	1	1	2	A;0,28;0,16
P15067	0	0	0	A
P15254	1	1	2	A;0,79;0,43
P15288	1	1	2	A;21,91;0,45
P15639	1	1	2	A;7
P15640	1	0	1	A;0,78
P15723	0	0	0	A
P15770	1	1	2	A;1,03;1,42
P15877	1	1	2	B;13,38
P15977	1	1	2	A;0,78
P15993	1	1	2	B;1,68
P16095	1	1	2	B;2,55;0,78
P16384	0	1	1	A
P16430	0	0	0	B
P16431	1	0	1	B;0,13
P16432	0	0	0	A
P16433	0	0	0	A
P16456	1	1	2	A;11,74;1,64
P16525	0	1	1	A
P16528	0	1	1	A
P16659	1	1	2	A;17,96;0,67
P16676	0	1	1	F1
P16677	0	0	0	F1
P16678	0	0	0	F1
P16679	0	0	0	F1
P16682	0	0	0	G
P16684	0	1	1	A
P16685	0	0	0	A
P16686	0	0	0	A
P16687	0	0	0	A
P16689	0	0	0	A
P16691	0	0	0	A
P16700	0	1	1	G
P16703	0	0	0	A
P17109	1	0	1	A;0,19
P17115	1	1	2	A;1,64;0,62
P17334	0	0	0	B
P17410	0	0	0	A
P17411	0	0	0	A
P17443	1	1	2	F1;0,26;2,55
P17802	0	0	0	A
P17854	0	1	1	A
P17888	0	1	1	A
P17952	1	1	2	A;0,69;1,31
P17993	1	1	2	A;2,16;0,54
P18196	0	1	1	A
P18200	0	0	0	B
P18335	0	1	1	A
P18390	1	0	1	G;0,93
P18392	1	0	1	B;0,93
P18776	0	0	0	F2
P18843	1	1	2	A;4,08
P18956	0	0	0	G
P19318	0	0	0	F1
P19319	0	1	1	F1
P19323	1	0	1	A;0,12
P19624	0	1	1	A
P19931	0	0	0	A
P19932	0	0	0	A
P20083	1	1	2	A;0,87;2,76
P21151	1	1	2	A;1;0,31
P21156	0	0	0	A
P21165	1	1	2	A;5,19;0,47
P21169	0	0	0	A
P21170	1	1	2	A;6,94;2,41
P21177	1	1	2	A;0,19;0,26
P21179	1	1	2	A;0,53
P21338	0	1	1	G
P21345	1	1	2	B;0,52
P21369	0	0	0	A
P21499	1	1	2	A;1,09;0,51
P21503	0	0	0	B
P21517	0	0	0	A
P21599	1	1	2	A;13,07;2,03
P21645	1	0	1	A;1
P21693	0	0	0	A_trl
P21866	0	1	1	A
P21888	1	1	2	A;7;2,48
P21889	1	1	2	F1;9;0,57
P21893	1	1	2	B;0,23;0,23
P22106	1	1	2	A;0,41
P22256	1	1	2	A;1,68
P22259	1	1	2	A;49,12;1,33
P22333	1	1	2	A;4,27;3,08
P22523	1	1	2	A;0,82;2,69
P22524	1	1	2	A;1,68
P22525	0	1	1	B
P22634	1	1	2	A;0,58;0,85
P22731	0	0	0	F1
P22787	0	0	0	A
P22939	1	1	2	A;2,16;2,16
P23003	1	0	1	A;1,23;1,72
P23256	0	0	0	B
P23331	1	0	1	A;0,39
P23367	0	1	1	A
P23522	1	0	1	A;0,47
P23524	0	0	0	B
P23538	1	1	2	A;8,52;3,57
P23721	1	1	2	A;3,81
P23830	1	1	2	F1;2,16;2,98
P23836	1	1	2	A;2,46;0,43
P23837	1	1	2	B;1
P23839	1	1	2	A;3,96;2,67
P23843	1	1	2	G;11,12
P23845	0	1	1	A
P23847	1	1	2	G;0,58
P23862	0	1	1	A
P23865	1	1	2	F2;2,16;0,64
P23871	0	1	1	A
P23872	0	0	0	A
P23878	0	1	1	F1
P23882	1	1	2	A;3,64
P23886	1	1	2	B;0,32;7,32
P23893	1	1	2	A;14,85;1,93
P23894	1	1	2	B;2,51;3,33
P23898	1	0	1	I;1,31
P23908	1	1	2	A;0,36
P23909	1	1	2	B;0,45;1,63
P23917	1	0	1	B;0,58
P23930	1	1	2	B;0,26;2,98
P24171	1	1	2	A;2,05;0,32
P24173	1	1	2	A;0,27
P24174	0	0	0	A
P24175	0	1	1	A
P24177	1	1	2	B;0,12
P24178	0	0	0	A
P24182	1	1	2	A;12,46;16,01;23,24;3
P24186	1	1	2	A;5,58
P24188	1	1	2	A;0,23
P24192	1	1	2	A;0,31
P24193	0	1	1	A
P24197	0	0	0	A
P24205	1	1	2	B;0,33;2,65
P24228	1	1	2	F2;0
P24230	0	1	1	A
P24232	1	1	2	A;1,98
P24238	0	0	0	A
P24252	0	0	0	A
P24554	1	1	2	A;0,19;0
P24555	0	0	0	A
P25437	1	1	2	A;1,58
P25519	1	1	2	A;0,98;1,56
P25522	1	1	2	F1;1,81;1,21
P25527	0	0	0	B
P25531	0	0	0	A
P25534	1	1	2	F1;0,33
P25535	1	1	2	B;1,82
P25536	0	0	0	A
P25539	1	1	2	A;0,21
P25550	0	0	0	A
P25665	0	1	1	A
P25714	1	1	2	B;3,83;6,85
P25718	0	0	0	G
P25728	0	0	0	A
P25737	1	1	2	B;4,99
P25738	0	0	0	A
P25743	0	0	0	B
P25745	1	0	1	A;1,78
P25746	1	1	2	F1;1,15;2,16
P25748	0	0	0	A
P25772	0	0	0	A
P25888	1	1	2	A;0,27
P25889	0	0	0	A
P26365	1	1	2	G;0,21
P26458	0	0	0	B
P26459	0	0	0	B
P26616	1	1	2	A;14,62;0,95
P26647	1	1	2	F1;1,03;1,03
P26648	1	1	2	G;0,25
P27238	0	0	0	A
P27245	1	0	1	A;0,58
P27249	1	1	2	A;0,26;0,08
P27278	1	1	2	F1;0,27
P27294	0	1	1	A
P27296	0	0	0	A
P27297	0	0	0	G
P27298	1	1	2	A;3,56;0,25
P27302	1	1	2	A;20;2,69
P27305	1	0	1	A;0,29
P27306	1	1	2	A;13,25;7,38
P27431	0	1	1	A
P27550	1	1	2	A;0,93;0,58
P27828	1	1	2	A;0,82
P27829	1	0	1	H;0,41;0,41
P27830	1	0	1	A;0,25
P27833	1	1	2	A;0,78;0,26
P27836	1	1	2	A;2,87
P27838	0	0	0	A
P27844	0	0	0	B
P27848	1	1	2	A;1,58;1
P27862	0	1	1	A
P27896	1	1	2	B;0,17
P28224	1	1	2	I;4,18
P28248	1	1	2	A;1,78;0,67
P28249	1	1	2	B;3,33
P28305	0	1	1	A
P28306	1	1	2	B;1,37
P28634	0	0	0	A
P28635	1	1	2	E;14
P28638	0	0	0	A
P28696	0	0	0	G
P28861	0	1	1	A
P28903	1	1	2	A;0,85;0,29
P28904	1	1	2	A;16,43;1,81
P28905	0	0	0	A
P29012	1	0	1	A;0,55;0,39
P29013	0	1	1	A
P29018	1	1	2	B;0,28;1,91
P29208	1	1	2	A;0,31
P29217	1	1	2	B;1,15
P29680	1	1	2	A;0,47
P29744	0	0	0	F4
P29745	1	1	2	A;0,58
P30011	1	1	2	A;0,44
P30014	0	0	0	A
P30128	0	1	1	A
P30136	0	0	0	B
P30137	0	1	1	A
P30138	0	0	0	B
P30139	0	0	0	A
P30140	0	0	0	A
P30143	0	0	0	B
P30177	0	1	1	A
P30178	1	1	2	A;0,39
P30745	1	1	2	A;0,21
P30749	1	0	1	A;0,78
P30750	1	1	2	F1;0,62
P30843	0	1	1	A
P30844	1	1	2	B;0,73
P30845	0	1	1	B
P30847	1	1	2	B;1
P30850	1	1	2	A;5,38;1,75
P30859	1	1	2	G;0,33
P30863	1	0	1	A;1,05
P30864	0	1	1	B
P30866	0	0	0	A
P30870	0	1	1	A
P30871	1	1	2	A;1,42;1
P30958	1	1	2	A;0,58;0,28
P31069	1	1	2	B;1
P31119	1	1	2	B;1,74
P31120	1	1	2	A;9;2,43
P31125	0	0	0	B
P31129	0	0	0	A
P31133	0	0	0	G
P31134	0	0	0	F1
P31142	1	1	2	A;4,41;1,15
P31433	1	1	2	B;1,51
P31435	0	0	0	B
P31440	0	0	0	B
P31443	0	0	0	A
P31455	0	0	0	A
P31462	0	0	0	B
P31466	0	0	0	B
P31474	0	0	0	B
P31475	1	1	2	A;2,16;1,37
P31545	0	1	1	G
P31551	0	0	0	A
P31552	0	0	0	A
P31553	0	0	0	B
P31554	1	1	2	H;2,86;21,28
P31658	1	0	1	A;1
P31663	1	1	2	A;3,47
P31666	0	0	0	G
P31677	1	1	2	A;0,19
P31678	0	1	1	A
P31679	0	0	0	B
P31802	1	1	2	A;2,51
P31808	1	1	2	A;0,58
P31979	1	1	2	F1;4,38;14,57
P32055	1	0	1	A;0,36
P32056	0	0	0	A
P32057	0	0	0	B
P32099	0	1	1	A
P32108	0	0	0	B
P32125	0	0	0	B
P32129	0	0	0	B
P32131	1	1	2	A;0,71;0,47
P32132	1	1	2	A;12;4,95
P32156	0	0	0	A
P32157	0	0	0	A
P32160	0	1	1	G
P32162	0	0	0	A
P32166	0	1	1	B
P32169	0	0	0	A
P32170	0	0	0	A
P32171	0	0	0	A
P32173	0	1	1	A
P32177	0	0	0	A
P32662	1	0	1	A;1,51
P32664	1	1	2	A;0,33
P32669	0	0	0	A
P32670	0	0	0	F1
P32674	0	0	0	A
P32675	0	0	0	A
P32676	0	0	0	F1
P32677	0	0	0	A
P32680	1	0	1	A;3,33;0,52
P32681	1	1	2	I;0,47
P32684	1	1	2	A_trl;0,26
P32687	0	0	0	I
P32689	0	0	0	E
P32695	1	1	2	A;1,15;0,33
P32700	0	0	0	B
P32712	0	0	0	I
P32714	0	0	0	I
P32715	0	0	0	B
P33011	0	1	1	B
P33012	0	0	0	A
P33018	0	0	0	A
P33022	0	0	0	A
P33024	0	0	0	B
P33136	1	1	2	G;4,84;0,26
P33195	1	1	2	A;4,96;1,12
P33219	0	0	0	X
P33224	0	0	0	A
P33225	0	0	0	G
P33226	0	0	0	B
P33232	1	1	2	B;13,68;67,13
P33235	0	0	0	F4
P33355	1	1	2	A;0,52
P33358	0	1	1	B
P33360	0	0	0	F1
P33362	0	1	1	G
P33363	1	1	2	G;0,49
P33368	0	0	0	A
P33371	0	0	0	A
P33554	0	0	0	G
P33570	0	1	1	A
P33590	0	0	0	G
P33591	0	0	0	B
P33593	1	0	1	F1;0,39
P33594	0	0	0	F1
P33596	0	0	0	A
P33599	1	1	2	F1;13,53;17,63
P33602	1	1	2	F1;8,57;8,17
P33607	1	1	2	B;1
P33643	1	0	1	A_trl;0,93;1,15
P33644	0	0	0	A
P33650	1	1	2	B;3,39
P33915	1	0	1	B;0,43
P33916	0	1	1	F1
P33919	0	0	0	A
P33920	1	1	2	A;5,95;0,27
P33927	1	1	2	B;1,42
P33934	0	0	0	B
P33937	0	0	0	G
P33940	1	1	2	B;0,64;2,73
P34209	1	1	2	A;0,58
P34749	0	1	1	H
P35340	1	1	2	A;10;0,47
P36547	0	0	0	A
P36548	0	1	1	G
P36553	0	0	0	A
P36562	0	0	0	A
P36566	1	0	1	A;1,03;0,43
P36645	0	0	0	A
P36647	0	0	0	B
P36659	1	1	2	A;0,58
P36662	0	0	0	A
P36672	1	1	2	B;236,14;41,17
P36673	0	1	1	A
P36680	1	1	2	A;1,68;1,68
P36683	1	1	2	A;33,55;7,01
P36767	1	1	2	A;2,16;1
P36771	1	1	2	A;0,36
P36837	0	0	0	B
P36879	1	1	2	F1;1,99
P36881	0	0	0	F1
P36928	1	1	2	A;0,37
P36929	1	1	2	B;0,82;1,02
P36938	0	1	1	A
P36979	1	1	2	A_trl;1,15;1,61
P36999	1	1	2	A_trl;0,33
P37013	0	0	0	A
P37024	1	1	2	A;0
P37025	0	1	1	A
P37028	0	1	1	G
P37047	0	0	0	A
P37051	1	1	2	A;1,74
P37095	1	1	2	A;18,05;2,98
P37127	0	0	0	A
P37128	0	1	1	A
P37146	0	0	0	B
P37177	0	1	1	F1
P37180	0	0	0	B
P37182	0	1	1	A
P37194	1	1	2	I;2,59;4,99
P37195	0	0	0	A
P37306	0	0	0	A
P37313	0	1	1	F1
P37338	0	1	1	A
P37339	1	1	2	B;0,18
P37340	0	1	1	B
P37344	0	1	1	A
P37348	0	0	0	A
P37353	0	0	0	A
P37355	0	0	0	A
P37387	0	0	0	G
P37440	1	1	2	A;3,87;0,78
P37590	0	0	0	A
P37595	0	0	0	A
P37596	0	0	0	A
P37610	0	0	0	A
P37619	0	0	0	B
P37623	0	0	0	A
P37624	1	1	2	B;1,86
P37631	0	0	0	B
P37634	1	1	2	A;1,07;0,27
P37636	1	0	1	E;2,59
P37637	1	0	1	B;0,29
P37640	0	0	0	A
P37641	0	1	1	B
P37642	0	1	1	B
P37646	0	0	0	A
P37647	1	0	1	A;1,68
P37648	1	1	2	G;0,68
P37649	1	1	2	B;1,05
P37651	1	1	2	G;0,16
P37652	1	1	2	B;0,48
P37660	0	0	0	B
P37661	0	0	0	B
P37664	0	0	0	A
P37666	1	1	2	A;9
P37686	0	0	0	A
P37689	1	1	2	A;4,18
P37690	0	1	1	G
P37691	0	1	1	G
P37692	1	1	2	A;0,72
P37758	0	0	0	B
P37765	1	1	2	A_trl;6,08;5,31
P37767	0	1	1	B
P37773	1	1	2	A;5,45;1,15
P37794	0	0	0	A
P37903	1	1	2	A;12,34;0,78
P37908	1	1	2	B;1,25
P38038	0	1	1	A
P38051	1	0	1	A;0,17
P38054	0	0	0	B
P38055	0	0	0	B
P38135	0	0	0	F1
P38489	1	1	2	A;55,23
P38506	0	1	1	B
P38521	1	0	1	A;4,18
P38683	0	0	0	G
P38684	0	1	1	A
P39163	0	1	1	A
P39165	0	0	0	G
P39173	1	1	2	A;7,48
P39176	0	1	1	G
P39177	1	1	2	A;55,23
P39187	0	1	1	G
P39199	1	1	2	A;7,25
P39206	0	0	0	A
P39267	0	0	0	A
P39276	0	0	0	B
P39279	0	0	0	A
P39285	1	1	2	B;1,47
P39286	0	1	1	A
P39288	0	0	0	A
P39293	0	0	0	A
P39298	0	0	0	A
P39300	0	1	1	A
P39301	0	0	0	B
P39304	0	0	0	A
P39305	0	0	0	A
P39306	0	0	0	A
P39314	0	0	0	B
P39315	0	0	0	A
P39321	1	1	2	B;1,09
P39325	0	1	1	G
P39337	0	1	1	A
P39342	1	1	2	B;0;0,39
P39404	0	0	0	A
P39405	0	0	0	F1
P39406	1	1	2	A_trl;2,55;2,55
P39407	1	1	2	A;0,27
P39408	0	0	0	A
P39409	0	0	0	A
P39411	0	1	1	A
P39452	0	1	1	A
P39453	0	0	0	B
P39829	1	0	1	A;1,47
P39831	1	1	2	A;7,25
P39836	0	0	0	B
P39902	0	0	0	A
P40191	1	0	1	A;1,15
P40710	1	1	2	I;7,38
P40711	0	0	0	A
P40719	1	1	2	B;0,21
P40874	1	0	1	B;0,52
P41052	1	1	2	I;0,54;2,16
P41409	1	0	1	A;6,74
P42588	0	0	0	G
P42590	0	0	0	B
P42591	0	0	0	G
P42592	0	0	0	G
P42593	0	1	1	A
P42596	1	1	2	A_trl;0,26
P42598	0	0	0	B
P42599	1	0	1	A;1,28;0,39
P42601	0	1	1	B
P42603	0	0	0	B
P42604	0	0	0	B
P42616	0	0	0	G
P42624	0	0	0	A
P42632	1	1	2	A;0;0
P42640	0	0	0	B
P42904	0	1	1	A
P42907	0	0	0	A
P42911	0	0	0	B
P43329	1	1	2	A;0,26
P43337	0	1	1	B
P43341	1	1	2	F1;0,64
P43531	0	0	0	B
P43533	0	0	0	A
P43667	0	0	0	B
P43671	1	1	2	B;0,23;8,35
P43674	0	0	0	I
P45395	1	0	1	B;1,25
P45463	0	0	0	B
P45465	0	0	0	A
P45468	0	0	0	B
P45469	1	1	2	A;0,58
P45472	0	0	0	A
P45475	0	0	0	A
P45524	0	1	1	A
P45527	0	0	0	A
P45537	1	1	2	B;0,68
P45565	0	1	1	G
P45577	1	1	2	A;10,45;1
P45578	1	1	2	A;13,68;1,15
P45579	0	0	0	A
P45748	1	1	2	A_trl;0,58;0,58
P45751	0	0	0	B
P45753	0	0	0	G
P45767	0	0	0	B
P45768	0	0	0	B
P45769	0	0	0	F1
P45771	0	0	0	A
P45799	0	1	1	A
P45800	1	1	2	B;1,28
P46022	1	1	2	B;0,43
P46118	1	1	2	B;0,72;0,97
P46126	0	0	0	E
P46130	1	1	2	I;1,51;6,36
P46136	0	0	0	B
P46139	0	0	0	B
P46141	0	0	0	B
P46142	0	0	0	G
P46478	0	0	0	B
P46482	1	1	2	B;0,36
P46837	1	1	2	A;1,73;1,51
P46850	0	0	0	A
P46852	0	0	0	A
P46853	1	1	2	A;1,51
P46859	0	1	1	A
P46888	0	1	1	A
P46889	1	1	2	B;0
P46890	0	0	0	A
P46891	0	0	0	A
P50456	0	1	1	F1
P50465	0	1	1	A
P50466	0	0	0	B
P51024	1	1	2	A;0,47
P51025	0	1	1	A
P51981	0	0	0	B
P52005	0	0	0	B
P52007	1	1	2	A;0,58;0,58
P52044	0	0	0	A
P52052	0	0	0	A
P52061	1	0	1	A;3,33;0,52
P52062	1	0	1	A;0,33
P52076	0	1	1	A
P52086	0	0	0	A
P52095	0	0	0	A
P52102	0	0	0	A
P52107	0	0	0	G
P52108	1	1	2	A;0,47
P52599	0	0	0	G
P52636	0	0	0	B
P52643	1	1	2	A;3,12
P52645	1	1	2	B;0,57
P52647	1	1	2	A;0,25;0,44
P54901	1	1	2	A;0,26
P55135	0	1	1	A_trl
P55138	0	0	0	A
P55798	0	0	0	A
P56256	0	0	0	A
P56262	0	1	1	A
P60061	0	0	0	B
P60293	1	1	2	A;0,22;1,06
P60340	1	0	1	A;1,24
P60390	1	1	2	A;0,39
P60422	1	1	2	A_trl;28,76;15,24
P60438	1	1	2	A_trl;24,81;24,81
P60472	1	0	1	A;0,93
P60546	1	1	2	A;2,83
P60560	1	1	2	B;28,76;3,83
P60566	0	0	0	A
P60584	0	0	0	A
P60595	0	1	1	A
P60624	1	1	2	A_trl;1.467
P60651	1	1	2	A;5,11;0,64
P60664	0	1	1	A
P60716	1	1	2	A;6,94;6,08
P60720	1	1	2	A;1,31
P60723	1	1	2	A_trl;64,79;22
P60752	1	1	2	B;0,91;12,34
P60757	1	1	2	A;0,37
P60778	0	0	0	B
P60782	0	0	0	B
P60785	1	1	2	F1;8,28;3,42
P60869	1	1	2	B;0,44;1,98
P60906	1	1	2	A_trl;3,05
P60932	0	1	1	B
P60955	1	1	2	B;0,78;1,37
P61175	1	1	2	A_trl;9.999;315,23
P61316	1	1	2	G;0,33;0,96
P61320	1	1	2	I;1,05;16,78
P61517	1	1	2	A;16,78;1,15
P61714	1	1	2	A;315,23;3,64
P61887	0	0	0	A
P61889	1	1	2	F1;86,99;4,99
P61949	1	1	2	A;18,31;0,93
P62395	0	0	0	G
P62517	1	1	2	B;1;6,02
P62601	0	0	0	A
P62615	0	0	0	A
P62620	1	1	2	A;2,46;2,46
