EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW		EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW	
EG11700	pnuC	ECK0740	P0AFK2	b0751	CG53409	g1786965	JW0734	2547	EB1651	aa	OK	239	Clockwise	782389	783108	16.86	Null	Putative NMN uptake	Nicotinamide mononucleotide transporter	Null	26996.25		EG11700	pnuC	ECK0740	P0AFK2	b0751	CG53409	g1786965	JW0734	2547	EB1651	aa	OK	239	Clockwise	782389	783108	16.86	Null	Putative NMN uptake	Nicotinamide mononucleotide transporter	Null	26996.25	
EG11706	yidK	ECK3670	P31448	b3679	Null	g1790113	JW3655	12026	EB1657	aa	OK	571	Counterclockwise	3856424	3858139	83.12	Null	Systematic nomenclature	Function unknown	Null	62084.97		EG11706	yidK	ECK3670	P31448	b3679	Null	g1790113	JW3655	12026	EB1657	aa	OK	571	Counterclockwise	3856424	3858139	83.12	Null	Systematic nomenclature	Function unknown	Null	62084.97	
EG11713	yidR	ECK3681	P31455	b3689	Null	g87082318	JW5860	12065	EB1664	aa	ALT_INIT[-12]	404	Counterclockwise	3866085	3867332	83.33	Null	Systematic nomenclature	Function unknown, DUF3748 family	YidR has an N-terminal DUF3748 domain and a C-terminal COG4946 (TolB-like) domain. 14/132 YidR peptide masses from MS analysis are consistent with the use of this start codon (Maillet, 2007).	46186.62		EG11713	yidR	ECK3681	P31455	b3689	Null	g87082318	JW5860	12065	EB1664	aa	ALT_INIT[-12]	404	Counterclockwise	3866085	3867332	83.33	Null	Systematic nomenclature	Function unknown, DUF3748 family	YidR has an N-terminal DUF3748 domain and a C-terminal COG4946 (TolB-like) domain. 14/132 YidR peptide masses from MS analysis are consistent with the use of this start codon (Maillet, 2007).	46186.62	
EG11714	cbrA	ECK3682	P31456	b3690	Null	g87082319	JW5631	12068	EB1665	aa	ALT_INIT[-7]	354	Clockwise	3867400	3868464	83.35	yidS	CreB-regulated	Function unknown, creBC regulon; induced by AI-2 pheromone	Null	40142.44		EG11714	cbrA	ECK3682	P31456	b3690	Null	g87082319	JW5631	12068	EB1665	aa	ALT_INIT[-7]	354	Clockwise	3867400	3868464	83.35	yidS	CreB-regulated	Function unknown, creBC regulon; induced by AI-2 pheromone	Null	40142.44	
EG11727	cbrC	ECK3710	P31469	b3717	Null	g1790153	JW3695	12158	EB1678	aa	OK	195	Clockwise	3896045	3896632	83.97	yieJ	CreB-regulated	Required for colicin E2 tolerance; UPF0167 family; predicted to have thiol-disulfide oxidoreductase activity of the glutaredoxin/thioredoxin family	A cbrC(yieJ) mutant is hypersensitive to colicin E2; overproduction of CbrC(YieJ) increases colicin E2 tolerance (Cariss, 2010).	22485.00		EG11727	cbrC	ECK3710	P31469	b3717	Null	g1790153	JW3695	12158	EB1678	aa	OK	195	Clockwise	3896045	3896632	83.97	yieJ	CreB-regulated	Required for colicin E2 tolerance; UPF0167 family; predicted to have thiol-disulfide oxidoreductase activity of the glutaredoxin/thioredoxin family	A cbrC(yieJ) mutant is hypersensitive to colicin E2; overproduction of CbrC(YieJ) increases colicin E2 tolerance (Cariss, 2010).	22485.00	
EG11728	yieK	ECK3711	P31470	b3718	Null	g48994958	JW5613	12160	EB1679	aa	OK	240	Counterclockwise	3896694	3897416	83.99	Null	Systematic nomenclature	Function unknown, bgl operon; glucosamine-6-phosphate isomerase homolog	yieK is co-expressed with the upstream bglGFBH operon	26279.16		EG11728	yieK	ECK3711	P31470	b3718	Null	g48994958	JW5613	12160	EB1679	aa	OK	240	Counterclockwise	3896694	3897416	83.99	Null	Systematic nomenclature	Function unknown, bgl operon; glucosamine-6-phosphate isomerase homolog	yieK is co-expressed with the upstream bglGFBH operon	26279.16	
EG11729	yieL	ECK3712	P31471	b3719	Null	g87082324	JW5612	12163	EB1680	aa	ALT_INIT[-11]	389	Counterclockwise	3897431	3898600	84.00	Null	Systematic nomenclature	Function unknown, bgl operon; endo-1,4-beta-xylanase homolog	yieL is co-expressed with the upstream bglGFBH operon. Related to peptidase S9 family; not in MEROPS, but it has homologs.	42754.79		EG11729	yieL	ECK3712	P31471	b3719	Null	g87082324	JW5612	12163	EB1680	aa	ALT_INIT[-11]	389	Counterclockwise	3897431	3898600	84.00	Null	Systematic nomenclature	Function unknown, bgl operon; endo-1,4-beta-xylanase homolog	yieL is co-expressed with the upstream bglGFBH operon. Related to peptidase S9 family; not in MEROPS, but it has homologs.	42754.79	
EG11730	viaA	ECK3739	P0ADN0	b3745	Null	g48994959	JW5610	12244	EB1681	aa	OK	483	Counterclockwise	3926175	3927626	84.62	yieD;yieM	VWA interacting with AAA+ ATPase	Stimulator of RavA ATPase activity	Stimulates RavA ATPase 2-fold in vitro. Contains a Von Willebrand Factor Type A (VWA) domain. In rpoS-regulated operon with ravA. Mutants have elevated OM vesiculation (McBroom, 2006).	55907.34		EG11730	viaA	ECK3739	P0ADN0	b3745	Null	g48994959	JW5610	12244	EB1681	aa	OK	483	Counterclockwise	3926175	3927626	84.62	yieD;yieM	VWA interacting with AAA+ ATPase	Stimulator of RavA ATPase activity	Stimulates RavA ATPase 2-fold in vitro. Contains a Von Willebrand Factor Type A (VWA) domain. In rpoS-regulated operon with ravA. Mutants have elevated OM vesiculation (McBroom, 2006).	55907.34	
EG11731	ravA	ECK3740	P31473	b3746	Null	g87082326	JW3725	12247	EB1682	aa	ALT_INIT[-8]	498	Counterclockwise	3927620	3929116	84.65	yieN	Regulatory ATPase Variant A	Hexameric AAA+ family ATPase, funtion unknown; ATPase stimulated by binding to CadA decamers	In rpoS-regulated operon with viaA. Cytoplasmic protein. 12/75 RavA(YieN) peptide masses from MS analysis confirm this start codon and indicate that the initial Met is removed (Maillet, 2007).	56388.78		EG11731	ravA	ECK3740	P31473	b3746	Null	g87082326	JW3725	12247	EB1682	aa	ALT_INIT[-8]	498	Counterclockwise	3927620	3929116	84.65	yieN	Regulatory ATPase Variant A	Hexameric AAA+ family ATPase, funtion unknown; ATPase stimulated by binding to CadA decamers	In rpoS-regulated operon with viaA. Cytoplasmic protein. 12/75 RavA(YieN) peptide masses from MS analysis confirm this start codon and indicate that the initial Met is removed (Maillet, 2007).	56388.78	
EG11739	nfrB	ECK0561	P0AFA5	b0569	CG31157	g1786781	JW0558	1942	EB1690	aa	OK	745	Counterclockwise	590164	592401	12.72	Null	N4 (phage) resistant	Phage N4 susceptibility; membrane protein	Null	85319.40		EG11739	nfrB	ECK0561	P0AFA5	b0569	CG31157	g1786781	JW0558	1942	EB1690	aa	OK	745	Counterclockwise	590164	592401	12.72	Null	N4 (phage) resistant	Phage N4 susceptibility; membrane protein	Null	85319.40	
EG11740	nfrA	ECK0560	P31600	b0568	CG31154	g1786780	JW0557	1939	EB1691	aa	OK	990	Counterclockwise	587205	590177	12.66	Null	N4 (phage) resistant	Bacteriophage N4 adsorption protein A, outer membrane protein; TPR repeat protein	First 27 aa are predicted to be a type I signal peptide.	111308.20		EG11740	nfrA	ECK0560	P31600	b0568	CG31154	g1786780	JW0557	1939	EB1691	aa	OK	990	Counterclockwise	587205	590177	12.66	Null	N4 (phage) resistant	Bacteriophage N4 adsorption protein A, outer membrane protein; TPR repeat protein	First 27 aa are predicted to be a type I signal peptide.	111308.20	
EG11748	yadD	ECK0131	P31665	b0132	Null	g1786324	JW5010	463	EB1698	aa	OK	300	Clockwise	146968	147870	3.17	Null	Systematic nomenclature	Putative transposase, function unknown	Although yadD was predicted to have a sigma 28 (FliA) promoter, it can not be transcribed in vitro with sigma 28 holoenzyme (Yu, 2006).	34606.77		EG11748	yadD	ECK0131	P31665	b0132	Null	g1786324	JW5010	463	EB1698	aa	OK	300	Clockwise	146968	147870	3.17	Null	Systematic nomenclature	Putative transposase, function unknown	Although yadD was predicted to have a sigma 28 (FliA) promoter, it can not be transcribed in vitro with sigma 28 holoenzyme (Yu, 2006).	34606.77	
EG11749	yadE	ECK0129	P31666	b0130	Null	g1786322	JW0126	457	EB1699	aa	OK	409	Clockwise	145081	146310	3.13	Null	Systematic nomenclature	Polysaccharide deacetylase-like protein, function unknown	YadE has a predicted 19 aa signal peptide.	46315.10		EG11749	yadE	ECK0129	P31666	b0130	Null	g1786322	JW0126	457	EB1699	aa	OK	409	Clockwise	145081	146310	3.13	Null	Systematic nomenclature	Polysaccharide deacetylase-like protein, function unknown	YadE has a predicted 19 aa signal peptide.	46315.10	
EG11750	yhgA	ECK3398	P31667	b3411	Null	g1789816	JW3374	11134	EB1700	aa	OK	292	Clockwise	3541189	3542067	76.32	Null	Systematic nomenclature	Putative transposase, function unknown	Null	33267.47		EG11750	yhgA	ECK3398	P31667	b3411	Null	g1789816	JW3374	11134	EB1700	aa	OK	292	Clockwise	3541189	3542067	76.32	Null	Systematic nomenclature	Putative transposase, function unknown	Null	33267.47	
EG11755	hchA	ECK1963	P31658	b1967	Null	g1788278	JW1950	6529	EB1705	aa	OK; Verified[1]	283	Clockwise	2033859	2034710	43.84	yedU;yzzC	Heat-inducible CHaperone	Aminopeptidase and molecular chaperone Hsp31, heat-inducible; chaperone activity is inhibited at high temperature by ATP; homodimeric	Important for the processing of 8-12mer peptides in vivo. HchA is an active site cysteine peptidase. Variously called C56 peptidase family, PfpI/HchA peptidase/chaperone family, DJ-1/PARK7 superfamily.	31190.46		EG11755	hchA	ECK1963	P31658	b1967	Null	g1788278	JW1950	6529	EB1705	aa	OK; Verified[1]	283	Clockwise	2033859	2034710	43.84	yedU;yzzC	Heat-inducible CHaperone	Aminopeptidase and molecular chaperone Hsp31, heat-inducible; chaperone activity is inhibited at high temperature by ATP; homodimeric	Important for the processing of 8-12mer peptides in vivo. HchA is an active site cysteine peptidase. Variously called C56 peptidase family, PfpI/HchA peptidase/chaperone family, DJ-1/PARK7 superfamily.	31190.46	
EG11765	yibI	ECK3587	P32108	b3598	Null	g1790025	JW3572	11754	EB1715	aa	OK	120	Counterclockwise	3769405	3769767	81.24	Null	Systematic nomenclature	Inner membrane protein, DUF3302 family, function unknown	Null	13866.10		EG11765	yibI	ECK3587	P32108	b3598	Null	g1790025	JW3572	11754	EB1715	aa	OK	120	Counterclockwise	3769405	3769767	81.24	Null	Systematic nomenclature	Inner membrane protein, DUF3302 family, function unknown	Null	13866.10	
EG11781	nrfA	ECK4063	P0ABK9	b4070	CG34336	g1790506	JW4031	13342	EB1729	aa	OK; Verified[26]	478	Clockwise	4285787	4287223	92.37	Null	Nitrite reductase, formate-dependent	Cytochrome c nitrite reductase, cytochrome c552, periplasmic; formate-dependent; required for NO synthesis	Null	53702.94		EG11781	nrfA	ECK4063	P0ABK9	b4070	CG34336	g1790506	JW4031	13342	EB1729	aa	OK; Verified[26]	478	Clockwise	4285787	4287223	92.37	Null	Nitrite reductase, formate-dependent	Cytochrome c nitrite reductase, cytochrome c552, periplasmic; formate-dependent; required for NO synthesis	Null	53702.94	
EG11785	yfiE	ECK2575	P33634	b2577	Null	g87082132	JW2561	8483	EB1733	aa	ALT_INIT[-15]	293	Counterclockwise	2712461	2713342	58.46	Null	Systematic nomenclature	LysR-family transcriptional regulator, function unknown	Null	33243.28		EG11785	yfiE	ECK2575	P33634	b2577	Null	g87082132	JW2561	8483	EB1733	aa	ALT_INIT[-15]	293	Counterclockwise	2712461	2713342	58.46	Null	Systematic nomenclature	LysR-family transcriptional regulator, function unknown	Null	33243.28	
EG11790	wcaI	ECK2044	P32057	b2050	Null	g1788363	JW2035	6794	EB1738	aa	OK	407	Counterclockwise	2122547	2123770	45.75	yefD	Systematic nomenclature	Putative colanic acid biosynthesis glycosyl transferase	Null	44913.96		EG11790	wcaI	ECK2044	P32057	b2050	Null	g1788363	JW2035	6794	EB1738	aa	OK	407	Counterclockwise	2122547	2123770	45.75	yefD	Systematic nomenclature	Putative colanic acid biosynthesis glycosyl transferase	Null	44913.96	
EG11791	cmtB	ECK2929	P69824	b2934	CG33365	g1789302	JW2901	9623	EB1739	aa	OK	147	Counterclockwise	3076909	3077352	66.32	tolM	Cryptic mannitol	Protein-N-phosphohistidine sugar P-transferase; enzyme III of PEP-PTS cryptic mannitol transport	Null	16046.23		EG11791	cmtB	ECK2929	P69824	b2934	CG33365	g1789302	JW2901	9623	EB1739	aa	OK	147	Counterclockwise	3076909	3077352	66.32	tolM	Cryptic mannitol	Protein-N-phosphohistidine sugar P-transferase; enzyme III of PEP-PTS cryptic mannitol transport	Null	16046.23	
EG11792	cmtA	ECK2928	P69826	b2933	CG33362	g1789301	JW2900	9621	EB1740	aa	OK	462	Counterclockwise	3075493	3076881	66.29	Null	Cryptic mannitol	Similar to mannitol phosphotransferase enzymes	Null	48971.02		EG11792	cmtA	ECK2928	P69826	b2933	CG33362	g1789301	JW2900	9621	EB1740	aa	OK	462	Counterclockwise	3075493	3076881	66.29	Null	Cryptic mannitol	Similar to mannitol phosphotransferase enzymes	Null	48971.02	
EG11796	lplA	ECK4378	P32099	b4386	CG33052	g1790846	JW4349	14385	EB1744	aa	OK; Verified[1]	338	Counterclockwise	4621124	4622140	99.60	slr;yjjF	Lipoate-protein ligase	Lipoate-protein ligase A; selenolipoate resistant	LplA first activates lipoic acid with ATP to form lipoyl-AMP.	37925.88		EG11796	lplA	ECK4378	P32099	b4386	CG33052	g1790846	JW4349	14385	EB1744	aa	OK; Verified[1]	338	Counterclockwise	4621124	4622140	99.60	slr;yjjF	Lipoate-protein ligase	Lipoate-protein ligase A; selenolipoate resistant	LplA first activates lipoic acid with ATP to form lipoyl-AMP.	37925.88	
EG11814	torA	ECK0988	P33225	b0997	CG17575	g1787231	JW0982	3372	EB1761	aa	OK; Verified[39]	848	Clockwise	1058479	1061025	22.81	Null	Trimethylamine oxide reductase	Molybdoprotein trimethylamine N-oxide reductase	Verified Tat substrate: TorA has a Tat/Sec (Class II) 39 aa signal peptide (Tullman-Ercek, 2007).	94455.94		EG11814	torA	ECK0988	P33225	b0997	CG17575	g1787231	JW0982	3372	EB1761	aa	OK; Verified[39]	848	Clockwise	1058479	1061025	22.81	Null	Trimethylamine oxide reductase	Molybdoprotein trimethylamine N-oxide reductase	Verified Tat substrate: TorA has a Tat/Sec (Class II) 39 aa signal peptide (Tullman-Ercek, 2007).	94455.94	
EG11815	torC	ECK0987	P33226	b0996	CG29977	g1787230	JW0981	3370	EB1762	aa	OK	390	Clockwise	1057307	1058479	22.79	Null	Trimethylamine oxide reductase	c-Type cytochrome	Null	43606.54		EG11815	torC	ECK0987	P33226	b0996	CG29977	g1787230	JW0981	3370	EB1762	aa	OK	390	Clockwise	1057307	1058479	22.79	Null	Trimethylamine oxide reductase	c-Type cytochrome	Null	43606.54	
EG11816	ispF	ECK2741	P62617	b2746	Null	g1789103	JW2716	9013	EB1763	aa	OK	159	Counterclockwise	2869323	2869802	61.84	ygbB	Isoprenoid	2-C-methyl-D-erythritol 2,4-cyclodiphosphate (MECP) synthase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; essential gene; trimeric	Null	16897.54		EG11816	ispF	ECK2741	P62617	b2746	Null	g1789103	JW2716	9013	EB1763	aa	OK	159	Counterclockwise	2869323	2869802	61.84	ygbB	Isoprenoid	2-C-methyl-D-erythritol 2,4-cyclodiphosphate (MECP) synthase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; essential gene; trimeric	Null	16897.54	
EG11819	purU	ECK1227	P37051	b1232	CG35231	g1787483	JW1220	4138	EB1766	aa	OK; Verified[0]	280	Counterclockwise	1287005	1287847	27.74	tgs;ychI	Purine	Formyltetrahydrofolate hydrolase; mutation causes transient glycine starvation	Null	31934.72		EG11819	purU	ECK1227	P37051	b1232	CG35231	g1787483	JW1220	4138	EB1766	aa	OK; Verified[0]	280	Counterclockwise	1287005	1287847	27.74	tgs;ychI	Purine	Formyltetrahydrofolate hydrolase; mutation causes transient glycine starvation	Null	31934.72	
EG11825	yddE	ECK1458	P37757	b1464	Null	g1787737	JW1459	4886	EB1772	aa	OK	297	Counterclockwise	1532989	1533882	33.04	Null	Systematic nomenclature	Conserved predicted enzyme, PhzC-PhzF family, function unknown	Structural Genomics target No. 87 (http://afmb.cnrs-mrs.fr/article171.html). 3/30 YddE peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	32318.80		EG11825	yddE	ECK1458	P37757	b1464	Null	g1787737	JW1459	4886	EB1772	aa	OK	297	Counterclockwise	1532989	1533882	33.04	Null	Systematic nomenclature	Conserved predicted enzyme, PhzC-PhzF family, function unknown	Structural Genomics target No. 87 (http://afmb.cnrs-mrs.fr/article171.html). 3/30 YddE peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	32318.80	
EG11827	rpiB	ECK4083	P37351	b4090	CG50228	g1790528	JW4051	13405	EB1774	aa	OK	149	Clockwise	4311373	4311822	92.92	alsB;alsI;yjcA	Ribose-P isomerase	Ribose-5-phosphate isomerase B; allose-6-phosphate isomerase	Null	16073.32		EG11827	rpiB	ECK4083	P37351	b4090	CG50228	g1790528	JW4051	13405	EB1774	aa	OK	149	Clockwise	4311373	4311822	92.92	alsB;alsI;yjcA	Ribose-P isomerase	Ribose-5-phosphate isomerase B; allose-6-phosphate isomerase	Null	16073.32	
EG11839	yihM	ECK3866	P32134	b3873	Null	g1790305	JW3844	12653	EB1785	aa	OK	326	Clockwise	4059188	4060168	87.49	Null	Systematic nomenclature	Predicted sugar phosphate isomerase, function unknown	Null	36941.83		EG11839	yihM	ECK3866	P32134	b3873	Null	g1790305	JW3844	12653	EB1785	aa	OK	326	Clockwise	4059188	4060168	87.49	Null	Systematic nomenclature	Predicted sugar phosphate isomerase, function unknown	Null	36941.83	
EG11840	yihN	ECK3867	P32135	b3874	Null	g1790306	JW3845	12656	EB1786	aa	OK	421	Clockwise	4060270	4061535	87.51	Null	Systematic nomenclature	Predicted transporter, inner membrane protein, function unknown	Probable false positive lipoprotein prediction, 10CM TMs, Cys not conserved. Major Facilitator Superfamily (MFS).	46335.28		EG11840	yihN	ECK3867	P32135	b3874	Null	g1790306	JW3845	12656	EB1786	aa	OK	421	Clockwise	4060270	4061535	87.51	Null	Systematic nomenclature	Predicted transporter, inner membrane protein, function unknown	Probable false positive lipoprotein prediction, 10CM TMs, Cys not conserved. Major Facilitator Superfamily (MFS).	46335.28	
EG11841	yihO	ECK3869	P32136	b3876	Null	g48994989	JW5852	12661	EB1787	aa	OK	467	Counterclockwise	4062386	4063789	87.56	Null	Systematic nomenclature	Putative transporter, function unknown	Major Facilitator Superfamily (MFS). yihO-U may be a sugar catabolism cluster/operon.	51574.15		EG11841	yihO	ECK3869	P32136	b3876	Null	g48994989	JW5852	12661	EB1787	aa	OK	467	Counterclockwise	4062386	4063789	87.56	Null	Systematic nomenclature	Putative transporter, function unknown	Major Facilitator Superfamily (MFS). yihO-U may be a sugar catabolism cluster/operon.	51574.15	
EG11842	yihP	ECK3870	P32137	b3877	Null	g2367322	JW3848	12664	EB1788	aa	OK	461	Counterclockwise	4063832	4065217	87.59	Null	Systematic nomenclature	Putative transporter, function unknown, membrane protein	Major Facilitator Superfamily (MFS). yihO-U may be a sugar catabolism cluster/operon.	50982.11		EG11842	yihP	ECK3870	P32137	b3877	Null	g2367322	JW3848	12664	EB1788	aa	OK	461	Counterclockwise	4063832	4065217	87.59	Null	Systematic nomenclature	Putative transporter, function unknown, membrane protein	Major Facilitator Superfamily (MFS). yihO-U may be a sugar catabolism cluster/operon.	50982.11	
EG11843	yihQ	ECK3871	P32138	b3878	Null	g2367323	JW3849	12666	EB1789	aa	OK	678	Counterclockwise	4065263	4067299	87.62	Null	Systematic nomenclature	alpha-Glucosidase	YihQ has hydrolysis activity against alpha-glucosyl fluoride. yihO-U may be a sugar catabolism cluster/operon.	77274.97		EG11843	yihQ	ECK3871	P32138	b3878	Null	g2367323	JW3849	12666	EB1789	aa	OK	678	Counterclockwise	4065263	4067299	87.62	Null	Systematic nomenclature	alpha-Glucosidase	YihQ has hydrolysis activity against alpha-glucosyl fluoride. yihO-U may be a sugar catabolism cluster/operon.	77274.97	
EG11844	yihR	ECK3872	P32139	b3879	Null	g1790311	JW3850	12669	EB1790	aa	OK	308	Counterclockwise	4067498	4068424	87.67	Null	Systematic nomenclature	Putative aldose-1-epimerase, function unknown; mutarotase family	galM, yphB and yihR are paralogs.	34009.92		EG11844	yihR	ECK3872	P32139	b3879	Null	g1790311	JW3850	12669	EB1790	aa	OK	308	Counterclockwise	4067498	4068424	87.67	Null	Systematic nomenclature	Putative aldose-1-epimerase, function unknown; mutarotase family	galM, yphB and yihR are paralogs.	34009.92	
EG11845	yihS	ECK3873	P32140	b3880	Null	g87082342	JW5569	12673	EB1791	aa	ALT_INIT[-5]	413	Counterclockwise	4068538	4069779	87.69	manC?	Systematic nomenclature	D-mannose isomerase; aldose-ketose isomerase inter-converting mannose, fructose and glucose; D-lyxose isomerase	YihS is a weak D-mannose isomerase and a role for YihQRS in mannan or mannuronan catabolism has been suggested (Itoh, 2008). YihS may be the weak D-mannose isomerase with D-lyxose isomerase activity involved in lyxose catabolism previously mapped as manC and purified (Stevens, 1976; Stevens, 1981), however the oligomeric forms and amino acid compositions differ. The YihS protein was overproduced using a pET vector to force translation initiation; although the protein sequence does not verify the start site, the start site prediction is very reliable and the protein sequencing confirms a prediction that the initial methionine is not clipped off (Itoh, 2008).	47432.63		EG11845	yihS	ECK3873	P32140	b3880	Null	g87082342	JW5569	12673	EB1791	aa	ALT_INIT[-5]	413	Counterclockwise	4068538	4069779	87.69	manC?	Systematic nomenclature	D-mannose isomerase; aldose-ketose isomerase inter-converting mannose, fructose and glucose; D-lyxose isomerase	YihS is a weak D-mannose isomerase and a role for YihQRS in mannan or mannuronan catabolism has been suggested (Itoh, 2008). YihS may be the weak D-mannose isomerase with D-lyxose isomerase activity involved in lyxose catabolism previously mapped as manC and purified (Stevens, 1976; Stevens, 1981), however the oligomeric forms and amino acid compositions differ. The YihS protein was overproduced using a pET vector to force translation initiation; although the protein sequence does not verify the start site, the start site prediction is very reliable and the protein sequencing confirms a prediction that the initial methionine is not clipped off (Itoh, 2008).	47432.63	
EG11846	yihT	ECK3874	P32141	b3881	Null	g1790314	JW3852	12675	EB1792	aa	OK	292	Counterclockwise	4069796	4070674	87.72	Null	Systematic nomenclature	Function unknown,  LacD sugar aldolase family	Null	31983.03		EG11846	yihT	ECK3874	P32141	b3881	Null	g1790314	JW3852	12675	EB1792	aa	OK	292	Counterclockwise	4069796	4070674	87.72	Null	Systematic nomenclature	Function unknown,  LacD sugar aldolase family	Null	31983.03	
EG11847	yihU	ECK3875	P0A9V8	b3882	Null	g1790315	JW3853	12678	EB1793	aa	OK	298	Counterclockwise	4070698	4071594	87.74	Null	Systematic nomenclature	gamma-Hydroxybutyrate dehydrogenase, NADH-dependent	Purified YihU reduces succinic semialdehyde to gamma-hydroxybutyrate in an NADH-dependent reaction and a yihU mutant is more sensitive to exogenous succinic semialdehyde (Saito, 2009). AFMB Structural Genomics target No. 49 (http://afmb.cnrs-mrs.fr/article171.html).	31158.14		EG11847	yihU	ECK3875	P0A9V8	b3882	Null	g1790315	JW3853	12678	EB1793	aa	OK	298	Counterclockwise	4070698	4071594	87.74	Null	Systematic nomenclature	gamma-Hydroxybutyrate dehydrogenase, NADH-dependent	Purified YihU reduces succinic semialdehyde to gamma-hydroxybutyrate in an NADH-dependent reaction and a yihU mutant is more sensitive to exogenous succinic semialdehyde (Saito, 2009). AFMB Structural Genomics target No. 49 (http://afmb.cnrs-mrs.fr/article171.html).	31158.14	
EG11848	yihV	ECK3876	P32143	b3883	Null	g87082343	JW5568	12681	EB1794	aa	ALT_INIT[-2]	298	Clockwise	4071762	4072658	87.76	Null	Systematic nomenclature	Predicted sugar kinase, function unknown	Null	31727.67		EG11848	yihV	ECK3876	P32143	b3883	Null	g87082343	JW5568	12681	EB1794	aa	ALT_INIT[-2]	298	Clockwise	4071762	4072658	87.76	Null	Systematic nomenclature	Predicted sugar kinase, function unknown	Null	31727.67	
EG11850	yihX	ECK3878	P0A8Y3	b3885	Null	g87082345	JW5566	12686	EB1796	aa	ALT_INIT[-7]	199	Clockwise	4073576	4074175	87.80	Null	Systematic nomenclature	alpha-D-Glucose-1-P phosphatase, anomer-specific; physiological role unknown; HAD4	HAD superfamily. Phosphatase activities, including with additional substrates fructose-1-P and acetyl phosphate, were demonstrated in vitro (Kuznetsova, 2005; Kuznetsova, 2006).	22731.80		EG11850	yihX	ECK3878	P0A8Y3	b3885	Null	g87082345	JW5566	12686	EB1796	aa	ALT_INIT[-7]	199	Clockwise	4073576	4074175	87.80	Null	Systematic nomenclature	alpha-D-Glucose-1-P phosphatase, anomer-specific; physiological role unknown; HAD4	HAD superfamily. Phosphatase activities, including with additional substrates fructose-1-P and acetyl phosphate, were demonstrated in vitro (Kuznetsova, 2005; Kuznetsova, 2006).	22731.80	
EG11855	yiiF	ECK3883	P0AFU6	b3890	Null	g87082347	JW5563	12700	EB1801	aa	ALT_INIT[-8]	72	Clockwise	4077774	4077992	87.89	Null	Systematic nomenclature	Function unknown; yiiE paralog	Null	8442.48		EG11855	yiiF	ECK3883	P0AFU6	b3890	Null	g87082347	JW5563	12700	EB1801	aa	ALT_INIT[-8]	72	Clockwise	4077774	4077992	87.89	Null	Systematic nomenclature	Function unknown; yiiE paralog	Null	8442.48	
EG11860	yiiG	ECK3889	P32151	b3896	Null	g1790330	JW3867	12718	EB1806	aa	OK	351	Clockwise	4085025	4086080	88.05	Null	Systematic nomenclature	Novel verified lipoprotein, function unknown	First 21 aa are a type II signal peptide. YiiG N-terminal domain is homologous to the N-terminal domain of many murein transglycosylases (KER, PSI-BLAST).	39294.34		EG11860	yiiG	ECK3889	P32151	b3896	Null	g1790330	JW3867	12718	EB1806	aa	OK	351	Clockwise	4085025	4086080	88.05	Null	Systematic nomenclature	Novel verified lipoprotein, function unknown	First 21 aa are a type II signal peptide. YiiG N-terminal domain is homologous to the N-terminal domain of many murein transglycosylases (KER, PSI-BLAST).	39294.34	
EG11861	frvR	ECK3890	P32152	b3897	Null	g1790331	JW3868	12720	EB1807	aa	OK	582	Counterclockwise	4086130	4087878	88.07	yiiH	Fructose	Putative frv operon regulator; contains a PTS EIIA domain	Null	65999.74		EG11861	frvR	ECK3890	P32152	b3897	Null	g1790331	JW3868	12720	EB1807	aa	OK	582	Counterclockwise	4086130	4087878	88.07	yiiH	Fructose	Putative frv operon regulator; contains a PTS EIIA domain	Null	65999.74	
EG11862	frvX	ECK3891	P32153	b3898	Null	g1790332	JW3869	12722	EB1808	aa	OK	356	Counterclockwise	4087878	4088948	88.11	yiiI	Fructose	Peptidase homolog, function unknown	ypdE, frvX and sgcX are paralogs. M42 family.	38733.42		EG11862	frvX	ECK3891	P32153	b3898	Null	g1790332	JW3869	12722	EB1808	aa	OK	356	Counterclockwise	4087878	4088948	88.11	yiiI	Fructose	Peptidase homolog, function unknown	ypdE, frvX and sgcX are paralogs. M42 family.	38733.42	
EG11863	frvB	ECK3892	P32154	b3899	Null	g87082348	JW5562	12725	EB1809	aa	ALT_INIT[-2]	483	Counterclockwise	4088938	4090389	88.13	yiiJ	Fructose	Predicted fructose-like PTS system enzyme IIBC	Null	51120.46		EG11863	frvB	ECK3892	P32154	b3899	Null	g87082348	JW5562	12725	EB1809	aa	ALT_INIT[-2]	483	Counterclockwise	4088938	4090389	88.13	yiiJ	Fructose	Predicted fructose-like PTS system enzyme IIBC	Null	51120.46	
