Deletion	Gene	Locus_Tag	Gene_Type	Left End	Right End	Strand
del-MD37	yegZ	b2083	pseudogene	2165626	2165844	-
del-MD37	yegR	b2085	CDS	2166013	2166330	-
del-MD37	yegS	b2086	CDS	2166736	2167635	+
del-MD37	gatR	b4498	pseudogene	2167717	2169757	-
del-MD37	insE-5	b2088	CDS	2168251	2168559	+
del-MD37	insF-5	b2089	CDS	2168556	2169422	+
del-MD37	gatD	b2091	CDS	2169857	2170897	-
del-MD37	gatC	b2092	CDS	2170945	2172300	-
del-MD37	gatB	b2093	CDS	2172304	2172588	-
del-MD37	gatA	b2094	CDS	2172619	2173071	-
del-MD37	gatZ	b2095	CDS	2173081	2174343	-
del-MD37	gatY	b2096	CDS	2174372	2175226	-
del-MD23	yejO	b2190	CDS	2284412	2286922	-
del-MD23	insH-8	b2192	CDS	2287087	2288103	-
del-MD7	intS	b2349	CDS	2464567	2465724	+
del-MD7	yfdG	b2350	CDS	2465877	2466239	+
del-MD7	yfdH	b2351	CDS	2466236	2467156	+
del-MD7	yfdI	b2352	CDS	2467153	2468484	+
del-MD7	tfaS	b2353	pseudogene	2468825	2469127	+
del-MD7	yfdK	b2354	CDS	2469099	2469539	-
del-MD7	yfdL	b2355	CDS	2469566	2470084	-
del-MD7	yfdM	b2356	CDS	2470134	2470409	-
del-MD7	yfdN	b2357	CDS	2470409	2470903	-
del-MD7	yfdO	b2358	CDS	2470900	2471268	-
del-MD7	yfdP	b2359	CDS	2471542	2471988	+
del-MD7	yfdQ	b2360	CDS	2472054	2472878	+
del-MD7	yfdR	b2361	CDS	2473006	2473542	+
del-MD7	yfdS	b2362	CDS	2473533	2473895	+
del-MD7	yfdT	b2363	CDS	2473895	2474200	+
del-MD7	ypdJ	b4545	CDS	2474116	2474256	+
del-MD15	yfeO	b2389	CDS	2507652	2508908	+
del-MD15	ypeC	b2390	CDS	2509023	2509349	+
del-MD15	mntH	b2392	CDS	2509490	2510728	-
del-MD15	nupC	b2393	CDS	2511064	2512266	+
del-MD15	insL-3	b2394	CDS	2512353	2513465	+
del-MD15	yfeA	b2395	CDS	2513665	2515854	-
del-MD3	intZ	b2442	CDS	2556793	2558088	+
del-MD3	yffL	b2443	CDS	2558279	2558920	+
del-MD3	yffM	b2444	CDS	2559390	2559635	+
del-MD3	yffN	b2445	CDS	2559632	2560015	+
del-MD3	yffO	b2446	CDS	2560133	2560549	+
del-MD3	yffP	b2447	CDS	2560546	2561139	+
del-MD3	yffQ	b2448	CDS	2561599	2561991	+
del-MD3	yffR	b2449	CDS	2562002	2562394	+
del-MD3	yffS	b2450	CDS	2562515	2563354	+
del-MD4	intA	b2622	CDS	2754181	2755422	+
del-MD4	yfjH	b2623	CDS	2755666	2756622	-
del-MD4	alpA	b2624	CDS	2756666	2756878	+
del-MD4	yfjI	b2625	CDS	2757007	2758416	+
del-MD4	yfjJ	b2626	CDS	2758569	2759195	+
del-MD4	yfjK	b2627	CDS	2759373	2761562	-
del-MD4	yfjL	b2628	CDS	2761559	2763175	-
del-MD4	yfjM	b2629	CDS	2763535	2763798	-
del-MD4	yfjN	b2630	CDS	2763940	2765013	+
del-MD4	yfjO	b2631	CDS	2765006	2765377	+
del-MD4	yfjP	b2632	CDS	2765732	2766595	+
del-MD4	yfjQ	b2633	CDS	2766687	2767508	+
del-MD4	yfjR	b2634	CDS	2767725	2768426	+
del-MD4	ypjK	b2635	CDS	2768467	2768703	+
del-MD4	yfjS	b2636	CDS	2768703	2769146	+
del-MD4	yfjT	b2637	CDS	2769170	2769637	+
del-MD4	yfjU	b2638	CDS	2769862	2770176	-
del-MD4	ypjL	b2639	CDS	2770189	2770707	-
del-MD4	yfjV	b2640	CDS	2770858	2771058	-
del-MD4	ypjM	b2641	pseudogene	2770998	2771180	-
del-MD4	yfjW	b2642	CDS	2771340	2773043	+
del-MD4	yfjX	b2643	CDS	2773941	2774399	+
del-MD4	yfjY	b2644	CDS	2774408	2774890	+
del-MD4	ypjJ	b4548	CDS	2774899	2775099	+
del-MD4	yfjZ	b2645	CDS	2775137	2775454	+
del-MD4	ypjF	b2646	CDS	2775475	2775804	+
del-MD4	ypjA	b2647	CDS	2776168	2780748	-
del-MD4	pinH	b2648	pseudogene	2781087	2781230	-
del-MD4	ypjB	b2649	CDS	2781660	2782451	-
del-MD4	ypjC	b2650	CDS	2782551	2783033	-
del-MD4	ileY	b2652	tRNA	2783784	2783859	-
del-MD4	ygaQ	b2654	CDS	2784419	2784751	+
del-MD4	ygaR	b4462	CDS	2784770	2785456	+
del-MD4	yqaC	b2657	pseudogene	2785664	2786260	+
del-MD4	yqaD	b2658	CDS	2786399	2786671	+
del-MD4	ygaT	b2659	CDS	2787007	2787984	+
del-MD4	ygaF	b2660	CDS	2788004	2789272	+
del-MD18	ygeL	b2856	CDS	2992959	2993114	-
del-MD18	ygeM	b2857	CDS	2993336	2993767	-
del-MD18	ygeN	b2858	pseudogene	2993770	2994042	-
del-MD18	ygeO	b2859	CDS	2993984	2994409	-
del-MD18	insD-4	b2860	CDS	2994394	2995299	-
del-MD18	insC-4	b2861	CDS	2995257	2995667	-
del-MD18	ygeP	b2862	CDS	2995711	2996010	-
del-MD18	ygeQ	b2863	CDS	2996056	2996850	-
del-MD42	endA	b2945	CDS	3088369	3089076	+
del-MD10	yghD	b2968	CDS	3108612	3109148	-
del-MD10	yghE	b2969	pseudogene	3109150	3110010	-
del-MD10	yghF	b2970	CDS	3110076	3110942	-
del-MD10	yghG	b2971	CDS	3111089	3111499	-
del-MD10	pppA	b2972	CDS	3111565	3112374	-
del-MD10	yghJ	b4466	CDS	3112572	3117134	-
del-MD10	glcA	b2975	CDS	3117619	3119301	-
del-MD10	glcB	b2976	CDS	3119656	3121827	-
del-MD10	glcG	b2977	CDS	3121849	3122253	-
del-MD10	glcF	b4467	CDS	3122258	3123481	-
del-MD10	glcE	b4468	CDS	3123492	3124544	-
del-MD10	glcD	b2979	CDS	3124544	3126043	-
del-MD10	glcC	b2980	CDS	3126294	3127058	+
del-MD10	yghO	b2981	CDS	3127065	3128237	-
del-MD10	insH-9	b2982	CDS	3128200	3129216	+
del-MD10	yghQ	b2983	CDS	3129363	3130430	-
del-MD10	yghR	b2984	CDS	3130476	3131234	-
del-MD10	yghS	b2985	CDS	3131266	3131979	-
del-MD10	yghT	b2986	CDS	3132153	3132845	+
del-MD10	pitB	b2987	CDS	3132894	3134393	-
del-MD19	yqiC	b3042	CDS	3182862	3183152	+
del-MD19	ygiL	b3043	CDS	3183436	3183987	+
del-MD19	insC-5	b3044	CDS	3184164	3184574	+
del-MD19	insD-5	b3045	CDS	3184532	3185437	+
del-MD19	yqiG	b3046	CDS	3185422	3187887	+
del-MD19	yqiH	b3047	CDS	3187903	3188652	+
del-MD19	yqiI	b3048	CDS	3188654	3189718	+
del-MD24	yhcA	b3215	CDS	3360134	3360808	+
del-MD24	yhcD	b3216	CDS	3360829	3363210	+
del-MD24	yhcE	b4569	pseudogene	3363207	3364951	+
del-MD24	insH-10	b3218	CDS	3363724	3364740	-
del-MD24	yhcF	b3219	CDS	3364948	3365664	+
del-MD6	gspA	b3323	CDS	3451951	3453420	-
del-MD6	gspC	b3324	CDS	3453600	3454415	+
del-MD6	gspD	b3325	CDS	3454399	3456351	+
del-MD6	gspE	b3326	CDS	3456361	3457842	+
del-MD6	gspF	b3327	CDS	3457839	3459035	+
del-MD6	gspG	b3328	CDS	3459045	3459482	+
del-MD6	gspH	b3329	CDS	3459490	3459999	+
del-MD6	gspI	b3330	CDS	3459996	3460373	+
del-MD6	gspJ	b3331	CDS	3460366	3460953	+
del-MD6	gspK	b3332	CDS	3460946	3461929	+
del-MD6	gspL	b3333	CDS	3461944	3463107	+
del-MD6	gspM	b3334	CDS	3463104	3463565	+
del-MD6	gspO	b3335	CDS	3463565	3464242	+
del-MD6	bfr	b3336	CDS	3464271	3464747	-
del-MD6	bfd	b3337	CDS	3464819	3465013	-
del-MD6	chiA	b3338	CDS	3465182	3467875	-
del-MD38	yhhY	b3441	CDS	3579161	3579649	+
del-MD38	yhhZ	b3442	CDS	3579886	3581064	+
del-MD38	yrhA	b3443	CDS	3581064	3581477	+
del-MD38	insA-6	b3444	CDS	3581506	3581781	+
del-MD38	insB-6	b3445	CDS	3581700	3582203	+
del-MD38	yrhB	b3446	CDS	3582782	3583066	+
del-MD33	rhsB	b3482	CDS	3617215	3621450	+
del-MD33	yhhH	b3483	CDS	3621422	3621805	+
del-MD33	yrhC	b4552	pseudogene	3621910	3622155	+
del-MD33	yhhI	b3484	CDS	3622401	3623537	+
del-MD25	yhiS	b3504	CDS	3649314	3650096	+
del-MD25	insH-11	b3505	CDS	3650205	3651221	-
del-MD39	insJ	b3557	CDS	3718703	3719224	+
del-MD39	insK	b3558	CDS	3719221	3720072	+
del-MD34	rhsA	b3593	CDS	3760206	3764339	+
del-MD34	yibA	b3594	CDS	3764360	3765202	+
del-MD34	yibJ	b3595	CDS	3765244	3765945	+
del-MD34	yibG	b3596	CDS	3766200	3766661	+
del-MD9	intB	b4271	CDS	4494773	4495963	+
del-MD9	insC-6	b4272	CDS	4496250	4496660	+
del-MD9	insD-6	b4273	CDS	4496618	4497523	+
del-MD9	yjgW	b4274	CDS	4497622	4497957	+
del-MD9	yjgX	b4575	pseudogene	4497700	4498814	-
del-MD9	yjgZ	b4277	CDS	4499283	4499612	+
del-MD9	insG	b4278	CDS	4500126	4501454	-
del-MD9	yjhB	b4279	CDS	4502081	4503298	+
del-MD9	yjhC	b4280	CDS	4503310	4504428	+
del-MD9	yjhD	b4281	pseudogene	4504649	4504879	-
del-MD9	yjhE	b4282	pseudogene	4504884	4505132	+
del-MD9	insN-2	b4283	CDS	4505220	4505486	+
del-MD9	insI-3	b4284	CDS	4505489	4506640	-
del-MD9	insM	b4561	pseudogene	4506597	4506965	-
del-MD9	insO-2	b4285	pseudogene	4506981	4507577	+
del-MD9	yjhW	b4562	pseudogene	4507574	4507816	+
del-MD9	yjhV	b4286	CDS	4507743	4508156	+
del-MD9	fecE	b4287	CDS	4508713	4509480	-
del-MD9	fecD	b4288	CDS	4509481	4510437	-
del-MD9	fecC	b4289	CDS	4510434	4511432	-
del-MD9	fecB	b4290	CDS	4511429	4512331	-
del-MD9	fecA	b4291	CDS	4512376	4514700	-
del-MD9	fecR	b4292	CDS	4514787	4515740	-
del-MD9	fecI	b4293	CDS	4515737	4516258	-
del-MD9	insA-7	b4294	CDS	4516550	4516825	+
del-MD9	insB-7	b4576	pseudogene	4516744	4517247	+
del-MD9	yjhU	b4295	CDS	4517361	4518347	-
del-MD9	yjhF	b4296	CDS	4518694	4520043	-
del-MD9	yjhG	b4297	CDS	4520150	4522117	-
del-MD9	yjhH	b4298	CDS	4522128	4523033	-
del-MD9	yjhI	b4299	CDS	4523038	4523826	-
del-MD9	sgcR	b4300	CDS	4524129	4524911	-
del-MD9	sgcE	b4301	CDS	4524928	4525560	-
del-MD9	sgcA	b4302	CDS	4525572	4526003	-
del-MD9	sgcQ	b4303	CDS	4526134	4526940	-
del-MD9	sgcC	b4304	CDS	4526953	4528266	-
del-MD9	sgcB	b4565	CDS	4528278	4528556	-
del-MD9	sgcX	b4305	CDS	4528553	4529674	-
del-MD9	yjhP	b4306	CDS	4530460	4531206	-
del-MD9	yjhQ	b4307	CDS	4531262	4531807	-
del-MD9	yjhX	b4566	CDS	4531819	4532076	-
del-MD9	yjhR	b4308	CDS	4533038	4534054	+
del-MD9	yjhS	b4309	CDS	4534637	4535617	-
del-MD9	yjhT	b4310	CDS	4535682	4536788	-
del-MD9	yjhA	b4311	CDS	4536808	4537524	-
del-MD9	fimB	b4312	CDS	4538980	4539582	+
del-MD9	fimE	b4313	CDS	4540060	4540656	+
del-MD9	fimA	b4314	CDS	4541138	4541686	+
del-MD9	fimI	b4315	CDS	4541751	4542290	+
del-MD9	fimC	b4316	CDS	4542327	4543052	+
del-MD9	fimD	b4317	CDS	4543119	4545755	+
del-MD9	fimF	b4318	CDS	4545765	4546295	+
del-MD9	fimG	b4319	CDS	4546308	4546811	+
del-MD9	fimH	b4320	CDS	4546831	4547733	+
del-MD29	yjiC	b4325	CDS	4553513	4554343	-
del-MD29	yjiD	b4326	CDS	4555016	4555408	+
del-MD29	yjiE	b4327	CDS	4555401	4556312	-
del-MD29	iadA	b4328	CDS	4556377	4557549	-
del-MD29	yjiG	b4329	CDS	4557562	4558023	-
del-MD29	yjiH	b4330	CDS	4558020	4558703	-
del-MD29	kptA	b4331	CDS	4558953	4559507	+
del-MD29	yjiJ	b4332	CDS	4559520	4560698	-
del-MD29	yjiK	b4333	CDS	4560766	4561734	-
del-MD29	yjiL	b4334	CDS	4561945	4562712	-
del-MD29	yjiM	b4335	CDS	4562722	4563873	-
del-MD29	yjiN	b4336	CDS	4563989	4565269	-
del-MD29	yjiO	b4337	CDS	4565310	4566542	-
del-MD29	yjiP	b4338	pseudogene	4567021	4567332	+
del-MD29	yjiQ	b4339	CDS	4567381	4567941	+
del-MD29	yjiR	b4340	CDS	4568185	4569597	-
del-MD29	yjiS	b4341	CDS	4569774	4569938	+
del-MD29	yjiT	b4342	CDS	4570437	4571954	+
del-MD29	yjiV	b4486	pseudogene	4572158	4574878	+
del-MD29	mcrC	b4345	CDS	4574935	4575981	-
del-MD29	mcrB	b4346	CDS	4575981	4577360	-
del-MD29	yjiW	b4347	CDS	4577522	4577920	-
del-MD29	hsdS	b4348	CDS	4578091	4579485	-
del-MD29	hsdM	b4349	CDS	4579482	4581071	-
del-MD29	hsdR	b4350	CDS	4581272	4584838	-
del-MD29	mrr	b4351	CDS	4584972	4585886	+
del-MD29	yjiA	b4352	CDS	4585932	4586888	-
del-MD29	yjiX	b4353	CDS	4586899	4587102	-
del-MD29	yjiY	b4354	CDS	4587152	4589302	-
del-MD29	tsr	b4355	CDS	4589680	4591335	+
del-MD29	yjiZ	b4356	CDS	4591384	4592745	-
del-MD29	yjjM	b4357	CDS	4592960	4593874	-
del-MD29	yjjN	b4358	CDS	4594013	4595035	+
