Entry name (Uniprot)	Accession (UNIPROT)	Gene	Locus_Tag	Subcellular Location(this study)	Name of deletion Island (Posfai 2006)	Mobile Element	Mobile from paper	Pseudogene/Mobile Element Notes	Common Core	Deletion	Subcellular Location (UNIPROT)	Subcellular Location (EchoLOCATION)	1st Secr Sys	2nd Secr Sys	Uniprot Link	Total Length (aa)	Gene_Type	Left End	Right End	Strand	Comments/Annotation	Description (UNIPROT)
YAIO_ECOLI	Q47534	yaiO	b0358	G		0	0			del-MD16	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		Q47534	257	CDS	379293	380066	-		Uncharacterized protein yaiO
YAIX_ECOLI	P75697	yaiX	b4579	A		2	0	"pseudogene (Uniprot);Insertion Sequence"		del-MD16	"Membrane; Lipid-anchor. "	-			P75697	230	pseudogene	380068	382096	-		Putative uncharacterized acetyltransferase yaiX (EC 2.3.1.-)
INSC1_ECOLI	P0CF40	insC-1	b0360	A	MD16	2	2	"Insertion Sequence;Insertion Element ;Transposase"		del-MD16		Cytoplasmic			P0CF40	121	CDS	380530	380940	+	new id	Transposase insC for insertion element IS2A
INSD1_ECOLI	P0CF53	insD-1	b0361	A	MD16	2	2	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD16	Secreted. Bacterial flagellum. 	Cytoplasmic			P0CF53	301	CDS	380898	381803	+	new id	Transposase insD for insertion element IS2A
YAIP_ECOLI	Q47536	yaiP	b0363	B	MD16	0	2			del-MD16		Periplasmic	SEC		Q47536	398	CDS	381963	383159	-		Uncharacterized protein ykfM
YAIS_ECOLI	P71311	yaiS	b0364	A	MD16	0	2			del-MD16	Cell outer membrane. 	Outer Membrane &#223-barrel protein			P71311	185	CDS	383283	383840	-		Phenylalanyl--tRNA ligase operon leader peptide (PheST attenuator peptide)
TAUA_ECOLI	Q47537	tauA	b0365	G	MD16	0	2			del-MD16	Cytoplasm. 	Cytoplasmic	SEC		Q47537	320	CDS	384456	385418	+		Taurine-binding periplasmic protein (Sulfate starvation-induced protein 1) (SSI1)
TAUB_ECOLI	Q47538	tauB	b0366	F1	MD16	0	2			del-MD16	Cytoplasm. 	Cytoplasmic			Q47538	255	CDS	385431	386198	+		Taurine import ATP-binding protein TauB (EC 3.6.3.36)
TAUC_ECOLI	Q47539	tauC	b0367	B	MD16	0	2			del-MD16	"Cell inner membrane; Single-pass type I membrane protein. "	Periplasmic with N-terminal membrane anchor >EXP<	SEC		Q47539	275	CDS	386195	387022	+		Taurine transport system permease protein tauC
TAUD_ECOLI	P37610	tauD	b0368	A	MD16	0	2		Common Core	del-MD16		Cytoplasmic			P37610	283	CDS	387019	387870	+		Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) (2-aminoethanesulfonate dioxygenase) (Sulfate starvation-induced protein 3) (SSI3)
YAIT_ECOLI	P77199	yaiT	b4580	H		2	0	pseudogene (Uniprot) 		del-MD17		Cytoplasmic	SEC	T5S	P77199	968	pseudogene	389475	393642		autotransporter	Putative uncharacterized protein yaiT
INSF2_ECOLI	P0CF80	insF-2	b0372	A	MD17	2	2	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"		del-MD17	"Cell outer membrane; Multi-pass membrane protein. "	Outer Membrane &#223-barrel protein >EXP<			P0CF80	288	CDS	390963	391829	-	new id	Transposase insF for insertion sequence IS3B
INSE2_ECOLI	P0CF67	insE-2	b0373	A	MD17	2	2	"Insertion Sequence;Transposase"		del-MD17	"Cell inner membrane; Single-pass membrane protein. "	Membrane anchored			P0CF67	99	CDS	391826	392134	-	new id	Transposase insE for insertion sequence IS3B
YAIV_ECOLI	P0AAP5	yaiV	b0375	A	MD17	0	2			del-MD17	Cytoplasm. 	Cytoplasmic			P0AAP5	207	CDS	393685	394353	+		Uncharacterized protein yaiV
AMPH_ECOLI	P0AD70	ampH	b0376	G	MD17	0	2		Common Core	del-MD17		Cytoplasmic	SEC		P0AD70	385	CDS	394354	395511	-		Penicillin-binding protein AmpH
SBMA_ECOLI	P0AFY6	sbmA	b0377	B	MD17	0	2		Common Core	del-MD17		-	SEC		P0AFY6	406	CDS	395863	397083	+		Protein sbmA
YAIW_ECOLI	P77562	yaiW	b0378	I	MD17	0	2			del-MD17		-	SEC	LOL	P77562	364	CDS	397096	398190	+		Uncharacterized protein yaiW
YAIY_ECOLI	P0AAP7	yaiY	b0379	B	MD17	0	2		Common Core	del-MD17		Cytoplasmic	SEC		P0AAP7	102	CDS	398249	398557	-		Inner membrane protein yaiY
YAIZ_ECOLI	P0AAQ0	yaiZ	b0380	B	MD17	0	2		Common Core	del-MD17	Cytoplasm. 	Cytoplasmic	SEC		P0AAQ0	70	CDS	398817	399029	+		Uncharacterized protein yaiZ
RHSD_ECOLI	P16919	rhsD	b0497	A	MD30	2	2	Rhs Element		del-MD30		-			P16919	1426	CDS	522485	526765	+		Protein rhsD
YBBC_ECOLI	P33668	ybbC	b0498	I	MD30	0	2			del-MD30	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC	LOL	P33668	122	CDS	526805	527173	+		Uncharacterized protein ybbC
YLBH_ECOLI	P77759	ylbH	b0499	A		2	0	"pseudogene (Uniprot);Rhs Element"		del-MD30		-			P77759	236	CDS	527173	527883	+		Putative uncharacterized protein ylbH
YBBD_ECOLI	P33669	ybbD	b0500	B		2	0	pseudogene (Uniprot) 		del-MD30	"Cell inner membrane; Multi-pass membrane protein. "	Cytoplasmic	SEC		P33669	86	CDS	527864	528124	+		Putative uncharacterized protein ybbD
YLBG_ECOLI	P77688	ylbG	b0502	A		2	0	pseudogene (Uniprot)		del-MD30		Cytoplasmic			P77688	123	CDS	528869	529240	-		Putative uncharacterized protein ylbG
INTD_ECOLI	P24218	intD	b0537	A		2	0	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD12		-			P24218	387	CDS	564038	565201	-		Prophage DLP12 integrase (Prophage QSR' integrase)
YBCC_ECOLI	P75717	ybcC	b0539	A		2	0	pseudogene (Uniprot)		del-MD12		Cytoplasmic			P75717	87	CDS	565321	565584	-		Putative uncharacterized protein ybCC
YBCD_ECOLI	P77528	ybcD	b4508	A		2	0	pseudogene (Uniprot)		del-MD12	"Cell membrane; Multi-pass membrane protein. "	Cytoplasmic			P77528	78	pseudogene	565674	565910	+		Putative uncharacterized protein ybcD
INSE3_ECOLI	P0CF68	insE-3	b0540	A	MD12	2	2	"Insertion Sequence;Transposase"		del-MD12	Periplasm	Periplasmic >EXP<			P0CF68	99	CDS	566056	566364	+	new id	Transposase insE for insertion sequence IS3C
INSF3_ECOLI	P0CF81	insF-3	b0541	A	MD12	2	2	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"		del-MD12	Cytoplasmic	Cytoplasm. 			P0CF81	288	CDS	566361	567227	+	new id	Transposase insF for insertion sequence IS3C
REND_ECOLI	P75718	renD	b0542	A		2	0	pseudogene (Uniprot)		del-MD12		-			P75718	100	CDS	567285	567470	+		Putative defective protein ren from DLP12 prophage
EMRE_ECOLI	P23895	emrE	b0543	B	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-	SEC		P23895	110	CDS	567538	567870	+		Multidrug transporter emrE (Efflux-multidrug resistance protein emrE) (Ethidium resistance protein) (Methyl viologen resistance protein C)
YBCK_ECOLI	P77698	ybcK	b0544	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			P77698	508	CDS	568125	569651	+		Uncharacterized protein ybcK
YBCL_ECOLI	P77368	ybcL	b0545	G	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-	SEC		P77368	183	CDS	570116	570667	+		UPF0098 protein ybcL
YBCM_ECOLI	P77634	ybcM	b0546	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			P77634	265	CDS	570677	571474	+		Uncharacterized HTH-type transcriptional regulator ybcM
YBCN_ECOLI	Q47269	ybcN	b0547	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			Q47269	151	CDS	571689	572144	+		Uncharacterized protein ybcN in lambdoid DLP12 prophage region
NINE_ECOLI	Q47270	ninE	b0548	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12	"Cell inner membrane; Multi-pass membrane protein. "	-			Q47270	56	CDS	572144	572314	+		Protein ninE homolog from lambdoid prophage DLP12
YBCO_ECOLI	P68661	ybcO	b0549	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			P68661	96	CDS	572307	572597	+		82 prophage-derived uncharacterized protein ybcO
RUSA_ECOLI	P0AG74	rusA	b0550	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			P0AG74	120	CDS	572594	572956	+		Crossover junction endodeoxyribonuclease rusA (EC 3.1.22.4) (Holliday junction nuclease rusA) (Holliday junction resolvase)
YLCG_ECOLI	Q47272	ylcG	b4509	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			Q47272	46	CDS	572953	573093	+		Uncharacterized protein ylcG in lambdoid DLP12 prophage region
REQ1_ECOLI	Q47274	ybcQ	b0551	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			Q47274	127	CDS	573179	573562	+		Antitermination protein Q homolog from lambdoid prophage DLP12
INSH2_ECOLI	P0CE50	insH-2	b0552	A	MD12	2	2	"Insertion Sequence;Transposase"		del-MD12		Cytoplasmic			P0CE50	338	CDS	573960	574976	-	new id	Transposase insH for insertion sequence element IS5B
NMPC_ECOLI	P21420	nmpC	b0553	H		2	0	pseudogene (Uniprot) 		del-MD12	"Cell membrane; Multi-pass membrane protein. "	Cytoplasmic	SEC	BAM	P21420	365	pseudogene	574981	576108	-		Putative outer membrane porin protein nmpC
ESSD_ECOLI	P0A9R2	essD	b0554	B	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-	SEC		P0A9R2	71	CDS	576621	576836	+		Lysis protein S homolog from lambdoid prophage DLP12
LYSD_ECOLI	P78285	ybcS	b0555	G	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-	SEC		P78285	165	CDS	576836	577333	+		Probable lysozyme from lambdoid prophage DLP12 (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase)
RZPD_ECOLI	P75719	rzpD	b0556	G	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-	SEC		P75719	153	CDS	577330	577791	+		Putative Rz endopeptidase from lambdoid prophage DLP12 (EC 3.4.-.-)
RZOD_ECOLI	P58041	rzoD	b4510	I	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-	SEC	LOL	P58041	60	CDS	577550	577732	+		Outer membrane lipoprotein Rz1 from lambdoid prophage DLP12
BORD_ECOLI	P77330	borD	b0557	I	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-	SEC	LOL	P77330	97	CDS	577823	578116	-		Lipoprotein bor homolog from lambdoid prophage DLP12
YBCV_ECOLI	P77598	ybcV	b0558	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			P77598	136	CDS	578407	578817	-		Uncharacterized protein ybcV
YBCW_ECOLI	P64435	ybcW	b0559	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			P64435	68	CDS	579103	579309	+		Uncharacterized protein ybcW
NOHB_ECOLI	P31062	nohB	b0560	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			P31062	181	CDS	580057	580602	+		Prophage QSR' DNA-packaging protein NU1 homolog
TFAD_ECOLI	P77699	tfaD	b0561	A		2	0	pseudogene (Uniprot)		del-MD12		Integral Membrane Protein			P77699	247	pseudogene	580757	581320	+		Putative tail fiber assembly protein homolog from lambdoid prophage DLP12
YBCY_ECOLI	P77460	ybcY	b0562	A		2	0	pseudogene (Uniprot)		del-MD12	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P77460	194	CDS	581375	581959	-		Putative uncharacterized protein ybcY
YLCE_ECOLI	P77087	ylcE	b0563	A		2	0	pseudogene (Uniprot)		del-MD12		Cytoplasmic			P77087	61	CDS	582098	582283	+		Putative uncharacterized protein ylcE
APPY_ECOLI	P05052	appY	b0564	A	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-			P05052	249	CDS	582904	583653	+		HTH-type transcriptional regulator AppY (M5 polypeptide)
OMPT_ECOLI	P09169	ompT	b0565	H	MD12	2	2	Prophage Integrase (EcoGene)		del-MD12		-	SEC	BAM	P09169	317	CDS	583903	584856	-		Protease 7 (EC 3.4.23.49) (Omptin) (Outer membrane protein 3B) (Protease A) (Protease VII)
YBDG_ECOLI	P0AAT4	ybdG	b0577	B		0	0		Common Core	del-MD14	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P0AAT4	415	CDS	602639	603886	-	Localization: membrane protein Notes: mechanosensitive channel of miniconductance activity (MscM) Refs: (http://www.pnas.org/content/107/28/12664.long)	Uncharacterized protein ybdG
NFNB_ECOLI	P38489	nfnB	b0578	A	MD14	0	2		Common Core	del-MD14		Cytoplasmic >EXP<	SEC		P38489	217	CDS	603994	604647	-	"Notes: Inner Membrane predicted (Bernsel 2009) ; function suggest otherwise Refs: (http://www.ncbi.nlm.nih.gov/pubmed/19766000)"	Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) (Dihydropteridine reductase) (EC 1.5.1.34) (FMN-dependent nitroreductase)
YBDF_ECOLI	P0AAT2	ybdF	b0579	A	MD14	0	2		Common Core	del-MD14	Periplasm. 	Periplasmic >EXP<			P0AAT2	122	CDS	604741	605109	-		Uncharacterized protein ybdF
YBDJ_ECOLI	P77506	ybdJ	b0580	B	MD14	0	2			del-MD14	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	SEC		P77506	82	CDS	605174	605422	-		Uncharacterized protein ybdJ
CAAL_ECOLI	P77213	ybdK	b0581	A	MD14	0	2		Common Core	del-MD14		Cytoplasmic			P77213	372	CDS	605488	606606	-		Carboxylate-amine ligase ybdK (EC 6.3.-.-)
HOKE_ECOLI	P77091	hokE	b4415	B	MD14	0	2			del-MD14		-	SEC		P77091	50	CDS	607059	607211	+	"Membrane; Single-pass membrane protein / hok/gef family"	Protein hokE
INSL2_ECOLI	P0CF92	insL-2	b0582	A	MD14	2	2	"Insertion Sequence;Transposase"		del-MD14		Cytoplasmic			P0CF92	370	CDS	607288	608400	+	new id	Putative transposase InsL for insertion sequence element IS186B
INSH3_ECOLI	P0CE51	insH-3	b0656	A		2	0	"Insertion Sequence;Transposase"		del-MD20		Cytoplasmic			P0CE51	338	CDS	687220	688236	-	new id	Transposase insH for insertion sequence element IS5D
RHSC_ECOLI	P16918	rhsC	b0700	A	MD31	2	2	Rhs Element		del-MD31		-			P16918	1397	CDS	728806	732999	+		Protein rhsC
YBFB_ECOLI	P0AAU5	ybfB	b0702	B	MD31	0	2			del-MD31		Cytoplasmic	SEC		P0AAU5	108	CDS	732999	733325	+		Uncharacterized protein ybfB
YBFO_ECOLI	P77779	ybfO	b0703	A		2	0	"pseudogene (Uniprot);Rhs Element"		del-MD31		-			P77779	477	CDS	733443	734876	+		Putative uncharacterized protein ybfO
YBFC_ECOLI	P28915	ybfC	b0704	G	MD31	0	2			del-MD31		Cytoplasmic	SEC		P28915	189	CDS	734873	735442	+		Uncharacterized protein ybfC
YBFQ_ECOLI	Q2EEQ8	ybfQ	b4514	B		2	0	"pseudogene (Ecogene/Uniprot);Transposase"		del-MD31		Cytoplasmic	SEC		Q2EEQ8	84	CDS	735668	735922	+		Putative defective transposase ybfQ
YBFL_ECOLI	P75741	ybfL	b0705	B		2	0	"Transposase;Rhs Element"		del-MD31	"Cell inner membrane; Peripheral membrane protein. "	-	SEC		P75741	378	pseudogene	736123	737184	+		Putative protein ybfL (H repeat-associated protein in rhsC-phrB intergenic region) (ORF-H2)
YBFD_ECOLI	P28916	ybfD	b0706	B	MD31	2	2	"pseudogene (Ohman 2006);Transposase;Rhs Element"		del-MD31		Cytoplasmic	SEC		P28916	253	CDS	737315	738076	+		H repeat-associated protein ybfD (ORF-H3)
ETK_ECOLI	P38134	yccC	b0981	B		0	0			del-MD35		Cytoplasmic	SEC		P38134	726	CDS	1041253	1043433	-		Tyrosine-protein kinase etk (EC 2.7.10.-)
ETP_ECOLI	P0ACZ2	etp	b0982	A	MD35	0	2			del-MD35		Cytoplasmic			P0ACZ2	148	CDS	1043453	1043899	-		Low molecular weight protein-tyrosine-phosphatase etp (EC 3.1.3.48)
GFCE_ECOLI	P0A932	yccZ	b0983	I	MD35	0	2			del-MD35	Periplasm. 	Periplasmic	SEC	LOL	P0A932	379	CDS	1043887	1045026	-		Putative polysaccharide export protein gfcE (Group 4 capsule protein E homolog)
GFCD_ECOLI	P75882	ymcA	b0984	G	MD35	0	2			del-MD35		Cytoplasmic	SEC		P75882	698	CDS	1045072	1047168	-		Uncharacterized lipoprotein gfcD (Group 4 capsule protein D homolog)
GFCC_ECOLI	P75883	ymcB	b0985	G	MD35	0	2			del-MD35		Cytoplasmic	SEC		P75883	248	CDS	1047168	1047914	-		Uncharacterized protein gfcC (Group 4 capsule protein C homolog)
GFCB_ECOLI	P75884	ymcC	b0986	I	MD35	0	2			del-MD35		Periplasmic	SEC	LOL	P75884	214	CDS	1047911	1048555	-		Uncharacterized lipoprotein gfcB (Group 4 capsule protein B homolog)
GFCA_ECOLI	P75885	ymcD	b0987	B	MD35	0	2			del-MD35		Cytoplasmic	SEC		P75885	101	CDS	1048662	1048967	-		Threonine-rich inner membrane protein gfcA (Group 4 capsule protein A homolog)
INSA4_ECOLI	P0CF10	insA-4	b4516	A	MD35	2	2	Insertion Element 		del-MD35		Cytoplasmic			P0CF10	91	CDS	1049056	1049331	+	new id	Insertion element IS1 4 protein insA (IS1d)
INSB4_ECOLI	P57998	insB-4	b0988	A	MD9	2	2	"Insertion Element ;Transposase"		del-MD35	"Cell inner membrane; Multi-pass membrane protein. "	-			P57998	167	CDS	1049250	1049753	+		Insertion element IS1 4 protein insB (IS1d)
PGAD_ECOLI	P69432	ycdP	b1021	B		0	0			del-MD36	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P69432	137	CDS	1085329	1085742	-		Biofilm PGA synthesis protein PgaD
PGAC_ECOLI	P75905	ycdQ	b1022	B	MD36	0	2			del-MD36	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P75905	441	CDS	1085744	1087069	-		Poly-beta-1,6-N-acetyl-D-glucosamine synthase (PGA synthase) (Poly-beta-1,6-GlcNAc synthase) (EC 2.4.1.-) (Biofilm PGA synthesis protein PgaC) (N-acetylglucosaminyltransferase PgaC)
PGAB_ECOLI	P75906	ycdR	b1023	I	MD36	0	2			del-MD36	"Cell membrane; Lipid-anchor. "	Membrane Lipoprotein >EXP<	SEC	LOL	P75906	672	CDS	1087062	1089080	-		Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase (PGA N-deacetylase) (Poly-beta-1,6-GlcNAc N-deacetylase) (EC 3.5.1.-)
PGAA_ECOLI	P69434	ycdS	b1024	H	MD36	0	2			del-MD36		Cytoplasmic	SEC	BAM	P69434	807	CDS	1089089	1091512	-		Poly-beta-1,6-N-acetyl-D-glucosamine export protein (PGA export protein) (Poly-beta-1,6-GlcNAc export protein)
YCDT_ECOLI	P75908	ycdT	b1025	B	MD36	0	2			del-MD36		Cytoplasmic	SEC		P75908	452	CDS	1092099	1093457	+		Probable diguanylate cyclase YcdT (DGC) (EC 2.7.7.65)
INSF4_ECOLI	P0CF82	insF-4	b1026	A	MD36	2	2	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"		del-MD36	Cytoplasmic	Cytoplasm. 			P0CF82	288	CDS	1093498	1094364	-	new id	Transposase insF for insertion sequence IS3D
INSE4_ECOLI	P0CF69	insE-4	b1027	A	MD36	2	2	"Insertion Sequence;Transposase"		del-MD36	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P0CF69	99	CDS	1094361	1094669	-	new id	Transposase insE for insertion sequence IS3D
YMDE_ECOLI	Q7DFV4	ymdE	b1028	A		2	0	pseudogene (Uniprot)		del-MD36		-			Q7DFV4	107	pseudogene	1094767	1095069	+		Putative uncharacterized protein ymdE
YCDU_ECOLI	P75910	ycdU	b1029	B	MD36	0	2			del-MD36		Cytoplasmic	SEC		P75910	328	CDS	1095066	1096052	+		Uncharacterized protein yrbN
FLGN_ECOLI	P43533	flgN	b1070	A	MD26	0	2		Common Core	del-MD26		Cytoplasmic			P43533	138	CDS	1128637	1129053	-		Flagella synthesis protein flgN
FLGM_ECOLI	P0AEM4	flgM	b1071	A	MD26	0	2			del-MD26		Cytoplasmic			P0AEM4	97	CDS	1129058	1129351	-		Negative regulator of flagellin synthesis (Anti-sigma-28 factor)
FLGA_ECOLI	P75933	flgA	b1072	G	MD26	0	2			del-MD26		Cytoplasmic	SEC		P75933	219	CDS	1129427	1130086	-		Flagella basal body P-ring formation protein flgA
FLGB_ECOLI	P0ABW9	flgB	b1073	G	MD26	0	2		Common Core	del-MD26		Cytoplasmic	T3S		P0ABW9	138	CDS	1130241	1130657	+		Flagellar basal-body rod protein flgB (Putative proximal rod protein)
FLGC_ECOLI	P0ABX2	flgC	b1074	G	MD26	0	2		Common Core	del-MD26		-	T3S		P0ABX2	134	CDS	1130661	1131065	+		Flagellar basal-body rod protein flgC (Putative proximal rod protein)
FLGD_ECOLI	P75936	flgD	b1075	F4	MD26	2	2	pseudogene (Ohman 2006) 		del-MD26		Cytoplasmic	SEC		P75936	231	CDS	1131077	1131772	+		Basal-body rod modification protein flgD
FLGE_ECOLI	P75937	flgE	b1076	F4	MD26	0	2			del-MD26		Cytoplasmic	T3S		P75937	402	CDS	1131797	1133005	+		Flagellar hook protein flgE
FLGF_ECOLI	P75938	flgF	b1077	G	MD26	0	2		Common Core	del-MD26		Cytoplasmic >EXP<	T3S		P75938	251	CDS	1133025	1133780	+	Notes: homolog to flgG	Flagellar basal-body rod protein flgF (Putative proximal rod protein)
FLGG_ECOLI	P0ABX5	flgG	b1078	G	MD26	0	2		Common Core	del-MD26		Cytoplasmic	T3S		P0ABX5	260	CDS	1133952	1134734	+		Flagellar basal-body rod protein flgG (Distal rod protein)
FLGH_ECOLI	P0A6S0	flgH	b1079	I	MD26	0	2		Common Core	del-MD26		Cytoplasmic	SEC	LOL	P0A6S0	232	CDS	1134787	1135485	+		Flagellar L-ring protein (Basal body L-ring protein)
FLGI_ECOLI	P0A6S3	flgI	b1080	G	MD26	0	2			del-MD26		Cytoplasmic	T3S		P0A6S3	365	CDS	1135497	1136594	+		Flagellar P-ring protein (Basal body P-ring protein)
FLGJ_ECOLI	P75942	flgJ	b1081	A	MD26	0	2		Common Core	del-MD26	"Cell inner membrane; Single-pass type I membrane protein. "	Membrane anchored			P75942	313	CDS	1136594	1137535	+		Peptidoglycan hydrolase flgJ (EC 3.2.1.-) (Muramidase flgJ)
FLGK_ECOLI	P33235	flgK	b1082	F4	MD26	0	2		Common Core	del-MD26	"Cell outer membrane; Lipid-anchor. "	Outer membrane Lipoprotein >EXP<	T3S		P33235	547	CDS	1137601	1139244	+		Flagellar hook-associated protein 1 (HAP1)
FLGL_ECOLI	P29744	flgL	b1083	F4	MD26	0	2		Common Core	del-MD26	"Cell inner membrane; Peripheral membrane protein. "	Membrane anchored	T3S		P29744	317	CDS	1139256	1140209	+		Flagellar hook-associated protein 3 (HAP3) (Hook-filament junction protein)
YMFD_ECOLI	P75967	ymfD	b1137	A		2	0	Prophage Integrase (EcoGene)		del-MD11		Cytoplasmic			P75967	221	CDS	1196090	1196755	-		Uncharacterized protein ymfD
YMFE_ECOLI	P75968	ymfE	b1138	B	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	"Cell inner membrane; Multi-pass membrane protein. "	Cytoplasmic	SEC		P75968	234	CDS	1196756	1197460	-		Uncharacterized protein ymfE
LIT_ECOLI	P11072	lit	b1139	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-			P11072	297	CDS	1197918	1198811	+		Bacteriophage T4 late gene expression-blocking protein (GpLit)
INTE_ECOLI	P75969	intE	b1140	A	MD11	2	2	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD11		-			P75969	375	CDS	1198902	1200029	-		Prophage lambda integrase (Int(Lambda)) (Prophage e14 integrase)
VXIS_ECOLI	P75970	ymfG	b1141	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	Cell inner membrane. 	-			P75970	81	CDS	1200010	1200255	-		Excisionase-like protein from lambdoid prophage 14
Y1142_ECOLI	P75971	ymfH	b1142	B		2	0	pseudogene (Ecogene/Uniprot)		del-MD11		Cytoplasmic	SEC		P75971	103	CDS	1200292	1200603	-		Putative uncharacterized protein b1142
YMFI_ECOLI	P75972	ymfI	b1143	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	"Membrane; Single-pass membrane protein. "	-			P75972	113	CDS	1200720	1201061	+		Uncharacterized protein ymfI
YMFJ_ECOLI	P75973	ymfJ	b1144	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-			P75973	102	CDS	1200999	1201307	-		Uncharacterized protein ymfJ
YMFK_ECOLI	P75974	ymfK	b1145	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-			P75974	224	CDS	1201482	1202156	-		Putative lambdoid prophage e14 repressor protein C2
YMFT_ECOLI	P75975	ymfT	b1146	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		Integral Membrane Protein			P75975	66	CDS	1202247	1202447	+		Uncharacterized protein ymfT
YMFL_ECOLI	P75976	ymfL	b1147	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-			P75976	185	CDS	1202479	1203048	+		Uncharacterized protein ymfL
YMFM_ECOLI	P75977	ymfM	b1148	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11	Periplasm. 	-			P75977	112	CDS	1203045	1203383	+		Uncharacterized protein ymfM
YMFN_ECOLI	P75978	ymfN	b1149	A		2	0	pseudogene (Uniprot) 		del-MD11		Integral Membrane Protein			P75978	455	CDS	1203393	1204760	+		Uncharacterized protein ymfN
YMFR_ECOLI	P75979	ymfR	b1150	B	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-	SEC		P75979	60	CDS	1204772	1204954	+		Uncharacterized protein ymfR
YMFO_ECOLI	P75980	ymfO	b1151	A		2	0	pseudogene (Uniprot)		del-MD11		-			P75980	157	CDS	1204954	1205427	+		Putative uncharacterized protein ymfO
YMFP_ECOLI	P75981	ymfP	b1152	A		2	0	pseudogene (Uniprot)		del-MD11		-			P75981	263	CDS	1205483	1206145	+		Putative protein ymfP (Uncharacterized protein ymfP in lambdoid prophage e14 region)
YMFQ_ECOLI	P75982	ymfQ	b1153	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-			P75982	194	CDS	1206136	1206720	+		Uncharacterized protein ymfQ in lambdoid prophage e14 region
YCFK_ECOLI	P45581	ycfK	b1154	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-			P45581	209	CDS	1206724	1207353	+		Uncharacterized protein ycfK
YMFS_ECOLI	P09154	ymfS	b1155	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-			P09154	137	CDS	1207355	1207768	+		Uncharacterized protein ymfS
TFAE_ECOLI	P09153	tfaE	b1156	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-			P09153	200	CDS	1207740	1208342	-		Tail fiber assembly protein homolog from lambdoid prophage e14
STFE_ECOLI	P33227	stfE	b1157	A		2	0	pseudogene (Uniprot)		del-MD11		-			P33227	166	pseudogene	1208342	1208878	-		Putative protein stfE (Side tail fiber protein homolog from lambdoid prophage e14) (Fragment)
