Accession	ECK	Gene	Protein name	emPAI	mRNA	Copy number	Sequence	Number of	Mascot	Number of	GRAVY	GO cellular component
JW4001	ECK4033	plsB	glycerol-3-phosphate O-acyltransferase	2,95	-	135	46,34	26	978	0	-0,179	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2313	ECK2310	accD	acetylCoA carboxylase, beta (carboxyltranferase) subunit	12,69	2,63	554,63	66,45	20	972	0	-0,129	GO:0005737 cytoplasm
JW2136	ECK2142	mglA	fused methyl-galactoside transporter subunitsl -!- ATP-binding components of ABC superfamily	2,69	003	123,27	46,05	19	970	0	-0,155	GO:0005737 cytoplasm
JW2669	ECK2694	recA	DNA strand exchange and recombination protein with protease and nuclease activity	10,22	005	449,64	56,37	17	967	0	-0,175	GO:0005737 cytoplasm
JW2943	ECK2970	glcB	malate synthase G	2,07	8,77	95,62	30,29	19	965	0	-0,327	0
JW0718	ECK0717	sucD	succinyl-CoA synthetase, NAD(P)-binding, alpha subunit	26,83	008	778,03	80,62	18	961	0	0,162	0
JW2541	ECK2555	purL	phosphoribosylformyl-glycineamide synthetase	0,79	1,53	37,58	20,69	17	959	0	-0,235	GO:0005737 cytoplasm
JW2517	ECK2530	suhB	inositol monophosphatase	21,54	0,33	926,36	062	20	953	0	-0,171	GO:0005737 cytoplasm
JW0871	ECK0879	trxB	thioredoxin reductase, FAD/NAD(P)-binding	33,15	004	1407,05	80,69	16	944	0	-0,193	GO:0005737 cytoplasm
JW1164	ECK1163	minD	membrane ATPase of the MinC-MinD-MinE system	14,01	0,96	610,48	62,59	15	932	0	-0,118	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3277	ECK3302	rplV	50S ribosomal subunit protein L22	9.999	11,05	356580,75	69,09	14	903	0	-0,349	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1178	ECK1177	dadA	D-amino acid dehydrogenase	4,88	2,64	220	57,41	17	890	0	-0,216	0
JW0928	ECK0936	pyrD	dihydro-orotate oxidase, FMN-linked	9,96	0,53	438,54	67,86	22	884	0	0.000	GO:0005737 cytoplasm
JW5403	ECK2507	der	predicted GTP-binding protein	5,04	0,45	226,57	50,41	20	882	0	-0,334	0
JW3200	ECK3220	rplM	50S ribosomal subunit protein L13	1332,52	7,51	50532,55	80,28	18	880	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3194	ECK3214	nanA	N-acetylneuraminate lyase	16,19	0,51	702,37	73,06	15	880	0	-0,031	0
JW2407	ECK2409	cysK	cysteine synthase A, O-acetylserine sulfhydrolase A subunit	12,34	7,28	540	68,73	15	879	0	-0,078	GO:0005737 cytoplasm
JW3282	ECK3307	rplC	50S ribosomal subunit protein L3	24,81	6,68	1062,41	74,64	19	878	0	-0,235	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3823	ECK3839	pepQ	proline dipeptidase	5,19	3,47	233,11	56,88	17	871	0	-0,241	0
JW1819	ECK1829	prc	carboxy-terminal protease for penicillin-binding protein 3	2,16	1,07	99,64	34,75	19	871	0	-0,482	GO:0009274 cell wall (sensu Bacteria)
JW4346	ECK4375	deoB	phosphopentomutase	8,09	2,17	358,47	61,92	18	870	0	-0,271	0
JW3730	ECK3745	rbsB	D-ribose transporter subunit -!- periplasmic-binding compoent of ABC superfamily	008	4,38	346,01	54,73	13	870	0	-0,031	GO:0042597 periplasmic space
JW3279	ECK3304	rplB	50S ribosomal subunit protein L2	28,76	011	1226,02	67,77	19	868	0	-0,699	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0463	ECK0468	adk	adenylate kinase	17,96	6,43	402,59	74,77	17	863	0	-0,383	GO:0005737 cytoplasm
JW3258	ECK3283	rpsD	30S ribosomal subunit protein S4	83,83	7,54	3458,88	68,45	18	861	0	-0,664	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3890	ECK3911	tpiA	triosephosphate isomerase	45,42	7,29	1906,06	63,14	16	854	0	0.000	0
JW1049	ECK1047	pyrC	dihydro-orotase	20,54	0,68	884,64	72,99	18	854	0	-0,123	GO:0005737 cytoplasm
JW5343	ECK2089	gatY	D-tagatose 1,6-bisphosphate aldolase 2, catalytic subunit	45,42	26,98	1909,42	71,48	19	852	0	-0,091	0
JW2560	ECK2574	srmB	ATP-dependent RNA helicase	5,42	1,44	243,12	046	16	852	0	-0,557	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2510	ECK2523	hscA	DnaK-like molecular chaperone specific for IscU	3,42	0,74	155,57	45,29	18	852	0	-0,028	GO:0005737 cytoplasm
JW3267	ECK3292	rplF	50S ribosomal subunit protein L6	42,29	8,24	1781,71	87,01	15	847	0	-0,227	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW4161	ECK4199	rplI	50S ribosomal subunit protein L9	17,74	9,55	767,47	87,92	14	846	0	0,091	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2024	ECK2033	rfbA	glucose-1-phosphate thymidylyltransferase	10,29	2,05	452,62	68,26	18	844	0	-0,193	GO:0005737 cytoplasm
JW1081	ECK1081	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	009	2,02	398	66,83	15	837	0	0,002	GO:0005737 cytoplasm
JW1606	ECK1609	ydgA	conserved protein	4,62	1,08	208,24	55,18	18	832	1	-0,299	0
JW2594	ECK2610	grpE	heat shock protein	157,49	0,69	6374,36	63,45	15	829	0	-0,372	GO:0005737 cytoplasm
JW2866	ECK2893	ygfZ	predicted folate-dependent regulatory protein	5,95	2,73	266,13	60,43	16	821	0	-0,247	0
JW4203	ECK4239	pyrI	aspartate carbamoyltransferase, regulatory subunit	150,99	006	6119,14	93,46	18	816	0	-0,273	GO:0005737 cytoplasm
JW5100	ECK0729	tolB	periplasmic protein	6,85	2,19	305,07	52,56	15	812	0	-0,215	GO:0042597 periplasmic space
JW3265	ECK3290	rpsE	30S ribosomal subunit protein S5	40,25	11,95	1698,32	79,04	13	803	0	-0,101	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0157	ECK0160	degP	serine endoprotease (protease Do), membrane-associated	4,62	2,59	208,24	39,24	13	803	0	-0,067	GO:0042597 periplasmic space
JW2363	ECK2362	dsdA	D-serine ammonia-lyase	7,91	-	350,74	58,37	17	803	0	-0,087	GO:0005737 cytoplasm
JW1266	ECK1268	topA	DNA topoisomerase I, omega subunit	1,18	0,82	55,45	32,02	19	801	0	-0,609	GO:0005737 cytoplasm
JW0398	ECK0402	secD	SecYEG protein translocase auxillary subunit	2,73	1,11	125,04	034	18	800	6	0,116	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW4158	ECK4196	rpsF	30S ribosomal subunit protein S6	176,83	12,28	7.132	87,79	13	799	0	-0,745	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3619	ECK3634	yicC	conserved protein	3,96	1,13	179,34	49,48	15	795	0	-0,442	0
JW1268	ECK1271	acnA	aconitate hydratase 1	0,95	001	44,94	26,04	15	793	0	-0,234	0
JW1224	ECK1231	galU	glucose-1-phosphate uridylyltransferase	12,59	3,68	550	66,89	15	792	0	0,031	GO:0030113 capsule (sensu Bacteria)
JW0665	ECK0667	nagE	fused N-acetyl glucosamine specific PTS enzyme IICBA components	7,91	001	350,74	030	16	789	10	0,584	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2768	ECK2792	sdaB	L-serine deaminase II	15,68	9,92	680,91	39,34	19	788	0	0,052	0
JW2461	ECK2472	purC	phosphoribosylaminoimidazole-succinocarboxamide synthetase	5,31	5,75	238,33	63,71	15	787	0	0.000	GO:0005737 cytoplasm
JW0405	ECK0409	ribE	riboflavin synthase beta chain	315,23	2,84	12491,64	66,67	10	784	0	0,294	0
JW1095	ECK1095	ndh	respiratory NADH dehydrogenase 2/cupric reductase	4,74	1,06	213,48	55,99	19	783	0	-0,129	GO:0005737 cytoplasm
JW3271	ECK3296	rplX	50S ribosomal subunit protein L24	1.467	20,34	55462,14	76,92	14	779	0	-0,381	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW5526	ECK3113	garR	tartronate semialdehyde reductase	5,16	12,19	232	81,76	15	773	0	0,264	0
JW3587	ECK3602	gpmI	phosphoglycero mutase III, cofactor-independent	4,18	12,92	188,99	49,42	17	770	0	-0,195	GO:0005737 cytoplasm
JW0167	ECK0171	frr	ribosome recycling factor	33,55	005	1.424	73,51	16	769	0	-0,534	GO:0005737 cytoplasm
JW3879	ECK3901	sodA	superoxide dismutase, Mn	022	4,03	950	68,45	13	768	0	-0,429	GO:0005737 cytoplasm
JW1035	ECK1034	mdoG	glucan biosynthesis protein, periplasmic	4,84	1,64	217,85	41,68	20	761	0	-0,541	GO:0042597 periplasmic space
JW2279	ECK2278	nuoF	NADH:ubiquinone oxidoreductase, chain F	4,38	7,13	197,75	52,13	17	761	0	-0,318	GO:0005737 cytoplasm
JW0052	ECK0054	surA	peptidyl-prolyl cis-trans isomerase (PPIase)	2,43	1,12	112	43,93	14	760	0	-0,382	GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW4132	ECK4170	hflK	modulator for HflB protease specific for phage lambda cII repressor	1,74	2,52	081	44,63	14	758	1	-0,632	0
JW2174	ECK2180	yejK	nucleotide associated protein	5,95	-	266,13	059	15	758	0	-0,364	GO:0005737 cytoplasm
JW5058	ECK0420	yajQ	predicted nucleotide binding protein	022	-	950	73,62	12	756	0	-0,454	0
JW5300	ECK1830	proQ	predicted structural transport element	10,45	0,98	459,44	64,66	14	755	0	-0,776	0
JW3775	ECK3797	hemX	uroporphyrinogen III methylase	2,98	001	136,13	51,15	15	750	1	-0,435	0
JW3887	ECK3908	pfkA	6-phosphofructokinase I	4,78	2,88	38,51	64,06	15	748	0	0.000	GO:0005737 cytoplasm
JW2563	ECK2577	yfiD	pyruvate formate lyase subunit	78,43	12,04	3242,65	81,89	13	746	0	-0,332	0
JW3396	ECK3419	asd	aspartate-semialdehyde dehydrogenase, NAD(P)-binding	7,73	1,21	343	65,12	14	745	0	-0,029	0
JW2869	ECK2896	bglA	6-phospho-beta-glucosidase A	2,98	0,59	136,13	041	17	745	0	-0,452	0
JW4133	ECK4171	hflC	modulator for HflB protease specific for phage lambda cII repressor	5,45	1,77	244,42	62,57	14	738	1	-0,365	0
JW0451	ECK0456	acrB	multidrug efflux system protein	001	0,95	56,36	18,49	14	735	11	0,266	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2462	ECK2473	nlpB	lipoprotein	4,01	3,08	181,53	54,36	14	730	0	-0,265	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0797	ECK0801	dps	Fe-binding and storage protein	30,62	13,68	1302,81	81,44	15	729	0	-0,214	GO:0005737 cytoplasm
JW4185	ECK4222	ppa	inorganic pyrophosphatase	37,31	8,83	1577,92	69,89	15	728	0	-0,272	GO:0005737 cytoplasm
JW1079	ECK1079	fabG	3-oxoacyl-[acyl-carrier-protein] reductase	16,01	14,12	695	66,39	11	725	0	0.000	GO:0005737 cytoplasm
JW4191	ECK4227	fbp	fructose-1,6-bisphosphatase I	22,71	1,11	975,11	62,35	15	724	0	-0,222	GO:0005737 cytoplasm
JW0657	ECK0652	ybeZ	predicted protein with nucleoside triphosphate hydrolase domain	4,38	1,77	197,75	62,12	16	714	0	0.000	0
JW2876	ECK2903	pepP	proline aminopeptidase P II	7,19	1,28	319,74	46,71	15	713	0	-0,308	0
JW3024	ECK3042	rfaE	fused heptose 7-phosphate kinase -!- heptose 1-phosphate adenyltransferase	3,52	001	159,98	45,91	16	713	0	-0,004	0
JW2914	ECK2942	gshB	glutathione synthetase	4,46	0,31	201,25	57,28	12	709	0	-0,261	0
JW1225	ECK1232	hns	global DNA-binding transcriptional dual regulator H-NS	13,25	19,14	578,35	65,69	11	708	0	-0,751	GO:0019861 flagellum -!- GO:0005737 cytoplasm
JW4192	ECK4228	mpl	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	5,45	001	244,42	42,23	16	707	0	-0,051	GO:0009274 cell wall (sensu Bacteria)
JW3260	ECK3285	rpsM	30S ribosomal subunit protein S13	137,95	11,13	5606,09	068	13	705	0	-0,424	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3938	ECK3958	btuB	vitamin B12/cobalamin outer membrane transporter	1,97	0,33	91,13	36,64	15	695	0	-0,534	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW5836	ECK2022	cld	regulator of length of O-antigen component of lipopolysaccharide chains	014	1,47	626,95	56,75	17	693	2	-0,265	0
JW5009	ECK0124	hpt	hypoxanthine phosphoribosyltransferase	025	1,61	1074,44	73,03	16	690	0	-0,069	GO:0005737 cytoplasm
JW1078	ECK1078	fabD	malonyl-CoA-[acyl-carrier-protein] transacylase	12,89	7,77	563,11	57,28	12	684	0	0,154	GO:0005737 cytoplasm
JW4217	ECK4253	pepA	aminopeptidase A, a cyteinylglycinase	2,56	0,92	117,49	34,39	14	683	0	-0,217	GO:0005737 cytoplasm
JW2499	ECK2511	ispG	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	2,46	1,88	113,03	44,89	14	682	0	-0,157	0
JW2978	ECK3003	yqhD	alcohol dehydrogenase, NAD(P)-dependent	3,28	0,46	149	43,15	11	681	0	-0,129	0
JW3839	ECK3861	glnG	fused DNA-binding response regulator in two-component regulatory system with GlnL, nitrogen regulator I (NRI)	2,29	0,62	105,45	36,03	13	677	0	-0,246	GO:0005737 cytoplasm
JW0396	ECK0400	tgt	tRNA-guanine transglycosylase	3,64	3,66	165,27	38,13	11	673	0	-0,412	GO:0005737 cytoplasm
JW0413	ECK0417	thiI	sulfurtransferase required for thiamine and 4-thiouridine biosynthesis	2,65	0,22	121,49	48,34	17	673	0	-0,222	0
JW3281	ECK3306	rplD	50S ribosomal subunit protein L4	64,79	-	2694,37	060	11	673	0	-0,235	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2021	ECK2030	glf	UDP-galactopyranose mutase, FAD/NAD(P)-binding	2,43	5,13	112	47,41	15	672	0	-0,545	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria)
JW2496	ECK2508	yfgL	protein assembly complex, lipoprotein component	3,08	0,87	140,56	50,77	11	669	0	0,009	0
JW0328	ECK0334	codA	cytosine deaminase	009	003	398	42,62	13	668	0	-0,222	GO:0005737 cytoplasm
JW4251	ECK4281	fecA	"KpLE2 phage-like element; ferric citrate outer membrane transporter"	1,82	0,24	084	25,84	14	668	0	-0,517	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW1753	ECK1762	selD	selenophosphate synthase	11,74	2,19	514,33	62,82	16	667	0	0,068	GO:0005737 cytoplasm
JW3683	ECK3698	yidC	cytoplasmic insertase into membrane protein, Sec system	3,83	1,71	173,62	41,06	12	666	4	-0,122	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1603	ECK1606	fumC	fumarate hydratase (fumarase C),aerobic Class II	3,12	0,55	142,33	45,18	15	660	0	-0,133	0
JW3949	ECK3977	rplL	50S ribosomal subunit protein L7/L12	9.999	15,03	356580,75	088	13	659	0	0,295	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0212	ECK0223	lpcA	D-sedoheptulose 7-phosphate isomerase	11,12	5,84	487,98	60,94	11	658	0	-0,062	GO:0005737 cytoplasm
JW3737	ECK3757	yifE	conserved protein	73,99	3,39	3064,53	83,93	13	657	0	-1,069	0
JW0452	ECK0457	acrA	multidrug efflux system	3,81	1,04	172,75	49,12	13	656	0	-0,256	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3708	ECK3723	glmU	fused N-acetyl glucosamine-1-phosphate uridyltransferase -!- glucosamine-1-phosphate acetyl transferase	3,79	1,06	171,87	35,75	14	656	0	-0,176	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW5741	ECK4175	rnr	exoribonuclease R, RNase R	1,09	0,93	51,34	25,71	16	656	0	-0,551	0
JW3948	ECK3976	rplJ	50S ribosomal subunit protein L10	19,31	12,93	833,23	70,91	12	652	0	0,045	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2498	ECK2510	hisS	histidyl tRNA synthetase	3,05	-	139,23	47,64	16	651	0	-0,272	GO:0005737 cytoplasm
JW0163	ECK0166	map	methionine aminopeptidase	6,63	0,85	295,57	59,85	12	650	0	-0,162	0
JW0796	ECK0800	glnH	glutamine transporter subunit -!- periplasmic binding component of ABC superfamily	4,82	7,77	216,98	063	12	648	0	-0,233	GO:0042597 periplasmic space
JW0458	ECK0463	apt	adenine phosphoribosyltransferase	24,12	1,76	1033,75	70,49	10	643	0	0,023	GO:0005737 cytoplasm
JW1077	ECK1077	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III	7,66	1,61	339,99	49,53	10	641	0	0,143	GO:0005737 cytoplasm
JW5581	ECK3827	ubiE	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase -!- S-adenosylmethionine:2-DMK methyltransferase	10,79	3,07	473,93	52,99	11	639	0	-0,168	0
JW0890	ECK0898	serC	3-phosphoserine/phosphohydroxythreonine aminotransferase	3,81	0,42	172,75	46,69	13	637	0	-0,113	GO:0005737 cytoplasm
JW2229	ECK2227	nrdB	ribonucleoside diphosphate reductase 1, beta subunit, ferritin-like	4,48	3,33	202,12	052	15	636	0	-0,275	0
JW4312	ECK4339	hsdM	DNA methylase M	1,88	0,46	087	39,89	16	634	0	-0,528	GO:0005737 cytoplasm
JW2205	ECK2210	rcsB	DNA-binding response regulator in two-component regulatory system with RcsC and YojN	13,68	-	596,53	066	12	632	0	0,021	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3368	ECK3392	ompR	DNA-binding response regulator in two-component regulatory system with EnvZ	5,31	1,43	238,33	76,99	14	629	0	-0,346	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3148	ECK3170	greA	transcription elongation factor	16,01	0,61	695	78,48	14	626	0	-0,366	GO:0005737 cytoplasm
JW4364	ECK4393	arcA	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA	12,59	0,38	550	51,68	13	626	0	-0,487	GO:0005737 cytoplasm
JW2873	ECK2900	gcvT	aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex	5,16	003	232	49,45	13	626	0	-0,159	0
JW5702	ECK3345	crp	DNA-binding transcriptional dual regulator	16,78	3,52	727,17	69,05	15	625	0	-0,225	GO:0005737 cytoplasm
JW5829	ECK1716	infC	protein chain initiation factor IF-3	16,78	17,31	727,17	60,56	10	624	0	-0,671	GO:0005737 cytoplasm
JW0014	ECK0015	dnaJ	chaperone Hsp40, co-chaperone with DnaK	6,63	2,27	295,57	41,76	14	624	0	-0,634	GO:0005737 cytoplasm
JW0232	ECK0243	proB	gamma-glutamate kinase	2,63	0,77	121	48,23	13	622	0	0,007	GO:0005737 cytoplasm
JW3283	ECK3308	rpsJ	30S ribosomal subunit protein S10	58,95	7,22	2458,58	81,55	12	621	0	-0,352	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3531	ECK3548	glyQ	glycine tRNA synthetase, alpha subunit	27,94	3,63	1192,11	61,72	14	621	0	-0,392	GO:0005737 cytoplasm
JW4333	ECK4362	rsmC	16S RNA m2G1207 methylase	2,55	000	117,04	45,77	10	619	0	-0,111	GO:0005737 cytoplasm
JW1317	ECK1320	tpx	lipid hydroperoxide peroxidase	36,28	6,61	1535,67	075	8	617	0	0,256	GO:0042597 periplasmic space
JW0401	ECK0405	tsx	nucleoside channel, receptor of phage T6 and colicin K	17,74	3,01	767,47	55,44	10	617	0	-0,512	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW3249	ECK3274	fmt	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase	3,64	0,43	165,27	49,52	10	614	0	0.000	GO:0005737 cytoplasm
JW0799	ECK0803	ompX	outer membrane protein	25,83	2,73	1104,73	054	9	613	1	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW3263	ECK3288	rplO	50S ribosomal subunit protein L15	24,12	9,82	1033,75	63,19	11	613	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3309	ECK3334	fkpA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	009	1,02	398	48,52	13	613	0	-0,458	GO:0042597 periplasmic space
JW0372	ECK0376	ddlA	D-alanine-D-alanine ligase A	007	1,52	289,95	48,08	13	612	0	0,016	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2027	ECK2036	galF	predicted subunit with GalU	6,63	1,57	295,57	55,89	12	610	0	-0,092	GO:0005737 cytoplasm
JW2577	ECK2593	yfiO	predicted lipoprotein	3,64	0,84	165,27	53,47	11	609	0	-0,484	0
JW0567	ECK0570	nfnB	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive	55,23	1,96	2308,02	67,74	15	607	0	-0,211	0
JW3945	ECK3973	nusG	transcription termination factor	11,12	1,32	487,98	69,61	9	607	0	-0,391	GO:0005737 cytoplasm
JW2569	ECK2583	pssA	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)	2,16	0,86	99,64	036	15	605	0	-0,429	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5656	ECK3540	tiaE	2-keto-D-gluconate reductase (glyoxalate reductase) (2-ketoaldonate reductase)	009	001	398	40,12	10	604	0	0,005	GO:0005737 cytoplasm
JW3713	ECK3728	atpH	F1 sector of membrane-bound ATP synthase, delta subunit	34,94	5,03	1480,65	64,97	10	602	0	0,063	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1531	ECK1531	dcp	dipeptidyl carboxypeptidase II	2,05	0,29	94,72	25,55	12	600	0	-0,331	0
JW3347	ECK3371	trpS	tryptophanyl-tRNA synthetase	7,86	1,39	348,59	56,29	13	598	0	0.000	GO:0005737 cytoplasm
JW3467	ECK3485	gor	glutathione oxidoreductase	2,67	001	122,38	38,89	12	598	0	-0,112	GO:0005737 cytoplasm
JW0664	ECK0666	nagB	glucosamine-6-phosphate deaminase	3,22	1,37	146,75	51,13	9	596	0	-0,185	0
JW1893	ECK1904	ftn	ferritin iron storage protein (cytoplasmic)	099	8,55	4064,14	57,58	11	592	0	-0,568	GO:0005737 cytoplasm
JW1738	ECK1747	xthA	exonuclease III	2,98	0,81	136,13	52,61	11	591	0	-0,555	0
JW0835	ECK0842	nfsA	nitroreductase A, NADPH-dependent, FMN-dependent	009	0,67	398	58,75	11	590	0	-0,155	0
JW3328	ECK3353	nirB	nitrite reductase, large subunit, NAD(P)H-binding	0,87	003	41,26	22,08	14	589	0	-0,211	GO:0005737 cytoplasm
JW2317	ECK2314	pdxB	erythronate-4-phosphate dehydrogenase	3,92	1,32	177,58	42,59	15	587	0	-0,037	0
JW2637	ECK2656	gabT	4-aminobutyrate aminotransferase, PLP-dependent	1,68	-	078	46,24	12	585	0	0,002	0
JW1596	ECK1599	ydgH	predicted protein	3,81	2,85	172,75	059	14	584	0	-0,324	0
JW5875	ECK2281	nuoB	NADH:ubiquinone oxidoreductase, chain B	4,41	006	199,06	59,55	11	581	0	0.000	GO:0005737 cytoplasm
JW4197	ECK4233	nrdD	anaerobic ribonucleoside-triphosphate reductase	0,85	0,46	40,34	27,53	12	580	0	-0,454	0
JW1853	ECK1865	yebC	conserved protein	6,02	002	269,17	050	11	577	0	-0,384	0
JW0674	ECK0675	seqA	regulatory protein for replication initiation	11,59	1,86	507,96	79,01	11	576	0	-0,286	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0623	ECK0621	lipA	lipoate synthase	6,94	001	308,96	55,76	15	575	0	0.000	GO:0005737 cytoplasm
JW3583	ECK3598	gpsA	glycerol-3-phosphate dehydrogenase (NAD+)	2,55	1,66	117,04	51,92	10	575	0	-0,025	GO:0005737 cytoplasm
JW3808	ECK3825	udp	uridine phosphorylase	6,02	1,59	269,17	62,85	10	573	0	0,022	0
JW1769	ECK1778	yeaD	conserved protein	7,48	1,16	332,24	52,72	12	571	0	-0,249	0
JW2173	ECK2179	rplY	50S ribosomal subunit protein L25	132,35	004	5385,32	87,23	12	570	0	-0,468	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0116	ECK0119	speD	S-adenosylmethionine decarboxylase	4,82	0,92	216,98	70,08	11	570	0	-0,313	0
JW2889	ECK2918	yggE	conserved protein	34,11	0,98	1446,53	48,37	13	569	0	-0,252	0
JW3996	ECK4028	lamB	maltose outer membrane porin (maltoporin)	2,31	5,53	106,35	33,86	11	569	0	-0,516	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW0811	ECK0817	moeA	molybdopterin biosynthesis protein	5,81	001	260,06	46,23	11	568	0	0,027	0
JW2551	ECK2565	rnc	RNase III	7,48	0,58	332,24	55,75	12	567	0	-0,449	0
JW2463	ECK2474	dapA	dihydrodipicolinate synthase	5,49	5,04	246,16	53,08	11	567	0	0,067	GO:0005737 cytoplasm
JW5746	ECK4203	fklB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	14,85	0,79	645,93	57,77	10	565	0	-0,081	0
JW1087	ECK1087	ptsG	fused glucose-specific PTS enzyme IIBC components	7,58	5,57	336,54	030	12	561	10	0,618	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5475	ECK2910	rpiA	ribosephosphate isomerase, constitutive	14,85	3,39	645,93	54,34	11	560	0	0.000	0
JW0166	ECK0170	pyrH	uridylate kinase	7,58	3,77	336,54	64,32	11	560	0	0,133	GO:0005737 cytoplasm
JW3097	ECK3116	garD	(D)-galactarate dehydrogenase	1,47	7,63	68,61	32,89	11	560	0	-0,014	0
JW0422	ECK0426	cyoA	cytochrome o ubiquinol oxidase subunit II	009	-	398	41,27	9	560	3	-0,009	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW4199	ECK4235	treB	fused trehalose(maltose)-specific enzyme IIBC component of PTS	236,14	8,31	9440,35	24,95	11	559	10	0,648	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1615	ECK1618	add	adenosine deaminase	4,27	0,71	192,93	54,65	11	552	0	-0,024	0
JW1273	ECK1276	pyrF	orotidine-5'-phosphate decarboxylase	6,36	0,19	283,89	58,37	12	551	0	0,057	0
JW3591	ECK3606	tdh	threonine 3-dehydrogenase, NAD(P)-binding	009	3,05	398	53,08	11	550	0	0,051	0
JW2257	ECK2256	menB	dihydroxynaphthoic acid synthetase	007	2,67	289,95	43,51	11	550	0	0.000	0
JW0361	ECK0366	hemB	porphobilinogen synthase	5,49	007	246,16	45,37	11	546	0	-0,125	0
