Accession	Gene Name	B Number	Class	Description	A (mRNA per cell cycle)_RNAseq	Mean_RNA FISH
P76080	b1391	b1391	noessential	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation		
P76082	paaF	b1393	noessential	enoyl-CoA hydratase-isomerase		
P76084	b1396	b1396	noessential	predicted thioesterase		
P76085	b1398	b1398	noessential	phenylacetyl-CoA ligase		
P76086	b1399	b1399	noessential	"DNA-binding transcriptional repressor of phenylacetic acid degradation; aryl-CoA responsive"		
P25906	ydbC	b1406	noessential	"predicted oxidoreductase; NAD(P)-binding"	0.868819386	
P76092	b1410	b1410	noessential	predicted hydrolase		
P43329	hrpA	b1413	noessential	ATP-dependent helicase	0.95173677	
P25553	aldA	b1415	noessential	"aldehyde dehydrogenase A; NAD-linked"	6.384343619	0.2523
P77171	ydcI	b1422	noessential	predicted DNA-binding transcriptional regulator	2.759114729	
P76097	b1423	b1423	noessential	conserved protein		
P25397	tehB	b1430	noessential	predicted S-adenosyl-L-methionine-dependent methyltransferase		
P77626	ydcN	b1434	noessential	predicted DNA-binding transcriptional regulator	1.574719705	
P76104	ydcP	b1435	noessential	predicted peptidase	1.750395533	
P76113	yncB	b1449	noessential	"predicted oxidoreductase; Zn-dependent and NAD(P)-binding"		
P19317	narW	b1466	noessential	"nitrate reductase 2 (NRZ); delta subunit (assembly subunit)"		
P19319	narZ	b1468	noessential	"nitrate reductase 2 (NRZ); alpha subunit"	0.263113058	
P24183	fdnG	b1474	noessential	"formate dehydrogenase-N; alpha subunit; nitrate-inducible"	0.020566152	
P68191	rpsV	b1480	noessential	30S ribosomal subunit protein S22		0.34396
P0C0L2	osmC	b1482	noessential	"osmotically inducible; stress-inducible membrane protein"		
P76128	ddpA	b1487	noessential	D-ala-D-a la transporter subunit -!- periplasmic-binding component of ABC superfamily		
P31828	pqqL	b1494	noessential	predicted peptidase		
P77561	b1501	b1501	noessential	predicted oxidoreductase		
P23874	hipA	b1507	noessential	regulator with hipB	0.915922521	
P31129	ydeH	b1535	noessential	conserved protein	3.211751566	
P31130	ydeI	b1536	noessential	conserved protein	1.370189996	
P31131	ydeJ	b1537	noessential	conserved protein		
P24171	dcp	b1538	noessential	dipeptidyl carboxypeptidase II	1.302591021	
P39831	ydfG	b1539	noessential	"L-allo-threonine dehydrogenase; NAD(P)-binding"	6.617315851	0.19949
P0A986	b1552	b1552	noessential	"Qin prophage; cold shock protein"		
P76160	b1555	b1555	noessential	"Qin prophage; predicted protein"		0.18512
P36995	cspB	b1557	noessential	"Qin prophage; cold shock protein"	5.188877733	
P0C077	relE	b1563	noessential	"Qin prophage; toxin of the RelE-RelB toxin-antitoxin system"		
P0C079	relB	b1564	noessential	"Qin prophage; bifunctional antitoxin of the RelE-RelB toxin-antitoxin system and transcriptional repressor"		
P38104	rspA	b1581	noessential	predicted dehydratase		
P0A6E9	b1593	b1593	noessential	predicted dethiobiotin synthetase		
P76176	b1598	b1598	noessential	predicted peptidase		
P05042	fumC	b1611	noessential	"fumarate hydratase (fumarase C);aerobic Class II"	0.943162377	
P00946	manA	b1613	noessential	mannose-6-phosphate isomerase	2.774594433	
P77376	b1624	b1624	noessential	predicted oxidoreductase		
P64467	b1625	b1625	noessential	predicted regulator		
P77223	b1628	b1628	noessential	predicted iron-sulfur protein		
P77611	rsxC	b1629	noessential	fused predicted 4Fe-4S ferredoxin-type protein -!- conserved protein	1.002873836	
P0AB83	nth	b1633	noessential	DNA glycosylase and apyrimidinic (AP) lyase (endonuclease III)		
P0AFI7	pdxH	b1638	noessential	pyridoxine 5'-phosphate oxidase	4.017367335	
P64474	b1648	b1648	noessential	conserved protein		
P67430	b1649	b1649	noessential	predicted DNA-binding transcriptional regulator		
P0AC81	gloA	b1651	noessential	"glyoxalase I; Ni-dependent"		
P30015	lhr	b1653	noessential	predicted ATP-dependent helicase	0.151489303	
P0AC69	ydhD	b1654	noessential	conserved protein	10.01228778	0.11538
P0ACX3	b1667	b1667	noessential	predicted protein		
P77148	b1668	b1668	noessential	conserved protein with FAD/NAD(P)-binding domain		
P77564	b1672	b1672	noessential	predicted protein		
P76192	b1673	b1673	noessential	predicted oxidoreductase		
P0ACX5	b1675	b1675	noessential	predicted protein		
P0AD61	pykF	b1676	noessential	pyruvate kinase I		
P76193	ynhG	b1678	noessential	conserved protein	0.809792465	
P64476	b1685	b1685	noessential	predicted protein		
P77748	ydiJ	b1687	noessential	predicted FAD-linked oxidoreductase	2.638270487	
P0A6D5	ydiB	b1692	noessential	"quinate/shikimate 5-dehydrogenase; NAD(P)-binding"	0.846013275	
P23538	pps	b1702	noessential	phosphoenolpyruvate synthase	4.170224366	0.23459
P0A8A4	ydiA	b1703	noessential	conserved protein	1.61089891	
P0A8M3	thrS	b1719	essential	threonyl-tRNA synthetase	17.9291684	0.8248
P06999	pfkB	b1723	noessential	6-phosphofructokinase II		
P0AE60	b1731	b1731	noessential	cell division modulator		
P21179	katE	b1732	noessential	hydroperoxidase HPII(III) (catalase)		0.6485
P37794	ydjC	b1733	noessential	conserved protein		
P18843	nadE	b1740	essential	"NAD synthetase; NH3/glutamine-dependent"	2.18571279	
P77754	spy	b1743	noessential	envelope stress induced periplasmic protein		
P76216	b1745	b1745	noessential	succinylarginine dihydrolase		
P77581	astC	b1748	noessential	"succinylornithine transaminase; PLP-dependent"	0.819362533	
P09030	xthA	b1749	noessential	exonuclease III	3.295807248	
P14294	topB	b1763	noessential	DNA topoisomerase III	1.620805501	
P0ACY1	ydjA	b1765	noessential	predicted oxidoreductase	4.577463274	
P0A962	ansA	b1767	noessential	cytoplasmic L-asparaginase I	1.258095296	
P21369	ydjB	b1768	noessential	nicotinamidase/pyrazinamidase		
P77721	b1770	b1770	noessential	predicted DNA-binding transcriptional regulator		
P77704	b1773	b1773	noessential	predicted aldolase		
P0A746	yeaA	b1778	noessential	methionine sulfoxide reductase B	15.79789913	
P0A9B2	gapA	b1779	essential	glyceraldehyde-3-phosphate dehydrogenase A		
P76251	yeaU	b1800	noessential	predicted dehydrogenase		
P09155	rnd	b1804	noessential	ribonuclease D	1.716342953	
P43337	yeaB	b1813	noessential	predicted NUDIX hydrolase	1.849759001	
P69797	manX	b1817	noessential	fused mannose-specific PTS enzymes: IIA component -!- IIB component		
P69801	manY	b1818	noessential	mannose-specific enzyme IIC component of PTS	1.989331436	0.20042
P0A9Y6	cspC	b1823	noessential	"stress protein; member of the CspA-family"	99.26409993	
P23894	htpX	b1829	noessential	predicted endopeptidase	9.085872423	
P45577	yebJ	b1831	noessential	predicted structural transport element		0.16561
P33218	yebE	b1846	noessential	conserved protein	1.688660975	
P0ACY9	yebG	b1848	noessential	conserved protein regulated by LexA	3.979177637	
P0ADF6	edd	b1851	noessential	6-phosphogluconate dehydratase		
P0AC53	zwf	b1852	noessential	glucose-6-phosphate dehydrogenase	4.37335545	0.27965
P21599	pykA	b1854	noessential	pyruvate kinase II	0.709461596	0.43586
P24205	lpxM	b1855	noessential	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase	5.128878117	
P0A9X1	yebM	b1858	noessential	zinc transporter subunit: ATP-binding component of ABC superfamily		
P24238	yebB	b1862	noessential	predicted protein		
P0A814	ruvC	b1863	noessential	"component of RuvABC resolvasome; endonuclease"	1.20838335	
P0A8A0	yebC	b1864	noessential	conserved protein	3.81957722	0.34454
P21889	aspS	b1866	essential	aspartyl-tRNA synthetase	5.511100467	
P52007	yecM	b1875	noessential	predicted metal-binding enzyme	4.807710253	
P0AE67	cheY	b1882	noessential	chemotaxis regulator transmitting signal to flagellar motor component		
P07017	tar	b1886	noessential	methyl-accepting chemotaxis protein II		
P0A964	cheW	b1887	noessential	purine-binding chemotaxis protein		
P0ABY7	flhC	b1891	noessential	DNA-binding transcriptional dual regulator with FlhD	4.125375966	
P0A8S9	flhD	b1892	noessential	DNA-binding transcriptional dual regulator with FlhC	10.78381483	
P31677	otsA	b1896	noessential	trehalose-6-phosphate synthase	2.815969266	
P0ABF8	pgsA	b1912	essential	phosphatidylglycerophosphate synthetase	1.365633334	
P0A8G0	uvrC	b1913	noessential	"excinuclease UvrABC; endonuclease subunit"	3.31346875	
P0AED5	uvrY	b1914	noessential	DNA-binding response regulator in two-component regulatory system with BarA	9.330285967	
P07026	sdiA	b1916	noessential	DNA-binding transcriptional activator	1.608406824	
P37774	yecC	b1917	noessential	predicted transporter subunit: ATP-binding component of ABC superfamily		
P76316	yedO	b1919	noessential	"D-cysteine desulfhydrase; PLP-dependent"	0.479412407	
P0AEM9	fliY	b1920	noessential	cystine transporter subunit -!- periplasmic-binding component of ABC superfamily	5.348256628	
P15070	fliN	b1946	noessential	flagellar motor switching and energizing component		
P46144	yedJ	b1962	noessential	predicted phosphohydrolase	4.808055464	
P31658	yedU	b1967	noessential	Hsp31 molecular chaperone		
P76339	yedV	b1968	noessential	predicted sensory kinase in two-component regulatory system with YedW		
P76340	yedW	b1969	noessential	predicted DNA-binding response regulator in two-component system with YedV		
P0A8A2	b1983	b1983	noessential	conserved protein		
P36562	cobT	b1991	noessential	nicotinate-nucleotide dimethylbenzimidazole-P phophoribosyl transferase	1.346552947	
P39180	flu	b2000	noessential	"CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter"		
P76361	yeeR	b2001	noessential	"CP4-44 prophage; predicted membrane protein"		
P0A8M6	yeeX	b2007	noessential	conserved protein	11.65102078	
P04995	sbcB	b2011	noessential	exonuclease I		
P06986	hisC	b2021	noessential	histidinol-phosphate aminotransferase	1.063402271	
P06989	hisI	b2026	noessential	fused phosphoribosyl-AMP cyclohydrolase -!- phosphoribosyl-ATP pyrophosphatase		
P00350	gnd	b2029	noessential	"gluconate-6-phosphate dehydrogenase; decarboxylating"		
P37751	wbbK	b2032	noessential	lipopolysaccharide biosynthesis protein		
P37747	glf	b2036	noessential	"UDP-galactopyranose mutase; FAD/NAD(P)-binding"		0.06614
P37760	rfbD	b2040	noessential	"dTDP-4-dehydrorhamnose reductase subunit; NAD(P)-binding; of dTDP-L-rhamnose synthase"	6.254310572	
P0AAB6	galF	b2042	noessential	predicted subunit with GalU	20.42286656	0.17934
P76389	yegH	b2063	noessential	fused predicted membrane protein -!- predicted membrane protein	0.452873437	
P28249	asmA	b2064	noessential	predicted assembly protein	2.576487483	
P28248	dcd	b2065	noessential	2'-deoxycytidine 5'-triphosphate deaminase		
P38097	yegE	b2067	noessential	"predicted diguanylate cyclase; GGDEF domain signalling protein"	0.924697288	
P04395	alkA	b2068	noessential	3-methyl-adenine DNA glycosylase II	0.593185116	
P76396	b2073	b2073	noessential	conserved protein		
P76397	b2074	b2074	noessential	"multidrug efflux system; subunit A"		
P69228	baeR	b2079	noessential	DNA-binding response regulator in two-component regulatory system with BaeS		
P76406	b2085	b2085	noessential	predicted protein		
P37188	gatB	b2093	noessential	galactitol-specific enzyme IIB component of PTS	3.608141692	
P69828	gatA	b2094	noessential	galactitol-specific enzyme IIA component of PTS	3.850556796	
P0C8J8	gatZ	b2095	noessential	"D-tagatose 1;6-bisphosphate aldolase 2; subunit"	8.86487608	0.71752
P0C8J6	gatY	b2096	noessential	"D-tagatose 1;6-bisphosphate aldolase 2; catalytic subunit"	25.95754551	
P0A991	b2097	b2097	noessential	fructose-bisphosphate aldolase class I		
P76418	yegU	b2099	noessential	predicted hydrolase		
P00959	metG	b2114	essential	methionyl-tRNA synthetase	5.153160907	
P33348	yehL	b2119	noessential	predicted transporter subunit: ATP-binding component of ABC superfamily		
P33358	mlrA	b2127	noessential	DNA-binding transcriptional regulator	2.414915665	
P0AFI5	pbpG	b2134	noessential	D-alanyl-D-alanine endopeptidase	1.619175982	
P33368	yohF	b2137	noessential	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	0.601540374	
P33371	yohI	b2140	noessential	tRNA-dihydrouridine synthase C		
P25889	yeiA	b2147	noessential	predicted oxidoreductase	0.117945121	
P17315	cirA	b2155	noessential	ferric iron-catecholate outer membrane transporter	0.563265057	
P0A6C1	nfo	b2159	noessential	endonuclease IV with intrinsic 3'-5' exonuclease activity	2.358690538	
P0AEW9	fruK	b2168	noessential	fructose-1-phosphate kinase	1.11744857	
P0A6N8	yeiP	b2171	noessential	predicted elongtion factor	3.231115817	
P76446	rtn	b2176	noessential	conserved protein	1.11085989	
P0AA43	rsuA	b2183	noessential	16S rRNA pseudouridylate 516 synthase	4.376377356	
P33919	yejH	b2184	noessential	predicted ATP-dependet helicase	0.819158478	
P0AD24	yejL	b2187	noessential	conserved protein	5.065692358	
P0A9I5	napD	b2207	noessential	assembly protein for periplasmic nitrate reductase		
P0AB85	yojL	b2214	noessential	predicted thiamine biosynthesis lipoprotein		
P06996	ompC	b2215	noessential	outer membrane porin protein C	66.11476382	
P39838	yojN	b2216	noessential	phosphotransfer intermediate protein in two-component regulatory system with RcsBC		
P69407	rcsB	b2217	noessential	DNA-binding response regulator in two-component regulatory system with RcsC and YojN	19.15767328	0.16136
P14376	rcsC	b2218	noessential	hybrid sensory kinase in two-component regulatory system with RcsB and YojN		
P0AES4	gyrA	b2231	essential	"DNA gyrase (type II topoisomerase); subunit A"	6.570290688	
P17993	ubiG	b2232	noessential	bifunctional 3-demethylubiquinone-9 3-methyltransferase and 2-octaprenyl-6-hydroxy phenol methylase	3.69724593	
P00452	nrdA	b2234	essential	"ribonucleoside diphosphate reductase 1; alpha subunit"	4.214056385	0.02047
P0A996	glpC	b2243	noessential	"sn-glycerol-3-phosphate dehydrogenase (anaerobic); small subunit"		
P77732	b2248	b2248	noessential	predicted DNA-binding transcriptional regulator		
P52006	yfaO	b2251	noessential	predicted NUDIX hydrolase		
P77398	b2255	b2255	noessential	fused UDP-L-Ara4N formyltransferase -!- UDP-GlcA C-4'-decarboxylase		
P29208	menC	b2261	noessential	o-succinylbenzoyl-CoA synthase		
P0ABU0	menB	b2262	noessential	dihydroxynaphthoic acid synthetase		
P17109	menD	b2264	noessential	bifunctional 2-oxoglutarate decarboxylase and SHCHC synthase	0.498770426	
P0AEH5	elaB	b2266	noessential	conserved protein	47.72701918	0.39114
P0AEH3	elaA	b2267	noessential	predicted acyltransferase with acyl-CoA N-acyltransferase domain	3.797671114	
P33602	nuoG	b2283	noessential	"NADH:ubiquinone oxidoreductase; chain G"		
P31979	nuoF	b2284	noessential	"NADH:ubiquinone oxidoreductase; chain F"	1.356570869	
P0AFD1	nuoE	b2285	noessential	"NADH:ubiquinone oxidoreductase; chain E"	8.009589916	
P33599	nuoC	b2286	noessential	"NADH:ubiquinone oxidoreductase; chain C;D"	6.287468662	
P0AFC7	nuoB	b2287	noessential	"NADH:ubiquinone oxidoreductase; chain B"	11.66003673	
P0AFC3	nuoA	b2288	noessential	"NADH:ubiquinone oxidoreductase; membrane subunit A"	8.070578836	0.16291
P0A959	b2290	b2290	noessential	predicted aminotransferase		
P77625	yfbT	b2293	noessential	predicted hydrolase or phosphatase	2.394876395	
P0A6A3	ackA	b2296	noessential	acetate kinase A and propionate kinase 2	4.180004927	
P0A9M8	pta	b2297	noessential	phosphate acetyltransferase		
P65556	b2299	b2299	noessential	predicted NUDIX hydrolase		
P67095	yfcE	b2300	noessential	predicted phosphatase		
P77544	yfcF	b2301	noessential	predicted enzyme		
P0AEU0	hisJ	b2309	noessential	histidine/lysine/arginine/ornithine transporter subunit -!- periplasmic-binding component of ABC superfamily	1.520671808	
P09551	argT	b2310	noessential	lysine/arginine/ornithine transporter subunit -!- periplasmic-binding component of ABC superfamily	3.144975363	
P0AG03	ubiX	b2311	noessential	3-octaprenyl-4-hydroxybenzoate carboxy-lyase		
P09549	dedD	b2314	noessential	conserved protein	2.516803424	
P08192	folC	b2315	essential	bifunctional folylpolyglutamate synthase and dihydrofolate synthase	1.160324446	
P07649	truA	b2318	noessential	pseudouridylate synthase I	2.440254338	
P0A953	fabB	b2323	essential	3-oxoacyl-[acyl-carrier-protein] synthase I	14.34719178	
P77399	b2341	b2341	noessential	fused enoyl-CoA hydratase and epimerase and isomerase -!- 3-hydroxyacyl-CoA dehydrogenase		
P37326	intC	b2349	noessential	"CPS-53 (KpLE1) prophage; predicted prophage CPS-53 integrase"		
P00926	dsdA	b2366	noessential	D-serine ammonia-lyase	0.100001475	
P30855	evgS	b2370	noessential	hybrid sensory histidine kinase in two-component regulatory system with EvgA	1.525168314	
P0AFI0	oxc	b2373	noessential	predicted oxalyl-CoA decarboxylase	0.105754324	
P77585	b2384	b2384	noessential	predicted peptidase		
P76524	b2385	b2385	noessential	predicted peptidase		
P0ACR7	yfeR	b2409	noessential	predicted DNA-binding transcriptional regulator		
P15042	lig	b2411	essential	"DNA ligase; NAD(+)-dependent"		
P16703	cysM	b2421	noessential	cysteine synthase B (O-acetylserine sulfhydrolase B)	2.678685217	
P37440	ucpA	b2426	noessential	"predicted oxidoredutase; sulfate metabolism protein"	1.308974723	
P76535	yfeU	b2428	noessential	predicted PTS component	0.05292741	
P36553	hemF	b2436	noessential	coproporphyrinogen III oxidase		
P0AEJ6	eutB	b2441	noessential	"ethanolamine ammonia-lyase; large subunit; heavy chain"	2.616573071	
P76543	b2443	b2443	noessential	"CPZ-55 prophage; predicted protein"		
P77218	eutI	b2458	noessential	predicted phosphotransacetylase subunit		
P65643	b2459	b2459	noessential	predicted cobalamin adenosyltransferase in ethanolamine utilization		
P76558	b2463	b2463	noessential	fused malic enzyme predicted oxidoreductase -!- predicted phosphotransacetylase		
P33570	tktB	b2465	noessential	"transketolase 2; thiamin-binding"	0.679359815	
P37128	yffH	b2467	noessential	predicted NUDIX hydrolase		
P76562	ypfI	b2474	noessential	predicted hydrolase	0.467995667	
P0A6L2	dapA	b2478	essential	dihydrodipicolinate synthase	17.66472705	
P69931	b2496	b2496	essential	ATPase regulatory factor involved in DnaA inactivation		
P0A7B1	ppk	b2501	noessential	"polyphosphate kinase; component of RNA degradosome"	2.020893684	
P04079	guaA	b2507	noessential	GMP synthetase (glutamine aminotransferase)	6.412027304	
P0A6P5	b2511	b2511	essential	predicted GTP-binding protein		
P60906	hisS	b2514	essential	histidyl tRNA synthetase	9.212667882	
P62620	gcpE	b2515	essential	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase		
P27434	yfgA	b2516	noessential	conserved protein	6.107724348	
P36979	yfgB	b2517	noessential	predicted enzyme	3.669631762	
P0A763	ndk	b2518	noessential	multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase	17.53579203	0.02991
P76578	b2520	b2520	noessential	conserved protein		
P37095	pepB	b2523	noessential	aminopeptidase B		
P0ACD4	b2529	b2529	noessential	scaffold protein		0.0408
P0A6B7	b2530	b2530	noessential	"cysteine desulfurase (tRNA sulfurtransferase); PLP-dependent"		0.13727
P77509	yphE	b2547	noessential	fused predicted sugar transporter subunits of ABC superfamily: ATP-binding components		
P0A825	glyA	b2551	noessential	serine hydroxymethyltransferase	31.52434522	1.8741
P0A9Z1	glnB	b2553	noessential	regulatory protein P-II for glutamine synthetase	5.276979561	
P0AFU4	yfhA	b2554	noessential	predicted DNA-binding response regulator in two-component system	0.986434861	
P15254	purL	b2557	noessential	phosphoribosylformyl-glycineamide synthetase	5.370401963	
P68398	yfhC	b2559	noessential	tRNA-specific adenosine deaminase		
P24224	acpS	b2563	essential	holo-[acyl-carrier-protein] synthase 1		
P0A7H3	recO	b2565	noessential	gap repair protein	1.968372918	
P06616	era	b2566	essential	"membrane-associated; 16S rRNA-binding GTPase"	7.761329258	
P0A7Y0	rnc	b2567	noessential	RNase III	12.37439758	
P60785	lepA	b2569	noessential	GTP-binding membrane protein	2.846063946	
P68066	yfiD	b2579	noessential	pyruvate formate lyase subunit	3.612923022	
P12295	ung	b2580	noessential	uracil-DNA-glycosylase	1.242139903	
P0AGJ5	yfiF	b2581	noessential	predicted methyltransferase	1.320536007	
P76594	yfiQ	b2584	noessential	fused predicted acyl-CoA synthetase: NAD(P)-binding subunit -!- ATP-binding subunit	1.163851466	
P23830	pssA	b2585	essential	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)	6.556476944	0.38656
P63284	clpB	b2592	noessential	protein disaggregation chaperone	1.509805081	0.20738
P33643	sfhB	b2594	noessential	23S rRNA pseudouridine synthase		
P0AD49	yfiA	b2597	noessential	cold shock protein associated with 30S ribosomal subunit		0.93535
P07023	tyrA	b2600	noessential	fused chorismate mutase T -!- prephenate dehydrogenase	1.379707445	
P0A7B3	yfjB	b2615	essential	NAD kinase		
P05824	recN	b2616	noessential	recombination and repair protein		
P0A832	smpB	b2620	noessential	trans-translation protein	6.366705984	
P52126	yfjK	b2627	noessential	"CP4-57 prophage; conserved protein"	0.557358931	
P52127	yfjL	b2628	noessential	"CP4-57 prophage; predicted protein"	1.53880126	
P25526	gabD	b2661	noessential	"succinate-semialdehyde dehydrogenase I; NADP-dependent"		
P77295	b2667	b2667	noessential	predicted DNA-binding transcriptional regulator		
P55734	ygaP	b2668	noessential	predicted inner membrane protein with hydrolase activity		
P0AC65	nrdH	b2673	noessential	glutaredoxin-like protein		
P0A6W9	gshA	b2688	noessential	gamma-glutamate-cysteine ligase	4.810161152	
P77475	yqaB	b2690	noessential	predicted hydrolase	3.614570282	
P69913	csrA	b2696	essential	pleiotropic regulatory protein for carbon source metabolism	77.996549	0.94454
P00957	alaS	b2697	essential	alanyl-tRNA synthetase	9.756847146	
P41052	mltB	b2701	noessential	membrane-bound lytic murein transglycosylase B	0.745002085	
P0AEV9	hycI	b2717	noessential	protease involved in processing C-terminal end of HycE		
P16431	hycE	b2721	noessential	"hydrogenase 3; large subunit"		
P0AEV4	hycA	b2725	noessential	regulator of the transcriptional regulator FhlA		
P0A700	hypA	b2726	noessential	protein involved in nickel insertion into hydrogenases 3		
P0AAN3	hypB	b2727	noessential	GTP hydrolase involved in nickel liganding into hydrogenases		
P0AAM3	hypC	b2728	noessential	protein required for maturation of hydrogenases 1 and 3		
P24192	hypD	b2729	noessential	protein required for maturation of hydrogenases	0.448070179	
P24193	hypE	b2730	noessential	"carbamoyl phosphate phosphatase; hydrogenase 3 maturation protein"	0.556928449	
Q57261	ygbO	b2745	noessential	pseudoruidine synthase		
P62617	ygbB	b2746	essential	"2C-methyl-D-erythritol 2;4-cyclodiphosphate synthase"		
P23845	cysN	b2751	noessential	"sulfate adenylyltransferase; subunit 1"	0.202560865	
Q46896	ygbT	b2755	noessential	conserved protein	0.147332895	
P65870	ygcM	b2765	noessential	6-pyruvoyl tetrahydrobiopterin synthase (PTPS)	1.952334595	
P76633	ygcW	b2774	noessential	predicted deoxygluconate dehydrogenase		
P55138	ygcE	b2776	noessential	predicted kinase		
P64554	ygcF	b2777	noessential	conserved protein	2.883885264	
P0A6P9	eno	b2779	essential	enolase	21.83182138	0.16573
P0AEC5	barA	b2786	noessential	"hybrid sensory histidine kinase; in two-component regulatory system with UvrY"	0.726401996	
P0A8U0	syd	b2793	noessential	predicted protein		
P38506	exo	b2798	noessential	exonuclease IX (5'-3' exonuclease)	1.87895379	
P11553	fucK	b2803	noessential	L-fuculokinase		
P0AEN8	fucU	b2804	noessential	L-fucose mutarotase	1.059549192	
Q46925	b2810	b2810	noessential	cysteine sulfinate desulfinase		
P0A935	mltA	b2813	noessential	membrane-bound lytic murein transglycosylase A	4.574332476	
P04993	recD	b2819	noessential	"exonuclease V (RecBCD complex); alpha chain"		
P08394	recB	b2820	noessential	"exonuclease V (RecBCD complex); beta subunit"	0.49877229	
P0A884	thyA	b2827	noessential	thymidylate synthetase	3.005701487	
P0A776	ygdP	b2830	noessential	nucleotide hydrolase		
P06722	mutH	b2831	noessential	methyl-directed mismatch repair protein		
P00861	lysA	b2838	noessential	"diaminopimelate decarboxylase; PLP-binding"	0.711113997	
Q46938	kduI	b2843	noessential	predicted 5-keto 4-deoxyuronate isomerase	0.158435863	
Q46939	yqeF	b2844	noessential	predicted acyltransferase	5.576979593	
Q46798	b2865	b2865	noessential	Tetratricopeptide repeat transcriptional regulator		
Q46799	b2866	b2866	noessential	"xanthine dehydrogenase; molybdenum binding subunit"		
Q46802	ygeV	b2869	noessential	predicted DNA-binding transcriptional regulator	0.185304671	
Q46806	hyuA	b2873	noessential	D-stereospecific phenylhydantoinase		
Q46807	yqeA	b2874	noessential	predicted amino acid kinase		
Q46808	yqeB	b2875	noessential	conserved protein with NAD(P)-binding Rossman fold		
Q46820	ygfT	b2887	noessential	fused predicted oxidoreductase: Fe-S subunit -!- nucleotide-binding subunit		
Q46821	ygfU	b2888	noessential	predicted transporter		
P0A8N3	lysS	b2890	noessential	"lysine tRNA synthetase; constitutive"	4.516207058	0.5422
P21893	recJ	b2892	noessential	"ssDNA exonuclease; 5' --> 3'-specific"	1.754960541	
P0AEG6	dsbC	b2893	noessential	protein disulfide isomerase II	5.196620063	
P33195	gcvP	b2903	noessential	"glycine decarboxylase; PLP-dependent; subunit (protein P) of glycine cleavage complex"	1.055721158	
P27248	gcvT	b2905	noessential	"aminomethyltransferase; tetrahydrofolate-dependent; subunit (T protein) of glycine cleavage complex"	1.254846917	
P25535	visC	b2906	noessential	predicted oxidoreductase with FAD/NAD(P)-binding domain	0.829592795	
P25534	ubiH	b2907	noessential	"2-octaprenyl-6-methoxyphenol hydroxylase; FAD/NAD(P)-binding"	1.527041809	
P15034	pepP	b2908	noessential	proline aminopeptidase P II	3.379149323	
P0A8C4	ygfB	b2909	noessential	predicted protein	9.306331272	
P0AC28	ygfA	b2912	noessential	predicted ligase		
P0A8S1	iciA	b2916	noessential	"DNA-binding transcriptional activator; replication initiation inhibitor"		
P52043	ygfH	b2920	noessential	propionyl-CoA:succinate-CoA transferase	0.213332002	
P0ADS6	yggE	b2922	noessential	conserved protein	2.931300406	
P0AB71	fba	b2925	essential	"fructose-bisphosphate aldolase; class II"		0.21362
P0A799	pgk	b2926	essential	phosphoglycerate kinase	20.2293362	0.69951
P27302	tktA	b2935	noessential	"transketolase 1; thiamin-binding"	4.270168869	0.09567
P0A817	metK	b2942	essential	methionine adenosyltransferase 1	8.30622344	0.5837
P39902	sprT	b2944	noessential	conserved protein		
P0A8W5	yqgE	b2948	noessential	predicted protein	5.263417051	
P0A8I1	yqgF	b2949	essential	predicted Holliday junction resolvase		
P67080	yggS	b2951	noessential	predicted enzyme		
P52061	yggV	b2954	noessential	dITP/XTP pyrophosphatase		
P52062	yggW	b2955	noessential	predicted oxidoreductase	0.994455502	
P0A8I5	yggH	b2960	noessential	"tRNA (m7G46) methyltransferase; SAM-dependent"		
P17802	mutY	b2961	noessential	adenine DNA glycosylase	1.16914864	
P0A8P3	yggX	b2962	noessential	protein that protects iron-sulfur proteins against oxidative damage	3.100462495	0.06113
P21169	speC	b2965	noessential	"ornithine decarboxylase; constitutive"	0.727186865	
Q46835	b2971	b2971	noessential	predicted protein		
P37330	glcB	b2976	noessential	malate synthase G		
P37182	hybD	b2993	noessential	predicted maturation element for hydrogenase 2		
P0AG84	yghA	b3003	noessential	"predicted glutathionylspermidine synthase; with NAD(P)-binding Rossmann-fold domain"		
Q46856	yqhD	b3011	noessential	"alcohol dehydrogenase; NAD(P)-dependent"		
P0AFI2	parC	b3019	essential	"DNA topoisomerase IV; subunit A"	2.906842346	
P20083	parE	b3030	essential	"DNA topoisomerase IV; subunit B"	2.361299233	
P0A7J0	ribB	b3041	essential	"3;4-dihydroxy-2-butanone-4-phosphate synthase"	6.223884359	0.11475
P30870	glnE	b3053	noessential	fused deadenylyltransferase -!- adenylyltransferase for glutamine synthetase	1.348551728	
P30871	ygiF	b3054	noessential	predicted adenylate cyclase	2.272661504	
P06961	cca	b3056	essential	fused tRNA nucleotidyl transferase -!- 2'3'-cyclic phosphodiesterase and 2'nucleotidase and phosphatase	4.76177142	
P45463	ygiP	b3060	noessential	predicted DNA-binding transcriptional regulator		
