Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Copy number per cell	mRNA	ABS_CALL	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P76027	JW1238	ECK1240	oppD	oligopeptide transporter subunit -!- ATP-binding component of ABC superfamily	1.82	84	3.76	2	34.42	9	342	0	-0.009	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0ABJ9	JW0722	ECK0721	cydA	cytochrome d terminal oxidase. subunit I	3.64	165.27	3.72	2	21.07	10	505	9	0.397	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AEP3	JW1224	ECK1231	galU	glucose-1-phosphate uridylyltransferase	12.59	550	3.68	2	66.89	15	792	0	0.031	GO:0030113 capsule (sensu Bacteria)
P68699	JW3715	ECK3730	atpE	F0 sector of membrane-bound ATP synthase. subunit c	9	398	3.68	2	20.25	2	60	2	1.267	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A6E6	JW3709	ECK3724	atpC	F1 sector of membrane-bound ATP synthase. epsilon subunit	9	398	3.67	2	58.99	5	271	0	-0.095	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A847	JW0396	ECK0400	tgt	tRNA-guanine transglycosylase	3.64	165.27	3.66	2	38.13	11	673	0	-0.412	GO:0005737 cytoplasm
P68679	JW3037	ECK3055	rpsU	30S ribosomal subunit protein S21	2153.43	80476.72	3.66	2	43.66	6	197	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AEX9	JW3994	ECK4026	malE	maltose transporter subunit -!- periplasmic-binding component of ABC superfamily	12.18	533.01	3.63	2	73.74	24	1031	0	-0.251	GO:0042597 periplasmic space
P00960	JW3531	ECK3548	glyQ	glycine tRNA synthetase. alpha subunit	27.94	1192.11	3.63	2	61.72	14	621	0	-0.392	GO:0005737 cytoplasm
P75818	JW0849	ECK0856	ybjP	predicted lipoprotein	1.85	85.75	3.63	2	36.84	4	294	0	-0.459	0
P0AGJ9	JW1629	ECK1633	tyrS	tyrosyl-tRNA synthetase	11.74	514.33	3.62	2	56.37	18	1000	0	-0.334	GO:0005737 cytoplasm
P0A8M0	JW0913	ECK0921	asnS	asparaginyl tRNA synthetase	8.26	365.77	3.57	2	56.65	25	1509	0	-0.257	GO:0005737 cytoplasm
P0A799	JW2893	ECK2922	pgk	phosphoglycerate kinase	64.79	1285.46	3.56	2	82.95	28	1738	0	0.072	GO:0005737 cytoplasm
P0ACJ8	JW5702	ECK3345	crp	DNA-binding transcriptional dual regulator	16.78	727.17	3.52	2	69.05	15	625	0	-0.225	GO:0005737 cytoplasm
P0A8R0	JW3900	ECK3921	rraA	ribonuclease E (RNase E) inhibitor protein	18.31	791.36	3.52	2	59.01	7	360	0	0.054	0
P0AB89	JW1117	ECK1117	purB	adenylosuccinate lyase	14.32	623.57	3.51	2	61.84	26	1187	0	-0.243	GO:0005737 cytoplasm
P0A9A6	JW0093	ECK0096	ftsZ	GTP-binding tubulin-like cell division protein	17.23	746.07	3.49	2	74.15	20	1053	0	-0.005	GO:0005737 cytoplasm
P21165	JW3823	ECK3839	pepQ	proline dipeptidase	5.19	233.11	3.47	2	56.88	17	871	0	-0.241	0
P0A9K9	JW3311	ECK3336	slyD	FKBP-type peptidyl prolyl cis-trans isomerase (rotamase)	16.78	727.17	3.43	2	35.71	4	304	0	-0.383	0
P68187	JW3995	ECK4027	malK	fused maltose transport subunit. ATP-binding component of ABC superfamily -!- regulatory protein	3.33	152	3.41	2	35	12	504	0	0.000	GO:0005737 cytoplasm
P0ADN2	JW3737	ECK3757	yifE	conserved protein	73.99	3064.53	3.39	2	83.93	13	657	0	-1.069	0
P0A7Z0	JW5475	ECK2910	rpiA	ribosephosphate isomerase. constitutive	14.85	645.93	3.39	2	54.34	11	560	0	0.000	0
P0A6Q3	JW0937	ECK0945	fabA	beta-hydroxydecanoyl thioester dehydrase	15.68	680.91	3.38	2	55.81	10	462	0	-0.012	0
P0A9H7	JW1653	ECK1657	cfa	cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)	0.86	41	3.37	2	18.32	6	313	0	-0.313	0
P69924	JW2229	ECK2227	nrdB	ribonucleoside diphosphate reductase 1. beta subunit. ferritin-like	4.48	202.12	3.33	2	52	15	636	0	-0.275	0
P0AB98	JW3716	ECK3731	atpB	F0 sector of membrane-bound ATP synthase. subunit a	9	398	3.33	2	22.88	5	192	5	0.807	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P06993	JW3381	ECK3405	malT	DNA-binding transcriptional activator. maltotriose-ATP-binding	0.33	16.12	3.32	2	11.21	6	300	0	-0.273	GO:0005737 cytoplasm
P41409	JW0646	ECK0644	rihA	ribonucleoside hydrolase 1	6.74	300.32	3.29	2	26.69	6	328	0	0.105	0
P77717	JW0443	ECK0447	ybaY	predicted outer membrane lipoprotein	5.31	238.33	3.29	2	32.63	3	118	0	0.176	0
P0AFH2	JW1236	ECK1238	oppB	oligopeptide transporter subunit -!- membrane component of ABC superfamily	2.73	125.04	3.28	2	13	3	100	6	0.767	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AEN1	JW3820	ECK3836	fre	flavin reductase	2.98	136.13	3.27	2	49	8	357	0	-0.123	0
P00350	JW2011	ECK2024	gnd	gluconate-6-phosphate dehydrogenase. decarboxylating	78.43	1366.35	3.24	2	86.54	39	2198	0	0.000	0
P15028	JW4250	ECK4280	fecB	"KpLE2 phage-like element; iron-dicitrate transporter subunit -!- periplasmic-binding component of ABC superfamily"	1.05	49.52	3.23	2	10	3	87	0	0.026	GO:0042597 periplasmic space
P75949	JW1093	ECK1093	nagZ	beta N-acetyl-glucosaminidase	0.62	29.71	3.14	2	12.32	4	138	0	-0.293	0
P0ADB1	JW1728	ECK1737	osmE	DNA-binding transcriptional regulator	16.78	727.17	3.11	2	38	4	272	1	-0.265	GO:0005737 cytoplasm
P0A903	JW2462	ECK2473	nlpB	lipoprotein	4.01	181.53	3.08	2	54.36	14	730	0	-0.265	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P18310	JW4020	ECK4051	ssb	Single-stranded DNA-binding protein	6.74	300.32	3.08	2	29.78	7	386	0	-0.708	GO:0005737 cytoplasm
P06999	JW5280	ECK1721	pfkB	6-phosphofructokinase II	1.05	49.52	3.08	2	18.77	5	274	0	0.012	GO:0005737 cytoplasm
P15639	JW3970	ECK3998	purH	fused IMP cyclohydrolase -!- phosphoribosylaminoimidazolecarboxamide formyltransferase	7	289.95	3.07	2	64.84	26	1655	0	-0.126	GO:0005737 cytoplasm
P21889	JW1855	ECK1867	aspS	aspartyl-tRNA synthetase	9	398	3.07	2	66.95	34	1538	0	-0.265	GO:0005737 cytoplasm
P0A887	JW5581	ECK3827	ubiE	bifunctional 2-octaprenyl-6-methoxy-1.4-benzoquinone methylase -!- S-adenosylmethionine:2-DMK methyltransferase	10.79	473.93	3.07	2	52.99	11	639	0	-0.168	0
P07913	JW3591	ECK3606	tdh	threonine 3-dehydrogenase. NAD(P)-binding	9	398	3.05	2	53.08	11	550	0	0.051	0
P02930	JW5503	ECK3026	tolC	transport channel	12.04	527.07	3.03	2	63.08	22	1303	0	-0.427	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P76576	JW2497	ECK2509	yfgM	conserved protein	1.58	73.59	3.02	2	52.43	7	473	1	-0.222	0
P0A8E1	JW5158	ECK1094	ycfP	conserved protein	7.38	327.93	3.02	2	68.89	10	344	0	-0.591	0
P0A927	JW0401	ECK0405	tsx	nucleoside channel. receptor of phage T6 and colicin K	17.74	767.47	3.01	2	55.44	10	617	0	-0.512	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0C8J6	JW5343	ECK2089	gatY	D-tagatose 1.6-bisphosphate aldolase 2. catalytic subunit	45.42	1909.42	26.98	2	71.48	19	852	0	-0.091	0
P0A6X3	JW4130	ECK4168	hfq	HF-I. host factor for RNA phage Q beta replication	2.16	99.64	25.05	2	23.53	2	111	0	-0.505	0
P69828	JW2078	ECK2087	gatA	galactitol-specific enzyme IIA component of PTS	13.68	596.53	24.44	2	62.26	4	264	0	-0.056	0
P08839	JW2409	ECK2411	ptsI	PEP-protein phosphotransferase of PTS system (enzyme I)	16.48	627.12	24.33	2	71	32	1889	0	0.000	0
P06996	JW2203	ECK2207	ompC	outer membrane porin protein C	77.48	3204.57	24.26	2	86	25	1583	0	-0.533	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A7Q1	JW1707	ECK1715	rpmI	50S ribosomal subunit protein L35	3.64	165.27	23.05	2	30.77	2	84	0	-0.617	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AA04	JW2408	ECK2410	ptsH	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)	55.23	2308.02	22.92	2	78.82	5	300	0	-0.166	0
P0ACF0	JW3964	ECK3992	hupA	HU. DNA-binding transcriptional regulator. alpha subunit	99	4064.14	22.49	2	71.11	7	407	0	-0.228	GO:0005737 cytoplasm
P0A9P0	JW0112	ECK0115	lpd	lipoamide dehydrogenase. E3 component is part of three enzyme complexes	49.55	2077.52	22.38	2	66.24	32	1970	0	-0.011	GO:0005737 cytoplasm
P69783	JW2410	ECK2412	crr	glucose-specific enzyme IIA component of PTS	9	398	22.37	2	66.86	9	477	0	0.057	GO:0005737 cytoplasm
P0AGD3	JW1648	ECK1652	sodB	superoxide dismutase. Fe	11.92	521.98	21.05	2	44.56	7	423	0	-0.169	GO:0005737 cytoplasm
P60624	JW3271	ECK3296	rplX	50S ribosomal subunit protein L24	1.467	55462.14	20.34	2	76.92	14	779	0	-0.381	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A6A8	JW1080	ECK1080	acpP	acyl carrier protein (ACP)	999	38218.95	20.31	2	42.31	4	199	0	-0.346	0
P0A800	JW3624	ECK3639	rpoZ	RNA polymerase. omega subunit	25.83	1104.73	2.98	2	92.31	7	430	0	-0.524	GO:0005737 cytoplasm
P0A746	JW1767	ECK1776	yeaA	methionine sulfoxide reductase B	12.34	540	2.97	2	61.31	7	259	0	-0.738	0
P0ADZ4	JW3134	ECK3154	rpsO	30S ribosomal subunit protein S15	18.31	791.36	2.94	2	69.66	8	357	0	-0.673	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A8C4	JW5473	ECK2904	ygfB	predicted protein	9	398	2.93	2	32.81	4	222	0	-0.362	0
P0ABK2	JW0723	ECK0722	cydB	cytochrome d terminal oxidase. subunit II	3.64	165.27	2.91	2	7.65	3	69	8	0.658	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A796	JW3887	ECK3908	pfkA	6-phosphofructokinase I	4.78	38.51	2.88	2	64.06	15	748	0	0.000	GO:0005737 cytoplasm
P0A715	JW1206	ECK1203	kdsA	3-deoxy-D-manno-octulosonate 8-phosphate synthase	11.33	496.91	2.87	2	72.89	19	1057	0	-0.028	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P24186	JW0518	ECK0522	folD	bifunctional 5.10-methylene-tetrahydrofolate dehydrogenase -!- 5.10-methylene-tetrahydrofolate cyclohydrolase	5.58	250.07	2.86	2	29.86	7	193	0	0.048	0
P76177	JW1596	ECK1599	ydgH	predicted protein	3.81	172.75	2.85	2	59	14	584	0	-0.324	0
P0AB71	JW2892	ECK2921	fbaA	fructose-bisphosphate aldolase. class II	137.95	3043.33	2.84	2	58.77	19	1363	0	-0.224	0
P61714	JW0405	ECK0409	ribE	riboflavin synthase beta chain	315.23	12491.64	2.84	2	66.67	10	784	0	0.294	0
P0AEE1	JW5682	ECK3456	dcrB	periplasmic protein	6.94	308.96	2.83	2	52.43	7	398	0	-0.229	0
P0AG14	JW1264	ECK1266	sohB	predicted inner membrane peptidase	2.16	99.64	2.79	2	42.12	9	412	2	-0.354	0
P0A7X3	JW3199	ECK3219	rpsI	30S ribosomal subunit protein S9	38.81	1639.38	2.77	2	66.92	13	460	0	-0.687	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P07862	JW0090	ECK0093	ddlB	D-Alanine:D-alanine ligase	0.67	32.03	2.76	2	15.03	4	199	0	0.077	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A6X7	JW1702	ECK1710	ihfA	integration host factor (IHF). DNA-binding protein. alpha subunit	22.71	975.11	2.75	2	75.76	9	370	0	-0.874	GO:0005737 cytoplasm
P13029	JW3914	ECK3934	katG	catalase/hydroperoxidase HPI(I)	10	444.52	2.74	2	62.95	37	1839	0	-0.372	0
P08178	JW2484	ECK2495	purM	phosphoribosylaminoimidazole synthetase	1.89	87.54	2.74	2	26.96	5	310	0	0.034	GO:0005737 cytoplasm
P0A6N4	JW4107	ECK4141	efp	Elongation factor EF-P	4.62	208.24	2.74	2	32.98	6	242	0	-0.221	GO:0005737 cytoplasm
P07117	JW1001	ECK1006	putP	proline:sodium symporter	1.78	83	2.74	2	5.78	2	141	12	0.785	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P00490	JW5689	ECK3404	malP	maltodextrin phosphorylase	8.26	365.77	2.73	2	60.73	44	2325	0	-0.348	0
P0ADE8	JW2866	ECK2893	ygfZ	predicted folate-dependent regulatory protein	5.95	266.13	2.73	2	60.43	16	821	0	-0.247	0
P34210	JW0799	ECK0803	ompX	outer membrane protein	25.83	1104.73	2.73	2	54	9	613	1	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AA31	JW1915	ECK1929	yedF	conserved protein	14.85	645.93	2.73	2	90.91	4	194	0	-0.271	0
P0ADE6	JW2640	ECK2659	ygaU	predicted protein	1.15	54.08	2.73	2	29.53	4	192	0	-0.458	0
P0AEM9	JW1905	ECK1919	fliY	cystine transporter subunit -!- periplasmic-binding component of ABC superfamily	0.35	17.07	2.72	2	11.28	3	90	0	-0.302	GO:0042597 periplasmic space
P0A6H1	JW0428	ECK0432	clpX	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	13.25	578.35	2.71	2	73.82	24	1411	0	-0.238	GO:0005737 cytoplasm
P0AF90	JW4212	ECK4248	yjgD	conserved protein	30.62	1302.81	2.69	2	39.13	3	143	0	-0.605	0
P0A9D8	JW0161	ECK0164	dapD	2.3.4.5-tetrahydropyridine-2-carboxylate N-succinyltransferase	45.42	1909.42	2.68	2	59.49	19	1017	0	-0.054	GO:0005737 cytoplasm
P0A9Z1	JW2537	ECK2550	glnB	regulatory protein P-II for glutamine synthetase	55.23	2308.02	2.68	2	66.96	11	365	0	0.009	GO:0005737 cytoplasm
P0ACC3	JW0152	ECK0155	yadR	conserved protein	5.31	238.33	2.68	2	42.98	4	241	0	-0.089	0
P0ABU0	JW2257	ECK2256	menB	dihydroxynaphthoic acid synthetase	7	289.95	2.67	2	43.51	11	550	0	0.000	0
P37194	JW3474	ECK3490	slp	outer membrane lipoprotein	2.59	118.82	2.67	2	40.43	4	170	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P00509	JW0911	ECK0919	aspC	aspartate aminotransferase. PLP-dependent	25.49	1090.63	2.64	2	75	28	1397	0	-0.202	GO:0005737 cytoplasm
P0A6J5	JW1178	ECK1177	dadA	D-amino acid dehydrogenase	4.88	220	2.64	2	57.41	17	890	0	-0.216	0
P0A9Q5	JW2313	ECK2310	accD	acetylCoA carboxylase. beta (carboxyltranferase) subunit	12.69	554.63	2.63	2	66.45	20	972	0	-0.129	GO:0005737 cytoplasm
P27434	JW2500	ECK2512	yfgA	conserved protein	4.01	181.53	2.61	2	23.15	7	263	1	-0.391	0
P16659	JW0190	ECK0194	proS	prolyl-tRNA synthetase	17.96	776.69	2.59	2	76.92	38	2164	0	-0.243	GO:0005737 cytoplasm
P0C0V0	JW0157	ECK0160	degP	serine endoprotease (protease Do). membrane-associated	4.62	208.24	2.59	2	39.24	13	803	0	-0.067	GO:0042597 periplasmic space
P12295	JW2564	ECK2578	ung	uracil-DNA-glycosylase	0.64	30.64	2.58	2	11.79	2	68	0	-0.283	GO:0005737 cytoplasm
P0AED0	JW3462	ECK3480	uspA	universal stress global response regulator	30.62	1302.81	2.56	2	70.14	6	380	0	-0.056	GO:0005737 cytoplasm
P0A9G6	JW3975	ECK4007	aceA	isocitrate lyase	19.15	1522.03	2.55	2	72.81	23	1336	0	-0.224	GO:0005737 cytoplasm
P0A908	JW1771	ECK1780	mipA	scaffolding protein for murein synthesizing machinery	7.25	322.33	2.54	2	42.74	9	488	0	-0.402	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0ACB0	JW4012	ECK4044	dnaB	replicative DNA helicase	0.47	22.71	2.54	2	11.46	5	216	0	-0.415	GO:0005737 cytoplasm
P77252	JW5041	ECK0305	ykgE	predicted oxidoreductase	0.36	17.54	2.53	2	9.62	2	84	0	0.037	0
P0A717	JW1198	ECK1195	prsA	phosphoribosylpyrophosphate synthase	26.38	1127.52	2.52	2	60.32	17	1259	0	0.096	0
P0ABC7	JW4132	ECK4170	hflK	modulator for HflB protease specific for phage lambda cII repressor	1.74	81	2.52	2	44.63	14	758	1	-0.632	0
P0AG40	JW0023	ECK0026	ribF	bifunctional riboflavin kinase -!- FAD synthetase	0.67	32.03	2.52	2	18.53	4	124	0	-0.067	GO:0005737 cytoplasm
P0A7U7	JW0022	ECK0024	rpsT	30S ribosomal subunit protein S20	315.23	12491.64	2.49	2	51.72	8	449	0	-0.705	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P03004	JW3679	ECK3694	dnaA	chromosomal replication initiator protein DnaA. DNA-binding transcriptional dual regulator	0.48	23.18	2.49	2	17.13	6	286	0	-0.364	GO:0005737 cytoplasm
P23836	JW1116	ECK1116	phoP	DNA-binding response regulator in two-component regulatory system with PhoQ	2.46	113.03	2.47	2	38.57	7	321	0	-0.257	GO:0005737 cytoplasm
P0A940	JW0172	ECK0176	yaeT	conserved protein	4.36	196.87	2.46	2	47.41	33	1804	0	-0.483	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AF93	JW5755	ECK4238	yjgF	ketoacid-binding protein	12.34	540	2.44	2	77.34	6	358	0	0.086	0
P0A7B8	JW3903	ECK3924	hslV	peptidase component of the HslUV protease	3.22	146.75	2.43	2	28.41	4	256	0	-0.034	GO:0005737 cytoplasm
P77330	JW0546	ECK0549	borD	"DLP12 prophage; predicted lipoprotein"	1.68	78	2.43	2	52.58	3	168	0	0.205	0
P78067	JW5287	ECK1755	ynjE	predicted thiosulfate sulfur transferase	0	9.92	2.43	2	4.14	2	51	0	-0.455	0
P23538	JW1692	ECK1700	pps	phosphoenolpyruvate synthase	8.52	376.93	2.42	2	52.02	38	2296	0	-0.243	0
P0ADR8	JW2766	ECK2790	ygdH	conserved protein	1.51	70.42	2.42	2	25.77	9	496	0	-0.107	0
P75691	JW0317	ECK0323	yahK	predicted oxidoreductase. Zn-dependent and NAD(P)-binding	3.08	140.56	2.42	2	30.66	9	459	0	-0.183	0
P0A8N5	JW4090	ECK4123	lysU	lysine tRNA synthetase. inducible	17.12	741.45	2.41	2	62.57	32	1638	0	-0.399	GO:0005737 cytoplasm
P0A6V8	JW2385	ECK2384	glk	glucokinase	1.58	73.59	2.39	2	30.84	7	347	0	0.154	GO:0005737 cytoplasm
P0AC19	JW2300	ECK2297	folX	D-erythro-7.8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase	3.33	152	2.38	2	60	6	323	0	-0.426	0
P0ADU5	JW2992	ECK3015	ygiW	conserved protein	2.73	125.04	2.38	2	26.15	4	109	0	-0.272	0
P0ADG7	JW5401	ECK2504	guaB	IMP dehydrogenase	13.87	604.57	2.37	2	72.54	24	1616	0	-0.098	GO:0005737 cytoplasm
P0AAT9	JW0638	ECK0636	ybeL	conserved protein	0.78	37.12	2.37	2	18.13	3	223	0	-0.604	0
P0A830	JW3496	ECK3513	dctA	C4-dicarboxylic acid. orotate and citrate transporter	1.78	83	2.35	2	10.05	4	257	8	0.872	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AAB4	JW3819	ECK3835	ubiD	3-octaprenyl-4-hydroxybenzoate decarboxylase	0.71	33.88	2.35	2	21.93	6	233	0	-0.248	0
P0A9J6	JW3731	ECK3746	rbsK	ribokinase	4.41	199.06	2.34	2	41.75	8	495	0	0.046	GO:0005737 cytoplasm
P0AFZ1	JW5404	ECK2519	sseB	rhodanase-like enzyme. sulfur transfer from thiosulfate	1.78	83	2.34	2	13.95	3	62	0	-0.176	0
P0AFP6	JW0700	ECK0699	ybgI	conserved metal-binding protein	2.16	99.64	2.32	2	25.51	4	230	0	-0.125	0
P0A9X4	JW3220	ECK3239	mreB	cell wall structural complex MreBCD. actin-like component MreB	28.55	1217.34	2.31	2	61.96	18	1003	0	0.057	0
P0A9B6	JW2894	ECK2923	epd	D-erythrose 4-phosphate dehydrogenase	0.39	18.96	2.31	2	9.73	3	127	0	-0.041	GO:0005737 cytoplasm
P69741	JW2965	ECK2991	hybO	hydrogenase 2. small subunit	1.15	54.08	2.28	2	6.72	3	86	1	-0.194	GO:0019866 inner membrane
P08622	JW0014	ECK0015	dnaJ	chaperone Hsp40. co-chaperone with DnaK	6.63	295.57	2.27	2	41.76	14	624	0	-0.634	GO:0005737 cytoplasm
P33195	JW2871	ECK2898	gcvP	glycine decarboxylase. PLP-dependent. subunit (protein P) of glycine cleavage complex	4.96	223.08	2.26	2	53.81	33	1797	0	-0.066	0
P37095	JW2507	ECK2520	pepB	aminopeptidase B	18.05	780.47	2.26	2	75.41	25	1384	0	-0.214	0
P04079	JW2491	ECK2503	guaA	GMP synthetase (glutamine aminotransferase)	31.82	1352.28	2.25	2	82	39	2094	0	-0.096	GO:0005737 cytoplasm
P0A9W3	JW4354	ECK4383	yjjK	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	11.74	514.33	2.24	2	74.23	34	1889	0	-0.478	GO:0005737 cytoplasm
P0AC69	JW1646	ECK1650	ydhD	conserved protein	5.31	238.33	2.24	2	46.09	4	295	0	-0.272	0
Q9S4W9	JW2455	ECK2466	yffB	conserved protein	0.93	44.02	2.24	2	22.03	2	108	0	-0.338	0
P36659	JW0985	ECK0991	cbpA	curved DNA-binding protein. DnaJ homologue that functions as a co-chaperone of DnaK	0.58	27.85	2.23	2	10.46	2	110	0	-0.592	GO:0005737 cytoplasm
P0A855	JW5100	ECK0729	tolB	periplasmic protein	6.85	305.07	2.19	2	52.56	15	812	0	-0.215	GO:0042597 periplasmic space
P16456	JW1753	ECK1762	selD	selenophosphate synthase	11.74	514.33	2.19	2	62.82	16	667	0	0.068	GO:0005737 cytoplasm
P0A9M0	JW0429	ECK0433	lon	DNA-binding ATP-dependent protease La	9.96	438.54	2.17	2	61.86	40	1673	0	-0.312	GO:0005737 cytoplasm
P0A6K6	JW4346	ECK4375	deoB	phosphopentomutase	8.09	358.47	2.17	2	61.92	18	870	0	-0.271	0
P46130	JW0755	ECK0761	ybhC	predicted pectinesterase	1.51	70.42	2.15	2	17	6	280	0	-0.358	GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AES4	JW2225	ECK2223	gyrA	DNA gyrase (type II topoisomerase). subunit A	5.63	252.24	2.14	2	51.89	40	1776	0	0.000	GO:0005737 cytoplasm
P17169	JW3707	ECK3722	glmS	L-glutamine:D-fructose-6-phosphate aminotransferase	17.74	767.47	2.14	2	67	32	1772	0	-0.101	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P04805	JW2395	ECK2394	gltX	glutamyl-tRNA synthetase	15.82	687	2.12	2	72	32	1708	0	-0.528	GO:0005737 cytoplasm
P0AAI3	JW3145	ECK3167	ftsH	protease. ATP-dependent zinc-metallo	7.89	349.88	2.12	2	56.83	31	1325	2	-0.263	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P75960	JW1106	ECK1106	cobB	deacetylase of acetyl-CoA synthetase. NAD-dependent	1.15	54.08	2.12	2	10.39	2	58	0	-0.354	0
P06710	JW0459	ECK0464	dnaX	DNA polymerase III/DNA elongation factor III. tau and gamma subunits	0.16	7.99	2.11	2	6.22	3	117	0	-0.258	GO:0005737 cytoplasm
P28248	JW2050	ECK2059	dcd	2'-deoxycytidine 5'-triphosphate deaminase	1.78	83	2.11	2	17.62	3	112	0	-0.162	0
P39310	JW5745	ECK4202	ytfB	predicted cell envelope opacity-associated protein	1.37	64.08	2.11	2	13.21	3	52	0	-0.574	0
P37749	JW2019	ECK2028	wbbI	conserved protein	1.99	92.03	2.09	2	29.09	9	471	0	-0.197	0
P0AD61	JW1666	ECK1672	pykF	pyruvate kinase I	20.54	1113.95	2.07	2	69.15	31	1631	0	-0.082	0
P0ACY3	JW1772	ECK1781	yeaG	conserved protein with nucleoside triphosphate hydrolase domain	0.58	27.85	2.07	2	14.44	9	265	0	-0.529	0
P69908	JW3485	ECK3502	gadA	glutamate decarboxylase A. PLP-dependent	0.35	17.07	2.06	2	9.66	3	137	0	-0.278	GO:0005737 cytoplasm
P0A840	JW2714	ECK2739	surE	broad specificity 5'(3')-nucleotidase and polyphosphatase	1.37	64.08	2.06	2	19.76	3	59	0	-0.075	0
P37744	JW2024	ECK2033	rfbA	glucose-1-phosphate thymidylyltransferase	10.29	452.62	2.05	2	68.26	18	844	0	-0.193	GO:0005737 cytoplasm
P07012	JW5847	ECK2886	prfB	peptide chain release factor RF-2	0	9.92	2.05	2	4.64	2	107	0	-1.008	GO:0005737 cytoplasm
P0AA25	JW5856	ECK3773	trxA	thioredoxin 1	45.42	1909.42	2.04	2	77.98	7	433	0	0.025	0
P0A8U6	JW3909	ECK3930	metJ	DNA-binding transcriptional repressor. S-adenosylmethionine-binding	9	398	2.04	2	50.48	6	189	0	-0.748	GO:0005737 cytoplasm
P0AGG2	JW0442	ECK0446	tesB	acyl-CoA thioesterase II	1.37	64.08	2.04	2	18.53	5	189	0	-0.253	0
P0A722	JW0176	ECK0180	lpxA	UDP-N-acetylglucosamine acetyltransferase	1.51	70.42	2.04	2	16.41	4	185	0	0.002	GO:0005737 cytoplasm
P08312	JW5277	ECK1712	pheS	phenylalanine tRNA synthetase. alpha subunit	10	444.52	2.02	2	69.42	21	1172	0	-0.324	GO:0005737 cytoplasm
P0AAI5	JW1081	ECK1081	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	9	398	2.02	2	66.83	15	837	0	0.002	GO:0005737 cytoplasm
P31057	JW0130	ECK0133	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	25.83	1104.73	2.02	2	46.59	7	412	0	0.138	GO:0005737 cytoplasm
P03817	JW3720	ECK3736	mioC	FMN-binding protein MioC	5.81	260.06	2.01	2	51.02	4	196	0	-0.159	0
