SwissProt accession	SwissProt Entry	Protein description	Observed parent ions	Protein score	Observable peptides	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	Detection Frequency	Molecular mass (Da)	Isoelectric point (pI)	GRAVY (Kyte-Doolittle)	number of alternating hydrophobic/hydrophilic stretches	CAI	Essentiality	hgt	Expr_value	FunCat (v.1.3) top level classification	FunCat (v.1.3) complete classification	FunCat class description	SCOP Fold	SCOP Family	SCOP Class	SCOP Fold Description	TMHMM 2.0 number of transmembrane segments	PSORT localisation	Experimentally derived localization	Group	Operon	Running Number	ribosomal protein	log copynumber
P28248	DCD_ECOLI	Deoxycytidine triphosphate deaminase (EC 3.5.4.13) (dCTP deaminase)	2	79	8	0.25	7.78E-01	2.50E+02	0.004784689	21250	5.74	-0.16	7					1	"01;01.03;01.03.04.03;01.03.04;"	"METABOLISM; "					0	Unknown		low	udk-dcd	981	no	2.397940009
P69908	DCEA_ECOLI	Glutamate decarboxylase alpha (EC 4.1.1.15) (GAD-alpha)	11	479	20	0.55	2.55E+00	4.98E+02	0.011309265	52686	5.13	-0.28	17					11.01.63	"01;01.01.10.01.04;63;01.01.10;11.05.01;01.01.10.01;63.21.17;11.05;01.01;11.01;11.05.01.99;11.01.04;11;63.21;"	"CELL RESCUE. DEFENSE AND VIRULENCE; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "					0	Periplasmic		low	gadAX	397	no	2.697229343
P69910	DCEB_ECOLI	Glutamate decarboxylase beta (EC 4.1.1.15) (GAD-beta)	9	313	20	0.45	1.82E+00	4.10E+02	0.006911217	52669	5.22	-0.3	17	0.5	N		1.23	11.01.63	"01;01.01.10.01.04;63;01.01.10;11.05.01;01.01.10.01;63.21.17;11.05;01.01;11.01;11.05.01.99;11.01.04;11;63.21;"	"CELL RESCUE. DEFENSE AND VIRULENCE; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "					0	Periplasmic		low	gadBC	482	no	2.612783857
P21169	DCOR_ECOLI	Ornithine decarboxylase. constitutive (EC 4.1.1.17)	2	89	25	0.08	2.02E-01	1.14E+02	0.004784689	79417	5.98	-0.16	18					1.63	"01.01.01;01;63;01.01.10;01.01.10.01;01.01.01.03;63.21.17;01.01.10.01.03;01.20;01.20.29;01.01;01.01.01.03.02;63.11;63.21;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.67.c.23.d.125	"d.125.1;c.23.1;c.67.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Ornithine decarboxylase C-terminal domain.Flavodoxin-like.PLP-dependent transferases	0	Unknown		low	speC	846	no	2.056904851
P24171	DCP_ECOLI	Peptidyl-dipeptidase dcp (EC 3.4.15.5) (Dipeptidyl carboxypeptidase)	14	625	23	0.61	3.06E+00	5.54E+02	0.004784689	77386	5.58	-0.33	15	0.3	N			63.4	"63.17;63;40.03;63.17.09;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	d.92	"d.92.1;"	Alpha and beta proteins (a+b)	Zincin-like	0	Cytoplasmic		low		289	no	2.743509765
P0AEE1	DCRB_ECOLI	DcrB protein precursor	5	199	9	0.56	2.59E+00	5.04E+02	0.012440191	19789	4.97	-0.23	8		N			11.4	"11.05.05.07;11.05.05;40.28;11;40;11.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; SUBCELLULAR LOCALISATION; "					0	Unknown		low		666	no	2.702430536
P29680	DCUP_ECOLI	Uroporphyrinogen decarboxylase (EC 4.1.1.37) (URO-D) (UPD)	3	127	13	0.23	7.01E-01	2.36E+02	0.004784689	39249	6.26	-0.16	10					1	"01.20.19.01;01;01.20.19;01.20;"	"METABOLISM; "	c.1	"c.1.22;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Unknown	C	low		826	no	2.372912003
P76316	DCYD_ECOLI	D-cysteine desulfhydrase (EC 4.4.1.15)	2	84	12	0.17	4.68E-01	1.86E+02	0.004784689	35023	4.79	0.12	7					1.4	"01.01.10.05.02;01.01;01;01.01.10;40.03;01.01.10.05;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.79	"c.79.1;"	Alpha and beta proteins (a/b)	Tryptophan synthase beta subunit-like PLP-dependent enzymes	0	Cytoplasmic		low		965	no	2.269512944
P0A6J8	DDLA_ECOLI	D-alanine--D-alanine ligase A (EC 6.3.2.4) (D-alanylalanine synthetase A) (D-Ala-D-Ala lig	14	636	15	0.93	7.58E+00	9.39E+02	0.010252905	39317	4.9	0.02	10	0.35	N			1	"01;01.20;01.20.36;"	"METABOLISM; "	d.142.c.30	"d.142.1;c.30.1;d.142.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	ATP-grasp.Biotin carboxylase N-terminal domain-like	0	Cytoplasmic	C	low		311	no	2.972665592
P07862	DDLB_ECOLI	D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-alanylalanine synthetase B) (D-Ala-D-Ala lig	6	320	14	0.43	1.68E+00	3.92E+02	0.006379585	32710	4.58	0.07	12					63.01.40.30	"01;63.19;30.01;63;30;40.03;40;63.19.03;01.20;01.20.36;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; CONTROL OF CELLULAR ORGANIZATION; "	d.142.c.30	"c.30.1;d.142.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	ATP-grasp.Biotin carboxylase N-terminal domain-like	0	Cytoplasmic		low	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ	572	no	2.593286067
P0A9P6	DEAD_ECOLI	Cold-shock DEAD-box protein A (ATP-dependent RNA helicase deaD)	35	1635	24	1.46	2.77E+01	1.99E+03	0.038550923	70416	9.42	-0.59	26					11.63.40.05.14	"11.01.06;63;05.04;14.01.01;40.03;63.03;14;14.01;11.01;11.01.04;05;63.03.03;11;40;05.07;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; CELL FATE; "	c.37	"c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Cytoplasmic		low		91	no	3.298853076
P0A6K3	DEF_ECOLI	Peptide deformylase (EC 3.5.1.88) (PDF) (Polypeptide deformylase)	8	334	6	1.33	2.05E+01	1.68E+03	0.013755981	19198	5.11	-0.3	5					40.05.06	"06.07;05;05.99;05.04;40.03;40;06.07.09;06;"	"SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; PROTEIN FATE (folding. modification. destination); "	d.167	"d.167.1;"	Alpha and beta proteins (a+b)	Peptide deformylase	0	Cytoplasmic		low	def-fmt	474	no	3.225309282
P0C0V0	DEGP_ECOLI	Protease do precursor (EC 3.4.21.-)	25	1370	17	1.47	2.86E+01	2.03E+03	0.013779904	49355	9.04	-0.07	10		N			11.40.06	"11.01;06.13.99;06.10;40.28;06.13;11;40;06;11.01.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	b.36.b.47	"b.36.1;b.36.1;b.47.1;"	All beta proteins	PDZ domain-like.Trypsin-like serine proteases	0	Periplasmic	C	low		140	no	3.307496038
P39099	DEGQ_ECOLI	Protease degQ precursor (EC 3.4.21.-)	4	183	19	0.21	6.24E-01	2.20E+02	0.004784689	47206	5.69	0.06	15		E			40.06	"06.07;40.28;06.13;40;06;06.07.11;"	"SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	b.36.b.47	"b.36.1;b.47.1;"	All beta proteins	PDZ domain-like.Trypsin-like serine proteases	1	Periplasmic	C	low		715	no	2.342422681
P0A6K6	DEOB_ECOLI	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	32	1562	18	1.78	5.89E+01	3.09E+03	0.066985646	44371	5.02	-0.27	7				1.68	1.4	"01.03.01.01;01;01.03;01.03.07.01;40.03;01.03.07;01.03.01;01.03.04.01;01.05;40;01.03.04;"	"METABOLISM; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic	C	high	deoCABD	92	no	3.489958479
P0A6L0	DEOC_ECOLI	Deoxyribose-phosphate aldolase (EC 4.1.2.4) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	57	3114	14	4.07	1.18E+04	6.71E+04	0.076219256	27735	5.5	-0.01	6					1.4	"01.03.01.01;01;01.03;01.03.07.01;40.03;01.03.07;01.03.01;01.03.04.01;40;01.03.04;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.1	"c.1.10;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic		high	deoCABD	29	no	4.82672252
P0ABP8	DEOD_ECOLI	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine phosphorylase) (PNP)	53	2770	14	3.79	6.10E+03	4.58E+04	0.039721946	25820	5.42	0.06	11				1.99	1.4	"01.03.01.01;01;01.03;40.03;01.03.01;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.56	"c.56.2;"	Alpha and beta proteins (a/b)	Phosphorylase/hydrolase-like	0	Cytoplasmic		high	deoCABD	32	no	4.660865478
P0ABQ0	DFP_ECOLI	Coenzyme A biosynthesis bifunctional protein coaBC (DNA/pantothenate metabolism flavoprote	2	97	15	0.13	3.59E-01	1.60E+02	0.004784689	43308	7.51	0.03	10					01.63.40	"01;63;40.03;01.07;01.07.01;40;63.21;63.21.05;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.34	"c.34.1;"	Alpha and beta proteins (a/b)	DFP DNA/pantothenate metabolism flavoprotein	0	Unknown		low		948	no	2.204119983
P17445	DHAB_ECOLI	Betaine aldehyde dehydrogenase (EC 1.2.1.8) (BADH)	3	94	17	0.18	5.01E-01	1.94E+02	0.014354067	52781	5.06	-0.08	10					67.01.63.02	"01;63;63.21.07;02;01.05;67.15;63.21;01.05.01;02.11;01.05.01.01;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	c.82	"c.82.1;"	Alpha and beta proteins (a/b)	ALDH-like	0	Cytoplasmic		low	betIBA	886	no	2.28780173
P0A9Q9	DHAS_ECOLI	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11) (ASA dehydrogenase) (ASADH)	24	1247	11	2.18	1.51E+02	5.34E+03	0.012360447	40019	5.32	-0.03	10					1.63	"01.01.01;01;63;63.21.07;01.01.01.07.01;01.01.01.07.06.01;01.01.01.07.06;01.01;01.01.01.07.03;01.01.01.15.02;01.01.01.07;63.21;01.01.01.07.04;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	d.81.c.2	"c.2.1;d.81.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Glyceraldehyde-3-phosphate dehydrogenase-like. C-terminal domain.NAD(P)-binding Rossmann-fold domains	0	Unknown	C	high		142	no	3.727541257
P00370	DHE4_ECOLI	NADP-specific glutamate dehydrogenase (EC 1.4.1.4) (NADP-GDH)	8	375	20	0.4	1.51E+00	3.68E+02	0.004784689	48583	6.37	-0.16	14	0.43	N			67.01.63	"01.01;01;63;01.01.10.01.04;63.21.07;01.01.10;01.01.10.01;67.15;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.58.c.2	"c.58.1;c.2.1;"	Alpha and beta proteins (a/b)	Aminoacid dehydrogenase-like. N-terminal domain.NAD(P)-binding Rossmann-fold domains	0	Cytoplasmic	C	low		490	no	2.565847819
P15877	DHG_ECOLI	Quinoprotein glucose dehydrogenase (EC 1.1.5.2) (Glucose dehydrogenase [pyrroloquinoline-q	16	577	31	0.52	2.28E+00	4.67E+02	0.009569378	86749	5.37	-0.07	24	0.41	N			67.01.40.02	"01;02;02.45;01.05;67.15;40;40.30;01.05.01;01.05.01.01;01.05.01.01.01;67;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; "	b.70	"b.70.1;"	All beta proteins	8-bladed beta-propeller	5	CytoplasmicMembrane	OM	low	gcd	275	no	2.669316881
P00393	DHNA_ECOLI	NADH dehydrogenase (EC 1.6.99.3)	15	616	24	0.63	3.22E+00	5.71E+02	0.008293461	47229	9.43	-0.13	15	0.41	N			63.02	"02.11.07;63;02.13.03;63.21.07;02;63.21;02.13;02.11;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	c.3	"c.3.1;"	Alpha and beta proteins (a/b)	FAD/NAD(P)-binding domain	0	Unknown		low	ndh	293	no	2.756636108
P0AC13	DHPS_ECOLI	Dihydropteroate synthase (EC 2.5.1.15) (DHPS) (Dihydropteroate pyrophosphorylase)	2	72	13	0.15	4.25E-01	1.76E+02	0.004784689	30616	5.97	-0.02	6					1	"01;01.07;01.07.01;"	"METABOLISM; "	c.1	"c.1.21;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic		low		774	no	2.245512668
P0AC41	DHSA_ECOLI	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	12	656	28	0.43	1.68E+00	3.92E+02	0.024720893	64423	6.22	-0.32	17	0.52	N		1.08	40.06.02	"06.10;02.10;40.03;02;40;02.13;06;"	"SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); ENERGY; "	a.7.d.168.c.3	"a.7.3;c.3.1;d.168.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All alpha proteins	Spectrin repeat-like.FAD/NAD(P)-binding domain.Succinate dehydrogenase/fumarate reductase catalytic domain	0	Unknown (This protein may have multiple localization sites.)	?	low	sdhCDAB-b0725-sucABCD	352	no	2.593286067
P07014	DHSB_ECOLI	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	6	255	15	0.4	1.51E+00	3.68E+02	0.012759171	26771	6.68	-0.3	5	0.33	N			63.40.06.02	"63.17;06.10;02.10;63;40.03;02;63.17.09;40;02.13;06;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); ENERGY; "	a.1.d.15	"a.1.2;d.15.4;"	Alpha and beta proteins (a+b).All alpha proteins	beta-Grasp (ubiquitin-like).Globin-like	0	Unknown	IM	low	sdhCDAB-b0725-sucABCD	593	no	2.565847819
P31680	DJLA_ECOLI	DnaJ-like protein djlA	2	79	14	0.14	3.89E-01	1.67E+02	0.004784689	30580	10.54	-0.34	7					40.30.06	"30.34;30;30.34.03;40;40.30;06;06.01;"	"SUBCELLULAR LOCALISATION; CONTROL OF CELLULAR ORGANIZATION; PROTEIN FATE (folding. modification. destination); "					1	CytoplasmicMembrane		low		982	no	2.222716471
P0ABS1	DKSA_ECOLI	DnaK suppressor protein	9	415	5	1.8	6.21E+01	3.19E+03	0.028708134	17529	4.89	-0.87	2					63.03	"63.03.01;03;63.17;63;63.03;63.17.09;03.01.05;03.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; "					0	Cytoplasmic	C	high	sfsA-dksA	428	no	3.503790683
P06149	DLD_ECOLI	D-lactate dehydrogenase (EC 1.1.1.28) (Respiratory D-lactate dehydrogenase)	2	65	34	0.06	1.45E-01	9.43E+01	0.014354067	64482	6.65	-0.45	13	0.36	N			1	"01;01.05.01.01.03;01.05;01.05.01;01.05.01.01;"	"METABOLISM; "	d.58.d.145	"d.145.1;d.58.32;"	Alpha and beta proteins (a+b)	FAD-binding domain.Ferredoxin-like	0	Unknown		low		1017	no	1.974511693
P0A9P0	DLDH_ECOLI	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (E3 component of pyruvate and 2-oxoglutarate dehy	52	2845	16	3.25	1.78E+03	2.24E+04	0.048767022	50558	6.1	-0.02	8				2.1	67.01.63.40	"01;63;63.21.07;01.01.10;40.03;67.15;63.21.05;01.01;01.01.10.05.04;01.01.10.05;40;63.21;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.4.c.3.d.87	"c.4.1;d.87.1;c.3.1;c.3.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	CO dehydrogenase flavoprotein C-domain-like.Nucleotide-binding domain.FAD/NAD(P)-binding domain	0	Cytoplasmic	C	high	pdhR-aceEF-lpdA	36	no	4.350248018
P18775	DMSA_ECOLI	Anaerobic dimethyl sulfoxide reductase chain A precursor (EC 1.8.99.-) (DMSO reductase)	2	59	39	0.05	1.25E-01	8.66E+01	0.004784689	90400	6.84	-0.44	28					67.63.40	"63.17;63;40.03;63.17.09;67.15;40;40.02;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	b.52.c.81	"c.81.1;b.52.2;"	Alpha and beta proteins (a/b).All beta proteins	Formate dehydrogenase/DMSO reductase. domains 1-3.Double psi beta-barrel	0	Periplasmic		low	dmsABC	1048	no	1.937517892
P03004	DNAA_ECOLI	Chromosomal replication initiator protein dnaA	2	62	26	0.08	1.94E-01	1.12E+02	0.004784689	52552	9.11	-0.36	9					63.40.04.03	"63.03.01;63.19;63;04.05;63.03;04.05.01.04;03.01.03;63.19.03;03.01;03;04;04.05.01.04.03;04.05.01;03.01.03.03;40.37;40;63.09;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; TRANSCRIPTION; CELL CYCLE AND DNA PROCESSING; "					0	Cytoplasmic		low	dnaAN-recF	1035	no	2.049218023
P08622	DNAJ_ECOLI	Chaperone protein dnaJ (Heat shock protein J) (HSP40)	10	452	12	0.83	5.81E+00	8.05E+02	0.0215311	40970	7.78	-0.64	14					11.03.40.06.62	"62.02.01.01;62.02.01.01.99;40.03;03.01.03;62.02;62.02.01;06;03.01;06.01;11.01;03;06.10;11;40;62;11.01.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); PROTEIN ACTIVITY REGULATION; "	g.54.b.4.a.2	"b.4.1;g.54.1;a.2.3;"	All beta proteins.All alpha proteins.Small proteins	HSP40/DnaJ peptide-binding domain.Long alpha-hairpin.Cysteine-rich domain of the chaperone protein DnaJ.	0	Cytoplasmic	OM	low	dnaKJ	399	no	2.90579588
P0A6Y8	DNAK_ECOLI	Chaperone protein dnaK (Heat shock protein 70) (Heat shock 70 kDa protein) (HSP70)	105	6277	30	3.5	3.16E+03	3.12E+04	0.052358168	68985	4.67	-0.41	23				2.58	11.63.03.40.06	"63.19;63;40.03;03.01.03;06;63.19.03;03.01;06.01;11.01;03;11;40;11.01.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	e.20.c.55	"c.55.1;e.20.1;"	Alpha and beta proteins (a/b).Multi-domain proteins (alpha and beta)	Ribonuclease H-like motif.Heat shock protein 70kD (HSP70). C-terminal substrate-binding fragment	0	Cytoplasmic	C	high	dnaKJ	5	no	4.494154594
P15042	DNLJ_ECOLI	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD+])	2	90	32	0.06	1.55E-01	9.79E+01	0.009569378	73607	5.35	-0.14	19		E			3	"03;03.01.05.01;03.01.03;03.01.05;03.01;"	"CELL CYCLE AND DNA PROCESSING; "	a.60.b.40.c.15.d.142	"d.142.2;c.15.1;b.40.4;a.60.2;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All beta proteins.All alpha proteins	ATP-grasp.BRCT domain.SAM domain-like.OB-fold	0	Cytoplasmic	C	low		770	no	1.990782692
P10443	DP3A_ECOLI	DNA polymerase III alpha subunit (EC 2.7.7.7)	6	189	58	0.1	2.69E-01	1.35E+02	0.004784689	129906	5.04	-0.24	32	0.38	E			63.03.40.06	"03;63.19;06.10;63;40.03;03.01.03;40;03.01;06;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "					0	Cytoplasmic		low		563	no	2.130333768
P0A988	DP3B_ECOLI	DNA polymerase III. beta chain (EC 2.7.7.7)	6	245	12	0.5	2.16E+00	4.53E+02	0.007974482	40588	5.15	-0.13	16					3.4	"03;03.01.03;40.37;40;03.01;"	"CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; "	d.131	"d.131.1;"	Alpha and beta proteins (a+b)	DNA clamp	0	Cytoplasmic		low	dnaAN-recF	551	no	2.656098202
P00582	DPO1_ECOLI	DNA polymerase I (EC 2.7.7.7) (POL I)	14	516	41	0.34	1.20E+00	3.21E+02	0.009911141	103119	5.37	-0.26	32	0.39	N			63.03.40	"03.01.03.01;63.03.01;03.01.03.05;03;63;63.03;03.01.03;40.37;40;03.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; "	a.60.c.53.c.55.e.8	"a.60.7;e.8.1;c.53.1;c.55.3;"	Alpha and beta proteins (a/b).Multi-domain proteins (alpha and beta).All alpha proteins	Ribonuclease H-like motif.SAM domain-like.DNA/RNA polymerases.Resolvase-like	0	Unknown		low		334	no	2.506505032
P23847	DPPA_ECOLI	Periplasmic dipeptide transport protein precursor (Dipeptide-binding protein) (DBP)	13	801	21	0.62	3.16E+00	5.65E+02	0.016930438	60295	6.62	-0.46	24	0.52	N		1.2	67.63.40.13	"67.11;63.02;63;13.11.03;40.28;13;13.11;13.11.03.01;40;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; "	c.94	"c.94.1;"	Alpha and beta proteins (a/b)	Periplasmic binding protein-like II	0	Periplasmic	P	low	dppABCDF	260	no	2.752048448
P0ABT2	DPS_ECOLI	DNA protection during starvation protein	23	949	12	1.92	8.15E+01	3.73E+03	0.030164344	18565	6.02	-0.23	3	0.53	N		1.13	11.63.40.30	"63.03.01;11.01.01;11.01;63;30;40.03;30.37;63.03;11;40.37;40;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CONTROL OF CELLULAR ORGANIZATION; "	a.25	"a.25.1;"	All alpha proteins	Ferritin-like	0	Unknown	OM	high	dps	160	no	3.571708832
P0AEG4	DSBA_ECOLI	Thiol:disulfide interchange protein dsbA precursor	16	739	9	1.78	5.89E+01	3.09E+03	0.009270335	23106	6.29	-0.13	4					40.06	"40.28;40;06;06.01;"	"SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	a.44.c.47	"c.47.1;a.44.1;"	Alpha and beta proteins (a/b).All alpha proteins	Thioredoxin fold.Disulphide-bond formation facilitator (DSBA). insertion domain	0	Periplasmic	P	high	rdoA-dsbA	266	no	3.489958479
P0AEG6	DSBC_ECOLI	Thiol:disulfide interchange protein dsbC precursor	9	333	8	1.13	1.23E+01	1.25E+03	0.00744285	25623	6.77	-0.1	5	0.4	N			63.40.06	"06.10;63;06.07;40.28;63.01;40;06;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	d.17.c.47	"c.47.1;d.17.3;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Thioredoxin fold.Cystatin-like	0	Periplasmic	P	low		476	no	3.096910013
P77202	DSBG_ECOLI	Thiol:disulfide interchange protein dsbG precursor	3	129	15	0.2	5.85E-01	2.12E+02	0.004784689	27496	8.58	-0.22	5					67.01.40	"67.11;01;40.28;01.02;40;67;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; "					0	Periplasmic		low		820	no	2.326335861
P32695	DUSA_ECOLI	tRNA-dihydrouridine synthase A (EC 1.-.-.-)	2	71	19	0.11	2.74E-01	1.37E+02	0.004784689	36811	6.51	-0.25	9					4	"04;04.03;04.03.06;"	"TRANSCRIPTION; "	c.1	"c.1.4;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic		low		997	no	2.136720567
P06968	DUT_ECOLI	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23) (dUTPase) (dUTP pyrophospha	5	360	3	1.67	4.54E+01	2.66E+03	0.01722488	16157	4.93	0	8					01.03.40	"01;01.03;03;01.03.07.01;01.03.07.03;40.03;03.03;01.03.07;03.01.03;40;03.01;01.03.04;"	"METABOLISM; CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; "	b.85	"b.85.4;"	All beta proteins	beta-clip	0	Cytoplasmic	C	high		625	no	3.424881637
P0A9B6	E4PD_ECOLI	D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.-) (E4PDH)	2	68	16	0.13	3.34E-01	1.53E+02	0.009569378	37169	6.75	-0.05	11	0.3	N			01.63.40.06	"01;63;01.04;63.21.07;63.13;40.03;01.05;01.05.01;06;06.10;01.07;63.01;40;01.07.01;63.21;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	d.81.c.2	"c.2.1;d.81.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Glyceraldehyde-3-phosphate dehydrogenase-like. C-terminal domain.NAD(P)-binding Rossmann-fold domains	0	Cytoplasmic		low	epd-pgk	896	no	2.184691431
P23827	ECOT_ECOLI	Ecotin precursor	6	236	7	0.86	6.20E+00	8.35E+02	0.005582137	18193	7.19	-0.26	4					62	"62.02.01.02;62.02.01.02.03;62.02;62;62.02.01;"	"PROTEIN ACTIVITY REGULATION; "	b.16	"b.16.1;"	All beta proteins	Ecotin. trypsin inhibitor	0	Periplasmic	P	low		606	no	2.921686475
P0A6M8	EFG_ECOLI	Elongation factor G (EF-G)	117	6402	30	3.9	7.94E+03	5.33E+04	0.064940907	77451	5.13	-0.29	20				2.24	40.05	"05;05.04;40.03;40;05.04.02;"	"SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	c.37.d.14.b.43.d.58	"c.37.1;d.58.11;b.43.3;d.14.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All beta proteins	Reductase/isomerase/elongation factor common domain.P-loop containing nucleotide triphosphate hydrolases.Ribosomal protein S5 domain 2-like.Ferredoxin-like	0	Cytoplasmic	C	high	rpsLG-fusA-tufA	4	no	4.726727209
