Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mRNA expression level	mRNA expression level	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P52061	JW2921	ECK2949	yggV	dITP/XTP pyrophosphatase	3.33	1	152	0,52	0.52	48.22	6	347	0	-0.122	0
P05719	JW4311	ECK4338	hsdS	specificity determinant for hsdM and hsdR	0.35	1	17.07	0,52	0.52	10	3	80	0	-0.261	GO:0005737 cytoplasm
P33650	JW3372	ECK3396	feoB	fused ferrous iron transporter. protein B	3.39	1	1.67	0,52	0.52	25	15	1094	10	0.422	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P05719	JW4311	ECK4338	hsdS	specificity determinant for hsdM and hsdR	0.16	1	17.07	0,52	0.52	6.03	2	129	0	-0.261	GO:0005737 cytoplasm
P52061	JW2921	ECK2949	yggV	dITP/XTP pyrophosphatase	0.52	1	152	0,52	0.52	19.29	2	52	0	-0.122	0
P0A7E1	JW0928	ECK0936	pyrD	dihydro-orotate oxidase. FMN-linked	9.96	1	438.54	0,53	0.53	67.86	22	884	0	0.000	GO:0005737 cytoplasm
P0A9Q5	JW2316	ECK2313	usg	predicted semialdehyde dehydrogenase	9	1	398	0,53	0.53	35.01	10	443	0	0.061	0
P07762	JW3395	ECK3418	glgB	1.4-alpha-glucan branching enzyme	0.44	1	21.31	0,53	0.53	10.85	6	212	0	-0.509	GO:0005737 cytoplasm
P0A9G8	JW0744	ECK0750	modE	DNA-binding transcriptional dual regulator	1.51	1	70.42	0,53	0.53	24.43	4	209	0	-0.021	GO:0005737 cytoplasm
P0AAS7	JW5070	ECK0521	ybcJ	predicted RNA-binding protein	2.98	1	136.13	0,53	0.53	45.71	3	183	0	0.101	0
P37617	JW3434	ECK3453	zntA	zinc. cobalt and lead efflux system	0.43	1	20.84	0,53	0.53	13.11	5	162	5	0.282	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P28304	JW4011	ECK4043	qor	quinone oxidoreductase. NADPH-dependent	0.55	1	26.45	0,53	0.53	12.84	3	134	0	-0.059	0
P76206	JW1711	ECK1720	ydiY	conserved protein	0.67	1	32.03	0,53	0.53	7.54	2	61	0	-0.501	0
P37617	JW3434	ECK3453	zntA	zinc. cobalt and lead efflux system	7.66	1	1.32	0,53	0.53	43.99	26	1687	5	0.282	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A7E1	JW0928	ECK0936	pyrD	dihydro-orotate oxidase. FMN-linked	12.18	1	438.54	0,53	0.53	65.48	22	1169	0	0.000	GO:0005737 cytoplasm
P0ADE4	JW4179	ECK4216	ytfM	predicted outer membrane protein and surface antigen	1.71	1		0,53	0.53	29.12	15	731	0	-0.415	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P76206	JW1711	ECK1720	ydiY	conserved protein	2.59	1	32.03	0,53	0.53	23.81	5	330	0	-0.501	0
P76208	JW1715	ECK1724	yniB	predicted inner membrane protein	9	1	1.93	0,53	0.53	17.42	4	191	3	0.504	0
P0A9Q5	JW2316	ECK2313	usg	predicted semialdehyde dehydrogenase	0.47	1	398	0,53	0.53	9	2	116	0	0.061	0
P15977	JW3379	ECK3403	malQ	4-alpha-glucanotransferase (amylomaltase)	0.78	1	37.12	0,54	0.54	16.28	9	410	0	-0.393	GO:0005737 cytoplasm
P0A7J0	JW3009	ECK3032	ribB	3.4 dihydroxy-2-butanone-4-phosphate synthase	4.01	1	181.53	0,54	0.54	52.53	7	281	0	-0.147	0
Q47146	JW5020	ECK0222	fadE	acyl coenzyme A dehydrogenase	0.17	1	8.47	0,54	0.54	6.76	3	86	2	0.006	0
Q47146	JW5020	ECK0222	fadE	acyl coenzyme A dehydrogenase	2.62	1	0.93	0,54	0.54	27	19	887	2	0.006	0
P0ACV0	JW1041	ECK1039	lpxL	lauryl-acyl carrier protein (ACP)-dependent acyltransferase	2.65	1	2	0,54	0.54	31.05	8	346	1	-0.205	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P75870	JW5128	ECK0951	yccS	predicted inner membrane protein	0.91	1	1.31	0,54	0.54	7.53	6	217	9	0.098	0
P77529	JW1718	ECK1727	ydjN	predicted transporter	2.98	1	1.63	0,54	0.54	10.58	4	189	9	0.816	0
P05042	JW1603	ECK1606	fumC	fumarate hydratase (fumarase C).aerobic Class II	3.12	1	142.33	0,55	0.55	45.18	15	660	0	-0.133	0
P39377	JW4291	ECK4319	iadA	isoaspartyl dipeptidase	1.98	1	91.58	0,55	0.55	26.15	7	275	0	0.127	0
P0C093	JW5641	ECK3631	ttk	division inhibitor	1.61	1	74.94	0,55	0.55	29.29	4	167	0	-0.306	0
P0A8G9	JW0412	ECK0416	xseB	exonuclease VII small subunit	14.85	1	645.93	0,55	0.55	76.25	4	148	0	-0.735	GO:0005737 cytoplasm
P0AGF2	JW2782	ECK2807	ygdK	predicted Fe-S metabolism protein	0.87	1	41.26	0,55	0.55	25.17	3	132	0	-0.086	0
P23886	JW0869	ECK0877	cydC	fused cysteine transporter subunits -!- membrane component and ATP-binding component of ABC superfamily	0.32	1	15.65	0,55	0.55	4.89	2	86	6	0.244	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABS5	JW3038	ECK3056	dnaG	DNA primase	0.14	1	7.02	0,55	0.55	4	2	24	0	-0.389	GO:0005737 cytoplasm
P23886	JW0869	ECK0877	cydC	fused cysteine transporter subunits -!- membrane component and ATP-binding component of ABC superfamily	7.32	1	1.19	0,55	0.55	40.84	20	1020	6	0.244	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0C093	JW5641	ECK3631	ttk	division inhibitor	0.78	1	74.94	0,55	0.55	14.65	2	154	0	-0.306	0
P0A9H1	JW3040	ECK3058	ygjF	G/U mismatch-specific DNA glycosylase	1.15	1		0,55	0.55	27.38	4	124	0	-0.298	GO:0005737 cytoplasm
P0AFX9	JW2555	ECK2569	rseB	anti-sigma factor	0.31	1		0,55	0.55	9.43	2	111	0	-0.257	GO:0005737 cytoplasm
P05042	JW1603	ECK1606	fumC	fumarate hydratase (fumarase C).aerobic Class II	0.19	1	142.33	0,55	0.55	3.85	2	107	0	-0.133	0
P0ABS5	JW3038	ECK3056	dnaG	DNA primase	0.14	1	7.02	0,55	0.55	3.27	2	98	0	-0.389	GO:0005737 cytoplasm
P39177	JW0600	ECK0601	uspG	universal stress protein UP12	55.23	1	2308.02	0,56	0.56	87.32	8	532	0	-0.053	0
Q9JMR9	JW1754	ECK1763	ydjA	predicted oxidoreductase	2.51	1	115.26	0,56	0.56	35.52	6	268	0	-0.168	0
P05793	JW3747	ECK3766	ilvC	ketol-acid reductoisomerase. NAD(P)-binding	0.32	1	15.65	0,56	0.56	10.59	4	155	0	-0.205	GO:0005737 cytoplasm
Q9JMS5	JW0908	ECK0916	ycbB	predicted carboxypeptidase	0.16	1	7.99	0,56	0.56	4.72	2	61	0	-0.276	0
P0ABV6	JW0728	ECK0727	tolR	membrane spanning protein in TolA-TolQ-TolR complex	16.78	1	2	0,56	0.56	29.58	5	241	1	0.204	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
Q9JMS5	JW0908	ECK0916	ycbB	predicted carboxypeptidase	0.25	1	7.99	0,56	0.56	4.88	2	32	0	-0.276	0
P15042	JW2403	ECK2406	ligA	DNA ligase. NAD(+)-dependent	0.28	1	13.75	0,57	0.57	8.64	5	286	0	-0.137	GO:0005737 cytoplasm
P62517	JW1037	ECK1035	mdoH	glucan biosynthesis: glycosyl transferase	1	1	28.78	0,57	0.57	15.58	8	210	6	-0.046	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P09148	JW0741	ECK0747	galT	galactose-1-phosphate uridylyltransferase	0.47	1	22.71	0,57	0.57	9.48	3	193	0	-0.524	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A9T4	JW2802	ECK2830	tas	predicted oxidoreductase. NADP(H)-dependent aldo-keto reductase	0.31	1	15.17	0,57	0.57	6.36	2	132	0	-0.323	0
P75849	JW0910	ECK0918	ycbL	predicted metal-binding enzyme	0.78	1	37.12	0,57	0.57	12.09	2	64	0	-0.145	0
P62517	JW1037	ECK1035	mdoH	glucan biosynthesis: glycosyl transferase	6.02	1	1.46	0,57	0.57	35.18	28	1394	6	-0.046	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P15042	JW2403	ECK2406	ligA	DNA ligase. NAD(+)-dependent	0.16	1	13.75	0,57	0.57	6.86	3	58	0	-0.137	GO:0005737 cytoplasm
P0A7Y0	JW2551	ECK2565	rnc	RNase III	7.48	1	332.24	0,58	0.58	55.75	12	567	0	-0.449	0
P75838	JW0888	ECK0896	ycaO	conserved protein	2.51	1	115.26	0,58	0.58	29.86	11	497	0	-0.196	0
P0ACL2	JW3065	ECK3085	exuR	DNA-binding transcriptional repressor	1.24	1	58.18	0,58	0.58	19.77	6	230	0	-0.524	GO:0005737 cytoplasm
P0AD33	JW2340	ECK2337	yfcZ	conserved protein	1.51	1	70.42	0,58	0.58	27.66	2	203	0	-0.094	0
P0A7Y0	JW2551	ECK2565	rnc	RNase III	2.16	1	332.24	0,58	0.58	21.24	6	270	0	-0.449	0
P75838	JW0888	ECK0896	ycaO	conserved protein	0.37	1	115.26	0,58	0.58	8.02	3	215	0	-0.196	0
P77473	JW5062	ECK0451	ylaB	conserved inner membrane protein	0.37	1	1.06	0,58	0.58	4.84	3	152	2	-0.136	0
Q46829	JW2869	ECK2896	bglA	6-phospho-beta-glucosidase A	2.98	1	136.13	0,59	0.59	41	17	745	0	-0.452	0
P10384	JW2341	ECK2338	fadL	long-chain fatty acid outer membrane transporter	1.74	1	81	0,59	0.59	25	7	455	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P64604	JW3160	ECK3182	yrbD	predicted ABC-type organic solvent transporter	7.11	1	316.29	0,59	0.59	57.38	7	292	1	-0.068	0
P0AE88	JW3883	ECK3905	cpxR	DNA-binding response regulator in two-component regulatory system with CpxA	7.11	1	316.29	0,59	0.59	34.91	7	258	0	-0.344	GO:0005737 cytoplasm
P0A761	JW3192	ECK3212	nanE	predicted N-acetylmannosamine-6-P epimerase	3.33	1	152	0,59	0.59	44.98	7	253	0	0.162	GO:0005737 cytoplasm
P0C054	JW3664	ECK3679	ibpA	heat shock chaperone	3.22	1	146.75	0,59	0.59	40.15	5	192	0	-0.525	0
P0A921	JW3794	ECK3815	pldA	outer membrane phospholipase A	0.64	1	30.64	0,59	0.59	12.11	3	184	0	-0.446	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AG24	JW3625	ECK3640	spoT	bifunctional (p)ppGpp synthetase II -!- guanosine-3'.5'-bis pyrophosphate 3'-pyrophosphohydrolase	0.33	1	16.12	0,59	0.59	7.55	5	170	0	-0.332	GO:0005737 cytoplasm
P22634	JW5550	ECK3959	murI	glutamate racemase	0.58	1	27.85	0,59	0.59	12.63	3	145	0	0.187	GO:0009274 cell wall (sensu Bacteria)
P0A7F9	JW0395	ECK0399	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	0.31	1	15.17	0,59	0.59	8.99	2	121	0	-0.129	GO:0005737 cytoplasm
P0CF91	JW0015	ECK0016	insL	IS186/IS421 transposase	0.37	1	18.01	0,59	0.59	4.32	2	43	0	-0.222	0
P0AGB0	JW4351	ECK4380	serB	3-phosphoserine phosphatase	0.27	1	13.27	0,59	0.59	6.52	2	35	0	0.091	GO:0005737 cytoplasm
P0A921	JW3794	ECK3815	pldA	outer membrane phospholipase A	10.79	1	30.64	0,59	0.59	65.05	12	830	0	-0.446	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P64604	JW3160	ECK3182	yrbD	predicted ABC-type organic solvent transporter	5.58	1	3	0,59	0.59	65.03	8	477	1	-0.068	0
P10384	JW2341	ECK2338	fadL	long-chain fatty acid outer membrane transporter	2.16	1	81	0,59	0.59	24.11	8	437	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P22634	JW5550	ECK3959	murI	glutamate racemase	0.85	1	27.85	0,59	0.59	15.44	4	170	0	0.187	GO:0009274 cell wall (sensu Bacteria)
P0C054	JW3664	ECK3679	ibpA	heat shock chaperone	1.37	1	146.75	0,59	0.59	24.82	3	130	0	-0.525	0
P0AG24	JW3625	ECK3640	spoT	bifunctional (p)ppGpp synthetase II -!- guanosine-3'.5'-bis pyrophosphate 3'-pyrophosphohydrolase	0.19	1	16.12	0,59	0.59	7.69	3	112	0	-0.332	GO:0005737 cytoplasm
Q46829	JW2869	ECK2896	bglA	6-phospho-beta-glucosidase A	0.17	1	136.13	0,59	0.59	5.64	2	106	0	-0.452	0
P0A6W5	JW3148	ECK3170	greA	transcription elongation factor	16.01	1	695	0,61	0.61	78.48	14	626	0	-0.366	GO:0005737 cytoplasm
P0ADS2	JW2878	ECK2905	zapA	protein that localizes to the cytokinetic ring	2.73	1	125.04	0,61	0.61	44.95	4	231	0	-0.733	0
P0A6C1	JW2146	ECK2152	nfo	endonuclease IV with intrinsic 3'-5' exonuclease activity	0.31	1	15.17	0,61	0.61	11.58	2	75	0	-0.204	0
P0AFB8	JW3839	ECK3861	glnG	fused DNA-binding response regulator in two-component regulatory system with GlnL. nitrogen regulator I (NRI)	2.29	1	105.45	0,62	0.62	36.03	13	677	0	-0.246	GO:0005737 cytoplasm
P0AEW6	JW0466	ECK0471	gsk	inosine/guanosine kinase	1.61	1	74.94	0,62	0.62	26.96	9	411	0	-0.346	0
P0ACB7	JW3774	ECK3796	hemY	predicted protoheme IX synthesis protein	1.23	1	57.72	0,62	0.62	22.36	8	335	2	-0.362	0
P64540	JW2322	ECK2319	yfcL	predicted protein	16.78	1	727.17	0,62	0.62	66	4	259	0	-0.148	0
P0CG19	JW3618	ECK3633	rph	ribonuclease PH (pseudogene)	1.61	1	74.94	0,62	0.62	39.04	5	228	0	-0.146	0
P0AED5	JW1899	ECK1913	uvrY	DNA-binding response regulator in two-component regulatory system with BarA	0.36	1	17.54	0,62	0.62	16.06	2	112	0	-0.056	0
P25906	JW1403	ECK1399	ydbC	predicted oxidoreductase. NAD(P)-binding	0.39	1	18.96	0,62	0.62	9.79	2	63	0	0.047	0
P0ACB7	JW3774	ECK3796	hemY	predicted protoheme IX synthesis protein	11.22	1	1.76	0,62	0.62	52.26	21	1119	2	-0.362	0
P0AFB8	JW3839	ECK3861	glnG	fused DNA-binding response regulator in two-component regulatory system with GlnL. nitrogen regulator I (NRI)	4.74	1	105.45	0,62	0.62	46.27	16	928	0	-0.246	GO:0005737 cytoplasm
P0C960	JW5821	ECK1181	emtA	lytic murein endotransglycosylase E	4.34	1		0,62	0.62	47.78	7	365	0	-0.203	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0CG19	JW3618	ECK3633	rph	ribonuclease PH (pseudogene)	2.16	1	74.94	0,62	0.62	33.33	5	304	0	-0.146	0
P0AED5	JW1899	ECK1913	uvrY	DNA-binding response regulator in two-component regulatory system with BarA	1.93	1	17.54	0,62	0.62	35.78	6	165	0	-0.056	0
P25906	JW1403	ECK1399	ydbC	predicted oxidoreductase. NAD(P)-binding	0.39	1	18.96	0,62	0.62	8.04	2	89	0	0.047	0
P43672	JW0932	ECK0940	uup	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	1.15	1	54.08	0,63	0.63	27.87	11	515	0	-0.467	GO:0005737 cytoplasm
P23894	JW1818	ECK1828	htpX	predicted endopeptidase	2.51	1	115.26	0,63	0.63	27.65	6	303	4	0.344	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P18133	JW0914	ECK0922	pncB	nicotinate phosphoribosyltransferase	0.74	1	35.27	0,63	0.63	18.75	6	269	0	-0.298	GO:0042597 periplasmic space
P0A9L5	JW3748	ECK3767	ppiC	peptidyl-prolyl cis-trans isomerase C (rotamase C)	12.89	1	563.11	0,63	0.63	70.97	7	214	0	-0.105	0
Q46857	JW5499	ECK3004	dkgA	2.5-diketo-D-gluconate reductase A	0.58	1	27.85	0,63	0.63	15.27	4	143	0	-0.375	GO:0005737 cytoplasm
P41407	JW1409	ECK1405	azoR	NADH-azoreductase. FMN-dependent	0.78	1	37.12	0,63	0.63	25.87	3	99	0	0.067	0
P77748	JW1677	ECK1684	ydiJ	predicted FAD-linked oxidoreductase	0.44	1		0,63	0.63	10.71	10	431	0	0.000	0
P18133	JW0914	ECK0922	pncB	nicotinate phosphoribosyltransferase	0.74	1	35.27	0,63	0.63	18	7	420	0	-0.298	GO:0042597 periplasmic space
P23894	JW1818	ECK1828	htpX	predicted endopeptidase	3.33	1	2.06	0,63	0.63	19.11	5	276	4	0.344	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P43672	JW0932	ECK0940	uup	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	0.27	1	54.08	0,63	0.63	9.13	4	194	0	-0.467	GO:0005737 cytoplasm
P0AFK4	JW1111	ECK1111	potB	polyamine transporter subunit -!- membrane component of ABC superfamily	0.78	1	1.27	0,63	0.63	7.27	2	109	6	0.985	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AFL9	JW0933	ECK0941	pqiA	paraquat-inducible membrane protein A	0.33	1	1.03	0,63	0.63	7.43	2	96	8	0.581	0
P0A9L5	JW3748	ECK3767	ppiC	peptidyl-prolyl cis-trans isomerase C (rotamase C)	0.93	1	563.11	0,63	0.63	19.35	2	88	0	-0.105	0
P10100	JW0628	ECK0626	rlpA	minor lipoprotein	0.93	1	44.02	0,64	0.64	17.68	4	258	0	-0.245	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P77488	JW0410	ECK0414	dxs	1-deoxyxylulose-5-phosphate synthase. thiamine-requiring. FAD-requiring	0.53	1	25.52	0,64	0.64	11.94	5	221	0	-0.081	0
P76187	JW1639	ECK1643	ydhF	predicted oxidoreductase	1.37	1	64.08	0,64	0.64	31.21	5	215	0	0.000	0
P16926	JW3219	ECK3238	mreC	cell wall structural complex MreBCD transmembrane component MreC	0.43	1	20.84	0,64	0.64	11.17	4	176	1	-0.152	GO:0009274 cell wall (sensu Bacteria)
P64499	JW1814	ECK1823	yebO	predicted protein	2.98	1	136.13	0,64	0.64	31.58	3	113	1	-0.044	0
P27242	JW3598	ECK3613	rfaK	lipopolysaccharide core biosynthesis	0.17	1	8.47	0,64	0.64	5.32	2	48	0	-0.176	GO:0019866 inner membrane
P16926	JW3219	ECK3238	mreC	cell wall structural complex MreBCD transmembrane component MreC	3.92	1	1.32	0,64	0.64	50.14	16	916	1	-0.152	GO:0009274 cell wall (sensu Bacteria)
P10100	JW0628	ECK0626	rlpA	minor lipoprotein	7.48	1	44.02	0,64	0.64	33.98	11	500	0	-0.245	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P64499	JW1814	ECK1823	yebO	predicted protein	38.81	1	2.13	0,64	0.64	47.37	6	357	1	-0.044	0
P77488	JW0410	ECK0414	dxs	1-deoxyxylulose-5-phosphate synthase. thiamine-requiring. FAD-requiring	1.15	1	25.52	0,64	0.64	16.29	8	285	0	-0.081	0
P25534	JW2875	ECK2902	ubiH	2-octaprenyl-6-methoxyphenol hydroxylase. FAD/NAD(P)-binding	0.33	1		0,64	0.64	18.37	3	138	0	0.023	0
P04693	JW4014	ECK4046	tyrB	tyrosine aminotransferase. tyrosine-repressible. PLP-dependent	1.85	1	85.75	0,65	0.65	29.22	8	481	0	0.009	GO:0005737 cytoplasm
P0AAT6	JW5090	ECK0630	ybeB	predicted protein	9	1	398	0,65	0.65	78	5	266	0	0.034	0
P0AE48	JW4181	ECK4218	ytfP	conserved protein	1.51	1	70.42	0,65	0.65	31.86	2	99	0	-0.514	0
P0A8Y1	JW4336	ECK4365	yjjG	predicted hydrolase	0.78	1	37.12	0,65	0.65	25.78	2	73	0	-0.157	0
P66948	JW2479	ECK2490	yfgC	predicted peptidase	0.19	1	9.44	0,65	0.65	4	2	31	0	-0.383	0
P18390	JW5795	ECK4350	yjjA	conserved protein	0.93	1	44.02	0,65	0.65	15.85	2	27	0	0.000	0
P66948	JW2479	ECK2490	yfgC	predicted peptidase	1.35	1	9.44	0,65	0.65	28.75	10	642	0	-0.383	0
P32703	JW4026	ECK4058	yjcE	predicted cation/proton antiporter	2.41	1	1.57	0,65	0.65	12.57	7	331	11	0.633	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P04693	JW4014	ECK4046	tyrB	tyrosine aminotransferase. tyrosine-repressible. PLP-dependent	0.69	1	85.75	0,65	0.65	18.64	5	262	0	0.009	GO:0005737 cytoplasm
P0A6F1	JW0030	ECK0033	carA	carbamoyl phosphate synthetase small subunit. glutamine amidotransferase	48	1	2002.27	0,66	0.66	80.37	19	1067	0	-0.199	0
P04335	JW0229	ECK0240	frsA	hydrolase. binds to enzyme IIA(Glc)	0.63	1	30.18	0,66	0.66	20.05	7	349	0	0.000	0
P41052	JW2671	ECK2696	mltB	membrane-bound lytic murein transglycosylase B	0.54	1	25.99	0,66	0.66	12.19	3	173	0	-0.331	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AGF6	JW3088	ECK3106	tdcB	catabolic threonine dehydratase. PLP-dependent	1	1	24.12	0,66	0.66	10.64	3	123	0	0.043	0
P37659	JW3506	ECK3523	bcsG	predicted inner membrane protein	0.33	1	16.12	0,66	0.66	6.98	2	113	4	0.022	0
P77475	JW2665	ECK2685	yqaB	predicted hydrolase	1	1	47.23	0,66	0.66	23.94	3	106	0	-0.027	0
P0A6F1	JW0030	ECK0033	carA	carbamoyl phosphate synthetase small subunit. glutamine amidotransferase	3.87	1	2002.27	0,66	0.66	37.43	9	504	0	-0.199	0
P41052	JW2671	ECK2696	mltB	membrane-bound lytic murein transglycosylase B	2.16	1	25.99	0,66	0.66	32.69	7	483	0	-0.331	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P37659	JW3506	ECK3523	bcsG	predicted inner membrane protein	2.65	1	1.21	0,66	0.66	26.83	9	475	4	0.022	0
P04335	JW0229	ECK0240	frsA	hydrolase. binds to enzyme IIA(Glc)	1.01	1	30.18	0,66	0.66	27.78	10	390	0	0.000	0
P0AGF6	JW3088	ECK3106	tdcB	catabolic threonine dehydratase. PLP-dependent	0.97	1	24.12	0,66	0.66	20.06	4	253	0	0.043	0
P77475	JW2665	ECK2685	yqaB	predicted hydrolase	0.58	1	47.23	0,66	0.66	19.68	2	112	0	-0.027	0
P00452	JW2228	ECK2226	nrdA	ribonucleoside diphosphate reductase 1. alpha subunit	6.15	1	275	0,67	0.67	48	36	1525	0	-0.337	0
P17117	JW0835	ECK0842	nfsA	nitroreductase A. NADPH-dependent. FMN-dependent	9	1	398	0,67	0.67	58.75	11	590	0	-0.155	0
P0A9X9	JW3525	ECK3543	cspA	major cold shock protein	9	1	398	0,67	0.67	81.43	5	284	0	-0.251	GO:0005737 cytoplasm
P69411	JW0192	ECK0196	rcsF	predicted outer membrane protein. signal	4.62	1	208.24	0,67	0.67	54.48	4	209	0	0.000	GO:0030113 capsule (sensu Bacteria)
Q46920	JW2765	ECK2789	yqcD	conserved protein	0.41	1	20	0,67	0.67	13.48	3	77	0	-0.001	0
P25741	JW3605	ECK3620	rfaP	kinase that phosphorylates core heptose of lipopolysaccharide	0.23	1	11.36	0,67	0.67	3.77	2	41	0	-0.275	GO:0019866 inner membrane
P00452	JW2228	ECK2226	nrdA	ribonucleoside diphosphate reductase 1. alpha subunit	2.16	1	275	0,67	0.67	29.96	22	917	0	-0.337	0
P69411	JW0192	ECK0196	rcsF	predicted outer membrane protein. signal	9	1	208.24	0,67	0.67	71	7	327	0	0.000	GO:0030113 capsule (sensu Bacteria)
P25741	JW3605	ECK3620	rfaP	kinase that phosphorylates core heptose of lipopolysaccharide	0.52	1	11.36	0,67	0.67	14.72	4	147	0	-0.275	GO:0019866 inner membrane
P37024	JW0144	ECK0147	hrpB	predicted ATP-dependent helicase	0	1		0,67	0.67	5	2	77	0	-0.171	GO:0005737 cytoplasm
P05020	JW1049	ECK1047	pyrC	dihydro-orotase	20.54	1	884.64	0,68	0.68	72.99	18	854	0	-0.123	GO:0005737 cytoplasm
P76270	JW1821	ECK1831	yebR	conserved protein	0.78	1	37.12	0,68	0.68	18.58	3	183	0	0.168	0
P55734	JW2643	ECK2662	ygaP	predicted inner membrane protein with hydrolase activity	18.95	1	2.14	0,68	0.68	59	10	519	2	0.239	0
P09372	JW2594	ECK2610	grpE	heat shock protein	157.49	1	6374.36	0,69	0.69	63.45	15	829	0	-0.372	GO:0005737 cytoplasm
P0CF71	JW0005	ECK0006	yaaA	conserved protein	1.25	1	58.63	0,69	0.69	39.15	6	273	0	-0.403	0
P0AC30	JW3427	ECK3446	ftsX	predicted transporter subunit -!- membrane component of ABC superfamily	1	1	42.64	0,69	0.69	20	4	155	4	0.192	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9R7	JW3428	ECK3447	ftsE	predicted transporter subunit -!- ATP-binding component of ABC superfamily	1.28	1	60	0,69	0.69	26.58	4	113	0	-0.077	GO:0005737 cytoplasm
P0AC30	JW3427	ECK3446	ftsX	predicted transporter subunit -!- membrane component of ABC superfamily	3.08	1	1.63	0,69	0.69	22.44	9	481	4	0.192	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9R7	JW3428	ECK3447	ftsE	predicted transporter subunit -!- ATP-binding component of ABC superfamily	2.73	1	60	0,69	0.69	44.14	7	290	0	-0.077	GO:0005737 cytoplasm
P60472	JW0169	ECK0173	ispU	undecaprenyl pyrophosphate synthase	0.93	1		0,69	0.69	7.91	2	72	0	-0.396	GO:0005737 cytoplasm
P0A9M8	JW2294	ECK2291	pta	phosphate acetyltransferase	11.92	1	225.17	0,71	0.71	57.56	34	1979	0	0.000	0
P22333	JW1615	ECK1618	add	adenosine deaminase	4.27	1	192.93	0,71	0.71	54.65	11	552	0	-0.024	0
P0ADU2	JW2997	ECK3020	ygiN	quinol monooxygenase	2.98	1	136.13	0,71	0.71	25.96	3	161	0	0.015	0
P0A951	JW1576	ECK1579	speG	spermidine N1-acetyltransferase	1.03	1	49	0,71	0.71	35.48	4	155	0	-0.439	0
P15286	JW2318	ECK2315	flk	predicted flagella assembly protein	0.26	1	12.79	0,71	0.71	9.97	2	51	1	-0.308	0
P0A9M8	JW2294	ECK2291	pta	phosphate acetyltransferase	12.77	1	225.17	0,71	0.71	57.28	38	2114	0	0.000	0
P22333	JW1615	ECK1618	add	adenosine deaminase	3.08	1	192.93	0,71	0.71	31.53	9	510	0	-0.024	0
P25888	JW0781	ECK0786	rhlE	RNA helicase	0.27	1		0,71	0.71	9.25	3	148	0	-0.506	0
P0A951	JW1576	ECK1579	speG	spermidine N1-acetyltransferase	0.43	1	49	0,71	0.71	10.75	2	51	0	-0.439	0
P0AB91	JW0737	ECK0743	aroG	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase. phenylalanine repressible	1.68	1	78	0,72	0.72	34.29	8	373	0	-0.182	0
