Accession number	ECK	Gene	Protein name	emPAI Value	mRNA expression level	Copy number per cell	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
JW2465	ECK2476	bcp	thiol peroxidase, thioredoxin-dependent	9	1,86	398	78,21	9	466	0	-0,431	GO:0005737 cytoplasm
JW3278	ECK3303	rpsS	30S ribosomal subunit protein S19	397,11	10,63	15625,86	70,65	8	465	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3573	ECK3588	mtlA	fused mannitol-specific PTS enzyme IIABC components	1,21	0,96	56,81	22,29	10	465	8	0,329	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2662	ECK2681	luxS	S-ribosylhomocysteinase	13,68	1,13	596,53	78,36	10	464	0	-0,323	0
JW0819	ECK0825	yliG	predicted SAM-dependent methyltransferase	1,47	0,35	68,61	34,01	11	463	0	0.000	0
JW0937	ECK0945	fabA	beta-hydroxydecanoyl thioester dehydrase	15,68	3,38	680,91	55,81	10	462	0	-0,012	0
JW0989	ECK0995	wrbA	predicted flavoprotein in Trp regulation	5,31	6	238,33	51,01	7	462	0	-0,082	GO:0005737 cytoplasm
JW3199	ECK3219	rpsI	30S ribosomal subunit protein S9	38,81	2,77	1639,38	66,92	13	460	0	-0,687	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3862	ECK3884	fdhE	formate dehydrogenase formation protein	4,27	1,45	192,93	40,13	10	460	0	-0,289	0
JW0317	ECK0323	yahK	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	3,08	2,42	140,56	30,66	9	459	0	-0,183	0
JW0406	ECK0410	nusB	transcription antitermination protein	9	0,97	398	67,63	9	457	0	-0,219	GO:0005737 cytoplasm
JW1216	ECK1219	narH	nitrate reductase 1, beta (Fe-S) subunit	1,41	1,39	66	24,41	11	456	0	-0,477	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1803	ECK1812	sdaA	L-serine deaminase I	2,55	0,35	117,04	28,19	10	455	0	-0,051	0
JW2341	ECK2338	fadL	long-chain fatty acid outer membrane transporter	1,74	0,59	81	25	7	455	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW0460	ECK0465	ybaB	conserved protein	9	34,76	398	83,49	7	453	0	-0,473	0
JW2025	ECK2034	rfbD	dTDP-4-dehydrorhamnose reductase subunit, NAD(P)-binding, of dTDP-L-rhamnose synthase	6,02	1,61	269,17	49,83	10	453	0	-0,093	GO:0005737 cytoplasm
JW2505	ECK2517	sseA	3-mercaptopyruvate sulfurtransferase	4,41	9,73	199,06	54,45	10	451	0	-0,083	0
JW1072	ECK1071	rluC	23S rRNA pseudouridylate synthase	2,48	1,28	113,93	35,11	11	451	0	-0,461	GO:0005737 cytoplasm
JW0022	ECK0024	rpsT	30S ribosomal subunit protein S20	315,23	2,49	12491,64	51,72	8	449	0	-0,705	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1729	ECK1738	nadE	NAD synthetase, NH3/glutamine-dependent	4,08	1,87	185	65,45	12	449	0	0.000	0
JW2587	ECK2603	rplS	50S ribosomal subunit protein L19	99	8,18	4064,14	75,65	13	448	0	-0,527	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3213	ECK3233	tldD	predicted peptidase	1,37	1,01	64,08	28,48	8	448	0	-0,123	0
JW3172	ECK3194	yhbJ	predicted protein with nucleoside triphosphate hydrolase domain	2,59	0,84	118,82	49,65	9	447	0	-0,316	0
JW5243	ECK1492	ydeN	conserved protein	0,75	0,91	35,73	21,61	8	447	0	-0,575	0
JW3150	ECK3172	obgE	GTPase involved in cell partioning and DNA repair	1,85	0,22	85,75	34,62	9	445	0	-0,452	0
JW1195	ECK1192	pth	peptidyl-tRNA hydrolase	5,11	0,35	229,62	57,73	10	444	0	-0,124	GO:0005737 cytoplasm
JW3911	ECK3932	metL	fused aspartokinase II -!- homoserine dehydrogenase II	0,54	0,32	25,99	12,22	9	444	0	-0,101	0
JW5129	ECK0954	mgsA	methylglyoxal synthase	12,89	1,56	563,11	60,53	6	443	0	0,038	GO:0005737 cytoplasm
JW2316	ECK2313	usg	predicted semialdehyde dehydrogenase	9	0,53	398	35,01	10	443	0	0,061	0
JW2296	ECK2293	yfcD	predicted NUDIX hydrolase	16,78	1,17	727,17	45,56	7	442	0	-0,427	0
JW0901	ECK0909	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	2,87	1,34	131,26	52,02	9	438	0	-0,145	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0003	ECK0004	thrC	threonine synthase	1,75	1,16	81,25	42,29	10	438	0	-0,097	GO:0005737 cytoplasm
JW3179	ECK3202	gltB	glutamate synthase, large subunit	0,31	0,21	15,17	10,28	11	435	0	-0,224	0
JW5856	ECK3773	trxA	thioredoxin 1	45,42	2,04	1909,42	77,98	7	433	0	0,025	0
JW2513	ECK2526	iscU	scaffold protein	11,92	10,56	521,98	84,38	8	433	0	-0,355	0
JW5413	ECK2605	rimM	16S rRNA processing protein	5,58	7,37	250,07	56,59	8	433	0	0.000	0
JW3574	ECK3589	mtlD	mannitol-1-phosphate dehydrogenase, NAD(P)-binding	1,85	1,59	85,75	30,63	10	433	0	0.000	0
JW3896	ECK3917	glpX	fructose 1,6-bisphosphatase II	2,36	1,11	108,58	30,36	9	431	0	-0,016	GO:0005737 cytoplasm
JW3624	ECK3639	rpoZ	RNA polymerase, omega subunit	25,83	2,98	1104,73	92,31	7	430	0	-0,524	GO:0005737 cytoplasm
JW3259	ECK3284	rpsK	30S ribosomal subunit protein S11	20,54	7,81	884,64	61,24	8	430	0	-0,446	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3719	ECK3734	gidA	glucose-inhibited cell-division protein	0,86	0,27	41	23,05	10	429	0	-0,308	0
JW1327	ECK1329	uspE	stress-induced protein	3,87	-	175,38	51,27	11	428	0	-0,207	0
JW2644	ECK2663	stpA	DNA binding protein, nucleoid-associated	5,31	1,93	238,33	67,16	8	426	0	-0,794	GO:0005737 cytoplasm
JW4121	ECK4156	psd	phosphatidylserine decarboxylase	1,15	1,92	54,08	28,88	6	426	0	-0,093	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1488	ECK1487	gadB	glutamate decarboxylase B, PLP-dependent	2,01	1,52	92,93	28,33	10	424	0	-0,297	GO:0005737 cytoplasm
JW1648	ECK1652	sodB	superoxide dismutase, Fe	11,92	21,05	521,98	44,56	7	423	0	-0,169	GO:0005737 cytoplasm
JW2536	ECK2549	hmp	fused nitric oxide dioxygenase -!- dihydropteridine reductase 2	1,98	0,49	91,58	26,26	9	423	0	0.000	0
JW5790	ECK4342	yjiA	predicted GTPase	2,41	1,67	110,81	34,91	8	421	0	-0,085	0
JW0514	ECK0518	ppiB	peptidyl-prolyl cis-trans isomerase B (rotamase B)	45,42	6,14	1909,42	63	9	418	0	-0,312	GO:0005737 cytoplasm
JW0175	ECK0179	fabZ	(3R)-hydroxymyristol acyl carrier protein dehydratase	50,79	4,34	2.128	62,91	9	416	0	0,054	GO:0005737 cytoplasm
JW5791	ECK4344	yjiY	predicted inner membrane protein	2,59	-	118,82	18,44	9	416	16	0,725	0
JW3119	ECK3138	yraP	predicted protein	3,64	1,72	165,27	47,64	7	415	1	0,045	GO:0042597 periplasmic space
JW2929	ECK2957	yggX	protein that protects iron-sulfur proteins against oxidative damage	30,62	1,27	1302,81	97	11	414	0	-0,857	0
JW3222	ECK3241	yhdH	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	2,16	1,65	99,64	29,32	7	414	0	-0,004	0
JW3753	ECK3772	rhlB	ATP-dependent RNA helicase	1,21	1,39	56,81	29,93	10	414	0	-0,346	0
JW3168	ECK3190	yhbG	predicted transporter subunit -!- ATP-binding component of ABC superfamily	3,22	0,31	146,75	40,25	9	413	0	-0,124	GO:0005737 cytoplasm
JW1656	ECK1660	ydhQ	conserved protein	1,96	0,97	90,69	24,88	8	413	0	0,025	0
JW3203	ECK3223	degQ	serine endoprotease, periplasmic	1,02	0,27	48,14	25,71	6	413	1	0,055	0
JW0130	ECK0133	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	25,83	2,02	1104,73	46,59	7	412	0	0,138	GO:0005737 cytoplasm
JW1264	ECK1266	sohB	predicted inner membrane peptidase	2,16	2,79	99,64	42,12	9	412	2	-0,354	0
JW5344	ECK2090	fbaB	fructose-bisphosphate aldolase class I	1,64	1,31	76,29	38	8	412	0	-0,148	0
JW2891	ECK2920	mscS	mechanosensitive channel	1,89	0,77	87,54	28,67	6	411	3	0,494	0
JW0466	ECK0471	gsk	inosine/guanosine kinase	1,61	0,62	74,94	26,96	9	411	0	-0,346	0
JW3997	ECK4029	malM	maltose regulon periplasmic protein	6,94	1	308,96	28,43	9	410	0	-0,021	GO:0042597 periplasmic space
JW0731	ECK0730	pal	peptidoglycan-associated outer membrane lipoprotein	4,34	8,69	196	50,87	6	410	0	-0,454	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3379	ECK3403	malQ	4-alpha-glucanotransferase (amylomaltase)	0,78	0,54	37,12	16,28	9	410	0	-0,393	GO:0005737 cytoplasm
JW5947	ECK3377	aroK	shikimate kinase I	11,59	-	507,96	46,82	9	409	0	-0,621	0
JW3304	ECK3329	rpsL	30S ribosomal subunit protein S12	16,78	14	727,17	53,23	7	408	0	-0,623	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2703	ECK2728	mutS	methyl-directed mismatch repair protein	0,45	0,39	21,78	14,07	8	408	0	-0,238	GO:0005737 cytoplasm
JW5841	ECK2324	prmB	N5-glutamine methyltransferase	7,25	-	322,33	24,19	8	408	0	-0,153	0
JW3964	ECK3992	hupA	HU, DNA-binding transcriptional regulator, alpha subunit	99	22,49	4064,14	71,11	7	407	0	-0,228	GO:0005737 cytoplasm
JW3262	ECK3287	secY	preprotein translocase membrane subunit	4,88	9,13	220	15,12	8	407	10	0,602	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3352	ECK3376	aroB	3-dehydroquinate synthase	1,64	1,95	76,29	31,22	6	406	0	0,168	0
JW2712	ECK2737	nlpD	predicted outer membrane lipoprotein	1,45	7,37	67,71	21,37	7	405	0	-0,403	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2120	ECK2125	bglX	beta-D-glucoside glucohydrolase, periplasmic	0,49	-	23,65	12,55	8	404	0	0.000	GO:0042597 periplasmic space
JW1642	ECK1646	nemA	N-ethylmaleimide reductase, FMN-linked	2,51	0,85	115,26	36,99	10	403	0	-0,311	0
JW0893	ECK0901	cmk	cytidylate kinase	6	0,33	276,96	66,08	10	400	0	0.000	GO:0005737 cytoplasm
JW3940	ECK3964	murB	UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding	2,16	1,06	99,64	31,58	8	399	0	-0,204	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW5682	ECK3456	dcrB	periplasmic protein	6,94	2,83	308,96	52,43	7	398	0	-0,229	0
JW1112	ECK1112	potA	polyamine transporter subunit -!- ATP-binding component of ABC superfamily	0,86	1	41	23,81	7	398	0	-0,338	GO:0005737 cytoplasm
JW1328	ECK1330	fnr	DNA-binding transcriptional dual regulator, global regulator of anaerobic growth	1,51	-	70,42	28	6	398	0	-0,274	GO:0005737 cytoplasm
JW0671	ECK0672	fldA	flavodoxin 1	18,31	1,71	791,36	65,91	7	397	0	-0,285	0
JW0740	ECK0746	galK	galactokinase	3,64	2	165,27	38,48	8	397	0	-0,105	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0554	ECK0557	ompT	"DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)"	2,16	9,44	99,64	31	9	397	0	-0,645	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW2956	ECK2982	gss	fused glutathionylspermidine amidase -!- glutathionylspermidine synthetase	0,58	0,09	27,85	17,12	7	396	1	-0,342	0
JW5657	ECK3539	yiaD	predicted outer membrane lipoprotien	7	-	289,95	40,18	6	395	3	-0,073	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2998	ECK3021	parE	DNA topoisomerase IV, subunit B	0,87	0,33	41,26	19,68	8	394	0	-0,345	GO:0005737 cytoplasm
JW0931	ECK0939	ycbY	predicted methyltransferase	1	0	28,78	13,25	9	393	0	-0,359	0
JW5950	ECK4041	yjbN	tRNA-dihydrouridine synthase A	1,15	-	54,08	30,72	7	392	0	-0,291	0
JW2962	ECK2988	hybC	hydrogenase 2, large subunit	0,81	0,51	39	23,63	9	391	0	0.000	GO:0019866 inner membrane
JW5539	ECK3222	yhcB	conserved protein	12,34	-	540	71,97	8	390	1	-0,552	0
JW5505	ECK3033	yqiC	conserved protein	11,92	-	521,98	63,54	9	389	0	-0,818	0
JW5394	ECK2421	ucpA	predicted oxidoredutase, sulfate metabolism protein	3,87	-	175,38	40,68	9	389	0	0,046	0
JW2715	ECK2740	truD	pseudoruidine synthase	1	-	65,44	33,52	8	389	0	-0,269	0
JW0440	ECK0444	glnK	nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB	30,62	7,18	1302,81	82,14	10	388	0	0,067	0
JW1163	ECK1162	minE	cell division topological specificity factor	25,83	1,69	1104,73	85,23	8	386	0	-0,294	GO:0005737 cytoplasm
JW4020	ECK4051	ssb	Single-stranded DNA-binding protein	6,74	3,08	300,32	29,78	7	386	0	-0,708	GO:0005737 cytoplasm
JW4102	ECK4136	groS	Cpn10 chaperonin GroES, small subunit of GroESL	99	12,56	4064,14	88,66	9	385	0	-0,004	GO:0005737 cytoplasm
JW1721	ECK1730	katE	hydroperoxidase HPII(III) (catalase)	0,53	0,35	25,52	12,48	7	385	0	-0,498	GO:0005737 cytoplasm
JW3256	ECK3281	rplQ	50S ribosomal subunit protein L17	15,68	7,49	680,91	53,54	8	384	0	-0,565	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3462	ECK3480	uspA	universal stress global response regulator	30,62	2,56	1302,81	70,14	6	380	0	-0,056	GO:0005737 cytoplasm
JW1075	ECK1075	rpmF	50S ribosomal subunit protein L32	463,16	5,19	18139,54	54,39	5	378	0	-0,974	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3678	ECK3693	dnaN	DNA polymerase III, beta subunit	1,45	-	67,71	25,68	7	378	0	-0,133	GO:0005737 cytoplasm
JW2987	ECK3010	parC	DNA topoisomerase IV, subunit A	0,78	0,23	37,12	18,88	10	377	0	-0,369	GO:0005737 cytoplasm
JW3136	ECK3156	rbfA	30s ribosome binding factor	3,64	1	165,27	70,68	8	376	0	-0,398	GO:0005737 cytoplasm
JW0739	ECK0745	galM	galactose-1-epimerase (mutarotase)	2,38	5,47	109,47	32	7	376	0	-0,466	GO:0042597 periplasmic space
JW2578	ECK2594	yfiA	cold shock protein associated with 30S ribosomal subunit	67,13	16,89	2788,66	84,96	9	375	0	-0,535	GO:0009281 cytosolic ribosome (sensu Bacteria)
JW0228	ECK0239	gpt	guanine-hypoxanthine phosphoribosyltransferase	25,83	0,49	1104,73	56,58	8	374	0	-0,048	GO:0005737 cytoplasm
JW0737	ECK0743	aroG	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible	1,68	0,72	78	34,29	8	373	0	-0,182	0
JW0750	ECK0756	ybhE	6-phosphogluconolactonase	2,73	2	125,04	35,95	8	372	0	-0,224	0
JW1702	ECK1710	ihfA	integration host factor (IHF), DNA-binding protein, alpha subunit	22,71	2,75	975,11	75,76	9	370	0	-0,874	GO:0005737 cytoplasm
JW0655	ECK0650	ybeX	predicteed ion transport	2,59	1,74	118,82	44,86	10	370	0	-0,372	GO:0009274 cell wall (sensu Bacteria)
JW3646	ECK3662	ilvB	acetolactate synthase I, large subunit	1,37	0,43	64,08	22,42	7	370	0	0,041	0
JW3612	ECK3627	rpmB	50S ribosomal subunit protein L28	25,83	7,03	1104,73	66,67	9	369	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0669	ECK0671	fur	DNA-binding transcriptional dual regulator	11,92	1,49	521,98	78	8	368	0	-0,559	GO:0005737 cytoplasm
JW5655	ECK3541	yiaF	conserved protein	12,34	-	540	38,14	7	367	1	-0,151	0
JW2537	ECK2550	glnB	regulatory protein P-II for glutamine synthetase	55,23	2,68	2308,02	66,96	11	365	0	0,009	GO:0005737 cytoplasm
JW1370	ECK1371	uspF	stress-induced protein, ATP-binding protein	12,34	4,39	540	65,97	8	365	0	0,022	0
JW3691	ECK3706	yieF	chromate reductase, Class I, flavoprotein	4,62	0,95	208,24	44,68	6	365	0	0.000	0
JW5536	ECK3200	arcB	hybrid sensory histidine kinase in two-component regulatory system with ArcA	0,66	1,13	31,57	14	9	365	2	-0,251	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0430	ECK0434	hupB	HU, DNA-binding transcriptional regulator, beta subunit	12,89	7,83	563,11	60	6	364	0	-0,042	GO:0005737 cytoplasm
JW3454	ECK3472	yhiI	predicted HlyD family secretion protein	1,29	1	60,45	26	9	361	1	-0,161	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3900	ECK3921	rraA	ribonuclease E (RNase E) inhibitor protein	18,31	3,52	791,36	59,01	7	360	0	0,054	0
JW5146	ECK1019	ycdW	2-ketoacid reductase	1,15	-	54,08	41,03	7	360	0	-0,258	0
JW0803	ECK0809	ybiS	conserved protein	1,78	0,51	83	40,85	6	359	1	-0,116	0
JW5755	ECK4238	yjgF	ketoacid-binding protein	12,34	2,44	540	77,34	6	358	0	0,086	0
JW1633	ECK1637	slyB	outer membrane lipoprotein	3,64	4,84	165,27	38,71	4	358	0	0,114	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0861	ECK0868	ybjX	conserved protein	3,33	1,79	152	38,18	10	358	0	-0,345	0
JW3134	ECK3154	rpsO	30S ribosomal subunit protein S15	18,31	2,94	791,36	69,66	8	357	0	-0,673	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3820	ECK3836	fre	flavin reductase	2,98	3,27	136,13	49	8	357	0	-0,123	0
JW1808	ECK1817	manZ	mannose-specific enzyme IID component of PTS	2,46	9	113,03	29,72	7	357	2	0,407	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3198	ECK3218	sspA	stringent starvation protein A	3,92	3	177,58	35,38	7	356	0	-0,265	GO:0005737 cytoplasm
JW3937	ECK3957	trmA	tRNA (uracil-5-)-methyltransferase	1,23	0,15	57,72	31,97	8	356	0	-0,322	GO:0005737 cytoplasm
JW5854	ECK3820	yigL	predicted hydrolase	1,58	-	73,59	37,22	7	356	0	-0,185	0
JW3275	ECK3300	rplP	50S ribosomal subunit protein L16	12,89	5,43	563,11	44,85	5	355	0	-0,384	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2515	ECK2528	iscR	DNA-binding transcriptional activator	4,34	1,72	196	58,64	7	355	0	-0,256	0
JW0794	ECK0798	glnQ	glutamine transporter subunit -!- ATP-binding component of ABC superfamily	3,92	1	177,58	51,25	7	355	0	-0,138	GO:0005737 cytoplasm
JW1100	ECK1100	mfd	transcription-repair coupling factor	0,58	0,36	27,85	13,85	12	355	0	-0,292	GO:0005737 cytoplasm
JW1269	ECK1272	ribA	GTP cyclohydrolase II	7,25	0,89	322,33	46,43	9	354	0	-0,181	0
JW3264	ECK3289	rpmD	50S ribosomal subunit protein L30	157,49	7,55	6374,36	76,27	8	352	0	-0,137	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0141	ECK0144	dksA	transcriptional regulator of rRNA transcription, DnaK suppressor protein	9	11,17	398	62,25	7	352	0	-0,866	GO:0005737 cytoplasm
JW0906	ECK0914	mukE	protein involved in chromosome partitioning	1,68	0,97	78	34,67	6	351	0	-0,495	0
JW0661	ECK0663	nagD	UMP phosphatase	2,51	0,25	115,26	38	5	350	0	0,109	0
JW1913	ECK1927	yedD	predicted protein	2,16	0,25	99,64	46,72	5	350	0	-0,195	0
JW3563	ECK3579	selB	selenocysteinyl-tRNA-specific translation factor	0,68	-	33	18,89	9	350	0	-0,354	GO:0005737 cytoplasm
JW2287	ECK2284	yfbQ	predicted aminotransferase	1,02	0,49	48,14	19,26	6	349	0	-0,163	0
JW0229	ECK0240	frsA	hydrolase, binds to enzyme IIA(Glc)	0,63	0,66	30,18	20,05	7	349	0	0.000	0
JW4030	ECK4062	acs	bifunctional acetyl-CoA synthetase -!- propionyl-CoA synthetase	0,93	1	44,02	20,09	10	348	0	-0,291	0
JW3933	ECK3953	oxyR	DNA-binding transcriptional dual regulator	3,64	0,41	165,27	32	8	347	0	-0,088	GO:0005737 cytoplasm
JW2921	ECK2949	yggV	dITP/XTP pyrophosphatase	3,33	0,52	152	48,22	6	347	0	-0,122	0
JW2385	ECK2384	glk	glucokinase	1,58	2,39	73,59	30,84	7	347	0	0,154	GO:0005737 cytoplasm
JW4131	ECK4169	hflX	predicted GTPase	0,98	1,24	46,31	21,36	7	347	0	-0,332	0
JW2235	ECK2233	glpA	sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding	0,47	-	22,71	14,39	6	347	0	-0,134	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2234	ECK2232	glpT	sn-glycerol-3-phosphate transporter	6,02	0	269,17	15,04	8	346	12	0,493	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1220	ECK1227	purU	formyltetrahydrofolate hydrolase	1,74	0,98	81	28,93	6	346	0	-0,166	GO:0005737 cytoplasm
JW5756	ECK4245	yjgK	conserved protein	6,94	-	308,96	76	7	346	0	-0,249	0
JW3116	ECK3135	yraM	conserved protein	1,01	0,91	47,69	23,16	9	345	0	-0,272	0
JW1605	ECK1608	manA	mannose-6-phosphate isomerase	1	0,96	47,23	24,04	6	345	0	-0,126	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW5158	ECK1094	ycfP	conserved protein	7,38	3,02	327,93	68,89	10	344	0	-0,591	0
JW1238	ECK1240	oppD	oligopeptide transporter subunit -!- ATP-binding component of ABC superfamily	1,82	3,76	84	34,42	9	342	0	-0,009	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2904	ECK2932	speB	agmatinase	5,11	1	229,62	53,27	9	340	0	-0,105	0
JW0050	ECK0052	ksgA	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	3,39	1,64	154,25	40,66	8	340	0	-0,101	GO:0005737 cytoplasm
JW1812	ECK1821	cspC	stress protein, member of the CspA-family	99	7	4064,14	89,86	6	337	0	0.000	0
JW1119	ECK1119	trmU	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	1,78	1,75	83	27,99	6	336	0	-0,285	GO:0005737 cytoplasm
JW1297	ECK1299	pspA	regulatory protein for phage-shock-protein operon	1,68	4,17	78	40,09	8	336	0	-0,722	GO:0005737 cytoplasm
JW2081	ECK2087	gatA	galactitol-specific enzyme IIA component of PTS	14,85	-	645,93	66,35	5	336	0	-0,025	0
JW3774	ECK3796	hemY	predicted protoheme IX synthesis protein	1,23	0,62	57,72	22,36	8	335	2	-0,362	0
JW0618	ECK0616	cspE	DNA-binding transcriptional repressor	62	5,23	2585,84	78,26	7	334	0	-0,213	GO:0005737 cytoplasm
JW2590	ECK2606	rpsP	30S ribosomal subunit protein S16	67,13	11,84	2788,66	58,54	7	333	0	-0,329	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2795	ECK2823	thyA	thymidylate synthetase	4,88	0,28	220	34,85	8	333	0	-0,382	GO:0005737 cytoplasm
JW0742	ECK0748	galE	UDP-galactose-4-epimerase	2,65	1,71	121,49	29,59	7	332	0	-0,311	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2343	ECK2340	vacJ	predicted lipoprotein	2,46	0,24	113,03	45,02	7	331	0	-0,291	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0765	ECK0771	moaB	molybdopterin biosynthesis protein B	4,01	-	181,53	47,65	7	331	0	-0,225	0
JW4114	ECK4149	frdB	fumarate reductase (anaerobic), Fe-S subunit	4,88	1,57	220	46	8	330	0	-0,224	GO:0005737 cytoplasm
JW3403	ECK3425	yhhX	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	1,51	0,43	70,42	26,67	7	329	0	-0,346	0
JW2291	ECK2288	yfbU	conserved protein	7,38	1,36	327,93	68,29	10	328	0	-0,579	0
JW0646	ECK0644	rihA	ribonucleoside hydrolase 1	6,74	3,29	300,32	26,69	6	328	0	0,105	0
JW2548	ECK2562	pdxJ	pyridoxine 5'-phosphate synthase	1,93	0,44	89,34	44,44	7	328	0	-0,091	GO:0005737 cytoplasm
JW4345	ECK4374	deoA	thymidine phosphorylase	1,33	0,85	62,27	30,91	9	328	0	0,011	0
JW5185	ECK1186	dhaH	fused predicted dihydroxyacetone-specific PTS enzyme HPr component -!- EI component	1,23	0,23	57,72	23,31	6	327	0	-0,017	0
JW4171	ECK4209	cpdB	2':3'-cyclic-nucleotide 2'-phosphodiesterase	0	0,42	19,43	14	6	327	0	-0,285	GO:0005737 cytoplasm
JW3377	ECK3401	gntY	predicted gluconate transport associated protein	9	1,43	398	47,64	6	326	0	-0,256	0
JW5067	ECK0486	ybbN	predicted thioredoxin domain-containing protein	9	3,83	398	37,68	8	325	0	-0,242	0
JW2181	ECK2185	narP	DNA-binding response regulator in two-component regulatory system with NarQ or NarX	2,51	1,31	115,26	33,49	5	325	0	-0,014	GO:0005737 cytoplasm
JW2601	ECK2616	smpB	trans-translation protein	4,99	1,04	224,39	21,25	6	324	0	-0,581	0
JW1176	ECK1175	fadR	DNA-binding transcriptional dual regulator	2,38	1,84	109,47	46,86	8	324	0	-0,283	GO:0005737 cytoplasm
JW3393	ECK3416	glgC	glucose-1-phosphate adenylyltransferase	1,15	0,79	54,08	22,04	8	324	0	-0,267	GO:0005737 cytoplasm
JW2300	ECK2297	folX	D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase	3,33	2,38	152	60	6	323	0	-0,426	0
JW2903	ECK2931	yggG	predicted peptidase	1,51	1,88	70,42	34,13	6	323	0	-0,204	0
JW3026	ECK3044	ygiF	predicted adenylate cyclase	1,42	1,15	66,35	25	8	322	0	0.000	0
JW3069	ECK3089	yqjD	conserved protein	12,89	3,84	563,11	69,31	7	321	1	-0,545	0
JW1116	ECK1116	phoP	DNA-binding response regulator in two-component regulatory system with PhoQ	2,46	2,47	113,03	38,57	7	321	0	-0,257	GO:0005737 cytoplasm
JW3274	ECK3299	rpmC	50S ribosomal subunit protein L29	16,78	6,28	727,17	49,21	3	320	0	-0,657	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3176	ECK3198	elbB	isoprenoid biosynthesis protein with amidotransferase-like domain	2,59	0,93	118,82	36,87	5	320	0	0,267	0
