Accession (UNIPROT)	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Len	Unique Peptides 301	Unique Spectra 301	Total #spectra 301	Unique Peptides 303	Unique Spectra 303	Total #spectra 303	Unique Peptides 11	Unique Spectra 11	Total #spectra 11	Unique Peptides 12	Unique Spectra 12	Total #spectra 12	Unique Peptides 13	Unique Spectra 13	Total #spectra 13
P0AEX3	KGTP_ECOLI	C6EJZ9_ECOBD	B	Alpha-ketoglutarate transporter (Metabolite/H+ symporter, major facilitator superfamily (MFS))	432	1	1	1	3	3	3	2	2	2	3	3	3	3	3	4
P63183	KUP_ECOLI	C6EG56_ECOBD	B	Potassium transporter (Potassium uptake protein)	622	2	2	2	3	3	4	1	1	1	1	1	1	1	1	1
P03023	LACI_ECOLI	C6EJI7_ECOBD	A	Transcriptional regulator, LacI family	363	10	10	16	7	8	10	9	9	9	9	9	9	7	7	7
P00803	LEP_ECOLI	C6EK19_ECOBD	B	Signal peptidase I (EC 3.4.21.89)	324	13	15	23	14	17	28	9	11	11	10	12	12	11	12	12
P60955	LGT_ECOLI	C6EJ41_ECOBD	B	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	291	1	1	2	1	1	1	2	2	4						
P33232	LLDD_ECOLI	C6EDI4_ECOBD	B	FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase, FMN-linked) (EC 1.1.2.3)	396	4	5	6	2	2	3	2	2	2	2	2	2	1	1	1
P23930	LNT_ECOLI	C6EK38_ECOBD	B	Apolipoprotein N-acyltransferase	512	4	5	8	9	9	12	8	9	9	9	9	9	6	6	6
P61320	LOLB_ECOLI	C6EGQ7_ECOBD	I	Outer-membrane lipoprotein lolB	207	8	8	10	6	7	10	10	10	10	8	8	9	7	7	8
P0ADC3	LOLC_ECOLI	C6EGX6_ECOBD	B	Lipoprotein releasing system, transmembrane protein, LolC/E family (Outer membrane-specific lipoprotein transporter subunit)	399	10	10	17	13	16	28	7	7	8	4	4	5	8	8	9
P75957	LOLD_ECOLI	C6EGX5_ECOBD	F1	Lipoprotein releasing system, ATP-binding protein (Outer membrane-specific lipoprotein transporter subunit)	233													2	2	2
P75958	LOLE_ECOLI	C6EGX4_ECOBD	B	Lipoprotein releasing system, transmembrane protein LolE	412	6	6	8	7	7	10	6	6	6	6	6	6	4	4	4
P69776	LPP_ECOLI	C6ECS8_ECOBD	I	LPP repeat-containing protein (Murein lipoprotein)	78	4	5	9	4	4	7	3	4	5	3	4	5	3	3	4
P0ADV9	LPTC_ECOLI	C6EH28_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yrbK)	191	2	2	8	4	5	7	5	6	6	3	3	3	3	3	3
P31554	LPTD_ECOLI	C6EAZ9_ECOBD	H	LPS-assembly protein lptD (Organic solvent tolerance protein)	784	3	4	4	4	4	6	2	2	2	4	5	5	4	4	4
P0ADC1	LPTE_ECOLI	C6EK52_ECOBD	I	Minor lipoprotein (Rare lipoprotein B)	193													2	2	2
P0AF98	LPTF_ECOLI	C6EC90_ECOBD	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	366	7	7	10	8	8	12	4	4	4	5	5	5	8	8	8
P0ADC6	LPTG_ECOLI	C6EC89_ECOBD	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	360	7	8	14	8	11	17	6	7	8	5	5	5	5	5	6
P27300	LPXK_ECOLI	C6EI67_ECOBD	B	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	328	3	3	3	1	1	2									
P25737	LYSP_ECOLI	C6EAF7_ECOBD	B	Amino acid permease-associated region (Lysine transporter)	489	1	1	1	1	1	1									
P75830	MACA_ECOLI	C6EIA3_ECOBD	F2	Efflux transporter, RND family, MFP subunit (Macrolide transporter subunit, membrane fusion protein (MFP) component)	371	8	9	12	6	6	10	3	3	3	3	3	3	5	5	5
P75831	MACB_ECOLI	C6EIA2_ECOBD	B	ABC transporter related (Fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component)	648	5	5	6	4	4	4							1	1	1
P77265	MDLA_ECOLI	C6EL15_ECOBD	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	590	5	5	6	1	1	2	1	1	1	2	2	2	4	4	4
P0AAG5	MDLB_ECOLI	C6EL14_ECOBD	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	593	2	2	3	2	2	2							2	2	2
P76397	MDTA_ECOLI	C6EAN1_ECOBD	F2	Multidrug resistance protein mdtA (Multidrug transporter mdtA)	415	6	6	8	4	4	5	1	1	1	1	1	1			
P76399	MDTC_ECOLI	C6EAM9_ECOBD	B	Acriflavin resistance protein (Multidrug efflux system, subunit C)	1025	1	1	2										2	2	2
P37340	MDTK_ECOLI	C6ECU0_ECOBD	B	Multidrug resistance protein mdtK (Multidrug-efflux transporter)	457													1	1	1
P31547	METI_ECOLI	C6EA86_ECOBD	B	Binding-protein-dependent transport systems inner membrane component (DL-methionine transporter subunit)	217							2	2	3	2	2	3	2	3	5
P30750	METN_ECOLI	C6EA85_ECOBD	F1	D-methionine ABC transporter, ATPase subunit (DL-methionine transporter subunit)	343	2	2	2	1	1	1	1	1	1						
P28635	METQ_ECOLI	C6EA87_ECOBD	E	DL-methionine transporter subunit (Lipoprotein, YaeC family)	271	13	16	36	16	20	41	10	14	17	10	13	14	13	15	18
P76506	MLAA_ECOLI	C6ELA7_ECOBD	I	Predicted lipoprotein (VacJ family lipoprotein)	251	1	1	1	3	3	4	2	2	2	3	3	3	3	3	3
P64604	MLAD_ECOLI	C6EH34_ECOBD	G	Mammalian cell entry related domain protein (Predicted ABC-type organic solvent transporter)	183	3	3	4	4	5	6	1	1	1	3	3	3	2	2	2
P63386	MLAF_ECOLI	C6EH32_ECOBD	F1	ABC transporter related (Predicted toluene transporter subunit: ATP-binding component of ABC superfamily)	269				2	2	2							2	2	2
P0A935	MLTA_ECOLI	C6EJ53_ECOBD	I	Membrane-bound lytic murein transglycosylase A (EC 3.2.1.-) (MltA domain protein)	365	5	6	16	6	6	9	4	4	4	2	2	2	7	7	7
P41052	MLTB_ECOLI	C6EJT0_ECOBD	I	Lytic murein transglycosylase B (Membrane-bound lytic murein transglycosylase B) (EC 3.2.1.-)	361	2	2	3	2	2	4									
P0C066	MLTC_ECOLI	C6EIE7_ECOBD	I	Lytic transglycosylase catalytic	360	3	3	4	3	3	4							1	1	1
P0A6W3	MRAY_ECOLI	C6EAW8_ECOBD	B	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	360	2	2	4	3	3	6	5	5	7	4	4	6	5	5	6
P0A9X4	MREB_ECOLI	C6EGL0_ECOBD	F1	Cell shape determining protein, MreB/Mrl family (Cell wall structural complex MreBCD, actin-like component MreB)	347	2	2	2							2	2	2	2	2	2
P16926	MREC_ECOLI	C6EGL1_ECOBD	B	Cell wall structural complex MreBCD transmembrane component MreC (Rod shape-determining protein MreC)	367	4	4	8	5	5	10	2	2	2	3	3	3	3	3	3
P60752	MSBA_ECOLI	C6EI68_ECOBD	B	Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (Lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA)	582	18	22	32	18	19	31	22	22	24	18	19	20	19	21	24
P24205	MSBB_ECOLI	C6EBX2_ECOBD	B	Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase	323	2	2	4	1	1	1	3	3	3				3	3	3
P0A742	MSCL_ECOLI	C6EGH6_ECOBD	B	Large-conductance mechanosensitive channel	136	5	6	10	5	6	9	7	7	7	7	7	7	6	7	7
P0C0S1	MSCS_ECOLI	C6EII5_ECOBD	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	286	9	10	27	9	11	28	7	7	8	6	6	6	8	8	8
P46022	MTGA_ECOLI	C6EH19_ECOBD	B	Monofunctional biosynthetic peptidoglycan transglycosylase (Monofunctional TGase) (EC 2.4.2.-)	242	1	1	3	1	1	3	1	1	1	2	2	2	2	2	4
P22523	MUKB_ECOLI	C6EI58_ECOBD	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	1486	2	2	2	1	1	1	1	1	1						
P17443	MURG_ECOLI	C6EAW5_ECOBD	F1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	355	9	9	15	8	8	11	9	9	10	9	9	9	10	10	11
P0AF16	MVIN_ECOLI	C6EHE4_ECOBD	B	Integral membrane protein MviN (Predicted inner membrane protein)	511	1	1	1												
P41036	NANT_ECOLI	C6EH08_ECOBD	B	Putative sialic acid transporter (Sialic acid permease)	496				1	1	1									
P0AFA2	NARX_ECOLI	C6EGP2_ECOBD	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory system with NarL) (EC 2.7.3.-)	598	1	1	1	1	1	2							1	1	1
P0AFA7	NHAB_ECOLI	C6EGT1_ECOBD	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	513	2	2	3	2	2	3	4	4	4	3	3	4	3	3	4
P04846	NLPA_ECOLI	C6EDB0_ECOBD	E	Cytoplasmic membrane lipoprotein-28 (Lipoprotein, YaeC family)	272	4	4	5	5	5	7	3	3	3	4	4	4	3	3	3
P0A903	NLPB_ECOLI	C6EKN4_ECOBD	I	Lipoprotein (NlpBDapX family lipoprotein)	344	3	4	8	2	4	8	5	5	5	2	2	4	3	3	3
P0ADA3	NLPD_ECOLI	C6EJC5_ECOBD	I	Peptidase M23 (Predicted outer membrane lipoprotein)	379	8	9	10	7	8	10	7	7	8	5	5	5	8	8	9
P40710	NLPE_ECOLI	C6EA92_ECOBD	I	Copper resistance lipoprotein NlpE (Lipoprotein involved with copper homeostasis and adhesion)	236	3	4	4	4	4	4	2	3	3	2	3	3	3	4	4
P0AFB1	NLPI_ECOLI	C6EH62_ECOBD	I	Putative uncharacterized protein nlpI (Tetratricopeptide TPR_2 repeat protein)	294	1	1	1												
P0AFC3	NUOA_ECOLI	C6E9R4_ECOBD	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	147	4	5	13	4	5	13	4	5	7	4	6	9	4	6	10
P33599	NUOCD_ECOLI	C6E9R6_ECOBD	F1	NADH dehydrogenase I, D subunit (NADH:ubiquinone oxidoreductase, chain C,D) (EC 1.6.5.3)	600	10	11	16	8	8	10	8	8	8	4	4	7	5	5	5
P31979	NUOF_ECOLI	C6E9R8_ECOBD	F1	NADH-quinone oxidoreductase, F subunit (EC 1.6.99.5) (NADH:ubiquinone oxidoreductase, chain F) (EC 1.6.5.3)	445	2	2	3	2	2	2	1	1	1				2	2	4
P33602	NUOG_ECOLI	C6E9R9_ECOBD	F1	NADH-quinone oxidoreductase (EC 1.6.99.5)	908	4	4	4	2	2	2									
P0AFD4	NUOH_ECOLI	C6E9S0_ECOBD	B	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	325	4	4	10	3	3	11	5	5	7	3	3	4	5	5	7
P0AFD6	NUOI_ECOLI	C6E9S1_ECOBD	F1	NADH-quinone oxidoreductase subunit I (EC 1.6.99.5) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	180	5	6	10	4	5	9	3	3	3	2	2	4	3	3	5
P0AFE0	NUOJ_ECOLI	C6E9S2_ECOBD	B	NADH dehydrogenase (Quinone) (EC 1.6.99.5) (NADH dehydrogenase subunit J) (EC 1.6.5.3)	184	1	1	1				2	2	2	2	2	2	2	2	2
P0AFE4	NUOK_ECOLI	C6E9S3_ECOBD	B	NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	100	2	2	4	2	2	6				2	2	3	2	2	3
P33607	NUOL_ECOLI	C6E9S4_ECOBD	B	NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain L)	613	3	3	7	3	3	5	3	3	5	3	3	6	4	4	6
P0AFF2	NUPC_ECOLI	C6EL76_ECOBD	B	Nucleoside (Except guanosine) transporter (Nucleoside transporter)	400	3	3	5	3	3	4	4	5	6	3	3	3	4	4	5
P0A910	OMPA_ECOLI	C6EI25_ECOBD	H	"OmpA domain protein transmembrane region-containing protein (Outer membrane protein A (3a;II*;G;d))"	346	16	22	59	15	19	63	13	17	20	11	13	17	13	17	27
P02931	OMPF_ECOLI	C6EI53_ECOBD	H	"Outer membrane porin 1a (Ia;b;F) (Porin Gram-negative type)"	362	7	7	7	4	4	4	7	7	7	4	4	4	4	4	4
P0AA16	OMPR_ECOLI	C6EFG9_ECOBD	A	Two component transcriptional regulator, winged helix family	239	1	1	1	2	2	3				1	1	1			
P62517	OPGH_ECOLI	C6EHG3_ECOBD	B	Glycosyl transferase family 2	837	13	14	24	14	15	28	15	16	18	11	11	14	13	14	16
P0AFH2	OPPB_ECOLI	C6EGM3_ECOBD	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide permease ABC transporter membrane protein)	306	3	5	8	3	5	9	3	3	3				3	3	3
P0AFH6	OPPC_ECOLI	C6EFZ1_ECOBD	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide transporter subunit)	302	2	3	4	3	5	8							1	2	2
P0ADB1	OSME_ECOLI	C6ECL9_ECOBD	I	DNA-binding transcriptional activator (SmpA/OmlA domain protein)	112	2	2	6	2	3	7	2	4	5	2	3	5	2	4	5
P25714	OXAA_ECOLI	C6EG98_ECOBD	B	Inner membrane protein oxaA	548	16	21	62	17	22	77	17	23	32	12	14	23	16	22	35
P0A912	PAL_ECOLI	C6EJJ6_ECOBD	I	Peptidoglycan-associated lipoprotein (Peptidoglycan-associated outer membrane lipoprotein)	173	2	3	3	1	1	1									
P16256	PANF_ECOLI	C6EGK2_ECOBD	B	Sodium/panthothenate symporter (Sodium/pantothenate symporter)	483													2	2	3
P0AD65	PBP2_ECOLI	C6EK58_ECOBD	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	633	8	8	10	7	7	10	3	3	3	3	3	3	3	3	3
P02918	PBPA_ECOLI	C6EFI0_ECOBD	B	Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	850	20	24	35	24	29	47	22	26	26	18	19	19	22	24	24
P02919	PBPB_ECOLI	C6EAD5_ECOBD	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	841	20	22	43	25	26	49	21	22	24	15	15	16	23	25	30
P0ABF8	PGSA_ECOLI	C6EBF0_ECOBD	B	CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthetase) (EC 2.7.8.5)	182	1	1	1							3	3	3			
P24207	PHEP_ECOLI	C6EKC5_ECOBD	B	Amino acid permease-associated region	470	1	1	2	2	2	5	2	2	2	1	1	2	2	3	3
P23837	PHOQ_ECOLI	C6EGW2_ECOBD	B	Histidine kinase (Sensory histidine kinase in two-compoent regulatory system with PhoP) (EC 2.7.1.-)	486	7	8	11	7	8	11	2	2	2	2	2	2	4	4	4
P08400	PHOR_ECOLI	C6ELI4_ECOBD	B	PAS/PAC sensor signal transduction histidine kinase (Sensory histidine kinase in two-component regulatory system with PhoB) (EC 2.7.1.-)	431	2	2	2												
P0AFJ7	PITA_ECOLI	C6EEJ2_ECOBD	B	Phosphate transporter (Phosphate transporter, low-affinity)	499	3	4	6	3	3	5	3	3	3	2	2	3	4	4	5
P0A7A7	PLSB_ECOLI	C6EDX9_ECOBD	F1	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	807	17	20	40	25	28	58	27	29	30	14	15	15	23	26	26
P26647	PLSC_ECOLI	C6EHX6_ECOBD	F1	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	245	7	8	11	8	8	10	4	4	4	3	4	4	6	7	7
P27247	PLSX_ECOLI	C6EHC4_ECOBD	A	Fatty acid/phospholipid synthesis protein PlsX	346	1	1	1	1	1	1							3	3	3
P07001	PNTA_ECOLI	C6EDP5_ECOBD	B	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)	510	18	21	50	18	20	55	15	17	20	11	12	15	17	19	25
P0AB67	PNTB_ECOLI	C6EDP6_ECOBD	B	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	462	10	10	24	11	12	30	10	10	11	10	10	11	13	13	14
P0AFK4	POTB_ECOLI	C6EGW6_ECOBD	B	Binding-protein-dependent transport systems inner membrane component	285				2	2	2				2	2	2			
P0AFK6	POTC_ECOLI	C6EGW7_ECOBD	B	Binding-protein-dependent transport systems inner membrane component (Spermidine/putrescine ABC transporter membrane protein)	264	2	2	2	1	1	1									
P0ADY1	PPID_ECOLI	C6EL22_ECOBD	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	40	48	73	29	33	50	41	48	55	29	32	35	36	40	50
P43671	PQIB_ECOLI	C6EI31_ECOBD	B	Mammalian cell entry related domain protein (Paraquat-inducible protein B)	546	4	4	5	6	6	7				3	3	3	1	1	1
P0C0L7	PROP_ECOLI	C6ED13_ECOBD	B	Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)	500	6	6	10	5	5	8	4	4	4	5	6	6	5	5	5
P45577	PROQ_ECOLI	C6EBZ8_ECOBD	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	232	1	1	1							2	2	2	1	1	1
P14176	PROW_ECOLI	C6EJU7_ECOBD	B	Binding-protein-dependent transport systems inner membrane component (Glycine betaine transporter subunit)	354	1	1	1	1	1	1									
P0AAE2	PROY_ECOLI	C6ELI2_ECOBD	B	Amino acid permease-associated region (Predicted cryptic proline transporter)	457	1	1	1				3	4	6	2	3	3	3	3	4
P0A8K1	PSD_ECOLI	C6ECW5_ECOBD	F1	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65)	322	4	4	9	7	7	10	6	6	7	4	4	4	6	6	6
P0AFN2	PSPC_ECOLI	C6EFS6_ECOBD	B	DNA-binding transcriptional activator (Phage shock protein C, PspC)	119	2	3	6	2	2	4	3	3	3	1	1	1	2	2	2
P23830	PSS_ECOLI	C6EK01_ECOBD	F1	Phosphatidylserine synthase (EC 2.7.8.8) (Phospholipase D/Transphosphatidylase)	451	15	15	25	13	13	23	13	13	13	11	11	11	13	13	13
P07654	PSTA_ECOLI	C6EG77_ECOBD	B	Phosphate ABC transporter, inner membrane subunit PstA (Phosphate transporter subunit)	296										1	1	1			
P0AAH0	PSTB_ECOLI	C6EG78_ECOBD	F1	Phosphate ABC transporter, ATPase subunit (Phosphate transporter subunit)	257	1	1	1												
P20966	PTFBC_ECOLI	C6EA31_ECOBD	B	Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)	563	10	12	18	10	14	22	7	8	8	7	8	8	10	13	20
P69786	PTGCB_ECOLI	C6EGZ1_ECOBD	B	Fused glucose-specific PTS enzymes: IIB component/IIC component (EC 2.7.1.69) (PTS system, glucose-specific IIBC subunit) (EC 2.7.1.69)	477	9	13	38	11	14	41	9	11	12	8	10	12	9	12	13
P69831	PTKC_ECOLI	C6EAL8_ECOBD	B	Galactitol-specific enzyme IIC component of PTS (PTS system, galactitol-specific IIC subunit)	451	4	5	8	5	6	9	7	9	9	6	8	8	6	8	9
P00550	PTM3C_ECOLI	C6EDJ3_ECOBD	B	Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components (PTS system, mannitol-specific IIC subunit)	637	12	15	24	14	17	27	14	14	14	9	9	9	16	16	16
P69801	PTNC_ECOLI	C6EC12_ECOBD	B	Mannose-specific enzyme IIC component of PTS (PTS system, mannose/fructose/sorbose family, IIC subunit)	266	2	2	3	2	2	4	2	2	2	2	2	2	2	2	3
P69805	PTND_ECOLI	C6EC11_ECOBD	B	PTS system, mannose/fructose/sorbose family, IID subunit	283	2	2	4	3	3	5	7	8	8	4	4	5	3	3	3
P36672	PTTBC_ECOLI	C6ECA8_ECOBD	B	Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component (PTS system, trehalose-specific IIBC subunit)	473	4	5	8	5	6	11	3	4	4	3	3	3	3	4	4
P09323	PTW3C_ECOLI	C6EJQ6_ECOBD	B	Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)	648	10	13	22	10	12	22	9	11	11	6	7	8	9	10	11
P77272	PTYBC_ECOLI	C6EKS4_ECOBD	B	N-acetylmuramic acid phosphotransfer permease (Phosphotransferase system EIIC)	474	1	1	1	1	1	1							1	1	1
P31466	PURP_ECOLI	C6EG89_ECOBD	B	Predicted inner membrane protein (Xanthine/uracil/vitamin C permease)	445	1	1	1				1	1	2	1	1	1	1	1	1
P09546	PUTA_ECOLI	C6EHJ3_ECOBD	F1	Delta-1-pyrroline-5-carboxylate dehydrogenase (Fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase) (EC 1.5.1.12) (EC 1.5.99.8)	1320	2	2	3	4	5	5	2	2	4	2	2	2	2	2	2
P07117	PUTP_ECOLI	C6EHJ1_ECOBD	B	Proline:sodium symporter (Sodium/proline symporter)	502	4	5	6	4	5	7	4	4	4	4	5	5	4	5	5
P0A7E1	PYRD_ECOLI	C6EI37_ECOBD	F1	Dihydroorotate dehydrogenase (EC 1.3.5.2) (DHOdehase) (Dihydroorotate oxidase)	336	3	3	4	2	2	2	3	4	4				2	3	3
P0AA53	QMCA_ECOLI	C6EKX5_ECOBD	B	Band 7 protein (Predicted protease, membrane anchored)	305	3	3	5	4	4	6	3	3	3	2	2	2	3	3	3
P40719	QSEC_ECOLI	C6EHW7_ECOBD	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with QseB) (EC 2.7.3.-)	449	5	5	8	9	9	13	6	6	6	4	4	4	6	6	6
P24554	RADA_ECOLI	C6EBI2_ECOBD	A	DNA repair protein radA	460	3	3	3												
P0AGI1	RBSC_ECOLI	C6EJ66_ECOBD	B	Inner-membrane translocator (Ribose transport system permease protein rbsC)	327				2	2	2				1	1	1	1	1	1
P14376	RCSC_ECOLI	C6E9Y2_ECOBD	B	Histidine kinase	949	9	9	13	8	8	8	1	1	1	3	3	3	2	2	2
P69411	RCSF_ECOLI	C6EA88_ECOBD	I	Outer membrane lipoprotein (Predicted outer membrane protein, signal)	134	1	1	2	1	1	2	2	2	2	3	3	3	1	1	1
P0AG20	RELA_ECOLI	C6EJ88_ECOBD	A	(P)ppGpp synthetase I, SpoT/RelA (EC 2.7.6.5) ((P)ppGpp synthetase I/GTP pyrophosphokinase) (EC 2.7.6.5)	744													1	1	1
P27243	RFAL_ECOLI	C6EDG8_ECOBD	B	Lipid A-core, surface polymer ligase (O-antigen polymerase)	417				1	1	1							2	2	2
P25741	RFAP_ECOLI	C6EDG1_ECOBD	A	Lipopolysaccharide kinase	265	2	2	2	3	3	4				1	1	1	2	2	3
P25742	RFAQ_ECOLI	C6EDF9_ECOBD	A	Lipopolysaccharide heptosyltransferase III	340	2	3	3	2	2	3									
P0A8J8	RHLB_ECOLI	C6EG33_ECOBD	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	421	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2
P0AG30	RHO_ECOLI	C6EG30_ECOBD	A	Transcription termination factor Rho	419	2	2	2	1	1	1				1	1	1			
P16917	RHSB_ECOLI	C6EF92_ECOBD	A	RhsB element core protein RshB (YD repeat protein)	1411				1	1	2									
P0A7L0	RL1_ECOLI	C6EE35_ECOBD	A	50S ribosomal protein L1	234	3	3	4	3	3	4	3	3	3	3	3	3	4	4	4
P0A7J3	RL10_ECOLI	C6EE34_ECOBD	A	50S ribosomal protein L10	165	4	4	6	4	4	7	3	3	3	3	3	3	2	2	2
P0A7J7	RL11_ECOLI	C6EE36_ECOBD	A	50S ribosomal protein L11	142				1	1	2				1	1	1	2	2	2
P0ADY3	RL14_ECOLI	C6EGF6_ECOBD	A	50S ribosomal protein L14	123	1	1	1	1	1	2	3	3	3	2	2	2	2	2	2
P02413	RL15_ECOLI	C6EGG5_ECOBD	A	50S ribosomal protein L15	144	6	6	8	7	7	8	3	3	3	2	2	2	2	2	2
P0ADY7	RL16_ECOLI	C6EGF3_ECOBD	A	50S ribosomal protein L16	136	1	1	2	1	1	3				2	2	2	2	2	2
P0AG44	RL17_ECOLI	C6EGH2_ECOBD	A	50S ribosomal protein L17	127	2	2	3	2	2	3				2	2	2	1	1	1
P0C018	RL18_ECOLI	C6EGG2_ECOBD	A	50S ribosomal protein L18	117	1	1	1				2	2	2	2	2	2			
P60422	RL2_ECOLI	C6EGE9_ECOBD	A	50S ribosomal protein L2	273	7	7	9	6	7	10	6	6	6	5	6	6	4	5	6
P0A7L3	RL20_ECOLI	C6ECP1_ECOBD	A	50S ribosomal protein L20	118	3	3	4	5	5	7	6	6	6	6	6	6	6	6	6
P0AG48	RL21_ECOLI	C6EH41_ECOBD	A	50S ribosomal protein L21	103							1	1	1						
P0A7M2	RL28_ECOLI	C6EDF4_ECOBD	A	50S ribosomal protein L28	78							1	1	1	1	1	1	2	2	2
P60723	RL4_ECOLI	C6EGE7_ECOBD	A	50S ribosomal protein L4	201	1	1	1												
P62399	RL5_ECOLI	C6EGF8_ECOBD	A	50S ribosomal protein L5	179	10	12	19	8	10	14	4	5	5	3	3	3	5	6	7
P0A7K2	RL7_ECOLI	C6EE33_ECOBD	A	50S ribosomal protein L7/L12	121										2	2	2	1	1	1
P36979	RLMN_ECOLI	C6EKJ2_ECOBD	A	Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-) (23S rRNA m2A2503 methyltransferase)	384				1	1	1									
P10100	RLPA_ECOLI	C6EK60_ECOBD	I	Minor lipoprotein (Rare lipoprotein A)	362	6	6	6	4	4	4	4	4	4	4	4	4	3	3	3
P0AG71	RMUC_ECOLI	C6EF64_ECOBD	B	Predicted recombination limiting protein (Putative uncharacterized protein)	475	3	3	4	5	5	5	2	2	2	1	1	1	2	2	2
P21513	RNE_ECOLI	C6EHC9_ECOBD	F1	Fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein (EC 3.1.4.-) (Ribonuclease, Rne/Rng family)	1061	21	22	30	22	22	33	19	19	19	14	14	14	14	15	15
P77223	RNFB_ECOLI	C6EDL8_ECOBD	F1	Electron transport complex protein rnfB	192				2	2	2							2	2	2
P0ABG7	RODA_ECOLI	C6EK59_ECOBD	B	Cell cycle protein (Cell wall shape-determining protein)	370	2	2	4	3	3	5	2	2	2				3	3	3
P27434	RODZ_ECOLI	C6EKJ3_ECOBD	B	Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)	337	11	15	27	12	16	28	8	11	11	11	14	15	13	16	17
P0A8T7	RPOC_ECOLI	C6EE31_ECOBD	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	8	8	11	9	9	15	7	7	7	3	3	3	5	5	5
P00579	RPOD_ECOLI	C6EHS8_ECOBD	A	RNA polymerase sigma factor	613	1	1	1	2	2	3				1	1	1	1	1	1
