Protein name	Protein accession numbers	Protein molecular weight (Da)	Protein identification probability	Number of unique peptides	Number of unique spectra	Number of total spectra	Percentage of total spectra	Percentage sequence coverage
C6EBG1_ECOBD Transaldolase OS=Escherichia coli (strain B / BL21-DE3) GN=talB PE=3 SV=1	C6EBG1_ECOBD	35,232.9	100.0%	6	6	6	0.309%	21.5%
C6EBG5_ECOBD Threonine synthase OS=Escherichia coli (strain B / BL21-DE3) GN=thrC PE=4 SV=1	C6EBG5_ECOBD	47,067.1	60.3%	1	1	1	0.0752%	3.04%
C6EBH2_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=creC PE=3 SV=1	C6EBH2_ECOBD	52,256.2	56.2%	1	1	1	0.0669%	2.32%
C6EBH4_ECOBD CreA family protein OS=Escherichia coli (strain B / BL21-DE3) GN=creA PE=4 SV=1	C6EBH4_ECOBD	17,090.1	100.0%	6	7	8	0.412%	56.1%
C6EBH9_ECOBD Lytic murein transglycosylase, soluble OS=Escherichia coli (strain B / BL21-DE3) GN=slt PE=4 SV=1	C6EBH9_ECOBD	73,326.7	100.0%	4	4	4	0.141%	5.27%
C6EBI0_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=yjjK PE=4 SV=1	C6EBI0_ECOBD	62,427.4	100.0%	4	4	4	0.141%	7.21%
C6EBI2_ECOBD DNA repair protein radA OS=Escherichia coli (strain B / BL21-DE3) GN=sms PE=3 SV=1	C6EBI2_ECOBD	49,423.4	100.0%	4	4	5	0.184%	11.3%
C6EBI4_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=smp PE=4 SV=1	C6EBI4_ECOBD	24,065.5	100.0%	6	7	8	0.485%	31.3%
C6EBI7_ECOBD Purine nucleoside phosphorylase deoD-type OS=Escherichia coli (strain B / BL21-DE3) GN=deoD PE=3 SV=1	C6EBI7_ECOBD	25,918.3	100.0%	7	7	7	0.303%	36.8%
C6EBI8_ECOBD Phosphopentomutase OS=Escherichia coli (strain B / BL21-DE3) GN=deoB PE=3 SV=1	C6EBI8_ECOBD	44,281.0	100.0%	3	3	3	0.148%	11.1%
C6EBI9_ECOBD Thymidine phosphorylase OS=Escherichia coli (strain B / BL21-DE3) GN=deoA PE=3 SV=1	C6EBI9_ECOBD	47,163.3	100.0%	9	10	12	0.442%	28.4%
C6EBJ0_ECOBD Deoxyribose-phosphate aldolase OS=Escherichia coli (strain B / BL21-DE3) GN=deoC PE=4 SV=1	C6EBJ0_ECOBD	27,730.9	100.0%	18	18	20	0.702%	87.3%
C6EBJ6_ECOBD Transport-associated OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_3645 PE=4 SV=1	C6EBJ6_ECOBD	20,822.8	50.0%	1	1	1	0.0310%	5.03%
C6EBL1_ECOBD Phosphoglycerol transferase I OS=Escherichia coli (strain B / BL21-DE3) GN=mdoB PE=3 SV=1	C6EBL1_ECOBD	85,479.0	55.5%	1	1	1	0.0508%	1.70%
C6EBM6_ECOBD Carbon starvation protein CstA OS=Escherichia coli (strain B / BL21-DE3) GN=yjiY PE=4 SV=1	C6EBM6_ECOBD	77,294.5	100.0%	10	11	11	0.359%	16.1%
C6EBN1_ECOBD DNA methylase M OS=Escherichia coli (strain B / BL21-DE3) GN=hsdM PE=4 SV=1	C6EBN1_ECOBD	59,263.7	98.2%	1	1	1	0.0436%	2.65%
C6EBP2_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yjiN PE=4 SV=1	C6EBP2_ECOBD	48,226.3	100.0%	2	2	2	0.0795%	6.57%
C6EBT1_ECOBD Inner-membrane translocator OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1742 PE=4 SV=1	C6EBT1_ECOBD	34,194.3	61.0%	1	1	1	0.0351%	3.66%
C6EBW3_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yebC PE=3 SV=1	C6EBW3_ECOBD	26,419.3	50.0%	1	1	1	0.0357%	4.07%
C6EBW7_ECOBD Holliday junction ATP-dependent DNA helicase ruvB OS=Escherichia coli (strain B / BL21-DE3) GN=ruvB PE=3 SV=1	C6EBW7_ECOBD	37,157.5	54.3%	1	1	1	0.0469%	4.76%
C6EBW9_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=znuC PE=3 SV=1	C6EBW9_ECOBD	27,858.6	100.0%	7	8	8	0.281%	27.9%
C6EBX2_ECOBD Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=msbB PE=4 SV=1	C6EBX2_ECOBD	37,393.6	100.0%	3	3	3	0.154%	14.2%
C6EBX3_ECOBD Pyruvate kinase OS=Escherichia coli (strain B / BL21-DE3) GN=pykA PE=3 SV=1	C6EBX3_ECOBD	51,339.8	56.2%	1	1	1	0.0669%	2.08%
C6EBX8_ECOBD 2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase OS=Escherichia coli (strain B / BL21-DE3) GN=eda PE=4 SV=1	C6EBX8_ECOBD	22,266.3	99.8%	1	1	1	0.0666%	8.92%
C6EBY3_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yebE PE=4 SV=1	C6EBY3_ECOBD	23,757.7	100.0%	11	16	18	0.677%	73.1%
C6EBZ5_ECOBD Mammalian cell entry related domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=yebT PE=4 SV=1	C6EBZ5_ECOBD	94,924.9	100.0%	9	9	9	0.390%	16.2%
C6EBZ8_ECOBD ProQ activator of osmoprotectant transporter ProP OS=Escherichia coli (strain B / BL21-DE3) GN=proQ PE=3 SV=1	C6EBZ8_ECOBD	25,844.4	100.0%	3	3	3	0.148%	11.2%
C6EBZ9_ECOBD Carboxy-terminal protease for penicillin-binding protein 3 OS=Escherichia coli (strain B / BL21-DE3) GN=prc PE=3 SV=1	C6EBZ9_ECOBD	76,545.6	100.0%	2	2	2	0.0740%	3.23%
C6EC00_ECOBD Protease HtpX OS=Escherichia coli (strain B / BL21-DE3) GN=htpX PE=3 SV=1	C6EC00_ECOBD	31,954.2	100.0%	3	3	4	0.197%	9.90%
C6EC03_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1814 PE=4 SV=1	C6EC03_ECOBD	8,496.6	76.3%	1	1	1	0.0398%	13.9%
C6EC05_ECOBD Putative uncharacterized protein yebO OS=Escherichia coli (strain B / BL21-DE3) GN=yebO PE=4 SV=1	C6EC05_ECOBD	10,774.5	100.0%	6	9	9	0.590%	52.6%
C6EC11_ECOBD PTS system, mannose/fructose/sorbose family, IID subunit OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1822 PE=4 SV=1	C6EC11_ECOBD	30,938.6	100.0%	13	17	38	1.43%	50.5%
C6EC12_ECOBD Mannose-specific enzyme IIC component of PTS OS=Escherichia coli (strain B / BL21-DE3) GN=manY PE=4 SV=1	C6EC12_ECOBD	27,618.3	99.8%	2	2	2	0.121%	8.27%
C6EC13_ECOBD Fused mannose-specific PTS enzymes: IIA component/IIB component OS=Escherichia coli (strain B / BL21-DE3) GN=manX PE=4 SV=1	C6EC13_ECOBD	35,029.4	100.0%	8	8	9	0.318%	28.8%
C6EC15_ECOBD Fused predicted membrane protein/conserved protein OS=Escherichia coli (strain B / BL21-DE3) GN=yoaE PE=4 SV=1	C6EC15_ECOBD	56,511.7	100.0%	3	3	4	0.268%	4.83%
C6EC23_ECOBD Conserved protein with nucleoside triphosphate hydrolase domain OS=Escherichia coli (strain B / BL21-DE3) GN=yoaA PE=4 SV=1	C6EC23_ECOBD	70,346.3	50.0%	1	1	1	0.0283%	2.20%
C6EC25_ECOBD Outer membrane lipoprotein, Slp family OS=Escherichia coli (strain B / BL21-DE3) GN=yeaY PE=4 SV=1	C6EC25_ECOBD	20,930.6	99.8%	2	2	2	0.103%	13.5%
C6EC26_ECOBD Long-chain-fatty-acid--CoA ligase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1837 PE=4 SV=1	C6EC26_ECOBD	64,695.1	99.8%	2	2	2	0.123%	3.77%
C6EC44_ECOBD Diguanylate cyclase OS=Escherichia coli (strain B / BL21-DE3) GN=yeaJ PE=4 SV=1	C6EC44_ECOBD	56,570.9	100.0%	3	3	3	0.0980%	9.27%
C6EC47_ECOBD MltA-interacting MipA family protein OS=Escherichia coli (strain B / BL21-DE3) GN=mipA PE=4 SV=1	C6EC47_ECOBD	27,813.9	100.0%	3	3	7	0.263%	20.2%
C6EC50_ECOBD Glyceraldehyde-3-phosphate dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=gapA PE=3 SV=1	C6EC50_ECOBD	35,514.6	100.0%	8	8	10	0.515%	34.4%
C6EC65_ECOBD Ferric citrate outer membrane transporter OS=Escherichia coli (strain B / BL21-DE3) GN=fecA PE=3 SV=1	C6EC65_ECOBD	85,291.7	100.0%	12	12	14	0.494%	26.9%
C6EC66_ECOBD Iron-dicitrate transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=fecB PE=4 SV=1	C6EC66_ECOBD	33,088.4	50.0%	1	1	1	0.0493%	4.33%
C6EC73_ECOBD Choline/carnitine/betaine transporter OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_3756 PE=4 SV=1	C6EC73_ECOBD	73,728.0	100.0%	12	14	24	0.784%	21.4%
C6EC89_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yjgQ PE=4 SV=1	C6EC89_ECOBD	39,602.1	100.0%	8	8	11	0.542%	29.7%
C6EC90_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yjgP PE=4 SV=1	C6EC90_ECOBD	40,340.9	100.0%	7	7	9	0.443%	24.0%
C6ECA6_ECOBD Magnesium transporter OS=Escherichia coli (strain B / BL21-DE3) GN=mgtA PE=4 SV=1	C6ECA6_ECOBD	99,450.8	100.0%	20	20	24	0.889%	32.0%
C6ECA8_ECOBD Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component OS=Escherichia coli (strain B / BL21-DE3) GN=treB PE=4 SV=1	C6ECA8_ECOBD	51,113.6	100.0%	9	12	14	0.556%	23.3%
C6ECA9_ECOBD Alpha,alpha-phosphotrehalase OS=Escherichia coli (strain B / BL21-DE3) GN=treC PE=4 SV=1	C6ECA9_ECOBD	63,854.8	50.0%	1	1	1	0.0353%	2.54%
C6ECB4_ECOBD Peptidase U62 modulator of DNA gyrase OS=Escherichia coli (strain B / BL21-DE3) GN=pmbA PE=4 SV=1	C6ECB4_ECOBD	48,352.5	50.0%	1	1	1	0.0368%	2.44%
C6ECC1_ECOBD Periplasmic binding protein/LacI transcriptional regulator OS=Escherichia coli (strain B / BL21-DE3) GN=ytfQ PE=4 SV=1	C6ECC1_ECOBD	34,295.5	99.8%	1	1	1	0.0493%	3.46%
C6ECC4_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ytfN PE=4 SV=1	C6ECC4_ECOBD	136,710.1	99.8%	2	2	2	0.0685%	2.22%
C6ECC5_ECOBD Predicted outer membrane protein and surface antigen OS=Escherichia coli (strain B / BL21-DE3) GN=ytfM PE=4 SV=1	C6ECC5_ECOBD	64,764.0	100.0%	2	2	3	0.153%	5.03%
C6ECC6_ECOBD Peptide methionine sulfoxide reductase msrA OS=Escherichia coli (strain B / BL21-DE3) GN=msrA PE=3 SV=1	C6ECC6_ECOBD	23,296.9	74.6%	1	1	1	0.0666%	7.08%
C6ECC7_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=ytfL PE=4 SV=1	C6ECC7_ECOBD	49,746.7	100.0%	16	19	28	1.03%	46.8%
C6ECD1_ECOBD 2',3'-cyclic-nucleotide 2'-phosphodiesterase OS=Escherichia coli (strain B / BL21-DE3) GN=cpdB PE=3 SV=1	C6ECD1_ECOBD	70,796.7	100.0%	3	3	3	0.184%	6.34%
C6ECD4_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_3819 PE=4 SV=1	C6ECD4_ECOBD	35,232.9	61.0%	1	1	1	0.0351%	8.72%
C6ECD6_ECOBD Amino acid permease-associated region OS=Escherichia coli (strain B / BL21-DE3) GN=cycA PE=4 SV=1	C6ECD6_ECOBD	51,642.8	100.0%	4	5	7	0.329%	7.02%
C6ECD7_ECOBD Peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain B / BL21-DE3) GN=fklB PE=3 SV=1	C6ECD7_ECOBD	22,197.1	100.0%	2	2	2	0.133%	12.6%
C6ECD8_ECOBD Opacity-associated protein A OS=Escherichia coli (strain B / BL21-DE3) GN=ytfB PE=4 SV=1	C6ECD8_ECOBD	23,501.2	100.0%	2	3	3	0.154%	32.1%
C6ECE6_ECOBD 50S ribosomal protein L9 OS=Escherichia coli (strain B / BL21-DE3) GN=rplI PE=3 SV=1	C6ECE6_ECOBD	15,750.7	99.8%	1	1	1	0.0566%	14.8%
C6ECE9_ECOBD 30S ribosomal protein S6 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsF PE=3 SV=1	C6ECE9_ECOBD	15,154.9	100.0%	4	4	4	0.206%	23.7%
C6ECH0_ECOBD Exoribonuclease R, RNase R OS=Escherichia coli (strain B / BL21-DE3) GN=rnr PE=3 SV=1	C6ECH0_ECOBD	92,093.0	50.0%	1	1	1	0.0370%	2.34%
C6ECH2_ECOBD Adenylosuccinate synthetase OS=Escherichia coli (strain B / BL21-DE3) GN=purA PE=3 SV=1	C6ECH2_ECOBD	47,327.7	100.0%	2	2	2	0.0890%	5.32%
C6ECH4_ECOBD HflC protein OS=Escherichia coli (strain B / BL21-DE3) GN=hflC PE=4 SV=1	C6ECH4_ECOBD	37,632.9	100.0%	40	56	86	4.04%	74.3%
C6ECH5_ECOBD HflK protein OS=Escherichia coli (strain B / BL21-DE3) GN=hflK PE=4 SV=1	C6ECH5_ECOBD	45,527.5	100.0%	44	51	94	3.46%	72.1%
C6ECH7_ECOBD Chromosomal replication initiator protein dnaA OS=Escherichia coli (strain B / BL21-DE3) GN=dnaA PE=3 SV=1	C6ECH7_ECOBD	52,534.0	100.0%	6	6	6	0.206%	21.2%
C6ECI0_ECOBD DNA gyrase subunit B OS=Escherichia coli (strain B / BL21-DE3) GN=gyrB PE=3 SV=1	C6ECI0_ECOBD	89,934.0	100.0%	2	2	2	0.0866%	2.49%
C6ECJ1_ECOBD Protease IV (Signal peptide peptidase) OS=Escherichia coli (strain B / BL21-DE3) GN=sppA PE=4 SV=1	C6ECJ1_ECOBD	67,201.9	100.0%	23	29	38	1.34%	40.5%
C6ECK1_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=ynjD PE=4 SV=1	C6ECK1_ECOBD	23,999.2	50.4%	1	1	1	0.0376%	4.15%
C6ECK3_ECOBD Extracellular solute-binding protein family 1 OS=Escherichia coli (strain B / BL21-DE3) GN=ynjB PE=4 SV=1	C6ECK3_ECOBD	42,827.3	99.8%	1	1	1	0.0752%	4.64%
C6ECL9_ECOBD DNA-binding transcriptional activator OS=Escherichia coli (strain B / BL21-DE3) GN=osmE PE=4 SV=1	C6ECL9_ECOBD	12,002.5	100.0%	5	6	8	0.524%	40.2%
C6ECM9_ECOBD Predicted transporter OS=Escherichia coli (strain B / BL21-DE3) GN=ydjN PE=4 SV=1	C6ECM9_ECOBD	48,674.6	100.0%	7	9	11	0.437%	19.0%
C6ECN2_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yniB PE=4 SV=1	C6ECN2_ECOBD	20,349.9	100.0%	2	3	3	0.133%	7.87%
C6ECN8_ECOBD Threonyl-tRNA synthetase OS=Escherichia coli (strain B / BL21-DE3) GN=thrS PE=3 SV=1	C6ECN8_ECOBD	73,997.5	55.5%	1	1	1	0.0508%	1.87%
C6ECN9_ECOBD Translation initiation factor IF-3 OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1927 PE=3 SV=1	C6ECN9_ECOBD	20,546.4	63.6%	1	1	1	0.0606%	8.33%
C6ECP1_ECOBD 50S ribosomal protein L20 OS=Escherichia coli (strain B / BL21-DE3) GN=rplT PE=3 SV=1	C6ECP1_ECOBD	13,479.6	100.0%	9	10	13	0.736%	50.0%
C6ECP8_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=btuD PE=4 SV=1	C6ECP8_ECOBD	27,120.0	100.0%	2	2	2	0.0702%	10.4%
C6ECQ5_ECOBD Phosphoenolpyruvate synthase OS=Escherichia coli (strain B / BL21-DE3) GN=ppsA PE=4 SV=1	C6ECQ5_ECOBD	87,362.6	50.0%	1	1	1	0.0433%	1.89%
C6ECR8_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=ydiK PE=4 SV=1	C6ECR8_ECOBD	39,824.2	99.8%	2	2	3	0.154%	11.6%
C6ECR9_ECOBD FAD linked oxidase domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=ydiJ PE=4 SV=1	C6ECR9_ECOBD	113,217.1	100.0%	17	18	19	0.703%	20.3%
C6ECS5_ECOBD Cysteine desulfurase OS=Escherichia coli (strain B / BL21-DE3) GN=sufS PE=3 SV=1	C6ECS5_ECOBD	44,361.7	50.0%	1	1	1	0.0436%	1.48%
C6ECS8_ECOBD LPP repeat-containing protein OS=Escherichia coli (strain B / BL21-DE3) GN=lpp PE=4 SV=1	C6ECS8_ECOBD	8,305.7	100.0%	9	14	35	3.17%	89.7%
C6ECS9_ECOBD Pyruvate kinase OS=Escherichia coli (strain B / BL21-DE3) GN=pykF PE=3 SV=1	C6ECS9_ECOBD	50,711.9	100.0%	1	1	1	0.0327%	3.62%
C6ECT9_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ydhQ PE=4 SV=1	C6ECT9_ECOBD	42,862.7	53.8%	1	1	1	0.0629%	3.11%
C6ECU0_ECOBD Multidrug resistance protein mdtK OS=Escherichia coli (strain B / BL21-DE3) GN=norM PE=3 SV=1	C6ECU0_ECOBD	49,445.1	100.0%	2	2	2	0.103%	5.03%
C6ECU3_ECOBD Drug resistance transporter, Bcr/CflA subfamily OS=Escherichia coli (strain B / BL21-DE3) GN=ydhC PE=4 SV=1	C6ECU3_ECOBD	43,380.6	50.0%	1	1	2	0.103%	3.47%
C6ECU7_ECOBD Superoxide dismutase OS=Escherichia coli (strain B / BL21-DE3) GN=sodB PE=3 SV=1	C6ECU7_ECOBD	21,248.2	63.6%	1	1	1	0.0606%	5.70%
C6ECV8_ECOBD DNA mismatch repair protein mutL OS=Escherichia coli (strain B / BL21-DE3) GN=mutL PE=3 SV=1	C6ECV8_ECOBD	67,906.7	64.3%	1	1	1	0.0460%	0.976%
C6ECW5_ECOBD Phosphatidylserine decarboxylase proenzyme OS=Escherichia coli (strain B / BL21-DE3) GN=psd PE=3 SV=1	C6ECW5_ECOBD	35,917.3	100.0%	6	6	7	0.345%	26.1%
C6ECW6_ECOBD MscS Mechanosensitive ion channel OS=Escherichia coli (strain B / BL21-DE3) GN=yjeP PE=4 SV=1	C6ECW6_ECOBD	123,955.2	100.0%	30	31	39	1.34%	30.7%
C6ECW9_ECOBD Fumarate reductase OS=Escherichia coli (strain B / BL21-DE3) GN=frdA PE=4 SV=1	C6ECW9_ECOBD	65,953.6	50.0%	1	1	1	0.0353%	1.50%
C6ECX1_ECOBD Fumarate reductase subunit C OS=Escherichia coli (strain B / BL21-DE3) GN=frdC PE=3 SV=1	C6ECX1_ECOBD	14,997.7	99.8%	1	1	1	0.0566%	7.63%
C6ECX4_ECOBD Lipocalin family protein OS=Escherichia coli (strain B / BL21-DE3) GN=blc PE=4 SV=1	C6ECX4_ECOBD	19,997.1	100.0%	4	4	4	0.206%	21.9%
C6ECX6_ECOBD Entericidin B membrane lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=ecnB PE=4 SV=1	C6ECX6_ECOBD	4,791.5	99.8%	2	4	9	0.816%	45.8%
C6ECX8_ECOBD Elongation factor P OS=Escherichia coli (strain B / BL21-DE3) GN=efp PE=3 SV=1	C6ECX8_ECOBD	20,573.5	66.1%	1	1	1	0.0399%	4.79%
C6ECY1_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yjeI PE=4 SV=1	C6ECY1_ECOBD	11,956.3	99.8%	1	2	3	0.170%	16.2%
C6ECY2_ECOBD 60 kDa chaperonin OS=Escherichia coli (strain B / BL21-DE3) GN=groEL PE=3 SV=1	C6ECY2_ECOBD	57,310.8	100.0%	13	13	14	0.458%	33.0%
C6ECY5_ECOBD FxsA cytoplasmic membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=fxsA PE=4 SV=1	C6ECY5_ECOBD	17,674.9	100.0%	3	3	6	0.266%	20.9%
C6ECY7_ECOBD Anaerobic c4-dicarboxylate antiporter, Dcu family OS=Escherichia coli (strain B / BL21-DE3) GN=dcuA PE=4 SV=1	C6ECY7_ECOBD	45,734.2	100.0%	7	7	7	0.360%	8.08%
C6ECY9_ECOBD Thiol:disulfide interchange protein dsbD OS=Escherichia coli (strain B / BL21-DE3) GN=dsbD PE=3 SV=1	C6ECY9_ECOBD	61,794.4	100.0%	7	9	13	0.425%	17.2%
C6ECZ1_ECOBD DNA-binding transcriptional activator OS=Escherichia coli (strain B / BL21-DE3) GN=cadC PE=4 SV=1	C6ECZ1_ECOBD	57,796.4	50.0%	1	1	1	0.0353%	3.71%
C6ED04_ECOBD Melibiose:sodium symporter OS=Escherichia coli (strain B / BL21-DE3) GN=melB PE=4 SV=1	C6ED04_ECOBD	52,189.7	54.3%	1	1	1	0.0469%	4.48%
C6ED10_ECOBD Predicted metal dependent hydrolase OS=Escherichia coli (strain B / BL21-DE3) GN=yjdB PE=4 SV=1	C6ED10_ECOBD	61,578.9	100.0%	21	27	39	1.27%	37.1%
C6ED11_ECOBD DNA-binding response regulator in two-component regulatory system with BasS OS=Escherichia coli (strain B / BL21-DE3) GN=basR PE=4 SV=1	C6ED11_ECOBD	24,983.9	74.6%	1	1	1	0.0666%	4.95%
C6ED12_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_3919 PE=3 SV=1	C6ED12_ECOBD	41,369.9	100.0%	5	5	7	0.278%	23.0%
C6ED13_ECOBD Metabolite/H+ symporter, major facilitator superfamily (MFS) OS=Escherichia coli (strain B / BL21-DE3) GN=proP PE=4 SV=1	C6ED13_ECOBD	54,830.5	100.0%	9	10	11	0.437%	14.0%
C6ED48_ECOBD Glutamate/aspartate:proton symporter OS=Escherichia coli (strain B / BL21-DE3) GN=gltP PE=4 SV=1	C6ED48_ECOBD	47,087.9	100.0%	5	5	6	0.282%	9.84%
C6ED58_ECOBD Cation/acetate symporter ActP OS=Escherichia coli (strain B / BL21-DE3) GN=actP PE=3 SV=1	C6ED58_ECOBD	59,190.9	100.0%	4	4	4	0.159%	5.65%
C6ED59_ECOBD Na+/H+ antiporter OS=Escherichia coli (strain B / BL21-DE3) GN=yjcE PE=4 SV=1	C6ED59_ECOBD	60,508.3	100.0%	10	13	13	0.425%	16.8%
C6ED60_ECOBD Predicted permease OS=Escherichia coli (strain B / BL21-DE3) GN=yjcD PE=4 SV=1	C6ED60_ECOBD	45,694.8	99.8%	2	3	3	0.148%	6.68%
C6ED85_ECOBD Putative uncharacterized protein yidE OS=Escherichia coli (strain B / BL21-DE3) GN=yidE PE=3 SV=1	C6ED85_ECOBD	58,951.1	50.0%	1	1	1	0.0323%	1.45%
C6EDA6_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yicN PE=4 SV=1	C6EDA6_ECOBD	17,215.2	100.0%	5	5	10	0.515%	41.3%
C6EDB0_ECOBD Cytoplasmic membrane lipoprotein-28 OS=Escherichia coli (strain B / BL21-DE3) GN=nlpA PE=4 SV=1	C6EDB0_ECOBD	29,432.1	100.0%	6	6	7	0.246%	28.7%
C6EDD4_ECOBD AsmA family protein OS=Escherichia coli (strain B / BL21-DE3) GN=yicH PE=4 SV=1	C6EDD4_ECOBD	62,256.0	100.0%	18	24	30	1.06%	42.4%
C6EDD6_ECOBD Glutamate transporter OS=Escherichia coli (strain B / BL21-DE3) GN=gltS PE=4 SV=1	C6EDD6_ECOBD	42,408.9	100.0%	4	4	6	0.309%	17.7%
C6EDE8_ECOBD Ribonuclease PH OS=Escherichia coli (strain B / BL21-DE3) GN=rph PE=3 SV=1	C6EDE8_ECOBD	25,307.9	67.7%	1	1	1	0.0748%	4.62%
C6EDE9_ECOBD Orotate phosphoribosyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=pyrE PE=3 SV=1	C6EDE9_ECOBD	23,550.0	74.6%	1	1	1	0.0666%	3.76%
C6EDF4_ECOBD 50S ribosomal protein L28 OS=Escherichia coli (strain B / BL21-DE3) GN=rpmB PE=3 SV=1	C6EDF4_ECOBD	8,988.5	98.8%	1	1	1	0.0907%	12.8%
C6EDF8_ECOBD 3-deoxy-D-manno-octulosonic-acid transferase OS=Escherichia coli (strain B / BL21-DE3) GN=waaA PE=4 SV=1	C6EDF8_ECOBD	47,290.4	100.0%	8	9	11	0.437%	26.6%
C6EDF9_ECOBD Lipopolysaccharide heptosyltransferase III OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0094 PE=4 SV=1	C6EDF9_ECOBD	37,889.7	100.0%	3	3	3	0.103%	24.1%
C6EDG1_ECOBD Lipopolysaccharide kinase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0096 PE=4 SV=1	C6EDG1_ECOBD	31,016.7	100.0%	2	2	2	0.0997%	8.30%
C6EDG8_ECOBD Lipid A-core, surface polymer ligase OS=Escherichia coli (strain B / BL21-DE3) GN=waaL PE=4 SV=1	C6EDG8_ECOBD	46,812.5	99.6%	1	1	1	0.0515%	2.16%
C6EDG9_ECOBD ADP-heptose:LPS heptosyl transferase I OS=Escherichia coli (strain B / BL21-DE3) GN=waaC PE=4 SV=1	C6EDG9_ECOBD	36,184.7	100.0%	5	6	6	0.309%	18.4%
C6EDH0_ECOBD ADP-heptose:LPS heptosyltransferase II OS=Escherichia coli (strain B / BL21-DE3) GN=waaF PE=4 SV=1	C6EDH0_ECOBD	39,025.0	100.0%	4	4	4	0.206%	15.2%
C6EDH2_ECOBD 2-amino-3-ketobutyrate coenzyme A ligase OS=Escherichia coli (strain B / BL21-DE3) GN=kbl PE=3 SV=1	C6EDH2_ECOBD	43,027.7	100.0%	4	4	4	0.159%	12.3%
C6EDH6_ECOBD Peptidase M23 OS=Escherichia coli (strain B / BL21-DE3) GN=yibP PE=4 SV=1	C6EDH6_ECOBD	46,607.1	100.0%	15	15	15	0.514%	37.7%
C6EDH8_ECOBD Predicted rhodanese-related sulfurtransferase OS=Escherichia coli (strain B / BL21-DE3) GN=yibN PE=4 SV=1	C6EDH8_ECOBD	15,578.2	100.0%	12	15	31	1.60%	62.9%
C6EDI4_ECOBD FMN-dependent alpha-hydroxy acid dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=lldD PE=3 SV=1	C6EDI4_ECOBD	42,711.8	100.0%	15	16	19	0.755%	35.9%
C6EDJ3_ECOBD Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components OS=Escherichia coli (strain B / BL21-DE3) GN=mtlA PE=4 SV=1	C6EDJ3_ECOBD	67,956.7	100.0%	26	31	36	1.18%	45.1%
