EG	GN	SP	GI	JW	ASAP	EB	Len	Description	MW
EG10343	rsmD	P0ADX9	g1789875	JW3430	11321	EB0339	198	16S rRNA m(2)G966 methyltransferase, SAM-dependent	21677,6
EG10344	ftsW	P0ABG4	g1786277	JW0087	320	EB0340	414	"Stabilizes FtsZ ring, membrane protein; faciltates septal petidoglycan synthesis by recruiting the cognate FtsI transpeptidase; SEDS protein"	45987,09
EG10345	ftsX	P0AC30	g1789872	JW3427	11311	EB0341	352	"Integral membrane protein invoved in cell division; binds FtsE to the inner membrane"	38543,65
EG10346	ftsY	P10121	g1789874	JW3429	11318	EB0342	497	Signal recognition particle (SRP) receptor	54513,35
EG10347	ftsZ	P0A9A6	g1786284	JW0093	333	EB0343	383	"Septal ring GTPase required for cell division and growth; initiation of septation"	40323,92
EG10348	fucA	P0AB87	g1789164	JW2771	9179	EB0344	215	L-fuculose-1-phosphate aldolase	23775,32
EG10349	fucI	P69922	g1789167	JW2773	9189	EB0345	591	L-Fucose isomerase	64976,67
EG10350	fucK	P11553	g1789168	JW2774	9191	EB0346	482	L-Fuculose kinase	53235,87
EG10351	fucO	P0A9S1	g1789163	JW2770	9177	EB0347	383	L-1,2-Propanediol oxidoreductase	40644,56
EG10352	fucP	P11551	g1789166	JW2772	9187	EB0348	438	Fucose permease	47544,91
EG10353	fucR	P0ACK8	g1789170	JW2776	9195	EB0349	243	Positive regulatory protein for fuc regulon	27362,17
EG10355	fucU	P0AEN8	g1789169	JW2775	9193	EB0350	140	L-Fucose mutarotase	15473,12
EG10356	fumA	P0AC33	g1787897	JW1604	5392	EB0351	548	"Fumarase A, aerobic; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur"	60298,58
EG10357	fumB	P14407	g1790564	JW4083	13501	EB0352	548	Fumarase B, anaerobic	60105,32
EG10358	fumC	P05042	g1787896	JW1603	5380	EB0353	467	Fumarase C, aerobic	50488,88
EG10359	fur	P0A9A9	g1786899	JW0669	2327	EB0354	148	"Ferric iron uptake global transcriptional repressor; activated by Fe+2; zinc metalloprotein"	16794,85
EG10360	fusA	P0A6M8	g1789738	JW3302	10914	EB0355	704	"Elongation Factor EF-G; GTPase required for translocation from the A-site to the P-site in the ribosome; fusidic acid resistance"	77581,31
EG10361	gabT	P22256	g1789016	JW2637	8760	EB0356	426	4-aminobutyrate aminotransferase	45774,63
EG10362	galE	P09147	g1786974	JW0742	2575	EB0357	338	"UDP-galactose 4-epimerase; hexose-1-phosphate uridylyltransferase"	37265,11
EG10363	galK	P0A6T3	g1786972	JW0740	2568	EB0358	382	Galactokinase	41442,1
EG10364	galR	P03024	g1789202	JW2805	9307	EB0359	343	Repressor of galETK operon	37094,05
EG10365	galS	P25748	g1788474	JW2138	7110	EB0360	346	"Repressor of the mgl operon and isorepressor of the gal operon; autoregulatory; homodimeric"	37356,81
EG10366	galT	P09148	g1786973	JW0741	2573	EB0361	348	"Galactose-1-phosphate uridylyltransferase; Rob regulon, repressed"	39645,68
EG10367	gapA	P0A9B2	g1788079	JW1768	5920	EB0362	331	"Glyceraldehyde 3-P dehydrogenase A; binds selenium"	35532,49
EG10368	epd	P0A9B6	g1789295	JW2894	9607	EB0363	339	Erythrose-4-P dehydrogenase	37299,39
EG10369	gcd	P15877	g1786316	JW0120	433	EB0364	796	"Glucose dehydrogenase (pyrroloquinoline-quinone) quinoprotein; inner membrane protein"	86747,35
EG10370	ispG	P62620	g1788863	JW2499	8281	EB0365	372	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; [4Fe-4S] protein"	40683,61
EG10371	gcvH	P0A6T9	g1789271	JW2872	9534	EB0366	129	Glycine cleavage, carrier of aminomethyl group	13811,2
EG10372	gdhA	P00370	g1788059	JW1750	5865	EB0367	447	Glutamate dehydrogenase	48581,37
EG10373	hokC	P0ACG4	g48994874	JW5879	64	EB0368	50	"Small toxic membrane polypeptide, multimeric; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown"	5501,57
EG10374	ggt	P18956	g1789856	JW3412	11257	EB0369	580	"gamma-Glutamyltranspeptidase, glutathione metabolism; Ntn hydrolase; autocatalytic processing into two subunits; periplasmic"	61767,96
EG10375	mnmG	P0A6U3	g2367273	JW3719	12231	EB0370	629	"5-methylaminomethyl-2-thiouridine modification at tRNA U34; cmnm(5) addition to tRNA-s(2)U34, forming (with prior MnmE action) tRNA-cmnm(5)s(2)U34, an intermediate in mnm(5)s(2)U34 synthesis; contains essential FAD-binding site (Yim, 2006)"	69521,26
EG10376	rsmG	P0A6U5	g1790179	JW3718	12229	EB0371	207	"16S rRNA m(7)G527 methyltransferase, SAM-dependent; mutant has low level streptomycin resistance"	23431,12
EG10377	glgA	P0A6U8	g1789836	JW3392	11200	EB0372	477	Glycogen synthase	52822,43
EG10378	glgB	P07762	g1789839	JW3395	11209	EB0373	728	"1,4-alpha-glucan branching enzyme; glycogen branching enzyme"	84336,9
EG10379	glgC	P0A6V1	g1789837	JW3393	11204	EB0374	431	"Glucose-1-phosphate adenylyltransferase; ADP-glucose pyrophosphorylase"	48697,64
EG10380	glgP	P0AC86	g2367228	JW3391	11198	EB0375	815	"Glycogen phosphorylase; alpha-glucan phosphorylase"	93172,56
EG10381	glgX	P15067	g2367229	JW3394	11206	EB0376	657	Glycogen debranching enzyme	73576,68
EG10382	glmS	P17169	g1790167	JW3707	12198	EB0377	609	"Glucosamine-6-phosphate synthase; glucosamine--fructose-6-phosphate aminotransferase; C-terminal F6P-binding domain has isomerase activity"	66894,34
EG10383	glnA	P0A9C5	g1790301	JW3841	12640	EB0378	469	Glutamine synthase	51903,76
EG10384	glnB	P0A9Z1	g1788904	JW2537	8398	EB0379	112	"PII regulatory protein for glutamine synthase; potent activator of NRII/GlnL/NtrB phosphatase and inhibitor of NRII autophosphorylation; activates adenylation of GlnA by GlnE"	12425,45
EG10385	glnG	P0AFB8	g1790299	JW3839	12632	EB0380	469	Nitrogen regulator I	52254,74
EG10386	glnH	P0AEQ3	g1787031	JW0796	2771	EB0381	248	Periplasmic glutamine-binding protein	27190,12
EG10387	glnL	P0AFB5	g1790300	JW3840	12634	EB0382	349	"Bifunctional protein kinase/phosphatase, nitrogen regulator II, NRII; homodimeric"	38556,12
EG10388	glnP	P0AEQ6	g1787030	JW0795	2766	EB0383	219	Glutamine transport system permease protein GlnP	24364,31
EG10389	glnQ	P10346	g1787029	JW0794	2764	EB0384	240	Glutamine high-affinity transport system, ATP-binding protein	26730,99
EG10390	glnS	P00962	g1786895	JW0666	2317	EB0385	554	Glutamine--tRNA ligase	63477,89
EG10391	glpA	P0A9C0	g1788574	JW2235	7422	EB0386	542	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) A subunit	58958,25
EG10392	glpB	P13033	g1788575	JW2236	7424	EB0387	419	"sn-Glycerol-3-phosphate dehydrogenase (anaerobic) B subunit; membrane anchor"	45357,24
EG10393	glpC	P0A996	g1788576	JW2237	7426	EB0388	396	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) C subunit	44108,04
EG10394	glpD	P13035	g2367226	JW3389	11191	EB0389	501	"sn-Glycerol-3-phosphate dehydrogenase (aerobic); membrane-anchored"	56750,54
EG10395	glpE	P0A6V5	g1789831	JW3388	11182	EB0390	108	"Thiosulfate:cyanide sulfurtransferase (rhodanese); in glpEGR operon, induced by glycerol"	12082,47
EG10396	glpF	P0AER0	g1790362	JW3898	12828	EB0391	281	"Aquaglyceroporin; glycerol facilitator"	29779,99
EG10397	glpG	P09391	g48994938	JW5687	11179	EB0392	276	"Rhomboid intramembrane serine protease; complements the phenotypic defects of P. stuartii aarA; mutant is slightly cefotaxime resistant"	31306,7
EG10398	glpK	P0A6F3	g1790361	JW3897	12825	EB0393	502	Glycerol kinase	56230,77
EG10399	glpQ	P09394	g1788572	JW2233	7399	EB0394	358	"Glycerophosphodiester phosphodiesterase, periplasmic; tetrameric"	40843,35
EG10400	glpR	P0ACL0	g1789829	JW3386	11176	EB0395	252	"Repressor of glp regulon, induced by glycerol phophate; tetrameric"	28047,84
EG10401	glpT	P08194	g1788573	JW2234	7401	EB0396	452	"sn-Glycerol-3-phosphate permease; fosfomycin sensitivity"	50310,39
EG10402	gltA	P0ABH7	g1786939	JW0710	2451	EB0397	427	"Citrate synthase; hexameric"	48014,99
EG10403	gltB	P09831	g1789605	JW3179	10545	EB0398	1517	Glutamate synthase, large subunit	166709,87
EG10404	gltD	P09832	g1789606	JW3180	10547	EB0399	472	Glutamate synthase, small subunit	52015,27
EG10405	gltP	P21345	g1790514	JW4038	13357	EB0400	437	Proton-glutamate-aspartate transport protein	47159,19
EG10406	gltS	P0AER8	g1790085	JW3628	11941	EB0401	401	"Glutamate permease; Na+/glutamate symporter"	42425,11
EG10407	gltX	P04805	g1788743	JW2395	7911	EB0402	471	Glutamate--tRNA ligase	53815,73
EG10408	glyA	P0A825	g1788902	JW2535	8389	EB0403	417	"Serine hydroxymethyltransferase; binds Zn(II)"	45316,59
EG10409	glyQ	P00960	g1789983	JW3531	11626	EB0404	303	Glycine--tRNA ligase, alpha-subunit	34774,39
EG10410	glyS	P00961	g1789982	JW3530	11624	EB0405	689	Glycine--tRNA ligase, beta-subunit	76812,95
EG10411	gnd	P00350	g1788341	JW2011	6737	EB0406	468	Gluconate-6-phosphate dehydrogenase, decarboxylating	51481,31
EG10412	gor	P06715	g1789915	JW3467	11432	EB0407	450	Glutathione reductase, NADP+, FAD-binding	48772,51
EG10413	gpp	P25552	g48994966	JW5603	12347	EB0408	494	Guanosine pentaphosphatase and exopolyphosphatase	54871,14
EG10414	gpt	P0A9M5	g1786433	JW0228	814	EB0409	152	Guanine-xanthine phosphoribosyltransferase phosphotransferase	16970,59
EG10415	greA	P0A6W5	g87082225	JW3148	10454	EB0410	158	Transcript cleavage factor	17640,96
EG10416	grpE	P09372	g1788967	JW2594	8598	EB0411	197	"Nucleotide exchange factor for the DnaKJ chaperone; heat shock protein; mutant survives lambda induction; stimulates DnaK and HscC ATPase"	21797,83
EG10417	grxA	P68688	g1787073	JW0833	2893	EB0412	85	Glutaredoxin 1	9684,85
EG10418	gshA	P0A6W9	g1789044	JW2663	8845	EB0413	518	gamma-Glutamylcysteine synthase	58269,29
EG10419	gshB	P04425	g1789316	JW2914	9667	EB0414	316	"Glutathione synthase; homotetrameric"	35560,9
EG10420	guaA	P04079	g1788854	JW2491	8254	EB0415	525	GMP synthase	58679,22
EG10421	guaB	P0ADG7	g1788855	JW5401	8257	EB0416	488	Inosine-5'-monophosphate (IMP) dehydrogenase	52022,45
EG10422	guaC	P60560	g1786293	JW0101	362	EB0417	347	GMP reductase	37383,67
EG10423	gyrA	P0AES4	g1788562	JW2225	7370	EB0418	875	"DNA gyrase, subunit A; nalidixic acid resistance; cold shock regulon"	96963,51
EG10424	gyrB	P0AES6	g48994957	JW5625	12093	EB0419	804	"DNA gyrase, subunit B; novobiocin, coumermycin resistance"	89949,91
EG10425	hdhA	P0AET8	g1787905	JW1611	5419	EB0420	255	7-alpha-hydroxysteroid dehydrogenase	26778,59
EG10426	helD	P15038	g1787196	JW0945	3257	EB0421	684	ATP-dependent DNA Helicase IV	77976,2
EG10427	hemA	P0A6X1	g1787461	JW1201	4064	EB0422	418	"Glutamyl-tRNA reductase, hemin biosynthesis; neomycin sensitivity"	46306,82
EG10428	hemB	P0ACB2	g87081728	JW0361	1266	EB0423	324	"5-aminolevulinate dehydratase; also known as porphobilinogen synthase; binds Zn(II)"	35624,79
EG10429	hemC	P06983	g48994974	JW5932	12427	EB0424	313	"Porphobilinogen deaminase; neomycin sensitivity"	33851,83
EG10430	hemD	P09126	g1790236	JW3776	12425	EB0425	246	"Uroporphyrinogen III cosynthase; neomycin sensitivity"	27797,94
EG10431	hemH	P23871	g1786681	JW0464	1649	EB0426	320	Ferrochelatase	35884,37
EG10432	hemL	P23893	g1786349	JW0150	529	EB0427	426	Glutamate-1-semialdehyde aminomutase	45366,1
EG10433	hemX	P09127	g1790235	JW3775	12419	EB0428	393	Uroporphyrinogen III methyltransferase	42963,02
EG10434	hemY	P0ACB7	g1790234	JW3774	12417	EB0429	398	Member of uro (hemC) operon	45245,02
EG10435	hflC	P0ABC3	g1790617	JW4133	13665	EB0430	334	"Membrane bound protease complex, with FtsH and HflK; regulates lysogeny; non-essential"	37649,88
EG10436	hflK	P0ABC7	g1790616	JW4132	13663	EB0431	419	"Membrane bound protease complex with FtsH and HflC; regulates lysogeny; non-essential"	45544,88
EG10437	hflX	P25519	g1790615	JW4131	13661	EB0432	426	GTPase, stimulated by 50S subunit binding, function unknown	48327,1
EG10438	hfq	P0A6X3	g1790614	JW4130	13659	EB0433	102	"Global regulator of sRNA function; host factor for RNA phage Q beta replication; HF-I; DNA- and RNA-binding protein; RNA chaperone; multiple regulatory roles: destabilzes ompA mRNA, improves rpoS translation, sRNA DsrA co-factor; binds RNAP; ATPase"	11166,39
EG10439	hha	P0ACE3	g1786665	JW0449	1594	EB0434	72	"Modulates hemolysin expression, in complex with H-NS; stimulates transposition events; induced by AI-2 pheromone; promotes conjugation and conjugation-induced biofilms"	8628
EG10440	ihfA	P0A6X7	g1788005	JW1702	5715	EB0435	99	"Integration Host Factor (IHF), alpha subunit; host infection, mutant phage lambda; site-specific recombination; sequence-specific DNA-binding transcriptional activator"	11353,93
EG10441	ihfB	P0A6Y1	g1787141	JW0895	3107	EB0436	94	"Integration Host Factor (IHF), beta subunit; host infection, mutant phage lambda; site-specific recombination; sequence-specific DNA-binding transcriptional activator"	10651,14
EG10442	hipB	P23873	g1787786	JW1501	5024	EB0437	88	Antitoxin, blocks HipA toxicity	10016,38
EG10443	hipA	P23874	g1787785	JW1500	5022	EB0438	440	"Toxin, growth inhibition blocked by continuous HipB synthesis;; probable role in cell division"	49275,82
EG10444	hisA	P10371	g87082028	JW2006	6725	EB0439	245	1-(5'-phosphoribosyl)-5-[(5'-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	26032,65
EG10445	hisB	P06987	g87082027	JW2004	6720	EB0440	355	"Imidazoleglycerolphosphate dehydratase/histidinol phosphatase; bifunctional enzyme; HAD21"	40277,96
EG10446	hisC	P06986	g1788332	JW2003	6717	EB0441	356	Histidinol-phosphate aminotransferase	39360,14
EG10447	hisD	P06988	g1788331	JW2002	6715	EB0442	434	Histidinol dehydrogenase	46110,34
EG10448	hisF	P60664	g1788336	JW2007	6727	EB0443	258	Imidazole glycerol phosphate (IGP) synthase, cyclase subunit	28454,45
EG10449	hisG	P60757	g1788330	JW2001	6713	EB0444	299	ATP-phosphoribosyltransferase	33366,72
EG10450	hisH	P60595	g1788334	JW2005	6722	EB0445	196	Imidazole glycerol phosphate (IGP) synthase, amidotransferase	21652,86
EG10451	hisI	P06989	g2367128	JW2008	6729	EB0446	203	PR-ATP pyrophosphatase/PR-AMP cyclohydrolase, bifunctional	22755,82
EG10452	hisP	P07109	g1788644	JW2303	7610	EB0447	257	Histidine transport ATP-binding protein	28653,04
EG10453	hisS	P60906	g1788861	JW2498	8278	EB0448	424	Histidine--tRNA ligase	47029,44
EG10454	truA	P07649	g1788657	JW2315	7657	EB0449	270	"tRNA pseudouridine synthase specific to U38, U39, U40; mutations derepress his operon attenuator"	30399,62
EG10455	skp	P0AEU7	g1786375	JW0173	608	EB0450	161	"Periplasmic molecular chaperone for outer membrane proteins; trimeric"	17688,23
EG10456	hmp	P24232	g1788903	JW2536	8396	EB0451	396	"Flavohemoglobin; nitric oxide dioxygenase; dihydropteridine reductase; GSNO and nitrite reductase; has alkylhydroperoxide reductase activity, possibly involved in the repair of lipid membrane oxidative damage"	43867,66
EG10457	hns	P0ACF8	g1787489	JW1225	4152	EB0452	137	"DNA-binding global regulator H-NS; diverse mutant phenotypes affecting transcription, transposition, inversion, cryptic-gene expression; involved in chromosome organization; preferentially binds bent DNA; has N-terminal dimerization domain"	15539,63
EG10458	hsdM	P08957	g1790808	JW4312	14260	EB0453	529	DNA methyltransferase M, host modification of foreign DNA	59306,52
EG10459	hsdR	P08956	g1790809	JW4313	14264	EB0454	1170	"Endonuclease R, host restriction of foreign DNA; ClpXP-dependent degradation"	134094,92
EG10460	hsdS	P05719	g1790807	JW4311	14258	EB0455	464	Specificity determinant for HsdM and HsdR	51395,27
EG10461	htpG	P0A6Z3	g1786679	JW0462	1642	EB0456	624	"Heat shock chaperone, HSP90 family; has ATPase activity; binds RpoH; rpoH regulon; dimeric"	71422,53
EG10462	htpX	P23894	g1788133	JW1818	6087	EB0457	293	"Zinc metalloprotease HtpX, membrane-bound; cleaves SecY in vivo and in vitro; self-cleaves; M48 family"	31923,31
EG10463	degP	P0C0V0	g1786356	JW0157	551	EB0458	474	"Periplasmic, membrane-associated serine endoprotease; protease Do, required for high-temperature growth and the degradation of damaged proteins"	49354,23
EG10464	lpxL	P0ACV0	g1787292	JW1041	3574	EB0459	306	"Lipid A synthesis, KDO2-lipid IVA lauroyl-ACP acyltransferase; not under heat shock regulation; membrane protein affecting cell division, growth, and high-temperature survival"	35406,82
EG10465	ribB	P0A7J0	g1789420	JW3009	9980	EB0460	217	"3,4-dihydroxy-2-butanone 4-phosphate synthase; riboflavin biosynthesis; acid-inducible; homodimeric"	23353,47
EG10466	hupA	P0ACF0	g1790433	JW3964	13077	EB0461	90	Histone-like protein HU-alpha, HU-2	9534,98
EG10467	hupB	P0ACF4	g1786644	JW0430	1527	EB0462	90	Histone-like protein HU-beta, HU-1	9225,58
EG10468	hyaA	P69739	g1787206	JW0954	3286	EB0463	372	Hydrogenase 1 small subunit [NiFe], periplasmic	40681,36
EG10469	hyaB	P0ACD8	g1787207	JW0955	3288	EB0464	597	Hydrogenase 1 large subunit [NiFe], periplasmic	66253,37
EG10470	hyaC	P0AAM1	g1787208	JW0956	3290	EB0465	235	Possible membrane-spanning protein of hya operon	27597,31
EG10471	hyaD	P19930	g1787209	JW0957	3292	EB0466	195	Processing of HyaA and HyaB	21546,42
EG10472	hyaE	P19931	g1787210	JW0958	3294	EB0467	132	Processing of HyaA and HyaB	14889,79
EG10473	hyaF	P19932	g1787211	JW0959	3296	EB0468	285	Nickel incorporation into hydrogenase 1 ssubunits	31430,71
EG10474	hycA	P0AEV4	g1789080	JW2695	8952	EB0469	153	"Regulatory gene for hyc and hyp operons; counteracts activation by FhlA"	17626,98
EG10475	hycB	P0AAK1	g1789079	JW2694	8950	EB0470	203	Formate hydrogenlyase complex iron-sulfur protein	21873,24
EG10476	hycC	P16429	g2367154	JW2693	8948	EB0471	608	Formate hydrogenlyase complex inner membrane protein	64077,12
EG10477	hycD	P16430	g1789077	JW2692	8946	EB0472	307	Formate hydrogenlyase complex inner membrane protein	33029,36
EG10478	hycE	P16431	g1789076	JW2691	8944	EB0473	569	"Hydrogenase 3 large subunit, [NiFe] cluster; heterodimer"	64980,36
EG10479	hycF	P16432	g1789075	JW2690	8942	EB0474	180	Formate hydrogenlyase complex iron-sulfur protein	20309,35
EG10480	hycG	P16433	g1789074	JW2689	8936	EB0475	255	Hydrogenase 3 small subunit	27999,16
EG10481	hycH	P0AEV7	g1789073	JW2688	8933	EB0476	136	Required for converting HycE precursor to mature Hyd-3 large subunit	15464,66
EG10482	zraR	P14375	g1790437	JW3968	13093	EB0477	441	"Two component response regulator for zraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein"	48394,55
EG10483	hypA	P0A700	g1789081	JW2696	8958	EB0478	116	Hydrogenase 3 accessory protein required for activity	13168,17
EG10484	hypB	P0AAN3	g1789082	JW2697	8960	EB0479	290	"Required for metallocenter assembly in Hydrogenases 1,2,3; guanine-nucleotide-binding protein; Ni donor for Hyd-3 large subunit; homodimeric"	31565,04
EG10485	hypC	P0AAM3	g1789083	JW2698	8962	EB0480	90	"Hydrogenase 3 chaperone-type protein; required for Hyd-3 metallocenter assembly, binds HycE subunit"	9732
EG10486	hypD	P24192	g1789084	JW2699	8965	EB0481	373	"Hydrogenases 1,2,3 accessory protein; required for metallocenter assembly"	41363,38
EG10487	hypE	P24193	g1789085	JW2700	8967	EB0482	336	"Hydrogenases 1,2,3 accessory protein; required for CN ligand synthesis at the metallocenter; converts thiocarbamate at its C-terminal Cys to a thiocyanate"	35092,46
EG10488	iap	P10423	g1789111	JW2723	9033	EB0483	345	"Alkaline phosphatase isozyme conversion aminopeptidase; generates alkaline phosphatase isozyme 3 subunit lacking the N-terminal Arg"	37920,18
EG10489	icd	P08200	g1787381	JW1122	3823	EB0484	416	"Isocitrate dehydrogenase, NADP+-specific; e14 attachment site"	45756,71
EG10490	argP	P0A8S1	g1789283	JW2883	9574	EB0485	297	"Arginine and lysine responsive transcriptional regulator; inhibitor of chromosome initiation; positive regulator of argK, negative autoregulator in presence of arginine; oriC iteron (13-mer) binding protein, competes with DnaA for iteron binding; activate"	33471,69
EG10491	iclR	P16528	g87082359	JW3978	13136	EB0486	274	Repressor of aceBA operon	29739,28
EG10492	ileS	P00956	g2367096	JW0024	94	EB0487	938	Isoleucine--tRNA ligase	104296,84
EG10493	ilvA	P04968	g1790207	JW3745	12321	EB0488	514	"Threonine deaminase; also known as threonine dehydratase, biosynthetic"	56195,25
EG10494	ilvB	P08142	g1790104	JW3646	11999	EB0489	562	"Acetohydroxy acid synthase I (AHAS-I); acetolactate synthase I (ALS-I); valine sensitive; large subunit"	60440,57
EG10495	ilvC	P05793	g1790210	JW3747	12331	EB0490	491	Ketol-acid reductoisomerase	54069,02
EG10496	ilvD	P05791	g48994964	JW5605	12318	EB0491	616	"Dihydroxyacid dehydratase; homodimeric"	65531,57
EG10497	ilvE	P0AB80	g48994963	JW5606	12316	EB0492	309	"Branched-chain amino acid aminotransferase; transaminase B; dimer of trimers"	34093,65
EG10498	ilvG	P00892	g87082328	"JW3740;JW3741"	174552	EB0493	548	"Pseudogene reconstruction, acetohydroxy acid synthase II; AHAS-II (ALS-II); valine insensitive; large subunit"	59284,85
EG10499	ilvH	P00894	g1786266	JW0077	294	EB0494	163	"Acetohydroxy acid synthase III (AHAS-III); acetolactate synthase III (ALS-III); valine sensitive; small subunit"	17976,76
EG10500	ilvI	P00893	g87081685	JW0076	290	EB0495	574	"Acetohydroxy acid synthase III (AHAS-III); acetolactate synthase III (ALS-III); valine sensitive; large subunit"	62984,34
EG10501	ilvM	P0ADG1	g1790204	JW3742	12313	EB0496	87	"Acetohydroxy acid synthase II (AHAS-II); acetolactate synthase II (ALS-II); valine insensitive; small subunit"	9703,15
EG10502	ilvN	P0ADF8	g1790103	JW3645	11997	EB0497	96	"Acetohydroxy acid synthase I (AHAS-I); acetolactate synthase I (ALS-I); valine sensitive; small subunit"	11105,76
EG10503	ilvY	P05827	g1790208	JW3746	12323	EB0498	297	Activator of ilvC transcription	33204,38
EG10504	infA	P69222	g1787110	JW0867	3005	EB0499	72	Protein chain initiation factor IF1	8249,58
EG10505	infB	P0A705	g1789559	JW3137	10410	EB0500	890	Protein chain initiation factor IF2	97349,9
EG10506	infC	P0A707	g1788012	JW5829	5734	EB0501	180	"Protein chain initiation factor IF3; unusual AUU start codon"	20563,92
EG10507	intD	P24218	g1786748	JW0525	1842	EB0502	387	Integrase gene within defective prophage DLP12	45090,15
EG10508	ispA	P22939	g1786623	JW0411	1463	EB0503	299	Farnesyl diphosphate synthase, isoprenoid biosynthesis	32159,63
EG10509	katE	P21179	g48994891	JW1721	5780	EB0504	753	"Catalase hydroperoxidase II, heme d-containing; response to oxidative stress; chromate resistance"	84162,61
EG10510	rpoS	P13445	g1789098	JW5437	9001	EB0505	330	"RNA polymerase subunit, stress and stationary phase sigma S; Sigma38"	37971,86
EG10511	katG	P13029	g1790378	JW3914	12901	EB0506	726	Catalase-hydrogen peroxidase I	80023,82
EG10512	kbl	P0AB77	g1790046	JW3592	11832	EB0507	398	2-amino-3-ketobutyrate CoA ligase	43117,04
EG10513	kdpA	P03959	g1786915	JW0686	2381	EB0508	557	"Potassium-translocating ATPase, A subunit; high-affinity potassium transport"	59189,07
EG10514	kdpB	P03960	g1786914	JW0685	2376	EB0509	682	"Potassium-translocating ATPase, B subunit; high-affinity potassium transport"	72199,18
EG10515	kdpC	P03961	g1786913	JW0684	2374	EB0510	190	"Potassium-translocating ATPase, C subunit; high-affinity potassium transport"	20267,16
EG10516	kdpD	P21865	g1786912	JW0683	2368	EB0511	894	"Sensor kinase for the kdp operon; has autokinase activity and KdpE-directed phosphotransferase and phosphatase activities; dimeric"	98718,4
EG10517	kdpE	P21866	g1786911	JW5096	2366	EB0512	225	Response regulator of kdp operon, phosphorylation state and activity determined by turgor pressure via KdpD	25362,15
EG10518	kdsA	P0A715	g1787466	JW1206	4077	EB0513	284	"3-deoxy-D-manno-octulosonate 8-phosphate (KDO8-P) synthase; LPS biosynthesis"	30832,69
EG10519	kdsB	P04951	g1787147	JW0901	3122	EB0514	248	"3-deoxy-manno-octulosonate cytidylyltransferase; LPS biosynthesis"	27614,44
EG10520	waaA	P0AC75	g1790064	JW3608	11873	EB0515	425	3-deoxy-D-manno-octulosonate(Kdo)-lipid A transferase	47291,08
EG10521	kefC	P03819	g1786232	JW0046	161	EB0516	620	NEM-activatable K+/H+ antiporter	67795,83
EG10522	kgtP	P0AEX3	g1788942	JW2571	8515	EB0517	432	alpha-Ketoglutarate permease	47052,5
EG10523	rsmA	P06992	g1786236	JW0050	175	EB0518	273	"16S rRNA dimethyladenosine transferase; S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase; mutant is kasugamycin resistant; multicopy suppressor of era(Cs)"	30420,14
EG10524	lacA	P07464	g1786537	JW0333	1177	EB0519	203	Thiogalactoside acetyltransferase	22799,01
EG10525	lacI	P03023	g1786540	JW0336	1189	EB0520	360	Transcriptional repressor of lac operon	38590,16
EG10526	lacY	P02920	g1786538	JW0334	1181	EB0521	417	"Lactose permease; galactoside permease"	46503,26
EG10527	lacZ	P00722	g1786539	JW0335	1183	EB0522	1024	beta-D-Galactosidase	116482,86
EG10528	lamB	P02943	g1790469	JW3996	13218	EB0523	446	"Maltoporin, maltose high-affinity uptake system; phage lambda receptor protein"	49912,23
EG10529	lepA	P60785	g1788922	JW2553	8452	EB0524	599	"Back-translocating Elongation Factor EF4, GTPase; required for efficient and accurate protein synthesis"	66570,27
EG10530	lepB	P00803	g1788921	JW2552	8450	EB0525	324	"Signal peptidase I; SPI; responsible for type I signal cleavages of periplasmic, OM, some IM, and extracellular proteins"	35960,35
EG10531	leuO	P10151	g87081684	JW0075	280	EB0526	314	"Pleiotropic transcriptional regulator; regulates dsrA; relieves bgl silencing, multi-copy represses cadC"	35694,73
EG10532	leuS	P07813	g1786861	JW0637	2196	EB0527	860	Leucine--tRNA ligase	97233,76
EG10533	lexA	P0A7C2	g1790476	JW4003	13241	EB0528	202	"Global regulator (repressor) for SOS regulon; dimeric"	22357,72
EG10534	ligA	P15042	g1788750	JW2403	7938	EB0529	671	DNA ligase A, NAD(+)-dependent	73606,07
EG10535	lit	P11072	g1787385	JW1125	3834	EB0530	297	"Cell death peptidase, expression of T4 late genes; e14 prophage"	33762,39
EG10536	livF	P22731	g87082268	JW3419	11282	EB0531	237	High-affinity branched-chain amino acid transport, ATP-binding membrane protein	26310,24
EG10537	livG	P0A9S7	g1789864	JW3420	11284	EB0532	255	High-affinity branched-chain amino acid transport, ATP-binding membrane protein	28426,84
EG10538	livH	P0AEX7	g1789866	JW3422	11290	EB0533	308	"High-affinity branched-chain amino acid permease; ABC transporter"	32982,27
EG10539	livJ	P0AD96	g48994941	JW3425	11299	EB0534	367	"Leu/Ile/Val-binding protein, periplasmic, high-affinity transport; LIV-I system; also involved in phenylalanine accumulation"	39076,4
