Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P05100	tag b3549 JW3518	tag		b3549 JW3518	3MG1_ECOLI		Evidence at protein level		DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)	"GO:0008725; GO:0006284; GO:0046872; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase; Metal-binding; Zinc"	187	
P04395	alkA aidA b2068 JW2053	alkA	aidA	b2068 JW2053	3MG2_ECOLI		Evidence at protein level	Alkylbase DNA glycosidase alkA family	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	"GO:0003677; GO:0006307; GO:0003905; GO:0006284; GO:0005737; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase"	282	
P00350	gnd b2029 JW2011	gnd		b2029 JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
C4ZXT8	pgl BWG_0619	pgl		BWG_0619	6PGL_ECOBW		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
B1X797	pgl ECDH10B_0835	pgl		ECDH10B_0835	6PGL_ECODH		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
P52697	pgl ybhE b0767 JW0750	pgl	ybhE	b0767 JW0750	6PGL_ECOLI		Evidence at protein level	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"3D-structure; Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
C4ZSX9	aaeA BWG_2942	aaeA		BWG_2942	AAEA_ECOBW	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
B1XHL3	aaeA ECDH10B_3418	aaeA		ECDH10B_3418	AAEA_ECODH	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
P46482	aaeA yhcQ b3241 JW3210	aaeA	yhcQ	b3241 JW3210	AAEA_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0046942; GO:0016021; GO:0005886; GO:0009306; GO:0008565; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
C4ZSX8	aaeB BWG_2941	aaeB		BWG_2941	AAEB_ECOBW	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at transcript level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P46481	aaeB yhcP b3240 JW3209	aaeB	yhcP	b3240 JW3209	AAEB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0046942; GO:0016021; GO:0005886; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P67662	aaeR yhcS b3243 JW3212	aaeR	yhcS	b3243 JW3212	AAER_ECOLI		Predicted		HTH-type transcriptional activator AaeR	"GO:0003677; GO:0006355; GO:0003700; GO:0006350; GO:0016563"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	309	
C4ZSY0	aaeX BWG_2943	aaeX		BWG_2943	AAEX_ECOBW	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
B1XHL4	aaeX ECDH10B_3419	aaeX		ECDH10B_3419	AAEX_ECODH	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
P46478	aaeX yhcR b3242 JW5541	aaeX	yhcR	b3242 JW5541	AAEX_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
B1XAY6	engA ECDH10B_2677	engA		ECDH10B_2677	ENGA_ECODH		Inferred from homology	Era/mnmE GTP-binding protein family, EngA subfamily	GTP-binding protein engA	"GO:0005525; GO:0005622"	"Complete proteome; GTP-binding; Nucleotide-binding; Repeat"	490
P0A6P5	engA der yfgK b2511 JW5403	engA	der yfgK	b2511 JW5403	ENGA_ECOLI		Inferred from homology	Era/mnmE GTP-binding protein family, EngA subfamily	GTP-binding protein engA (Double era-like domain protein)	"GO:0005525; GO:0005622"	"Complete proteome; GTP-binding; Nucleotide-binding; Repeat"	490
C5A033	engB BWG_3535	engB		BWG_3535	ENGB_ECOBW		Inferred from homology	EngB family	Probable GTP-binding protein engB	"GO:0005525; GO:0000917; GO:0007049; GO:0005622"	"Cell cycle; Cell division; Complete proteome; GTP-binding; Nucleotide-binding; Septation"	210
P0A6P7	engB yihA b3865 JW5930	engB	yihA	b3865 JW5930	ENGB_ECOLI		Evidence at protein level	EngB family	Probable GTP-binding protein engB	"GO:0005525; GO:0000917; GO:0007049; GO:0005622"	"3D-structure; Cell cycle; Cell division; Complete proteome; GTP-binding; Nucleotide-binding; Septation"	210
P0ABU2	engD gtp1 ychF b1203 JW1194	engD	gtp1 ychF	b1203 JW1194	ENGD_ECOLI		Evidence at protein level	GTP1/OBG family, EngD subfamily	GTP-dependent nucleic acid-binding protein engD	"GO:0005525; GO:0005622; GO:0046872"	"Complete proteome; Direct protein sequencing; GTP-binding; Magnesium; Metal-binding; Nucleotide-binding"	363
C4ZZT2	eno BWG_2514	eno		BWG_2514	ENO_ECOBW	Cytoplasm › cytoskeleton. Secreted. Cell surface. 	Inferred from homology	Enolase family	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	"GO:0009986; GO:0005856; GO:0005576; GO:0006096; GO:0000287; GO:0004634; GO:0000015"	"Acetylation; Complete proteome; Cytoplasm; Cytoskeleton; Glycolysis; Lyase; Magnesium; Metal-binding; Phosphoprotein; Secreted"	432
B1XDI9	eno ECDH10B_2946	eno		ECDH10B_2946	ENO_ECODH	Cytoplasm › cytoskeleton. Secreted. Cell surface. 	Inferred from homology	Enolase family	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	"GO:0009986; GO:0005856; GO:0005576; GO:0006096; GO:0000287; GO:0004634; GO:0000015"	"Acetylation; Complete proteome; Cytoplasm; Cytoskeleton; Glycolysis; Lyase; Magnesium; Metal-binding; Phosphoprotein; Secreted"	432
P0A6P9	eno b2779 JW2750	eno		b2779 JW2750	ENO_ECOLI	Cytoplasm › cytoskeleton. Secreted. Cell surface. 	Evidence at protein level	Enolase family	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	"GO:0009986; GO:0005856; GO:0005576; GO:0006096; GO:0042802; GO:0000287; GO:0016020; GO:0004634; GO:0000015"	"3D-structure; Acetylation; Complete proteome; Cytoplasm; Cytoskeleton; Direct protein sequencing; Glycolysis; Lyase; Magnesium; Metal-binding; Phosphoprotein; Secreted"	432
P15047	entA b0596 JW0588	entA		b0596 JW0588	ENTA_ECOLI		Evidence at protein level	Short-chain dehydrogenases/reductases (SDR) family	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28)	"GO:0008667; GO:0005488; GO:0009239; GO:0006826; GO:0055114"	"3D-structure; Complete proteome; Direct protein sequencing; Enterobactin biosynthesis; NAD; Oxidoreductase"	248
P0ADI4	entB entG b0595 JW0587	entB	entG	b0595 JW0587	ENTB_ECOLI		Evidence at protein level	Isochorismatase family	Isochorismatase (EC 3.3.2.1) (2,3 dihydro-2,3 dihydroxybenzoate synthase) (Enterobactin synthase component B) (Enterochelin synthase B) (Isochorismate lyase)	"GO:0000036; GO:0048037; GO:0009239; GO:0006826; GO:0008908"	"3D-structure; Complete proteome; Enterobactin biosynthesis; Hydrolase; Phosphopantetheine"	285
P0AEJ2	entC b0593 JW0585	entC		b0593 JW0585	ENTC_ECOLI		Evidence at protein level	Isochorismate synthase family	Isochorismate synthase entC (EC 5.4.4.2) (Isochorismate mutase)	"GO:0009239; GO:0006826; GO:0008909"	"3D-structure; Complete proteome; Direct protein sequencing; Enterobactin biosynthesis; Isomerase"	391
P19925	entD b0583 JW5085	entD		b0583 JW5085	ENTD_ECOLI		Inferred from homology	P-Pant transferase superfamily, EntD family	4'-phosphopantetheinyl transferase entD (EC 2.7.8.-) (Enterobactin synthase component D) (Enterochelin synthase D)	"GO:0009239; GO:0009366; GO:0008897; GO:0006826; GO:0009059; GO:0000287"	"Complete proteome; Enterobactin biosynthesis; Magnesium; Metal-binding; Transferase"	209
P10378	entE b0594 JW0586	entE		b0594 JW0586	ENTE_ECOLI		Inferred from homology	ATP-dependent AMP-binding enzyme family, EntE subfamily	"Enterobactin synthase component E (Enterochelin synthase E) [Includes: 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) (Dihydroxybenzoic acid-activating enzyme); S-dihydroxybenzoyltransferase (EC 2.3.1.-)]"	"GO:0008668; GO:0005524; GO:0008415; GO:0009239; GO:0006826; GO:0016874"	"ATP-binding; Acyltransferase; Complete proteome; Enterobactin biosynthesis; Ligase; Multifunctional enzyme; Nucleotide-binding; Transferase"	536
P11454	entF b0586 JW0578	entF		b0586 JW0578	ENTF_ECOLI		Evidence at protein level	ATP-dependent AMP-binding enzyme family, EntF subfamily	Enterobactin synthase component F (EC 2.7.7.-) (Enterochelin synthase F) (Serine-activating enzyme) (Seryl-AMP ligase)	"GO:0005524; GO:0000036; GO:0048037; GO:0009239; GO:0016788; GO:0006826; GO:0016874; GO:0031177; GO:0016740"	"3D-structure; ATP-binding; Complete proteome; Direct protein sequencing; Enterobactin biosynthesis; Ligase; Multifunctional enzyme; Nucleotide-binding; Phosphopantetheine; Transferase"	1293
C4ZV37	entS BWG_0464	entS		BWG_0464	ENTS_ECOBW	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	Major facilitator superfamily, EntS (TC 2.A.1.38) family	Enterobactin exporter entS	"GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	416
P24077	entS ybdA b0591 JW0583	entS	ybdA	b0591 JW0583	ENTS_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Major facilitator superfamily, EntS (TC 2.A.1.38) family	Enterobactin exporter entS (Protein p43)	"GO:0042930; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	416
P0ACT2	envR yhdK b3264 JW3232	envR	yhdK	b3264 JW3232	ENVR_ECOLI		Evidence at protein level		Probable acrEF/envCD operon repressor	"GO:0003677; GO:0032582; GO:0005515; GO:0003700; GO:0016566; GO:0006350"	"Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation"	220
P10805	envY b0566 JW0555	envY		b0566 JW0555	ENVY_ECOLI		Predicted		Porin thermoregulatory protein envY	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	253
P0AEJ4	envZ ompB perA tpo b3404 JW3367	envZ	ompB perA tpo	b3404 JW3367	ENVZ_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Osmolarity sensor protein envZ (EC 2.7.13.3)	"GO:0005524; GO:0071229; GO:0016048; GO:0016021; GO:0018106; GO:0005886; GO:0046777; GO:0006470; GO:0005515; GO:0000155; GO:0000160"	"3D-structure; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Transferase; Transmembrane; Transmembrane helix; Two-component regulatory system"	450
P30845	eptA pmrC yjdB b4114 JW5730	eptA	pmrC yjdB	b4114 JW5730	EPTA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Phosphoethanolamine transferase family, EptA subfamily	Phosphoethanolamine transferase eptA (EC 2.7.-.-) (Polymyxin resistance protein pmrC)	"GO:0016021; GO:0009245; GO:0005886; GO:0046677; GO:0008484; GO:0016740"	"Antibiotic resistance; Cell inner membrane; Cell membrane; Complete proteome; Lipid A biosynthesis; Lipid synthesis; Lipopolysaccharide biosynthesis; Membrane; Transferase; Transmembrane; Transmembrane helix"	547
P37661	eptB yhjW b3546 JW5660	eptB	yhjW	b3546 JW5660	EPTB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Phosphoethanolamine transferase family, EptB subfamily	Phosphoethanolamine transferase eptB (EC 2.7.-.-)	"GO:0016021; GO:0009245; GO:0005886; GO:0008484; GO:0016740"	"Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Lipid A biosynthesis; Lipid synthesis; Lipopolysaccharide biosynthesis; Membrane; Transferase; Transmembrane; Transmembrane helix"	563
C4ZYI9	era BWG_2330	era		BWG_2330	ERA_ECOBW		Inferred from homology	Era/mnmE GTP-binding protein family, Era subfamily	GTP-binding protein era homolog	"GO:0005525; GO:0003723; GO:0005622"	"Complete proteome; GTP-binding; Nucleotide-binding; RNA-binding"	301
B1XB40	era ECDH10B_2734	era		ECDH10B_2734	ERA_ECODH		Inferred from homology	Era/mnmE GTP-binding protein family, Era subfamily	GTP-binding protein era homolog	"GO:0005525; GO:0003723; GO:0005622"	"Complete proteome; GTP-binding; Nucleotide-binding; RNA-binding"	301
P06616	era rbaA b2566 JW2550	era	rbaA	b2566 JW2550	ERA_ECOLI	"Cell membrane; Peripheral membrane protein. "	Evidence at protein level	Era/mnmE GTP-binding protein family, Era subfamily	GTP-binding protein era	"GO:0005525; GO:0003723; GO:0005622; GO:0005886"	"3D-structure; Cell membrane; Complete proteome; Direct protein sequencing; GTP-binding; Membrane; Nucleotide-binding; Phosphoprotein; RNA-binding"	301
P39176	erfK yeeG yzzT b1990 JW1968	erfK	yeeG yzzT	b1990 JW1968	ERFK_ECOLI	Periplasm. 	Evidence at protein level	YkuD family	Probable L,D-transpeptidase ErfK/SrfK (EC 2.-.-.-)	"GO:0043164; GO:0007047; GO:0016807; GO:0008954; GO:0018104; GO:0042597; GO:0005515; GO:0008360; GO:0016755; GO:0016757"	"Cell shape; Cell wall biogenesis/degradation; Complete proteome; Direct protein sequencing; Glycosyltransferase; Hydrolase; Peptidoglycan synthesis; Periplasm; Signal; Transferase"	310
C4ZRP9	erpA BWG_0149	erpA		BWG_0149	ERPA_ECOBW		Inferred from homology	HesB/iscA family	Iron--sulfur cluster insertion protein erpA	"GO:0016226; GO:0051536; GO:0046872; GO:0005198"	"Complete proteome; Iron; Iron-sulfur; Metal-binding"	114
B1XD26	erpA ECDH10B_0136	erpA		ECDH10B_0136	ERPA_ECODH		Inferred from homology	HesB/iscA family	Iron--sulfur cluster insertion protein erpA	"GO:0016226; GO:0051536; GO:0046872; GO:0005198"	"Complete proteome; Iron; Iron-sulfur; Metal-binding"	114
P0ACC3	erpA yadR b0156 JW0152	erpA	yadR	b0156 JW0152	ERPA_ECOLI		Evidence at protein level	HesB/iscA family	Iron-sulfur cluster insertion protein erpA	"GO:0051537; GO:0051539; GO:0009060; GO:0009061; GO:0016226; GO:0046872; GO:0051604; GO:0005198"	"Complete proteome; Iron; Iron-sulfur; Metal-binding"	114
P0A9R2	essD ybcR b0554 JW0543	essD	ybcR	b0554 JW0543	ESSD_ECOLI		Inferred from homology	Lambda phage S protein family	Lysis protein S homolog from lambdoid prophage DLP12	"GO:0016998; GO:0019835"	"Complete proteome; Phage lysis protein"	71
P77237	essQ ydfS b1556 JW5255	essQ	ydfS	b1556 JW5255	ESSQ_ECOLI		Inferred from homology	Lambda phage S protein family	Lysis protein S homolog from lambdoid prophage Qin	"GO:0016998; GO:0019835"	"Complete proteome; Phage lysis protein"	71
P38134	etk yccC b0981 JW0964	etk	yccC	b0981 JW0964	ETK_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Etk/wzc family	Tyrosine-protein kinase etk (EC 2.7.10.-)	"GO:0005524; GO:0045227; GO:0030234; GO:0016021; GO:0009103; GO:0005886; GO:0004713"	"3D-structure; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Transferase; Transmembrane; Transmembrane helix; Tyrosine-protein kinase"	726
P0ACZ2	etp yccY b0982 JW5132	etp	yccY	b0982 JW5132	ETP_ECOLI		Evidence at protein level	Low molecular weight phosphotyrosine protein phosphatase family	Low molecular weight protein-tyrosine-phosphatase etp (EC 3.1.3.48)	"GO:0006470; GO:0004725"	"Complete proteome; Hydrolase; Protein phosphatase"	148
P76551	eutA yffT b2451 JW2435	eutA	yffT	b2451 JW2435	EUTA_ECOLI		Inferred from homology		Ethanolamine utilization protein eutA		Complete proteome	467
P0AEJ6	eutB b2441 JW2434	eutB		b2441 JW2434	EUTB_ECOLI		Evidence at protein level		Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7) (Ethanolamine ammonia-lyase large subunit)	"GO:0006520; GO:0008851; GO:0005515"	"3D-structure; Cobalt; Complete proteome; Direct protein sequencing; Lyase"	453
C4ZX13	eutC BWG_2202	eutC		BWG_2202	EUTC_ECOBW		Inferred from homology	EutC family	Ethanolamine ammonia-lyase light chain (EC 4.3.1.7) (Ethanolamine ammonia-lyase small subunit)	"GO:0006520; GO:0031419; GO:0008851"	"Cobalamin; Cobalt; Complete proteome; Lyase"	295
B1XAB1	eutC ECDH10B_2605	eutC		ECDH10B_2605	EUTC_ECODH		Inferred from homology	EutC family	Ethanolamine ammonia-lyase light chain (EC 4.3.1.7) (Ethanolamine ammonia-lyase small subunit)	"GO:0006520; GO:0031419; GO:0008851"	"Cobalamin; Cobalt; Complete proteome; Lyase"	295
P19636	eutC b2440 JW2433	eutC		b2440 JW2433	EUTC_ECOLI		Evidence at protein level	EutC family	Ethanolamine ammonia-lyase light chain (EC 4.3.1.7) (Ethanolamine ammonia-lyase small subunit)	"GO:0006520; GO:0031419; GO:0008851"	"3D-structure; Cobalamin; Cobalt; Complete proteome; Direct protein sequencing; Lyase"	295
P77218	eutD eutI ypfA b2458 JW2442	eutD	eutI ypfA	b2458 JW2442	EUTD_ECOLI		Evidence at protein level	Phosphate acetyltransferase and butyryltransferase family	Ethanolamine utilization protein eutD	"GO:0016407; GO:0005515"	"3D-structure; Acyltransferase; Complete proteome; Transferase"	338
P77445	eutE yffX b2455 JW2439	eutE	yffX	b2455 JW2439	EUTE_ECOLI		Predicted		Ethanolamine utilization protein eutE	"GO:0055114; GO:0016491"	"Complete proteome; Oxidoreductase"	467
P76553	eutG yffV b2453 JW2437	eutG	yffV	b2453 JW2437	EUTG_ECOLI		Evidence at protein level	Iron-containing alcohol dehydrogenase family	Ethanolamine utilization protein eutG (EC 1.1.-.-)	"GO:0046872; GO:0055114; GO:0016491; GO:0005515"	"Complete proteome; NAD; Oxidoreductase"	395
P76552	eutH yffU b2452 JW2436	eutH	yffU	b2452 JW2436	EUTH_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	EutH family	Ethanolamine utilization protein eutH (Putative ethanolamine transporter)	"GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	408
P77277	eutJ yffW b2454 JW2438	eutJ	yffW	b2454 JW2438	EUTJ_ECOLI		Predicted		Ethanolamine utilization protein eutJ	GO:0007049	Complete proteome	278
P76540	eutK yffI b2438 JW2431	eutK	yffI	b2438 JW2431	EUTK_ECOLI		Evidence at protein level	Bacterial microcompartments protein family	Ethanolamine utilization protein eutK	GO:0005515	"3D-structure; Complete proteome; Signal"	166
P76541	eutL yffJ b2439 JW2432	eutL	yffJ	b2439 JW2432	EUTL_ECOLI		Evidence at protein level	EutL/pduB family	Ethanolamine utilization protein eutL	"GO:0005515; GO:0009605"	"3D-structure; Complete proteome"	219
P0ABF4	eutM cchA yffZ b2457 JW2441	eutM	cchA yffZ	b2457 JW2441	EUTM_ECOLI		Evidence at protein level	Bacterial microcompartments protein family	Ethanolamine utilization protein eutM		"3D-structure; Complete proteome; Signal"	97
P0AEJ8	eutN cchB yffY b2456 JW2440	eutN	cchB yffY	b2456 JW2440	EUTN_ECOLI		Evidence at protein level		Ethanolamine utilization protein eutN		"3D-structure; Complete proteome"	95
P76556	eutP ypfD b2461 JW2445	eutP	ypfD	b2461 JW2445	EUTP_ECOLI		Inferred from homology	EutP/pduV family	Ethanolamine utilization protein eutP	"GO:0005524; GO:0006576"	"ATP-binding; Complete proteome; Nucleotide-binding"	159
P76555	eutQ ypfC b2460 JW2444	eutQ	ypfC	b2460 JW2444	EUTQ_ECOLI		Predicted		Ethanolamine utilization protein eutQ		Complete proteome	233
P36547	eutR yfeG b2437 JW2430	eutR	yfeG	b2437 JW2430	EUTR_ECOLI		Inferred from homology		HTH-type transcriptional regulator eutR (Ethanolamine operon regulatory protein)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	350
P63746	eutS ypfE b2462 JW2446	eutS	ypfE	b2462 JW2446	EUTS_ECOLI		Evidence at protein level	EutS/pduU family	Ethanolamine utilization protein eutS	GO:0006580	"3D-structure; Complete proteome"	111
P65643	eutT ypfB b2459 JW2443	eutT	ypfB	b2459 JW2443	EUTT_ECOLI		Inferred from homology		Ethanolamine utilization cobalamin adenosyltransferase (EC 2.5.1.17)	"GO:0005524; GO:0008817; GO:0009236; GO:0006580"	"ATP-binding; Complete proteome; Nucleotide-binding; Transferase"	267
P0ACZ4	evgA b2369 JW2366	evgA		b2369 JW2366	EVGA_ECOLI	Cytoplasm. 	Evidence at protein level		Positive transcription regulator evgA	"GO:0005737; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160"	"3D-structure; Activator; Complete proteome; Cytoplasm; DNA-binding; Phosphoprotein; Transcription; Transcription regulation; Two-component regulatory system"	204
P30855	evgS b2370 JW2367	evgS		b2370 JW2367	EVGS_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Sensor protein evgS (EC 2.7.13.3)	"GO:0005524; GO:0016021; GO:0030288; GO:0018106; GO:0005886; GO:0005515; GO:0006355; GO:0005215; GO:0000156; GO:0000155; GO:0000160"	"ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Signal; Transferase; Transmembrane; Transmembrane helix; Two-component regulatory system"	1197
P04995	sbcB cpeA xonA b2011 JW1993	sbcB	cpeA xonA	b2011 JW1993	EX1_ECOLI		Evidence at protein level		Exodeoxyribonuclease I (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase)	"GO:0006308; GO:0006281; GO:0008852; GO:0003676"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Exonuclease; Hydrolase; Nuclease"	475
P09030	xthA xth b1749 JW1738	xthA	xth	b1749 JW1738	EX3_ECOLI		Evidence at protein level	DNA repair enzymes AP/exoA family	Exodeoxyribonuclease III (EXO III) (Exonuclease III) (EC 3.1.11.2) (AP endonuclease VI)	"GO:0003677; GO:0006281; GO:0004519; GO:0008853; GO:0005622; GO:0046872"	"3D-structure; Complete proteome; DNA damage; DNA repair; Exonuclease; Hydrolase; Magnesium; Metal-binding; Nuclease"	268
P04993	recD b2819 JW2787	recD		b2819 JW2787	EX5A_ECOLI		Evidence at protein level	RecD family	Exodeoxyribonuclease V alpha chain (EC 3.1.11.5) (Exodeoxyribonuclease V 67 kDa polypeptide)	"GO:0005524; GO:0006310; GO:0006281; GO:0004519; GO:0008854; GO:0009338; GO:0004386; GO:0005515"	"3D-structure; ATP-binding; Complete proteome; DNA damage; DNA repair; Endonuclease; Exonuclease; Helicase; Hydrolase; Nuclease; Nucleotide-binding"	608
P08394	recB rorA b2820 JW2788	recB	rorA	b2820 JW2788	EX5B_ECOLI		Evidence at protein level	Helicase family, UvrD subfamily	Exodeoxyribonuclease V beta chain (EC 3.1.11.5) (Exodeoxyribonuclease V 135 kDa polypeptide)	"GO:0005524; GO:0004003; GO:0003677; GO:0006281; GO:0004519; GO:0008854"	"3D-structure; ATP-binding; Complete proteome; DNA damage; DNA repair; Endonuclease; Exonuclease; Helicase; Hydrolase; Nuclease; Nucleotide-binding"	1180
P07648	recC b2822 JW2790	recC		b2822 JW2790	EX5C_ECOLI		Evidence at protein level		Exodeoxyribonuclease V gamma chain (EC 3.1.11.5) (Exodeoxyribonuclease V 125 kDa polypeptide)	"GO:0005524; GO:0003677; GO:0006281; GO:0004519; GO:0008854; GO:0009338; GO:0004386; GO:0005515"	"3D-structure; ATP-binding; Complete proteome; DNA damage; DNA repair; Endonuclease; Exonuclease; Helicase; Hydrolase; Nuclease; Nucleotide-binding"	1122
C4ZX84	xseA BWG_2273	xseA		BWG_2273	EX7L_ECOBW	Cytoplasm. 	Inferred from homology	XseA family	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	"GO:0006308; GO:0005737; GO:0008855; GO:0009318; GO:0003676"	"Complete proteome; Cytoplasm; Exonuclease; Hydrolase; Nuclease"	456
