Accession	Biological Process (Uniprot)
P0AFS1	transport
P00448	oxidation-reduction process
P30863	oxidation-reduction process|L-ascorbic acid biosynthetic process
B1XEB8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P39371	carbohydrate metabolic process
B1XGX9	rRNA processing
C4ZUC2	oxidation-reduction process|transport
B1XE03	methylation
C4ZWV8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZYF4	oxidation-reduction process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P75681	transport|ion transport|iron ion homeostasis
P36881	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
C4ZYY8	response to antibiotic|transport
C4ZQN8	two-component signal transduction system (phosphorelay)|phosphorylation
C4ZY83	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
B1XCB7	phosphorylation
B1XD99	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P33012	response to stress
P0A978	transcription, DNA-dependent|regulation of transcription, DNA-dependent|response to stress
C4ZPW7	transport|electron transport chain
C4ZVR9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
Q46916	transport
P00957	translation
P31553	transport
C4ZYK4	methylation
C4ZUP5	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process|phosphorylation
P18811	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A0S7	transcription, DNA-dependent
P00959	translation
P75949	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization|metabolic process
P0A9E9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AGI1	carbohydrate transport|transport
B1XDU5	transport
C4ZY82	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XDY6	oxidation-reduction process|cellular amino acid biosynthetic process|proline biosynthetic process
B1XB68	carbohydrate metabolic process|rhamnose metabolic process
B1XFL6	heme biosynthetic process
Q46819	transport|electron transport chain
B1XC60	cell division
B1X7J9	transport
P0AG82	transport|phosphate transport|response to stress
P30126	cellular amino acid biosynthetic process|leucine biosynthetic process|branched chain family amino acid biosynthetic process
P07649	tRNA processing
P0A9W3	transport
C4ZUT1	phosphorylation
B1XFQ7	translational elongation
P04079	GMP biosynthetic process|glutamine metabolic process|purine nucleotide biosynthetic process
P0A7I0	translation
P33941	response to antibiotic|transport
P0A9X1	transport|zinc ion transport|ion transport
C4ZQH5	flagellum organization|transcription, DNA-dependent|regulation of transcription, DNA-dependent
P67660	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P09127	porphyrin biosynthetic process|methylation
C5A0L8	DNA repair|response to DNA damage stimulus|DNA recombination
C4ZTI8	oxidation-reduction process|transport|electron transport chain
C4ZQV9	riboflavin biosynthetic process
C4ZX00	oxidation-reduction process
P43676	transport|phosphate transport
C4ZZH8	methylation
C4ZR54	purine nucleotide biosynthetic process
C4ZVS4	transport
C4ZYV0	oxidation-reduction process
P69826	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P76138	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQE4	DNA repair|SOS response|DNA recombination|response to DNA damage stimulus
P0A9M2	purine ribonucleoside salvage
B1XFH3	DNA replication, synthesis of RNA primer|DNA replication
P0AFP4	oxidation-reduction process
B1XC17	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P37744	lipopolysaccharide biosynthetic process
B1XA08	nucleotide biosynthetic process|phosphorylation
P0A7J3	regulation of translation
P30137	thiamine biosynthetic process
B1XCS0	metabolic process
B1X9A1	phosphorylation
B1XD29	cellular amino acid biosynthetic process|methionine biosynthetic process
P52600	transport
B1XFA9	DNA repair|response to DNA damage stimulus|DNA recombination
C4ZQE1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A6Z6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AFZ3	response to stress
P0AA39	rRNA processing
P0ABK2	oxidation-reduction process|transport|electron transport chain
C4ZRT0	tRNA processing|tRNA modification
C4ZV52	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0CF60	transposition|DNA recombination
B1X8C8	oxidation-reduction process|DNA replication
C4ZT11	oxidation-reduction process
B1XHN0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XCT7	oxidation-reduction process|tRNA processing
C4ZVK0	transport
B1XCC4	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
C4ZV37	transport
C4ZWB4	transport|protein secretion|protein transport|transmembrane transport
C5A076	oxidation-reduction process
B1XG45	transport|zinc ion transport|ion transport
P0AFF0	oxidation-reduction process|transport
B1XD15	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZS02	pyrimidine nucleotide biosynthetic process
C4ZPS9	phosphorylation
P0AA84	phospholipid biosynthetic process
B1XES3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZYA9	oxidation-reduction process
P0ABD1	transport
P0CF68	transposition|DNA recombination
P0A9F9	cellular amino acid biosynthetic process|methionine biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XDN7	DNA repair|response to DNA damage stimulus
P33022	metabolic process
B1X7I7	galactitol metabolic process
B1XBQ7	DNA repair|metabolic process|response to DNA damage stimulus
P16869	transport|ion transport|iron ion homeostasis
P0C8J8	galactitol metabolic process
C4ZYV2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XFG2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZU55	methylation
C4ZU63	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZVQ4	transport
P31125	amino acid transport|transport
P77258	oxidation-reduction process
P46852	oxidation-reduction process
P0A9H9	chemotaxis|ciliary or flagellar motility
P27129	lipopolysaccharide biosynthetic process
B1X668	transport
P0A847	tRNA processing|queuosine biosynthetic process
C4ZQY3	DNA replication, synthesis of RNA primer|transcription, DNA-dependent|DNA replication
P0AB67	oxidation-reduction process
P0A6G7	response to stress
B1X7S8	tRNA processing
C5A0A8	oxidation-reduction process|cellular amino acid biosynthetic process
C4ZU82	oxidation-reduction process
P76010	regulation of flagellar cell motility by regulation of motor speed|flagellar cell motility
P0AD99	amino acid transport|transport
P76173	oxidation-reduction process
P0AFJ7	transport|phosphate transport
C4ZXH1	glycerol metabolic process|phosphorylation
P0ACM2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P37387	carbohydrate transport|transport
B1X7Y7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ABJ9	oxidation-reduction process|transport|electron transport chain
Q47718	transposition|DNA recombination
P0AEZ7	cellular cell wall organization
B1XAX1	DNA replication
B1XA73	transport|sodium ion transport|ion transport
P0A6S5	cell cycle|cell division
B1XB62	oxidation-reduction process
P10408	transport|protein transport|transmembrane transport
C5A0U5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P33934	transport|electron transport chain
B1XE47	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XG00	oxidation-reduction process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P23841	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XDS9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XFU4	transport|electron transport chain
C4ZW00	transport
P15082	transcription, DNA-dependent|regulation of transcription, DNA-dependent|phosphoenolpyruvate-dependent sugar phosphotransferase system
P39315	oxidation-reduction process
B1XHJ9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZY33	transport
B1XBF4	oxidation-reduction process|isoprenoid biosynthetic process
C4ZZ91	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A761	carbohydrate metabolic process
P33029	oxidation-reduction process
B1XB07	methylation
C4ZXJ8	tRNA processing|tRNA methylation|methylation
P04036	oxidation-reduction process|cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process
P05055	response to stress
C4ZQI0	transport
C4ZRZ9	oxidation-reduction process
P0AFI5	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1XA97	oxidation-reduction process
P0A6I6	coenzyme A biosynthetic process
P76135	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZS46	phosphorylation
P0CF40	transposition|DNA recombination
P0AEN1	oxidation-reduction process|transport|ion transport|iron ion homeostasis
P0AEJ2	enterobactin biosynthetic process
P56976	response to antibiotic
C5A0G6	chromosome segregation|DNA integration|cell cycle|cell division|DNA recombination|transposition, DNA-mediated
C4ZXF9	transport
P33224	oxidation-reduction process|response to stress
B1XGK9	arginine metabolic process
P0AC78	cell wall macromolecule biosynthetic process|lipopolysaccharide biosynthetic process|cellular cell wall organization
P0CF53	transposition|DNA recombination
P0A749	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
Q1PI83	phosphorylation
Q46821	transport
P0A6I0	phosphorylation
P0A725	lipid A biosynthetic process|lipid biosynthetic process
P11988	metabolic process
B1X7Z3	translation
P0AFF4	transport
P0ACU2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A0G2	lysyl-tRNA aminoacylation|translation
B1XE70	oxidation-reduction process
P0AGH3	transport|protein transport|peptide transport
C4ZTL1	methylation
P77319	response to stress
C4ZVM2	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
B1XBE0	DNA replication|response to stress
C4ZRR2	translational elongation|translation
C4ZUZ0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X6D0	transport
P0AAF1	amino acid transport|transport
C4ZR36	phosphorylation
P0CE55	transposition|DNA recombination
C4ZSU9	two-component signal transduction system (phosphorelay)|phosphorylation
C4ZXB3	aromatic compound catabolic process
P0ABA0	transport|proton transport|ion transport|ATP biosynthetic process
B1XB78	two-component signal transduction system (phosphorelay)|phosphorylation
P17109	menaquinone biosynthetic process
P0ABT2	oxidation-reduction process|cellular iron ion homeostasis|chromosome condensation
P18034	conjugation
C4ZZ73	cellular amino acid biosynthetic process|lysine biosynthetic process
P0A8N5	translation
P0AF10	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X747	response to stress
P0CF72	transposition|DNA recombination
B1X8D9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P54746	metabolic process
P75782	methylation|rRNA processing
P0ACJ0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XEE1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A0C0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P06959	glycolysis
C4ZQS6	transport|protein transport
B1X770	glycerol metabolic process
C4ZVD5	oxidation-reduction process
P21345	transport
P00895	tryptophan biosynthetic process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P37624	transport
P60566	transport|electron transport chain
P31057	pantothenate biosynthetic process|methylation
B1XG31	phosphorylation
P16682	transport|phosphonate transport
C4ZTF1	DNA recombination
B1XE52	oxidation-reduction process
P32715	response to antibiotic|transport
P75836	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A9C3	carbohydrate metabolic process
P10805	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A0K2	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
B1XF75	DNA replication
B1XFR4	phosphorylation
C4ZQU5	phosphorylation
B1X9B2	transport|sodium ion transport|ion transport
P25906	oxidation-reduction process
C4ZR32	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P23485	transport|response to stimulus|ion transport|iron ion homeostasis
P06993	regulation of transcription, DNA-dependent|carbohydrate metabolic process|transcription, DNA-dependent
B1X6B9	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P0AAE0	amino acid transport|transport
P68688	transport|deoxyribonucleotide biosynthetic process|electron transport chain
B1XCN4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XBY2	translational elongation|translation
P0ABU9	bacteriocin transport|transport|protein transport
P37759	extracellular polysaccharide biosynthetic process|lipopolysaccharide biosynthetic process
P21499	pathogenesis|response to stress
C5A0R2	lipid biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent|fatty acid biosynthetic process
P0ABH7	tricarboxylic acid cycle|metabolic process
C4ZZT2	glycolysis
Q46807	phosphorylation
P0ABI8	oxidation-reduction process|transport|proton transport|electron transport chain|ion transport
B1X9S9	DNA repair|SOS response|DNA replication|response to DNA damage stimulus
B1XGY8	protein catabolic process
P36667	lipopolysaccharide biosynthetic process
P39830	transport|ion transport
P0CE53	transposition|DNA recombination
C4ZVT5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P30855	two-component signal transduction system (phosphorelay)|phosphorylation
B1X7M9	oxidation-reduction process|tRNA processing
C4ZXB7	oxidation-reduction process|aromatic compound catabolic process
P39160	oxidation-reduction process
P0A9P0	oxidation-reduction process|glycolysis
C4ZXM2	phosphorylation
P26602	ubiquinone biosynthetic process
C4ZXE2	oxidation-reduction process
C4ZTM7	transport|sodium ion transport|ion transport
P69405	response to stimulus|transcription, DNA-dependent|regulation of transcription, DNA-dependent
C4ZQ34	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P15042	DNA repair|response to DNA damage stimulus|DNA replication
B1XBQ0	transcription, DNA-dependent|regulation of transcription, DNA-dependent
C4ZTR8	oxidation-reduction process
P39353	oxidation-reduction process
C4ZWK3	tricarboxylic acid cycle
P10371	cellular amino acid biosynthetic process|histidine biosynthetic process
P32695	oxidation-reduction process|tRNA processing
P16686	phosphonate transport
P32173	Mo-molybdopterin cofactor biosynthetic process
B1XCU1	alanine metabolic process|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1XA43	tRNA processing
C4ZT56	translation
P45531	tRNA processing
B1XET8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X8X5	menaquinone biosynthetic process
P0CE63	transposition|DNA recombination
P0AC62	transport|deoxyribonucleotide biosynthetic process|electron transport chain
C4ZV90	transport|ion transport
B1XB52	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P14377	two-component signal transduction system (phosphorelay)|phosphorylation
P30748	Mo-molybdopterin cofactor biosynthetic process
P0A862	oxidation-reduction process
B1XGN1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQG0	translation
B1X8V2	oxidation-reduction process
C4ZV08	regulation of transcription, DNA-dependent|transcription, DNA-dependent
Q46909	transport
P26616	oxidation-reduction process
P42904	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
C4ZSB4	cellular amino acid biosynthetic process|histidine biosynthetic process
B1XB97	response to stress
C4ZRG9	methylation
P0AC26	nitrate assimilation|transport
C4ZTY7	transport
P0A6A8	lipid biosynthetic process|fatty acid biosynthetic process
P37679	carbohydrate metabolic process
P77425	purine base metabolic process
C4ZTP0	phosphorylation
C4ZSB8	oxidation-reduction process|D-gluconate metabolic process|pentose-phosphate shunt
C5A037	two-component signal transduction system (phosphorelay)|phosphorylation
P10151	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P42590	transport
B1XB27	oxidation-reduction process|oxygen transport|transport
P33898	oxidation-reduction process|glycolysis
P33013	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
P32166	menaquinone biosynthetic process
B1XCZ6	two-component signal transduction system (phosphorelay)
C5A1C3	transport
B1X6V7	oxidation-reduction process|cellular amino acid biosynthetic process|histidine biosynthetic process
B1X654	rRNA processing|ribosome biogenesis
P22523	chromosome segregation|chromosome condensation|cell cycle|cell division
P33915	transport
P0AGB3	regulation of transcription, DNA-dependent|transcription, DNA-dependent|response to stress
B1X5Y6	transport
C4ZZR8	cellular amino acid biosynthetic process|oxidation-reduction process|transport|hydrogen sulfide biosynthetic process|cysteine biosynthetic process|electron transport chain|sulfate assimilation
P77196	transport
C5A094	transport
B1XC72	barrier septum formation|cell cycle|cell division
B1XFV0	oxidation-reduction process|pyridoxine biosynthetic process
P76470	transport
B1X7A6	biotin biosynthetic process
P0AEG1	transport|protein transport|peptide transport
C4ZSY1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AFY8	negative regulation of DNA replication
B1XFJ9	DNA repair|response to DNA damage stimulus
B1XE75	transport
C4ZXS9	galactose metabolic process|carbohydrate metabolic process
P77721	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XC39	ubiquinone biosynthetic process
C4ZRI5	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
C4ZR48	tRNA processing
B1XBT5	phosphorylation
P26458	oxidation-reduction process|transport|electron transport chain
B1X8Z0	oxidation-reduction process
P35340	oxidation-reduction process
P76542	DNA integration|DNA recombination
B1XDS2	tRNA processing
P0AFS5	quorum sensing|transport
B1XAQ1	oxidation-reduction process|porphyrin biosynthetic process
B1X9B6	response to stress
B1XHK9	oxidation-reduction process|tricarboxylic acid cycle
B1XFW3	tRNA processing
C5A0U7	purine nucleotide biosynthetic process|metabolic process
P42915	transport
P11551	carbohydrate transport|transport|fucose metabolic process|carbohydrate metabolic process
P0AC94	D-gluconate metabolic process|transport|carbohydrate transport
P24169	spermidine biosynthetic process
C4ZWU8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X9P2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZY57	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P31069	transport|ion transport
B1XCX9	phosphorylation
P0AC16	folic acid biosynthetic process
A4UR84	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XA29	carbohydrate metabolic process|phosphorylation
C4ZRA3	carbohydrate transport
P33937	oxidation-reduction process|nitrate assimilation|transport|electron transport chain
P15640	purine nucleotide biosynthetic process
C4ZWQ2	transport
B1X8J1	oxidation-reduction process
P0CE47	translational elongation|response to antibiotic|translation
B1X783	transport|zinc ion transport|ion transport
P71239	lipopolysaccharide biosynthetic process
P36649	oxidation-reduction process
C4ZUZ5	DNA repair|response to DNA damage stimulus
C4ZRH3	carbohydrate metabolic process
P76352	transport
P0CF64	transposition|DNA recombination
P0AGI8	transport|potassium ion transport|ion transport
C4ZT83	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
C4ZW99	phosphorylation
P04425	glutathione biosynthetic process
P45757	transport
C4ZXC2	carbohydrate transport
B1XB15	aromatic compound catabolic process
C4ZQD6	oxidation-reduction process
B1XBB8	transport
P0AG30	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent
P64530	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZZY9	metabolic process
P0A9P6	response to stress
P13960	plasmid maintenance|DNA replication
C4ZY12	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A955	metabolic process
C4ZYJ8	tRNA processing|methylation
C4ZXA7	methylation
P0AF63	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X9W0	transport|proton transport|ion transport|ATP biosynthetic process
P25516	tricarboxylic acid cycle
P69228	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P07654	transport|phosphate transport
P17444	oxidation-reduction process|response to stress
B1X9B7	response to stress
B1X7Q9	transport
P0ACR0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZR95	oxidation-reduction process
B1XAZ2	methylation|rRNA processing
C4ZVW9	carbohydrate metabolic process
B1XCA8	pantothenate biosynthetic process
P0AEW1	oxidation-reduction process
B1XFV4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P64602	transport
P05052	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A840	metabolic process
P0ACP5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77608	aromatic compound catabolic process
P0A800	transcription, DNA-dependent
P24240	metabolic process
B1XD48	lipid biosynthetic process|lipid A biosynthetic process
B1X9W8	methylation|rRNA processing
P0ABV2	bacteriocin transport|transport|protein transport
C5A0H3	metabolic process
P0AEL0	transport|electron transport chain
P27844	transport
B1X9Z7	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent
C4ZY91	transport|electron transport chain
C4ZQ74	methylation|rRNA processing|rRNA methylation
P0AGK1	ubiquinone biosynthetic process
B1XE90	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0CF81	transposition|DNA recombination
P16688	phosphonate transport
B1X8T2	oxidation-reduction process
C4ZSH9	galactitol metabolic process
P39404	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZXW8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQ07	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
C5A0R6	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
P04995	DNA repair|response to DNA damage stimulus
P0A8V6	fatty acid metabolic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent|lipid metabolic process
C4ZQ36	phosphorylation
C4ZTN8	metabolic process
B1XAP2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X6I9	translational elongation|translation
P77570	carbohydrate metabolic process|phosphorylation
C4ZS57	transport
B1XA77	alanine metabolic process|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1X683	flagellum organization|transcription, DNA-dependent|regulation of transcription, DNA-dependent
P0AEZ1	oxidation-reduction process|cellular amino acid biosynthetic process|methionine biosynthetic process
P0AA43	rRNA processing
C4ZPU1	DNA replication|response to stress
B1XGK5	arginine metabolic process
B1X878	transport
P77171	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XB23	carbohydrate transport
B1XEY7	two-component signal transduction system (phosphorelay)
P30864	regulation of transcription, DNA-dependent|transcription, DNA-dependent
Q46833	transport
P0A8T1	methylation
B1X8J6	glycerol metabolic process|phosphorylation
B1XC31	transport
B1X9Z0	oxidation-reduction process|cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
B1X953	carbohydrate metabolic process
P39398	carbohydrate transport|transport
P0A738	Mo-molybdopterin cofactor biosynthetic process
P0A9V5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XC67	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
P0AFI9	transport
P69423	transport|protein transport|transmembrane transport
P76611	DNA integration|DNA recombination
P0AD65	response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization|metabolic process
P31434	metabolic process
C4ZVC8	oxidation-reduction process
P07821	transport|ion transport|iron ion homeostasis
P77161	oxidation-reduction process
C4ZXT9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZYN1	response to stress
P77257	transport
P33363	metabolic process
P10384	transport|lipid transport
P52097	tRNA processing
B1X9U7	carbohydrate metabolic process
B1X7J4	phosphorylation
P0A9H1	DNA repair|metabolic process|response to DNA damage stimulus
B1XFR0	protein folding|response to stress
P0AC86	glycogen metabolic process|carbohydrate metabolic process|metabolic process
P0A6Y1	transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation
C4ZTU7	barrier septum formation|cell cycle|cell division
P0AD01	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
C4ZVI1	transport
P23877	transport|ion transport|iron ion homeostasis
B8LFD5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XBA4	cellular amino acid biosynthetic process|methionine biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent
P45562	transport
B1X9Q4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQ44	lipopolysaccharide biosynthetic process
P0ACX3	oxidation-reduction process
P09835	transport|carbohydrate transport|two-component signal transduction system (phosphorelay)|phosphorylation
P09836	carbohydrate transport|transport
B1XEK9	glycolysis|phosphorylation
P07639	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
B1XDM6	DNA repair|response to DNA damage stimulus
P37641	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P06720	carbohydrate metabolic process|metabolic process
P68646	transport|electron transport chain
P76214	response to stress
B1XBX7	transport|cobalamin transport|ion transport
C4ZZ03	transport|phosphate transport
P0ACS5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZR57	methylation
B1X6S9	cobalamin biosynthetic process
P0A8M0	translation
B1XF88	nucleotide metabolic process
P0ABP3	transport
C4ZYI6	lipid biosynthetic process|fatty acid biosynthetic process
P0ABQ2	oxidation-reduction process
B1X7H5	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
B1XGM5	phosphorylation
B1X984	methylation
P08839	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
Q47005	nitrate assimilation|transcription, DNA-dependent|regulation of transcription, DNA-dependent
P04968	cellular amino acid biosynthetic process|isoleucine biosynthetic process|branched chain family amino acid biosynthetic process|metabolic process
B1XDA1	oxidation-reduction process
C5A019	fatty acid metabolic process|lipid catabolic process|lipid metabolic process
B1X8I5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P07102	metabolic process
Q46911	oxidation-reduction process
P46022	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1XBZ1	response to stress
P33591	transport|nickel ion transport
P75806	response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
C4ZZ25	transport|potassium ion transport|ion transport
P0AAK1	transport|electron transport chain
P0AAC8	iron-sulfur cluster assembly
B1XFX3	transport|sodium ion transport|ion transport
P60782	phospholipid biosynthetic process
B1XHA3	methylation|rRNA processing
C5A146	alanine metabolic process|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
P18956	glutathione biosynthetic process
B1XCW9	phosphorylation
P0ABL3	transport|electron transport chain
P76119	transposition|DNA recombination
C4ZUC6	oxidation-reduction process
P0A6S7	oxidation-reduction process|phospholipid biosynthetic process
C4ZYR3	oxidation-reduction process
P0A853	tryptophan catabolic process
P0CF89	transposition|DNA recombination
B1XG73	DNA repair|metabolic process|response to DNA damage stimulus
P0ADG1	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
P69348	mRNA cleavage|transcription, DNA-dependent|regulation of transcription, DNA-dependent
B1X660	transport
C5A017	ubiquinone biosynthetic process
C4ZRC5	cellular amino acid biosynthetic process|arginine biosynthetic process
P0A8I1	DNA repair|response to DNA damage stimulus|DNA recombination
P0A9C0	oxidation-reduction process
P0A9S5	oxidation-reduction process|glycerol metabolic process
P10906	transport
B1XCR9	methylation
C4ZYL9	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
B1XG88	methylation|rRNA processing
C4ZQM5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AFE0	oxidation-reduction process
P76249	amino acid transport|transport
C4ZRQ1	cobalamin transport
P0A6J5	oxidation-reduction process
P0AE28	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
C5A0M3	purine nucleotide metabolic process|nucleotide metabolic process
P32143	phosphorylation
B1X607	phosphorylation
P0ABG4	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
C4ZRJ7	coenzyme A biosynthetic process|phosphorylation
B1XFC4	methylation
P09030	DNA repair|response to DNA damage stimulus
C4ZVU9	phosphorylation
B1X852	transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation
C4ZZA2	oxidation-reduction process|arginine metabolic process
B1X889	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XDL1	fucose metabolic process|carbohydrate metabolic process
P69789	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P0ABB0	transport|proton transport|ion transport|ATP biosynthetic process
C4ZSG4	transport
D0VEY2	lipid A biosynthetic process|lipid biosynthetic process|phosphorylation
C4ZXC9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X9H8	response to antibiotic|transport
C4ZR68	regulation of transcription, DNA-dependent|transcription, DNA-dependent
