Accession	Molecular Function (Uniprot)
P77434	L-alanine:2-oxoglutarate aminotransferase activity
P0AGE4	neutral amino acid:sodium symporter activity
P76316	D-cysteine desulfhydrase activity
P60472	di-trans,poly-cis-decaprenylcistransferase activity
P0A8K8	cadmium ion binding|manganese ion binding|zinc ion binding|L-threonine 3-dehydrogenase activity
P0A9K9	unfolded protein binding|peptidyl-prolyl cis-trans isomerase activity|nickel ion binding|zinc ion binding
P76474	substrate-specific transmembrane transporter activity
P0AD42	tRNA-specific adenosine deaminase activity
P52095	intramolecular transferase activity
P0AEY3	nucleoside-triphosphate diphosphatase activity
P0A937	protein binding, bridging
P39300	manganese ion binding|L-ascorbate 6-phosphate lactonase activity
P13000	dethiobiotin synthase activity
P64606	phospholipid binding|phospholipid transporter activity
P40191	magnesium ion binding|pyridoxal kinase activity|ATP binding
P27128	lipopolysaccharide 3-alpha-galactosyltransferase activity
P76547	D-sedoheptulose 7-phosphate isomerase activity
P23522	2-dehydro-3-deoxyglucarate aldolase activity
P69210	spermidine transmembrane transporter activity
P78067	sulfurtransferase activity
P0AF73	rRNA (guanosine-2'-O-)-methyltransferase activity
P00926	D-serine ammonia-lyase activity|pyridoxal phosphate binding|hydro-lyase activity
P77214	copper ion binding|transition metal ion binding|copper chaperone activity
P37692	transferase activity, transferring glycosyl groups
P16095	L-serine ammonia-lyase activity
P77150	pyridoxal kinase activity
P23909	mismatched DNA binding|adenine/cytosine mispair binding|ATPase activity
P0A6R3	sequence-specific DNA binding
Q59385	glutaminase activity
Q47149	endoribonuclease activity
P0AC13	dihydropteroate synthase activity
P0A7D4	adenylosuccinate synthase activity
P0A8G6	FMN binding|oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor
P0AAN3	nickel ion binding|GTPase activity|zinc ion binding
P09151	acetyl-CoA C-acetyltransferase activity
P0A9P9	gluconate 5-dehydrogenase activity
P45394	galactose binding
Q46893	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity
P33226	electron carrier activity
P75736	thiolester hydrolase activity|carboxylesterase activity
P60595	glutamate-ammonia ligase activity
P52074	glycolate dehydrogenase activity
P0A9B6	NAD binding|erythrose-4-phosphate dehydrogenase activity|glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
P0AEW4	ferrous iron binding|3',5'-cyclic-AMP phosphodiesterase activity
P24228	endopeptidase activity|serine-type D-Ala-D-Ala carboxypeptidase activity|carboxypeptidase activity|penicillin binding
P31142	3-mercaptopyruvate sulfurtransferase activity
P0ADV1	glycolipid transporter activity
P77522	4 iron, 4 sulfur cluster binding
P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity
P0A7T3	structural constituent of ribosome
P77239	copper ion binding|transition metal ion binding
P75897	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
P24173	transferase activity, transferring glycosyl groups
P28224	lysozyme inhibitor activity
P0A7Z4	zinc ion binding
P15723	manganese ion binding|dGTPase activity|magnesium ion binding|cobalt ion binding|GTPase activity
P0AEC3	two-component sensor activity|histidine phosphotransfer kinase activity
P76630	efflux transmembrane transporter activity|L-valine transmembrane transporter activity
P36659	bent DNA binding
P27243	O antigen ligase activity
P11553	L-fuculokinase activity
P32056	GDP-glucosidase activity|manganese ion binding|magnesium ion binding
Q46925	pyridoxal phosphate binding|sulfurtransferase activity
P0A6P9	phosphopyruvate hydratase activity|protein binding|magnesium ion binding
P0AAB4	3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity
P0A7V3	structural constituent of ribosome|SSU rRNA binding
P76008	carboxypeptidase activity
P96329	glutaminase activity
P76245	diguanylate cyclase activity
P0A9C9	manganese ion binding|fructose 1,6-bisphosphate 1-phosphatase activity
P27253	cobalamin binding|methylmalonyl-CoA mutase activity
P0AFG8	lipoic acid binding|dihydrolipoyllysine-residue acetyltransferase activity
P32662	chloride ion binding|magnesium ion binding|phosphoglycolate phosphatase activity
P77712	acyl-CoA thioesterase activity
P06134	zinc ion binding
Q47269	bubble DNA binding
P39414	antiporter activity
P37313	dipeptide transporter activity|heme transporter activity
P17443	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity
P76339	protein kinase activity
P0A843	protein transporter activity
P30750	ATPase activity|D-methionine transmembrane transporter activity|ATP binding
P33234	sequence-specific DNA binding transcription factor activity
P03856	N-acetylmuramoyl-L-alanine amidase activity
P32137	cadmium ion transmembrane transporter activity|ferrous iron transmembrane transporter activity|zinc efflux active transmembrane transporter activity
Q46810	cytidylyltransferase activity
P19926	glucose-1-phosphatase activity|3-phytase activity|protein homodimerization activity
P0AAI3	manganese ion binding|CTPase activity|ATPase activity|zinc ion binding
P52101	two-component sensor activity
P0AFH2	tripeptide transporter activity|oligopeptide-transporting ATPase activity
P22564	ribosylpyrimidine nucleosidase activity|purine nucleosidase activity|adenosine nucleosidase activity|uridine nucleosidase activity|inosine nucleosidase activity
P26459	electron carrier activity|oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor
P0ADZ4	structural constituent of ribosome|rRNA binding
P76562	tRNA binding|tRNA N-acetyltransferase activity
P21888	cysteine-tRNA ligase activity|RNA binding|zinc ion binding|metal ion binding|ATP binding
P77671	allantoinase activity|cobalt ion binding|zinc ion binding
P0ACG8	single-stranded RNA binding|DNA binding|ribosomal large subunit binding
P69822	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
P37353	o-succinylbenzoate-CoA ligase activity
P69783	CTP synthase activity
P39406	rRNA (guanine-N2-)-methyltransferase activity
P80644	FMN reductase activity
P21693	ADP binding|DNA/RNA helicase activity|RNA helicase activity|ATP-dependent 3'-5' RNA helicase activity|rRNA binding|ATPase activity|ATP binding
P0AEK7	electron carrier activity|formate dehydrogenase (NAD+) activity
P0AG24	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity
P0ABZ4	3-deoxy-manno-octulosonate-8-phosphatase activity
P41409	ribosylpyrimidine nucleosidase activity|uridine nucleosidase activity|calcium ion binding
P00509	L-aspartate:2-oxoglutarate aminotransferase activity|pyridoxal phosphate binding|L-tyrosine:2-oxoglutarate aminotransferase activity|kynurenine-oxoglutarate transaminase activity
P27838	ferric iron binding|ferrous iron binding
P31660	2-methylcitrate synthase activity
P0A6X3	bent DNA binding
P75713	ureidoglycine aminohydrolase activity|manganese ion binding
P0ABT8	transmembrane transporter activity
P69503	adenine phosphoribosyltransferase activity|magnesium ion binding|identical protein binding
P23524	kinase activity
P37909	electron carrier activity|2 iron, 2 sulfur cluster binding
P26365	N-acetylmuramoyl-L-alanine amidase activity
P36930	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) activity
P76541	zinc ion binding
P75728	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity
P0ACY3	protein kinase activity
P16384	tRNA dimethylallyltransferase activity
P75946	enzyme binding
P0AA16	two-component response regulator activity
P25772	DNA ligase (NAD+) activity
P62623	ribosylpyrimidine nucleosidase activity|purine nucleosidase activity|adenosine nucleosidase activity|uridine nucleosidase activity|inosine nucleosidase activity
Q47719	protein-lysine N-methyltransferase activity
P75989	sequence-specific DNA binding transcription factor activity
P08178	pyridoxal phosphate binding|metal ion binding|ligase activity
P0AC23	formate transmembrane transporter activity
P0AEP1	galactose:hydrogen symporter activity
P0A8Z0	acyl-CoA thioesterase activity
P37019	chloride ion binding|solute:hydrogen antiporter activity|anion binding
A5A628	metal ion binding
P0A6C8	acetylornithine deacetylase activity
P0AF98	lipopolysaccharide-transporting ATPase activity
P0ACN4	sequence-specific DNA binding transcription factor activity
P33590	nickel ion binding|heme binding
P0A9F1	sequence-specific DNA binding transcription factor activity
P33195	glycine dehydrogenase (decarboxylating) activity
P69212	spermidine transmembrane transporter activity
P0A825	glycine hydroxymethyltransferase activity|zinc ion binding
P51981	racemase and epimerase activity, acting on amino acids and derivatives
P41407	azobenzene reductase activity|FMN binding
P14900	UDP-N-acetylmuramoylalanine-D-glutamate ligase activity
P0AG07	ribulose-phosphate 3-epimerase activity
P39835	gluconate transmembrane transporter activity
P11868	propionate kinase activity|acetate kinase activity
P67430	sequence-specific DNA binding transcription factor activity
A5A619	triose-phosphate isomerase activity
P76081	2 iron, 2 sulfur cluster binding|flavin adenine dinucleotide binding
P0AFK6	polyamine-transporting ATPase activity
P0AA04	enzyme activator activity
P37689	manganese ion binding|2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity
P0ADC3	lipoprotein transporter activity
P0A6J8	D-alanine-D-alanine ligase activity
P0AF26	metallochaperone activity
P75804	quinoprotein glucose dehydrogenase activity|pyrroloquinoline quinone binding|oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor|calcium ion binding
P62617	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
P40874	N-methyl-L-amino-acid oxidase activity
P21179	catalase activity|heme binding
P11447	argininosuccinate synthase activity|ATP binding
P76149	succinate-semialdehyde dehydrogenase [NAD(P)+] activity|succinate-semialdehyde dehydrogenase activity
P17315	colicin transmembrane transporter activity|siderophore transmembrane transporter activity
P0A8D6	ribonuclease inhibitor activity
P27305	ATP binding
P39301	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
P75908	diguanylate cyclase activity
P0A6K3	peptide deformylase activity|zinc ion binding
P0AE18	metalloaminopeptidase activity|ferrous iron binding
P61316	lipoprotein transporter activity
P21170	arginine decarboxylase activity
P33345	hydrolase activity, acting on ester bonds
P0ACT2	sequence-specific DNA binding transcription factor activity
P76577	peptidoglycan glycosyltransferase activity|drug binding
P77354	lysozyme inhibitor activity
P77215	L-rhamnonate dehydratase activity
P0C0K3	protein serine/threonine kinase activity
P77806	pyridoxal phosphate binding|methionine-oxo-acid transaminase activity
P0AC53	glucose-1-phosphate adenylyltransferase activity
P42632	formate C-acetyltransferase activity
P39831	3-hydroxypropionate dehydrogenase (NADP+) activity|serine 3-dehydrogenase activity
P30843	protein histidine kinase activity|transferase activity, transferring phosphorus-containing groups|ATP binding
P34749	DNA binding
P0AE06	drug transmembrane transporter activity
P0A9Q7	acetaldehyde dehydrogenase (acetylating) activity|alcohol dehydrogenase (NAD) activity
P0ABF8	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
P69908	glutamate decarboxylase activity
P33599	oxidoreduction-driven active transmembrane transporter activity|NADH dehydrogenase (ubiquinone) activity
P77510	two-component sensor activity
P22255	3'(2'),5'-bisphosphate nucleotidase activity|magnesium ion binding
P75987	anti-sigma factor antagonist activity
P75820	N-acetyl-anhydromuramoyl-L-alanine amidase activity|zinc ion binding|N-acetylmuramoyl-L-alanine amidase activity
P0AA70	transmembrane transporter activity
P0ADG7	zinc ion binding
P33602	4 iron, 4 sulfur cluster binding|oxidoreduction-driven active transmembrane transporter activity|2 iron, 2 sulfur cluster binding
P60906	histidine-tRNA ligase activity|protein homodimerization activity
P0AFG6	lipoic acid binding|dihydrolipoyllysine-residue succinyltransferase activity|binding
P08192	dihydrofolate synthase activity|tetrahydrofolylpolyglutamate synthase activity
P0AE82	two-component sensor activity
Q9S4X5	amino acid binding|carbamoyl-phosphate synthase activity|nucleotide binding|metal ion binding|ATP binding
P0A6L0	deoxyribose-phosphate aldolase activity
P17115	arabinose-5-phosphate isomerase activity
P0A6L2	dihydrodipicolinate synthase activity
P0AD59	lysozyme inhibitor activity
P25519	ribosome binding|rRNA binding|GTP binding|ATP binding
P52061	nucleoside-triphosphate diphosphatase activity|magnesium ion binding
P30860	arginine binding
P37003	4 iron, 4 sulfur cluster binding
P13857	peptide alpha-N-acetyltransferase activity|ribosomal-protein-alanine N-acetyltransferase activity
P0ACI6	amino acid binding|sequence-specific DNA binding transcription factor activity
P0C0R7	rRNA (uridine-2'-O-)-methyltransferase activity
P0A9Q5	mRNA binding|DNA binding|zinc ion binding
P0A9W0	L-ascorbic acid binding
P0A6T3	galactokinase activity
Q46896	5'-flap endonuclease activity|crossover junction endodeoxyribonuclease activity
P37747	UDP-galactopyranose mutase activity
P76469	protein binding|aldehyde-lyase activity|nickel ion binding|magnesium ion binding
P80668	4-hydroxyphenylacetaldehyde dehydrogenase activity|phenylacetaldehyde dehydrogenase activity
P0AEN8	racemase and epimerase activity, acting on carbohydrates and derivatives
P00579	sigma factor activity
P0AB77	pyridoxal phosphate binding|metal ion binding|ligase activity
P0AES6	DNA-dependent ATPase activity|DNA topoisomerase (ATP-hydrolyzing) activity|DNA binding|ATP binding
P0ADV7	phospholipid binding
P13482	alpha,alpha-trehalase activity
P03004	sequence-specific DNA binding
P37646	cyclic-guanylate-specific phosphodiesterase activity
P69922	L-fucose isomerase activity|arabinose isomerase activity
P75864	rRNA (guanine-N2-)-methyltransferase activity
P0ABU0	bicarbonate binding|1,4-dihydroxy-2-naphthoyl-CoA synthase activity
P23882	methionyl-tRNA formyltransferase activity
P0AC44	electron carrier activity|heme binding
P0A8B5	DNA binding
P0A9M0	ATP-dependent peptidase activity|DNA binding|ATP binding|serine-type endopeptidase activity
Q9JMS3	structural constituent of ribosome
P76535	ether hydrolase activity|carbon-oxygen lyase activity
P0A9X9	RNA binding|single-stranded DNA binding|DNA binding
P23894	metalloendopeptidase activity|zinc ion binding
P0A8Y3	glucose-1-phosphatase activity
P76242	transmembrane transporter activity
P04693	aromatic-amino-acid:2-oxoglutarate aminotransferase activity|pyridoxal phosphate binding|L-tyrosine:2-oxoglutarate aminotransferase activity
P38097	diguanylate cyclase activity
P25539	5-amino-6-(5-phosphoribosylamino)uracil reductase activity|NADP binding|diaminohydroxyphosphoribosylaminopyrimidine deaminase activity
P69874	polyamine-transporting ATPase activity|ATP binding
P15047	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity
P0ACI0	pyridoxine 5'-phosphate synthase activity
P0A7R5	structural constituent of ribosome|tRNA binding
P0AF16	lipid transporter activity
P0A940	unfolded protein binding
P33570	transketolase activity
P63883	N-acetylmuramoyl-L-alanine amidase activity
P17846	4 iron, 4 sulfur cluster binding|heme binding
P0AF18	N-acetylglucosamine-6-phosphate deacetylase activity|zinc ion binding
P0A7C2	DNA binding
P77526	disulfide oxidoreductase activity
P0AEB2	serine-type D-Ala-D-Ala carboxypeptidase activity|carboxypeptidase activity|penicillin binding
P40711	aminoacyl-tRNA hydrolase activity
P37773	acid-amino acid ligase activity
P0A8L1	serine-tRNA ligase activity|magnesium ion binding
P0A7W7	translation repressor activity|rRNA binding
P27829	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity
P77218	phosphate acetyltransferase activity
P42593	dihydrodipicolinate synthase activity
P08322	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity
P30011	nicotinate-nucleotide diphosphorylase (carboxylating) activity
P37680	L-ribulose-phosphate 4-epimerase activity
P31133	putrescine-importing ATPase activity
P0C0S1	mechanically-gated ion channel activity
P67087	rRNA (cytosine-2'-O-)-methyltransferase activity
P0AEP9	glycolate dehydrogenase activity
P0AC19	dihydroneopterin triphosphate 2'-epimerase activity
P0A948	ribosomal-protein-alanine N-acetyltransferase activity
P46891	nucleoside-diphosphatase activity
P37047	sequence-specific DNA binding transcription factor activity
P69428	protein transporter activity|proton motive force dependent protein transmembrane transporter activity
P0AFL1	putrescine-importing ATPase activity
Q46790	allantoate deiminase activity|manganese ion binding|protein homodimerization activity|zinc ion binding
P10378	(2,3-dihydroxybenzoyl)adenylate synthase activity
P32053	prophage integrase activity
P00448	superoxide dismutase activity|antioxidant activity|metal ion binding
P0AGL7	rRNA (uridine-N3-)-methyltransferase activity
P39208	gluconokinase activity
P39371	racemase and epimerase activity, acting on carbohydrates and derivatives
P0AAG0	dipeptide transporter activity|heme transporter activity
P0AGD3	superoxide dismutase activity|iron ion binding
P02918	peptidoglycan glycosyltransferase activity|serine-type D-Ala-D-Ala carboxypeptidase activity
P76491	nucleotidase activity|cobalt ion binding
Q46865	endoribonuclease activity
P36881	manganese ion binding|agmatinase activity
P66899	diaminopropionate ammonia-lyase activity
P45425	N-acylmannosamine kinase activity
P0ACV0	transferase activity
P31119	long-chain fatty acid [acyl-carrier-protein] ligase activity|acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity
P69451	oleic acid binding|long-chain fatty acid-CoA ligase activity
P06983	hydroxymethylbilane synthase activity
P76027	peptidoglycan peptide transporter activity
P0A6A3	acetate kinase activity|zinc ion binding
P37647	2-dehydro-3-deoxygluconokinase activity
P76514	nucleotidase activity|cobalt ion binding
P76084	CoA hydrolase activity
P08201	nitrite reductase [NAD(P)H] activity
P31553	carnitine transporter activity
P32176	molybdopterin cofactor binding
P0A7Z0	ribose-5-phosphate isomerase activity
P0AD68	peptidoglycan glycosyltransferase activity|penicillin binding
P21829	sugar-phosphatase activity|pyridoxal phosphatase activity|magnesium ion binding|phosphotransferase activity, alcohol group as acceptor
P31135	putrescine-importing ATPase activity
P0AFV4	endopeptidase activity
P04391	ornithine carbamoyltransferase activity
P42630	L-serine ammonia-lyase activity
P33667	tRNA 2-selenouridine synthase activity
P30126	intramolecular transferase activity
P15373	enzyme binding|sequence-specific DNA binding transcription factor activity
P0A9T0	phosphoglycerate dehydrogenase activity|2-hydroxyglutarate dehydrogenase activity
P33941	peptide transporter activity
P29208	hydro-lyase activity
P14294	DNA topoisomerase type I activity
P0AC35	aromatic-amino-acid:2-oxoglutarate aminotransferase activity|L-leucine:2-oxoglutarate aminotransferase activity|pyridoxal phosphate binding|protein homodimerization activity|L-tyrosine:2-oxoglutarate aminotransferase activity
P0ABL8	heme-transporting ATPase activity
P60720	transferase activity|catalytic activity
P0ABQ4	dihydroorotase activity|zinc ion binding
P0ACE7	adenosine 5'-monophosphoramidase activity
P0AF67	identical protein binding
P75954	peptidoglycan L,D-transpeptidase activity|transferase activity, transferring amino-acyl groups|cysteine-type carboxypeptidase activity
P0ACG1	DNA binding
P0AAR0	DNA binding
P77374	selenate reductase activity
P0A8P6	tyrosine-based site-specific recombinase activity|DNA binding|site-specific recombinase activity
P0A9M2	protein serine/threonine kinase activity|protein serine/threonine phosphatase activity|[isocitrate dehydrogenase (NADP+)] kinase activity|AMP binding|ATP binding
P68398	tRNA-specific adenosine deaminase activity
P0A9V8	4-hydroxybutyrate dehydrogenase activity
P36837	dipeptide transporter activity|tripeptide transporter activity|symporter activity
P13039	enterochelin esterase activity
P69910	magnesium ion binding|glutamate 5-kinase activity
P32718	glucokinase activity|allose kinase activity
Q9JMS6	electron carrier activity|flavin adenine dinucleotide binding
P0AAU7	thiolester hydrolase activity|carboxylesterase activity
P52600	phosphopyruvate hydratase activity|protein binding|magnesium ion binding
P62517	transferase activity, transferring glycosyl groups
P25534	2-octaprenyl-6-methoxyphenol hydroxylase activity
P16703	cysteine synthase activity|L-cysteine desulfhydrase activity
P06710	nucleoside-triphosphatase activity|ATPase activity|DNA polymerase processivity factor activity
P0AA39	pseudouridine synthase activity
P37351	ribose-5-phosphate isomerase activity|allose 6-phosphate isomerase activity
P0ABK2	electron carrier activity|oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor|iron ion binding|heme binding
P0AEE8	site-specific DNA-methyltransferase (adenine-specific) activity
P77395	unfolded protein binding|protein disulfide isomerase activity
P41065	L-rhamnose isomerase activity
P0AFF0	oxidoreduction-driven active transmembrane transporter activity|NADH dehydrogenase (ubiquinone) activity
P0A8Y1	5'-nucleotidase activity
P77338	mechanically-gated ion channel activity
P0AA84	phospholipase D activity|cardiolipin synthase activity
P68183	maltooligosaccharide-importing ATPase activity|maltose-transporting ATPase activity
Q46851	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
P0A898	nickel ion binding
P33022	ribosylpyrimidine nucleosidase activity|uridine nucleosidase activity|calcium ion binding
P77044	hydrolase activity|protein homodimerization activity
P68679	structural constituent of ribosome
P60664	imidazoleglycerol-phosphate synthase activity
P21514	cyclic-guanylate-specific phosphodiesterase activity
P39829	galactarate dehydratase activity
P31125	efflux transmembrane transporter activity
P0A850	protein binding involved in protein folding|peptidyl-prolyl cis-trans isomerase activity|ribosome binding
P77488	thiamine pyrophosphate binding|1-deoxy-D-xylulose-5-phosphate synthase activity
P0A9M8	zinc ion binding|phosphate acetyltransferase activity
P46852	quercetin 2,3-dioxygenase activity
P0A9H9	prephenate dehydrogenase activity|protein homodimerization activity|chorismate mutase activity
P18148	endonuclease activity
P0AFK4	polyamine-transporting ATPase activity
P0A847	queuine tRNA-ribosyltransferase activity|zinc ion binding
P76045	porin activity
P65870	6-carboxy-5,6,7,8-tetrahydropterin synthase activity
P37330	malate synthase activity
P0ABJ3	hydrogen ion transmembrane transporter activity|electron carrier activity|oxidoreduction-driven active transmembrane transporter activity|cytochrome bo3 ubiquinol oxidase activity
P76010	cyclic-di-GMP binding
P0A959	L-alanine:2-oxoglutarate aminotransferase activity
P08204	ribulokinase activity
P0AFP2	damaged DNA binding
P21507	ATP-dependent RNA helicase activity
P39453	two-component sensor activity|intramolecular transferase activity, phosphotransferases|protein homodimerization activity|phosphoprotein phosphatase activity|transferase activity, transferring phosphorus-containing groups
P62601	alpha,alpha-trehalase activity
P36553	manganese ion binding|tetrapyrrole binding|coproporphyrinogen oxidase activity
P46136	L-tryptophan transmembrane transporter activity|L-tyrosine transmembrane transporter activity|L-phenylalanine transmembrane transporter activity
P0AG63	structural constituent of ribosome|SSU rRNA binding
P0AEP7	tartronate-semialdehyde synthase activity|thiamine pyrophosphate binding
P37387	xylose isomerase activity
P0ABJ9	electron carrier activity|oxidoreductase activity, acting on diphenols and related substances as donors|heme binding
P39306	L-ribulose-phosphate 4-epimerase activity
P0ACY9	isovaleryl-CoA dehydrogenase activity|sequence-specific DNA binding|DNA binding
P31979	4 iron, 4 sulfur cluster binding|NAD binding
P23841	sequence-specific DNA binding transcription factor activity
P75893	flavin reductase activity
P39315	oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor
P76256	metallopeptidase activity|identical protein binding
P45578	S-ribosylhomocysteine lyase activity
P0A9V1	lipopolysaccharide-transporting ATPase activity
P68187	maltooligosaccharide-importing ATPase activity|maltose-transporting ATPase activity
P0ADF8	acetolactate synthase activity|transketolase activity
P0A7S9	structural constituent of ribosome
P0ABW3	electron carrier activity|2 iron, 2 sulfur cluster binding
P77757	phosphotransferase activity, for other substituted phosphate groups
P0A8Y8	hydrolase activity, acting on ester bonds|thiolester hydrolase activity
P0A9D4	serine O-acetyltransferase activity
P05523	damaged DNA binding|DNA N-glycosylase activity|DNA-(apurinic or apyrimidinic site) lyase activity|zinc ion binding|endonuclease activity
P42592	glucosidase activity
P0AEJ2	isochorismate synthase activity
P30125	3-isopropylmalate dehydrogenase activity|sequence-specific DNA binding transcription factor activity
P77783	selenate reductase activity
P0A8N3	ligase activity|lysine-tRNA ligase activity
P0ACB4	oxygen-dependent protoporphyrinogen oxidase activity|FMN binding|menaquinone-dependent protoporphyrinogen oxidase activity
P78285	lysozyme activity
P33224	isovaleryl-CoA dehydrogenase activity|sequence-specific DNA binding|DNA binding
P36771	sequence-specific DNA binding
P75957	lipoprotein transporter activity
P18775	4 iron, 4 sulfur cluster binding|electron carrier activity|molybdenum ion binding|iron ion binding
P76473	transferase activity, transferring pentosyl groups
P0AC78	drug binding|magnesium ion binding|phospho-N-acetylmuramoyl-pentapeptide-transferase activity
P77454	glutaminase activity
P75830	malate dehydrogenase activity
P0A749	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity
P0A9A9	zinc ion binding
Q46845	disulfide oxidoreductase activity|protein homodimerization activity
P77455	enoyl-CoA hydratase activity
P0A725	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity|deacetylase activity
P62615	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity
P69441	magnesium ion binding|AMP binding|adenylate kinase activity|ATP binding
P60723	translation repressor activity
P0AFF4	o-succinylbenzoate-CoA ligase activity
P76458	two-component sensor activity|ATP binding
P0ACU2	sequence-specific DNA binding transcription factor activity
P37028	cobalamin binding
P77247	sugar-phosphatase activity|glucose-6-phosphatase activity|2-deoxyglucose-6-phosphatase activity|metal ion binding
P14376	two-component sensor activity
P32169	rhamnulose-1-phosphate aldolase activity
P37749	lipopolysaccharide-1,6-galactosyltransferase activity
P07862	D-alanine-D-alanine ligase activity
P0AAF1	putrescine-importing ATPase activity
P17109	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity|thiamine pyrophosphate binding
P0A9L8	NADP binding|pyrroline-5-carboxylate reductase activity
P0A8N5	magnesium ion binding|ligase activity|lysine-tRNA ligase activity|ATP binding
P75688	protein complex scaffold
P00634	oxidoreductase activity, acting on phosphorus or arsenic in donors
P77398	hydroxymethyl-, formyl- and related transferase activity|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
P75782	rRNA (adenine-N6-)-methyltransferase activity
P0CF13	sulfathiazole transporter activity
P75792	sugar-phosphatase activity
P0ACJ0	sequence-specific DNA binding
P37642	transporter activity
P31057	3-isopropylmalate dehydrogenase activity|sequence-specific DNA binding transcription factor activity
P30844	two-component sensor activity|protein histidine kinase activity|ATP binding
P76038	gamma-glutamyl-gamma-aminobutyrate hydrolase activity
P0AER0	glycerol channel activity
P39344	L-idonate transmembrane transporter activity|gluconate transmembrane transporter activity
P32715	sulfathiazole transporter activity
P0C0L7	solute:hydrogen symporter activity|uniporter activity
P0A9C3	aldose 1-epimerase activity
P0AED7	succinyl-diaminopimelate desuccinylase activity
P0AF32	electron carrier activity
P37610	taurine dioxygenase activity|iron ion binding
P28248	dCTP deaminase activity
P0A705	translation initiation factor activity
P0ADP7	protein transporter activity|proton motive force dependent protein transmembrane transporter activity
P0AE08	peroxidase activity|peroxiredoxin activity
P33232	FMN binding|lactate dehydrogenase activity
P0AB65	acylphosphatase activity
P76129	magnesium ion binding|heme binding|cyclic-guanylate-specific phosphodiesterase activity
P0ABP8	purine-nucleoside phosphorylase activity
P63228	D,D-heptose 1,7-bisphosphate phosphatase activity|zinc ion binding
P38035	sequence-specific DNA binding transcription factor activity
P76052	succinate-semialdehyde dehydrogenase [NAD(P)+] activity
P39276	peptide:hydrogen symporter activity
P0A7V0	structural constituent of ribosome|zinc ion binding
P39220	phosphatidylglycerophosphatase activity|undecaprenyl-diphosphatase activity
P0ABN1	diacylglycerol kinase activity
P0AAX8	peptidoglycan L,D-transpeptidase activity|transferase activity, transferring amino-acyl groups|cysteine-type carboxypeptidase activity
P63386	phospholipid transporter activity
P27248	glutamate dehydrogenase (NADP+) activity
Q46806	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
P30192	acetaldehyde dehydrogenase (acetylating) activity
P31572	carnitine dehydratase activity
P00803	peptidase activity|toxin binding
P28861	ferredoxin-NADP+ reductase activity
P0CF84	tyrosine-based site-specific recombinase activity|DNA binding|site-specific recombinase activity
P37340	antibiotic transporter activity
P0AD57	orotidine-5'-phosphate decarboxylase activity
P0ABI8	hydrogen ion transmembrane transporter activity|electron carrier activity|ubiquinone binding|cytochrome bo3 ubiquinol oxidase activity|oxidoreduction-driven active transmembrane transporter activity|copper ion binding|heme binding
P0AEF8	dipeptide transporter activity
P75853	alkanesulfonate transporter activity
P36562	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity
P0A968	single-stranded DNA binding|RNA binding|protein homodimerization activity
P45464	enzyme binding
P06960	ornithine carbamoyltransferase activity
P77555	ureidoglycolate dehydrogenase activity
Q9JMS8	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity
Q9JMT3	phosphogluconate dehydrogenase (decarboxylating) activity
P50457	pyridoxal phosphate binding|4-aminobutyrate transaminase activity
