Accession	Biological Process (EcoliWiki)
P0AE76	cobalamin biosynthetic process
P0AG24	nucleobase, nucleoside and nucleotide interconversion
P0AEK7	cytochrome complex assembly|cellular respiration|anaerobic respiration
P00509	aspartate biosynthetic process
P41409	pyrimidine ribonucleoside catabolic process
P0A9H5	cobalamin biosynthetic process
P31660	propionate metabolic process, methylcitrate cycle
P27838	protein complex assembly
P0A6X3	negative regulation of translation, ncRNA-mediated
P0ABT8	transmembrane transport
P0ABD5	fatty acid biosynthetic process
P69503	adenine salvage
P37909	ferredoxin metabolic process|coenzyme metabolic process
P23524	D-galactarate catabolic process|D-glucarate catabolic process
Q47083	positive regulation of sulfur utilization
P75728	ubiquinone biosynthetic process
P75946	peptidoglycan biosynthetic process
P16384	cellular response to heat|tRNA modification
P0AA16	two-component signal transduction system (phosphorelay)
P31554	Gram-negative-bacterium-type cell outer membrane assembly|lipopolysaccharide transport|response to organic substance
P25772	DNA ligation
Q47719	N-terminal peptidyl-alanine trimethylation|peptidyl-lysine trimethylation
P62623	ribonucleoside catabolic process
P0ABH0	cell division|cytokinesis
P31469	bacteriocin immunity
P0AC23	formate transport
P0AEP1	galactose transport
P0AD70	response to drug
P37019	nitrate transport|chloride transport
P10031	cell adhesion
P0AF98	lipopolysaccharide transport
P33590	negative chemotaxis
P19769	response to DNA damage stimulus
P69212	spermidine transport
P39835	gluconate transport
P0A6Q3	fatty acid biosynthetic process
P11868	anaerobic amino acid catabolic process|threonine catabolic process
A5A619	gluconeogenesis|glycolysis
P64519	cellular response to hydrogen peroxide|cellular response to acidity|single-species biofilm formation on inanimate substrate
P30958	DNA repair|regulation of transcription, DNA-dependent|transcription-coupled nucleotide-excision repair, DNA damage recognition
P0AFK6	polyamine transport
P0AGE9	tricarboxylic acid cycle
P0ADC3	lipoprotein transport
P0AF26	chaperone-mediated protein complex assembly
P62617	ubiquinone biosynthetic process
P21179	hydrogen peroxide catabolic process
P37671	negative regulation of transcription, DNA-dependent
P76149	gamma-aminobutyric acid catabolic process|arginine catabolic process|putrescine catabolic process
P17315	iron assimilation
P0A8D6	negative regulation of nuclease activity
P27305	tRNA wobble base modification
P31574	carnitine metabolic process
P75962	cellular component movement
P39301	phosphoenolpyruvate-dependent sugar phosphotransferase system
P75908	negative regulation of cellular component movement
P0A6K3	N-terminal protein amino acid modification
P0AE18	protein initiator methionine removal
P61316	lipoprotein transport
P33345	response to DNA damage stimulus
P21170	arginine catabolic process|putrescine biosynthetic process
P75992	biofilm formation
P76577	peptidoglycan biosynthetic process
P75856	pilus organization
P17411	carbohydrate catabolic process
P0AC53	glycogen biosynthetic process
P42632	threonine catabolic process|anaerobic respiration
P39831	uracil catabolic process
P30843	response to iron(III) ion|peptidyl-histidine phosphorylation|two-component signal transduction system (phosphorelay)
P34749	transport|carbon utilization
P0AE06	response to drug
P64508	cellular response to stress|cellular response to heat
P69908	intracellular pH elevation
P33599	anaerobic respiration
P77510	protein autophosphorylation|cellular response to organic substance|peptidyl-histidine phosphorylation|two-component signal transduction system (phosphorelay)
P75987	cellular response to magnesium starvation|negative regulation of protein catabolic process
P22255	sulfate assimilation
P75820	peptidoglycan catabolic process
P46482	response to chemical stimulus|carboxylic acid transport
P0A9U3	response to cold
P0AA70	transmembrane transport
P77335	cytolysis in other organism|hemolysis in other organism
P77468	pilus organization
P76500	cell adhesion
P33602	anaerobic respiration|aerobic respiration
P60906	histidyl-tRNA aminoacylation
P0AFG6	tricarboxylic acid cycle
P39282	galactose transport
P08192	10-formyltetrahydrofolate biosynthetic process|folic acid biosynthetic process
P0AE82	protein autophosphorylation|two-component signal transduction system (phosphorelay)
Q9S4X5	cellular amino acid biosynthetic process|pyrimidine base biosynthetic process
P0A6L0	nucleobase, nucleoside and nucleotide interconversion|carbohydrate catabolic process|deoxyribonucleotide catabolic process
P32696	cellular response to stress|phage shock
P41069	cellular response to hydrogen peroxide|single-species biofilm formation on inanimate substrate
P17115	biofilm formation
P0A6L2	diaminopimelate biosynthetic process
P0AG86	protein targeting|protein transport by the Sec complex
P25519	response to heat
P0AAD8	amino acid transport
P52061	nucleoside triphosphate catabolic process
P30860	arginine transport
P37003	response to oxidative stress|iron-sulfur cluster assembly|cellular response to iron ion starvation|carbon utilization
P13857	N-terminal peptidyl-serine acetylation|N-terminal protein amino acid acetylation
P32688	extracellular polysaccharide biosynthetic process
P0ACI6	response to amino acid stimulus
P0C0R7	enzyme-directed rRNA 2'-O-methylation
P0A9Q5	negative regulation of translation|fatty acid biosynthetic process
P0A6T3	galactose catabolic process via UDP-galactose|galactose metabolic process|phosphorylation
Q46896	response to DNA damage stimulus
P0AB49	cellular response to hydrogen peroxide|cellular response to cadmium ion|single-species biofilm formation on inanimate substrate
P80668	4-nitrophenol catabolic process|NAD biosynthetic process
P00579	response to heat
P0AES6	DNA topological change|response to drug|DNA-dependent DNA replication
P0AFM6	response to heat
P0ADV7	phospholipid transport
P02359	translation
P13482	cellular hyperosmotic response|trehalose catabolic process
P03004	regulation of DNA replication|DNA-dependent DNA replication
P37646	cell motility
P69922	D-arabinose catabolic process|L-fucose catabolic process
P0AFW8	regulation of transcription termination, DNA-dependent
P75864	rRNA base methylation|rRNA methylation
P23882	charged-tRNA amino acid modification
P0ABU0	menaquinone biosynthetic process
P09148	galactose metabolic process
P0A7W1	translation
P0AC44	cytochrome complex assembly|aerobic respiration
P0AD83	transcriptional attenuation|pyrimidine nucleotide biosynthetic process|pyrimidine base biosynthetic process
P0A8B5	response to stress
P0A9M0	proteolysis|response to heat|response to stress
Q9JMS3	translation
P76535	amino sugar catabolic process|peptidoglycan turnover
P0A9X9	response to cold|negative regulation of transcription termination, DNA-dependent
P0AFF6	transcription antitermination
P23894	proteolysis|response to temperature stimulus
P0C058	response to heat
P04693	tyrosine biosynthetic process|L-phenylalanine biosynthetic process|aspartate biosynthetic process
P76242	transmembrane transport
P39394	mRNA catabolic process|SOS response|response to DNA damage stimulus
P0A9E5	response to nitric oxide
P0AD89	tryptophan catabolic process|transcriptional attenuation by ribosome
P25539	riboflavin biosynthetic process
P15047	enterobactin biosynthetic process
P0ACI0	pyridoxine biosynthetic process
P0A7R5	translation|transcription antitermination
P0AF16	peptidoglycan biosynthetic process|lipid translocation
P0A940	protein insertion into membrane|Gram-negative-bacterium-type cell outer membrane assembly
P0AF18	N-acetylglucosamine catabolic process
P33666	response to DNA damage stimulus
P77526	response to oxidative stress
P0ADC1	lipopolysaccharide biosynthetic process
P0AEB2	peptidoglycan metabolic process|cellular cell wall macromolecule metabolic process|cell division
P40711	rescue of stalled ribosome
P0A7W7	translation|regulation of mRNA stability
P0A8L1	selenocysteine biosynthetic process|seryl-tRNA aminoacylation
P42593	diaminopimelate biosynthetic process
P30011	de novo NAD biosynthetic process from aspartate|NAD biosynthetic process
P37680	pentose catabolic process|L-lyxose metabolic process
P31133	putrescine transport
P0C0S1	cellular water homeostasis
P67087	enzyme-directed rRNA 2'-O-methylation
P64442	cellular response to stress|biofilm formation
P77774	protein insertion into membrane|Gram-negative-bacterium-type cell outer membrane assembly
P0AEP9	glycolate catabolic process
P0AC19	folic acid-containing compound metabolic process
P46891	thiamine biosynthetic process
P0A948	N-terminal protein amino acid acetylation
P43319	cell adhesion involved in single-species biofilm formation
Q46790	allantoin assimilation pathway
P0AFL1	putrescine transport
P10378	enterobactin biosynthetic process
P67601	cellular response to stress|cellular response to heat
P00448	oxidation-reduction process|superoxide metabolic process|removal of superoxide radicals
P32053	provirus excision
P0AGL7	rRNA base methylation
P15288	peptide catabolic process
P64548	flagellar cell motility
P0AGD3	oxidation-reduction process|superoxide metabolic process|response to superoxide|removal of superoxide radicals
P0AAG0	dipeptide transport
P02918	response to drug
P64481	SOS response|response to DNA damage stimulus
P76491	dUMP biosynthetic process
Q46865	negative regulation of translation|single-species biofilm formation|regulation of mRNA stability
P36881	putrescine biosynthetic process
P33997	positive regulation of transcription, DNA-dependent|biofilm formation
P45425	N-acetylneuraminate catabolic process
P0ACV0	lipid A biosynthetic process
P31119	fatty acid metabolic process|phospholipid biosynthetic process
P06983	peptidyl-pyrromethane cofactor linkage|heme biosynthetic process
P69451	acyl-CoA metabolic process|fatty acid beta-oxidation|fatty acid metabolic process|phospholipid biosynthetic process
P76027	peptidoglycan-associated peptide transport
P37647	D-glucuronate catabolic process|D-galacturonate catabolic process
P31553	carnitine transport
P32176	cellular respiration|anaerobic respiration
P0AD68	response to drug|cell division
P31135	putrescine transport
P0A6Z3	response to heat
P42630	cellular amino acid catabolic process
P75780	microcin transport
P33667	tRNA wobble uridine modification
P30126	leucine biosynthetic process
P15373	regulation of cell growth
P0AB24	response to antibiotic|response to zinc ion|ferrous iron transport|response to DNA damage stimulus
P37050	cell adhesion
P0A9T0	L-serine biosynthetic process
P33941	response to antibiotic|peptide transport
P18392	protein autophosphorylation|peptidyl-histidine phosphorylation|two-component signal transduction system (phosphorelay)
P29208	menaquinone biosynthetic process
P0AC35	leucine biosynthetic process|tyrosine biosynthetic process|tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate|L-phenylalanine biosynthetic process from chorismate via phenylpyruvate|L-phenylalanine biosynthetic process|aspartate biosynthetic process
P60720	protein modification process|lipoate biosynthetic process
P0ABQ4	'de novo' pyrimidine base biosynthetic process
P32132	response to cold|translation
P0AAA1	response to acidity
P75954	peptidoglycan-protein cross-linking|Gram-negative-bacterium-type cell wall biogenesis
P76250	positive regulation of transcription, DNA-dependent|malate metabolic process
P0AAR0	single-species biofilm formation
P0A8P6	plasmid recombination|plasmid maintenance|DNA recombination
P68398	tRNA wobble adenosine to inosine editing
P0A9M2	peptidyl-serine phosphorylation|regulation of catalytic activity
P0A9V8	toxin catabolic process
P18196	regulation of cell division
P13039	iron ion transport
P36837	dipeptide transport|oligopeptide transport|tripeptide transport
P52644	response to heat
P37745	response to antibiotic|response to DNA damage stimulus
P69910	proline biosynthetic process
P32718	D-allose catabolic process
Q9JMS6	flagellum assembly|ciliary or flagellar motility|fermentation|anaerobic respiration
P52600	glycolysis
P62517	glucan biosynthetic process|response to osmotic stress
P10905	glycerol-3-phosphate transport|glycerol-2-phosphate transport
P16703	cysteine biosynthetic process from serine
P25534	response to oxidative stress|ubiquinone biosynthetic process|response to light stimulus
P06710	DNA-dependent DNA replication
P0AA39	rRNA pseudouridine synthesis|enzyme-directed rRNA pseudouridine synthesis
P37351	D-allose catabolic process
P0AEE8	mismatch repair|DNA-dependent DNA replication
P0ABK2	cytochrome complex assembly
P0A8A8	ribosomal small subunit assembly
P41065	rhamnose catabolic process|L-lyxose metabolic process
P0AFF0	anaerobic respiration|aerobic respiration
P0A8Y1	response to xenobiotic stimulus
P76015	monosaccharide catabolic process
P77338	cellular water homeostasis
P68183	maltodextrin transport|maltose transport
P0A898	ribosomal small subunit biogenesis|response to heat|translation
P33352	cellular component movement
P33022	pyrimidine ribonucleoside catabolic process
P39399	galactonate catabolic process
P77044	aromatic compound catabolic process
P68679	translation
P60664	histidine biosynthetic process
P0AB98	ATP synthesis coupled proton transport
P0A7E1	cellular amino acid biosynthetic process|diaminopimelate biosynthetic process
P0AAV6	cellular response to stress
P0A734	regulation of barrier septum formation
P39829	D-galactarate catabolic process
P77488	ubiquinone biosynthetic process|pyridoxine biosynthetic process|thiamine biosynthetic process
P0A850	protein complex assembly|'de novo' cotranslational protein folding
P31125	cysteine export
P0A9M8	acetyl-CoA biosynthetic process from acetate|acetate biosynthetic process|threonine catabolic process to propionate|acetate catabolic process
P38036	defense response to virus
P0A9H9	tyrosine biosynthetic process|L-phenylalanine biosynthetic process
P18148	mismatch repair
Q6BF17	D-galactonate catabolic process
P0A847	tRNA wobble guanine modification|queuosine biosynthetic process
P0AEU7	protein folding|protein insertion into membrane from inner side|protein stabilization|intracellular protein transmembrane transport|Gram-negative-bacterium-type cell outer membrane assembly
P0AFK4	polyamine transport
P64614	cellular response to hydrogen peroxide|cellular response to acidity|single-species biofilm formation on inanimate substrate
P0A6G7	response to heat
P37330	glyoxylate catabolic process
P76010	regulation of cellular component movement|flagellar cell motility
P0ABJ3	electron transport coupled proton transport|aerobic electron transport chain
P0A959	response to antibiotic|L-alanine biosynthetic process from pyruvate|response to DNA damage stimulus
P08204	arabinose catabolic process|L-arabinose catabolic process
P0AFP2	DNA repair
P21507	ribosomal large subunit assembly
P39453	protein autophosphorylation|cellular response to organic substance|two-component signal transduction system (phosphorelay)|anaerobic respiration
P62601	cellular hyperosmotic response|trehalose catabolic process
P0AG63	response to antibiotic|translation
P46136	phenylalanine transport|tyrosine transport|tryptophan transport
P36553	heme biosynthetic process|protoporphyrinogen IX biosynthetic process from glutamate
P0AEP7	glyoxylate catabolic process|glycolate catabolic process
P37387	D-xylose catabolic process
P0ABJ9	cytochrome complex assembly
P75733	chitin metabolic process
P39306	L-ascorbic acid metabolic process
P0A6D0	plasmid recombination
P0ACY9	cellular response to stress
P0A6S5	cell division
P10408	protein transport
P75893	nitrogen utilization|pyrimidine base catabolic process|uracil catabolic process
P31979	anaerobic respiration|aerobic respiration
P45470	response to UV|response to oxidative stress|response to pH|response to heat
P11557	cytokinesis
P45578	cell-cell signaling involved in quorum sensing|L-methionine biosynthetic process from S-adenosylmethionine|generation of a signal involved in cell-cell signaling
P46481	response to chemical stimulus|carboxylic acid transport
P0A9V1	lipopolysaccharide transport
P68187	maltodextrin transport|maltose transport
P0A7S9	translation
P0ADF8	isoleucine biosynthetic process|valine biosynthetic process
P0ABW3	ferredoxin metabolic process|coenzyme metabolic process
P04036	cellular amino acid biosynthetic process|diaminopimelate biosynthetic process
P0AAC0	cellular response to UV|cellular response to hydrogen peroxide|single-species biofilm formation|response to stress|flagellar cell motility
P0A8Y8	enterobactin biosynthetic process
P0A9D4	cysteine biosynthetic process from serine
P05523	response to DNA damage stimulus
P0AEJ2	enterobactin biosynthetic process
P64604	cellular response to stress
P0CE45	cytokinesis
P30125	leucine biosynthetic process|cellular response to amino acid starvation
P0A6Y5	response to heat
P76323	flagellar cell motility
P0A8N3	lysyl-tRNA aminoacylation|translation
P0ACB4	heme biosynthetic process
P78285	lytic viral release
P20083	sister chromatid cohesion|plasmid partitioning
P0A8D3	thiamine metabolic process
P33224	cellular response to stress
P75957	lipoprotein transport
P33916	microcin transport
P76473	response to iron(III) ion|lipopolysaccharide biosynthetic process
P18775	anaerobic respiration
P77454	response to acidity
P0AFW2	cellular response to stress
P75830	glycolysis|malate metabolic process|tricarboxylic acid cycle|fermentation|anaerobic respiration
P27434	regulation of cell shape|peptidoglycan biosynthetic process
P0A725	lipid A biosynthetic process
P77455	phenylacetate catabolic process
P75863	toxin catabolic process
P69441	purine ribonucleotide interconversion|purine ribonucleotide biosynthetic process
P62615	ubiquinone biosynthetic process
P75858	cell adhesion involved in single-species biofilm formation
P76546	negative regulation of phosphate metabolic process
P76458	protein autophosphorylation|two-component signal transduction system (phosphorelay)
P0AFF4	menaquinone biosynthetic process
P14376	protein autophosphorylation|cellular response to osmotic stress|single-species biofilm formation|two-component signal transduction system (phosphorelay)
P32169	rhamnose catabolic process
P0AAF1	putrescine transport
P33913	microcin transport
P0ABA0	ATP synthesis coupled proton transport
P17109	menaquinone biosynthetic process
P18034	protein refolding
P0A8N5	lysyl-tRNA aminoacylation|translation
P67662	regulation of transcription, DNA-dependent
P0A903	protein insertion into membrane|Gram-negative-bacterium-type cell outer membrane assembly
P75782	rRNA base methylation
P64550	cellular response to stress
P0A8G3	D-glucuronate catabolic process|D-galacturonate catabolic process
P0ACJ0	response to leucine|regulation of transcription, DNA-dependent
P0CF13	drug transmembrane transport|sulfathiazole transport
Q47156	negative regulation of molecular function|regulation of transcription, DNA-dependent
P37642	transport
P60566	carnitine metabolic process
P02930	response to organic cyclic compound|enterobactin transport
P31057	leucine biosynthetic process|cellular response to amino acid starvation
P25746	response to heat
P76038	putrescine catabolic process
P30844	response to iron(III) ion|peptidyl-histidine phosphorylation|two-component signal transduction system (phosphorelay)
P0AER0	glycerol transport
P0AAX6	colanic acid biosynthetic process
P39344	carbohydrate transport|gluconate transport|L-idonate transport
P32715	sulfathiazole transport
P09348	ciliary or flagellar motility
P0C0L7	proline transport|amino acid transport|transport|hyperosmotic salinity response|response to osmotic stress
P0A9C3	galactose catabolic process via UDP-galactose
P0AF32	anaerobic respiration
P37610	sulfur compound metabolic process
P0AE08	xenobiotic metabolic process
P0ADP7	intracellular protein transmembrane transport
P33232	lactate metabolic process|L-fucose catabolic process|aerobic respiration
P0ABP8	purine nucleoside interconversion|purine nucleoside catabolic process
P63228	lipopolysaccharide core region biosynthetic process
P75994	biofilm formation
P76052	gamma-aminobutyric acid catabolic process
P0A7V0	translation
P39276	dipeptide transport
P0AAX8	peptidoglycan-protein cross-linking|Gram-negative-bacterium-type cell wall biogenesis
P0ABN1	phosphatidic acid biosynthetic process
P39220	glycerophospholipid biosynthetic process|peptidoglycan biosynthetic process
P76236	negative regulation of flagellar cell motility
P63386	phospholipid transport
P27248	glutamate biosynthetic process
Q46806	pyrimidine base catabolic process
P31572	carnitine catabolic process
P0ABU9	bacteriocin transport
P0A9E0	arabinose catabolic process
P00803	proteolysis|protein processing
P0ABH7	tricarboxylic acid cycle
P28861	response to drug|fructose catabolic process
P0CF84	plasmid maintenance|DNA recombination
P0AD57	nucleobase, nucleoside and nucleotide interconversion|'de novo' pyrimidine base biosynthetic process
P37340	response to antibiotic|antibiotic transport|cellular response to reactive oxygen species
P0ABI8	electron transport coupled proton transport|aerobic electron transport chain
P75853	alkanesulfonate transport|sulfur compound metabolic process
P0AEF8	dipeptide transport
P0A855	bacteriocin transport|protein import
P0AC65	positive regulation of oxidoreductase activity
P24182	negative regulation of fatty acid biosynthetic process|fatty acid biosynthetic process
P36562	cobalamin biosynthetic process
P0A968	negative regulation of DNA replication
P45464	peptidoglycan biosynthetic process
P75895	nitrogen utilization|pyrimidine base catabolic process|uracil catabolic process
Q9JMS8	ubiquinone biosynthetic process
P77555	allantoin assimilation pathway
P39160	D-glucuronate catabolic process
P50457	putrescine catabolic process
P0AFZ5	negative regulation of cytokinesis|cytokinesis
P0A9P0	oxidation-reduction process|pyruvate metabolic process|glycine decarboxylation via glycine cleavage system|tricarboxylic acid cycle|2-oxoglutarate metabolic process
P0A7T7	translation
P77173	barrier septum formation
P26602	ubiquinone biosynthetic process
P23874	dormancy process
P0ADP0	FMN catabolic process|dormancy process
P0AAI1	alkanesulfonate transport|sulfur compound metabolic process
P33024	microcin transport
P0A9S1	rhamnose catabolic process|propanediol metabolic process|L-fucose catabolic process|glycol catabolic process
P0ABV6	bacteriocin transport
P75990	biofilm formation
P10903	nitrate transport|nitrite transport
P0AGC5	peptidoglycan turnover
P10371	histidine biosynthetic process
P32695	tRNA modification
P16677	alkylphosphonate transport
