Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P69348	yoeB		b4539	JW5331	YOEB_ECOLI		Evidence at protein level	YoeB family	Toxin yoeB (EC 3.1.-.-)	"GO:0006401; GO:0004519; GO:0009405"	"3D-structure; Complete proteome; Endonuclease; Hydrolase; Nuclease; Toxin"	84	
C1P606	yoeI		b4678	JW5330.1	YOEI_ECOLI		Evidence at protein level		Uncharacterized protein yoeI		Complete proteome	20	
P76613	ypjC		b2650	JW5424	YPJC_ECOLI		Uncertain		Putative uncharacterized protein ypjC		Complete proteome	160	
P77136	yqeK		b2849	JW2817	YQEK_ECOLI		Predicted		Uncharacterized protein yqeK		Complete proteome	141	
C1P613	yqeL		b4683	JW5455.1	YQEL_ECOLI		Evidence at protein level		Uncharacterized protein yqeL		Complete proteome	26	
C1P618	yrbN		b4685	JW5531.1	YRBN_ECOLI		Evidence at protein level		Uncharacterized protein yrbN		Complete proteome	26	
P39317	ytfI		b4215	JW5748	YTFI_ECOLI		Predicted		Uncharacterized protein ytfI		Complete proteome	312	
P15078	cstA	ybdC	b0598	JW0590	CSTA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	CstA family	Carbon starvation protein A	"GO:0009267; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Stress response; Transmembrane; Transmembrane helix"	701	
P0AEC8	dcuS	yjdH	b4125	JW4086	DCUS_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Sensor protein dcuS (EC 2.7.13.3)	"GO:0005524; GO:0016021; GO:0018106; GO:0005886; GO:0005515; GO:0006355; GO:0000155; GO:0000160"	"3D-structure; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Transferase; Transmembrane; Transmembrane helix; Two-component regulatory system"	543	
P11551	fucP		b2801	JW2772	FUCP_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Major facilitator superfamily, FHS transporter (TC 2.A.1.7) family	L-fucose-proton symporter (6-deoxy-L-galactose permease) (L-fucose permease)	"GO:0015518; GO:0015755; GO:0006004; GO:0015535; GO:0015517; GO:0016021; GO:0005886"	"3D-structure; Carbohydrate metabolism; Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Fucose metabolism; Membrane; Sugar transport; Symport; Transmembrane; Transmembrane helix; Transport"	438	
P77858	hyfC		b2483	JW2468	HYFC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Complex I subunit 1 family	Hydrogenase-4 component C (EC 1.-.-.-)	"GO:0016021; GO:0055114; GO:0016491; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; NAD; Oxidoreductase; Transmembrane; Transmembrane helix"	315	
P77672	lsrC	ydeY	b1514	JW1507	LSRC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Binding-protein-dependent transport system permease family, AraH/rbsC subfamily	Autoinducer 2 import system permease protein lsrC (AI-2 import system permease protein lsrC)	"GO:0016021; GO:0005886; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	342	
P0AFS1	lsrD	ydeZ	b1515	JW1508	LSRD_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Binding-protein-dependent transport system permease family, AraH/rbsC subfamily	Autoinducer 2 import system permease protein lsrD (AI-2 import system permease protein lsrD)	"GO:0016021; GO:0005886; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	330	
P0AF01	modB	chlJ	b0764	JW0747	MODB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Binding-protein-dependent transport system permease family, CysTW subfamily	Molybdenum transport system permease protein modB	"GO:0016021; GO:0015098; GO:0005886; GO:0005515"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Molybdenum; Transmembrane; Transmembrane helix; Transport"	229	
P0AFA5	nfrB		b0569	JW0558	NFRB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Predicted		Bacteriophage N4 adsorption protein B	"GO:0005524; GO:0009597; GO:0046718; GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Phage recognition; Transmembrane; Transmembrane helix"	745	
P0AFF4	nupG		b2964	JW2932	NUPG_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Nucleoside permease nupG (Nucleoside-transport system protein nupG)	"GO:0005887; GO:0015213"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	418	
P32696	pspG	yjbO	b4050	JW5716	PSPG_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Phage shock protein G	"GO:0016021; GO:0005886; GO:0006950"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Stress response; Transmembrane; Transmembrane helix"	80	
P76425	rcnA	yohM	b2106	JW2093	RCNA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	NiCoT transporter (TC 2.A.52) family, RcnA subfamily	Nickel/cobalt efflux system rcnA	"GO:0006824; GO:0016021; GO:0046872; GO:0015675; GO:0005886; GO:0055085"	"Cell inner membrane; Cell membrane; Cobalt; Cobalt transport; Complete proteome; Ion transport; Membrane; Nickel; Nickel transport; Transmembrane; Transmembrane helix; Transport"	274	
P37746	rfbX	wzx	b2037	JW2022	RFBX_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Polysaccharide synthase family	Putative O-antigen transporter	"GO:0016021; GO:0009103; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Lipopolysaccharide biosynthesis; Membrane; Transmembrane; Transmembrane helix; Transport"	415	
P37748	rfc	yefF	b2035	JW2020	RFC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Predicted		O-antigen polymerase	"GO:0016021; GO:0009103; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Lipopolysaccharide biosynthesis; Membrane; Transmembrane; Transmembrane helix"	388	
P45562	xapB		b2406	JW2397	XAPB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Xanthosine permease (Xanthosine transporter)	"GO:0016021; GO:0055086; GO:0005337; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	418	
P75763	ybhI		b0770	JW0753	YBHI_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	SLC13A transporter (TC 2.A.47) family, SODIT1 subfamily	Inner membrane protein ybhI	"GO:0016021; GO:0005886; GO:0006814; GO:0055085; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	477	
P76197	ydiM		b1690	JW1680	YDIM_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Major facilitator superfamily	Inner membrane transport protein ydiM	"GO:0016021; GO:0005886; GO:0055085; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	404	
P0ABD1	yeaV		b1801	JW5293	YEAV_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	BCCT transporter (TC 2.A.15) family	Uncharacterized transporter YeaV	"GO:0016021; GO:0005886; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	481	
P27843	yigG		b3818	JW5590	YIGG_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Inner membrane protein yigG	GO:0005887	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	126	
P39284	yjeO		b4158	JW4119	YJEO_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Inner membrane protein yjeO	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	104	
P39357	yjhF		b4296	JW4258	YJHF_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	GntP permease family	Uncharacterized permease yjhF	"GO:0015128; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	449	
P39838	rcsD	yojN yojP yojQ	b2216	JW2204	RCSD_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Sensor-like histidine kinase RcsD (EC 2.7.13.3) (Phosphotransfer intermediate RcsD)	"GO:0005524; GO:0016021; GO:0018106; GO:0005886; GO:0005515; GO:0000155; GO:0000160"	"3D-structure; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Transferase; Transmembrane; Transmembrane helix; Two-component regulatory system"	890	
P0AFM9	pspB		b1305	JW1298	PSPB_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at protein level	PspB family	Phage shock protein B	"GO:0016021; GO:0005886; GO:0006950; GO:0006350; GO:0016563"	"Cell inner membrane; Cell membrane; Coiled coil; Complete proteome; Membrane; Stress response; Transmembrane; Transmembrane helix"	74	
P0AFN2	pspC		b1306	JW1299	PSPC_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at protein level	PspC family	Phage shock protein C	"GO:0016021; GO:0005886; GO:0045449; GO:0006950; GO:0006350"	"Activator; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Stress response; Transcription; Transcription regulation; Transmembrane; Transmembrane helix"	119	
P0ABC3	hflC	hflA	b4175	JW4133	HFLC_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level	Band 7/mec-2 family, HflC subfamily	Modulator of FtsH protease HflC	"GO:0016021; GO:0008233; GO:0005886; GO:0005515"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Signal-anchor; Transmembrane; Transmembrane helix"	334	
P0ABC7	hflK	hflA	b4174	JW4132	HFLK_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level	Band 7/mec-2 family, HflK subfamily	Modulator of FtsH protease HflK	"GO:0016021; GO:0005886; GO:0005515; GO:0009408"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Signal-anchor; Transmembrane; Transmembrane helix"	419	
P75910	ycdU		b1029	JW1015	YCDU_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Predicted		Uncharacterized protein ycdU	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	328	
P64485	yeaQ		b1795	JW1784	YEAQ_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology	UPF0410 family	UPF0410 protein yeaQ	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	82	
P31572	caiB	yaaN	b0038	JW0037	CAIB_ECOLI	Cytoplasm. 	Evidence at protein level	CaiB/baiF CoA-transferase family	Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.-)	"GO:0042413; GO:0008735; GO:0005737; GO:0016740"	"3D-structure; Complete proteome; Cytoplasm; Direct protein sequencing; Transferase"	405	
A5A605	ykfM		b4586		YKFM_ECOLI	"Membrane; Multi-pass membrane protein. "	Predicted		Uncharacterized protein ykfM	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	159	
A5A624	dinQ		b4613		DINQ_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at transcript level	DinQ family	Uncharacterized protein dinQ	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	42	
P77494	hokB	ydcB	b4428	JW5225	HOKB_ECOLI	"Membrane; Single-pass membrane protein. "	Inferred from homology	Hok/gef family	Protein hokB	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	49	
C1P616	ibsD		b4664	JW3023.1	IBSD_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at transcript level	Toxic protein ibs family	Small toxic protein ibsD	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	19	
P0AAW9	ybhT		b0762	JW5102	YBHT_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at protein level		Uncharacterized membrane protein ybhT	"GO:0033554; GO:0016021"	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	49	
P76482	yfbL		b2271	JW2266	YFBL_ECOLI	"Membrane; Single-pass membrane protein. "	Predicted		Uncharacterized protein yfbL	"GO:0016021; GO:0008233; GO:0006508"	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	323	
A5A615	yncL		b4598	JW1439.1	YNCL_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at protein level		Uncharacterized protein yncL	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	31	
A5A618	ynhF		b4602	JW1649.1	YNHF_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at protein level		Uncharacterized protein ynhF	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	29	
P76239	yoaI		b1788	JW5885	YOAI_ECOLI	"Membrane; Single-pass membrane protein. "	Predicted		Uncharacterized protein yoaI	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	34	
C1P602	yoaK		b4676	JW5292.1	YOAK_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at protein level		Uncharacterized membrane protein yoaK	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	32	
C1P609	yohP		b4679	JW5358.1	YOHP_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at protein level		Uncharacterized membrane protein yohP	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	27	
C1P610	ypdK		b4680	JW2375.1	YPDK_ECOLI	"Membrane; Single-pass membrane protein. "	Evidence at protein level		Uncharacterized membrane protein ypdK	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	23	
P77381	djlB	ybeS	b0646	JW0641	DJLB_ECOLI		Predicted		Uncharacterized J domain-containing protein djlB	GO:0031072	"Chaperone; Complete proteome"	475	
P77359	djlC	ybeV	b0649	JW0644	DJLC_ECOLI		Predicted		Uncharacterized J domain-containing protein djlC	GO:0031072	"Chaperone; Complete proteome"	483	
P37747	glf	yefE	b2036	JW2021	GLF_ECOLI		Evidence at protein level		UDP-galactopyranose mutase (EC 5.4.99.9)	"GO:0050660; GO:0008767; GO:0009103; GO:0055114; GO:0016491; GO:0005515"	"3D-structure; Complete proteome; Direct protein sequencing; FAD; Flavoprotein; Isomerase; Lipopolysaccharide biosynthesis"	367	
Q6BF86	"ldrA; ldrC"	"; "	b4419	"JW5957;"	LDRA_ECOLI		Evidence at transcript level	Toxic peptide ldr family	Small toxic polypeptide ldrA/ldrC		Complete proteome	35	
P77455	maoC	paaZ ydbN	b1387	JW1382	MAOC_ECOLI		Evidence at transcript level	Aldehyde dehydrogenase family	Protein maoC (Phenylacetic acid degradation protein paaZ)	"GO:0055114; GO:0016491"	"Complete proteome; Oxidoreductase"	681	
P76083	paaH	ydbU	b1395	JW1390	PAAH_ECOLI		Evidence at protein level	3-hydroxyacyl-CoA dehydrogenase family	Probable 3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157) (Beta-hydroxybutyryl-CoA dehydrogenase) (BHBD)	"GO:0008691; GO:0050662; GO:0006631; GO:0055114"	"3D-structure; Complete proteome; Fatty acid metabolism; Lipid metabolism; NADP; Oxidoreductase; Repeat"	475	
Q47536	yaiP		b0363	JW0355	YAIP_ECOLI		Predicted		Uncharacterized protein yaiP		Complete proteome	398	
P75711	ybbV		b0510	JW0498	YBBV_ECOLI		Predicted		Uncharacterized protein ybbV		Complete proteome	92	
P45848	yciQ	yciP	b1268	JW5197	YCIQ_ECOLI		Predicted		Uncharacterized protein yciQ		Complete proteome	631	
A5A617	ydgU		b4601	JW1589	YDGU_ECOLI		Evidence at protein level		Uncharacterized protein ydgU		Complete proteome	27	
Q46901	ygcL		b2760	JW2730	YGCL_ECOLI		Predicted		Uncharacterized protein ygcL		Complete proteome	502	
P45545	yhfS		b3376	JW3339	YHFS_ECOLI		Predicted		Uncharacterized protein yhfS	"GO:0009058; GO:0030170; GO:0016769"	Complete proteome	361	
P75800	yliE		b0833	JW0817	YLIE_ECOLI		Evidence at protein level		Putative cyclic di-GMP phosphodiesterase YliE (EC 3.1.4.52)	GO:0071111	"Complete proteome; Hydrolase; c-di-GMP"	782	
P75786	yliL		b0816	JW5969	YLIL_ECOLI		Predicted		Putative uncharacterized protein yliL		Complete proteome	89	
A5A612	ymgJ		b4594		YMGJ_ECOLI		Predicted		Uncharacterized protein ymgJ		Complete proteome	61	
Q46942	yqeI		b2847	JW2815	YQEI_ECOLI		Predicted		Uncharacterized protein yqeI	"GO:0003677; GO:0005622; GO:0006355; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	269	
C1P601	rzoQ		b4689	JW1545.1	RZOQ_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Putative lipoprotein rzoQ	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	84	
P76481	yfbK		b2270	JW2265	YFBK_ECOLI		Evidence at protein level		Uncharacterized protein yfbK	GO:0005515	Complete proteome	575	
P0AAG3	gltL		b0652	JW0647	GLTL_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Inferred from homology	ABC transporter superfamily	Glutamate/aspartate transport ATP-binding protein gltL	"GO:0005524; GO:0016887; GO:0006865; GO:0005886"	"ATP-binding; Amino-acid transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Nucleotide-binding; Transport"	241	
P36937	kdpF		b4513	JW0687	KDPF_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Predicted		Protein kdpF	GO:0005886	"Cell inner membrane; Cell membrane; Complete proteome; Membrane"	29	
P77257	lsrA	ego ydeX	b1513	JW1506	LSRA_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Evidence at protein level	ABC transporter superfamily, AI-2 autoinducer porter (TC 3.A.1.2.8) family	Autoinducer 2 import ATP-binding protein lsrA (AI-2 import ATP-binding protein lsrA) (EC 3.6.3.-) (EGO10A)	"GO:0005524; GO:0016887; GO:0005886; GO:0005515; GO:0006810"	"ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Membrane; Nucleotide-binding; Repeat; Transport"	511	
P09833	modC	chlD narD	b0765	JW0748	MODC_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Evidence at protein level	ABC transporter superfamily, Molybdate importer (TC 3.A.1.8) family	Molybdenum import ATP-binding protein ModC (EC 3.6.3.29)	"GO:0005524; GO:0043190; GO:0009276; GO:0015412; GO:0030151; GO:0042888; GO:0005886; GO:0005515"	"ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Membrane; Molybdenum; Nucleotide-binding; Transport"	352	
P31060	modF	phrA	b0760	JW0743	MODF_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Inferred from homology	ABC transporter superfamily	Putative molybdenum transport ATP-binding protein modF (Photorepair protein phrA)	"GO:0005524; GO:0016887; GO:0006281; GO:0005886; GO:0006810"	"ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; DNA damage; DNA repair; Membrane; Molybdenum; Nucleotide-binding; Repeat; Transport"	490	
P37388	xylG		b3567	JW3539	XYLG_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Evidence at protein level	ABC transporter superfamily, Xylose importer (TC 3.A.1.2.4) family	Xylose import ATP-binding protein XylG (EC 3.6.3.17)	"GO:0005524; GO:0015611; GO:0015614; GO:0005886"	"ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Membrane; Nucleotide-binding; Repeat; Sugar transport; Transport"	513	
P0AFM6	pspA		b1304	JW1297	PSPA_ECOLI	"Cytoplasm. Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. "	Evidence at protein level	PspA/IM30 family	Phage shock protein A	"GO:0005737; GO:0005886; GO:0005515; GO:0009408"	"Cell inner membrane; Cell membrane; Coiled coil; Complete proteome; Cytoplasm; Direct protein sequencing; Membrane; Stress response"	222	
P0AFV8	pspD		b1307	JW1300	PSPD_ECOLI	"Cytoplasm. Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. "	Evidence at transcript level	PspD family	Phage shock protein D	"GO:0005737; GO:0005886; GO:0006950"	"Cell inner membrane; Cell membrane; Complete proteome; Cytoplasm; Membrane; Stress response"	73	
C1P605	azuC		b4663	JW1891.1	AZUC_ECOLI	"Membrane; Peripheral membrane protein. "	Evidence at protein level		Uncharacterized protein AzuC	GO:0016020	"Complete proteome; Membrane"	28	
P77667	sufA	ydiC	b1684	JW1674	SUFA_ECOLI		Evidence at protein level	HesB/iscA family	Protein sufA	"GO:0051537; GO:0016226; GO:0042803; GO:0006979; GO:0005198"	"3D-structure; Complete proteome"	122	
P76639	ygeH		b2852	JW2820	YGEH_ECOLI		Evidence at protein level		Uncharacterized protein ygeH	"GO:0003677; GO:0005622; GO:0005515; GO:0006355; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; TPR repeat; Transcription; Transcription regulation"	458	
P0ACG4	hokC	gef	b4412	JW5002	HOKC_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level	Hok/gef family	Protein hokC (Protein gef)	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Disulfide bond; Membrane; Signal-anchor; Transmembrane; Transmembrane helix"	50	
P28721	gltF		b3214	JW3181	GLTF_ECOLI	"Cell membrane; Single-pass membrane protein. "	Predicted		Protein gltF	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane helix"	254	
Q46943	yqeJ		b2848	JW5455	YQEJ_ECOLI	"Membrane; Single-pass membrane protein. "	Predicted		Uncharacterized protein yqeJ	GO:0016021	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	160	
P46883	tynA	maoA	b1386	JW1381	AMO_ECOLI	Periplasm. 	Evidence at protein level	Copper/topaquinone oxidase family	Primary amine oxidase (EC 1.4.3.21) (2-phenylethylamine oxidase) (Copper amine oxidase) (Tyramine oxidase)	"GO:0009308; GO:0005507; GO:0055114; GO:0042597; GO:0008131; GO:0048038"	"3D-structure; Calcium; Complete proteome; Copper; Direct protein sequencing; Metal-binding; Oxidoreductase; Periplasm; Signal; TPQ"	757	
P0AEE5	mglB		b2150	JW2137	DGAL_ECOLI	Periplasm. 	Evidence at protein level	Bacterial solute-binding protein 2 family	D-galactose-binding periplasmic protein (GBP) (D-galactose/ D-glucose-binding protein) (GGBP)	"GO:0008643; GO:0006935; GO:0042597"	"3D-structure; Calcium; Chemotaxis; Complete proteome; Direct protein sequencing; Periplasm; Signal; Sugar transport; Transport"	332	
P0AEG4	dsbA	dsf ppfA	b3860	JW3832	DSBA_ECOLI	Periplasm. 	Evidence at protein level	Thioredoxin family, DsbA subfamily	Thiol:disulfide interchange protein dsbA	"GO:0045454; GO:0071236; GO:0030288; GO:0005515; GO:0003756; GO:0015035; GO:0006457"	"3D-structure; Complete proteome; Direct protein sequencing; Disulfide bond; Periplasm; Redox-active center; Signal"	208	
P37329	modA		b0763	JW0746	MODA_ECOLI	Periplasm. 	Evidence at protein level	Bacterial solute-binding protein modA family	Molybdate-binding periplasmic protein	"GO:0015412; GO:0030288"	"3D-structure; Complete proteome; Direct protein sequencing; Molybdenum; Periplasm; Signal; Transport"	257	
P23857	pspE		b1308	JW1301	PSPE_ECOLI	Periplasm. 	Evidence at protein level		Thiosulfate sulfurtransferase PspE (TST) (EC 2.8.1.1) (Phage shock protein E)	"GO:0042597; GO:0006950; GO:0004792"	"3D-structure; Complete proteome; Direct protein sequencing; Periplasm; Signal; Stress response; Transferase"	104	
P33342	yehC		b2110	JW2097	YEHC_ECOLI	Periplasm. 	Inferred from homology	Periplasmic pilus chaperone family	Uncharacterized fimbrial chaperone yehC	"GO:0007047; GO:0030288; GO:0005515"	"Chaperone; Complete proteome; Fimbrium biogenesis; Immunoglobulin domain; Periplasm; Signal"	239	
P28722	yhcA		b3215	JW3182	YHCA_ECOLI	Periplasm. 	Evidence at protein level	Periplasmic pilus chaperone family	Uncharacterized fimbrial chaperone yhcA	"GO:0007047; GO:0030288; GO:0005515"	"Chaperone; Complete proteome; Fimbrium biogenesis; Immunoglobulin domain; Periplasm; Signal"	224	
P75616	yaaX		b0005	JW0004	YAAX_ECOLI		Predicted		Uncharacterized protein yaaX		"Complete proteome; Signal"	98	
P37325	ybcH		b0567	JW0556	YBCH_ECOLI		Predicted		Uncharacterized protein ybcH		"Complete proteome; Signal"	296	
P76394	yegJ		b2071	JW2056	YEGJ_ECOLI		Predicted		Uncharacterized protein yegJ		Complete proteome	153	
P33340	yehA		b2108	JW2095	YEHA_ECOLI		Predicted		Uncharacterized protein yehA	"GO:0007155; GO:0009289"	"Complete proteome; Signal"	344	
P33343	yehD		b2111	JW2098	YEHD_ECOLI		Predicted		Uncharacterized protein yehD	"GO:0007155; GO:0009289"	"Complete proteome; Signal"	180	
P33344	yehE		b2112	JW2099	YEHE_ECOLI		Predicted		Uncharacterized protein yehE		"Complete proteome; Signal"	93	
P77619	yfeW		b2430	JW5395	YFEW_ECOLI		Inferred from homology	UPF0214 family	UPF0214 protein yfeW		"Complete proteome; Signal"	434	
P45422	yhcF		b3219	JW3188	YHCF_ECOLI		Predicted		Uncharacterized protein yhcF		"Complete proteome; Signal"	238	
P64534	yohN		b2107	JW5346	YOHN_ECOLI		Predicted		Uncharacterized protein yohN		"Complete proteome; Signal"	112	
P31600	nfrA		b0568	JW0557	NFRA_ECOLI	Cell outer membrane. 	Predicted		Bacteriophage N4 adsorption protein A	"GO:0005488; GO:0009279; GO:0009597; GO:0046718; GO:0005886"	"Cell membrane; Cell outer membrane; Complete proteome; Membrane; Phage recognition; Repeat; Signal; TPR repeat"	990	
P06129	btuB	bfe cer dcrC	b3966	JW3938	BTUB_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Evidence at protein level	TonB-dependent receptor family, BtuB (TC 1.B.14.3.1) subfamily	Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator)	"GO:0009279; GO:0015889; GO:0009597; GO:0046718; GO:0006811; GO:0046872; GO:0005886; GO:0046930; GO:0015288; GO:0005515; GO:0004872"	"3D-structure; Calcium; Cell membrane; Cell outer membrane; Complete proteome; Direct protein sequencing; Ion transport; Membrane; Metal-binding; Phage recognition; Porin; Receptor; Signal; TonB box; Transmembrane; Transmembrane beta strand; Transport"	614	
P06971	fhuA	tonA	b0150	JW0146	FHUA_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Evidence at protein level	TonB-dependent receptor family	Ferrichrome-iron receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake)	"GO:0009279; GO:0048037; GO:0009597; GO:0046718; GO:0016021; GO:0005506; GO:0005886; GO:0004872; GO:0015343; GO:0015643; GO:0046790"	"3D-structure; Cell membrane; Cell outer membrane; Complete proteome; Direct protein sequencing; Disulfide bond; Ion transport; Iron; Iron transport; Membrane; Phage recognition; Receptor; Signal; TonB box; Transmembrane; Transmembrane beta strand; Transport"	747	
