Locus	Gene Symbol	Common Name	EC Number	5' End	3' End	DNA molecule	
b2266	elaB	orf, hypothetical protein	 	2379047	2378742	Chromosome Escherichia coli K12-MG1655	
b2270	yfbK	orf, hypothetical protein	 	2383742	2382015	Chromosome Escherichia coli K12-MG1655	
b2279	nuoK	NADH dehydrogenase I chain K	 	2393365	2393063	Chromosome Escherichia coli K12-MG1655	
b2280	nuoJ	NADH dehydrogenase I chain J	1.6.5.3	2393916	2393362	Chromosome Escherichia coli K12-MG1655	
b2307	hisM	histidine transport, membrane protein M	 	2423253	2422537	Chromosome Escherichia coli K12-MG1655	
b2319	usg	putative PTS system enzyme II A component	 	2434669	2433656	Chromosome Escherichia coli K12-MG1655	
b2322	 	putative transport protein	 	2438140	2436962	Chromosome Escherichia coli K12-MG1655	
b2328	mepA	murein DD-endopeptidase, penicillin-insensitive	3.4.99.-	2444404	2443580	Chromosome Escherichia coli K12-MG1655	
b2339	 	putative fimbrial-like protein	 	2453666	2453103	Chromosome Escherichia coli K12-MG1655	
b2343	 	orf, hypothetical protein	 	2458978	2458670	Chromosome Escherichia coli K12-MG1655	
b2347	yfdC	putative transport	 	2463321	2464253	Chromosome Escherichia coli K12-MG1655	
b2350	 	orf, hypothetical protein	 	2465875	2466237	Chromosome Escherichia coli K12-MG1655	
b2365	dsdX	transport system permease (serine?)	 	2475867	2477204	Chromosome Escherichia coli K12-MG1655	
b2367	emrY	multidrug resistance protein Y	 	2480196	2478658	Chromosome Escherichia coli K12-MG1655	
b2369	evgA	putative positive transcription regulator (sensor EvgS)	 	2481775	2482389	Chromosome Escherichia coli K12-MG1655	
b2387	 	putative PTS system enzyme IIB component	 	2506262	2505936	Chromosome Escherichia coli K12-MG1655	
b2389	 	orf, hypothetical protein	 	2507650	2508906	Chromosome Escherichia coli K12-MG1655	
b2390	 	orf, hypothetical protein	 	2509021	2509347	Chromosome Escherichia coli K12-MG1655	
b2391	 	orf, hypothetical protein	 	2509085	2509429	Chromosome Escherichia coli K12-MG1655	
b2406	xapB	xanthosine permease	 	2522005	2520749	Chromosome Escherichia coli K12-MG1655	
b2408	yfeN	putative sugar hydrolase	 	2523147	2523911	Chromosome Escherichia coli K12-MG1655	
b2423	cysW	sulfate transport system permease W protein	 	2539273	2538824	Chromosome Escherichia coli K12-MG1655	
b2424	cysU	sulfate, thiosulfate transport system permease T protein	 	2540532	2539699	Chromosome Escherichia coli K12-MG1655	
b2429	 	putative PTS enzyme II	 	2544693	2546117	Chromosome Escherichia coli K12-MG1655	
b2433	 	orf, hypothetical protein	 	2549752	2549297	Chromosome Escherichia coli K12-MG1655	
b2438	 	orf, hypothetical protein	 	2553754	2553248	Chromosome Escherichia coli K12-MG1655	
b2444	 	orf, hypothetical protein	 	2559388	2559633	Chromosome Escherichia coli K12-MG1655	
b2446	 	orf, hypothetical protein	 	2560131	2560547	Chromosome Escherichia coli K12-MG1655	
b2455	eutE	ethanolamine utilization; similar to acetaldehyde dehydrogenase	 	2569771	2568368	Chromosome Escherichia coli K12-MG1655	
b2457	cchA	detox protein	 	2570512	2570177	Chromosome Escherichia coli K12-MG1655	
b2477	nlpB	lipoprotein-34	 	2596888	2595851	Chromosome Escherichia coli K12-MG1655	
b2482	hyfB	hydrogenase 4 membrane subunit	 	2599838	2601856	Chromosome Escherichia coli K12-MG1655	
b2483	hyfC	hydrogenase 4 membrane subunit	 	2601846	2602814	Chromosome Escherichia coli K12-MG1655	
b2486	hyfF	hydrogenase 4 membrane subunit	 	2604937	2606517	Chromosome Escherichia coli K12-MG1655	
b2488	hyfH	hydrogenase 4 Fe-S subunit	 	2608184	2608729	Chromosome Escherichia coli K12-MG1655	
b2493	perM	putative permease	 	2613901	2612840	Chromosome Escherichia coli K12-MG1655	
b2505	 	putative outer membrane lipoprotein	 	2627812	2628330	Chromosome Escherichia coli K12-MG1655	
b2506	 	putative membrane protein	 	2628346	2628885	Chromosome Escherichia coli K12-MG1655	
b2508	guaB	IMP dehydrogenase	1.2.1.14	2632090	2630624	Chromosome Escherichia coli K12-MG1655	
b2516	yfgA	putative membrane protein	 	2640864	2639851	Chromosome Escherichia coli K12-MG1655	
b2528	yfhF	putative regulator	 	2657906	2657583	Chromosome Escherichia coli K12-MG1655	
b2542	hcaD	ferredoxin reductase subunit of phenylpropionate dioxygenase	 	2670067	2671269	Chromosome Escherichia coli K12-MG1655	
b2543	yphA	orf, hypothetical protein	 	2671294	2671788	Chromosome Escherichia coli K12-MG1655	
b2546	yphD	putative transport system permease protein	 	2674845	2673847	Chromosome Escherichia coli K12-MG1655	
b2553	glnB	regulatory protein P-II for glutamine synthetase	 	2685428	2685090	Chromosome Escherichia coli K12-MG1655	
b2555	yfhG	putative alpha helix protein	 	2687526	2686813	Chromosome Escherichia coli K12-MG1655	
b2560	yfhB	orf, hypothetical protein	 	2696507	2695935	Chromosome Escherichia coli K12-MG1655	
b2563	acpS	CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase	 	2699018	2698638	Chromosome Escherichia coli K12-MG1655	
b2570	rseC	sigma-E factor, negative regulatory protein	 	2705821	2705342	Chromosome Escherichia coli K12-MG1655	
b2572	rseA	sigma-E factor, negative regulatory protein	 	2707424	2706774	Chromosome Escherichia coli K12-MG1655	
b2576	srmB	ATP-dependent RNA helicase	 	2710916	2712250	Chromosome Escherichia coli K12-MG1655	
b2579	yfiD	putative formate acetyltransferase	 	2714469	2714086	Chromosome Escherichia coli K12-MG1655	
b2598	pheL	leader peptide of chorismate mutase-P-prephenate dehydratase	 	2735619	2735666	Chromosome Escherichia coli K12-MG1655	
b2611	 	orf, hypothetical protein	 	2745907	2746773	Chromosome Escherichia coli K12-MG1655	
b2629	yfjM	orf, hypothetical protein	 	2763797	2763534	Chromosome Escherichia coli K12-MG1655	
b2635	 	orf, hypothetical protein	 	2768310	2768702	Chromosome Escherichia coli K12-MG1655	
b2667	 	orf, hypothetical protein	 	2795232	2795531	Chromosome Escherichia coli K12-MG1655	
b2669	stpA	DNA-binding protein; H-NS-like protein; chaperone activity; RNA splicing?	 	2796516	2796112	Chromosome Escherichia coli K12-MG1655	
b2678	proW	high-affinity transport system for glycine betaine and proline	 	2804031	2805095	Chromosome Escherichia coli K12-MG1655	
b2681	 	putative transport protein	 	2806597	2807514	Chromosome Escherichia coli K12-MG1655	
b2723	hycC	membrane-spanning protein of hydrogenase 3 (part of FHL complex)	 	2847264	2845438	Chromosome Escherichia coli K12-MG1655	
b2736	 	putative dehydrogenase	 	2859453	2860361	Chromosome Escherichia coli K12-MG1655	
b2742	nlpD	lipoprotein	 	2866776	2865637	Chromosome Escherichia coli K12-MG1655	
b2746	ygbB	orf, hypothetical protein	 	2869803	2869324	Chromosome Escherichia coli K12-MG1655	
b2748	 	orf, hypothetical protein	 	2870843	2870532	Chromosome Escherichia coli K12-MG1655	
b2771	ygcS	putative transport protein	 	2895965	2894556	Chromosome Escherichia coli K12-MG1655	
b2778	ygcG	orf, hypothetical protein	 	2903664	2904605	Chromosome Escherichia coli K12-MG1655	
b2792	 	orf, hypothetical protein	 	2922135	2921806	Chromosome Escherichia coli K12-MG1655	
b2801	fucP	fucose permease	 	2932257	2933573	Chromosome Escherichia coli K12-MG1655	
b2823	ppdC	prepilin peptidase dependent protein C	 	2960786	2960463	Chromosome Escherichia coli K12-MG1655	
b2832	 	putative transport protein	 	2968442	2969155	Chromosome Escherichia coli K12-MG1655	
b2835	ygeD	putative resistance proteins	 	2971884	2970691	Chromosome Escherichia coli K12-MG1655	
b2849	yqeK	orf, hypothetical protein	 	2988394	2987957	Chromosome Escherichia coli K12-MG1655	
b2865	 	putative lipoprotein	 	2997937	2997158	Chromosome Escherichia coli K12-MG1655	
b2874	yqeA	putative kinase	 	3009482	3010414	Chromosome Escherichia coli K12-MG1655	
b2885	ygfR	putative oxidoreductase	 	3025678	3026508	Chromosome Escherichia coli K12-MG1655	
b2891	prfB	peptide chain release factor RF-2	 	3034302	3033204	Chromosome Escherichia coli K12-MG1655	
b2900	yqfB	orf, hypothetical protein	 	3041643	3041332	Chromosome Escherichia coli K12-MG1655	
b2924	yggB	putative transport protein	 	3067827	3066967	Chromosome Escherichia coli K12-MG1655	
b2934	cmtB	PTS system, mannitol-specific enzyme II component, cryptic	2.7.1.69	3077349	3076906	Chromosome Escherichia coli K12-MG1655	
b2940	yqgC	orf, hypothetical protein	 	3084206	3084421	Chromosome Escherichia coli K12-MG1655	
b2952	yggT	putative resistance protein	 	3093839	3094405	Chromosome Escherichia coli K12-MG1655	
b2953	yggU	orf, hypothetical protein	 	3094390	3094692	Chromosome Escherichia coli K12-MG1655	
b2966	yqgA	putative transport protein	 	3107570	3108277	Chromosome Escherichia coli K12-MG1655	
b2971	 	orf, hypothetical protein	 	3111494	3111084	Chromosome Escherichia coli K12-MG1655	
b2975	yghK	putative permease	 	3119295	3117613	Chromosome Escherichia coli K12-MG1655	
b2987	pitB	low-affinity phosphate transport	 	3134386	3132887	Chromosome Escherichia coli K12-MG1655	
b2997	 	putative hydrogenase subunit	 	3144276	3143158	Chromosome Escherichia coli K12-MG1655	
b3009	yghB	orf, hypothetical protein	 	3151578	3152237	Chromosome Escherichia coli K12-MG1655	
b3027	 	orf, hypothetical protein	 	3170227	3169895	Chromosome Escherichia coli K12-MG1655	
b3040	ygiE	orf, hypothetical protein	 	3180566	3181339	Chromosome Escherichia coli K12-MG1655	
b3051	 	putative membrane protein	 	3190880	3192541	Chromosome Escherichia coli K12-MG1655	
b3055	ygiM	orf, hypothetical protein	 	3198848	3199468	Chromosome Escherichia coli K12-MG1655	
b3058	ygiG	putative kinase	 	3202233	3201862	Chromosome Escherichia coli K12-MG1655	
b3063	ygjE	orf, hypothetical protein	 	3205665	3207128	Chromosome Escherichia coli K12-MG1655	
b3089	ygjU	putative transport protein	 	3237584	3238828	Chromosome Escherichia coli K12-MG1655	
b3096	yqjB	orf, hypothetical protein	 	3246079	3246462	Chromosome Escherichia coli K12-MG1655	
b3098	yqjD	orf, hypothetical protein	 	3247015	3247320	Chromosome Escherichia coli K12-MG1655	
b3099	yqjE	orf, hypothetical protein	 	3247323	3247727	Chromosome Escherichia coli K12-MG1655	
b3101	yqjF	orf, hypothetical protein	 	3248112	3248594	Chromosome Escherichia coli K12-MG1655	
b3104	yhaI	putative cytochrome	 	3250551	3250907	Chromosome Escherichia coli K12-MG1655	
b3109	yhaN	orf, hypothetical protein	 	3254292	3253729	Chromosome Escherichia coli K12-MG1655	
b3122	 	orf, hypothetical protein	 	3267304	3267468	Chromosome Escherichia coli K12-MG1655	
b3134	agaW	PTS system N-acetylgalactosameine-specific IIC component 2	 	3278342	3278743	Chromosome Escherichia coli K12-MG1655	
b3168	infB	protein chain initiation factor IF-2	 	3313655	3310983	Chromosome Escherichia coli K12-MG1655	
b3183	yhbZ	putative GTP-binding factor	 	3329395	3328223	Chromosome Escherichia coli K12-MG1655	
b3202	rpoN	RNA polymerase, sigma(54 or 60) factor; nitrogen and fermentation regulation	 	3342358	3343791	Chromosome Escherichia coli K12-MG1655	
b3222	yhcI	putative NAGC-like transcriptional regulator	 	3368018	3367110	Chromosome Escherichia coli K12-MG1655	
b3223	yhcJ	putative enzyme	 	3368671	3367982	Chromosome Escherichia coli K12-MG1655	
b3224	nanT	sialic acid transporter	 	3370239	3368719	Chromosome Escherichia coli K12-MG1655	
b3233	yhcB	orf, hypothetical protein	 	3377820	3378224	Chromosome Escherichia coli K12-MG1655	
b3238	yhcN	orf, hypothetical protein	 	3383122	3383436	Chromosome Escherichia coli K12-MG1655	
b3250	mreC	rod shape-determining protein	 	3397615	3396512	Chromosome Escherichia coli K12-MG1655	
b3255	accB	acetylCoA carboxylase, BCCP subunit; carrier of biotin	6.4.1.2	3403073	3403543	Chromosome Escherichia coli K12-MG1655	
b3257	yhdT	orf, hypothetical protein	 	3405012	3405254	Chromosome Escherichia coli K12-MG1655	
b3259	prmA	methylase for 50S ribosomal subunit protein L11	2.1.1.-	3406707	3407588	Chromosome Escherichia coli K12-MG1655	
b3267	yhdV	orf, hypothetical protein	 	3416027	3416248	Chromosome Escherichia coli K12-MG1655	
b3291	mscL	mechanosensitive channel	 	3435661	3436071	Chromosome Escherichia coli K12-MG1655	
b3304	rplR	50S ribosomal subunit protein L18	 	3443234	3442881	Chromosome Escherichia coli K12-MG1655	
b3308	rplE	50S ribosomal subunit protein L5	 	3445075	3444536	Chromosome Escherichia coli K12-MG1655	
b3312	rpmC	50S ribosomal subunit protein L29	 	3446396	3446205	Chromosome Escherichia coli K12-MG1655	
b3318	rplW	50S ribosomal subunit protein L23	 	3449321	3449019	Chromosome Escherichia coli K12-MG1655	
b3322	pinO	calcium-binding protein required for initiation of chromosome replication	 	3451564	3451145	Chromosome Escherichia coli K12-MG1655	
b3324	yheE	putative general secretion pathway for protein export (GSP)	 	3453215	3454030	Chromosome Escherichia coli K12-MG1655	
b3329	hofH	putative general protein secretion protein	 	3459105	3459614	Chromosome Escherichia coli K12-MG1655	
b3335	hofD	leader peptidase, integral membrane protein	 	3463180	3463857	Chromosome Escherichia coli K12-MG1655	
b3339	tufA	protein chain elongation factor EF-Tu (duplicate of tufB)	 	3468966	3467782	Chromosome Escherichia coli K12-MG1655	
b3343	yheL	orf, hypothetical protein	 	3472602	3472315	Chromosome Escherichia coli K12-MG1655	
b3344	yheM	orf, hypothetical protein	 	3472969	3472610	Chromosome Escherichia coli K12-MG1655	
b3345	yheN	orf, hypothetical protein	 	3473355	3472969	Chromosome Escherichia coli K12-MG1655	
b3347	fkpA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	5.2.1.-	3475056	3474244	Chromosome Escherichia coli K12-MG1655	
b3348	slyX	host factor for lysis of phiX174 infection	 	3475277	3475495	Chromosome Escherichia coli K12-MG1655	
b3350	kefB	K+ efflux; NEM-activable K+/H+ antiporter	 	3478244	3476439	Chromosome Escherichia coli K12-MG1655	
b3362	yhfG	orf, hypothetical protein	 	3489257	3489090	Chromosome Escherichia coli K12-MG1655	
b3363	ppiA	peptidyl-prolyl cis-trans isomerase A (rotamase A)	5.2.1.8	3489934	3489362	Chromosome Escherichia coli K12-MG1655	
b3369	yhfL	orf, hypothetical protein	 	3497085	3497252	Chromosome Escherichia coli K12-MG1655	
b3376	yhfS	orf, hypothetical protein	 	3503658	3502573	Chromosome Escherichia coli K12-MG1655	
b3388	damX	putative membrane protein; interferes with cell division	 	3514944	3513658	Chromosome Escherichia coli K12-MG1655	
b3394	yrfC	orf, hypothetical protein	 	3519610	3519071	Chromosome Escherichia coli K12-MG1655	
b3400	yrfH	orf, hypothetical protein	 	3526986	3527387	Chromosome Escherichia coli K12-MG1655	
b3401	yrfI	orf, hypothetical protein	 	3527406	3528290	Chromosome Escherichia coli K12-MG1655	
b3402	yhgE	putative transport	 	3530077	3528353	Chromosome Escherichia coli K12-MG1655	
b3415	gntT	high-affinity transport of gluconate / gluconate permease	 	3544195	3545508	Chromosome Escherichia coli K12-MG1655	
b3427	yzgL	orf, hypothetical protein	 	3561650	3561357	Chromosome Escherichia coli K12-MG1655	
b3434	yhgN	orf, hypothetical protein	 	3572704	3573297	Chromosome Escherichia coli K12-MG1655	
b3436	gntU_1	low-affinity gluconate transport permease protein, interrupted	 	3574693	3573695	Chromosome Escherichia coli K12-MG1655	
b3443	yrhA	orf, hypothetical protein	 	3580669	3581085	Chromosome Escherichia coli K12-MG1655	
b3448	yhhA	orf, hypothetical protein	 	3584574	3585014	Chromosome Escherichia coli K12-MG1655	
b3456	livM	high-affinity branched-chain amino acid transport	 	3593111	3591834	Chromosome Escherichia coli K12-MG1655	
b3457	livH	high-affinity branched-chain amino acid transport system; membrane component	 	3594034	3593108	Chromosome Escherichia coli K12-MG1655	
b3467	yhhM	putative receptor	 	3603241	3602882	Chromosome Escherichia coli K12-MG1655	
b3468	yhhN	putative enzyme	 	3603382	3604008	Chromosome Escherichia coli K12-MG1655	
b3473	yhhS	putative transport	 	3609406	3608147	Chromosome Escherichia coli K12-MG1655	
b3481	yhhG	orf, hypothetical protein	 	3616219	3616620	Chromosome Escherichia coli K12-MG1655	
b3485	yhhJ	putative transporter	 	3624437	3623310	Chromosome Escherichia coli K12-MG1655	
b3487	yhiI	putative membrane protein	 	3628232	3627165	Chromosome Escherichia coli K12-MG1655	
b3502	arsB	arsenical pump membrane protein	 	3646544	3647854	Chromosome Escherichia coli K12-MG1655	
b3511	hdeD	orf, hypothetical protein	 	3654625	3655197	Chromosome Escherichia coli K12-MG1655	
b3523	yhjE	putative transport protein	 	3672416	3673738	Chromosome Escherichia coli K12-MG1655	
b3524	yhjG	orf, hypothetical protein	 	3675995	3673920	Chromosome Escherichia coli K12-MG1655	
b3541	dppD	putative ATP-binding component of dipeptide transport system	 	3701477	3700494	Chromosome Escherichia coli K12-MG1655	
b3542	dppC	dipeptide transport system permease protein 2	 	3702390	3701488	Chromosome Escherichia coli K12-MG1655	
b3547	yhjX	putative resistance protein	 	3709636	3708428	Chromosome Escherichia coli K12-MG1655	
b3552	yiaD	putative outer membrane protein	 	3714176	3714835	Chromosome Escherichia coli K12-MG1655	
b3564	xylB	xylulokinase	2.7.1.17	3727000	3725546	Chromosome Escherichia coli K12-MG1655	
b3568	xylH	putative xylose transport, membrane component	 	3731349	3732530	Chromosome Escherichia coli K12-MG1655	
b3578	yiaN	putative membrane protein	 	3742433	3743707	Chromosome Escherichia coli K12-MG1655	
b3602	yibL	orf, hypothetical protein	 	3774292	3774654	Chromosome Escherichia coli K12-MG1655	
b3603	lldP	L-lactate permease	 	3775026	3776681	Chromosome Escherichia coli K12-MG1655	
b3622	rfaL	O-antigen ligase; lipopolysaccharide core biosynthesis	 	3794575	3795834	Chromosome Escherichia coli K12-MG1655	
b3639	dfp	flavoprotein affecting synthesis of DNA and pantothenate metabolism	 	3810286	3811578	Chromosome Escherichia coli K12-MG1655	
b3646	yicG	orf, hypothetical protein	 	3816447	3817118	Chromosome Escherichia coli K12-MG1655	
b3649	rpoZ	RNA polymerase, omega subunit	2.7.7.6	3819733	3820008	Chromosome Escherichia coli K12-MG1655	
b3653	gltS	glutamate transport	 	3826292	3825087	Chromosome Escherichia coli K12-MG1655	
b3660	yicL	putative permease transporter	 	3835875	3836798	Chromosome Escherichia coli K12-MG1655	
b3661	nlpA	lipoprotein-28	 	3837620	3836802	Chromosome Escherichia coli K12-MG1655	
b3668	uhpB	sensor histidine protein kinase phosphorylates UhpA	2.7.3.-	3847766	3846261	Chromosome Escherichia coli K12-MG1655	
b3672	ivbL	ilvB operon leader peptide	 	3850615	3850517	Chromosome Escherichia coli K12-MG1655	
b3673	emrD	2-module integral membrane pump; multidrug resistance	 	3851543	3852733	Chromosome Escherichia coli K12-MG1655	
b3675	yidG	orf, hypothetical protein	 	3853597	3853235	Chromosome Escherichia coli K12-MG1655	
b3676	yidH	orf, hypothetical protein	 	3853934	3853587	Chromosome Escherichia coli K12-MG1655	
b3677	yidI	orf, hypothetical protein	 	3854042	3854491	Chromosome Escherichia coli K12-MG1655	
b3685	yidE	putative transport protein	 	3863924	3862239	Chromosome Escherichia coli K12-MG1655	
b3703	rpmH	50S ribosomal subunit protein L34	 	3881965	3882105	Chromosome Escherichia coli K12-MG1655	
b3727	pstC	high-affinity phosphate-specific transport system, cytoplasmic membrane component	 	3908026	3907067	Chromosome Escherichia coli K12-MG1655	
b3736	atpF	membrane-bound ATP synthase, F0 sector, subunit b	 	3918516	3918046	Chromosome Escherichia coli K12-MG1655	
b3737	atpE	membrane-bound ATP synthase, F0 sector, subunit c	3.6.1.34	3918817	3918578	Chromosome Escherichia coli K12-MG1655	
b3739	atpI	membrane-bound ATP synthase, dispensable protein, affects expression of atpB	 	3920080	3919688	Chromosome Escherichia coli K12-MG1655	
b3750	rbsC	D-ribose high-affinity transport system	 	3932914	3933879	Chromosome Escherichia coli K12-MG1655	
b3766	ilvL	ilvGEDA operon leader peptide	 	3947945	3948043	Chromosome Escherichia coli K12-MG1655	
b3784	rfe	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase; synthesis of enterobacterial common antigen (ECA)	 	3965531	3966634	Chromosome Escherichia coli K12-MG1655	
b3790	wecD	orf, hypothetical protein	 	3972208	3972753	Chromosome Escherichia coli K12-MG1655	
b3793	wecF	TDP-Fuc4NAc:lipidII transferase; synthesis of enterobacterial common antigen (ECA)	2.4.1.-	3976214	3977566	Chromosome Escherichia coli K12-MG1655	
b3795	yifK	putative amino acid/amine transport protein	 	3978500	3979885	Chromosome Escherichia coli K12-MG1655	
b3803	hemX	uroporphyrinogen III methylase	2.1.1.107	3986679	3985498	Chromosome Escherichia coli K12-MG1655	
b3808	 	orf, hypothetical protein	 	3991463	3991948	Chromosome Escherichia coli K12-MG1655	
b3824	yigK	orf, hypothetical protein	 	4006462	4006046	Chromosome Escherichia coli K12-MG1655	
b3836	 	orf, hypothetical protein	 	4019490	4019801	Chromosome Escherichia coli K12-MG1655	
b3837	 	putative histone	 	4019665	4020006	Chromosome Escherichia coli K12-MG1655	
b3866	yihI	orf, hypothetical protein	 	4048927	4049436	Chromosome Escherichia coli K12-MG1655	
b3886	rbn	tRNA processing exoribonuclease BN	 	4073726	4074598	Chromosome Escherichia coli K12-MG1655	
b3894	fdoG	formate dehydrogenase-O, major subunit	1.2.1.2	4083402	4080352	Chromosome Escherichia coli K12-MG1655	
b3909	kdgT	2-keto-3-deoxy-D-gluconate transport system	 	4099262	4100254	Chromosome Escherichia coli K12-MG1655	
b3912	cpxR	transcriptional regulator in 2-component system	 	4103251	4102553	Chromosome Escherichia coli K12-MG1655	
b3933	ftsN	essential cell division protein	 	4120919	4119960	Chromosome Escherichia coli K12-MG1655	
b3948	yijI	orf, hypothetical protein	 	4139437	4139766	Chromosome Escherichia coli K12-MG1655	
b3950	frwB	PTS system fructose-like IIB component 1	 	4141203	4141523	Chromosome Escherichia coli K12-MG1655	
b3963	yijC	orf, hypothetical protein	 	4158646	4159350	Chromosome Escherichia coli K12-MG1655	
b3980	tufB	protein chain elongation factor EF-Tu (duplicate of tufA)	 	4173523	4174707	Chromosome Escherichia coli K12-MG1655	
b3981	secE	preprotein translocase	 	4174937	4175320	Chromosome Escherichia coli K12-MG1655	
b3984	rplA	50S ribosomal subunit protein L1, regulates synthesis of L1 and L11	 	4176457	4177161	Chromosome Escherichia coli K12-MG1655	
b3986	rplL	50S ribosomal subunit protein L7/L12	 	4178138	4178503	Chromosome Escherichia coli K12-MG1655	
b4003	hydH	sensor kinase for HydG, hydrogenase 3 activity	 	4199504	4200901	Chromosome Escherichia coli K12-MG1655	
b4020	yjbB	putative alpha helix protein	 	4225310	4226941	Chromosome Escherichia coli K12-MG1655	
b4023	yjbD	orf, hypothetical protein	 	4229210	4228938	Chromosome Escherichia coli K12-MG1655	
b4024	lysC	aspartokinase III, lysine sensitive	2.7.2.4	4230812	4229463	Chromosome Escherichia coli K12-MG1655	
b4026	yjbE	orf, hypothetical protein	 	4233485	4233727	Chromosome Escherichia coli K12-MG1655	
b4028	yjbG	orf, hypothetical protein	 	4234476	4235213	Chromosome Escherichia coli K12-MG1655	
b4030	yjbA	orf, hypothetical protein	 	4237904	4238314	Chromosome Escherichia coli K12-MG1655	
b4037	malM	periplasmic protein of mal regulon	 	4247133	4248053	Chromosome Escherichia coli K12-MG1655	
b4039	ubiC	chorismate lyase	 	4249974	4250582	Chromosome Escherichia coli K12-MG1655	
b4040	ubiA	4-hydroxybenzoate-octaprenyltransferase	2.5.1.-	4250595	4251467	Chromosome Escherichia coli K12-MG1655	
b4044	dinF	DNA-damage-inducible protein F	 	4255321	4256700	Chromosome Escherichia coli K12-MG1655	
b4064	yjcD	orf, hypothetical protein	 	4276058	4277407	Chromosome Escherichia coli K12-MG1655	
b4065	yjcE	orf, hypothetical protein	 	4277559	4279208	Chromosome Escherichia coli K12-MG1655	
b4067	yjcG	putative transport protein	 	4282481	4280832	Chromosome Escherichia coli K12-MG1655	
b4068	yjcH	orf, hypothetical protein	 	4282792	4282478	Chromosome Escherichia coli K12-MG1655	
b4073	nrfD	formate-dependent nitrate reductase complex; transmembrane protein	 	4288055	4289011	Chromosome Escherichia coli K12-MG1655	
b4074	nrfE	formate-dependent nitrite reductase; possible assembly function	 	4289091	4290749	Chromosome Escherichia coli K12-MG1655	
b4075	nrfF	part of formate-dependent nitrite reductase complex	 	4290742	4291125	Chromosome Escherichia coli K12-MG1655	
b4079	fdhF	selenopolypeptide subunit of formate dehydrogenase H	1.2.1.2	4296945	4294798	Chromosome Escherichia coli K12-MG1655	
b4082	yjcR	putative membrane protein	 	4301688	4300657	Chromosome Escherichia coli K12-MG1655	
b4103	 	orf, hypothetical protein	 	4320242	4320021	Chromosome Escherichia coli K12-MG1655	
b4104	phnE	membrane channel protein component of Pn transporter	 	4320859	4320239	Chromosome Escherichia coli K12-MG1655	
b4123	dcuB	anaerobic dicarboxylate transport	 	4346322	4344982	Chromosome Escherichia coli K12-MG1655	
b4127	yjdJ	orf, hypothetical protein	 	4349663	4349935	Chromosome Escherichia coli K12-MG1655	
b4136	dsbD	thiol:disulfide interchange protein; copper tolerance	 	4362620	4360923	Chromosome Escherichia coli K12-MG1655	
b4137	cutA	divalent cation tolerance protein; cytochrome c biogenesis	 	4362934	4362596	Chromosome Escherichia coli K12-MG1655	
b4140	 	orf, hypothetical protein	 	4366341	4366718	Chromosome Escherichia coli K12-MG1655	
b4141	yjeH	putative transport	 	4367990	4366734	Chromosome Escherichia coli K12-MG1655	
b4148	sugE	suppresses groEL, may be chaperone	 	4374303	4374770	Chromosome Escherichia coli K12-MG1655	
b4151	frdD	fumarate reductase, anaerobic, membrane anchor polypeptide	1.3.99.1	4376944	4376585	Chromosome Escherichia coli K12-MG1655	
b4152	frdC	fumarate reductase, anaerobic, membrane anchor polypeptide	1.3.99.1	4377350	4376955	Chromosome Escherichia coli K12-MG1655	
b4158	yjeO	orf, hypothetical protein	 	4383282	4383596	Chromosome Escherichia coli K12-MG1655	
b4175	hflC	protease specific for phage lambda cII repressor	3.4.-.-	4400878	4401882	Chromosome Escherichia coli K12-MG1655	
b4176	yjeT	orf, hypothetical protein	 	4401964	4402161	Chromosome Escherichia coli K12-MG1655	
b4182	yjfJ	putative alpha helical protein	 	4408131	4408829	Chromosome Escherichia coli K12-MG1655	
b4185	yjfM	orf, hypothetical protein	 	4409965	4410603	Chromosome Escherichia coli K12-MG1655	
b4189	yjfO	orf, hypothetical protein	 	4414447	4414019	Chromosome Escherichia coli K12-MG1655	
b4199	yjfY	orf, hypothetical protein	 	4422369	4422094	Chromosome Escherichia coli K12-MG1655	
b4203	rplI	50S ribosomal subunit protein L9	 	4423686	4424135	Chromosome Escherichia coli K12-MG1655	
b4206	ytfB	orf, hypothetical protein	 	4426331	4425657	Chromosome Escherichia coli K12-MG1655	
b4229	ytfS	putative ATP-binding component of a transport system	 	4449862	4450134	Chromosome Escherichia coli K12-MG1655	
b4230	ytfT	putative transport system permease protein	 	4450145	4451170	Chromosome Escherichia coli K12-MG1655	
b4231	yjfF	putative transport system permease protein	 	4451181	4452152	Chromosome Escherichia coli K12-MG1655	
b4255	yjgD	orf, hypothetical protein	 	4476036	4476452	Chromosome Escherichia coli K12-MG1655	
b4257	yjgN	orf, hypothetical protein	 	4477310	4478491	Chromosome Escherichia coli K12-MG1655	
b4261	yjgP	orf, hypothetical protein	 	4483786	4484886	Chromosome Escherichia coli K12-MG1655	
b4277	yjgZ	orf, hypothetical protein	 	4498828	4499157	Chromosome Escherichia coli K12-MG1655	
b4288	fecD	citrate-dependent iron transport, membrane-bound protein	 	4509982	4509026	Chromosome Escherichia coli K12-MG1655	
