Genea	GI	Product
opgG	1787286	glucan biosynthesis protein, periplasmic
lpxL	1787292	lauryl-acyl carrier protein (ACP)-dependent acyltransferase
yceI	1787295	predicted protein
yceJ	1787296	predicted cytochrome b561
solA	1787298	N-methyltryptophan oxidase, FAD-binding
bssS	1787299	predicted protein
dinI	1787300	DNA damage-inducible protein I
pyrC	1787301	dihydro-orotase
yceB	1787302	predicted lipoprotein
grxB	1787303	glutaredoxin 2 (Grx2)
mdtH	87081828	predicted drug efflux system
rimJ	1787305	ribosomal-protein-S5-alanine N-acetyltransferase
yceH	1787306	conserved protein
yceM	1787307	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain
murJ	1787309	predicted inner membrane protein
flgN	1787310	export chaperone for FlgK and FlgL
flgM	1787311	anti-sigma factor for FliA (sigma 28)
flgA	1787312	assembly protein for flagellar basal-body periplasmic P ring
flgB	1787313	flagellar component of cell-proximal portion of basal-body rod
flgC	1787314	flagellar component of cell-proximal portion of basal-body rod
flgD	1787315	flagellar hook assembly protein
flgE	1787316	flagellar hook protein
flgI	1787320	predicted flagellar basal body protein
flgJ	1787321	muramidase
flgK	1787323	flagellar hook-filament junction protein 1
flgL	1787324	flagellar hook-filament junction protein
rne	1787325	fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein
ptsG	1787343	fused glucose-specific PTS enzymes: IIB component/IIC component
fhuE	1787344	ferric-rhodotorulic acid outer membrane transporter
hinT	1787346	purine nucleoside phosphoramidase
ycfL	1787347	predicted protein
ycfM	1787348	predicted outer membrane lipoprotein
thiK	1787349	thiamin kinase
nagZ	1787350	beta N-acetyl-glucosaminidase
ycfP	87081832	conserved protein
ndh	1787352	respiratory NADH dehydrogenase 2/cupric reductase
ycfJ	1787353	predicted protein
ycfQ	87081833	predicted DNA-binding transcriptional regulator
bhsA	1787355	predicted protein
ycfS	1787356	L,D-transpeptidase linking Lpp to murein
mfd	1787357	transcription-repair coupling factor
ycfT	1787359	predicted inner membrane protein
lolC	1787360	outer membrane-specific lipoprotein transporter subunit
lolD	87081834	outer membrane-specific lipoprotein transporter subunit
lolE	1787362	outer membrane-specific lipoprotein transporter subunit
nagK	1787363	N-acetyl-D-glucosamine kinase
cobB	1787364	deacetylase of acetyl-CoA synthetase, NAD-dependent
potD	1787367	polyamine transporter subunit
potC	1787368	polyamine transporter subunit
potB	1787369	polyamine transporter subunit
potA	1787370	polyamine transporter subunit
pepT	1787372	peptidase T
ycfD	87081836	conserved protein
phoQ	1787374	sensory histidine kinase in two-component regulatory system with PhoP
phoP	1787375	DNA-binding response regulator in two-component regulatory system with PhoQ
purB	1787376	adenylosuccinate lyase
hflD	1787377	predicted lysogenization regulator
mnmA	87081837	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
nudJ	1787379	bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase
rluE	87081838	16S RNA U516 pseudouridine synthase
icd	1787381	"e14 prophage; isocitrate dehydrogenase, specific for NADP+"
ymgJ	145693116	hypothetical protein
minE	1787422	cell division topological specificity factor
minD	1787423	membrane ATPase of the MinC-MinD-MinE system
minC	1787424	cell division inhibitor
ycgN	145693117	conserved protein
umuD	1787431	DNA polymerase V, subunit D
dsbB	1787433	oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I
nhaB	1787435	sodium:proton antiporter
ycgB	1787437	conserved protein
dadX	1787439	alanine racemase 2, PLP-binding
cvrA	87081854	predicted cation/proton antiporter
ldcA	1787441	L,D-carboxypeptidase A
emtA	87081855	lytic murein endotransglycosylase E
ycgR	1787443	protein involved in flagellar function
ymgE	1787445	predicted inner membrane protein
ychF	1787454	predicted GTP-binding protein
pth	1787455	peptidyl-tRNA hydrolase
ychH	1787456	predicted inner membrane protein
ychM	87081859	predicted transporter
prs	1787458	phosphoribosylpyrophosphate synthase
hemA	1787461	glutamyl tRNA reductase
prfA	1787462	peptide chain release factor RF-1
prmC	1787463	N5-glutamine methyltransferase, modifies release factors RF-1 and RF-2
ychQ	1787464	predicted transcriptional regulator
ychA	1787465	predicted transcriptional regulator
kdsA	1787466	3-deoxy-D-manno-octulosonate 8-phosphate synthase
ldrA	48994880	toxic polypeptide, small
ldrB	48994881	toxic polypeptide, small
ldrC	48994882	toxic polypeptide, small
chaA	1787468	calcium/sodium:proton antiporter
chaB	1787469	predicted cation regulator
chaC	145693119	regulatory protein for cation transport
ychN	1787471	conserved protein
ychO	145693120	predicted invasin
narL	1787473	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)
narX	1787474	sensory histidine kinase in two-component regulatory system with NarL
narK	1787475	nitrate/nitrite transporter
narG	1787477	nitrate reductase 1, alpha subunit
narH	1787478	nitrate reductase 1, beta (Fe-S) subunit
narJ	1787479	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1
narI	1787480	nitrate reductase 1, gamma (cytochrome b(NR)) subunit
purU	1787483	formyltetrahydrofolate hydrolase
ychJ	1787484	conserved protein
rssA	1787485	conserved protein
rssB	1787487	response regulator of RpoS
galU	1787488	glucose-1-phosphate uridylyltransferase
hns	1787489	global DNA-binding transcriptional dual regulator H-NS
tdk	1787490	thymidine kinase/deoxyuridine kinase
adhE	1787493	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase
oppA	1787495	oligopeptide transporter subunit
oppB	1787497	oligopeptide transporter subunit
oppC	1787498	oligopeptide transporter subunit
oppD	48994883	oligopeptide transporter subunit
oppF	1787500	oligopeptide transporter subunit
yciU	87081860	predicted protein
cls	1787502	cardiolipin synthase 1
yciY	145693122	hypothetical protein
kch	1787503	voltage-gated potassium channel
yciI	87081861	predicted enzyme
tonB	1787505	membrane spanning protein in TonB-ExbB-ExbD complex
yciA	1787506	predicted hydrolase
yciB	1787507	predicted inner membrane protein
yciC	1787508	predicted inner membrane protein
ompW	1787510	outer membrane protein W
trpA	1787514	tryptophan synthase, alpha subunit
trpB	1787515	tryptophan synthase, beta subunit
trpC	87081863	fused indole-3-glycerolphosphate synthetase/N-(5-phosphoribosyl)anthranilate isomerase
trpD	1787517	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase
trpE	1787518	component I of anthranilate synthase
yciV	1787520	conserved protein
yciO	87081864	conserved protein
rluB	1787524	23S rRNA pseudouridylate synthase
btuR	1787525	cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase
yciK	1787526	predicted oxoacyl-(acyl carrier protein) reductase, EmrKY-TolC system
sohB	1787527	predicted inner membrane peptidase
yciN	1787528	predicted protein
topA	1787529	DNA topoisomerase I, omega subunit
cysB	1787530	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding
yciX	145693123	hypothetical protein
ribA	1787533	GTP cyclohydrolase II
pgpB	1787534	phosphatidylglycerophosphatase B
yciS	1787535	conserved inner membrane protein
pyrF	1787537	orotidine-5'-phosphate decarboxylase
yciH	87081867	conserved protein
yciT	1787540	predicted DNA-binding transcriptional regulator
yciZ	145693124	hypothetical protein
gmr	1787541	modulator of Rnase II stability
rnb	1787542	ribonuclease II
yciW	87081868	predicted oxidoreductase
fabI	1787545	enoyl-[acyl-carrier-protein] reductase, NADH-dependent
sapF	1787547	predicted antimicrobial peptide transporter subunit
sapD	1787548	predicted antimicrobial peptide transporter subunit
sapC	1787549	predicted antimicrobial peptide transporter subunit
sapB	1787550	predicted antimicrobial peptide transporter subunit
sapA	1787551	predicted antimicrobial peptide transporter subunit
ymjA	1787552	predicted protein
puuP	87081869	putrescine importer
pspF	87081872	DNA-binding transcriptional activator
pspA	2367118	regulatory protein for phage-shock-protein operon
pspB	1787563	DNA-binding transcriptional regulator of psp operon
pspC	1787564	DNA-binding transcriptional activator
pspD	1787565	peripheral inner membrane phage-shock protein
pspE	1787567	thiosulfate:cyanide sulfurtransferase (rhodanese)
ycjX	1787581	conserved protein with nucleoside triphosphate hydrolase domain
ycjF	1787582	conserved inner membrane protein
tyrR	1787583	DNA-binding transcriptional dual regulator, tyrosine-binding
tpx	1787584	lipid hydroperoxide peroxidase
ycjG	87081876	L-Ala-D/L-Glu epimerase
mpaA	1787586	murein peptide amidase A
mppA	87081878	murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit
ynaI	1787591	conserved inner membrane protein
uspE	1787594	stress-induced protein
fnr	1787595	DNA-binding transcriptional dual regulator, global regulator of anaerobic growth
ydaL	1787602	conserved protein
ydaN	1787604	predicted Zn(II) transporter
ttcA	1787606	predicted C32 tRNA thiolase
uspF	87081893	stress-induced protein, ATP-binding protein
ompN	1787641	outer membrane pore protein N, non-specific
ydbK	1787642	fused predicted pyruvate-flavodoxin oxidoreductase: conserved protein/conserved protein/FeS binding protein
ydbJ	87081894	predicted protein
ldhA	1787645	fermentative D-lactate dehydrogenase, NAD-dependent
ydbH	1787646	predicted protein
ynbE	1787647	predicted lipoprotein
azoR	1787680	NADH-azoreductase, FMN-dependent
hrpA	145693127	ATP-dependent helicase
ydcX	87081912	predicted inner membrane protein
narV	1787738	nitrate reductase 2 (NRZ), gamma subunit
narY	1787740	nitrate reductase 2 (NRZ), beta subunit
narZ	1787741	nitrate reductase 2 (NRZ), alpha subunit
narU	1787743	nitrate/nitrite transporter
yddG	145693132	predicted methyl viologen efflux pump
fdnG	3868719	formate dehydrogenase-N, alpha subunit, nitrate-inducible
fdnH	1787749	formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible
fdnI	1787750	formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible
yddM	145693133	predicted DNA-binding transcriptional regulator
adhP	87081918	ethanol-active dehydrogenase/acetaldehyde-active reductase
osmC	1787757	osmotically inducible, stress-inducible membrane protein
yddW	1787767	predicted liprotein
gadC	1787768	predicted glutamate:gamma-aminobutyric acid antiporter
gadB	1787769	glutamate decarboxylase B, PLP-dependent
ydeO	1787776	predicted DNA-binding transcriptional activator
yneN	1787777	Two component system connector membrane protein, EvgSA to PhoQP
ydeP	1787778	predicted oxidoreductase
ydeA	1787808	predicted arabinose transporter
marC	1787809	conserved protein
marR	87081927	DNA-binding transcriptional repressor of multiple antibiotic resistance
marA	87081928	DNA-binding transcriptional dual activator of multiple antibiotic resistance
marB	1787812	predicted protein
dcp	1787819	dipeptidyl carboxypeptidase II
ydfG	1787820	L-allo-threonine dehydrogenase, NAD(P)-binding
ydfZ	1787822	conserved protein
ydfI	1787823	predicted mannonate dehydrogenase
cspI	1787834	"Qin prophage; cold shock protein"
essQ	87081934	"Qin prophage; predicted S lysis protein"
cspB	1787839	"Qin prophage; cold shock protein"
cspF	1787840	"Qin prophage; cold shock protein"
hokD	1787845	"Qin prophage; small toxic polypeptide"
ynfE	1787870	oxidoreductase subunit
ynfF	171474008	oxidoreductase subunit
ynfG	1787872	oxidoreductase, Fe-S subunit
dmsD	87081942	twin-argninine leader-binding protein for DmsA and TorA
clcB	87081943	predicted voltage-gated chloride channel
ynfK	87081944	predicted dethiobiotin synthetase
dgsA	1787878	DNA-binding transcriptional repressor
ynfL	1787879	predicted DNA-binding transcriptional regulator
ynfM	1787880	predicted transporter
asr	87081945	acid shock-inducible periplasmic protein
ydgU	145693139	hypothetical protein
ydgD	1787882	predicted peptidase
mdtI	1787883	multidrug efflux system transporter
tqsA	1787885	predicted inner membrane protein
pntB	1787886	pyridine nucleotide transhydrogenase, beta subunit
pntA	1787887	pyridine nucleotide transhydrogenase, alpha subunit
ydgH	1787889	predicted protein
ydgI	1787890	predicted arginine/ornithine antiporter transporter
folM	1787891	dihydrofolate reductase isozyme
ydgC	1787892	conserved inner membrane protein associated with alginate biosynthesis
rstA	145693140	DNA-binding response regulator in two-component regulatory system with RstB
tus	1787895	inhibitor of replication at Ter, DNA-binding protein
fumC	1787896	fumarate hydratase (fumarase C),aerobic Class II
fumA	1787897	fumarate hydratase (fumarase A), aerobic Class I
manA	1787899	mannose-6-phosphate isomerase
ydgA	1787900	conserved protein
uidC	87081946	predicted outer membrane porin protein
uidA	1787903	beta-D-glucuronidase
uidR	1787904	DNA-binding transcriptional repressor
hdhA	1787905	7-alpha-hydroxysteroid dehydrogenase, NAD-dependent
malI	1787906	DNA-binding transcriptional repressor
malX	1787908	fused maltose and glucose-specific PTS enzymes: IIB component, IIC component
malY	1787909	bifunctional beta-cystathionase, PLP-dependent/ regulator of maltose regulon
add	1787910	adenosine deaminase
ydgJ	87081947	predicted oxidoreductase
blr	48994886	beta-lactam resistance membrane protein
cnu	1787912	predicted regulator
ydgK	87081948	conserved inner membrane protein
rsxA	1787914	predicted inner membrane subunit
rsxB	1787915	predicted iron-sulfur protein
rsxC	1787916	fused predicted 4Fe-4S ferredoxin-type protein/conserved protein
rsxD	1787917	predicted inner membrane oxidoreductase
rsxG	1787918	predicted oxidoreductase
rsxE	1787919	predicted inner membrane NADH-quinone reductase
nth	1787920	DNA glycosylase and apyrimidinic (AP) lyase (endonuclease III)
tppB	1787922	predicted transporter
gst	1787923	glutathionine S-transferase
pdxY	1787924	pyridoxal kinase 2/pyridoxine kinase
tyrS	1787925	tyrosyl-tRNA synthetase
pdxH	1787926	pyridoxine 5'-phosphate oxidase
anmK	1787928	conserved protein
slyB	48994887	outer membrane lipoprotein
slyA	87081950	DNA-binding transcriptional activator
ydhI	1787931	predicted inner membrane protein
sodC	1787934	superoxide dismutase, Cu, Zn
ydhF	48994888	predicted oxidoreductase
ydhL	87081952	conserved protein
nemR	145693141	predicted DNA-binding transcriptional regulator
nemA	1787939	N-ethylmaleimide reductase, FMN-linked
gloA	1787940	glyoxalase I, Ni-dependent
rnt	1787941	ribonuclease T (RNase T)
grxD	1787943	conserved protein
ydhO	1787944	predicted lipoprotein
sodB	1787946	superoxide dismutase, Fe
ydhP	1787947	predicted transporter
ynhF	145693142	hypothetical protein
purR	1787948	DNA-binding transcriptional repressor, hypoxanthine-binding
ydhB	1787949	predicted DNA-binding transcriptional regulator
ydhC	48994889	predicted transporter
cfa	1787951	cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)
ribC	1787952	riboflavin synthase, alpha subunit
mdtK	48994890	multidrug efflux system transporter
ydhQ	1787954	conserved protein
ydhT	1787958	conserved protein
ydhX	145693143	predicted 4Fe-4S ferridoxin-type protein
ydhW	1787961	predicted protein
ydhZ	1787964	predicted protein
ynhG	1787968	murein L,D-transpeptidase
sufE	1787969	sulfur acceptor protein
sufS	1787970	selenocysteine lyase, PLP-dependent
sufD	1787971	component of SufBCD complex
sufC	1787972	component of SufBCD complex, ATP-binding component of ABC superfamily
ydiH	1787975	predicted protein
ydiI	1787976	conserved protein
ydiJ	1787977	predicted FAD-linked oxidoreductase
ydiK	1787979	predicted inner membrane protein
ydiL	87081956	conserved protein
ydiB	1787983	quinate/shikimate 5-dehydrogenase, NAD(P)-binding
aroD	1787984	3-dehydroquinate dehydratase
ydiS	1787991	predicted oxidoreductase with FAD/NAD(P)-binding domain
ydiT	1787992	predicted 4Fe-4S ferredoxin-type protein
pps	1787994	phosphoenolpyruvate synthase
ydiA	1787995	conserved protein
aroH	1787996	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible
ydiE	1787998	conserved protein
ydiU	1787999	conserved protein
ydiV	1788000	conserved protein
nlpC	1788001	predicted lipoprotein
btuD	1788002	vitamin B12 transporter subunit : ATP-binding component of ABC superfamily
btuE	1788003	predicted glutathione peroxidase
btuC	1788004	vitamin B12 transporter subunit: membrane component of ABC superfamily
ihfA	1788005	integration host factor (IHF), DNA-binding protein, alpha subunit
pheT	1788006	phenylalanine tRNA synthetase, beta subunit
pheS	1788007	phenylalanine tRNA synthetase, alpha subunit
rpmI	1788010	50S ribosomal subunit protein L35
pfkB	1788017	6-phosphofructokinase II
ydiZ	1788018	predicted protein
yniA	1788019	predicted phosphotransferase/kinase
yniB	1788020	predicted inner membrane protein
yniC	1788021	predicted hydrolase
ydjM	145693147	predicted inner membrane protein regulated by LexA
ydjN	1788024	predicted transporter
osmE	1788035	DNA-binding transcriptional activator
nadE	1788036	NAD synthetase, NH3/glutamine-dependent
cho	1788037	endonuclease of nucleotide excision repair
spy	1788039	envelope stress induced periplasmic protein
astE	1788040	succinylglutamate desuccinylase
astB	1788041	succinylarginine dihydrolase
astD	1788042	succinylglutamic semialdehyde dehydrogenase
astA	1788043	arginine succinyltransferase
astC	1788044	succinylornithine transaminase, PLP-dependent
xthA	1788046	exonuclease III
ydjY	87081965	predicted protein
ydjZ	1788049	conserved inner membrane protein
ynjA	1788050	conserved protein
ynjC	145693149	fused transporter subunits of ABC superfamily: membrane components
ynjD	1788053	predicted transporter subunit: ATP-binding component of ABC superfamily
ynjE	87081967	predicted thiosulfate sulfur transferase
nudG	1788056	pyrimidine (deoxy)nucleoside triphosphate pyrophosphohydrolase
ynjH	1788057	predicted protein
gdhA	1788059	glutamate dehydrogenase, NADP-specific
topB	1788061	DNA topoisomerase III
selD	1788062	selenophosphate synthase
ydjA	1788063	predicted oxidoreductase
ansA	1788065	cytoplasmic L-asparaginase I
pncA	87081970	nicotinamidase/pyrazinamidase
yeaC	87081972	conserved protein
msrB	1788077	methionine sulfoxide reductase B
yeaD	87081973	conserved protein
yeaE	1788081	predicted oxidoreductase
mipA	1788082	scaffolding protein for murein synthesizing machinery
yeaQ	1788096	conserved inner membrane protein
rnd	1788105	ribonuclease D
fadD	1788107	acyl-CoA synthetase (long-chain-fatty-acid--CoA ligase)
yeaY	1788108	predicted lipoprotein
yeaZ	1788109	predicted peptidase
yoaA	1788110	conserved protein with nucleoside triphosphate hydrolase domain
yoaB	87081979	conserved protein
yoaH	1788113	conserved protein
pabB	1788114	aminodeoxychorismate synthase, subunit I
nudL	1788115	predicted NUDIX hydrolase
sdaA	1788116	L-serine deaminase I
yoaE	1788119	fused predicted membrane protein/conserved protein
manY	1788121	mannose-specific enzyme IIC component of PTS
yobD	1788123	conserved inner membrane protein
cspC	1788126	stress protein, member of the CspA-family
yebR	171474009	free methionine-(R)-sulfoxide reductase
yebT	87081984	conserved protein
rsmF	87081985	16S rRNA m(5)C1407 methyltransferase, SAM-dependent
yebW	87081987	predicted protein
yebY	1788144	predicted protein
yobA	1788146	conserved protein
holE	1788147	DNA polymerase III, theta subunit
yobB	1788148	conserved protein
exoX	1788149	DNA exonuclease X
yebE	1788151	conserved protein
yebF	145693150	predicted protein
yebG	1788153	conserved protein regulated by LexA
purT	1788155	phosphoribosylglycinamide formyltransferase 2
eda	1788156	multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase
edd	1788157	6-phosphogluconate dehydratase
zwf	1788158	glucose-6-phosphate dehydrogenase
yebK	1788159	predicted DNA-binding transcriptional regulator
pykA	1788160	pyruvate kinase II
lpxM	1788161	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase
yebA	87081989	predicted peptidase
znuA	87081990	zinc transporter subunit: periplasmic-binding component of ABC superfamily
znuC	1788165	zinc transporter subunit: ATP-binding component of ABC superfamily
znuB	1788166	zinc transporter subunit: membrane component of ABC superfamily
ruvA	1788168	component of RuvABC resolvasome, regulatory subunit
ruvC	1788170	component of RuvABC resolvasome, endonuclease
yebC	1788171	conserved protein
nudB	1788172	dATP pyrophosphohydrolase
aspS	1788173	aspartyl-tRNA synthetase
yecN	87081993	predicted inner membrane protein
cmoA	1788177	tRNA cmo(5)U34 methyltransferase, SAM-dependent
cmoB	1788178	tRNA mo(5)U34 methyltransferase, SAM-dependent
torZ	87081994	trimethylamine N-oxide reductase system III, catalytic subunit
cutC	87081995	copper homeostasis protein
yecM	87081996	predicted metal-binding enzyme
argS	1788184	arginyl-tRNA synthetase
flhC	1788201	DNA-binding transcriptional dual regulator with FlhD
araF	1788211	L-arabinose transporter subunit
ftnB	1788212	predicted ferritin-like protein
yecJ	87081998	predicted protein
yecH	1788217	predicted protein
yecA	1788219	conserved metal-binding protein
fliA	1788231	RNA polymerase, sigma 28 (sigma F) factor
fliS	1788234	flagellar protein potentiates polymerization
fliT	1788235	predicted chaperone
amyA	1788236	cytoplasmic alpha-amylase
yedD	1788237	predicted protein
yedE	1788238	predicted inner membrane protein
yedF	1788239	conserved protein
yedP	1788265	conserved protein
yedQ	87082007	predicted diguanylate cyclase
yodC	1788267	predicted protein
yedI	1788268	conserved inner membrane protein
yedA	1788269	predicted inner membrane protein
vsr	1788270	DNA mismatch endonuclease of very short patch repair
yedW	87082012	predicted DNA-binding response regulator in two-component system with YedV
cobT	1788300	nicotinate-nucleotide dimethylbenzimidazole-P phophoribosyl transferase
cobS	1788301	cobalamin 5'-phosphate synthase
cobU	1788302	bifunctional cobinamide kinase/ cobinamide phosphate guanylyltransferase
sbcB	1788321	exonuclease I
yeeY	87082024	predicted DNA-binding transcriptional regulator
yeeZ	1788327	predicted epimerase, with NAD(P)-binding Rossmann-fold domain
hisG	1788330	ATP phosphoribosyltransferase
hisD	1788331	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase
hisC	1788332	histidinol-phosphate aminotransferase
hisB	87082027	fused histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase
hisH	1788334	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit with HisF
hisA	87082028	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1- (5'-phosphoribosyl)-4-imidazolecarboxamide isomerase
hisF	1788336	imidazole glycerol phosphate synthase, catalytic subunit with HisH
hisI	2367128	fused phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase
ugd	1788340	UDP-glucose 6-dehydrogenase
gnd	1788341	gluconate-6-phosphate dehydrogenase, decarboxylating
rfbA	1788351	glucose-1-phosphate thymidylyltransferase
rfbB	1788353	dTDP-glucose 4,6 dehydratase, NAD(P)-binding
wza	1788376	lipoprotein required for capsular polysaccharide translocation through the outer membrane
yegH	87082033	fused predicted membrane protein/predicted membrane protein
asmA	1788378	predicted assembly protein
dcd	1788379	2'-deoxycytidine 5'-triphosphate deaminase
udk	87082034	uridine/cytidine kinase
yegE	1788381	predicted diguanylate cyclase, GGDEF domain signalling protein
alkA	1788383	3-methyl-adenine DNA glycosylase II
yegD	87082035	predicted chaperone
yegI	1788385	conserved protein
yegK	1788387	predicted protein
yegL	1788388	conserved protein
baeS	1788393	sensory histidine kinase in two-component regulatory system with BaeR
baeR	1788394	DNA-binding response regulator in two-component regulatory system with BaeS
yegP	87082037	predicted protein
yegQ	1788397	predicted peptidase
yegR	87082038	predicted protein
yegU	1788416	predicted hydrolase
yegV	1788417	predicted kinase
yegW	1788418	predicted DNA-binding transcriptional regulator
yegX	87082043	predicted hydrolase
thiD	1788420	bifunctional hydroxy-methylpyrimidine kinase/ hydroxy-phosphomethylpyrimidine kinase
thiM	1788421	hydoxyethylthiazole kinase
mrp	87082045	antiporter inner membrane protein
metG	1788432	methionyl-tRNA synthetase
yehT	87082052	predicted response regulator in two-component system withYehU
yehU	1788446	predicted sensory kinase in two-component system with YehT
yohO	87082053	predicted protein
yehW	1788449	predicted transporter subunit: membrane component of ABC superfamily
yehX	1788450	predicted transporter subunit: ATP-binding component of ABC superfamily
yehY	1788451	predicted transporter subunit: membrane component of ABC superfamily
osmF	1788452	predicted transporter subunit: periplasmic-binding component of ABC superfamily
bglX	1788453	beta-D-glucoside glucohydrolase, periplasmic
dld	1788454	D-lactate dehydrogenase, FAD-binding, NADH independent
pbpG	87082054	D-alanyl-D-alanine endopeptidase
yohC	87082055	predicted inner membrane protein
yohD	87082056	conserved inner membrane protein
yohF	1788459	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain
yohJ	1788463	conserved inner membrane protein
yohK	1788464	predicted inner membrane protein
cdd	1788465	cytidine/deoxycytidine deaminase
sanA	1788466	predicted protein
yeiS	1788467	predicted inner membrane protein
yeiT	1788468	Dihydropyrimidine dehydrogenase, NADH-dependent, subunit A
mglC	1788471	methyl-galactoside transporter subunit
mglB	1788473	methyl-galactoside transporter subunit
galS	1788474	DNA-binding transcriptional repressor
yeiB	1788475	conserved inner membrane protein
folE	1788476	GTP cyclohydrolase I
yeiG	1788477	predicted esterase
cirA	1788478	ferric iron-catecholate outer membrane transporter
lysP	1788480	lysine transporter
yeiE	1788481	predicted DNA-binding transcriptional regulator
yeiH	1788482	conserved inner membrane protein
nfo	1788483	endonuclease IV with intrinsic 3'-5' exonuclease activity
yeiI	1788484	predicted kinase
nupX	1788485	predicted nucleoside transporter
psuT	1788488	predicted nucleoside transporter
fruA	1788492	fused fructose-specific PTS enzymes: IIBcomponent/IIC components
fruK	1788493	fructose-1-phosphate kinase
fruB	1788494	fused fructose-specific PTS enzymes: IIA component/HPr component
yeiW	87082060	conserved protein
yeiP	87082061	predicted elongtion factor
yeiQ	1788497	predicted dehydrogenase, NAD-dependent
yeiR	1788499	predicted enzyme
lpxT	87082062	undecaprenyl pyrophosphate phosphatase
spr	1788501	predicted peptidase, outer membrane lipoprotein
rtn	1788502	conserved protein
yejA	87082063	predicted oligopeptide transporter subunit
yejB	1788504	predicted oligopeptide transporter subunit
yejE	1788505	predicted oligopeptide transporter subunit
yejF	1788506	fused predicted oligopeptide transporter subunits of ABC superfamilly: ATP-binding components
yejG	1788507	predicted protein
bcr	1788509	bicyclomycin/multidrug efflux system
rsuA	1788510	16S rRNA pseudouridylate 516 synthase
yejH	1788511	predicted ATP-dependet helicase
rplY	1788512	50S ribosomal subunit protein L25
yejK	1788513	nucleotide associated protein
yejL	1788514	conserved protein
yejM	1788515	predicted hydrolase, inner membrane
narP	1788521	DNA-binding response regulator in two-component regulatory system with NarQ or NarX
ccmH	1788522	heme lyase, CcmH subunit
ccmG	1788523	periplasmic thioredoxin of cytochrome c-type biogenesis
ccmF	1788524	heme lyase, CcmF subunit
ccmE	1788525	periplasmic heme chaperone
ccmD	1788526	cytochrome c biogenesis protein
ccmC	1788527	heme exporter subunit
ccmB	1788528	heme exporter subunit
ccmA	87082064	heme exporter subunit
napC	1788530	nitrate reductase, cytochrome c-type, periplasmic
napB	87082065	nitrate reductase, small, cytochrome C550 subunit, periplasmic
napH	1788532	ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB)
napG	1788533	ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB)
napA	1788534	nitrate reductase, periplasmic, large subunit
napD	1788535	assembly protein for periplasmic nitrate reductase
napF	1788536	ferredoxin-type protein, predicted role in electron transfer to periplasmic nitrate reductase (NapA)
yojO	145693156	hypothetical protein
mqo	1788539	malate dehydrogenase, FAD/NAD(P)-binding domain
yojI	1788540	fused predicted multidrug transport subunits of ABC superfamily: membrane component/ATP-binding component
alkB	1788541	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions
ada	1788542	fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase
apbE	1788543	predicted thiamine biosynthesis lipoprotein
ompC	1788544	outer membrane porin protein C
rcsD	1788545	phosphotransfer intermediate protein in two-component regulatory system with RcsBC
rcsB	1788546	DNA-binding response regulator in two-component regulatory system with RcsC and YojN
rcsC	145693157	hybrid sensory kinase in two-component regulatory system with RcsB and YojN
yfaP	1788556	conserved protein
yfaQ	1788557	predicted protein
gyrA	1788562	DNA gyrase (type II topoisomerase), subunit A
ubiG	1788564	bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase
ypaB	145693158	hypothetical protein
nrdA	2367133	ribonucleoside diphosphate reductase 1, alpha subunit
nrdB	1788567	ribonucleoside diphosphate reductase 1, beta subunit, ferritin-like
yfaE	1788568	predicted 2Fe-2S cluster-containing protein
inaA	1788569	conserved protein
