Merge ID	1DG005_L2s_NSAF	1DG005_PEL_L2_NSAF	1DG006_L6_NSAF	1DG010_L1_NSAF	# Studies	TableS4_BL21_DE3_ProteomeV8 Duplicates	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	TatP D-score	Protein Len	Protein MW	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra
C6EIL5_ECOBD	1	1	1	1	4	DSBC_ECOLI	C6EIL5_ECOBD	G	Protein disulfide isomerase II (EC 5.3.4.1) (Thiol:disulfide interchange protein DsbC)	236	1,316.65	5	5	10	5	6	9	4	4	8	3	3	4
C6EA92_ECOBD	1	1	1	1	4	NLPE_ECOLI	C6EA92_ECOBD	I	Copper resistance lipoprotein NlpE (Lipoprotein involved with copper homeostasis and adhesion)	236	1,234.61	7	10	17	7	10	10	6	8	10	4	5	6
C6EEC7_ECOBD	1	1	1	1	4	YIAF_ECOLI	C6EEC7_ECOBD	E	Putative uncharacterized protein (Putative uncharacterized protein yiaF)	236	1,124.61	12	19	89	13	23	77	13	38	129	15	27	59
C6EKN5_ECOBD	1	1	1	0	3	PUR7_ECOLI	C6EKN5_ECOBD	A	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	237	8.014.941	8	8	16	4	4	4	1	1	1			
C6EA23_ECOBD	1	1	1	1	4	YEIU_ECOLI	C6EA23_ECOBD	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	237	2,389.30	7	9	24	7	10	14	7	9	20	4	4	4
C6EBH0_ECOBD	1	1	0	0	2	ARCA_ECOLI	C6EBH0_ECOBD	A	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)	238	2,043.98	7	7	13	3	3	3						
C6EB86_ECOBD	1	1	0	0	2	YEEN_ECOLI	C6EB86_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein yeeN)	238	1,122.52	1	1	1	1	1	1						
C6ELE6_ECOBD	1	1	1	0	3	HISM_ECOLI	C6ELE6_ECOBD	B	Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	238	1,165.60	1	1	1	1	1	1	1	1	1			
C6EIB9_ECOBD	1	1	1	1	4	ARTQ_ECOLI	C6EIB9_ECOBD	B	Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	238	1,726.91	2	2	8	2	2	4	2	2	5	1	1	1
C6EJL3_ECOBD	1	1	1	1	4	DHSB_ECOLI	C6EJL3_ECOBD	F1	Succinate dehydrogenase and fumarate reductase iron-sulfur protein (EC 1.3.99.1) (Succinate dehydrogenase, FeS subunit) (EC 1.3.99.1)	238	1,437.61	23	38	188	17	21	34	21	29	65	18	28	55
C6EG02_ECOBD	1	1	1	1	4	YIGB_ECOLI	C6EG02_ECOBD	A	HAD-superfamily hydrolase, subfamily IA, variant 1 (Predicted hydrolase)	238	1,136.53	4	4	6	1	1	1	1	1	1	1	1	1
C6EIF0_ECOBD	1	0	0	0	1	TRMB_ECOLI	C6EIF0_ECOBD	A	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA(m7G46)-methyltransferase)	239	1,242.75	1	1	5									
C6EGT0_ECOBD	1	1	0	0	2	FADR_ECOLI	C6EGT0_ECOBD	A	Fatty acid metabolism regulator (Fatty acid metabolism transcriptional regulator FadR)	239	1,948.05	5	5	7	4	4	5						
C6EJJ3_ECOBD	1	1	0	0	2	PNUC_ECOLI	C6EJJ3_ECOBD	B	Nicotinamide mononucleotide transporter PnuC (Predicted nicotinamide mononucleotide transporter)	239	1,147.56	1	1	2	1	1	2						
C6EBI7_ECOBD	1	1	1	1	4	DEOD_ECOLI	C6EBI7_ECOBD	A	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	239	1,021.56	17	23	50	17	23	41	13	18	36	6	6	6
C6EFG9_ECOBD	1	1	1	1	4	OMPR_ECOLI	C6EFG9_ECOBD	A	Two component transcriptional regulator, winged helix family	239	1,114.49	15	19	68	9	9	14	5	5	8	6	7	11
C6EDP0_ECOBD	1	1	1	1	4	RSTA_ECOLI	C6EDP0_ECOBD	A	Two component transcriptional regulator, winged helix family	239	8.464.679	7	7	16	5	5	5	1	1	1	1	1	1
C6EAG8_ECOBD	1	1	1	1	4	SANA_ECOLI	C6EAG8_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein sanA)	239	1,235.64	7	8	22	7	8	16	7	7	11	6	6	6
C6EIF3_ECOBD	1	1	1	1	4	YGGN_ECOLI	C6EIF3_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein yggN)	239	9.184.891	1	1	1	1	1	1	3	3	3	1	1	1
C6EAM6_ECOBD	1	0	0	0	1	BAER_ECOLI	C6EAM6_ECOBD	A	DNA-binding response regulator in two-component regulatory system with BaeS (Two component transcriptional regulator, winged helix family)	240	2,240.29	1	2	3									
C6EIQ4_ECOBD	1	1	0	0	2	NFSA_ECOLI	C6EIQ4_ECOBD	A	Nitroreductase (Nitroreductase A, NADPH-dependent, FMN-dependent) (EC 1.-.-.-)	240	8.734.788	2	2	2	2	2	2						
C6E9W9_ECOBD	1	1	0	0	2	UBIG_ECOLI	C6E9W9_ECOBD	A	3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64) (Ubiquinone biosynthesis O-methyltransferase) (EC 2.1.1.64)	240	8.214.516	3	3	4	2	2	3						
C6EGB8_ECOBD	1	1	0	0	2	YHEO_ECOLI	C6EGB8_ECOBD	A	Predicted DNA-binding transcriptional regulator (YheO domain protein)	240	1,283.77	3	3	5	1	1	1						
C6EKU2_ECOBD	1	1	1	0	3	LPXH_ECOLI	C6EKU2_ECOBD	F1	UDP-2,3-diacylglucosamine hydrolase	240	1,502.75	2	2	4	2	2	2	1	1	2			
C6EIX3_ECOBD	1	1	1	1	4	GLNQ_ECOLI	C6EIX3_ECOBD	F1	ABC transporter related (Glutamine ABC transporter ATP-binding protein)	240	1,100.57	12	14	54	6	6	8	20	30	80	20	26	47
C6EA77_ECOBD	1	1	1	1	4	YAFS_ECOLI	C6EA77_ECOBD	A	Methyltransferase type 11 (Predicted S-adenosyl-L-methionine-dependent methyltransferase)	240	1,081.60	5	5	6	5	5	6	4	4	5	2	2	2
C6EG79_ECOBD	1	1	1	0	3	PHOU_ECOLI	C6EG79_ECOBD	F1	Negative regulator of PhoR/PhoB two-component regulator (Phosphate uptake regulator, PhoU)	241	1,448.79	4	4	4	4	4	4	2	2	2			
C6EH26_ECOBD	1	1	1	1	4	LPTB_ECOLI	C6EH26_ECOBD	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	241	1,111.58	21	25	94	9	10	11	12	13	20	15	18	19
C6EAB4_ECOBD	1	1	1	1	4	PYRH_ECOLI	C6EAB4_ECOBD	A	Uridylate kinase (EC 2.7.4.22)	241	9.915.571	3	3	7	1	1	1	3	3	4	3	3	3
C6EAB6_ECOBD	1	1	1	1	4	RS2_ECOLI	C6EAB6_ECOBD	A	30S ribosomal protein S2	241	1,109.56	36	51	209	24	33	53	30	37	99	22	27	67
C6EIB7_ECOBD	1	1	1	1	4	ARTP_ECOLI	C6EIB7_ECOBD	F1	Arginine transporter ATP-binding subunit (Arginine transporter subunit)	242	1,001.54	13	17	76	6	8	11	7	9	18	4	5	7
C6EH19_ECOBD	1	1	1	1	4	MTGA_ECOLI	C6EH19_ECOBD	B	Monofunctional biosynthetic peptidoglycan transglycosylase (Monofunctional TGase) (EC 2.4.2.-)	242	1,091.57	3	3	7	2	2	5	3	4	7	4	4	6
C6ECG9_ECOBD	1	0	0	0	1	RLMB_ECOLI	C6ECG9_ECOBD	A	23S rRNA (Gm2251)-methyltransferase (EC 2.1.1.-) (RNA methyltransferase, TrmH family, group 3)	243	1,031.58	10	12	20									
C6EAI5_ECOBD	1	1	0	0	2	MLRA_ECOLI	C6EAI5_ECOBD	B	DNA-binding transcriptional regulator (Transcriptional regulator, MerR family)	243	2,231.21	1	1	1	1	1	1						
C6EIG5_ECOBD	1	1	0	0	2	RSME_ECOLI	C6EIG5_ECOBD	A	Putative uncharacterized protein	243	1,510.82	1	1	1	1	1	1						
C6EIB8_ECOBD	1	1	1	1	4	ARTI_ECOLI	C6EIB8_ECOBD	G	Arginine transporter subunit (Cationic amino acid ABC transporter, periplasmic binding protein)	243	3,495.78	15	16	29	16	19	22	13	15	25	5	5	7
C6EIC1_ECOBD	1	1	1	1	4	ARTJ_ECOLI	C6EIC1_ECOBD	G	Arginine transporter subunit (Cationic amino acid ABC transporter, periplasmic binding protein)	243	2,145.12	11	14	19	13	16	19	8	9	12	3	3	3
C6EL87_ECOBD	1	0	0	0	1	YPDB_ECOLI	C6EL87_ECOBD	A	Predicted response regulator in two-component system withYpdA (Two component transcriptional regulator, LytTR family)	244	1,417.77	1	1	1									
C6ECX0_ECOBD	1	1	0	0	2	FRDB_ECOLI	C6ECX0_ECOBD	F1	Fumarate reductase (Anaerobic), Fe-S subunit (EC 1.3.99.1) (Succinate dehydrogenase and fumarate reductase iron-sulfur protein) (EC 1.3.99.1)	244	1,816.75	13	17	35	3	3	5						
C6EHY7_ECOBD	1	1	1	1	4	EXBB_ECOLI	C6EHY7_ECOBD	B	Membrane spanning protein in TonB-ExbB-ExbD complex (TonB-system energizer ExbB)	244	1,057.56	6	8	26	6	8	17	7	12	30	7	9	17
C6EHC1_ECOBD	1	1	1	1	4	FABG_ECOLI	C6EHC1_ECOBD	A	3-oxoacyl-(Acyl-carrier-protein) reductase (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.100)	244	1,935.98	8	8	32	5	5	7	5	5	11	2	2	3
C6EBK9_ECOBD	1	0	0	0	1	DNAC_ECOLI	C6EBK9_ECOBD	A	AAA ATPase (DNA biosynthesis protein)	245	1,045.54	1	1	2									
C6EHH8_ECOBD	1	1	0	0	2	YCDX_ECOLI	C6EHH8_ECOBD	A	PHP domain protein (Putative uncharacterized protein ycdX)	245	1,193.51	2	2	2	1	1	1						
C6EB61_ECOBD	1	1	1	1	4	HIS4_ECOLI	C6EB61_ECOBD	A	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	245	1,100.55	7	8	14	6	7	11	1	1	3	1	1	2
C6EHX6_ECOBD	1	1	1	1	4	PLSC_ECOLI	C6EHX6_ECOBD	F1	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	245	8.564.094	11	15	33	11	17	32	12	15	47	7	11	19
C6EJZ5_ECOBD	1	1	1	1	4	YFIO_ECOLI	C6EJZ5_ECOBD	I	Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	245	8.884.323	26	36	94	25	34	55	22	33	68	22	26	42
C6EJU4_ECOBD	1	1	1	1	4	YGAZ_ECOLI	C6EJU4_ECOBD	B	AzlC family protein (Predicted transporter)	245	2,154.91	2	2	2	2	2	2	1	1	4	1	1	1
C6EA75_ECOBD	1	0	0	0	1	DPO3E_ECOLI	C6EA75_ECOBD	A	DNA polymerase III, epsilon subunit (EC 2.7.7.7)	246	9.674.878	1	1	2									
C6EG11_ECOBD	1	1	0	0	2	HEM4_ECOLI	C6EG11_ECOBD	A	Uroporphyrinogen-III synthase (EC 4.2.1.75) (Uroporphyrinogen-III synthetase) (EC 4.2.1.75)	246	1,286.63	2	2	2	2	2	2						
C6EK41_ECOBD	1	1	1	1	4	GLTJ_ECOLI	C6EK41_ECOBD	B	Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	246	1,108.61	5	5	12	5	5	8	6	8	15	3	3	3
C6EG17_ECOBD	1	1	1	1	4	WECG_ECOLI	C6EG17_ECOBD	A	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246	8.004.625	17	23	60	12	15	25	19	26	56	12	18	38
C6EII7_ECOBD	1	1	1	1	4	YGGE_ECOLI	C6EII7_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein yggE)	246	8.754.581	19	20	69	15	20	42	24	43	114	15	17	26
C6EBW3_ECOBD	1	1	1	1	4	YEBC_ECOLI	C6EBW3_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein yebC)	246	1,064.46	3	3	3	3	3	3	1	1	2	2	2	2
C6EBV7_ECOBD	1	1	0	0	2	CMOA_ECOLI	C6EBV7_ECOBD	A	tRNA (cmo5U34)-methyltransferase (EC 2.1.1.-)	247	1,969.97	3	3	4	2	2	2						
C6EAV4_ECOBD	1	1	0	0	2	YACF_ECOLI	C6EAV4_ECOBD	A	UPF0289 protein yacF	247	1,729.86	3	3	8	3	3	7						
C6EJM8_ECOBD	1	1	0	0	2	YBGI_ECOLI	C6EJM8_ECOBD	A	Conserved metal-binding protein (Putative uncharacterized protein)	247	1,815.96	2	2	2	2	2	2						
C6EB80_ECOBD	1	1	1	1	4	COBS_ECOLI	C6EB80_ECOBD	B	Cobalamin synthase (EC 2.-.-.-)	247	1,162.61	3	3	5	3	4	7	2	3	4	1	2	2
C6EFY1_ECOBD	1	1	1	1	4	YCIC_ECOLI	C6EFY1_ECOBD	B	UPF0259 membrane protein yciC	247	1,024.54	1	1	5	1	1	3	1	1	3	1	1	1
C6ECS3_ECOBD	1	0	0	0	1	SUFC_ECOLI	C6ECS3_ECOBD	F1	Cysteine desulfurase ATPase component (FeS assembly ATPase SufC)	248	2,092.12	3	3	3									
C6EEX4_ECOBD	1	1	0	0	2	FENR_ECOLI	C6EEX4_ECOBD	A	Ferredoxin-NADP reductase (EC 1.18.1.2) (Oxidoreductase FAD/NAD(P)-binding domain protein)	248	9.624.902	7	7	7	7	7	7						
C6EIX1_ECOBD	1	1	1	1	4	GLNH_ECOLI	C6EIX1_ECOBD	G	Cationic amino acid ABC transporter, periplasmic binding protein (Glutamine ABC transporter periplasmic protein)	248	8.224.105	19	22	58	19	23	35	12	13	32	5	5	5
C6EC47_ECOBD	1	1	1	1	4	MIPA_ECOLI	C6EC47_ECOBD	H	MltA-interacting MipA family protein (Scaffolding protein for murein synthesizing machinery)	248	3,006.47	2	2	5	2	2	2	4	5	8	4	5	11
C6EDU7_ECOBD	1	1	1	1	4	YDFG_ECOLI	C6EDU7_ECOBD	A	L-allo-threonine dehydrogenase, NAD(P)-binding (Short-chain dehydrogenase/reductase SDR)	248	9.875.293	5	5	5	5	5	5	1	1	1	1	1	1
C6EDR3_ECOBD	1	1	1	1	4	YNFC_ECOLI	C6EDR3_ECOBD	E	Putative uncharacterized protein	248	1,392.70	2	2	5	2	2	4	3	3	4	3	3	3
C6EB48_ECOBD	1	1	1	1	4	Null	C6EB48_ECOBD	A	Putative glycosyltransferase WbbA (Putative uncharacterized protein)	248	1,029.54	5	5	13	7	9	14	5	6	10	5	5	5
C6ECP8_ECOBD	1	0	1	1	3	BTUD_ECOLI	C6ECP8_ECOBD	F1	ABC transporter related (Vitamin B12-transporter ATPase)	249	1,362.64	3	3	4				1	1	1	3	3	3
C6EBE4_ECOBD	1	0	0	0	1	YECC_ECOLI	C6EBE4_ECOBD	F1	ABC transporter related	250	8.734.538	1	1	7									
C6EJR0_ECOBD	1	1	0	0	2	NAGD_ECOLI	C6EJR0_ECOBD	A	HAD-superfamily hydrolase, subfamily IIA (UMP phosphatase)	250	2,270.21	1	1	1	1	1	1						
C6EJI9_ECOBD	1	1	1	1	4	GPMA_ECOLI	C6EJI9_ECOBD	A	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	250	9.175.051	8	8	12	6	6	6	8	8	12	7	7	7
C6ECF8_ECOBD	1	0	0	0	1	ULAR_ECOLI	C6ECF8_ECOBD	A	DNA-binding transcriptional dual regulator (Transcriptional regulator, DeoR family)	251	8.855.153	2	2	3									
C6EEY0_ECOBD	1	1	1	1	4	CDH_ECOLI	C6EEY0_ECOBD	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	251	1,809.92	21	23	75	21	24	50	18	24	36	17	24	38
C6ELA7_ECOBD	1	1	1	1	4	MLAA_ECOLI	C6ELA7_ECOBD	I	Predicted lipoprotein (VacJ family lipoprotein)	251	1,200.66	1	1	2	1	1	1	6	9	18	4	4	5
C6EF63_ECOBD	1	1	1	1	4	UBIE_ECOLI	C6EF63_ECOBD	A	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE (EC 2.1.1.-)	251	8.514.621	13	17	46	4	4	4	2	2	4	3	4	5
C6EIP3_ECOBD	1	1	1	1	4	YGER_ECOLI	C6EIP3_ECOBD	I	Peptidase M23 (Tetratricopeptide repeat transcriptional regulator)	251	1,144.62	10	10	12	10	10	12	5	5	6	7	7	8
C6EBW9_ECOBD	1	1	1	1	4	ZNUC_ECOLI	C6EBW9_ECOBD	F1	ABC transporter related (High-affinity zinc transporter ATPase)	251	1,518.85	5	5	13	2	2	2	9	9	14	7	8	8
C6EIU3_ECOBD	1	0	0	0	1	DEOR_ECOLI	C6EIU3_ECOBD	A	DNA-binding transcriptional repressor (Transcriptional regulator, DeoR family)	252	2,276.24	1	1	1									
C6EFF1_ECOBD	1	1	0	0	2	GLPR_ECOLI	C6EFF1_ECOBD	A	Transcriptional regulator, DeoR family	252	1,540.83	1	1	1	1	1	1						
C6EIH3_ECOBD	1	1	1	1	4	YGGG_ECOLI	C6EIH3_ECOBD	I	Peptidase M48 Ste24p	252	1,277.67	7	8	9	8	9	9	11	15	17	10	10	11
C6EIZ2_ECOBD	1	1	0	0	2	YBHP_ECOLI	C6EIZ2_ECOBD	A	Endonuclease/exonuclease/phosphatase (Predicted DNase)	253	1,683.88	1	1	1	1	1	1						
C6EL65_ECOBD	1	1	1	1	4	CYSZ_ECOLI	C6EL65_ECOBD	B	Protein CysZ	253	2,102.10	3	5	12	3	5	8	4	4	7	3	4	4
C6EK90_ECOBD	1	1	1	1	4	DSBG_ECOLI	C6EK90_ECOBD	G	Disulfide isomerase/thiol-disulfide oxidase (Periplasmic disulfide isomerase/thiol-disulfide oxidase) (EC 5.3.4.1)	253	1,446.73	1	1	1	1	1	1	2	2	2	1	1	1
C6EAU4_ECOBD	1	0	0	0	1	PDHR_ECOLI	C6EAU4_ECOBD	A	Regulatory protein GntR HTH (Transcriptional regulator of pyruvate dehydrogenase complex)	254	1,169.59	4	5	10									
C6EF71_ECOBD	1	1	1	0	3	UDP_ECOLI	C6EF71_ECOBD	A	Uridine phosphorylase	254	3,190.58	2	2	4	2	2	4	9	9	10			
C6EAZ0_ECOBD	1	1	1	0	3	YABI_ECOLI	C6EAZ0_ECOBD	B	Conserved inner membrane protein (SNARE associated Golgi protein)	254	2,340.28	1	1	1	1	1	1	1	1	1			
C6EFV6_ECOBD	1	1	1	1	4	PGPB_ECOLI	C6EFV6_ECOBD	B	Phosphatidylglycerophosphatase (EC 3.1.3.27) (Phosphatidylglycerophosphatase B) (EC 3.1.3.27)	254	1,089.52	3	3	3	3	3	3	3	3	4	1	1	2
C6EJD2_ECOBD	1	0	0	0	1	YGBI_ECOLI	C6EJD2_ECOBD	A	Transcriptional regulator, DeoR family	255	1,131.59	7	8	22									
C6EA65_ECOBD	1	1	0	0	2	YAFJ_ECOLI	C6EA65_ECOBD	A	Glutamine amidotransferase class-II (Predicted amidotransfease)	255	1,051.52	2	2	4	2	2	2						
C6EEX9_ECOBD	1	1	1	1	4	TPIS_ECOLI	C6EEX9_ECOBD	A	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	255	1,208.64	8	10	10	8	10	10	3	3	4	2	2	2
C6EFG2_ECOBD	1	0	0	0	1	BIOH_ECOLI	C6EFG2_ECOBD	A	BioH protein (EC 3.1.1.1)	256	1,265.69	1	1	1									
C6EKX1_ECOBD	1	1	1	1	4	YBBO_ECOLI	C6EKX1_ECOBD	A	Short-chain dehydrogenase/reductase SDR	256	1,306.69	16	19	54	14	18	35	12	14	39	9	11	23
C6ELE7_ECOBD	1	1	1	1	4	HISP_ECOLI	C6ELE7_ECOBD	F1	ABC transporter related (Histidine/lysine/arginine/ornithine transporter subunit)	257	1,369.70	13	16	49	11	15	20	10	12	22	13	17	21
C6EG78_ECOBD	1	1	1	1	4	PSTB_ECOLI	C6EG78_ECOBD	F1	Phosphate ABC transporter, ATPase subunit (Phosphate transporter subunit)	257	9.654.609	16	18	40	15	19	35	19	22	33	13	15	19
C6EBG3_ECOBD	1	0	0	0	1	YAAA_ECOLI	C6EBG3_ECOBD	A	UPF0246 protein yaaA	258	1,001.61	2	2	2									
C6EHQ0_ECOBD	1	1	0	0	2	EXUR_ECOLI	C6EHQ0_ECOBD	A	DNA-binding transcriptional repressor (Regulatory protein GntR HTH)	258	1,178.62	2	2	5	1	1	1						
C6EE50_ECOBD	1	1	1	0	3	ARGB_ECOLI	C6EE50_ECOBD	A	Acetylglutamate kinase	258	2,075.08	2	2	3	1	1	1	1	1	1			
C6EB60_ECOBD	1	1	1	0	3	HIS6_ECOLI	C6EB60_ECOBD	A	Imidazole glycerol phosphate synthase subunit hisF (EC 4.1.3.-) (IGP synthase cyclase subunit) (IGP synthase subunit hisF) (ImGP synthase subunit hisF)	258	1,687.91	1	1	1	1	1	1	1	1	1			
C6EF58_ECOBD	1	1	1	1	4	TATC_ECOLI	C6EF58_ECOBD	B	Sec-independent protein translocase, TatC subunit (TatABCE protein translocation system subunit)	258	2,008.82	4	5	20	6	8	17	3	6	24	3	5	9
C6EBJ0_ECOBD	1	1	1	1	4	DEOC_ECOLI	C6EBJ0_ECOBD	A	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	259	1,137.59	24	30	95	24	31	51	20	20	37	19	20	27
C6EKX3_ECOBD	1	1	1	1	4	YBBM_ECOLI	C6EKX3_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	259	1,329.70	1	1	1	1	1	1	3	3	5	1	1	1
C6EI62_ECOBD	1	1	1	1	4	YCBC_ECOLI	C6EI62_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	259	1,086.57	8	9	9	7	8	8	9	9	11	6	7	7
C6EB99_ECOBD	1	1	0	0	2	YEDW_ECOLI	C6EB99_ECOBD	A	Two component heavy metal response transcriptional regulator, winged helix family	260	9.614.698	1	1	2	1	1	1						
C6ELE3_ECOBD	1	1	1	1	4	ARGT_ECOLI	C6ELE3_ECOBD	G	Cationic amino acid ABC transporter, periplasmic binding protein (Lysine/arginine/ornithine transporter subunit)	260	1,701.83	6	6	11	6	6	7	6	7	9	2	2	2
C6ELE4_ECOBD	1	1	1	1	4	HISJ_ECOLI	C6ELE4_ECOBD	G	Cationic amino acid ABC transporter, periplasmic binding protein (Histidine/lysine/arginine/ornithine transporter subunit)	260	1,504.67	26	31	91	26	31	43	17	17	28	12	12	13
C6EH33_ECOBD	1	1	1	1	4	MLAE_ECOLI	C6EH33_ECOBD	B	Predicted toluene transporter subunit: membrane component of ABC superfamily (Putative uncharacterized protein)	260	1,283.71	6	8	39	6	8	32	8	11	63	4	4	7
C6EI61_ECOBD	1	0	1	0	2	SMTA_ECOLI	C6EI61_ECOBD	A	Methyltransferase type 11 (Predicted S-adenosyl-L-methionine-dependent methyltransferase)	261	8.164.574	1	1	4				1	1	1			
C6EJH6_ECOBD	1	1	0	0	2	Null	C6EJH6_ECOBD	A	Bet (Phage recombination protein Bet)	261	8.024.418	1	1	1	1	1	1						
C6EAA4_ECOBD	1	1	0	0	2	LPXA_ECOLI	C6EAA4_ECOBD	A	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	262	974.473	1	1	2	1	1	1						
C6EFU4_ECOBD	1	1	1	1	4	FABI_ECOLI	C6EFU4_ECOBD	F1	Enoyl-(Acyl carrier protein) reductase (EC 1.3.1.9) (Short-chain dehydrogenase/reductase SDR)	262	8.594.631	7	8	12	6	7	8	6	6	8	2	2	3
C6EC02_ECOBD	1	1	0	0	2	KDGR_ECOLI	C6EC02_ECOBD	A	Predicted DNA-binding transcriptional regulator (Transcriptional regulator, IclR family)	263	1,755.99	1	1	1	1	1	1						
C6EJJ5_ECOBD	1	1	1	1	4	YBGF_ECOLI	C6EJJ5_ECOBD	G	Putative uncharacterized protein ybgF (Tol-pal system protein YbgF)	263	2,128.04	11	14	28	11	14	20	13	16	19	8	10	13
C6EGW7_ECOBD	1	1	1	0	3	POTC_ECOLI	C6EGW7_ECOBD	B	Binding-protein-dependent transport systems inner membrane component (Spermidine/putrescine ABC transporter membrane protein)	264	1,221.65	2	2	3	2	2	2	1	1	1			
C6EKY2_ECOBD	1	1	0	1	3	YBAP_ECOLI	C6EKY2_ECOBD	A	GumN family protein (Putative uncharacterized protein ybaP)	264	8.264.129	1	1	1	1	1	1				1	1	1
C6EGZ2_ECOBD	1	0	0	0	1	YCFH_ECOLI	C6EGZ2_ECOBD	A	Hydrolase, TatD family (Predicted metallodependent hydrolase)	265	1,145.57	3	3	4									
C6EKE7_ECOBD	1	1	0	0	2	YBCM_ECOLI	C6EKE7_ECOBD	A	Predicted DNA-binding transcriptional regulator (Transcriptional regulator, AraC family)	265	1,108.60	2	2	2	2	2	2						
C6EB91_ECOBD	1	1	1	0	3	MTFA_ECOLI	C6EB91_ECOBD	F1	Putative uncharacterized protein (Putative uncharacterized protein yeeI)	265	8.194.836	3	3	4	2	2	2	1	1	1			
C6EAD3_ECOBD	1	1	1	1	4	FHUC_ECOLI	C6EAD3_ECOBD	F1	ABC transporter related (Iron-hydroxamate transporter subunit)	265	1,045.59	8	8	14	3	3	3	2	2	3	1	1	1
C6EDG1_ECOBD	1	1	1	1	4	RFAP_ECOLI	C6EDG1_ECOBD	A	Lipopolysaccharide kinase	265	1,577.83	9	10	19	8	9	9	11	12	21	3	3	4
C6EBT2_ECOBD	1	0	0	0	1	OTSB_ECOLI	C6EBT2_ECOBD	A	Trehalose-6-phosphate phosphatase, biosynthetic (EC 3.1.3.12) (Trehalose-phosphatase) (EC 3.1.3.12)	266	1,147.59	1	1	1									
C6EEU9_ECOBD	1	0	0	0	1	YDCF_ECOLI	C6EEU9_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein ydcF)	266	1,360.76	4	4	13									
C6EAK7_ECOBD	1	1	0	0	2	THID_ECOLI	C6EAK7_ECOBD	A	Phosphomethylpyrimidine kinase (EC 2.7.4.7)	266	1,483.81	2	2	3	2	2	3						
C6EAC6_ECOBD	1	1	1	1	4	BTUF_ECOLI	C6EAC6_ECOBD	G	Periplasmic binding protein (Vitamin B12-transporter protein BtuF)	266	1,651.88	3	3	3	3	3	3	3	3	3	2	2	2
C6EC12_ECOBD	1	1	1	1	4	PTNC_ECOLI	C6EC12_ECOBD	B	Mannose-specific enzyme IIC component of PTS (PTS system, mannose/fructose/sorbose family, IIC subunit)	266	1,854.85	2	2	34	2	3	43	2	3	42	2	3	9
C6EKH4_ECOBD	1	1	1	1	4	SUHB_ECOLI	C6EKH4_ECOBD	A	Inositol monophosphatase	267	1,370.73	15	19	30	10	10	12	3	3	3	1	1	1
C6EFX6_ECOBD	1	0	0	0	1	TRPA_ECOLI	C6EFX6_ECOBD	A	Tryptophan synthase alpha chain (EC 4.2.1.20)	268	8.484.699	1	1	1									
