Merge ID	1DG005_L2s_NSAF	1DG005_PEL_L2_NSAF	1DG006_L6_NSAF	1DG010_L1_NSAF	# Studies	TableS4_BL21_DE3_ProteomeV8 Duplicates	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	TatP D-score	Protein Len	Protein MW	Unique Peptides	Unique Spectra	Total #spectra	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra
C6EG87_ECOBD	0	0	0	0	0	CBRB_ECOLI	C6EG87_ECOBD	B	Inner membrane protein (Predicted inner membrane protein)																				
C6EG86_ECOBD	0	0	0	0	0	CBRC_ECOLI	C6EG86_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein yieJ)																				
C6EHT9_ECOBD	0	0	0	0	0	CCA_ECOLI	C6EHT9_ECOBD	A	Multifunctional CCA protein																				
C6E9Z9_ECOBD	1	1	0	0	2	CCMA_ECOLI	C6E9Z9_ECOBD	F1	Heme exporter protein CcmA	205	9.745.742	1	1	1	9.745.742	205	1	1	1										
C6EA00_ECOBD	0	0	0	0	0	CCMB_ECOLI	C6EA00_ECOBD	B	Cytochrome c-type biogenesis protein CcmB (Heme exporter subunit)																				
C6EA01_ECOBD	0	0	1	1	2	CCMC_ECOLI	C6EA01_ECOBD	B	Cytochrome c assembly protein (Heme exporter subunit)											1,208.54	245	1	1	1	1,208.54	245	1	1	1
C6EA02_ECOBD	0	0	0	0	0	CCMD_ECOLI	C6EA02_ECOBD	B	Cytochrome c biogenesis protein (Heme exporter protein D (CcmD))																				
C6EA03_ECOBD	1	1	1	0	3	CCME_ECOLI	C6EA03_ECOBD	B	Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE)	159	1,371.71	2	2	2	1,371.71	159	3	3	4	1,302.61	159	2	3	3					
C6EA04_ECOBD	1	1	1	1	4	CCMF_ECOLI	C6EA04_ECOBD	B	Cytochrome c assembly protein (Heme lyase, CcmF subunit)	647	1,143.62	3	3	3	1,143.62	647	3	3	3	1,143.62	647	3	3	6	1,126.61	647	3	3	4
C6EA06_ECOBD	1	1	1	1	4	CCMH_ECOLI	C6EA06_ECOBD	B	Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)	350	1,451.71	2	2	4	1,451.71	350	2	2	4	1,096.53	350	14	17	26	2,485.24	350	6	6	8
C6EAC2_ECOBD	0	0	0	0	0	CDAR_ECOLI	C6EAC2_ECOBD	A	DNA-binding transcriptional activator (Transcriptional regulator, CdaR)																				
C6EAG9_ECOBD	0	0	0	0	0	CDD_ECOLI	C6EAG9_ECOBD	B	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase)																				
C6EEY0_ECOBD	1	1	1	1	4	CDH_ECOLI	C6EEY0_ECOBD	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	251	1,809.92	21	23	75	8.454.264	251	21	24	50	1,060.54	251	18	24	36	1,216.66	251	17	24	38
C6EAB0_ECOBD	0	0	0	0	0	CDSA_ECOLI	C6EAB0_ECOBD	B	Phosphatidate cytidylyltransferase (EC 2.7.7.41)																				
C6ECM7_ECOBD	0	0	0	0	0	CEDA_ECOLI	C6ECM7_ECOBD	A	Cell division activator CedA																				
C6ECU2_ECOBD	1	0	0	0	1	CFA_ECOLI	C6ECU2_ECOBD	A	Cyclopropane fatty acyl phospholipid synthase (Unsaturated-phospholipid methyltransferase) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase)	382	1,390.75	1	1	2															
C6ECY3_ECOBD	1	1	1	0	3	CH10_ECOLI	C6ECY3_ECOBD	A	10 kDa chaperonin (Protein Cpn10) (groES protein)	97	1,788.97	5	5	9	1,788.97	97	6	7	11	1,495.78	97	3	3	4					
C6ECY2_ECOBD	1	1	1	1	4	CH60_ECOLI	C6ECY2_ECOBD	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548	9.064.603	61	79	140	9.064.603	548	54	67	87	1,799.01	548	49	64	167	1,760.90	548	16	16	35
C6EGP8_ECOBD	1	1	1	1	4	CHAA_ECOLI	C6EGP8_ECOBD	B	Calcium/proton exchanger (Calcium/sodium:proton antiporter)	366	9.184.904	4	4	44	9.184.904	366	4	5	36	1,103.58	366	4	5	32	1,103.58	366	4	5	18
C6EGP7_ECOBD	0	0	0	0	0	CHAB_ECOLI	C6EGP7_ECOBD	A	Cation transport regulator (ChaB family protein)																				
C6EGP6_ECOBD	0	0	0	0	0	CHAC_ECOLI	C6EGP6_ECOBD	A	ChaC family protein																				
C6ECM4_ECOBD	0	0	0	0	0	CHBF_ECOLI	C6ECM4_ECOBD	A	Cryptic phospho-beta-glucosidase, NAD(P)-binding (EC 3.2.1.86) (Glycoside hydrolase family 4)																				
C6ECM5_ECOBD	0	0	0	0	0	CHBG_ECOLI	C6ECM5_ECOBD	A	UPF0249 protein ChbG																				
C6ECM3_ECOBD	0	0	0	0	0	CHBR_ECOLI	C6ECM3_ECOBD	A	Transcriptional regulator, AraC family																				
C6EBT9_ECOBD	0	0	0	0	0	CHEA_ECOLI	C6EBT9_ECOBD	A	CheA signal transduction histidine kinase																				
C6EBU4_ECOBD	0	0	0	0	0	CHEB_ECOLI	C6EBU4_ECOBD	A	Chemotaxis-specific methylesterase (EC 3.1.1.61) (Response regulator receiver modulated CheB methylesterase) (EC 3.1.1.61)																				
C6EBU3_ECOBD	0	0	0	0	0	CHER_ECOLI	C6EBU3_ECOBD	A	Chemotaxis regulator, protein-glutamate methyltransferase (EC 2.1.1.80) (MCP methyltransferase, CheR-type) (EC 2.1.1.80)																				
C6EBU0_ECOBD	0	0	0	0	0	CHEW_ECOLI	C6EBU0_ECOBD	A	CheW protein (Purine-binding chemotaxis protein)																				
C6EBU5_ECOBD	0	0	0	0	0	CHEY_ECOLI	C6EBU5_ECOBD	A	Chemotaxis regulator transmitting signal to flagellar motor component (Response regulator receiver protein)																				
C6EBU6_ECOBD	0	0	0	0	0	CHEZ_ECOLI	C6EBU6_ECOBD	A	Chemotaxis phosphatase, CheZ (Chemotaxis regulator, protein phosphatase for CheY)																				
C6EGC7_ECOBD	0	0	0	0	0	CHIA_ECOLI	C6EGC7_ECOBD	G	Lysozyme (EC 3.2.1.17) (Periplasmic endochitinase) (EC 3.2.1.14) (EC 3.2.1.17)																				
C6ECL7_ECOBD	0	0	0	0	0	CHO_ECOLI	C6ECL7_ECOBD	A	Endonuclease of nucleotide excision repair (Excinuclease ABC C subunit domain protein)																				
C6EJ90_ECOBD	0	0	0	0	0	CHPA_ECOLI	C6EJ90_ECOBD	A	Toxin of the ChpA-ChpR toxin-antitoxin system, endoribonuclease (Transcriptional modulator of MazE/toxin, MazF)																				
C6EJ89_ECOBD	0	0	0	0	0	CHPR_ECOLI	C6EJ89_ECOBD	A	Antitoxin of the ChpA-ChpR toxin-antitoxin system (Transcriptional regulator/antitoxin, MazE)																				
C6EK79_ECOBD	0	0	0	0	0	CILA_ECOLI	C6EK79_ECOBD	A	Citrate lyase, alpha subunit (EC 4.1.3.6) (Citrate lyase, citrate-ACP transferase (Alpha) subunit) (EC 2.8.3.10) (EC 4.1.3.6)																				
C6E9V1_ECOBD	0	0	0	0	0	CINAL_ECOLI	C6E9V1_ECOBD	A	CinA-like protein																				
C6EAF8_ECOBD	0	0	0	0	0	CIRA_ECOLI	C6EAF8_ECOBD	H	Ferric iron-catecholate outer membrane transporter (TonB-dependent receptor plug)																				
C6EJL8_ECOBD	1	1	1	1	4	CISY_ECOLI	C6EJL8_ECOBD	A	Citrate synthase (EC 2.3.3.1)	427	1,008.55	16	17	20	1,008.55	427	16	18	22	1,080.54	427	11	11	15	1,937.86	427	2	2	2
C6EK76_ECOBD	0	0	0	0	0	CITC_ECOLI	C6EK76_ECOBD	A	Citrate lyase ligase (EC 6.2.1.22) (Citrate lyase synthetase) (EC 6.2.1.22)																				
C6EK77_ECOBD	0	0	0	0	0	CITD_ECOLI	C6EK77_ECOBD	A	Citrate lyase acyl carrier protein (Citrate lyase gamma chain)																				
C6EK78_ECOBD	0	0	0	0	0	CITE_ECOLI	C6EK78_ECOBD	A	Citrate lyase, beta subunit (EC 4.1.3.6) (Citrate lyase, citryl-ACP lyase (Beta) subunit) (EC 4.1.3.34) (EC 4.1.3.6)																				
C6EK81_ECOBD	0	0	0	0	0	CITG_ECOLI	C6EK81_ECOBD	B	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase) (EC 2.7.8.25)																				
C6EK82_ECOBD	0	0	0	0	0	CITT_ECOLI	C6EK82_ECOBD	B	Anion transporter (Citrate:succinate antiporter)																				
C6EK80_ECOBD	0	0	0	0	0	CITX_ECOLI	C6EK80_ECOBD	A	Probable apo-citrate lyase phosphoribosyl-dephospho-CoA transferase (EC 2.7.7.61) (Apo-ACP nucleodityltransferase) (Holo-ACP synthase) (Holo-citrate lyase synthase)																				
C6EAC9_ECOBD	1	1	1	1	4	CLCA_ECOLI	C6EAC9_ECOBD	B	Chloride channel core (Chloride channel protein)	473	1,357.74	3	4	5	1,357.74	473	3	4	5	1,297.69	473	6	8	13	1,297.69	473	4	5	7
C6EDQ6_ECOBD	0	0	0	0	0	CLCB_ECOLI	C6EDQ6_ECOBD	B	Chloride channel core (Putative voltage-gated ClC-type chloride channel ClcB)																				
C6EI99_ECOBD	0	0	0	0	0	CLPA_ECOLI	C6EI99_ECOBD	A	ATP-dependent Clp protease, ATP-binding subunit clpA																				
C6EJZ8_ECOBD	1	1	1	1	4	CLPB_ECOLI	C6EJZ8_ECOBD	A	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	857	9.155.047	25	30	52	9.155.047	857	13	13	16	1,044.54	857	11	11	13	1,057.60	857	1	1	1
C6EL28_ECOBD	1	1	1	0	3	CLPP_ECOLI	C6EL28_ECOBD	A	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	207	2,331.20	2	3	3	2,331.20	207	2	3	3	2,450.22	207	1	1	1					
C6EIA0_ECOBD	0	0	0	0	0	CLPS_ECOLI	C6EIA0_ECOBD	A	ATP-dependent Clp protease adaptor protein ClpS																				
C6EL27_ECOBD	1	1	1	1	4	CLPX_ECOLI	C6EL27_ECOBD	A	ATP-dependent Clp protease ATP-binding subunit ClpX	424	1,017.53	14	15	28	1,017.53	424	2	2	2	3,269.61	424	4	4	5	1,017.53	424	2	2	2
C6EFY7_ECOBD	1	1	1	1	4	CLS_ECOLI	C6EFY7_ECOBD	B	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	486	9.074.343	17	18	36	9.074.343	486	17	19	37	672.404	486	26	39	107	1,771.97	486	11	12	29
C6EBV7_ECOBD	1	1	0	0	2	CMOA_ECOLI	C6EBV7_ECOBD	A	tRNA (cmo5U34)-methyltransferase (EC 2.1.1.-)	247	1,969.97	3	3	4	1,969.97	247	2	2	2										
C6EBV6_ECOBD	0	0	0	0	0	CMOB_ECOLI	C6EBV6_ECOBD	A	tRNA (mo5U34)-methyltransferase (EC 2.1.1.-)																				
C6EDM1_ECOBD	0	0	0	0	0	CNU_ECOLI	C6EDM1_ECOBD	A	Hemolysin expression modulating family protein (Predicted regulator)																				
C6EE40_ECOBD	0	0	0	0	0	COAA_ECOLI	C6EE40_ECOBD	A	Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase)																				
C6EDF2_ECOBD	0	0	0	0	0	COABC_ECOLI	C6EDF2_ECOBD	A	Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase (EC 4.1.1.36) (EC 6.3.2.5) (Phosphopantothenoylcysteine decarboxylase/phosphopantothenate/cysteine ligase) (EC 6.3.2.5)																				
C6EDF7_ECOBD	0	0	0	0	0	COAD_ECOLI	C6EDF7_ECOBD	A	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase)																				
C6EAV3_ECOBD	1	0	0	0	1	COAE_ECOLI	C6EAV3_ECOBD	A	Dephospho-CoA kinase (EC 2.7.1.24)	206	2,259.20	1	1	1															
C6EK55_ECOBD	0	0	0	0	0	COBC_ECOLI	C6EK55_ECOBD	A	Phosphoglycerate mutase (Predicted alpha-ribazole-5'-P phosphatase)																				
C6EB80_ECOBD	1	1	1	1	4	COBS_ECOLI	C6EB80_ECOBD	B	Cobalamin synthase (EC 2.-.-.-)	247	1,162.61	3	3	5	1,162.61	247	3	4	7	1,162.61	247	2	3	4	9.955.343	247	1	2	2
C6EB81_ECOBD	0	0	0	0	0	COBT_ECOLI	C6EB81_ECOBD	A	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)																				
C6EB79_ECOBD	0	0	0	0	0	COBU_ECOLI	C6EB79_ECOBD	A	Adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase (Adenosylcobinamide-phosphate guanylyltransferase) (EC 2.7.7.62)																				
C6ELP3_ECOBD	0	0	0	0	0	CODA_ECOLI	C6ELP3_ECOBD	A	Cytosine deaminase (EC 3.5.4.1)																				
C6ELP4_ECOBD	1	1	1	1	4	CODB_ECOLI	C6ELP4_ECOBD	B	Cytosine transporter (NCS1 nucleoside transporter family)	419	1,476.66	1	1	1	1,476.66	419	1	1	1	1,476.66	419	1	1	1	1,476.66	419	1	1	1
C6EL17_ECOBD	0	0	0	0	0	COF_ECOLI	C6EL17_ECOBD	A	Cof-like hydrolase (Thiamin pyrimidine pyrophosphate hydrolase)																				
C6EKY0_ECOBD	1	1	1	1	4	COPA_ECOLI	C6EKY0_ECOBD	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	834	1,096.64	29	36	87	8.264.166	834	30	40	82	1,096.64	834	33	44	168	1,096.64	834	15	17	46
C6EFZ7_ECOBD	1	1	1	1	4	CORA_ECOLI	C6EFZ7_ECOBD	B	Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	316	9.345.469	17	23	36	1,036.49	316	15	23	31	1,052.49	316	6	9	19	1,322.65	316	7	9	16
C6EK37_ECOBD	0	0	0	0	0	CORC_ECOLI	C6EK37_ECOBD	A	Predicted ion transport (Transporter-associated region)																				
C6ECD1_ECOBD	1	1	1	1	4	CPDB_ECOLI	C6ECD1_ECOBD	G	2',3'-cyclic-nucleotide 2'-phosphodiesterase (Bifunctional 2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase periplasmic protein) (EC 3.1.3.6) (EC 3.1.4.16)	647	1,430.76	11	11	11	1,430.76	647	11	11	11	1,233.63	647	18	18	19	1,246.66	647	4	4	4
C6EE54_ECOBD	1	1	1	1	4	CPTA_ECOLI	C6EE54_ECOBD	B	Conserved inner membrane protein (Sulfatase)	577	1,109.52	50	64	283	1,109.52	577	50	74	245	8.954.533	577	46	78	456	1,002.47	577	32	46	177
C6EEY6_ECOBD	1	1	1	1	4	CPXA_ECOLI	C6EEY6_ECOBD	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	457	9.745.517	30	36	76	9.745.517	457	29	35	74	1,257.62	457	34	52	111	6.443.726	457	27	39	79
C6EEY4_ECOBD	1	1	0	0	2	CPXP_ECOLI	C6EEY4_ECOBD	F2	Periplasmic protein combats stress (Putative uncharacterized protein)	166	9.765.245	2	2	3	1,477.73	166	1	1	2										
C6EEY5_ECOBD	1	1	0	0	2	CPXR_ECOLI	C6EEY5_ECOBD	F1	DNA-binding response regulator in two-component regulatory system with CpxA (Two component transcriptional regulator, winged helix family)	232	1,139.61	6	6	7	904.5	232	2	2	2										
C6EK70_ECOBD	0	0	0	0	0	CRCA_ECOLI	C6EK70_ECOBD	H	Antimicrobial peptide resistance and lipid A acylation PagP (Palmitoyl transferase for Lipid A)																				
C6EK68_ECOBD	0	0	0	0	0	CRCB_ECOLI	C6EK68_ECOBD	B	Protein CrcB homolog																				
C6EBH4_ECOBD	1	1	1	1	4	CREA_ECOLI	C6EBH4_ECOBD	G	CreA family protein (Putative uncharacterized protein creA)	157	8.774.778	14	16	56	9.984.723	157	10	13	22	8.774.778	157	5	6	11	8.774.778	157	7	8	9
C6EBH3_ECOBD	0	0	0	0	0	CREB_ECOLI	C6EBH3_ECOBD	A	DNA-binding response regulator in two-component regulatory system with CreC (Two component transcriptional regulator, winged helix family)																				
C6EBH2_ECOBD	1	1	1	1	4	CREC_ECOLI	C6EBH2_ECOBD	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with CreB or PhoB, regulator of the CreBC regulon) (EC 2.7.1.-)	474	1,050.56	1	1	1	1,050.56	474	1	1	1	7.294.254	474	4	4	6	1,292.66	474	1	1	1
C6EBH1_ECOBD	0	0	0	0	0	CRED_ECOLI	C6EBH1_ECOBD	B	Inner membrane CreD family protein (Tolerance to colicin E2)																				
C6EA47_ECOBD	1	1	0	0	2	CRL_ECOLI	C6EA47_ECOBD	A	DNA-binding transcriptional regulator (Transcriptional regulator Crl)	133	8.364.626	3	3	3	8.364.626	133	1	1	1										
C6EGA6_ECOBD	1	1	1	1	4	CRP_ECOLI	C6EGA6_ECOBD	A	DNA-binding transcriptional dual regulator (Transcriptional regulator, Crp/Fnr family)	210	9.605.473	25	38	97	1,246.62	210	14	18	22	7.764.083	210	4	4	8	7.764.083	210	4	4	4
C6EJ56_ECOBD	0	0	0	0	0	CSDA_ECOLI	C6EJ56_ECOBD	A	Aminotransferase class V (Cysteine sulfinate desulfinase) (EC 4.4.1.-)																				
C6EHH0_ECOBD	0	0	0	0	0	CSGA_ECOLI	C6EHH0_ECOBD	F4	Cryptic curlin major subunit (Curlin associated repeat protein)																				
C6EHH1_ECOBD	0	0	0	0	0	CSGB_ECOLI	C6EHH1_ECOBD	F4	Curlin associated repeat protein (Curlin nucleator protein, minor subunit in curli complex)																				
C6EHG9_ECOBD	0	0	0	0	0	CSGC_ECOLI	C6EHG9_ECOBD	G	Predicted curli production protein (Putative uncharacterized protein)																				
C6EHH2_ECOBD	0	0	0	0	0	CSGD_ECOLI	C6EHH2_ECOBD	A	DNA-binding transcriptional activator in two-component regulatory system (Transcriptional regulator, LuxR family)																				
C6EHH3_ECOBD	0	0	0	0	0	CSGE_ECOLI	C6EHH3_ECOBD	G	Curli assembly protein CsgE (Predicted transport protein)																				
C6EHH4_ECOBD	0	0	0	0	0	CSGF_ECOLI	C6EHH4_ECOBD	G	Curli assembly protein CsgF (Predicted transport protein)																				
C6EHH5_ECOBD	0	0	0	0	0	CSGG_ECOLI	C6EHH5_ECOBD	I	Curli production assembly/transport component CsgG (Outer membrane lipoprotein)																				
C6EJW6_ECOBD	0	0	0	0	0	CSID_ECOLI	C6EJW6_ECOBD	A	Protein CsiD																				
C6EKH2_ECOBD	1	1	1	0	3	CSIE_ECOLI	C6EKH2_ECOBD	A	Stationary phase inducible protein (Transcriptional antiterminator, BglG)	426	9.605.262	1	1	1	9.605.262	426	1	1	1	1,892.98	426	1	1	1					
C6EEC4_ECOBD	0	0	0	0	0	CSPA_ECOLI	C6EEC4_ECOBD	A	Cold-shock DNA-binding domain protein (Major cold shock protein)																				
C6EC07_ECOBD	1	1	0	0	2	CSPC_ECOLI	C6EC07_ECOBD	A	Cold-shock DNA-binding domain protein (Stress protein, member of the CspA-family)	69	1,905.92	1	1	1	1,905.92	69	1	1	1										
C6EIA1_ECOBD	0	0	0	0	0	CSPD_ECOLI	C6EIA1_ECOBD	A	Cold shock protein-like protein (Cold-shock DNA-binding domain protein)																				
C6EK69_ECOBD	0	0	0	0	0	CSPE_ECOLI	C6EK69_ECOBD	A	Cold shock protein E (Cold-shock DNA-binding domain protein)																				
C6EHL8_ECOBD	0	0	0	0	0	CSPG_ECOLI	C6EHL8_ECOBD	A	Cold-shock DNA-binding domain protein (DNA-binding transcriptional regulator)																				
C6EHL9_ECOBD	0	0	0	0	0	CSPH_ECOLI	C6EHL9_ECOBD	A	Cold-shock DNA-binding domain protein (Stress protein, member of the CspA-family)																				
C6EJT5_ECOBD	1	1	0	0	2	CSRA_ECOLI	C6EJT5_ECOBD	A	Carbon storage regulator	61	1,268.61	1	1	1	1,268.61	61	1	1	1										
C6EGK8_ECOBD	0	1	1	1	3	CSRD_ECOLI	C6EGK8_ECOBD	B	Conserved inner membrane protein (Diguanylate cyclase/phosphodiesterase)						9.715.157	646	1	1	1	7.304.459	646	7	7	7	9.715.157	646	2	2	2
C6EAT4_ECOBD	1	1	1	1	4	CUEO_ECOLI	C6EAT4_ECOBD	G	Multicopper oxidase (Laccase) (Multicopper oxidase type 3)	516	3,087.73	6	6	6	3,087.73	516	8	8	8	2,029.09	516	4	4	6	1,477.80	516	2	2	2
C6EKX7_ECOBD	0	0	0	0	0	CUER_ECOLI	C6EKX7_ECOBD	A	DNA-binding transcriptional activator of copper-responsive regulon genes (Transcriptional regulator, MerR family)																				
C6EKC6_ECOBD	0	0	1	0	1	CUSA_ECOLI	C6EKC6_ECOBD	B	Copper/silver efflux system, membrane component (Heavy metal efflux pump, CzcA family)											5.312.886	1047	1	1	1					
C6EKC7_ECOBD	0	0	0	0	0	CUSB_ECOLI	C6EKC7_ECOBD	F2	Copper/silver efflux system, membrane fusion protein (Efflux transporter, RND family, MFP subunit)																				
C6EKC9_ECOBD	0	0	0	0	0	CUSC_ECOLI	C6EKC9_ECOBD	I	Copper/silver efflux system, outer membrane component (RND efflux system, outer membrane lipoprotein, NodT family)																				
C6EKC8_ECOBD	0	0	0	0	0	CUSF_ECOLI	C6EKC8_ECOBD	G	Periplasmic copper-binding protein																				
C6EKD0_ECOBD	1	1	0	0	2	CUSR_ECOLI	C6EKD0_ECOBD	A	DNA-binding response regulator in two-component regulatory system with CusS (Two component heavy metal response transcriptional regulator, winged helix family)	227	1,280.58	2	2	2	1,280.58	227	1	1	1										
C6EKD1_ECOBD	1	1	1	1	4	CUSS_ECOLI	C6EKD1_ECOBD	B	Heavy metal sensor signal transduction histidine kinase (Sensory histidine kinase in two-component regulatory system with CusR, senses copper ions)	482	9.315.208	5	6	8	9.315.208	482	5	6	8	9.184.891	482	9	10	10	2,166.09	482	3	3	3
C6ECY8_ECOBD	0	0	0	0	0	CUTA_ECOLI	C6ECY8_ECOBD	A	Copper binding protein, copper sensitivity (CutA1 divalent ion tolerance protein)																				
C6EBV3_ECOBD	0	0	0	0	0	CUTC_ECOLI	C6EBV3_ECOBD	A	CutC family protein																				
C6ELE0_ECOBD	0	0	0	0	0	CVPA_ECOLI	C6ELE0_ECOBD	B	Colicin V production protein (Membrane protein required for colicin V production)																				
C6EGS6_ECOBD	1	1	1	1	4	CVRA_ECOLI	C6EGS6_ECOBD	B	Potassium/proton antiporter (Sodium/hydrogen exchanger)	578	1,457.77	4	4	6	1,457.77	578	4	4	6	1,457.77	578	9	9	21	1,338.68	578	7	7	9
C6EG09_ECOBD	0	0	0	0	0	CYAA_ECOLI	C6EG09_ECOBD	A	Adenylate cyclase (EC 4.6.1.1)																				
C6EG08_ECOBD	0	0	0	0	0	CYAY_ECOLI	C6EG08_ECOBD	A	Protein CyaY																				
C6EHN4_ECOBD	0	0	0	0	0	CYBH_ECOLI	C6EHN4_ECOBD	B	Hydrogenase 1, b-type cytochrome subunit (Ni/Fe-hydrogenase, b-type cytochrome subunit)																				
C6ECD6_ECOBD	1	1	1	1	4	CYCA_ECOLI	C6ECD6_ECOBD	B	Amino acid permease-associated region (D-alanine/D-serine/glycine transporter)	470	1,654.85	3	4	23	1,654.85	470	5	7	43	2,224.17	470	6	9	55	1,654.85	470	4	6	13
C6EJK5_ECOBD	1	1	1	1	4	CYDA_ECOLI	C6EJK5_ECOBD	B	Cytochrome bd ubiquinol oxidase subunit I (Cytochrome d terminal oxidase, subunit I) (EC 1.9.3.-)	522	1,092.60	19	22	153	1,646.96	522	21	30	149	1,083.60	522	28	55	360	1,652.77	522	25	39	103
C6EJK4_ECOBD	1	1	1	1	4	CYDB_ECOLI	C6EJK4_ECOBD	B	Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)	379	9.245.262	4	5	8	2,047.99	379	4	5	6	1,564.71	379	4	5	22	1,003.54	379	6	7	13
C6EI96_ECOBD	1	1	1	1	4	CYDC_ECOLI	C6EI96_ECOBD	B	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	573	1,046.53	21	26	39	1,046.53	573	21	28	39	5.433.613	573	31	41	137	5.433.613	573	20	24	40
C6EI95_ECOBD	1	1	1	1	4	CYDD_ECOLI	C6EI95_ECOBD	B	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	588	811.358	21	26	91	1,354.79	588	21	31	83	1,095.52	588	30	46	202	8.044.726	588	20	25	57
C6ELP2_ECOBD	0	0	0	0	0	CYNR_ECOLI	C6ELP2_ECOBD	A	DNA-binding transcriptional dual regulator (Transcriptional regulator, LysR family)																				
C6ELP0_ECOBD	0	0	0	0	0	CYNS_ECOLI	C6ELP0_ECOBD	A	Cyanate hydratase (EC 4.2.1.104) (Cyanate lyase) (EC 4.2.1.104)																				
C6ELP1_ECOBD	0	0	0	0	0	CYNT_ECOLI	C6ELP1_ECOBD	A	Carbonic anhydrase (EC 4.2.1.1)																				
C6ELN9_ECOBD	0	0	0	0	0	CYNX_ECOLI	C6ELN9_ECOBD	B	Cyanate transporter (Predicted cyanate transporter)																				
C6EL34_ECOBD	1	1	1	1	4	CYOA_ECOLI	C6EL34_ECOBD	B	Cytochrome o ubiquinol oxidase subunit II (EC 1.10.3.-) (Ubiquinol oxidase, subunit II)	315	1,018.57	13	22	171	1,018.57	315	14	29	187	1,542.66	315	13	43	341	9.004.899	315	11	20	81
C6EL35_ECOBD	1	1	1	1	4	CYOB_ECOLI	C6EL35_ECOBD	B	Cytochrome o ubiquinol oxidase subunit I (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit I) (EC 1.9.3.1)	663	1,199.54	14	19	89	1,199.54	663	15	23	86	9.144.112	663	17	30	290	1,199.54	663	12	14	38
C6EL36_ECOBD	1	0	1	1	3	CYOC_ECOLI	C6EL36_ECOBD	B	Cytochrome o ubiquinol oxidase subunit III (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit III)	204	9.044.959	1	1	1						7.483.948	204	1	1	4	7.483.948	204	1	1	1
C6EL37_ECOBD	0	0	0	0	0	CYOD_ECOLI	C6EL37_ECOBD	B	Cytochrome o ubiquinol oxidase subunit IV																				
C6EL38_ECOBD	0	0	0	0	0	CYOE_ECOLI	C6EL38_ECOBD	B	Protoheme IX farnesyltransferase																				
C6EL55_ECOBD	1	1	1	1	4	CYSA_ECOLI	C6EL55_ECOBD	F1	Sulfate ABC transporter, ATPase subunit (Sulfate/thiosulfate transporter subunit)	365	1,015.61	3	3	6	1,780.97	365	1	1	2	5.293.456	365	5	5	13	1,780.97	365	1	1	2
C6EFW2_ECOBD	1	0	1	1	3	CYSB_ECOLI	C6EFW2_ECOBD	A	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding (Transcriptional regulator, LysR family)	324	9.325.348	3	3	4						1,566.78	324	1	1	1	1,566.78	324	1	1	1
