A5A616	YNEM_ECOLI Uncharacterized protein yneM OS=Escherichia coli (strain K12) GN=yneM PE=1 SV=1
P0A756	KEFG_ECOLI Glutathione-regulated potassium-efflux system ancillary protein kefG OS=Escherichia coli (strain K12) GN=kefG PE=3 SV=1
P0A759	NAGB_ECOLI Glucosamine-6-phosphate deaminase OS=Escherichia coli (strain K12) GN=nagB PE=1 SV=1
P0A763	NDK_ECOLI Nucleoside diphosphate kinase OS=Escherichia coli (strain K12) GN=ndk PE=1 SV=2
P0A776	RPPH_ECOLI RNA pyrophosphohydrolase OS=Escherichia coli (strain K12) GN=rppH PE=1 SV=1
P0A780	NUSB_ECOLI N utilization substance protein B OS=Escherichia coli (strain K12) GN=nusB PE=1 SV=1
P0A786	PYRB_ECOLI Aspartate carbamoyltransferase catalytic chain OS=Escherichia coli (strain K12) GN=pyrB PE=1 SV=2
P0A796	K6PF1_ECOLI 6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) GN=pfkA PE=1 SV=1
P0A799	PGK_ECOLI Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2
P0A7A2	GPMB_ECOLI Probable phosphoglycerate mutase gpmB OS=Escherichia coli (strain K12) GN=gpmB PE=1 SV=1
P0A7A5	PIMT_ECOLI Protein-L-isoaspartate O-methyltransferase OS=Escherichia coli (strain K12) GN=pcm PE=1 SV=2
P0A7A7	PLSB_ECOLI Glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsB PE=1 SV=2
P0A7B1	PPK_ECOLI Polyphosphate kinase OS=Escherichia coli (strain K12) GN=ppk PE=1 SV=2
P0A7B3	PPNK_ECOLI Probable inorganic polyphosphate/ATP-NAD kinase OS=Escherichia coli (strain K12) GN=ppnK PE=3 SV=1
P0A7B5	PROB_ECOLI Glutamate 5-kinase OS=Escherichia coli (strain K12) GN=proB PE=1 SV=1
P0A7B8	HSLV_ECOLI ATP-dependent protease hslV OS=Escherichia coli (strain K12) GN=hslV PE=1 SV=2
P0A7C2	LEXA_ECOLI LexA repressor OS=Escherichia coli (strain K12) GN=lexA PE=1 SV=1
P0A7D1	PTH_ECOLI Peptidyl-tRNA hydrolase OS=Escherichia coli (strain K12) GN=pth PE=1 SV=1
P0A7D4	PURA_ECOLI Adenylosuccinate synthetase OS=Escherichia coli (strain K12) GN=purA PE=1 SV=2
P0A7D7	PUR7_ECOLI Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Escherichia coli (strain K12) GN=purC PE=1 SV=1
P0A7E1	PYRD_ECOLI Dihydroorotate dehydrogenase OS=Escherichia coli (strain K12) GN=pyrD PE=1 SV=1
P0A7E3	PYRE_ECOLI Orotate phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=pyrE PE=1 SV=2
P0A7E5	PYRG_ECOLI CTP synthase OS=Escherichia coli (strain K12) GN=pyrG PE=1 SV=2
P0A7E9	PYRH_ECOLI Uridylate kinase OS=Escherichia coli (strain K12) GN=pyrH PE=1 SV=2
P0A7F3	PYRI_ECOLI Aspartate carbamoyltransferase regulatory chain OS=Escherichia coli (strain K12) GN=pyrI PE=1 SV=2
P0A7F9	QUEA_ECOLI S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Escherichia coli (strain K12) GN=queA PE=1 SV=1
P0A7G2	RBFA_ECOLI Ribosome-binding factor A OS=Escherichia coli (strain K12) GN=rbfA PE=1 SV=2
P0A7H0	RECF_ECOLI DNA replication and repair protein recF OS=Escherichia coli (strain K12) GN=recF PE=1 SV=2
P0A7I0	RF1_ECOLI Peptide chain release factor 1 OS=Escherichia coli (strain K12) GN=prfA PE=1 SV=1
P0A7I4	RF3_ECOLI Peptide chain release factor 3 OS=Escherichia coli (strain K12) GN=prfC PE=1 SV=2
P0A7I7	RIBA_ECOLI GTP cyclohydrolase-2 OS=Escherichia coli (strain K12) GN=ribA PE=1 SV=1
P0A7J3	RL10_ECOLI 50S ribosomal protein L10 OS=Escherichia coli (strain K12) GN=rplJ PE=1 SV=2
P0A7J7	RL11_ECOLI 50S ribosomal protein L11 OS=Escherichia coli (strain K12) GN=rplK PE=1 SV=2
P0A7K2	RL7_ECOLI 50S ribosomal protein L7/L12 OS=Escherichia coli (strain K12) GN=rplL PE=1 SV=2
P0A7K6	RL19_ECOLI 50S ribosomal protein L19 OS=Escherichia coli (strain K12) GN=rplS PE=1 SV=2
P0A7L0	RL1_ECOLI 50S ribosomal protein L1 OS=Escherichia coli (strain K12) GN=rplA PE=1 SV=2
P0A7L3	RL20_ECOLI 50S ribosomal protein L20 OS=Escherichia coli (strain K12) GN=rplT PE=1 SV=2
P0A7L8	RL27_ECOLI 50S ribosomal protein L27 OS=Escherichia coli (strain K12) GN=rpmA PE=1 SV=2
P0A7M2	RL28_ECOLI 50S ribosomal protein L28 OS=Escherichia coli (strain K12) GN=rpmB PE=1 SV=2
P0A7M6	RL29_ECOLI 50S ribosomal protein L29 OS=Escherichia coli (strain K12) GN=rpmC PE=1 SV=1
P0A7M9	RL31_ECOLI 50S ribosomal protein L31 OS=Escherichia coli (strain K12) GN=rpmE PE=1 SV=1
P0A7N4	RL32_ECOLI 50S ribosomal protein L32 OS=Escherichia coli (strain K12) GN=rpmF PE=1 SV=2
P0A7N9	RL33_ECOLI 50S ribosomal protein L33 OS=Escherichia coli (strain K12) GN=rpmG PE=1 SV=2
P0A7Q1	RL35_ECOLI 50S ribosomal protein L35 OS=Escherichia coli (strain K12) GN=rpmI PE=1 SV=2
P0A7R1	RL9_ECOLI 50S ribosomal protein L9 OS=Escherichia coli (strain K12) GN=rplI PE=1 SV=1
P0A7R5	RS10_ECOLI 30S ribosomal protein S10 OS=Escherichia coli (strain K12) GN=rpsJ PE=1 SV=1
P0A7R9	RS11_ECOLI 30S ribosomal protein S11 OS=Escherichia coli (strain K12) GN=rpsK PE=1 SV=2
P0A7S3	RS12_ECOLI 30S ribosomal protein S12 OS=Escherichia coli (strain K12) GN=rpsL PE=1 SV=2
P0A7S9	RS13_ECOLI 30S ribosomal protein S13 OS=Escherichia coli (strain K12) GN=rpsM PE=1 SV=2
P0A7T3	RS16_ECOLI 30S ribosomal protein S16 OS=Escherichia coli (strain K12) GN=rpsP PE=1 SV=1
P0A7T7	RS18_ECOLI 30S ribosomal protein S18 OS=Escherichia coli (strain K12) GN=rpsR PE=1 SV=2
P0A7U3	RS19_ECOLI 30S ribosomal protein S19 OS=Escherichia coli (strain K12) GN=rpsS PE=1 SV=2
P0A7U7	RS20_ECOLI 30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2
P0A7V0	RS2_ECOLI 30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2
P0A7V3	RS3_ECOLI 30S ribosomal protein S3 OS=Escherichia coli (strain K12) GN=rpsC PE=1 SV=2
P0A7V8	RS4_ECOLI 30S ribosomal protein S4 OS=Escherichia coli (strain K12) GN=rpsD PE=1 SV=2
P0A7W1	RS5_ECOLI 30S ribosomal protein S5 OS=Escherichia coli (strain K12) GN=rpsE PE=1 SV=2
P0A7W7	RS8_ECOLI 30S ribosomal protein S8 OS=Escherichia coli (strain K12) GN=rpsH PE=1 SV=2
P0A7X3	RS9_ECOLI 30S ribosomal protein S9 OS=Escherichia coli (strain K12) GN=rpsI PE=1 SV=2
P0A7X6	RIMM_ECOLI Ribosome maturation factor rimM OS=Escherichia coli (strain K12) GN=rimM PE=1 SV=1
P0A7Y0	RNC_ECOLI Ribonuclease 3 OS=Escherichia coli (strain K12) GN=rnc PE=1 SV=1
P0A7Y4	RNH_ECOLI Ribonuclease HI OS=Escherichia coli (strain K12) GN=rnhA PE=1 SV=1
P0A7Y8	RNPA_ECOLI Ribonuclease P protein component OS=Escherichia coli (strain K12) GN=rnpA PE=3 SV=1
P0A7Z0	RPIA_ECOLI Ribose-5-phosphate isomerase A OS=Escherichia coli (strain K12) GN=rpiA PE=1 SV=1
P0A7Z4	RPOA_ECOLI DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) GN=rpoA PE=1 SV=1
P0A800	RPOZ_ECOLI DNA-directed RNA polymerase subunit omega OS=Escherichia coli (strain K12) GN=rpoZ PE=1 SV=1
P0A805	RRF_ECOLI Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1
P0A809	RUVA_ECOLI Holliday junction ATP-dependent DNA helicase ruvA OS=Escherichia coli (strain K12) GN=ruvA PE=1 SV=1
P0A812	RUVB_ECOLI Holliday junction ATP-dependent DNA helicase ruvB OS=Escherichia coli (strain K12) GN=ruvB PE=1 SV=1
P0A814	RUVC_ECOLI Crossover junction endodeoxyribonuclease ruvC OS=Escherichia coli (strain K12) GN=ruvC PE=1 SV=2
P0A817	METK_ECOLI S-adenosylmethionine synthetase OS=Escherichia coli (strain K12) GN=metK PE=1 SV=2
P0A823	SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=3 SV=1
P0A825	GLYA_ECOLI Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1
P0A830	DCTA_ECOLI Aerobic C4-dicarboxylate transport protein OS=Escherichia coli (strain K12) GN=dctA PE=1 SV=1
P0A832	SSRP_ECOLI SsrA-binding protein OS=Escherichia coli (strain K12) GN=smpB PE=1 SV=2
P0A836	SUCC_ECOLI Succinyl-CoA ligase [ADP-forming] subunit beta OS=Escherichia coli (strain K12) GN=sucC PE=1 SV=1
P0A840	SURE_ECOLI Multifunctional protein surE OS=Escherichia coli (strain K12) GN=surE PE=1 SV=1
P0A850	TIG_ECOLI Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1
P0A855	TOLB_ECOLI Protein tolB OS=Escherichia coli (strain K12) GN=tolB PE=1 SV=1
P0A858	TPIS_ECOLI Triosephosphate isomerase OS=Escherichia coli (strain K12) GN=tpiA PE=1 SV=1
P0A862	TPX_ECOLI Thiol peroxidase OS=Escherichia coli (strain K12) GN=tpx PE=1 SV=2
P0A867	TALA_ECOLI Transaldolase A OS=Escherichia coli (strain K12) GN=talA PE=1 SV=1
P0A870	TALB_ECOLI Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2
P0A877	TRPA_ECOLI Tryptophan synthase alpha chain OS=Escherichia coli (strain K12) GN=trpA PE=1 SV=1
P0A879	TRPB_ECOLI Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2
P0A887	UBIE_ECOLI Ubiquinone/menaquinone biosynthesis methyltransferase ubiE OS=Escherichia coli (strain K12) GN=ubiE PE=1 SV=1
P0A894	YHBJ_ECOLI UPF0042 nucleotide-binding protein yhbJ OS=Escherichia coli (strain K12) GN=yhbJ PE=1 SV=1
P0A898	YBEY_ECOLI Putative metalloprotease ybeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1
P0A8A0	YEBC_ECOLI UPF0082 protein yebC OS=Escherichia coli (strain K12) GN=yebC PE=1 SV=1
P0A8A2	YEEN_ECOLI UPF0082 protein yeeN OS=Escherichia coli (strain K12) GN=yeeN PE=1 SV=1
P0A8A4	YDIA_ECOLI Putative phosphotransferase ydiA OS=Escherichia coli (strain K12) GN=ydiA PE=1 SV=1
P0A8A8	RIMP_ECOLI Ribosome maturation factor rimP OS=Escherichia coli (strain K12) GN=rimP PE=1 SV=2
P0A8B2	YFCN_ECOLI UPF0115 protein yfcN OS=Escherichia coli (strain K12) GN=yfcN PE=3 SV=1
P0A8C1	YBJQ_ECOLI UPF0145 protein ybjQ OS=Escherichia coli (strain K12) GN=ybjQ PE=1 SV=1
P0A8C4	YGFB_ECOLI UPF0149 protein ygfB OS=Escherichia coli (strain K12) GN=ygfB PE=3 SV=1
P0A8D0	NRDR_ECOLI Transcriptional repressor nrdR OS=Escherichia coli (strain K12) GN=nrdR PE=1 SV=1
P0A8D3	YAII_ECOLI UPF0178 protein yaiI OS=Escherichia coli (strain K12) GN=yaiI PE=1 SV=1
P0A8D6	YMDB_ECOLI UPF0189 protein ymdB OS=Escherichia coli (strain K12) GN=ymdB PE=1 SV=1
P0A8E1	YCFP_ECOLI UPF0227 protein ycfP OS=Escherichia coli (strain K12) GN=ycfP PE=3 SV=1
P0A8E7	YAJQ_ECOLI UPF0234 protein yajQ OS=Escherichia coli (strain K12) GN=yajQ PE=1 SV=2
P0A8F0	UPP_ECOLI Uracil phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=upp PE=1 SV=1
P0A8F4	URK_ECOLI Uridine kinase OS=Escherichia coli (strain K12) GN=udk PE=3 SV=1
P0A8F8	UVRB_ECOLI UvrABC system protein B OS=Escherichia coli (strain K12) GN=uvrB PE=1 SV=2
P0A8G0	UVRC_ECOLI UvrABC system protein C OS=Escherichia coli (strain K12) GN=uvrC PE=1 SV=1
P0A8G6	WRBA_ECOLI Flavoprotein wrbA OS=Escherichia coli (strain K12) GN=wrbA PE=1 SV=2
P0A8H6	YIHI_ECOLI UPF0241 protein yihI OS=Escherichia coli (strain K12) GN=yihI PE=1 SV=1
P0A8I1	RUVX_ECOLI Putative Holliday junction resolvase OS=Escherichia coli (strain K12) GN=yqgF PE=1 SV=1
P0A8I3	YAAA_ECOLI UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1
P0A8I5	TRMB_ECOLI tRNA (guanine-N(7)-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmB PE=1 SV=1
P0A8I8	RLMH_ECOLI Ribosomal RNA large subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rlmH PE=1 SV=1
P0A8J2	DNAT_ECOLI Primosomal protein 1 OS=Escherichia coli (strain K12) GN=dnaT PE=1 SV=2
P0A8J4	YBED_ECOLI UPF0250 protein ybeD OS=Escherichia coli (strain K12) GN=ybeD PE=1 SV=1
P0A8J8	RHLB_ECOLI ATP-dependent RNA helicase rhlB OS=Escherichia coli (strain K12) GN=rhlB PE=1 SV=2
P0A8K1	PSD_ECOLI Phosphatidylserine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=psd PE=1 SV=1
P0A8L1	SYS_ECOLI Seryl-tRNA synthetase OS=Escherichia coli (strain K12) GN=serS PE=1 SV=1
P0A8M0	SYN_ECOLI Asparaginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=asnS PE=1 SV=2
P0A8M3	SYT_ECOLI Threonyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=thrS PE=1 SV=1
P0A8M6	YEEX_ECOLI UPF0265 protein yeeX OS=Escherichia coli (strain K12) GN=yeeX PE=3 SV=1
P0A8N0	YCBG_ECOLI UPF0268 protein ycbG OS=Escherichia coli (strain K12) GN=ycbG PE=3 SV=1
P0A8N3	SYK1_ECOLI Lysyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2
P0A8N5	SYK2_ECOLI Lysyl-tRNA synthetase, heat inducible OS=Escherichia coli (strain K12) GN=lysU PE=1 SV=2
P0A8P1	LFTR_ECOLI Leucyl/phenylalanyl-tRNA--protein transferase OS=Escherichia coli (strain K12) GN=aat PE=1 SV=1
P0A8R0	RRAA_ECOLI Regulator of ribonuclease activity A OS=Escherichia coli (strain K12) GN=rraA PE=1 SV=1
P0A8R7	YCJF_ECOLI UPF0283 membrane protein ycjF OS=Escherichia coli (strain K12) GN=ycjF PE=1 SV=1
P0A8R9	HDFR_ECOLI HTH-type transcriptional regulator hdfR OS=Escherichia coli (strain K12) GN=hdfR PE=3 SV=1
P0A8S1	ICIA_ECOLI Chromosome initiation inhibitor OS=Escherichia coli (strain K12) GN=iciA PE=1 SV=1
P0A8T1	PRMA_ECOLI Ribosomal protein L11 methyltransferase OS=Escherichia coli (strain K12) GN=prmA PE=1 SV=1
P0A8T7	RPOC_ECOLI DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1
P0A8U0	SYDP_ECOLI Protein syd OS=Escherichia coli (strain K12) GN=syd PE=1 SV=1
P0A8V2	RPOB_ECOLI DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1
P0A8V6	FADR_ECOLI Fatty acid metabolism regulator protein OS=Escherichia coli (strain K12) GN=fadR PE=1 SV=2
P0A8W0	NANR_ECOLI Transcriptional regulator nanR OS=Escherichia coli (strain K12) GN=nanR PE=3 SV=1
P0A8W2	SLYA_ECOLI Transcriptional regulator slyA OS=Escherichia coli (strain K12) GN=slyA PE=3 SV=1
P0A8W5	YQGE_ECOLI UPF0301 protein yqgE OS=Escherichia coli (strain K12) GN=yqgE PE=1 SV=1
P0A8W8	YFBU_ECOLI UPF0304 protein yfbU OS=Escherichia coli (strain K12) GN=yfbU PE=1 SV=1
P0A8X0	YJGA_ECOLI UPF0307 protein yjgA OS=Escherichia coli (strain K12) GN=yjgA PE=1 SV=1
P0A8Y1	YJJG_ECOLI 5'-nucleotidase yjjG OS=Escherichia coli (strain K12) GN=yjjG PE=1 SV=1
P0A8Y5	YIDA_ECOLI Phosphatase yidA OS=Escherichia coli (strain K12) GN=yidA PE=1 SV=1
P0A8Z0	YCIA_ECOLI Acyl-CoA thioester hydrolase yciA OS=Escherichia coli (strain K12) GN=yciA PE=3 SV=1
P0A8Z3	YBGC_ECOLI Acyl-CoA thioester hydrolase ybgC OS=Escherichia coli (strain K12) GN=ybgC PE=1 SV=1
P0A8Z7	YQIA_ECOLI Esterase yqiA OS=Escherichia coli (strain K12) GN=yqiA PE=4 SV=1
P0A903	NLPB_ECOLI Lipoprotein 34 OS=Escherichia coli (strain K12) GN=nlpB PE=1 SV=1
P0A905	SLYB_ECOLI Outer membrane lipoprotein slyB OS=Escherichia coli (strain K12) GN=slyB PE=2 SV=1
P0A908	MIPA_ECOLI MltA-interacting protein OS=Escherichia coli (strain K12) GN=mipA PE=1 SV=1
P0A910	OMPA_ECOLI Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1
P0A912	PAL_ECOLI Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) GN=pal PE=1 SV=1
P0A917	OMPX_ECOLI Outer membrane protein X OS=Escherichia coli (strain K12) GN=ompX PE=1 SV=1
P0A921	PA1_ECOLI Phospholipase A1 OS=Escherichia coli (strain K12) GN=pldA PE=1 SV=1
P0A927	TSX_ECOLI Nucleoside-specific channel-forming protein tsx OS=Escherichia coli (strain K12) GN=tsx PE=1 SV=1
P0A935	MLTA_ECOLI Membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain K12) GN=mltA PE=1 SV=1
P0A937	SMPA_ECOLI Small protein A OS=Escherichia coli (strain K12) GN=smpA PE=3 SV=1
P0A940	YAET_ECOLI Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1
P0A948	RIMJ_ECOLI Ribosomal-protein-alanine acetyltransferase OS=Escherichia coli (strain K12) GN=rimJ PE=1 SV=1
P0A951	ATDA_ECOLI Spermidine N(1)-acetyltransferase OS=Escherichia coli (strain K12) GN=speG PE=1 SV=2
P0A953	FABB_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1
P0A955	ALKH_ECOLI KHG/KDPG aldolase OS=Escherichia coli (strain K12) GN=eda PE=1 SV=1
P0A959	YFBQ_ECOLI Uncharacterized aminotransferase yfbQ OS=Escherichia coli (strain K12) GN=yfbQ PE=1 SV=1
P0A988	DPO3B_ECOLI DNA polymerase III subunit beta OS=Escherichia coli (strain K12) GN=dnaN PE=1 SV=1
P0A991	ALF1_ECOLI Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) GN=fbaB PE=1 SV=2
P0A993	F16PA_ECOLI Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) GN=fbp PE=1 SV=1
P0A998	FTNA_ECOLI Ferritin-1 OS=Escherichia coli (strain K12) GN=ftnA PE=1 SV=1
P0A9A2	FTNB_ECOLI Ferritin-like protein 2 OS=Escherichia coli (strain K12) GN=ftnB PE=3 SV=1
P0A9A6	FTSZ_ECOLI Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1
P0A9B2	G3P1_ECOLI Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) GN=gapA PE=1 SV=2
P0A9C0	GLPA_ECOLI Anaerobic glycerol-3-phosphate dehydrogenase subunit A OS=Escherichia coli (strain K12) GN=glpA PE=1 SV=1
P0A9C5	GLNA_ECOLI Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2
P0A9C9	GLPX_ECOLI Fructose-1,6-bisphosphatase class 2 OS=Escherichia coli (strain K12) GN=glpX PE=1 SV=1
P0A9D8	DAPD_ECOLI 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain K12) GN=dapD PE=1 SV=1
P0A9E5	FNR_ECOLI Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1
P0A9F1	MNTR_ECOLI Transcriptional regulator mntR OS=Escherichia coli (strain K12) GN=mntR PE=1 SV=1
P0A9F3	CYSB_ECOLI HTH-type transcriptional regulator cysB OS=Escherichia coli (strain K12) GN=cysB PE=3 SV=1
P0A9F6	GCVA_ECOLI Glycine cleavage system transcriptional activator OS=Escherichia coli (strain K12) GN=gcvA PE=1 SV=1
P0A9F9	METR_ECOLI HTH-type transcriptional regulator metR OS=Escherichia coli (strain K12) GN=metR PE=4 SV=1
P0A9G2	NHAR_ECOLI Transcriptional activator protein nhaR OS=Escherichia coli (strain K12) GN=nhaR PE=1 SV=1
P0A9G6	ACEA_ECOLI Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1
P0A9H1	MUG_ECOLI G/U mismatch-specific DNA glycosylase OS=Escherichia coli (strain K12) GN=mug PE=1 SV=1
P0A9H5	BTUR_ECOLI Cob(I)yrinic acid a,c-diamide adenosyltransferase OS=Escherichia coli (strain K12) GN=btuR PE=3 SV=1
P0A9H7	CFA_ECOLI Cyclopropane-fatty-acyl-phospholipid synthase OS=Escherichia coli (strain K12) GN=cfa PE=1 SV=2
P0A9H9	CHEZ_ECOLI Chemotaxis protein cheZ OS=Escherichia coli (strain K12) GN=cheZ PE=1 SV=1
P0A9I1	CITE_ECOLI Citrate lyase subunit beta OS=Escherichia coli (strain K12) GN=citE PE=3 SV=1
P0A9I3	GCVR_ECOLI Glycine cleavage system transcriptional repressor OS=Escherichia coli (strain K12) GN=gcvR PE=1 SV=2
P0A9J0	RNG_ECOLI Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2
P0A9J4	PANE_ECOLI 2-dehydropantoate 2-reductase OS=Escherichia coli (strain K12) GN=panE PE=1 SV=1
P0A9J8	PHEA_ECOLI P-protein OS=Escherichia coli (strain K12) GN=pheA PE=1 SV=1
P0A9K1	PHOH_ECOLI Protein phoH OS=Escherichia coli (strain K12) GN=phoH PE=1 SV=1
P0A9K3	PHOL_ECOLI PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2
P0A9K7	PHOU_ECOLI Phosphate transport system protein phoU OS=Escherichia coli (strain K12) GN=phoU PE=1 SV=1
P0A9K9	SLYD_ECOLI FKBP-type peptidyl-prolyl cis-trans isomerase slyD OS=Escherichia coli (strain K12) GN=slyD PE=1 SV=1
P0A9L3	FKBB_ECOLI FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fklB PE=1 SV=2
P0A9L5	PPIC_ECOLI Peptidyl-prolyl cis-trans isomerase C OS=Escherichia coli (strain K12) GN=ppiC PE=1 SV=2
P0A9L8	P5CR_ECOLI Pyrroline-5-carboxylate reductase OS=Escherichia coli (strain K12) GN=proC PE=1 SV=1
P0A9M0	LON_ECOLI ATP-dependent protease La OS=Escherichia coli (strain K12) GN=lon PE=1 SV=1
P0A9M2	HPRT_ECOLI Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1
P0A9M5	XGPT_ECOLI Xanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=gpt PE=1 SV=1
P0A9M8	PTA_ECOLI Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2
P0A9P0	DLDH_ECOLI Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2
P0A9P4	TRXB_ECOLI Thioredoxin reductase OS=Escherichia coli (strain K12) GN=trxB PE=1 SV=2
P0A9P6	DEAD_ECOLI Cold-shock DEAD box protein A OS=Escherichia coli (strain K12) GN=deaD PE=1 SV=2
P0A9Q1	ARCA_ECOLI Aerobic respiration control protein arcA OS=Escherichia coli (strain K12) GN=arcA PE=1 SV=1
P0A9Q5	ACCD_ECOLI Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1
P0A9Q9	DHAS_ECOLI Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=asd PE=1 SV=1
P0A9R7	FTSE_ECOLI Cell division ATP-binding protein ftsE OS=Escherichia coli (strain K12) GN=ftsE PE=1 SV=1
P0A9S3	GATD_ECOLI Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=3 SV=1
P0A9S7	LIVG_ECOLI High-affinity branched-chain amino acid transport ATP-binding protein livG OS=Escherichia coli (strain K12) GN=livG PE=3 SV=1
P0A9T4	TAS_ECOLI Protein tas OS=Escherichia coli (strain K12) GN=tas PE=1 SV=1
P0A9T8	YBBA_ECOLI Uncharacterized ABC transporter ATP-binding protein ybbA OS=Escherichia coli (strain K12) GN=ybbA PE=3 SV=1
P0A9U1	YBHF_ECOLI Uncharacterized ABC transporter ATP-binding protein ybhF OS=Escherichia coli (strain K12) GN=ybhF PE=1 SV=1
P0A9U3	YBIT_ECOLI Uncharacterized ABC transporter ATP-binding protein ybiT OS=Escherichia coli (strain K12) GN=ybiT PE=1 SV=1
P0A9V1	LPTB_ECOLI Lipopolysaccharide export system ATP-binding protein lptB OS=Escherichia coli (strain K12) GN=lptB PE=1 SV=2
P0A9W0	ULAR_ECOLI HTH-type transcriptional regulator ulaR OS=Escherichia coli (strain K12) GN=ulaR PE=1 SV=1
P0A9W3	YJJK_ECOLI Uncharacterized ABC transporter ATP-binding protein yjjK OS=Escherichia coli (strain K12) GN=yjjK PE=1 SV=2
P0A9W9	YRDA_ECOLI Protein yrdA OS=Escherichia coli (strain K12) GN=yrdA PE=1 SV=1
P0A9X1	ZNUC_ECOLI Zinc import ATP-binding protein znuC OS=Escherichia coli (strain K12) GN=znuC PE=1 SV=1
P0A9X4	MREB_ECOLI Rod shape-determining protein mreB OS=Escherichia coli (strain K12) GN=mreB PE=1 SV=1
P0AA10	RL13_ECOLI 50S ribosomal protein L13 OS=Escherichia coli (strain K12) GN=rplM PE=1 SV=1
P0AA16	OMPR_ECOLI Transcriptional regulatory protein ompR OS=Escherichia coli (strain K12) GN=ompR PE=1 SV=1
P0AA25	THIO_ECOLI Thioredoxin-1 OS=Escherichia coli (strain K12) GN=trxA PE=1 SV=2
P0AA39	RLUC_ECOLI Ribosomal large subunit pseudouridine synthase C OS=Escherichia coli (strain K12) GN=rluC PE=1 SV=1
P0AA53	QMCA_ECOLI Protein qmcA OS=Escherichia coli (strain K12) GN=qmcA PE=3 SV=1
P0AA86	DSBE_ECOLI Thiol:disulfide interchange protein dsbE OS=Escherichia coli (strain K12) GN=dsbE PE=1 SV=1
