Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
A5A614	yciZ		b4596	JW1277	YCIZ_ECOLI		Inferred from homology	UPF0509 family	UPF0509 protein yciZ		Complete proteome	57	
O32528	ypdI		b2376	JW2373	YPDI_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Uncharacterized lipoprotein ypdI	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	91	
O32583	thiS	thiG1	b4407	JW3955	THIS_ECOLI		Evidence at protein level	Sulfur carrier protein ThiS family	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	"GO:0000166; GO:0009228"	"3D-structure; Complete proteome; Nucleotide-binding; Thiamine biosynthesis; Thioester bond"	66	
P00350	gnd		b2029	JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
P00363	frdA		b4154	JW4115	FRDA_ECOLI		Evidence at protein level	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	"GO:0050660; GO:0009061; GO:0001539; GO:0005737; GO:0009055; GO:0022900; GO:0006113; GO:0009296; GO:0016020; GO:0005515; GO:0000104; GO:0006810"	"3D-structure; Complete proteome; Electron transport; FAD; Flavoprotein; Oxidoreductase; Transport"	602	
P00370	gdhA		b1761	JW1750	DHE4_ECOLI		Evidence at protein level	Glu/Leu/Phe/Val dehydrogenases family	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	"GO:0005488; GO:0005737; GO:0006537; GO:0004354; GO:0055114"	"Complete proteome; Direct protein sequencing; NADP; Oxidoreductase"	447	
P00393	ndh		b1109	JW1095	DHNA_ECOLI	Cell membrane. 	Evidence at protein level	NADH dehydrogenase family	NADH dehydrogenase (EC 1.6.99.3)	"GO:0050660; GO:0008137; GO:0019646; GO:0044459; GO:0006810"	"3D-structure; Cell membrane; Complete proteome; Direct protein sequencing; Electron transport; FAD; Flavoprotein; Membrane; NAD; Oxidoreductase; Transport; Ubiquinone"	434	
P00448	sodA		b3908	JW3879	SODM_ECOLI		Evidence at protein level	Iron/manganese superoxide dismutase family	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	"GO:0005737; GO:0046872; GO:0055114; GO:0019430; GO:0004784"	"3D-structure; Complete proteome; Direct protein sequencing; Manganese; Metal-binding; Oxidoreductase"	206	
P00452	nrdA	dnaF	b2234	JW2228	RIR1_ECOLI		Evidence at protein level	Ribonucleoside diphosphate reductase large chain family	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	"GO:0005524; GO:0006260; GO:0009263; GO:0015949; GO:0055114; GO:0005515; GO:0004748; GO:0005971"	"3D-structure; ATP-binding; Acetylation; Allosteric enzyme; Alternative initiation; Complete proteome; DNA replication; Direct protein sequencing; Disulfide bond; Nucleotide-binding; Oxidoreductase"	761	
P00509	aspC		b0928	JW0911	AAT_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I pyridoxal-phosphate-dependent aminotransferase family	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	"GO:0004069; GO:0033585; GO:0004838; GO:0006532; GO:0005829; GO:0016212; GO:0042803; GO:0030170"	"3D-structure; Aminotransferase; Complete proteome; Cytoplasm; Direct protein sequencing; Pyridoxal phosphate; Transferase"	396	
P00547	thrB		b0003	JW0002	KHSE_ECOLI	Cytoplasm. 	Evidence at protein level	GHMP kinase family, Homoserine kinase subfamily	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	"GO:0005524; GO:0005737; GO:0004413; GO:0009088"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Threonine biosynthesis; Transferase"	310	
P00550	mtlA		b3599	JW3573	PTM3C_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		"PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.69) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.-) (PTS system mannitol-specific EIIA component)]"	"GO:0016021; GO:0016301; GO:0009401; GO:0005886; GO:0005515; GO:0008982; GO:0005351"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Phosphotransferase system; Sugar transport; Transferase; Transmembrane; Transmembrane helix; Transport"	637	
P00561	thrA	thrA1 thrA2	b0002	JW0001	AK1H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0016597; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0055114; GO:0009088"	"ATP-binding; Allosteric enzyme; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Repeat; Threonine biosynthesis; Transferase"	820	
P00562	metL	metM	b3940	JW3911	AK2H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0009086; GO:0055114"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Methionine biosynthesis; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Transferase"	810	
P00579	rpoD	alt	b3067	JW3039	RPOD_ECOLI		Evidence at protein level	Sigma-70 factor family	RNA polymerase sigma factor rpoD (Sigma-70)	"GO:0003677; GO:0005515; GO:0006355; GO:0009408; GO:0003700; GO:0016987; GO:0006352; GO:0030528"	"3D-structure; Complete proteome; DNA-binding; Sigma factor; Transcription; Transcription regulation"	613	
P0AB83	nth		b1633	JW1625	END3_ECOLI		Evidence at protein level	Nth/mutY family	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	"GO:0051539; GO:0003677; GO:0003906; GO:0006284; GO:0004519; GO:0016798; GO:0005622; GO:0046872; GO:0005515"	"3D-structure; 4Fe-4S; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Glycosidase; Hydrolase; Iron; Iron-sulfur; Lyase; Metal-binding"	211
P0AB89	purB		b1131	JW1117	PUR8_ECOLI		Evidence at protein level	Lyase 1 family, Adenylosuccinate lyase subfamily	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	"GO:0070626; GO:0006188; GO:0004018; GO:0005515"	"3D-structure; Acetylation; Complete proteome; Direct protein sequencing; Lyase; Purine biosynthesis"	456
P0AB91	aroG		b0754	JW0737	AROG_ECOLI		Evidence at protein level	Class-I DAHP synthase family	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	"GO:0003849; GO:0009073"	"3D-structure; Acetylation; Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Complete proteome; Direct protein sequencing; Transferase"	350
P0AB93	arsB	arsF	b3502	JW3469	ARSB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	ArsB family	Arsenical pump membrane protein (Arsenic efflux pump protein)	"GO:0042960; GO:0008490; GO:0005887; GO:0046685"	"Arsenical resistance; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	429
P0AB96	arsC	arsG	b3503	JW3470	ARSC_ECOLI		Inferred from homology	ArsC family	Arsenate reductase (EC 1.20.4.1) (Arsenical pump modifier)	"GO:0008794; GO:0055114; GO:0046685"	"Arsenical resistance; Complete proteome; Oxidoreductase"	141
P0AB98	atpB	papD uncB	b3738	JW3716	ATP6_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	ATPase A chain family	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	"GO:0015986; GO:0015078; GO:0016021; GO:0005886; GO:0045263"	"3D-structure; ATP synthesis; CF(0); Cell inner membrane; Cell membrane; Complete proteome; Hydrogen ion transport; Ion transport; Membrane; Transmembrane; Transmembrane helix; Transport"	271
P0ABA0	atpF	papF uncF	b3736	JW3714	ATPF_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at protein level	ATPase B chain family	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	"GO:0015986; GO:0031225; GO:0015078; GO:0016021; GO:0005886; GO:0045263"	"3D-structure; ATP synthesis; CF(0); Cell inner membrane; Cell membrane; Complete proteome; Hydrogen ion transport; Ion transport; Membrane; Transmembrane; Transmembrane helix; Transport"	156
P0ABA4	atpH	papE uncH	b3735	JW3713	ATPD_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Evidence at protein level	ATPase delta chain family	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	"GO:0015986; GO:0046933; GO:0005886; GO:0045261"	"3D-structure; ATP synthesis; CF(1); Cell inner membrane; Cell membrane; Complete proteome; Hydrogen ion transport; Ion transport; Membrane; Transport"	177
P0ABA6	atpG	papC uncG	b3733	JW3711	ATPG_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Evidence at protein level	ATPase gamma chain family	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	"GO:0015986; GO:0046933; GO:0005886; GO:0005515; GO:0045261; GO:0046961"	"3D-structure; ATP synthesis; CF(1); Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Hydrogen ion transport; Ion transport; Membrane; Transport"	287
P0ABB0	atpA	papA uncA	b3734	JW3712	ATPA_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Evidence at protein level	ATPase alpha/beta chains family	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	"GO:0005524; GO:0015986; GO:0046933; GO:0005886; GO:0005515; GO:0045261; GO:0046961"	"3D-structure; ATP synthesis; ATP-binding; CF(1); Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Hydrogen ion transport; Hydrolase; Ion transport; Membrane; Nucleotide-binding; Transport"	513
P0ABB4	atpD	papB uncD	b3732	JW3710	ATPB_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Evidence at protein level	ATPase alpha/beta chains family	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	"GO:0005524; GO:0015986; GO:0046933; GO:0008553; GO:0005886; GO:0005515; GO:0045261; GO:0046961"	"3D-structure; ATP synthesis; ATP-binding; CF(1); Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Hydrogen ion transport; Hydrolase; Ion transport; Membrane; Nucleotide-binding; Transport"	460
P0ABB8	mgtA	corB mgt	b4242	JW4201	ATMA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIIB subfamily	Magnesium-transporting ATPase, P-type 1 (EC 3.6.3.2) (Mg(2+) transport ATPase, P-type 1)	"GO:0005524; GO:0006754; GO:0016021; GO:0015444; GO:0046872; GO:0005886; GO:0005515"	"3D-structure; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Magnesium; Membrane; Metal-binding; Nucleotide-binding; Phosphoprotein; Transmembrane; Transmembrane helix"	898
P0ABC0	atpI	uncI	b3739	JW5611	ATPZ_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Bacterial AtpI family	ATP synthase protein I	"GO:0015986; GO:0015078; GO:0016021; GO:0005886; GO:0045263"	"CF(0); Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Hydrogen ion transport; Ion transport; Membrane; Transmembrane; Transmembrane helix; Transport"	126
P0ABC9	betT		b0314	JW0306	BETT_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at transcript level	BCCT transporter (TC 2.A.15) family	High-affinity choline transport protein	"GO:0016021; GO:0005886; GO:0006950; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Stress response; Transmembrane; Transmembrane helix; Transport"	677
P0ABD3	bfr		b3336	JW3298	BFR_ECOLI		Evidence at protein level	Bacterioferritin family	Bacterioferritin (BFR) (Cytochrome b-1) (Cytochrome b-557)	"GO:0006879; GO:0005829; GO:0008199; GO:0006826; GO:0016020; GO:0055114; GO:0016491"	"3D-structure; Complete proteome; Direct protein sequencing; Heme; Iron; Iron storage; Metal-binding"	158
P0ABD5	accA		b0185	JW0180	ACCA_ECOLI	Cytoplasm. 	Evidence at protein level	AccA family	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	"GO:0005524; GO:0009329; GO:0003989; GO:0006633; GO:0005515"	"3D-structure; ATP-binding; Complete proteome; Cytoplasm; Direct protein sequencing; Fatty acid biosynthesis; Ligase; Lipid synthesis; Nucleotide-binding"	319
P0ABD8	accB	fabE	b3255	JW3223	BCCP_ECOLI		Evidence at protein level		Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP)	"GO:0003989; GO:0009317; GO:0009374; GO:0006633"	"3D-structure; Biotin; Complete proteome; Direct protein sequencing; Fatty acid biosynthesis; Lipid synthesis"	156
P0ABE5	cybB		b1418	JW5224	C561_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Cytochrome b561 family	Cytochrome b561 (Cytochrome b-561)	"GO:0009055; GO:0016021; GO:0046872; GO:0016491; GO:0005886; GO:0022904; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Heme; Iron; Membrane; Metal-binding; Transmembrane; Transmembrane helix; Transport"	176
P0ABE9	cynT		b0339	JW0330	CYNT_ECOLI		Evidence at protein level	Beta-class carbonic anhydrase family	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1)	"GO:0015976; GO:0004089; GO:0009440; GO:0005737; GO:0008270"	"Complete proteome; Direct protein sequencing; Lyase; Metal-binding; Zinc"	219
P0ABF6	cdd		b2143	JW2131	CDD_ECOLI		Evidence at protein level	Cytidine and deoxycytidylate deaminase family	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)	"GO:0004126; GO:0005829; GO:0015949; GO:0001884; GO:0008270"	"3D-structure; Complete proteome; Direct protein sequencing; Hydrolase; Metal-binding; Zinc"	294
P0ABF8	pgsA		b1912	JW1897	PGSA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	CDP-alcohol phosphatidyltransferase class-I family	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase) (PGP synthase)	"GO:0008444; GO:0016021; GO:0008654; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Phospholipid biosynthesis; Transferase; Transmembrane; Transmembrane helix"	182
P0ABG1	cdsA	cds	b0175	JW5810	CDSA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	CDS family	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)	"GO:0016021; GO:0004605; GO:0008654; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Nucleotidyltransferase; Phospholipid biosynthesis; Transferase; Transmembrane; Transmembrane helix"	285
P0ABG4	ftsW		b0089	JW0087	FTSW_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	FtsW/rodA/spoVE family	Cell division protein ftsW	"GO:0007049; GO:0032155; GO:0007047; GO:0000910; GO:0016021; GO:0009252; GO:0005886; GO:0005515; GO:0008360"	"Cell cycle; Cell division; Cell inner membrane; Cell membrane; Cell shape; Cell wall biogenesis/degradation; Complete proteome; Membrane; Peptidoglycan synthesis; Transmembrane; Transmembrane helix"	414
P0ABG7	mrdB	rodA	b0634	JW0629	RODA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	FtsW/rodA/spoVE family	Rod shape-determining protein rodA	"GO:0007049; GO:0016021; GO:0005886; GO:0008360"	"Cell inner membrane; Cell membrane; Cell shape; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	370
P0ABH0	ftsA	divA	b0094	JW0092	FTSA_ECOLI		Inferred from homology	FtsA/mreB family	Cell division protein ftsA	"GO:0007049; GO:0032155; GO:0000910; GO:0008360"	"Cell cycle; Cell division; Cell shape; Complete proteome"	420
P0ABH4	mreD		b3249	JW3218	MRED_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	MreD family	Rod shape-determining protein mreD	"GO:0016021; GO:0005886; GO:0008360"	"Cell inner membrane; Cell membrane; Cell shape; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	162
P0ABH7	gltA	gluT icdB	b0720	JW0710	CISY_ECOLI		Evidence at protein level	Citrate synthase family	Citrate synthase (EC 2.3.3.1)	"GO:0044262; GO:0004108; GO:0005829; GO:0016020; GO:0006099"	"3D-structure; Acetylation; Allosteric enzyme; Complete proteome; Direct protein sequencing; Transferase; Tricarboxylic acid cycle"	427
P0ABI4	corA		b3816	JW3789	CORA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	CorA metal ion transporter (MIT) (TC 1.A.35) family	Magnesium transport protein CorA	"GO:0015087; GO:0016021; GO:0015095; GO:0005886"	"Cell inner membrane; Cell membrane; Cobalt; Complete proteome; Ion transport; Magnesium; Manganese; Membrane; Transmembrane; Transmembrane helix; Transport"	316
P0ABI8	cyoB		b0431	JW0421	CYOB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Heme-copper respiratory oxidase family	Ubiquinol oxidase subunit 1 (EC 1.10.3.-) (Cytochrome o subunit 1) (Cytochrome o ubiquinol oxidase subunit 1) (Oxidase BO(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I)	"GO:0009060; GO:0009486; GO:0009055; GO:0022900; GO:0020037; GO:0005887; GO:0015453; GO:0015992; GO:0070469"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Copper; Electron transport; Heme; Hydrogen ion transport; Ion transport; Iron; Membrane; Metal-binding; Oxidoreductase; Respiratory chain; Transmembrane; Transmembrane helix; Transport"	663
P0ABJ1	cyoA		b0432	JW0422	CYOA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Cytochrome c oxidase subunit 2 family	Ubiquinol oxidase subunit 2 (EC 1.10.3.-) (Cytochrome o subunit 2) (Cytochrome o ubiquinol oxidase subunit 2) (Ubiquinol oxidase chain B) (Oxidase BO(3) subunit 2) (Ubiquinol oxidase polypeptide II)	"GO:0009060; GO:0005507; GO:0009486; GO:0004129; GO:0009055; GO:0020037; GO:0005887; GO:0015453; GO:0070469; GO:0022904"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Electron transport; Lipoprotein; Membrane; Oxidoreductase; Palmitate; Respiratory chain; Signal; Transmembrane; Transmembrane helix; Transport"	315
P0ABJ3	cyoC		b0430	JW0420	CYOC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Cytochrome c oxidase subunit 3 family	Cytochrome o ubiquinol oxidase subunit 3 (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase subunit III) (Ubiquinol oxidase chain C)	"GO:0009060; GO:0009486; GO:0004129; GO:0009055; GO:0016021; GO:0006123; GO:0015453; GO:0005886"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Membrane; Oxidoreductase; Transmembrane; Transmembrane helix; Transport"	204
P0ABJ6	cyoD		b0429	JW0419	CYOD_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Cytochrome c oxidase bacterial subunit 4 family	Cytochrome o ubiquinol oxidase protein cyoD (Ubiquinol oxidase chain D)	"GO:0009060; GO:0009486; GO:0009055; GO:0022900; GO:0016021; GO:0005886; GO:0006810"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Membrane; Oxidoreductase; Transmembrane; Transmembrane helix; Transport"	109
P0ABJ9	cydA	cyd-1	b0733	JW0722	CYDA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Cytochrome ubiquinol oxidase subunit 1 family	Cytochrome d ubiquinol oxidase subunit 1 (EC 1.10.3.-) (Cytochrome bd-I oxidase subunit I) (Cytochrome d ubiquinol oxidase subunit I)	"GO:0017004; GO:0009055; GO:0022900; GO:0020037; GO:0016021; GO:0016679; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Formylation; Heme; Iron; Membrane; Metal-binding; Oxidoreductase; Transmembrane; Transmembrane helix; Transport"	522
P0ABK2	cydB	cyd-2	b0734	JW0723	CYDB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Cytochrome d ubiquinol oxidase subunit 2 (EC 1.10.3.-) (Cytochrome bd-I oxidase subunit II) (Cytochrome d ubiquinol oxidase subunit II)	"GO:0017004; GO:0009055; GO:0022900; GO:0020037; GO:0016021; GO:0016682; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Formylation; Heme; Iron; Membrane; Metal-binding; Oxidoreductase; Transmembrane; Transmembrane helix; Transport"	379
P0ABK5	cysK	cysZ	b2414	JW2407	CYSK_ECOLI		Evidence at protein level	Cysteine synthase/cystathionine beta-synthase family	Cysteine synthase A (CSase A) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase A) (OAS-TL A) (O-acetylserine sulfhydrylase A) (Sulfate starvation-induced protein 5) (SSI5)	"GO:0006535; GO:0004124; GO:0009333; GO:0005829; GO:0030170; GO:0016740"	"Allosteric enzyme; Amino-acid biosynthesis; Complete proteome; Cysteine biosynthesis; Direct protein sequencing; Pyridoxal phosphate; Transferase"	323
P0ABK7	csgB		b1041	JW1024	CSGB_ECOLI	Fimbrium. 	Evidence at transcript level	CsgA/csgB family	Minor curlin subunit	"GO:0007155; GO:0009279; GO:0009289"	"Complete proteome; Fimbrium; Signal"	151
P0ABK9	nrfA		b4070	JW4031	NRFA_ECOLI	Periplasm. 	Evidence at protein level	Cytochrome c-552 family	Cytochrome c-552 (EC 1.7.2.2) (Ammonia-forming cytochrome c nitrite reductase) (Cytochrome c nitrite reductase)	"GO:0005509; GO:0022900; GO:0020037; GO:0042279; GO:0006807; GO:0042597; GO:0006810"	"3D-structure; Calcium; Complete proteome; Direct protein sequencing; Electron transport; Heme; Iron; Metal-binding; Oxidoreductase; Periplasm; Signal; Transport"	478
P0ABL1	nrfB	yjcI	b4071	JW4032	NRFB_ECOLI	Periplasm. 	Evidence at protein level		Cytochrome c-type protein nrfB	"GO:0022900; GO:0046872; GO:0042597; GO:0006810"	"3D-structure; Complete proteome; Electron transport; Heme; Iron; Metal-binding; Periplasm; Signal; Transport"	188
P0ABL3	napB	yejY	b2203	JW5367	NAPB_ECOLI	Periplasm. 	Evidence at protein level		Diheme cytochrome c napB	"GO:0022900; GO:0046872; GO:0042597; GO:0006810"	"Complete proteome; Direct protein sequencing; Electron transport; Heme; Iron; Metal-binding; Periplasm; Signal; Transport"	149
P0ABL5	napC	yejX	b2202	JW2190	NAPC_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at protein level		Cytochrome c-type protein napC	"GO:0022900; GO:0020037; GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Heme; Iron; Membrane; Metal-binding; Transmembrane; Transmembrane helix; Transport"	200
P0ABL8	ccmB	yejV	b2200	JW2188	CCMB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	CcmB/cycW/helB family	Heme exporter protein B (Cytochrome c-type biogenesis protein CcmB)	"GO:0043190; GO:0017004; GO:0015439; GO:0016021; GO:0005886; GO:0005515"	"Cell inner membrane; Cell membrane; Complete proteome; Cytochrome c-type biogenesis; Membrane; Transmembrane; Transmembrane helix; Transport"	220
P0ABM1	ccmC	yejT yejU	b2199	JW2187	CCMC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	CcmC/cycZ/helC family	Heme exporter protein C (Cytochrome c-type biogenesis protein CcmC)	"GO:0050662; GO:0017004; GO:0015232; GO:0016021; GO:0005886; GO:0005515; GO:0008535"	"Cell inner membrane; Cell membrane; Complete proteome; Cytochrome c-type biogenesis; Membrane; Transmembrane; Transmembrane helix; Transport"	245
P0ABM5	ccmD	yojM	b2198	JW2186	CCMD_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at protein level	CcmD/CycX/HelD family	Heme exporter protein D (Cytochrome c-type biogenesis protein CcmD)	"GO:0017004; GO:0015886; GO:0016021; GO:0031235; GO:0005515"	"Cell inner membrane; Cell membrane; Complete proteome; Cytochrome c-type biogenesis; Membrane; Transmembrane; Transmembrane helix; Transport"	69
P0ABM9	ccmH	yejP	b2194	JW2182	CCMH_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	CcmH/CycL/Ccl2/NrfF family	Cytochrome c-type biogenesis protein CcmH	"GO:0017004; GO:0016021; GO:0046872; GO:0005886; GO:0005515"	"Cell inner membrane; Cell membrane; Complete proteome; Cytochrome c-type biogenesis; Heme; Iron; Membrane; Metal-binding; Repeat; Signal; TPR repeat; Transmembrane; Transmembrane helix"	350
P0ABN1	dgkA		b4042	JW4002	KDGL_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Bacterial diacylglycerol kinase family	Diacylglycerol kinase (DAGK) (EC 2.7.1.107) (Diglyceride kinase) (DGK)	"GO:0005524; GO:0004143; GO:0016021; GO:0006654; GO:0005886"	"3D-structure; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Kinase; Membrane; Nucleotide-binding; Phospholipid biosynthesis; Transferase; Transmembrane; Transmembrane helix"	122
P0ABN5	dcuA	genA	b4138	JW5735	DCUA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	DcuA/dcuB transporter (TC 2.A.13.1) family	Anaerobic C4-dicarboxylate transporter dcuA	"GO:0015556; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	433
