K12 Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	Common Core 	Gene Ontology ID (Uniprot)	Category	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score	Uniprot Description	Pseudogenes / Mobile Elements Notes
YNAJ_ECOLI	C6EFQ0_ECOBD		Common Core 		B	SEC		33	0.999	19	0.474		TMH 	15.659	2	45.63	24.50	31	1	32	0.188	Predicted inner membrane protein (Putative uncharacterized protein)	 
YNAI_ECOLI	C6EFQ1_ECOBD		Common Core 	"GO:0016020; GO:0055085"	B	SEC		0	0	0	0		TMH 	7.658	4	101.79	42.65		5	34	0.168	Conserved inner membrane protein (MscS Mechanosensitive ion channel)	 
AEEP_ECOLI	C6EFQ7_ECOBD		Common Core 	"GO:0003824; GO:0009063"	B	SEC		0	0	0	0		CYT 		0	0.31	0.00		0	20	0.051	L-Ala-D/L-Glu epimerase (Mandelate racemase/muconate lactonizing protein)	 
TYRR_ECOLI	C6EFQ9_ECOBD		Common Core 	"GO:0005524; GO:0003677; GO:0005622; GO:0017111; GO:0006355; GO:0004871; GO:0006350; GO:0008134"	A			0	0	0	0		CYT 		0	0.00	0.00		0	12	0.036	DNA-binding transcriptional dual regulator, tyrosine-binding (Transcriptional regulator, TyrR)	 
YCJF_ECOLI	C6EFR0_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Common Core 	"GO:0016021; GO:0005886"	B	SEC		0	0	0	0		CYT 		3	64.02	0.00		4	5	0.032	UPF0283 membrane protein ycjF	 
YCJX_ECOLI	C6EFR1_ECOBD		Common Core 	GO:0016787	A			0	0	0	0		CYT 		0	0.15	0.15		0	50	0.187	Conserved protein with nucleoside triphosphate hydrolase domain (Putative uncharacterized protein)	 
PSPF_ECOLI	C6EFS9_ECOBD		Common Core 	"GO:0005524; GO:0003677; GO:0005622; GO:0017111; GO:0006355; GO:0003700; GO:0006350; GO:0008134"	A			0	0	0	0		CYT 		0	0.00	0.00		0	4	0.097	DNA-binding transcriptional activator (Sigma 54 specific transcriptional activator, PspF, Fis family)	 
SAPA_ECOLI	C6EFT8_ECOBD		Common Core 	GO:0005215	G	SEC		22	1.000	22	0.834	21	SpI 	14.803	0	1.58	1.51	21	0	21	0.136	Extracellular solute-binding protein family 5 (Predicted antimicrobial peptide transporter subunit)	 
SAPB_ECOLI	C6EFT9_ECOBD	"Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0016021; GO:0005886; GO:0005215"	B	SEC		28	0.998	17	0.505		TMH 	16.032	5	121.64	25.82		6	33	0.172	Binding-protein-dependent transport systems inner membrane component (Predicted antimicrobial peptide transporter subunit)	 
SAPC_ECOLI	C6EFU0_ECOBD	"Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0016021; GO:0005886; GO:0005215"	B	SEC		0	0	37	0		TMH 	5.598	5	123.33	22.61		6	50	0.165	Binding-protein-dependent transport systems inner membrane component (Predicted antimicrobial peptide transporter subunit)	 
SAPD_ECOLI	C6EFU1_ECOBD		Common Core 	"GO:0005524; GO:0016887; GO:0015197"	F1			0	0	0	0		CYT 		0	0.00	0.00		0	52	0.143	Oligopeptide/dipeptide ABC transporter, ATPase subunit (Predicted antimicrobial peptide transporter subunit)	 
SAPF_ECOLI	C6EFU2_ECOBD		Common Core 	"GO:0005524; GO:0016887"	F1			0	0	0	0		CYT 		0	0.00	0.00		0	57	0.124	ABC transporter related (Predicted antimicrobial peptide transporter subunit)	 
FABI_ECOLI	C6EFU4_ECOBD		Common Core 	"GO:0005488; GO:0004318; GO:0006633; GO:0055114"	F1			0	0	0	0		CYT 		0	0.14	0.13		0	27	0.171	Enoyl-(Acyl carrier protein) reductase (EC 1.3.1.9) (Short-chain dehydrogenase/reductase SDR)	 
RNB_ECOLI	C6EFU6_ECOBD	Cytoplasm. 	Common Core 	"GO:0003723; GO:0005737; GO:0008859; GO:0006402"	A			0	0	23	0		CYT 		0	0.00	0.00		0	28	0.154	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II)	 
GMR_ECOLI	C6EFU8_ECOBD		Common Core 	"GO:0009190; GO:0016849; GO:0006355; GO:0004871"	A			0	0	0	0		CYT 		0	0.04	0.00		0	9	0.072	Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S) (Modulator of Rnase II stability)	 
YCIT_ECOLI	C6EFV0_ECOBD		Common Core 	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	A			0	0	0	0		CYT 		0	0.01	0.00		0	26	0.074	Predicted DNA-binding transcriptional regulator (Transcriptional regulator, DeoR family)	 
PYRF_ECOLI	C6EFV3_ECOBD		Common Core 	"GO:0006207; GO:0004590; GO:0006221"	A			0	0	12	0		CYT 		0	0.98	0.00		0	11	0.140	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	 
YCIM_ECOLI	C6EFV4_ECOBD		Common Core 	GO:0005488	G	SEC		25	0.587	25	0		CYT 		0	0.64	0.64	16	0	14	0.056	Putative uncharacterized protein yciM (Tetratricopeptide domain protein)	 
PGPB_ECOLI	C6EFV6_ECOBD		Common Core 	"GO:0016020; GO:0008962"	B	SEC		23	0.890	25	0.553		TMH 	17.492	6	122.14	33.80		6	23	0.224	Phosphatidylglycerophosphatase (EC 3.1.3.27) (Phosphatidylglycerophosphatase B) (EC 3.1.3.27)	 
RIBA_ECOLI	C6EFV7_ECOBD		Common Core 	"GO:0003935; GO:0009231; GO:0008270"	A			0	0	0	0		CYT 		0	0.00	0.00		0	9	0.110	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	 
CYSB_ECOLI	C6EFW2_ECOBD		Common Core 	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	A	SEC		0	0	0	0		CYT 		0	0.11	0.00		0	62	0.022	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding (Transcriptional regulator, LysR family)	 
TOP1_ECOLI	C6EFW3_ECOBD		Common Core 	"GO:0005524; GO:0003918; GO:0003917; GO:0006265; GO:0006268; GO:0005694"	A			0	0	15	0.518		CYT 		0	0.00	0.00		0	44	0.162	DNA topoisomerase (EC 5.99.1.2)	 
YCIN_ECOLI	C6EFW4_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.00	0.00		0	10	0.039	Putative uncharacterized protein (Putative uncharacterized protein yciN)	 
YCIK_ECOLI	C6EFW6_ECOBD		Common Core 	"GO:0005488; GO:0055114; GO:0016491"	A			0	0	0	0		CYT 		0	0.05	0.01		0	36	0.059	Short chain dehydrogenase (Short-chain dehydrogenase/reductase SDR)	 
RLUB_ECOLI	C6EFW8_ECOBD		Common Core 	"GO:0003723; GO:0009982; GO:0001522"	A_trl			0	0	0	0		CYT 		0	0.02	0.00		0	10	0.175	Pseudouridine synthase (EC 5.4.99.-)	 
YCIO_ECOLI	C6EFX0_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.00	0.00		0	20	0.054	Putative uncharacterized protein yciO (Sua5/YciO/YrdC/YwlC family protein)	 
TRPH_ECOLI	C6EFX1_ECOBD		Common Core 	"GO:0003677; GO:0006260; GO:0003887"	A			0	0	0	0		CYT 		0	0.00	0.00		0	32	0.042	PHP domain protein (Putative uncharacterized protein yciV)	 
TRPE_ECOLI	C6EFX2_ECOBD		Common Core 	"GO:0004049; GO:0009058"	A			0	0	0	0		CYT 		0	0.00	0.00		0	1	0.065	Anthranilate synthase component I (EC 4.1.3.27)	 
TRPG_ECOLI	C6EFX3_ECOBD		Common Core 	"GO:0004048; GO:0004049; GO:0006541; GO:0000162"	F1			0	0	0	0		CYT 		0	0.05	0.00		0	53	0.037	Anthranilate phosphoribosyltransferase (Bifunctional indole-3-glycerol-phosphate synthase/anthranilate phosphoribosyltransferase) (EC 2.4.2.18) (EC 4.1.3.27)	 
TRPB_ECOLI	C6EFX5_ECOBD		Common Core 	"GO:0030170; GO:0004834"	B	SEC		0	0	0	0		CYT 		0	0.12	0.05		0	1	0.187	Tryptophan synthase beta chain (EC 4.2.1.20)	 
YCIA_ECOLI	C6EFY3_ECOBD		Common Core 	GO:0016787	A			0	0	0	0		CYT 		0	0.27	0.25		0	43	0.112	Predicted hydrolase (Thioesterase superfamily protein)	 
YCII_ECOLI	C6EFY5_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.00	0.00		0	53	0.047	Predicted enzyme (YCII-related)	 
KCH_ECOLI	C6EFY6_ECOBD		Common Core 	"GO:0005488; GO:0003824; GO:0005216; GO:0006813"	B	SEC		0	0	0	0		TMH 	2.911	7	144.15	23.19		6	5	0.137	TrkA-N domain protein (Voltage-gated potassium channel)	 
CLS_ECOLI	C6EFY7_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Common Core 	GO:0016740	B	SEC		0	0	0	0		TMH 	5.419	2	44.27	43.28		2	39	0.167	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	 
YCIU_ECOLI	C6EFY8_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.00	0.00		0	18	0.023	UPF0263 protein yciU	 
OPPF_ECOLI	C6EFY9_ECOBD		Common Core 	"GO:0005524; GO:0016887; GO:0015197"	F1			0	0	0	0		CYT 		0	0.02	0.00		0	3	0.047	Oligopeptide transporter subunit (Oligopeptide/dipeptide ABC transporter, ATPase subunit)	 
OPPD_ECOLI	C6EFZ0_ECOBD		Common Core 	"GO:0005524; GO:0016887; GO:0015197"	F1			0	0	0	0		CYT 		0	1.27	0.00		0	74	0.070	Oligopeptide transporter ATP-binding component (Oligopeptide/dipeptide ABC transporter, ATPase subunit)	 
YIGI_ECOLI	C6EFZ2_ECOBD		Common Core 		B	SEC		0	0	0	0		CYT 		0	5.02	1.03		0	6	0.056	Putative uncharacterized protein yigI (Thioesterase superfamily protein)	 
RARD_ECOLI	C6EFZ3_ECOBD		Common Core 	GO:0016020	B	SEC		0	0	0	0		TMH 	9.799	10	203.54	41.88		10	15	0.402	Predicted chloramphenical resistance permease (RarD protein, DMT superfamily transporter)	 
CORA_ECOLI	C6EFZ7_ECOBD		Common Core 	"GO:0015087; GO:0015095; GO:0016020"	B	SEC		0	0	0	0		CYT 		2	41.57	0.00		2	6	0.066	Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	 
UVRD_ECOLI	C6EG01_ECOBD		Common Core 	"GO:0005524; GO:0004003; GO:0003677; GO:0006281; GO:0006268; GO:0005737"	A			0	0	20	0		CYT 		0	0.09	0.04		0	46	0.181	DNA helicase II (DNA-dependent ATPase I and helicase II) (EC 3.6.1.-)	 
DAPF_ECOLI	C6EG05_ECOBD	Cytoplasm. 	Common Core 	"GO:0005737; GO:0008837; GO:0009089"	A	SEC		0	0	0	0		CYT 		0	0.01	0.01		0	34	0.065	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7)	 
CYAY_ECOLI	C6EG08_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.00	0.00		0	10	0.122	Protein CyaY	 
HEM3_ECOLI	C6EG10_ECOBD		Common Core 	"GO:0004418; GO:0018160; GO:0006779"	A			0	0	0	0		CYT 		0	0.00	0.00		0	16	0.095	Porphobilinogen deaminase (EC 2.5.1.61)	 
HEM4_ECOLI	C6EG11_ECOBD		Common Core 	"GO:0033014; GO:0004852"	A			0	0	12	0		CYT 		0	0.00	0.00		0	44	0.054	Uroporphyrinogen-III synthase (EC 4.2.1.75) (Uroporphyrinogen-III synthetase) (EC 4.2.1.75)	 
HEMY_ECOLI	C6EG13_ECOBD		Common Core 	"GO:0005488; GO:0042168; GO:0016020"	B	SEC		24	0.725	0	0		TMH 	10.529	2	44.15	42.46	26	1	86	0.030	HemY protein (Predicted protoheme IX synthesis protein)	 
ASLB_ECOLI	C6EG15_ECOBD		Common Core 	"GO:0003824; GO:0051536"	A			0	0	0	0		CYT 		0	0.02	0.00		0	21	0.066	Predicted regulator of arylsulfatase activity (Radical SAM domain protein)	 
WECG_ECOLI	C6EG17_ECOBD		Common Core 	"GO:0047244; GO:0009058"	A			0	0	0	0		CYT 		0	0.04	0.00		0	7	0.100	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	 
RFFA_ECOLI	C6EG21_ECOBD		Common Core 	"GO:0003824; GO:0030170"	A			0	0	0	0		CYT 		0	0.05	0.01		0	62	0.141	TDP-4-keto-6-deoxy-D-glucose transaminase (TDP-4-oxo-6-deoxy-D-glucose transaminase)	 
RMLA2_ECOLI	C6EG23_ECOBD		Common Core 	"GO:0045226; GO:0008879; GO:0046872"	A			0	0	0	0		CYT 		0	1.77	1.77		1	21	0.120	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	 
RMLB2_ECOLI	C6EG24_ECOBD		Common Core 	"GO:0050662; GO:0008460; GO:0009225"	A			0	0	0	0		CYT 		0	1.45	1.43		0	6	0.157	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	 
WECC_ECOLI	C6EG25_ECOBD		Common Core 	"GO:0051287; GO:0003979; GO:0055114"	H	SEC	BAM	24	0.879	0	0		CYT 		0	8.91	8.88	23	0	23	0.154	Nucleotide sugar dehydrogenase (EC 1.1.1.22) (UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase) (EC 1.1.1.-)	 
WECB_ECOLI	C6EG26_ECOBD		Common Core 	"GO:0008761; GO:0006047; GO:0009103"	A			0	0	0	0		CYT 		0	0.02	0.00		0	24	0.062	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	 
WZZE_ECOLI	C6EG27_ECOBD		Common Core 	"GO:0009103; GO:0016020"	B	SEC		0	0	36	0		TMH 	8.703	2	41.15	21.44		2	46	0.232	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	 
RHO_ECOLI	C6EG30_ECOBD		Common Core 	"GO:0005524; GO:0015986; GO:0003723; GO:0016820; GO:0017111; GO:0033178; GO:0006353; GO:0003715"	A			0	0	0	0		CYT 		0	0.00	0.00		0	37	0.055	Transcription termination factor Rho	 
RHLB_ECOLI	C6EG33_ECOBD		Common Core 	"GO:0005524; GO:0008026; GO:0003676"	A			0	0	24	0		CYT 		0	0.07	0.01		0	62	0.072	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	 
REP_ECOLI	C6EG35_ECOBD		Common Core 	"GO:0005524; GO:0004003; GO:0003677; GO:0006281; GO:0006268; GO:0005737"	A			0	0	0	0		CYT 		0	0.08	0.07		0	22	0.263	ATP-dependent DNA helicase Rep (DNA helicase and single-stranded DNA-dependent ATPase) (EC 3.6.1.-)	 
PPIC_ECOLI	C6EG36_ECOBD		Common Core 	"GO:0003755; GO:0006457"	A			0	0	0	0		CYT 		0	0.02	0.00		0	47	0.105	Peptidyl-prolyl cis-trans isomerase C (Rotamase C) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	 
ILVC_ECOLI	C6EG37_ECOBD		Common Core 	"GO:0050661; GO:0009082; GO:0016853; GO:0004455; GO:0055114"	A			0	0	0	0		CYT 		0	0.00	0.00		0	15	0.220	Ketol-acid reductoisomerase (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (Alpha-keto-beta-hydroxylacil reductoisomerase)	 
ILVY_ECOLI	C6EG38_ECOBD		Common Core 	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	A	SEC		0	0	0	0		CYT 		0	0.85	0.00		0	24	0.291	DNA-binding transcriptional dual regulator (Transcriptional regulator, LysR family)	 
THD1_ECOLI	C6EG39_ECOBD		Common Core 	"GO:0004794; GO:0009097; GO:0030170"	B	SEC		0	0	0	0		CYT 		0	0.59	0.00		0	22	0.072	Threonine dehydratase, biosynthetic	 
ILVE_ECOLI	C6EG41_ECOBD		Common Core 	"GO:0009081; GO:0004084"	A			0	0	0	0		CYT 		0	0.72	0.00		0	21	0.061	Branched-chain amino acid aminotransferase	 
YIFB_ECOLI	C6EG44_ECOBD		Common Core 	"GO:0015995; GO:0016851; GO:0017111; GO:0000166; GO:0015979"	A			0	0	0	0		CYT 		0	0.04	0.00		0	10	0.057	Mg chelatase, subunit ChlI	 
YIFE_ECOLI	C6EG45_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.00	0.00		0	24	0.124	Putative uncharacterized protein (Putative uncharacterized protein yifE)	 
YIEP_ECOLI	C6EG47_ECOBD		Common Core 	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	A			0	0	0	0		CYT 		0	0.09	0.00		0	21	0.049	GntR domain protein (Predicted transcriptional regulator)	 
HSRA_ECOLI	C6EG48_ECOBD		Common Core 	"GO:0016021; GO:0046677; GO:0015520"	B	SEC		28	0.991	27	0.564		TMH 	8.544	14	304.39	34.79	27	13	38	0.220	Drug resistance transporter, EmrB/QacA subfamily (Predicted multidrug or homocysteine efflux system)	 
RBSK_ECOLI	C6EG50_ECOBD		Common Core 	"GO:0006014; GO:0004747"	A			0	0	0	0		CYT 		0	0.00	0.00		0	50	0.150	Ribokinase	 
RBSB_ECOLI	C6EG51_ECOBD		Common Core 		G	SEC		26	1.000	26	0.821	25	SpI 	22.709	0	1.73	1.73	25	0	48	0.072	D-ribose transporter subunit (Periplasmic binding protein/LacI transcriptional regulator)	 
RBSA_ECOLI	C6EG53_ECOBD		Common Core 	"GO:0005524; GO:0043211; GO:0005886"	F1			0	0	35	0		CYT 		0	0.04	0.04		0	34	0.181	ABC transporter related (Fused D-ribose transporter subunits of ABC superfamily: ATP-binding components)	 
KUP_ECOLI	C6EG56_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Common Core 	"GO:0016021; GO:0005886; GO:0015079"	B	SEC		23	0.744	0	0		TMH 	5.563	12	257.32	29.82	22	11	15	0.179	Potassium transporter (Potassium uptake protein)	 
VIAA_ECOLI	C6EG58_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.12	0.11		0	45	0.052	Predicted von Willibrand factor containing protein (von Willebrand factor type A)	 
ASNA_ECOLI	C6EG59_ECOBD	Cytoplasm. 	Common Core 	"GO:0005524; GO:0004812; GO:0006529; GO:0004071; GO:0005737; GO:0006418"	A			0	0	0	0		CYT 		0	0.02	0.00		0	22	0.064	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	 
ASNC_ECOLI	C6EG60_ECOBD		Common Core 	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	A			0	0	27	0		CYT 		0	0.00	0.00		0	41	0.100	DNA-binding transcriptional dual regulator (Transcriptional regulator, AsnC family)	 
MIOC_ECOLI	C6EG61_ECOBD		Common Core 	"GO:0010181; GO:0016491"	A			0	0	0	0		CYT 		0	0.00	0.00		0	2	0.091	Flavodoxin (Flavodoxin/nitric oxide synthase)	 
ATP6_ECOLI	C6EG65_ECOBD	"Cell inner membrane; Multi-pass membrane protein.  Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0015986; GO:0015078; GO:0016787; GO:0016021; GO:0045263"	B	SEC		0	0	0	0		CYT 		5	111.70	22.49		5	66	0.058	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	 
ATPG_ECOLI	C6EG70_ECOBD	"Cell inner membrane; Peripheral membrane protein. "	Common Core 	"GO:0015986; GO:0046933; GO:0045261; GO:0046961"	F1			0	0	0	0		CYT 		0	0.05	0.00		0	40	0.319	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	 
ATPB_ECOLI	C6EG71_ECOBD	"Cell inner membrane; Peripheral membrane protein. "	Common Core 	"GO:0005524; GO:0046933; GO:0008553; GO:0005886; GO:0042777; GO:0045261; GO:0046961"	F1			0	0	0	0		CYT 		0	0.04	0.00		0	56	0.029	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	 
GLMU_ECOLI	C6EG73_ECOBD	Cytoplasm. 	Common Core 	"GO:0003977; GO:0000902; GO:0005737; GO:0019134; GO:0009103; GO:0000287; GO:0009252"	A			0	0	0	0		CYT 		0	0.01	0.00		0	12	0.086	Bifunctional protein glmU	 
PSTS_ECOLI	C6EG75_ECOBD		Common Core 	GO:0005315	G	SEC		26	1.000	26	0.734	25	SpI 	23.905	1	18.62	17.41	25	0	34	0.308	Phosphate ABC transporter, periplasmic phosphate-binding protein (Phosphate transporter subunit)	 
PSTA_ECOLI	C6EG77_ECOBD	"Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0005315; GO:0016021; GO:0005886"	B	SEC		0	0	0	0		TMH 	14.905	6	131.62	22.64		6	38	0.298	Phosphate ABC transporter, inner membrane subunit PstA (Phosphate transporter subunit)	 
PSTB_ECOLI	C6EG78_ECOBD		Common Core 	"GO:0005524; GO:0005315; GO:0015415; GO:0005886"	F1			0	0	0	0		CYT 		0	0.00	0.00		0	54	0.084	Phosphate ABC transporter, ATPase subunit (Phosphate transporter subunit)	 
PHOU_ECOLI	C6EG79_ECOBD		Common Core 		F1			0	0	0	0		CYT 		0	0.00	0.00		0	15	0.085	Negative regulator of PhoR/PhoB two-component regulator (Phosphate uptake regulator, PhoU)	 
PURP_ECOLI	C6EG89_ECOBD		Common Core 	"GO:0016020; GO:0055085; GO:0005215"	B	SEC		0	0	0	0		TMH 	0.786	13	278.05	22.96		13	28	0.186	Predicted inner membrane protein (Xanthine/uracil/vitamin C permease)	 
YIEF_ECOLI	C6EG90_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.01	0.00		0	39	0.313	Chromate reductase, Class I, flavoprotein (NADPH-dependent FMN reductase)	 
YIEE_ECOLI	C6EG91_ECOBD		Common Core 		B	SEC		0	0	0	0		CYT 		0	1.12	1.01		0	40	0.085	Putative uncharacterized protein	 
MDTL_ECOLI	C6EG93_ECOBD		Common Core 	GO:0055085	B	SEC		0	0	10	0		TMH 	2.890	11	251.00	41.80	16	11	54	0.055	Major facilitator superfamily MFS_1 (Multidrug efflux system protein)	 
TNAA_ECOLI	C6EG95_ECOBD		Common Core 	"GO:0030170; GO:0006568; GO:0009034"	A			0	0	0	0		CYT 		0	0.00	0.00		0	4	0.064	Tryptophanase (EC 4.1.99.1) (Tryptophanase/L-cysteine desulfhydrase, PLP-dependent) (EC 4.1.99.1)	 
MNME_ECOLI	C6EG97_ECOBD	Cytoplasm. 	Common Core 	"GO:0005525; GO:0003924; GO:0005737; GO:0006400"	F1			0	0	0	0		CYT 		0	0.00	0.00		0	33	0.297	tRNA modification GTPase mnmE (EC 3.6.-.-)	 
OXAA_ECOLI	C6EG98_ECOBD	"Cell inner membrane; Multi-pass membrane protein.  Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0016021; GO:0005886; GO:0051205"	B	SEC		25	0.983	25	0.818	24	SpI 	12.089	4	99.51	16.08	24	4	54	0.171	Inner membrane protein oxaA	 
RNPA_ECOLI	C6EGA0_ECOBD		Common Core 	"GO:0004526; GO:0001682; GO:0000049"	A			0	0	29	0		CYT 		0	0.00	0.00		0	59	0.125	Ribonuclease P protein component	 
PABA_ECOLI	C6EGA3_ECOBD		Common Core 	"GO:0004049; GO:0009058; GO:0006541; GO:0016740"	A			0	0	0	0		CYT 		0	0.10	0.00		0	96	0.028	Glutamine amidotransferase of anthranilate synthase (Para-aminobenzoate synthase component II) (EC 4.1.3.-)	 
ARGD_ECOLI	C6EGA4_ECOBD		Common Core 	"GO:0003992; GO:0006525; GO:0030170; GO:0009016"	A			0	0	0	0		CYT 		0	0.24	0.11		0	24	0.034	Bifunctional acetylornithine aminotransferase/ succinyldiaminopimelate aminotransferase (EC 2.6.1.11) (EC 2.6.1.17) (Succinylornithine transaminase family) (EC 2.6.1.17)	 
YHFK_ECOLI	C6EGA5_ECOBD		Common Core 		B	SEC		0	0	0	0		TMH 	0.537	9	187.10	20.04		11	49	0.093	Integral membrane protein, YccS/YhfK family	 
CRP_ECOLI	C6EGA6_ECOBD		Common Core 	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	A			0	0	0	0		CYT 		0	0.00	0.00		0	4	0.055	DNA-binding transcriptional dual regulator (Transcriptional regulator, Crp/Fnr family)	 
YHFA_ECOLI	C6EGA7_ECOBD		Common Core 	GO:0006950	A			0	0	0	0		CYT 		0	1.06	1.06		0	43	0.181	OsmC family protein (Putative uncharacterized protein yhfA)	 
KPPR_ECOLI	C6EGA8_ECOBD		Common Core 	"GO:0005524; GO:0005975; GO:0008974"	A			25	0.637	31	0		CYT 		0	3.59	1.31		0	30	0.335	Phosphoribulokinase (EC 2.7.1.19)	 
YHET_ECOLI	C6EGB0_ECOBD		Common Core 	GO:0004091	A			0	0	0	0		CYT 		0	0.15	0.00		0	18	0.289	Alpha/beta hydrolase fold protein (Predicted hydrolase)	 
YHES_ECOLI	C6EGB1_ECOBD		Common Core 	"GO:0005524; GO:0016887"	F1			0	0	0	0		CYT 		0	0.00	0.00		0	53	0.121	ABC transporter related (Fused predicted transporter subunits of ABC superfamily: ATP-binding components)	 
KEFG_ECOLI	C6EGB2_ECOBD		Common Core 	"GO:0050662; GO:0009055; GO:0016491"	F1			0	0	0	0		CYT 		0	0.05	0.00		0	6	0.035	NAD(P)H dehydrogenase (Quinone)	 
SLYD_ECOLI	C6EGB5_ECOBD		Common Core 	"GO:0003755; GO:0006457"	A			0	0	0	0		CYT 		0	0.00	0.00		0	4	0.040	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	 
YHEO_ECOLI	C6EGB8_ECOBD		Common Core 	GO:0003677	A			0	0	0	0		CYT 		0	0.13	0.02		0	7	0.054	Predicted DNA-binding transcriptional regulator (YheO domain protein)	 
RS7_ECOLI	C6EGC3_ECOBD		Common Core 	"GO:0019843; GO:0015935; GO:0003735; GO:0006412"	A_trl			0	0	0	0		CYT 		0	0.00	0.00		0	24	0.077	30S ribosomal protein S7	 
EFG_ECOLI	C6EGC4_ECOBD	Cytoplasm. 	Common Core 	"GO:0005525; GO:0003924; GO:0005737; GO:0003746"	A_trl			0	0	0	0		CYT 		0	0.05	0.00		0	21	0.098	Elongation factor G (EF-G)	 
RS10_ECOLI	C6EGE5_ECOBD		Common Core 	"GO:0015935; GO:0003735; GO:0000049; GO:0006412"	A_trl			0	0	0	0		CYT 		0	0.00	0.00		0	46	0.077	30S ribosomal protein S10	 
RL3_ECOLI	C6EGE6_ECOBD		Common Core 	"GO:0019843; GO:0005840; GO:0003735; GO:0006412"	A_trl			0	0	0	0		CYT 		0	0.00	0.00		0	71	0.040	50S ribosomal protein L3	 
RL4_ECOLI	C6EGE7_ECOBD		Common Core 	"GO:0005840; GO:0003735; GO:0006412"	A_trl			0	0	0	0		CYT 		0	0.01	0.01		0	52	0.127	50S ribosomal protein L4	 
RL2_ECOLI	C6EGE9_ECOBD		Common Core 	"GO:0003723; GO:0015934; GO:0003735; GO:0016740; GO:0006412"	A_trl			0	0	0	0		CYT 		0	0.00	0.00		0	60	0.092	50S ribosomal protein L2	 
RS19_ECOLI	C6EGF0_ECOBD		Common Core 	"GO:0003723; GO:0015935; GO:0003735; GO:0006412"	A_trl			0	0	0	0		CYT 		0	0.06	0.06		0	40	0.160	30S ribosomal protein S19	 
RL22_ECOLI	C6EGF1_ECOBD		Common Core 	"GO:0015934; GO:0019843; GO:0003735; GO:0006412"	A_trl			0	0	0	0		CYT 		0	0.00	0.00		0	20	0.095	50S ribosomal protein L22	 
