Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	Name	Accession	Comments	Description	Common Core	Category	Uniprot Subcellular Loci	EchoLOCATION	Total Len	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score
C6EKB3	ECBD_3073			ECBD_3073	C6EKB3_ECOBD		Predicted		4'-phosphopantetheinyl transferase	"GO:0009239; GO:0009366; GO:0008897; GO:0009059; GO:0000287"	"Complete proteome; Transferase"	247		ENTD_ECOLI	P19925		>P19925|ENTD_ECOLI 4'-phosphopantetheinyl transferase entD OS=Escherichia coli (strain K12) GN=entD PE=3 SV=2	yes	A		Membrane anchored	209			0	0	0	0		CYT 		0	0.03	0.00		0	14	0.120
C6EKA0	entE ECBD_3060 ECD_00561	entE		ECBD_3060 ECD_00561	C6EKA0_ECOBD		Predicted		2,3-dihydroxybenzoate-AMP ligase (2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex) (EC 6.3.2.-)	"GO:0008668; GO:0016874; GO:0019290"	"Complete proteome; Ligase"	536		ENTE_ECOLI	P10378	" ""F1 location: peripheral inner membran protein facing the cytoplasmic side notes: Phobius predits transmembrane region around aa100; binds AMP; very high homology to eight other transport proteins: (FADK_ECOLI, CAIC_ECOLI, LCFA_ECOLI, ENTF_ECOLI, ACSA_ECOLI, PRPE_ECOLI, AAS_ECOLI, MENE_ECOLI, PAAK_ECOLI) refs: (http://www.ncbi.nlm.nih.gov/pubmed/10692387) """"Membrane association of the Escherichia coli enterobactin synthase proteins EntB/G, EntE, and EntF."""""""	>P10378|ENTE_ECOLI Enterobactin synthase component E OS=Escherichia coli (strain K12) GN=entE PE=3 SV=3	yes	F1		Cytoplasmic	536			0	0	0	0		CYT 		0	6.86	0.00		1	9	0.047
C6EKA9	entF ECBD_3069 ECD_00553	entF		ECBD_3069 ECD_00553	C6EKA9_ECOBD		Predicted		Amino acid adenylation domain protein (Enterobactin synthase multienzyme complex component, ATP-dependent) (EC 2.7.7.-)	"GO:0000036; GO:0009058; GO:0048037; GO:0016788; GO:0016874; GO:0016779; GO:0031177"	"Complete proteome; Nucleotidyltransferase; Phosphopantetheine; Transferase"	1293		ENTF_ECOLI	P11454	" ""location: peripheral inner membran protein facing the cytoplasmic side notes:see P10378 (ENTE_ECOLI) refs: (http://www.ncbi.nlm.nih.gov/pubmed/10692387) """"Membrane association of the Escherichia coli enterobactin synthase proteins EntB/G, EntE, and EntF."""""""	>P11454|ENTF_ECOLI Enterobactin synthase component F OS=Escherichia coli (strain K12) GN=entF PE=1 SV=3	yes	F1		Cytoplasmic	1293			0	0	0	0		CYT 		0	0.34	0.00		0	10	0.050
C6EGJ6	envR ECBD_0481 ECD_03122	envR		ECBD_0481 ECD_03122	C6EGJ6_ECOBD		Predicted		DNA-binding transcriptional regulator (Transcriptional regulator, TetR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0016566; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	220		ENVR_ECOLI	P0ACT2		>P0ACT2|ENVR_ECOLI Probable acrEF/envCD operon repressor OS=Escherichia coli (strain K12) GN=envR PE=1 SV=1	yes	A		Cytoplasmic	220			0	0	0	0		CYT 		0	1.48	0.00		0	40	0.094
C6EFH0	ECBD_0341			ECBD_0341	C6EFH0_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology		Histidine kinase	"GO:0005524; GO:0016021; GO:0018106; GO:0000155; GO:0000160"	"ATP-binding; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Signal; Transferase; Transmembrane; Two-component regulatory system"	450		ENVZ_ECOLI	P0AEJ4		>P0AEJ4|ENVZ_ECOLI Osmolarity sensor protein envZ OS=Escherichia coli (strain K12) GN=envZ PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	450	SEC		31	0.996	14	0.527		TMH 	7.110	2	39.88	23.12		2	25	0.269
C6ED10	yjdB ECBD_3917 ECD_03985	yjdB		ECBD_3917 ECD_03985	C6ED10_ECOBD		Predicted		Predicted metal dependent hydrolase (Sulfatase)	"GO:0016021; GO:0008484"	"Complete proteome; Hydrolase; Signal"	547		EPTA_ECOLI	P30845		>P30845|EPTA_ECOLI Phosphoethanolamine transferase eptA OS=Escherichia coli (strain K12) GN=eptA PE=1 SV=2	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	-	547	SEC		0	0.874	13	0		TMH 	13.285	5	111.82	33.32		5	20	0.082
C6EED5	yhjW ECBD_0191 ECD_03396	yhjW		ECBD_0191 ECD_03396	C6EED5_ECOBD		Predicted		Predicted metal dependent hydrolase (Sulfatase)	"GO:0016021; GO:0008484"	"Complete proteome; Hydrolase"	563		EPTB_ECOLI	P37661		>P37661|EPTB_ECOLI Phosphoethanolamine transferase eptB OS=Escherichia coli (strain K12) GN=eptB PE=1 SV=3	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	563	SEC		38	0.505	0	0		TMH 	11.408	5	108.40	35.14		5	39	0.100
C6EK21	era ECBD_1115 ECD_02460	era		ECBD_1115 ECD_02460	C6EK21_ECOBD		Inferred from homology	Era/mnmE GTP-binding protein family, Era subfamily	GTP-binding protein era homolog	"GO:0005525; GO:0003723; GO:0005622"	"Complete proteome; GTP-binding; Nucleotide-binding; RNA-binding"	301		ERA_ECOLI	P06616		>P06616|ERA_ECOLI GTP-binding protein era OS=Escherichia coli (strain K12) GN=era PE=1 SV=2	yes	F1	"Cell membrane; Peripheral membrane protein. "	Cytoplasmic	301			0	0	0	0		CYT 		0	0.03	0.01		0	42	0.174
C6EB82	ECBD_1659			ECBD_1659	C6EB82_ECOBD		Predicted		ErfK/YbiS/YcfS/YnhG family protein		"Complete proteome; Signal"	311		ERFK_ECOLI	P39176		>P39176|ERFK_ECOLI Protein erfK/srfK OS=Escherichia coli (strain K12) GN=erfK PE=1 SV=2	yes	G	Periplasm. 	Periplasmic >EXP<	310	SEC		22	1.000	22	0.925	21	SpI 	17.004	0	9.45	8.94	21	0	21	0.159
C6EAC8	yadR ECBD_3462 ECD_00155	yadR		ECBD_3462 ECD_00155	C6EAC8_ECOBD		Predicted		Iron-sulfur cluster assembly accessory protein (Putative uncharacterized protein yadR)	"GO:0016226; GO:0051536; GO:0005198"	"Complete proteome; Iron; Iron-sulfur; Metal-binding"	114		ERPA_ECOLI	P0ACC3		>P0ACC3|ERPA_ECOLI Iron-sulfur cluster insertion protein erpA OS=Escherichia coli (strain K12) GN=erpA PE=1 SV=1	yes	A		Cytoplasmic	114			0	0	0	0		CYT 		0	0.05	0.05		0	14	0.085
C6EHM6	yccC ECBD_2613 ECD_00984	yccC		ECBD_2613 ECD_00984	C6EHM6_ECOBD		Predicted		Capsular exopolysaccharide family (EC 2.7.10.2) (Cryptic autophosphorylating protein tyrosine kinase Etk)	"GO:0045227; GO:0030234; GO:0009103; GO:0016020; GO:0004715"	"Complete proteome; Kinase; Transferase"	726		ETK_ECOLI	P38134		>P38134|ETK_ECOLI Tyrosine-protein kinase etk OS=Escherichia coli (strain K12) GN=etk PE=1 SV=2	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	-	726	SEC		0	0	0	0		CYT 		2	41.13	20.54		2	47	0.034
C6EHM5	yccY ECBD_2612 ECD_00985	yccY		ECBD_2612 ECD_00985	C6EHM5_ECOBD		Predicted		Phosphotyrosine-protein phosphatase (Protein tyrosine phosphatase)	"GO:0006470; GO:0004725"	Complete proteome	148		ETP_ECOLI	P0ACZ2		>P0ACZ2|ETP_ECOLI Low molecular weight protein-tyrosine-phosphatase etp OS=Escherichia coli (strain K12) GN=etp PE=1 SV=1	yes	A		Cytoplasmic	148			0	0	0	0		CYT 		0	0.01	0.00		0	51	0.121
C6EKR2	eutA ECBD_1240 ECD_02342	eutA		ECBD_1240 ECD_02342	C6EKR2_ECOBD		Predicted		Ethanolamine utilisation EutA (Reactivating factor for ethanolamine ammonia lyase)	GO:0016829	"Complete proteome; Lyase"	467		EUTA_ECOLI	P76551		>P76551|EUTA_ECOLI Ethanolamine utilization protein eutA OS=Escherichia coli (strain K12) GN=eutA PE=3 SV=1		B		Cytoplasmic	467	SEC		0	0	0	0		CYT 		0	0.38	0.06		0	31	0.111
C6EKR3	eutB ECBD_1241 ECD_02341	eutB		ECBD_1241 ECD_02341	C6EKR3_ECOBD		Predicted		Ethanolamine ammonia-lyase (EC 4.3.1.7) (Ethanolamine ammonia-lyase, large subunit, heavy chain) (EC 4.3.1.7)	"GO:0006520; GO:0008851"	"Complete proteome; Lyase"	453		EUTB_ECOLI	P0AEJ6		>P0AEJ6|EUTB_ECOLI Ethanolamine ammonia-lyase heavy chain OS=Escherichia coli (strain K12) GN=eutB PE=1 SV=1	yes	A		Cytoplasmic	453			0	0	0	0		CYT 		0	0.28	0.00		0	39	0.182
C6EKR4	eutC ECBD_1242 ECD_02340	eutC		ECBD_1242 ECD_02340	C6EKR4_ECOBD		Inferred from homology		Ethanolamine ammonia-lyase (EC 4.3.1.7) (Ethanolamine ammonia-lyase small subunit) (EC 4.3.1.7)	"GO:0006520; GO:0031419; GO:0008851"	"Cobalamin; Cobalt; Complete proteome; Lyase"	295		EUTC_ECOLI	P19636		>P19636|EUTC_ECOLI Ethanolamine ammonia-lyase light chain OS=Escherichia coli (strain K12) GN=eutC PE=1 SV=2		A		Cytoplasmic	295			0	0	0	0		CYT 		0	0.00	0.00		0	30	0.278
C6EKQ4	eutI ECBD_1232 ECD_02349	eutI		ECBD_1232 ECD_02349	C6EKQ4_ECOBD		Predicted		Phosphate acetyltransferase (Predicted phosphotransacetylase subunit)	GO:0016407	"Complete proteome; Transferase"	338		EUTD_ECOLI	P77218		>P77218|EUTD_ECOLI Ethanolamine utilization protein eutD OS=Escherichia coli (strain K12) GN=eutD PE=1 SV=1	yes	A		-	338			0	0	0	0		CYT 		0	0.04	0.00		0	46	0.074
C6EKQ7	eutE ECBD_1235 ECD_02346	eutE		ECBD_1235 ECD_02346	C6EKQ7_ECOBD		Predicted		Aldehyde Dehydrogenase (Predicted aldehyde dehydrogenase, ethanolamine utilization protein)	"GO:0055114; GO:0016491"	Complete proteome	467		EUTE_ECOLI	P77445		>P77445|EUTE_ECOLI Ethanolamine utilization protein eutE OS=Escherichia coli (strain K12) GN=eutE PE=4 SV=1		A		Cytoplasmic	467			0	0	0	0		CYT 		0	0.46	0.00		0	61	0.071
C6EKQ9	eutG ECBD_1237 ECD_02344	eutG		ECBD_1237 ECD_02344	C6EKQ9_ECOBD		Predicted		Iron-containing alcohol dehydrogenase (Predicted alcohol dehydrogenase in ethanolamine utilization)	"GO:0046872; GO:0055114; GO:0016491"	Complete proteome	395		EUTG_ECOLI	P76553		>P76553|EUTG_ECOLI Ethanolamine utilization protein eutG OS=Escherichia coli (strain K12) GN=eutG PE=1 SV=2	yes	A		Cytoplasmic	395			0	0	0	0		CYT 		0	0.97	0.01		0	44	0.198
C6EKR1	eutH ECBD_1239 ECD_02343	eutH		ECBD_1239 ECD_02343	C6EKR1_ECOBD		Predicted		Ethanolamine utilisation protein EutH (Predicted inner membrane protein)	"GO:0016021; GO:0006810"	Complete proteome	408		EUTH_ECOLI	P76552		>P76552|EUTH_ECOLI Ethanolamine utilization protein eutH OS=Escherichia coli (strain K12) GN=eutH PE=3 SV=1		B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	408	SEC		0	0	16	0		TMH 	5.168	10	230.28	25.78		9	69	0.180
C6EKQ8	eutJ ECBD_1236 ECD_02345	eutJ		ECBD_1236 ECD_02345	C6EKQ8_ECOBD		Predicted		Ethanolamine utilization protein EutJ family protein (Predicted chaperonin, ethanolamine utilization protein)	GO:0007049	Complete proteome	278		EUTJ_ECOLI	P77277		>P77277|EUTJ_ECOLI Ethanolamine utilization protein eutJ OS=Escherichia coli (strain K12) GN=eutJ PE=4 SV=1		A		Cytoplasmic	278			0	0	0	0		CYT 		0	0.02	0.00		0	15	0.197
C6EKR6	yffI ECBD_1244 ECD_02338	yffI		ECBD_1244 ECD_02338	C6EKR6_ECOBD		Predicted		Microcompartments protein (Predicted carboxysome structural protein with predicted role in ethanolamine utilization)		Complete proteome	166		EUTK_ECOLI	P76540		>P76540|EUTK_ECOLI Ethanolamine utilization protein eutK OS=Escherichia coli (strain K12) GN=eutK PE=1 SV=2		A		-	166			0	0	0	0		CYT 		0	0.01	0.01		0	19	0.039
C6EKR5	eutL ECBD_1243 ECD_02339	eutL		ECBD_1243 ECD_02339	C6EKR5_ECOBD		Predicted		Microcompartments protein (Predicted carboxysome structural protein with predicted role in ethanolamine utilization)	GO:0009605	Complete proteome	219		EUTL_ECOLI	P76541		>P76541|EUTL_ECOLI Ethanolamine utilization protein eutL OS=Escherichia coli (strain K12) GN=eutL PE=1 SV=1		A		Cytoplasmic	219			0	0	0	0		CYT 		0	0.01	0.00		0	37	0.032
C6EKQ5	cchA ECBD_1233 ECD_02348	cchA		ECBD_1233 ECD_02348	C6EKQ5_ECOBD		Predicted		Microcompartments protein (Predicted carboxysome structural protein, ethanolamine utilization protein)		Complete proteome	97		EUTM_ECOLI	P0ABF4		>P0ABF4|EUTM_ECOLI Ethanolamine utilization protein eutM OS=Escherichia coli (strain K12) GN=eutM PE=3 SV=1		A		-	97			0	0	0	0		CYT 		0	0.02	0.02		0	50	0.183
C6EKQ6	cchB ECBD_1234 ECD_02347	cchB		ECBD_1234 ECD_02347	C6EKQ6_ECOBD		Predicted		Ethanolamine utilization protein EutN/carboxysome structural protein Ccml (Predicted carboxysome structural protein, ethanolamine utilization protein)		Complete proteome	95		EUTN_ECOLI	P0AEJ8		>P0AEJ8|EUTN_ECOLI Ethanolamine utilization protein eutN OS=Escherichia coli (strain K12) GN=eutN PE=1 SV=1		A		-	95			0	0	0	0		CYT 		0	0.05	0.02		0	66	0.046
C6EKQ1	eutP ECBD_1229 ECD_02352	eutP		ECBD_1229 ECD_02352	C6EKQ1_ECOBD		Predicted		Conserved protein with nucleoside triphosphate hydrolase domain (Ethanolamine utilization protein, EutP)	"GO:0005524; GO:0006576; GO:0016787"	"Complete proteome; Hydrolase"	159		EUTP_ECOLI	P76556		>P76556|EUTP_ECOLI Ethanolamine utilization protein eutP OS=Escherichia coli (strain K12) GN=eutP PE=3 SV=1		A		Cytoplasmic	159			0	0	0	0		CYT 		0	0.40	0.40		0	33	0.180
C6EKQ2	eutQ ECBD_1230 ECD_02351	eutQ		ECBD_1230 ECD_02351	C6EKQ2_ECOBD		Predicted		Ethanolamine utilisation EutQ family protein (Putative uncharacterized protein eutQ)		Complete proteome	233		EUTQ_ECOLI	P76555		>P76555|EUTQ_ECOLI Ethanolamine utilization protein eutQ OS=Escherichia coli (strain K12) GN=eutQ PE=4 SV=1		A		Cytoplasmic	233			0	0	16	0		CYT 		0	0.06	0.00		0	34	0.073
C6EKR7	yfeG ECBD_1245 ECD_02337	yfeG		ECBD_1245 ECD_02337	C6EKR7_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	350		EUTR_ECOLI	P36547		>P36547|EUTR_ECOLI HTH-type transcriptional regulator eutR OS=Escherichia coli (strain K12) GN=eutR PE=3 SV=2	yes	A		-	350			0	0	0	0		CYT 		0	0.10	0.00		0	7	0.048
C6EKQ0	ypfE ECBD_1228 ECD_02353	ypfE		ECBD_1228 ECD_02353	C6EKQ0_ECOBD		Predicted		Microcompartments protein (Predicted carboxysome structural protein with predicted role in ethanol utilization)	GO:0006580	Complete proteome	111		EUTS_ECOLI	P63746		>P63746|EUTS_ECOLI Ethanolamine utilization protein eutS OS=Escherichia coli (strain K12) GN=eutS PE=3 SV=1		A		-	111			0	0	0	0		CYT 		0	0.29	0.13		0	52	0.048
C6EKQ3	eutT ECBD_1231 ECD_02350	eutT		ECBD_1231 ECD_02350	C6EKQ3_ECOBD		Predicted		Cob(I)yrinic acid a,c-diamide adenosyltransferase (EC 2.5.1.17) (Predicted cobalamin adenosyltransferase in ethanolamine utilization)	"GO:0005524; GO:0008817; GO:0009236; GO:0006580"	"Complete proteome; Transferase"	269		EUTT_ECOLI	P65643		>P65643|EUTT_ECOLI Ethanolamine utilization cobalamin adenosyltransferase OS=Escherichia coli (strain K12) GN=eutT PE=3 SV=1		A		Cytoplasmic	267			0	0	0	0		CYT 		0	0.13	0.00		0	20	0.072
C6EL99	evgA ECBD_1303 ECD_02279	evgA		ECBD_1303 ECD_02279	C6EL99_ECOBD		Predicted		DNA-binding response regulator in two-component regulatory system with EvgS (Two component transcriptional regulator, LuxR family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	204		EVGA_ECOLI	P0ACZ4		>P0ACZ4|EVGA_ECOLI Positive transcription regulator evgA OS=Escherichia coli (strain K12) GN=evgA PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	204			0	0	0	0		CYT 		0	0.02	0.00		0	14	0.030
C6EL98	evgS ECBD_1302 ECD_02280	evgS		ECBD_1302 ECD_02280	C6EL98_ECOBD		Predicted		Hpt sensor hybrid histidine kinase (Hybrid sensory histidine kinase in two-component regulatory system with EvgA) (EC 2.7.3.-)	"GO:0005524; GO:0016020; GO:0030288; GO:0018106; GO:0006355; GO:0005215; GO:0000156; GO:0000155; GO:0000160"	"Complete proteome; Kinase; Signal; Transferase"	1197		EVGS_ECOLI	P30855		>P30855|EVGS_ECOLI Sensor protein evgS OS=Escherichia coli (strain K12) GN=evgS PE=1 SV=2	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	1197	SEC		22	1.000	22	0.635	21	SpI 	7.579	0	9.84	0.29	21	1	53	0.032
C6EB72	sbcB ECBD_1646 ECD_01914	sbcB		ECBD_1646 ECD_01914	C6EB72_ECOBD		Predicted		Exodeoxyribonuclease I (EC 3.1.11.1) (Exonuclease I) (EC 3.1.11.1)	"GO:0006281; GO:0008852; GO:0003676"	"Complete proteome; Exonuclease; Hydrolase; Nuclease"	475		EX1_ECOLI	P04995		>P04995|EX1_ECOLI Exodeoxyribonuclease I OS=Escherichia coli (strain K12) GN=sbcB PE=1 SV=2		A		Cytoplasmic	475			0	0	0	0		CYT 		0	0.01	0.00		0	24	0.154
C6ECK8	ECBD_1895			ECBD_1895	C6ECK8_ECOBD		Predicted		Exodeoxyribonuclease III	"GO:0003677; GO:0006281; GO:0004519; GO:0005622"	Complete proteome	272		EX3_ECOLI	P09030		>P09030|EX3_ECOLI Exodeoxyribonuclease III OS=Escherichia coli (strain K12) GN=xthA PE=1 SV=4	yes	A		Cytoplasmic	268			0	0	0	0		CYT 		0	0.02	0.00		0	20	0.072
C6EJ50	recD ECBD_0906 ECD_02667	recD		ECBD_0906 ECD_02667	C6EJ50_ECOBD		Predicted		Exodeoxyribonuclease V, alpha subunit (EC 3.1.11.5) (Exonuclease V (RecBCD complex), alpha chain) (EC 3.1.11.5)	"GO:0008854; GO:0009338; GO:0004386; GO:0000166"	"Complete proteome; Exonuclease; Hydrolase; Nuclease"	608		EX5A_ECOLI	P04993		>P04993|EX5A_ECOLI Exodeoxyribonuclease V alpha chain OS=Escherichia coli (strain K12) GN=recD PE=1 SV=2	yes	A		Cytoplasmic	608			0	0	0	0		CYT 		0	0.01	0.00		0	46	0.054
C6EJ49	recB ECBD_0905 ECD_02668	recB		ECBD_0905 ECD_02668	C6EJ49_ECOBD		Predicted		Exodeoxyribonuclease V, beta subunit (EC 3.1.11.5) (Exonuclease V (RecBCD complex), beta subunit) (EC 3.1.11.5)	"GO:0005524; GO:0004003; GO:0003677; GO:0006281; GO:0008854"	"ATP-binding; Complete proteome; Exonuclease; Helicase; Hydrolase; Nuclease; Nucleotide-binding"	1180		EX5B_ECOLI	P08394		>P08394|EX5B_ECOLI Exodeoxyribonuclease V beta chain OS=Escherichia coli (strain K12) GN=recB PE=1 SV=1	yes	A		Cytoplasmic	1180			0	0	0	0		CYT 		0	1.16	1.16		0	49	0.149
C6EJ47	recC ECBD_0903 ECD_02670	recC		ECBD_0903 ECD_02670	C6EJ47_ECOBD		Predicted		Exodeoxyribonuclease V, gamma subunit (EC 3.1.11.5) (Exonuclease V (RecBCD complex), gamma chain) (EC 3.1.11.5)	"GO:0003677; GO:0008854; GO:0009338"	"Complete proteome; Exonuclease; Hydrolase; Nuclease"	1122		EX5C_ECOLI	P07648		>P07648|EX5C_ECOLI Exodeoxyribonuclease V gamma chain OS=Escherichia coli (strain K12) GN=recC PE=1 SV=1	yes	A		Cytoplasmic	1122			0	0	0	0		CYT 		0	0.18	0.05		0	57	0.056
C6EKK0	xseA ECBD_1177 ECD_02401	xseA		ECBD_1177 ECD_02401	C6EKK0_ECOBD	Cytoplasm. 	Inferred from homology	XseA family	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit)	"GO:0006308; GO:0005737; GO:0008855; GO:0009318; GO:0003676"	"Complete proteome; Cytoplasm; Exonuclease; Hydrolase; Nuclease"	456		EX7L_ECOLI	P04994		>P04994|EX7L_ECOLI Exodeoxyribonuclease 7 large subunit OS=Escherichia coli (strain K12) GN=xseA PE=1 SV=2	yes	A	Cytoplasm. 	Cytoplasmic	456			0	0	0	0		CYT 		0	0.00	0.00		0	8	0.055
C6EL47	xseB ECBD_3239 ECD_00370	xseB		ECBD_3239 ECD_00370	C6EL47_ECOBD	Cytoplasm. 	Inferred from homology	XseB family	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit)	"GO:0006308; GO:0005737; GO:0008855; GO:0009318"	"Complete proteome; Cytoplasm; Exonuclease; Hydrolase; Nuclease"	80		EX7S_ECOLI	P0A8G9		>P0A8G9|EX7S_ECOLI Exodeoxyribonuclease 7 small subunit OS=Escherichia coli (strain K12) GN=xseB PE=1 SV=2	yes	A	Cytoplasm. 	Cytoplasmic	80			0	0	0	0		CYT 		0	0.00	0.00		0	9	0.052
C6EHY7	exbB ECBD_0733 ECD_02880	exbB		ECBD_0733 ECD_02880	C6EHY7_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology	ExbB/tolQ family	Membrane spanning protein in TonB-ExbB-ExbD complex (TonB-system energizer ExbB)	"GO:0016021; GO:0008565"	"Complete proteome; Membrane; Protein transport; Transmembrane; Transport"	244		EXBB_ECOLI	P0ABU7		>P0ABU7|EXBB_ECOLI Biopolymer transport protein exbB OS=Escherichia coli (strain K12) GN=exbB PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	244	SEC		0	0	33	0		CYT 		3	69.65	22.75		3	4	0.079
C6EHY8	exbD ECBD_0734 ECD_02879	exbD		ECBD_0734 ECD_02879	C6EHY8_ECOBD	"Membrane; Single-pass type II membrane protein. "	Inferred from homology	ExbD/tolR family	Membrane spanning protein in TonB-ExbB-ExbD complex (TonB system transport protein ExbD)	"GO:0016021; GO:0015031; GO:0005215"	"Complete proteome; Membrane; Protein transport; Transmembrane; Transport"	141		EXBD_ECOLI	P0ABV2		>P0ABV2|EXBD_ECOLI Biopolymer transport protein exbD OS=Escherichia coli (strain K12) GN=exbD PE=1 SV=1	yes	B	"Cell inner membrane; Single-pass type II membrane protein. "	Membrane anchored	141	SEC		0	0	33	0		TMH 	0.162	1	21.89	21.88		1	2	0.029
C6EBY5	exoX ECBD_1796 ECD_01815	exoX		ECBD_1796 ECD_01815	C6EBY5_ECOBD		Predicted		Exodeoxyribonuclease X (EC 3.1.11.-) (Exonuclease RNase T and DNA polymerase III)	"GO:0004527; GO:0005622; GO:0003676"	"Complete proteome; Exonuclease; Hydrolase; Nuclease"	220		EXOX_ECOLI	P0AEK0		>P0AEK0|EXOX_ECOLI Exodeoxyribonuclease 10 OS=Escherichia coli (strain K12) GN=exoX PE=1 SV=1	yes	A		Cytoplasmic	220			0	0	0	0		CYT 		0	0.06	0.00		0	49	0.069
C6EHQ0	exuR ECBD_0646 ECD_02963	exuR		ECBD_0646 ECD_02963	C6EHQ0_ECOBD		Predicted		DNA-binding transcriptional repressor (Regulatory protein GntR HTH)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	258		EXUR_ECOLI	P0ACL2		>P0ACL2|EXUR_ECOLI Exu regulon transcriptional regulator OS=Escherichia coli (strain K12) GN=exuR PE=4 SV=1		A		Cytoplasmic	258			0	0	0	0		CYT 		0	0.00	0.00		0	39	0.036
C6EHQ1	ECBD_0647			ECBD_0647	C6EHQ1_ECOBD		Predicted		D-galactonate transporter	"GO:0016021; GO:0055085; GO:0005215"	"Complete proteome; Signal"	432		EXUT_ECOLI	P0AA78		>P0AA78|EXUT_ECOLI Hexuronate transporter OS=Escherichia coli (strain K12) GN=exuT PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	472	SEC		0	0	0	0		TMH 	0.456	11	246.15	20.09		12	2	0.100
C6ECB7	fbp ECBD_3802 ECD_04100	fbp		ECBD_3802 ECD_04100	C6ECB7_ECOBD	Cytoplasm. 	Inferred from homology	FBPase class 1 family	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	"GO:0016051; GO:0005737; GO:0042132"	"Carbohydrate metabolism; Complete proteome; Cytoplasm; Hydrolase; Magnesium; Metal-binding"	332		F16PA_ECOLI	P0A993		>P0A993|F16PA_ECOLI Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) GN=fbp PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	332			0	0	0	0		CYT 		0	1.21	0.05		0	43	0.047
C6EI28	fabA ECBD_2641 ECD_00958	fabA		ECBD_2641 ECD_00958	C6EI28_ECOBD	Cytoplasm. 	Inferred from homology	Thioester dehydratase family, FabA subfamily	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60) (Beta-hydroxydecanoyl thioester dehydrase)	"GO:0008693; GO:0005737; GO:0006633"	"Complete proteome; Cytoplasm; Fatty acid biosynthesis; Lipid synthesis; Lyase"	172		FABA_ECOLI	P0A6Q3		>P0A6Q3|FABA_ECOLI 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabA PE=1 SV=2		A	Cytoplasm. 	Cytoplasmic	172			0	0	0	0		CYT 		0	1.15	0.00		0	31	0.369
C6ELD0	fabB ECBD_1336 ECD_02248	fabB		ECBD_1336 ECD_02248	C6ELD0_ECOBD		Inferred from homology	Beta-ketoacyl-ACP synthases family	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)	"GO:0004315; GO:0009058"	"Acyltransferase; Complete proteome; Transferase"	406		FABB_ECOLI	P0A953		>P0A953|FABB_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	406			0	0	0	0		CYT 		0	0.15	0.00	24	0	50	0.068
