Reference Locus	Reference Common Name	Comparison Locus	Comparison Common Name	Percent Similarity	
b2498	uracil phosphoribosyltransferase	ECBD_1190	uracil phosphoribosyltransferase	100.0	
b4188	orf, hypothetical protein	ECBD_3846	protein of unknown function DUF1471	100.0	
b1850	2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase	ECBD_1789	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	100.0	
b2597	putative yhbH sigma 54 modulator	ECBD_1088	sigma 54 modulation protein/ribosomal protein S30EA	100.0	
b3397	orf, hypothetical protein	ECBD_0350	NUDIX hydrolase	100.0	
b1942	flagellar fliJ protein	ECBD_1703	flagellar export protein FliJ	100.0	
b2261	o-succinylbenzoyl-CoA synthase; conversion of chorismate to 2-o-succinylbenzoyl-CoA	ECBD_1397	o-succinylbenzoate synthase	100.0	
b3287	peptide deformylase	ECBD_0465	peptide deformylase	100.0	
b0737	inner membrane protein, membrane-spanning, maintains integrity of cell envelope; tolerance to group A colicins	ECBD_2923	protein TolQ	100.0	
b1955	orf, hypothetical protein	ECBD_1691	mannosyl-3-phosphoglycerate phosphatase family protein	100.0	
b1878	flagellar protein	ECBD_1760	flagellar FlhE family protein	100.0	
b1327	orf, hypothetical protein	ECBD_2289	conserved hypothetical protein	100.0	
b1504	putative fimbrial-like protein	ECBD_2135	Fimbrial protein	100.0	
b1506	orf, hypothetical protein	ECBD_2132	Fimbrial protein	100.0	
b0163	putative structural protein	ECBD_3455	putative structural protein	100.0	
b1427	acetylation of N-terminal serine of 30S ribosomal subunit protein L7; acetyl transferase	ECBD_2213	GCN5-related N-acetyltransferase	100.0	
b1493	glutamate decarboxylase isozyme	ECBD_2146	glutamate decarboxylase	100.0	
b0173	putative ATP-binding component of a transport system	ECBD_3446	1-deoxy-D-xylulose 5-phosphate reductoisomerase	100.0	
b0508	glyoxylate-induced protein	ECBD_3149	hydroxypyruvate isomerase	100.0	
b3271	putative ATP-binding component of a transport system	ECBD_0473	ABC transporter related	100.0	
b0132	orf, hypothetical protein	ECBD_3487	putative transposase YhgA family protein	100.0	
b3648	guanylate kinase	ECBD_0077	guanylate kinase	100.0	
b3708	tryptophanase	ECBD_4324	tryptophanase	100.0	
b3775	peptidyl-prolyl cis-trans isomerase C (rotamase C)	ECBD_4264	PpiC-type peptidyl-prolyl cis-trans isomerase	100.0	
b4071	formate-dependent nitrite reductase; a penta-haeme cytochrome c	ECBD_3961	cytochrome c nitrite reductase, pentaheme subunit	100.0	
b4197	putative hexulose-6-phosphate isomerase	ECBD_3837	hexulose-6-phosphate isomerase	100.0	
b3455	ATP-binding component of high-affinity branched-chain amino acid transport system	ECBD_0286	ABC transporter related	100.0	
b3682	PTS system, arbutin-like IIB component	ECBD_0020	PTS system, alpha-glucoside-specific IIBC subunit	100.0	
b3521	putative transcriptional regulator LYSR-type	ECBD_0218	transcriptional regulator, LysR family	100.0	
b2947	glutathione synthetase	ECBD_0793	glutathione synthetase	100.0	
b3360	p-aminobenzoate synthetase, component II	ECBD_0388	glutamine amidotransferase of anthranilate synthase	100.0	
b2053	GDP-D-mannose dehydratase	ECBD_1602	GDP-mannose 4,6-dehydratase	100.0	
b3495	universal stress protein; broad regulatory function?	ECBD_0246	UspA domain protein	100.0	
b4402	orf, hypothetical protein	ECBD_3618	conserved hypothetical protein	100.0	
b3270	putative transport system permease protein	ECBD_0474	polar amino acid ABC transporter, inner membrane subunit	100.0	
b1921	orf, hypothetical protein	ECBD_1721	integrase domain protein SAM domain protein	100.0	
b2672	orf, hypothetical protein	ECBD_1047	protein of unknown function DUF883 ElaB	100.0	
b0046	putative NAD(P)H oxidoreductase	ECBD_3569	NAD(P)H dehydrogenase (quinone)	100.0	
b1073	flagellar biosynthesis, cell-proximal portion of basal-body rod	ECBD_2527	flagellar basal-body rod protein FlgB	100.0	
b1856	orf, hypothetical protein	ECBD_1782	Peptidase M23	100.0	
b3580	L-xylulose kinase, cryptic	ECBD_0154	carbohydrate kinase FGGY	100.0	
b1898	high-affinity L-arabinose transport system; membrane protein, fragment 2	ECBD_1742	inner-membrane translocator	100.0	
b3953	PTS system fructose-like IIB component 2	ECBD_4071	PTS system, fructose-specific, IIB subunnit	100.0	
b1927	cytoplasmic alpha-amylase	ECBD_1715	Glucan 1,4-alpha-maltohexaosidase	100.0	
b3619	ADP-L-glycero-D-mannoheptose-6-epimerase	ECBD_0107	ADP-L-glycero-D-manno-heptose-6-epimerase	100.0	
b0643	putative alpha helical protein	ECBD_3008	protein of unknown function DUF1451	100.0	
b3842	transcriptional activator affecting biosynthesis of lipopolysaccharide core, F pilin, and haemolysin	ECBD_4183	transcriptional acivator RfaH	100.0	
b0028	probable FKBX-type 16KD peptidyl-prolyl cis-trans isomerase (a rotamase)	ECBD_3588	peptidylprolyl isomerase FKBP-type	100.0	
b1595	putative transcriptional regulator LYSR-type	ECBD_2051	transcriptional regulator, LysR family	100.0	
b4384	purine-nucleoside phosphorylase	ECBD_3636	purine nucleoside phosphorylase	100.0	
b0991	suppresses fabA and ts growth mutation	ECBD_2604	cold shock protein	100.0	
b1905	cytoplasmic ferritin (an iron storage protein)	ECBD_1735	Ferroxidase	100.0	
b0680	glutamine tRNA synthetase	ECBD_2981	glutaminyl-tRNA synthetase	100.0	
b3014	orf, hypothetical protein	ECBD_0725	putative outer membrane lipoprotein	100.0	
b0415	riboflavin synthase, beta chain	ECBD_3246	6,7-dimethyl-8-ribityllumazine synthase	100.0	
b1802	orf, hypothetical protein	ECBD_1840	conserved hypothetical protein	100.0	
b4309	orf, hypothetical protein	ECBD_3728	protein of unknown function DUF303 acetylesterase putative	100.0	
b0075	leu operon leader peptide	ECBD_3541	leucine operon leader peptide	100.0	
b3841	orf, hypothetical protein	ECBD_4184	TatD-related deoxyribonuclease	100.0	
b2986	orf, hypothetical protein	ECBD_0752	conserved hypothetical protein	100.0	
b1440	putative transport protein	ECBD_2199	extracellular solute-binding protein family 1	100.0	
b2382	putative ARAC-type regulatory protein	ECBD_1290	transcriptional regulator, AraC family	100.0	
b2833	orf, hypothetical protein	ECBD_0891	protein of unknown function DUF903	100.0	
b2586	orf, hypothetical protein	ECBD_1094	putative lipoprotein	100.0	
b3310	50S ribosomal subunit protein L14	ECBD_0441	ribosomal protein L14	100.0	
b0854	periplasmic putrescine-binding protein; permease protein	ECBD_2740	extracellular solute-binding protein family 1	100.0	
b2999	orf, hypothetical protein	ECBD_0738	Carboxymethylenebutenolidase	100.0	
b1315	putative dehydrogenase	ECBD_2302	oxidoreductase domain protein	100.0	
b0177	orf, hypothetical protein	ECBD_3442	outer membrane protein assembly complex, YaeT protein	100.0	
b1591	putative oxidoreductase component	ECBD_2055	cytoplasmic chaperone TorD family protein	100.0	
b1349	recombinase, DNA renaturation	ECBD_2268	RecT protein	100.0	
b3609	protein export; molecular chaperone; may bind to signel sequence	ECBD_0116	protein-export protein SecB	100.0	
b2798	5-3 exonuclease	ECBD_0930	5-3 exonuclease	100.0	
b0053	survival protein	ECBD_3562	Peptidylprolyl isomerase	100.0	
b1045	putative polyprotein	ECBD_2554	Appr-1-p processing domain protein	100.0	
b0379	orf, hypothetical protein	ECBD_3285	conserved hypothetical protein	100.0	
b2058	putative transferase	ECBD_1597	putative colanic acid biosynthesis acetyltransferase WcaB	100.0	
b2905	aminomethyltransferase (T protein; tetrahydrofolate-dependent) of glycine cleavage system	ECBD_0832	glycine cleavage system T protein	100.0	
b3437	gluconokinase 2, thermoresistant	ECBD_0306	carbohydrate kinase, thermoresistant glucokinase family	100.0	
b2066	uridine/cytidine kinase	ECBD_1589	uridine kinase	100.0	
b1481	orf, hypothetical protein	ECBD_2158	biofilm-dependent modulation protein	100.0	
b1112	orf, hypothetical protein	ECBD_2489	protein of unknown function DUF1471	100.0	
b4096	ATP-binding component of phosphonate transport	ECBD_3934	phosphonate C-P lyase system protein PhnL	100.0	
b2767	orf, hypothetical protein	ECBD_0962	conserved hypothetical protein	100.0	
b0899	putative transport	ECBD_2696	amino acid permease-associated region	100.0	
b1530	multiple antibiotic resistance protein; repressor of mar operon	ECBD_2110	transcriptional regulator, MarR family	100.0	
b2867	putative dehydrogenase	ECBD_0870	molybdopterin dehydrogenase FAD-binding	100.0	
b3356	orf, hypothetical protein	ECBD_0392	OsmC family protein	100.0	
b4365	putative regulator	ECBD_3654	transcriptional regulator, LuxR family	100.0	
b1902	ferritin-like protein	ECBD_1739	Ferritin Dps family protein	100.0	
b3021	orf, hypothetical protein	ECBD_0718	transcriptional regulator, XRE family	100.0	
b2838	diaminopimelate decarboxylase	ECBD_0886	diaminopimelate decarboxylase	100.0	
b1341	orf, hypothetical protein	ECBD_2276	diguanylate cyclase with PAS/PAC sensor	100.0	
b0900	putative transcriptional regulator LYSR-type	ECBD_2695	transcriptional regulator, LysR family	100.0	
b4266	5-keto-D-gluconate 5-reductase	ECBD_3770	short-chain dehydrogenase/reductase SDR	100.0	
b1747	orf, hypothetical protein	ECBD_1898	arginine N-succinyltransferase	100.0	
b3194	orf, hypothetical protein	ECBD_0548	protein of unknown function DUF140	100.0	
b1331	IS5 transposase	ECBD_0756	transposase IS4 family protein	100.0	
b4374	putative phosphatase	ECBD_3647	HAD-superfamily hydrolase, subfamily IA, variant 1	100.0	
b1983	orf, hypothetical protein	ECBD_1663	protein of unknown function DUF28	100.0	
b1098	thymidylate kinase	ECBD_2503	thymidylate kinase	100.0	
b2504	orf, hypothetical protein	ECBD_1183	conserved hypothetical protein	100.0	
b0259	IS5 transposase	ECBD_0756	transposase IS4 family protein	100.0	
b0016	IS186 hypothetical protein	ECBD_3217	transposase IS4 family protein	100.0	
b0016	IS186 hypothetical protein	ECBD_0970	transposase IS4 family protein	100.0	
b0016	IS186 hypothetical protein	ECBD_3603	transposase IS4 family protein	100.0	
b0016	IS186 hypothetical protein	ECBD_3075	transposase IS4 family protein	100.0	
b1461	orf, hypothetical protein	ECBD_2177	4-oxalocrotonate tautomerase	100.0	
b2061	probable protein-tyrosine-phosphatase	ECBD_1594	protein tyrosine phosphatase	100.0	
b0675	N-acetylglucosamine metabolism	ECBD_2987	HAD-superfamily hydrolase, subfamily IIA	100.0	
b3608	glycerol-3-phosphate dehydrogenase (NAD+)	ECBD_0117	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	100.0	
b0307	orf, hypothetical protein	ECBD_3350	iron-sulfur cluster binding protein	100.0	
b0121	spermidine synthase = putrescine aminopropyltransferase	ECBD_3498	spermidine synthase	100.0	
b3640	deoxyuridinetriphosphatase	ECBD_0086	deoxyuridine 5-triphosphate nucleotidohydrolase Dut	100.0	
b0189	orf, hypothetical protein	ECBD_3430	transcriptional antiterminator, Rof	100.0	
b0199	ATP-binding component of a transporter	ECBD_3419	D-methionine ABC transporter, ATPase subunit	100.0	
b2578	orf, hypothetical protein	ECBD_1102	Lysine exporter protein (LYSE/YGGA)	100.0	
b0408	protein secretion; membrane protein, part of the channel	ECBD_3253	protein-export membrane protein SecD	100.0	
b3557	IS150 hypothetical protein	ECBD_3001	IS103 orf	100.0	
b3557	IS150 hypothetical protein	ECBD_0178	IS103 orf	100.0	
b3557	IS150 hypothetical protein	ECBD_0882	IS103 orf	100.0	
b3557	IS150 hypothetical protein	ECBD_4283	IS103 orf	100.0	
b3557	IS150 hypothetical protein	ECBD_3080	IS103 orf	100.0	
b1686	orf, hypothetical protein	ECBD_1960	thioesterase superfamily protein	100.0	
b3998	endonuclease V (deoxyinosine 3endoduclease)	ECBD_4034	Deoxyribonuclease V	100.0	
b1638	pyridoxinephosphate oxidase	ECBD_2005	pyridoxamine 5-phosphate oxidase	100.0	
b0790	orf, hypothetical protein	ECBD_2833	Endonuclease/exonuclease/phosphatase	100.0	
b4142	GroES, 10 Kd chaperone binds to Hsp60 in pres. Mg-ATP, suppressing its ATPase activity	ECBD_3889	chaperonin Cpn10	100.0	
b1539	putative oxidoreductase	ECBD_2100	short-chain dehydrogenase/reductase SDR	100.0	
b0983	putative function in exopolysaccharide production	ECBD_2611	polysaccharide export protein	100.0	
b3575	putative dehydrogenase	ECBD_0159	Malate/L-lactate dehydrogenase	100.0	
b2183	16S pseudouridylate 516 synthase	ECBD_1474	pseudouridine synthase	100.0	
b1253	orf, hypothetical protein	ECBD_2369	thioesterase superfamily protein	100.0	
b3411	orf, hypothetical protein	ECBD_0334	putative transposase YhgA family protein	100.0	
b3574	putative regulator	ECBD_0160	transcriptional regulator, IclR family	100.0	
b3830	putative enzyme	ECBD_4199	Carboxymethylenebutenolidase	100.0	
b2959	orf, hypothetical protein	ECBD_0780	protein of unknown function DUF469	100.0	
b3598	orf, hypothetical protein	ECBD_0130	conserved hypothetical protein	100.0	
b2613	putative transport protein	ECBD_1074	protein of unknown function DUF21	100.0	
b1251	orf, hypothetical protein	ECBD_2371	YCII-related	100.0	
b2462	orf, hypothetical protein	ECBD_1228	microcompartments protein	100.0	
b2962	orf, hypothetical protein	ECBD_0777	Fe(II) trafficking protein YggX	100.0	
b3615	putative regulator	ECBD_0110	glycosyl transferase family 2	100.0	
b1742	orf, hypothetical protein	ECBD_1903	protein of unknown function DUF886	100.0	
b0065	orf, hypothetical protein	ECBD_3552	SNARE associated Golgi protein	100.0	
b0469	adenine phosphoribosyltransferase	ECBD_3187	adenine phosphoribosyltransferase	100.0	
b1288	enoyl-[acyl-carrier-protein] reductase (NADH)	ECBD_2329	short-chain dehydrogenase/reductase SDR	100.0	
b2977	orf, hypothetical protein	ECBD_0762	protein of unknown function DUF336	100.0	
b2287	NADH dehydrogenase I chain B	ECBD_1374	NADH-quinone oxidoreductase, B subunit	100.0	
b4098	phosphonate metabolism	ECBD_3932	phosphonate metabolism PhnJ	100.0	
b3934	regulator for deo operon, udp, cdd, tsx, nupC, and nupG	ECBD_4090	transcriptional regulator, LacI family	100.0	
b0238	guanine-hypoxanthine phosphoribosyltransferase	ECBD_3383	Xanthine phosphoribosyltransferase	100.0	
b1705	orf, hypothetical protein	ECBD_1940	conserved hypothetical protein	100.0	
b3106	orf, hypothetical protein	ECBD_0632	Pirin domain protein	100.0	
b0350	2-keto-4-pentenoate hydratase	ECBD_3307	2-oxopent-4-enoate hydratase	100.0	
b3243	putative transcriptional regulator LYSR-type	ECBD_0503	putative DNA-binding transcriptional regulator	100.0	
b2601	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase, tyrosine repressible)	ECBD_1085	phospho-2-dehydro-3-deoxyheptonate aldolase	100.0	
b0380	orf, hypothetical protein	ECBD_3284	conserved hypothetical protein	100.0	
b3421	orf, hypothetical protein	ECBD_0321	protein of unknown function UPF0027	100.0	
b1284	putative DEOR-type transcriptional regulator	ECBD_2335	transcriptional regulator, DeoR family	100.0	
b0044	putative ferredoxin	ECBD_3571	putative ferredoxin	100.0	
b1540	orf, hypothetical protein	ECBD_2099	transcriptional regulator, GntR family	100.0	
b1960	DNA mismatch endonuclease, patch repair protein	ECBD_1686	DNA mismatch endonuclease Vsr	100.0	
b1269	orf, hypothetical protein	ECBD_2353	pseudouridine synthase	100.0	
b2325	orf, hypothetical protein	ECBD_1334	YfcL protein	100.0	
b2471	orf, hypothetical protein	ECBD_1219	arsenate reductase and related	100.0	
b1930	orf, hypothetical protein	ECBD_1712	SirA family protein	100.0	
b0930	asparagine tRNA synthetase	ECBD_2665	asparaginyl-tRNA synthetase	100.0	
b1768	orf, hypothetical protein	ECBD_1876	Nicotinamidase	100.0	
b1508	persistence to inhibition of murein or DNA biosynthesis; regulatory protein	ECBD_2130	transcriptional regulator, XRE family	100.0	
b1455	orf, hypothetical protein	ECBD_2183	conserved hypothetical protein	100.0	
b4015	isocitrate lyase	ECBD_4022	isocitrate lyase	100.0	
b1497	putative enzyme	ECBD_2142	Radical SAM domain protein	100.0	
b3139	PTS system N-acetylgalactosamine-specific IIC component 1	ECBD_0601	PTS system, mannose/fructose/sorbose family, IIC subunit	100.0	
b2264	2-oxoglutarate decarboxylase; SHCHC synthase	ECBD_1394	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase	100.0	
b2783	suppressor of inhibitory function of ChpA, PemI-like, autoregulated	ECBD_0946	transcriptional regulator/antitoxin, MazE	100.0	
b1853	orf, hypothetical protein	ECBD_1785	transcriptional regulator, RpiR family	100.0	
b2197	cytochrome c biogenesis, possible subunit of a heme lyase	ECBD_1463	CcmE/CycJ protein	100.0	
b3419	orf, hypothetical protein	ECBD_0322	RNA 3-phosphate cyclase	100.0	
b1901	L-arabinose-binding periplasmic protein	ECBD_1740	periplasmic binding protein/LacI transcriptional regulator	100.0	
b3285	orf, fragment 2	ECBD_0466	DNA protecting protein DprA	100.0	
b1659	putative transcriptional regulator LYSR-type	ECBD_1984	transcriptional regulator, LysR family	100.0	
b0722	succinate dehydrogenase, hydrophobic subunit	ECBD_2938	succinate dehydrogenase, hydrophobic membrane anchor protein	100.0	
b2794	orf, hypothetical protein	ECBD_0935	7-cyano-7-deazaguanine reductase	100.0	
b3610	glutaredoxin 3	ECBD_0115	glutaredoxin 3	100.0	
b1480	30S ribosomal subunit protein S22	ECBD_2159	30S ribosomal subunit S22	100.0	
b0296	putative ribosomal protein	ECBD_3360	ribosomal protein L31	100.0	
b3735	membrane-bound ATP synthase, F1 sector, delta-subunit	ECBD_4297	ATP synthase F1, delta subunit	100.0	
b3520	putative regulator	ECBD_0219	transcriptional regulator, LuxR family	100.0	
b0821	orf, hypothetical protein	ECBD_2802	protein of unknown function DUF1479	100.0	
b3634	putative enzyme of lipopolysaccharide synthesis	ECBD_0092	pantetheine-phosphate adenylyltransferase	100.0	
b4310	orf, hypothetical protein	ECBD_3727	Kelch repeat-containing protein	100.0	
b3831	uridine phosphorylase	ECBD_4198	uridine phosphorylase	100.0	
b2467	orf, hypothetical protein	ECBD_1223	NUDIX hydrolase	100.0	
b0541	IS3 putative transposase	ECBD_0874	Integrase catalytic region	100.0	
b0541	IS3 putative transposase	ECBD_2088	Integrase catalytic region	100.0	
b0541	IS3 putative transposase	ECBD_2235	Integrase catalytic region	100.0	
b0541	IS3 putative transposase	ECBD_2568	Integrase catalytic region	100.0	
b2739	orf, hypothetical protein	ECBD_0985	Hydroxypyruvate isomerase	100.0	
b2606	50S ribosomal subunit protein L19	ECBD_1080	ribosomal protein L19	100.0	
b2895	flavodoxin 2	ECBD_0842	flavodoxin	100.0	
b0852	ribosomal protein S6 modification protein	ECBD_2742	alpha-L-glutamate ligase, RimK family	100.0	
b0493	putative oxidoreductase	ECBD_3163	short-chain dehydrogenase/reductase SDR	100.0	
b1070	protein of flagellar biosynthesis	ECBD_2530	protein of flagellar biosynthesis	100.0	
b1658	transcriptional repressor for pur regulon, glyA, glnB, prsA, speA	ECBD_1985	transcriptional regulator, LacI family	100.0	
b1346	orf, hypothetical protein	ECBD_2270	protein of unknown function DUF1233 excisionase putative	100.0	
b0968	orf, hypothetical protein	ECBD_2626	acylphosphatase	100.0	
b3870	glutamine synthetase	ECBD_4157	glutamine synthetase, type I	100.0	
b0923	orf, hypothetical protein	ECBD_2672	chromosome segregation and condensation protein MukE	100.0	
b2305	orf, hypothetical protein	ECBD_1354	putative transposase YhgA family protein	100.0	
b3065	30S ribosomal subunit protein S21	ECBD_0676	ribosomal protein S21	100.0	
b0928	aspartate aminotransferase	ECBD_2667	Aspartate transaminase	100.0	
b1000	curved DNA-binding protein; functions closely related to DnaJ	ECBD_2594	chaperone DnaJ domain protein	100.0	
b1332	orf, hypothetical protein	ECBD_2285	conserved hypothetical protein	100.0	
b0653	glutamate/aspartate transport system permease	ECBD_2998	polar amino acid ABC transporter, inner membrane subunit	100.0	
b0298	putative factor	ECBD_2567	transposase IS3/IS911 family protein	100.0	
b0298	putative factor	ECBD_0875	transposase IS3/IS911 family protein	100.0	
b0298	putative factor	ECBD_2089	transposase IS3/IS911 family protein	100.0	
b0298	putative factor	ECBD_2236	transposase IS3/IS911 family protein	100.0	
b1762	orf, hypothetical protein	ECBD_1882	conserved hypothetical protein	100.0	
b1589	putative oxidoreductase, Fe-S subunit	ECBD_2057	dimethylsulfoxide reductase, chain B	100.0	
b2730	plays structural role in maturation of all 3 hydrogenases	ECBD_0995	hydrogenase expression/formation protein HypE	100.0	
b3311	30S ribosomal subunit protein S17	ECBD_0440	ribosomal protein S17	100.0	
b4339	orf, hypothetical protein	ECBD_3691	putative transposase YhgA family protein	100.0	
b3614	orf, hypothetical protein	ECBD_0111	protein of unknown function DUF610 YibQ	100.0	
b2138	putative channel/filament proteins	ECBD_1520	RND efflux system, outer membrane lipoprotein, NodT family	100.0	
b3466	orf, hypothetical protein	ECBD_0275	protein of unknown function DUF1145	100.0	
b1483	putative ATP-binding component of a transport system	ECBD_2156	oligopeptide/dipeptide ABC transporter, ATPase subunit	100.0	
b2540	ferredoxin subunit of phenylpropionate dioxygenase	ECBD_1144	Rieske (2Fe-2S) domain protein	100.0	
b1187	negative regulator for fad regulon, and positive activator of fabA	ECBD_2435	fatty acid metabolism transcriptional regulator FadR	100.0	
b3198	orf, hypothetical protein	ECBD_0544	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family	100.0	
b3701	DNA polymerase III, beta-subunit	ECBD_0002	DNA polymerase III, beta subunit	100.0	
b1518	orf, hypothetical protein	ECBD_2124	Antibiotic biosynthesis monooxygenase	100.0	
b0735	orf, hypothetical protein	ECBD_2925	cyd operon protein YbgE	100.0	
b0311	choline dehydrogenase, a flavoprotein	ECBD_3347	choline dehydrogenase	100.0	
b3482	rhsB protein in rhs element	ECBD_0137	Rhs family protein-like protein	100.0	
b1654	orf, hypothetical protein	ECBD_1989	glutaredoxin-like protein	100.0	
b2929	putative transcriptional regulator	ECBD_0809	mannitol repressor, MtlR	100.0	
b3517	glutamate decarboxylase isozyme	ECBD_0222	glutamate decarboxylase	100.0	
b3071	orf, hypothetical protein	ECBD_0671	transcriptional regulator, PadR-like family	100.0	
b0635	cell elongation, e phase; peptidoglycan synthetase; penicillin-binding protein 2	ECBD_3016	Peptidoglycan glycosyltransferase	100.0	
b2894	site-specific recombinase	ECBD_0843	tyrosine recombinase XerD	100.0	
b3908	superoxide dismutase, manganese	ECBD_4115	Superoxide dismutase	100.0	
b1786	orf, hypothetical protein	ECBD_1858	diguanylate cyclase	100.0	
b1946	flagellar biosynthesis, component of motor switch and energizing, enabling rotation and determining its direction	ECBD_1699	flagellar motor switch protein FliN	100.0	
b2990	hydrogenase-2 operon protein: may effect maturation of large subunit of hydrogenase-2	ECBD_0748	hydrogenase assembly chaperone hypC/hupF	100.0	
b4161	orf, hypothetical protein	ECBD_3870	ribosome small subunit-dependent GTPase A	100.0	
b3585	putative transcriptional regulator LYSR-type	ECBD_0146	transcriptional regulator, LysR family	100.0	
b4390	probable nadAB transcriptional regulator	ECBD_3630	transcriptional regulator, XRE family	100.0	
b2413	required for sulfate transport	ECBD_1269	protein of unknown function DUF540	100.0	
b0438	ATP-dependent specificity component of clpP serine protease, chaperone	ECBD_3219	ATP-dependent Clp protease, ATP-binding subunit ClpX	100.0	
b2310	lysine-, arginine-, ornithine-binding periplasmic protein	ECBD_1349	cationic amino acid ABC transporter, periplasmic binding protein	100.0	
b3522	orf, hypothetical protein	ECBD_0217	ribonuclease	100.0	
b2830	putative invasion protein	ECBD_0895	NUDIX hydrolase	100.0	
b0333	putative citrate synthase; propionate metabolism?	ECBD_3324	2-methylcitrate synthase/citrate synthase II	100.0	
b3294	50S ribosomal subunit protein L17	ECBD_0457	ribosomal protein L17	100.0	
b3923	putative regulator	ECBD_4101	UspA domain protein	100.0	
b0620	sequence similarity to Shigella regulator	ECBD_3030	response regulator receiver	100.0	
b1050	orf, hypothetical protein	ECBD_2549	protein of unknown function DUF1375	100.0	
b3579	putative solute-binding transport protein	ECBD_0155	TRAP dicarboxylate transporter, DctP subunit	100.0	
b2263	putative enzyme	ECBD_1395	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	100.0	
b2461	orf, hypothetical protein	ECBD_1229	ethanolamine utilization protein, EutP	100.0	
b1844	orf, hypothetical protein	ECBD_1796	Exonuclease RNase T and DNA polymerase III	100.0	
b3379	putative hydrolase	ECBD_0368	aryldialkylphosphatase	100.0	
b2741	RNA polymerase, sigma S (sigma38) factor; synthesis of many growth phase related proteins	ECBD_0983	RNA polymerase, sigma 70 subunit, RpoD subfamily	100.0	
b0059	probable ATP-dependent RNA helicase	ECBD_3558	SNF2-related protein	100.0	
b1051	acidic protein suppresses mutants lacking function of protein export	ECBD_2548	conserved hypothetical protein	100.0	
b1994	IS5 transposase	ECBD_0756	transposase IS4 family protein	100.0	
b4212	orf, hypothetical protein	ECBD_3817	transcriptional regulator, HxlR family	100.0	
b4283	IS911 hypothetical protein (IS911B)	ECBD_3759	transposase IS3/IS911 family protein	100.0	
b0976	processing of HyaA and HyaB proteins	ECBD_2619	hydrogenase-1 expression HyaE	100.0	
b1488	orf, hypothetical protein	ECBD_2151	D-Ala-D-Ala dipeptidase	100.0	
b3185	50S ribosomal subunit protein L27	ECBD_0557	ribosomal protein L27	100.0	
b3342	30S ribosomal subunit protein S12	ECBD_0407	ribosomal protein S12	100.0	
b3001	putative reductase	ECBD_0737	aldo/keto reductase	100.0	
b0080	transcriptional repressor of fru operon and others	ECBD_3537	transcriptional regulator, LacI family	100.0	
b1778	orf, hypothetical protein	ECBD_1866	methionine-R-sulfoxide reductase	100.0	
b1727	putative phosphatase	ECBD_1918	HAD-superfamily hydrolase, subfamily IA, variant 3	100.0	
b2991	may modulate levels of hydrogenease-2	ECBD_0747	hydrogenase nickel insertion protein HypA	100.0	
b4056	orf, hypothetical protein	ECBD_3976	protein of unknown function UPF0047	100.0	
b0843	orf, hypothetical protein	ECBD_2780	conserved hypothetical protein	100.0	
b4205	orf, hypothetical protein	ECBD_3824	transcriptional regulator, TetR family	100.0	
b2415	PTS system protein HPr	ECBD_1266	Phosphotransferase system, phosphocarrier protein HPr	100.0	
b2295	orf, hypothetical protein	ECBD_1364	protein of unknown function DUF412	100.0	
b0820	putative ATP-binding component of a transport system	ECBD_2803	ABC transporter related	100.0	
b1906	orf, hypothetical protein	ECBD_1734	conserved hypothetical protein	100.0	
b4326	orf, hypothetical protein	ECBD_3705	GPW/gp25 family protein	100.0	
b3497	orf, hypothetical protein	ECBD_0244	protein of unknown function DUF548	100.0	
b2663	transport permease protein of gamma-aminobutyrate	ECBD_1056	GABA permease	100.0	
b4396	right origin-binding protein	ECBD_3624	transcriptional regulator, AraC family	100.0	
b1297	putative glutamine synthetase (EC 6.3.1.2)	ECBD_2320	Glutamate--putrescine ligase	100.0	
b3678	putative sulfatase	ECBD_0024	sulfatase	100.0	
b2441	ethanolamine ammonia-lyase, heavy chain	ECBD_1241	Ethanolamine ammonia-lyase	100.0	
b2146	putative oxidoreductase	ECBD_1512	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	100.0	
b2465	transketolase 2 isozyme	ECBD_1225	transketolase	100.0	
b0798	orf, hypothetical protein	ECBD_2825	conserved hypothetical protein	100.0	
b0866	orf, hypothetical protein	ECBD_2728	protein of unknown function DUF74	100.0	
b0052	pyridoxine biosynthesis	ECBD_3563	4-hydroxythreonine-4-phosphate dehydrogenase	100.0	
b3346	orf, hypothetical protein	ECBD_0403	YheO domain protein	100.0	
b0503	putative capsule anchoring protein	ECBD_3154	tRNA 2-selenouridine synthase	100.0	
b0651	putative tRNA synthetase	ECBD_3002	Ribosylpyrimidine nucleosidase	100.0	
b4194	orf, hypothetical protein	ECBD_3840	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	100.0	
b2527	orf, hypothetical protein	ECBD_1157	co-chaperone Hsc20	100.0	
