Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
C6EID5	glcB ECBD_0763 ECD_02844	glcB		ECBD_0763 ECD_02844	C6EID5_ECOBD	Cytoplasm. 	Inferred from homology	Malate synthase family, GlcB subfamily	Malate synthase (EC 2.3.3.9) (Malate synthase G) (EC 2.3.3.9)	"GO:0008415; GO:0005737; GO:0006097; GO:0004474; GO:0006099"	"Acyltransferase; Complete proteome; Cytoplasm; Glyoxylate bypass; Transferase; Tricarboxylic acid cycle"	723	
C6EJI7	ECBD_2908 ECBD_3312			ECBD_2908 ECBD_3312	C6EJI7_ECOBD		Predicted		Transcriptional regulator, LacI family	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	363	
C6EIJ3	iciA ECBD_0822 ECD_02747	iciA		ECBD_0822 ECD_02747	C6EIJ3_ECOBD		Predicted		Chromosome replication initiation inhibitor protein (Transcriptional regulator, ArgP, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	297	
C6EK39	ECBD_2995 ECD_00624			ECBD_2995 ECD_00624	C6EK39_ECOBD		Predicted		40-residue YVTN family beta-propeller repeat protein (Putative uncharacterized protein)	GO:0016021	"Complete proteome; Signal"	625	
C6EA37	yagT ECBD_3371 ECD_00245	yagT		ECBD_3371 ECD_00245	C6EA37_ECOBD		Predicted		(2Fe-2S)-binding domain protein (Predicted xanthine dehydrogenase, 2Fe-2S subunit)	"GO:0051537; GO:0009055; GO:0046872; GO:0055114; GO:0016491"	"2Fe-2S; Complete proteome; Iron; Iron-sulfur; Metal-binding"	229	
C6ELS2	ykgG ECBD_3349 ECD_00264	ykgG		ECBD_3349 ECD_00264	C6ELS2_ECOBD		Predicted		Predicted transporter (Putative uncharacterized protein)	"GO:0030272; GO:0005524; GO:0009396"	Complete proteome	231	
C6EDU6	ydfH ECBD_2099 ECD_01499	ydfH		ECBD_2099 ECD_01499	C6EDU6_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	228	
C6EB80	cobS ECBD_1657 ECD_01901	cobS		ECBD_1657 ECD_01901	C6EB80_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	CobS family	Cobalamin synthase (EC 2.-.-.-)	"GO:0008818; GO:0009236; GO:0015420; GO:0005886"	"Cell inner membrane; Cell membrane; Cobalamin biosynthesis; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	247	
C6EEZ2	rhaS ECBD_4118 ECD_03791	rhaS		ECBD_4118 ECD_03791	C6EEZ2_ECOBD		Inferred from homology		DNA-binding transcriptional activator, L-rhamnose-binding (Transcriptional regulator, AraC family)	"GO:0005737; GO:0006355; GO:0019299; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repeat; Rhamnose metabolism; Transcription; Transcription regulation"	278	
C6EC44	yeaJ ECBD_1858 ECD_01755	yeaJ		ECBD_1858 ECD_01755	C6EC44_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	"Complete proteome; Signal"	496	
C6EA32	yagX ECBD_3366 ECD_00250	yagX		ECBD_3366 ECD_00250	C6EA32_ECOBD		Predicted		Predicted aromatic compound dioxygenase (Putative uncharacterized protein)	"GO:0004180; GO:0016702"	"Complete proteome; Dioxygenase; Oxidoreductase; Signal"	841	
C6EE47	udhA sthA ECBD_4062 ECD_03847	udhA	sthA	ECBD_4062 ECD_03847	C6EE47_ECOBD	Cytoplasm. 	Inferred from homology	Class-I pyridine nucleotide-disulfide oxidoreductase family	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	"GO:0050660; GO:0003957; GO:0045454; GO:0005737; GO:0055114"	"Complete proteome; Cytoplasm; FAD; Flavoprotein; NAD; NADP; Oxidoreductase"	466	
C6EC15	yoaE ECBD_1826 ECD_01786	yoaE		ECBD_1826 ECD_01786	C6EC15_ECOBD		Predicted		Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	"GO:0050660; GO:0003824; GO:0016021; GO:0055114"	Complete proteome	518	
C6EI75	serC ECBD_2688 ECD_00911	serC		ECBD_2688 ECD_00911	C6EI75_ECOBD	Cytoplasm. 	Inferred from homology	"Class-V pyridoxal-phosphate-dependent aminotransferase family; Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	"GO:0006564; GO:0004648; GO:0030170"	"Amino-acid biosynthesis; Aminotransferase; Complete proteome; Cytoplasm; Pyridoxal phosphate; Pyridoxine biosynthesis; Serine biosynthesis; Transferase"	362	
C6EJZ5	yfiO ECBD_1089 ECD_02485	yfiO		ECBD_1089 ECD_02485	C6EJZ5_ECOBD		Predicted		Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	GO:0005488	"Complete proteome; Lipoprotein; Signal"	245	
C6EA07	narP ECBD_1467 ECD_02120	narP		ECBD_1467 ECD_02120	C6EA07_ECOBD		Predicted		DNA-binding response regulator in two-component regulatory system with NarQ or NarX (Two component transcriptional regulator, LuxR family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	215
C6ECQ5	ppsA ECBD_1944 ECD_01671	ppsA		ECBD_1944 ECD_01671	C6ECQ5_ECOBD		Predicted		Phosphoenolpyruvate synthase (EC 2.7.9.2)	"GO:0005524; GO:0006094; GO:0008986"	"Complete proteome; Pyruvate; Transferase"	792
C6EB59	hisI ECBD_1633 ECD_01928	hisI		ECBD_1633 ECD_01928	C6EB59_ECOBD	Cytoplasm. 	Inferred from homology		Bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein (EC 3.5.4.19) (EC 3.6.1.31) (Phosphoribosyl-ATP diphosphatase)	"GO:0005737; GO:0000105; GO:0004635; GO:0004636"	"Amino-acid biosynthesis; Complete proteome; Cytoplasm; Histidine biosynthesis; Hydrolase"	203
C6EAR4	wcaM ECBD_1612 ECD_01949	wcaM		ECBD_1612 ECD_01949	C6EAR4_ECOBD		Predicted		Predicted colanic acid biosynthesis protein (Putative uncharacterized protein)		"Complete proteome; Signal"	464
C6EJB6	cysN ECBD_0973 ECD_02601	cysN		ECBD_0973 ECD_02601	C6EJB6_ECOBD		Inferred from homology	GTP-binding elongation factor family, CysN/nodQ subfamily	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase)	"GO:0005524; GO:0005525; GO:0003924; GO:0004781"	"ATP-binding; Complete proteome; GTP-binding; Nucleotide-binding; Nucleotidyltransferase; Transferase"	475
C6EHU2	glnE ECBD_0688 ECD_02923	glnE		ECBD_0688 ECD_02923	C6EHU2_ECOBD		Inferred from homology		(Glutamate--ammonia-ligase) adenylyltransferase (EC 2.7.7.42) (Fused deadenylyltransferase/adenylyltransferase for glutamine synthetase) (EC 2.7.7.42)	"GO:0005524; GO:0008882; GO:0016874"	"ATP-binding; Complete proteome; Ligase; Nucleotide-binding; Nucleotidyltransferase; Repeat; Transferase"	946
C6EHJ4	ycdC ECBD_2581 ECD_01016	ycdC		ECBD_2581 ECD_01016	C6EHJ4_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, TetR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0016566; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	212
C6EJP7	seqA ECBD_2974 ECD_00644	seqA		ECBD_2974 ECD_00644	C6EJP7_ECOBD		Predicted		Regulatory protein for replication initiation (SeqA family protein)	"GO:0003677; GO:0032297; GO:0045449"	Complete proteome	181
C6EH71	yhbP ECBD_0586 ECD_03021	yhbP		ECBD_0586 ECD_03021	C6EH71_ECOBD		Inferred from homology	UPF0306 family	UPF0306 protein yhbP		Complete proteome	147
C6EE70	metJ ECBD_4085 ECD_03824	metJ		ECBD_4085 ECD_03824	C6EE70_ECOBD		Inferred from homology		Methionine repressor, MetJ (Transcriptional repressor protein MetJ)	"GO:0003677; GO:0005737; GO:0009086; GO:0006355; GO:0003700; GO:0006350"	"Amino-acid biosynthesis; Complete proteome; Cytoplasm; DNA-binding; Methionine biosynthesis; Repressor; Transcription; Transcription regulation"	105
C6EJ77	ygdH ECBD_0934 ECD_02640	ygdH		ECBD_0934 ECD_02640	C6EJ77_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein ygdH)		Complete proteome	454
C6EFQ3	ycjZ ECBD_2288 ECD_01306	ycjZ		ECBD_2288 ECD_01306	C6EFQ3_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	299
C6ED81	yidR ECBD_0014 ECD_03572	yidR		ECBD_0014 ECD_03572	C6ED81_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yidR)		Complete proteome	404
C6EHK9	torD ECBD_2596 ECD_01001	torD		ECBD_2596 ECD_01001	C6EHK9_ECOBD		Predicted		Chaperone protein TorD (Cytoplasmic chaperone TorD family protein)	"GO:0005515; GO:0006457"	Complete proteome	199
C6EJ20	V ECBD_2863 ECD_10046	V		ECBD_2863 ECD_10046	C6EJ20_ECOBD		Predicted		Ig domain protein group 2 domain protein (Tail component)		Complete proteome	246
C6EG98	yidC oxaA ECBD_4327 ECD_03589	yidC	oxaA	ECBD_4327 ECD_03589	C6EG98_ECOBD	"Cell inner membrane; Multi-pass membrane protein.  Membrane; Multi-pass membrane protein. "	Inferred from homology	"OXA1/oxaA family; OXA1/oxaA family, Type 1 subfamily"	Inner membrane protein oxaA	"GO:0016021; GO:0005886; GO:0051205"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane helix"	548
C6EK73	citA ECBD_3031 ECD_00589	citA		ECBD_3031 ECD_00589	C6EK73_ECOBD		Predicted		Sensory histidine kinase in two-component regulatory system with citB (Signal transduction histidine kinase regulating citrate/malate metabolism)	"GO:0005524; GO:0018106; GO:0000155; GO:0000160"	"ATP-binding; Complete proteome; Kinase; Nucleotide-binding; Signal; Transferase"	552
C6EDQ4	mlc ECBD_2052 ECD_01563	mlc		ECBD_2052 ECD_01563	C6EDQ4_ECOBD		Predicted		DNA-binding transcriptional repressor (ROK family protein)	GO:0003677	"Complete proteome; DNA-binding"	406
C6EHI2	ycdT ECBD_2569 ECD_01027	ycdT		ECBD_2569 ECD_01027	C6EHI2_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	Complete proteome	452
C6EGZ4	argR ECBD_0509 ECD_03097	argR		ECBD_0509 ECD_03097	C6EGZ4_ECOBD	Cytoplasm. 	Inferred from homology	ArgR family	Arginine repressor	"GO:0003677; GO:0005737; GO:0006355; GO:0003700; GO:0006350"	"Amino-acid biosynthesis; Arginine biosynthesis; Complete proteome; Cytoplasm; DNA-binding; Repressor; Transcription; Transcription regulation"	156
C6ECD2	ytfH ECBD_3817 ECD_04084	ytfH		ECBD_3817 ECD_04084	C6ECD2_ECOBD		Predicted		Predicted transcriptional regulator (Transcriptional regulator, HxlR family)		Complete proteome	126
C6EES4	ydcR ECBD_2200 ECD_01396	ydcR		ECBD_2200 ECD_01396	C6EES4_ECOBD		Predicted		Fused predicted DNA-binding transcriptional regulator/predicted amino transferase (Transcriptional regulator, GntR family with aminotransferase domain)	"GO:0003677; GO:0005622; GO:0030170; GO:0006355; GO:0003700; GO:0008483; GO:0006350"	"Aminotransferase; Complete proteome; DNA-binding; Transcription; Transcription regulation; Transferase"	468
C6ECU0	norM mdtK ECBD_1980 ECD_01634	norM	mdtK	ECBD_1980 ECD_01634	C6ECU0_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	Multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family, MdtK subfamily	Multidrug resistance protein mdtK (Multidrug-efflux transporter)	"GO:0015297; GO:0015238; GO:0016021"	"Antiport; Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Membrane; Signal; Sodium; Sodium transport; Transmembrane; Transmembrane helix; Transport"	457
C6EG46	hdfR ECBD_4274 ECD_03642	hdfR		ECBD_4274 ECD_03642	C6EG46_ECOBD		Inferred from homology		HTH-type transcriptional regulator hdfR (H-NS-dependent flhDC regulator)	"GO:0003677; GO:0045892; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation"	279
C6EGS6	ycgO ECBD_2431 ECD_01166	ycgO		ECBD_2431 ECD_01166	C6EGS6_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology		Potassium/proton antiporter (Sodium/hydrogen exchanger)	"GO:0050660; GO:0003824; GO:0016021; GO:0055114; GO:0005886; GO:0006813; GO:0015299"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane helix; Transport"	578
C6ELC9	yfcK mnmC ECBD_1335 ECD_02249	yfcK	mnmC	ECBD_1335 ECD_02249	C6ELC9_ECOBD	Cytoplasm. 	Inferred from homology	"DAO family; Methyltransferase superfamily, tRNA (mnm(5)s(2)U34)-methyltransferase family"	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein mnmC (tRNA mnm(5)s(2)U biosynthesis bifunctional protein)	"GO:0005737; GO:0008168; GO:0055114; GO:0016645; GO:0008033"	"Complete proteome; Cytoplasm; FAD; Flavoprotein; Methyltransferase; Multifunctional enzyme; Oxidoreductase; S-adenosyl-L-methionine; Transferase; tRNA processing"	668
C6EDI2	cysE ECBD_0118 ECD_03465	cysE		ECBD_0118 ECD_03465	C6EDI2_ECOBD		Predicted		Serine O-acetyltransferase (EC 2.3.1.30) (Serine acetyltransferase) (EC 2.3.1.30)	"GO:0006535; GO:0005737; GO:0009001"	"Acyltransferase; Complete proteome; Transferase"	273
C6E9Y0	atoC ECBD_1439 ECD_02147	atoC		ECBD_1439 ECD_02147	C6E9Y0_ECOBD		Predicted		Fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein (Two component, sigma54 specific, transcriptional regulator, Fis family)	"GO:0005524; GO:0003677; GO:0005622; GO:0017111; GO:0006355; GO:0003700; GO:0006350; GO:0008134; GO:0000156; GO:0000160"	"ATP-binding; Complete proteome; DNA-binding; Nucleotide-binding; Transcription; Transcription regulation"	461
C6EGQ5	prfA ECBD_2410 ECD_01186	prfA		ECBD_2410 ECD_01186	C6EGQ5_ECOBD	Cytoplasm. 	Inferred from homology	Prokaryotic/mitochondrial release factor family	Peptide chain release factor 1 (RF-1)	"GO:0005737; GO:0016149"	"Complete proteome; Cytoplasm; Protein biosynthesis"	360
C6EJZ2	tyrA ECBD_1086 ECD_02489	tyrA		ECBD_1086 ECD_02489	C6EJZ2_ECOBD	Cytoplasm. 	Inferred from homology		T-protein	"GO:0005488; GO:0004106; GO:0005737; GO:0055114; GO:0004665; GO:0008977; GO:0006571"	"Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Complete proteome; Cytoplasm; Isomerase; NAD; Oxidoreductase; Tyrosine biosynthesis"	373
C6EF83	metR ECBD_4210 ECD_03707	metR		ECBD_4210 ECD_03707	C6EF83_ECOBD		Predicted		DNA-binding transcriptional activator, homocysteine-binding (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Signal; Transcription; Transcription regulation"	317
C6EJT4	alaS ECBD_1028 ECD_02547	alaS		ECBD_1028 ECD_02547	C6EJT4_ECOBD	Cytoplasm. 	Inferred from homology	Class-II aminoacyl-tRNA synthetase family	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	"GO:0005524; GO:0004813; GO:0006419; GO:0005737; GO:0003676"	"ATP-binding; Acetylation; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Ligase; Metal-binding; Nucleotide-binding; Protein biosynthesis; RNA-binding; Zinc; tRNA-binding"	876
C6EAT1	yadF ECBD_3493 ECD_00125	yadF		ECBD_3493 ECD_00125	C6EAT1_ECOBD		Inferred from homology	Beta-class carbonic anhydrase family	Carbonic anhydrase (EC 4.2.1.1)	"GO:0015976; GO:0004089; GO:0008270"	"Complete proteome; Lyase; Zinc"	220
C6EG33	rhlB ECBD_4260 ECD_03658	rhlB		ECBD_4260 ECD_03658	C6EG33_ECOBD		Inferred from homology	DEAD box helicase family	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	"GO:0005524; GO:0008026; GO:0003676"	"ATP-binding; Complete proteome; Helicase; Hydrolase; Nucleotide-binding"	421
C6EAI5	yehV ECBD_1532 ECD_02056	yehV		ECBD_1532 ECD_02056	C6EAI5_ECOBD		Predicted		DNA-binding transcriptional regulator (Transcriptional regulator, MerR family)	"GO:0003677; GO:0000166; GO:0006355; GO:0003700"	"Complete proteome; DNA-binding"	243
C6EH95	agaZ ECBD_0610 ECD_02997	agaZ		ECBD_0610 ECD_02997	C6EH95_ECOBD		Predicted		D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit (Tagatose 6-phosphate aldolase 1, kbaZ subunit) (EC 4.1.2.40)	"GO:0019402; GO:0009024; GO:0009025"	"Complete proteome; Lyase"	426
C6EJ73	xni ygdG ECBD_0930 ECD_02643	xni	ygdG	ECBD_0930 ECD_02643	C6EJ73_ECOBD		Inferred from homology	Xni family	Protein Xni	"GO:0008409; GO:0003677"	"Complete proteome; Exonuclease; Hydrolase; Nuclease"	281
C6EHR4	ygjM ECBD_0660 ECD_02951	ygjM		ECBD_0660 ECD_02951	C6EHR4_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, XRE family)	GO:0043565	"Complete proteome; DNA-binding"	138
C6EHN7	yhaJ ECBD_0633 ECD_02974	yhaJ		ECBD_0633 ECD_02974	C6EHN7_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	298
C6EDH1	gumD hldD ECBD_0107 ECD_03476	gumD	hldD	ECBD_0107 ECD_03476	C6EDH1_ECOBD		Inferred from homology	Sugar epimerase family, HldD subfamily	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase)	"GO:0008712; GO:0050661; GO:0005975; GO:0044237"	"Acetylation; Carbohydrate metabolism; Complete proteome; Isomerase; NADP"	310
C6EI47	ssuD ECBD_2660 ECD_00939	ssuD		ECBD_2660 ECD_00939	C6EI47_ECOBD		Predicted		Alkanesulfonate monooxygenase (EC 1.14.14.5)	"GO:0008726; GO:0055114"	"Complete proteome; FMN; Monooxygenase; Oxidoreductase"	381
C6EIU4	dacC ECBD_2784 ECD_00806	dacC		ECBD_2784 ECD_00806	C6EIU4_ECOBD		Inferred from homology	Peptidase S11 family	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 6a)) (EC 3.4.16.4)	"GO:0008800; GO:0006508; GO:0009002"	"Carboxypeptidase; Complete proteome; Hydrolase; Protease; Signal"	400
C6EL22	ppiD ECBD_3214 ECD_00393	ppiD		ECBD_3214 ECD_00393	C6EL22_ECOBD		Predicted		Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	"GO:0003755; GO:0006457; GO:0015031"	"Complete proteome; Isomerase; Rotamase"	623
C6EC56	sgcQ ECBD_3736 ECD_04168	sgcQ		ECBD_3736 ECD_04168	C6EC56_ECOBD		Predicted		Photosystem I assembly BtpA (Predicted nucleoside triphosphatase)	GO:0003824	Complete proteome	268
C6ECB7	fbp ECBD_3802 ECD_04100	fbp		ECBD_3802 ECD_04100	C6ECB7_ECOBD	Cytoplasm. 	Inferred from homology	FBPase class 1 family	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	"GO:0016051; GO:0005737; GO:0042132"	"Carbohydrate metabolism; Complete proteome; Cytoplasm; Hydrolase; Magnesium; Metal-binding"	332
C6EI04	gss ECBD_0750 ECD_02864	gss		ECBD_0750 ECD_02864	C6EI04_ECOBD		Predicted		Fused glutathionylspermidine amidase/glutathionylspermidine synthetase (Glutathionylspermidine amidase) (EC 3.5.1.78)	"GO:0005524; GO:0008884"	"Complete proteome; Hydrolase"	619
C6EEG2	yhjC ECBD_0218 ECD_03369	yhjC		ECBD_0218 ECD_03369	C6EEG2_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	323
C6EAX5	fruR ECBD_3537 ECD_00081	fruR		ECBD_3537 ECD_00081	C6EAX5_ECOBD		Predicted		DNA-binding transcriptional dual regulator (Transcriptional regulator, LacI family)	"GO:0003677; GO:0005622; GO:0006355; GO:0009750; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	334
C6EG67	atpF ECBD_4296 ECD_03620	atpF		ECBD_4296 ECD_03620	C6EG67_ECOBD		Inferred from homology	ATPase B chain family	ATP synthase subunit b	"GO:0015986; GO:0015078; GO:0016787; GO:0016021; GO:0005886; GO:0045263"	"ATP synthesis; CF(0); Cell membrane; Complete proteome; Hydrogen ion transport; Hydrolase; Ion transport; Membrane; Transmembrane; Transmembrane helix; Transport"	156
C6EIU9	yliF ECBD_2789 ECD_00801	yliF		ECBD_2789 ECD_00801	C6EIU9_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	"Complete proteome; Signal"	442
C6EBS4	yjhA ECBD_3726 ECD_04178	yjhA		ECBD_3726 ECD_04178	C6EBS4_ECOBD		Predicted		N-acetylnuraminic acid outer membrane channel protein (Oligogalacturonate-specific porin)	"GO:0016020; GO:0005215"	"Complete proteome; Signal"	238
C6ECL2	astD ECBD_1899 ECD_01715	astD		ECBD_1899 ECD_01715	C6ECL2_ECOBD		Inferred from homology	Aldehyde dehydrogenase family, AstD subfamily	N-succinylglutamate 5-semialdehyde dehydrogenase (EC 1.2.1.71) (Succinylglutamic semialdehyde dehydrogenase)	"GO:0019544; GO:0055114; GO:0043824"	"Arginine metabolism; Complete proteome; NAD; Oxidoreductase"	492
C6EEY4	cpxP ECBD_4110 ECD_03799	cpxP		ECBD_4110 ECD_03799	C6EEY4_ECOBD		Predicted		Periplasmic protein combats stress (Putative uncharacterized protein)	GO:0042597	"Complete proteome; Signal"	166
C6ED47	yjcO ECBD_3954 ECD_03950	yjcO		ECBD_3954 ECD_03950	C6ED47_ECOBD		Predicted		Putative uncharacterized protein yjcO (Sel1 domain protein repeat-containing protein)	GO:0005488	"Complete proteome; Signal"	229
C6EA43	proB ECBD_3377 ECD_00239	proB		ECBD_3377 ECD_00239	C6EA43_ECOBD	Cytoplasm. 	Inferred from homology	Glutamate 5-kinase family	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase)	"GO:0005524; GO:0003723; GO:0005737; GO:0004349; GO:0006561"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Proline biosynthesis; Transferase"	367
C6EG13	hemY ECBD_4240 ECD_03677	hemY		ECBD_4240 ECD_03677	C6EG13_ECOBD		Predicted		HemY protein (Predicted protoheme IX synthesis protein)	"GO:0005488; GO:0042168; GO:0016020"	"Complete proteome; Signal"	398
C6ELG1	yfbS ECBD_1367 ECD_02217	yfbS		ECBD_1367 ECD_02217	C6ELG1_ECOBD		Predicted		Citrate transporter (Predicted transporter)	"GO:0008324; GO:0015137; GO:0016021; GO:0006813; GO:0006814"	Complete proteome	610
C6EF52	fadB ECBD_4179 ECD_03737	fadB		ECBD_4179 ECD_03737	C6EF52_ECOBD		Inferred from homology	"3-hydroxyacyl-CoA dehydrogenase family; Enoyl-CoA hydratase/isomerase family"	Fatty acid oxidation complex subunit alpha	"GO:0003857; GO:0008692; GO:0050662; GO:0004165; GO:0004300; GO:0016507; GO:0009062; GO:0055114"	"Complete proteome; Fatty acid metabolism; Isomerase; Lipid degradation; Lipid metabolism; Lyase; Multifunctional enzyme; NAD; Oxidoreductase"	729
C6EDH5	yibQ ECBD_0111 ECD_03472	yibQ		ECBD_0111 ECD_03472	C6EDH5_ECOBD		Predicted		Predicted polysaccharide deacetylase (Putative uncharacterized protein)	"GO:0005975; GO:0016810"	"Complete proteome; Signal"	319
C6EE00	lysC ECBD_4013 ECD_03896	lysC		ECBD_4013 ECD_03896	C6EE00_ECOBD		Inferred from homology	Aspartokinase family	Aspartokinase (EC 2.7.2.4)	"GO:0016597; GO:0004072; GO:0008652"	"Complete proteome; Kinase; Transferase"	449
C6ELB2	yfcY fadI ECBD_1318 ECD_02266	yfcY	fadI	ECBD_1318 ECD_02266	C6ELB2_ECOBD	Cytoplasm. 	Inferred from homology	Thiolase family	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	"GO:0003988; GO:0005737; GO:0006631; GO:0016042"	"Acyltransferase; Complete proteome; Cytoplasm; Fatty acid metabolism; Lipid degradation; Lipid metabolism; Transferase"	436
C6EGW3	ycfD ECBD_2471 ECD_01126	ycfD		ECBD_2471 ECD_01126	C6EGW3_ECOBD		Predicted		Cupin 4 family protein (Putative uncharacterized protein ycfD)		Complete proteome	373
C6ECU5	purR ECBD_1985 ECD_01629	purR		ECBD_1985 ECD_01629	C6ECU5_ECOBD		Predicted		DNA-binding transcriptional repressor, hypoxanthine-binding (Transcriptional regulator, LacI family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	341
C6EKI0	hscB ECBD_1157 ECD_02419	hscB		ECBD_1157 ECD_02419	C6EKI0_ECOBD		Inferred from homology	HscB family	Co-chaperone protein hscB (Hsc20)	"GO:0051087; GO:0031072; GO:0006457"	"Chaperone; Complete proteome"	171
C6EG57	yieN ECBD_4286 ECD_03630	yieN		ECBD_4286 ECD_03630	C6EG57_ECOBD		Predicted		ATPase associated with various cellular activities AAA_5 (Fused predicted transcriptional regulator: sigma54 activator protein/conserved protein)	"GO:0005524; GO:0016887"	Complete proteome	498
C6EGW4	pepT ECBD_2472 ECD_01125	pepT		ECBD_2472 ECD_01125	C6EGW4_ECOBD	Cytoplasm. 	Inferred from homology	Peptidase M20B family	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptide aminopeptidase)	"GO:0005737; GO:0008237; GO:0006518; GO:0005515; GO:0006508; GO:0045148; GO:0008270"	"Aminopeptidase; Complete proteome; Cytoplasm; Hydrolase; Metal-binding; Metalloprotease; Protease; Zinc"	408
