Entry Name K12	Entry Name BL21(DE3)			Category	Suggested Category		Description	Protein Length	UNTREATED	TREATED			Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
CH60_ECOLI	C6ECY2	P0A6F5		A	F1?	This study	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548	Y				(cytosol)	(cell+cycle::cell+division::protein+folding)	cell cycle|cell division	GO:0051301|GO:0007049			30502	1,00E+04	6,10E+04	92,26	3,796		
CLPB_ECOLI	C6EJZ8	P63284		A	F1?	This study	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	857	Y				(cytosol)	(response+to+stress)	response to stress	GO:0006950			2349	1,98E+01	1,64E+03	12,53	547,85	0,048601	4860,1
DNAJ_ECOLI	C6EB39	P08622		A	F1?	This study	Chaperone protein dnaJ	376	Y				(cytoplasm)		protein refolding|response to heat|protein unfolding|DNA replication|response to stress	GO:0006260|GO:0006950|GO:0042026|GO:0009408|GO:0043335			1327	5,81E+00	8,05E+02	6,63	295,57	0,028798	2879,8
HSLO_ECOLI	C6EFH4	P0A6Y5		A	F1?	This study	33 kDa chaperonin (Heat shock protein 33 homolog)	292	Y				(cytoplasm)	(protein+folding)	response to heat|response to stress	GO:0006950|GO:0009408			1479	7,11E+00	9,05E+02	3,92	177,58	0,03355	3355
YCDY_ECOLI	C6EHH7	P75915		A	F1?	This study	Cytoplasmic chaperone TorD family protein (Putative uncharacterized protein ycdY)	184	Y										371	2,73E+00	5,18E+02	4,99	224,39		
GRPE_ECOLI	C6EJX9	P09372		A	F1?	This study	Protein grpE (HSP-70 cofactor)	197	Y						response to heat|protein unfolding|response to stress	GO:0006950|GO:0009408|GO:0043335			11187	9,99E+02	1,60E+04	157,49	6374,36		
PPIB_ECOLI	C6EKU1	P23869		A	F1?	This study	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	164	Y				(cytoplasm)	(protein+folding)	protein folding	GO:0006457			9509	9,90E+01	4,18E+03	45,42	1909,42	0,22437	22437
DNAK_ECOLI	C6EB40	P0A6Y8		F1		curated	Chaperone protein DnaK (Molecular chaperone DnaK)	638	Y	Y					DNA replication|response to stress	GO:0006260|GO:0006950			44751	3,16E+03	3,12E+04	42,75	1,801	1,0305	103050
DJLA_ECOLI	C6EAZ8	P31680		B			Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	271		Y			(plasma+membrane)	(protein+folding)					167	3,89E-01	1,67E+02				
HTPG_ECOLI	C6EKZ1	P0A6Z3		F1		curated	Chaperone protein htpG (Heat shock protein htpG) (High temperature protein G)	624	Y						protein folding|response to heat|response to stress	GO:0006457|GO:0006950|GO:0009408			1469	2,96E+01	2,07E+03	20,13	867,51		
PPID_ECOLI	C6EL22	P0ADY1		B			Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	Y	Y			(plasma+membrane)	(protein+folding::response+to+stress)	protein folding|response to stress	GO:0006457|GO:0006950			464	4,41E+00	6,86E+02	5,38	241,38		
																									
Proteases																									
HSLU_ECOLI	C6EE78	P0A6H5		A	F1?	This study	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	443	Y				(cytoplasm)		response to heat|response to stress	GO:0006950|GO:0009408			2526	9,00E+00	1,04E+03	10,72	470,95	0,060681	6068,1
OPDA_ECOLI	C6EEI7	P27298		A	F1?	This study	Oligopeptidase A (EC 3.4.24.70)/may process cleaved signal peptides/was found to be a defective signal peptide suppressor	680	Y				(cytoplasm)		metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding	GO:0046872|GO:0008237|GO:0008233|GO:0016787			350	2,91E+00	5,39E+02	3,56	161,74		
LONH_ECOLI	C6EI27	P75867		A	F1?	This study	Predicted peptidase (Putative ATP-dependent protease)	586	Y						hydrolase activity|serine-type peptidase activity|peptidase activity	GO:0016787|GO:0008233|GO:0008236			26			0,53	25,52		
AMPA_ECOLI	C6EC91	P68767		A	F1?	This study	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503	Y				(cytoplasm::intracellular)		plasmid recombination|peptide catabolic process	GO:0042150|GO:0043171			347	3,28E+00	5,77E+02	2,56	117,49		
RSEP_ECOLI	C6EAA9	P0AEH1		B			Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	450	Y	Y					metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding	GO:0046872|GO:0008237|GO:0008233|GO:0016787									
PBPA_ECOLI	C6EFI0	P02918		B			Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	850	Y	Y					regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization|metabolic process	GO:0046677|GO:0009252|GO:0042493|GO:0008152|GO:0008360|GO:0007047			69	1,10E-01	8,04E+01			0,00057933	57,933
LEP_ECOLI	C6EK19	P00803		B			Signal peptidase I (EC 3.4.21.89)	324	Y	Y			(plasma+membrane)		proteolysis|protein processing	GO:0006508|GO:0016485			34			0,72	34,35		
FTSI_ECOLI	C6EAX1	P0AD68		B			Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	588		Y				(cell+cycle::cell+division)	regulation of cell shape|response to antibiotic|response to drug|cellular cell wall organization|peptidoglycan biosynthetic process|cell cycle|metabolic process|cell division	GO:0042493|GO:0008152|GO:0008360|GO:0007047|GO:0009252|GO:0046677|GO:0051301|GO:0007049			7			0,13	6,53		
PBP2_ECOLI	C6EK58	P0AD65		B			Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	633		Y			(plasma+membrane)		regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization|metabolic process	GO:0009252|GO:0046677|GO:0042493|GO:0008152|GO:0008360|GO:0007047									
SOHB_ECOLI	C6EFW5	P0AG14		B			Peptidase S49 domain protein (Predicted inner membrane peptidase)	349		Y			(plasma+membrane)		hydrolase activity|serine-type peptidase activity|peptidase activity	GO:0016787|GO:0008233|GO:0008236			664	2,92E-01	1,41E+02	2,16	99,64	0,017513	1751,3
SPPA_ECOLI	C6ECJ1	P08395		B			Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)	618		Y					signal peptide processing	GO:0006465			20			0,42	20,37		
																									
Translation																									
IF2_ECOLI	C6EH57	P0A705		A	F1	This study	Translation initiation factor IF-2	890	Y				(cytoplasm::intracellular)	(translation)	translational initiation|translation	GO:0006413|GO:0006412			1586	4,08E+01	2,50E+03	15,47	672,06		
IF3_ECOLI	C6ECN9	P0A707		A	F1	This study	Translation initiation factor IF-3	180	Y				(cytoplasm)	(translation)	translational initiation|response to cold|ribosome disassembly|translation	GO:0006413|GO:0009409|GO:0006412|GO:0032790			13564	2,37E+03	2,64E+04	16,78	727,17		
EFG_ECOLI	C6EGC4	P0A6M8		A	F1	This study	Elongation factor G (EF-G)	704	Y				(cytoplasm)	(translation)	translational elongation|translation	GO:0006412|GO:0006414			22075	7,94E+03	5,33E+04	48,03	2,016	0,12923	12923
EFTS_ECOLI	C6EAB5	P0A6P1		A	F1	This study	Elongation factor Ts (EF-Ts)	283	Y				(cytoplasm)	(translation)	translational elongation|translation	GO:0006412|GO:0006414			33279	1,14E+04	6,60E+04	69,79	2895,73	0,3094	30940
DEF_ECOLI	C6EGI0	P0A6K3		A	F1	This study	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	169	Y					(translation)	translation|N-terminal protein amino acid modification	GO:0031365|GO:0006412			1531	2,05E+01	1,68E+03	1,37	64,08	0,02849	2849
AMPM_ECOLI	C6EAB7	P0AE18		A	F1	This study	Methionine aminopeptidase (EC 3.4.11.18)	264	Y						protein initiator methionine removal	GO:0070084			2004	3,22E+00	5,71E+02	6,63	295,57	0,051445	5144,5
RSGA_ECOLI	C6ECW4	P39286		A	F1	This study	Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)	350	Y						ribosomal small subunit biogenesis	GO:0042274			505	5,40E-01	2,02E+02			0,0080707	807,07
TIG_ECOLI	C6EL29	P0A850		A	F1	This study	Trigger factor (TF)	432	Y				(cytosol)	(cell+cycle::protein+complex+assembly)	protein folding|protein complex assembly|cell cycle|cell division|'de novo' cotranslational protein folding	GO:0006457|GO:0051083|GO:0051301|GO:0006461|GO:0007049			21449	3,16E+03	3,12E+04	67,13	2788,66	0,30357	30357
																									
RL1_ECOLI	C6EE35	P0A7L0		A	F1	This study	50S ribosomal protein L1	234	Y	Y			(ribosome)		negative regulation of translational initiation|regulation of translation	GO:0045947|GO:0006417			45011	1,87E+04	8,78E+04	53,12	2222,48		
RL10_ECOLI	C6EE34	P0A7J3		A	F1	This study	50S ribosomal protein L10	165	Y	Y			(intracellular::ribosome)	(ribosome+biogenesis::translation)	regulation of translation	GO:0006417			9867	1,33E+03	1,89E+04	19,31	833,23		
RL11_ECOLI	C6EE36	P0A7J7		A	F1	This study	50S ribosomal protein L11	142	Y	Y				(translation)	stringent response|translational termination	GO:0006415|GO:0015968			5354	4,63E+02	1,02E+04	11,59	507,96		
RL14_ECOLI	C6EGF6	P0ADY3		A	F1	This study	50S ribosomal protein L14	123	Y	Y			(ribosome)	(translation)	RNA binding|rRNA binding	GO:0003723|GO:0019843			10451	1,58E+03	2,09E+04	50,79	2,128		
RL15_ECOLI	C6EGG5	P02413		A	F1	This study	50S ribosomal protein L15	144	Y	Y			(ribosome)	(translation)	RNA binding|rRNA binding	GO:0003723|GO:0019843			20017	4,64E+03	3,90E+04	24,12	1033,75		
RL16_ECOLI	C6EGF3	P0ADY7		A	F1	This study	50S ribosomal protein L16	136	Y	Y			(ribosome)	(translation)	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			5982	5,61E+02	1,14E+04	12,89	563,11		
RL17_ECOLI	C6EGH2	P0AG44		A	F1	This study	50S ribosomal protein L17	127	Y	Y			(ribosome)	(translation)					59840	3,16E+04	1,19E+05	15,68	680,91		
RL18_ECOLI	C6EGG2	P0C018		A	F1	This study	50S ribosomal protein L18	117	Y	Y			(ribosome)	(translation)	RNA binding|rRNA binding	GO:0003723|GO:0019843			83651	5,62E+04	1,66E+05	30,62	1302,81		
RL2_ECOLI	C6EGE9	P60422		A	F1	This study	50S ribosomal protein L2	273	Y	Y			(ribosome)	(translation)	RNA binding|rRNA binding|zinc ion binding	GO:0003723|GO:0008270|GO:0019843			23013	5,88E+03	4,48E+04	28,76	1226,02		
RL20_ECOLI	C6ECP1	P0A7L3		A	F1	This study	50S ribosomal protein L20	118	Y	Y				(translation)	ribosomal large subunit assembly	GO:0000027			8254	9,99E+02	1,60E+04	11,59	507,96		
RL28_ECOLI	C6EDF4	P0A7M2		A	F1	This study	50S ribosomal protein L28	78	Y	Y			(ribosome)	(translation)					23902	6,31E+03	4,67E+04	25,83	1104,73		
RL5_ECOLI	C6EGF8	P62399		A	F1	This study	50S ribosomal protein L5	179	Y	Y			(ribosome)	(translation)	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			16608	3,51E+03	3,32E+04	411,46	16,173		
RL7_ECOLI	C6EE33	P0A7K2		A	F1	This study	50S ribosomal protein L7/L12	121	Y	Y				(translation)					3058290	2,51E+07	5,76E+06	9,999	356580,75		
RS10_ECOLI	C6EGE5	P0A7R5		A	F1	This study	30S ribosomal protein S10	103	Y	Y				(translation)	translation|transcription antitermination	GO:0031564|GO:0006412			7629	6,80E+02	1,28E+04	58,95	2458,58		
RS12_ECOLI	C6EGC2	P0A7S3		A	F1	This study	30S ribosomal protein S12	124	Y	Y				(translation)	RNA folding|response to antibiotic|Group I intron splicing|positive regulation of RNA splicing|translation	GO:0046677|GO:0033120|GO:0034337|GO:0006412|GO:0000372			30864	1,00E+04	6,10E+04	16,78	727,17		
RS13_ECOLI	C6EGG8	P0A7S9		A	F1	This study	30S ribosomal protein S13	118	Y	Y				(translation)	translation	GO:0006412			18403	3,16E+03	3,12E+04	137,95	5606,09		
RS14_ECOLI	C6EGF9	P0AG59		A	F1	This study	30S ribosomal protein S14 (Ribosomal protein S14)	101	Y	Y				(translation)	translation	GO:0006412			442501	1,00E+06	8,85E+05	50,79	2,128		
RS18_ECOLI	C6ECE7	P0A7T7		A	F1	This study	30S ribosomal protein S18	75	Y	Y			(ribosome)	(translation)	translation	GO:0006412			20654	4,64E+03	3,90E+04	55,23	2308,02		
RS2_ECOLI	C6EAB6	P0A7V0		A	F1	This study	30S ribosomal protein S2	241	Y	Y				(translation)	translation	GO:0006412			49607	2,31E+04	9,92E+04	340,45	13,459		
RS21_ECOLI	C6EHT0	P68679		A	F1	This study	30S ribosomal protein S21	71	Y	Y				(translation)	translation	GO:0006412			482738	1,00E+06	8,85E+05	2153,43	80476,72		
RS3_ECOLI	C6EGF2	P0A7V3		A	F1	This study	30S ribosomal protein S3	233	Y	Y				(translation)	translation	GO:0006412			41701	1,67E+04	8,21E+04	30,62	1302,81		
RS4_ECOLI	C6EGH0	P0A7V8		A	F1	This study	30S ribosomal protein S4	206	Y	Y				(translation)	response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation	GO:0046677|GO:0006353|GO:0006355|GO:0006351|GO:0006417			47279	2,00E+04	9,11E+04	83,83	3458,88		
RS5_ECOLI	C6EGG3	P0A7W1		A	F1	This study	30S ribosomal protein S5	167	Y	Y			(intracellular::ribosome)	(translation)	response to antibiotic|translation	GO:0046677|GO:0006412			36649	5,99E+03	4,53E+04	40,25	1698,32	0,6295	62950
RS9_ECOLI	C6EH02	P0A7X3		A	F1	This study	30S ribosomal protein S9	130	Y	Y			(ribosome)	(translation)	translation	GO:0006412			5325	3,72E+02	9,01E+03	38,81	1639,38		
RS11_ECOLI	C6EGG9	P0A7R9		A	F1	This study	30S ribosomal protein S11	129		Y				(translation)	translation	GO:0006412			4537	3,15E+02	8,19E+03	20,54	884,64		
RL13_ECOLI	C6EH01	P0AA10		A	F1	This study	50S ribosomal protein L13	142	Y				(ribosome)	(translation)	zinc ion binding	GO:0008270			55766	1,00E+04	6,10E+04	1332,52	50532,55		
RL19_ECOLI	C6EJY6	P0A7K6		A	F1	This study	50S ribosomal protein L19	115	Y				(ribosome)	(translation)	RNA binding|rRNA binding	GO:0003723|GO:0019843			11732	1,39E+03	1,94E+04	99	4064,14		
RL21_ECOLI	C6EH41	P0AG48		A	F1	This study	50S ribosomal protein L21	103	Y				(ribosome)	(translation)	RNA binding|rRNA binding	GO:0003723|GO:0019843			2486	9,90E+01	4,18E+03	18,31	791,36		
RL22_ECOLI	C6EGF1	P61175		A	F1	This study	50S ribosomal protein L22	110	Y				(ribosome)	(translation)	response to antibiotic	GO:0046677			6578290	1,00E+08	1,28E+07	9,999	356580,75		
RL23_ECOLI	C6EGE8	P0ADZ0		A	F1	This study	50S ribosomal protein L23	100	Y				(ribosome)	(translation)	RNA binding|rRNA binding	GO:0003723|GO:0019843			227320	3,16E+05	4,53E+05	38,81	1639,38		
RL24_ECOLI	C6EGF7	P60624		A	F1	This study	50S ribosomal protein L24	104	Y					(translation)	structural constituent of ribosome|RNA binding|rRNA binding	GO:0003723|GO:0003735|GO:0019843			344731	5,62E+05	6,34E+05	1,467	55462,14		
RL25_ECOLI	C6EA12	P68919		A	F1	This study	50S ribosomal protein L25	94	Y				(ribosome)	(translation)	RNA binding|rRNA binding	GO:0003723|GO:0019843			18293	3,16E+03	3,12E+04	132,35	5385,32		
RL27_ECOLI	C6EH42	P0A7L8		A	F1	This study	50S ribosomal protein L27	85	Y				(ribosome)	(translation)	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			12299	9,99E+02	1,60E+04	214,44	8598,07		
RL29_ECOLI	C6EGF4	P0A7M6		A	F1	This study	50S ribosomal protein L29	63	Y				(ribosome)	(translation)	RNA binding|rRNA binding	GO:0003723|GO:0019843			226864	3,16E+05	4,53E+05	16,78	727,17		
RL3_ECOLI	C6EGE6	P60438		A	F1	This study	50S ribosomal protein L3	209	Y				(ribosome)	(translation)	RNA binding|rRNA binding	GO:0003723|GO:0019843			40381	1,58E+04	7,97E+04	24,81	1062,41		
RL30_ECOLI	C6EGG4	P0AG51		A	F1	This study	50S ribosomal protein L30	59	Y				(ribosome)	(translation)					868187	3,16E+06	1,73E+06	157,49	6374,36		
RL31_ECOLI	C6EE73	P0A7M9		A	F1	This study	50S ribosomal protein L31	70	Y				(ribosome)	(translation)	RNA binding|rRNA binding|metal ion binding	GO:0046872|GO:0003723|GO:0019843			182455	2,15E+05	3,63E+05	45,42	1909,42		
RL32_ECOLI	C6EHC5	P0A7N4		A	F1	This study	50S ribosomal protein L32	57	Y				(ribosome)	(translation)					28570	4,64E+03	3,90E+04	463,16	18139,54		
RL4_ECOLI	C6EGE7	P60723		A	F1	This study	50S ribosomal protein L4	201	Y				(ribosome)	(translation)	response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation	GO:0046677|GO:0006353|GO:0006355|GO:0006351|GO:0006417			14547	2,37E+03	2,64E+04	64,79	2694,37		
RL6_ECOLI	C6EGG1	P0AG55		A	F1	This study	50S ribosomal protein L6	177	Y				(ribosome)	(translation)	response to antibiotic	GO:0046677			10191	1,29E+03	1,86E+04	42,29	1781,71		
RL9_ECOLI	C6ECE6	P0A7R1		A	F1	This study	50S ribosomal protein L9	149	Y				(ribosome)	(translation)	RNA binding|rRNA binding	GO:0003723|GO:0019843			8384	9,99E+02	1,60E+04	17,74	767,47		
RS1_ECOLI	C6EI71	P0AG67		A	F1	This study	30S ribosomal protein S1 (Ribosomal protein S1)	557	Y				(cytoplasm::ribosome)	(translation)	RNA binding	GO:0003723			135732	1,25E+05	2,64E+05	185,32	7463,64		
RS15_ECOLI	C6EH60	P0ADZ4		A	F1	This study	30S ribosomal protein S15	89	Y					(translation)	translation	GO:0006412			226896	3,16E+05	4,53E+05	18,31	791,36		
RS17_ECOLI	C6EGF5	P0AG63		A	F1	This study	30S ribosomal protein S17	84	Y						response to antibiotic|translation	GO:0046677|GO:0006412			49632	2,15E+04	9,52E+04	99	4064,14		
RS19_ECOLI	C6EGF0	P0A7U3		A	F1	This study	30S ribosomal protein S19	92	Y					(translation)	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			50413	1,78E+04	8,52E+04	397,11	15625,86		
RS6_ECOLI	C6ECE9	P02358		A	F1	This study	30S ribosomal protein S6	131	Y					(translation)	translation	GO:0006412			14204	2,68E+03	2,84E+04	176,83	7,132		
RS7_ECOLI	C6EGC3	P02359		A	F1	This study	30S ribosomal protein S7	156	Y				(ribosome)	(translation)	negative regulation of translation|ribosomal small subunit assembly|translation	GO:0000028|GO:0017148|GO:0006412			67291	3,59E+04	1,28E+05	162,79	6582,23		
RS8_ECOLI	C6EGG0	P0A7W7		A	F1	This study	30S ribosomal protein S8	130	Y					(translation)	translation|regulation of translation|regulation of mRNA stability	GO:0006412|GO:0043488|GO:0006417			5204	4,21E+02	9,68E+03	16,78	727,17		
RSMC_ECOLI	C6EBK1	P39406		A	F1	This study	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	343	Y				(cytoplasm)		rRNA base methylation|methylation|rRNA processing|rRNA methylation	GO:0031167|GO:0032259|GO:0006364|GO:0070475			318	2,73E+00	5,18E+02	2,55	117,04		
SRA_ECOLI	C6EEN7	P68191		A	F1	This study	30S ribosomal subunit S22 (30S ribosomal subunit protein S22)	45	Y				(ribosome)	(translation)					326440	9,90E+01	4,18E+03			6,487	648700
																									
																									
Unknown																									
RHSB_ECOLI	C6EF92	P16917	RHSB_ECOLI	A	F1	This study	RhsB element core protein RshB (YD repeat protein)	1411		Y															
YLAC_ECOLI	C6EL06	P0AAS0		B			Predicted inner membrane protein (Putative uncharacterized protein)	156		Y									136			2,98	136,13		
YNIB_ECOLI	C6ECN2	P76208		B			Predicted inner membrane protein (Putative uncharacterized protein)	178		Y			(plasma+membrane)		SOS response|response to DNA damage stimulus	GO:0006974|GO:0009432									
YPFJ_ECOLI	C6EKN6	P64429		B			Putative uncharacterized protein (Putative uncharacterized protein ypfJ)	287		Y															
YQJE_ECOLI	C6EHP4	P64585	YQJE_ECOLI	B			Conserved inner membrane protein (Putative uncharacterized protein)	134		Y			(plasma+membrane)												
YJDF_ECOLI	C6ED03	P39270		B			Conserved inner membrane protein (Putative uncharacterized protein)	209		Y															
																									
																									
Various Not yet classified																									
																									
																									
																									
AAT_ECOLI	C6EI54	P00509	AAT_ECOLI	A	F1?	This study	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	396	Y						L-phenylalanine biosynthetic process from chorismate via phenylpyruvate|aspartate biosynthetic process	GO:0006532|GO:0033585			4505	3,06E+01	2,11E+03	25,49	1090,63	0,10313	10313
ACCA_ECOLI	C6EAA0	P0ABD5	ACCA_ECOLI	A	F1?	This study	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	Y						lipid biosynthetic process|fatty acid biosynthetic process	GO:0006633|GO:0008610			843	9,00E+00	1,04E+03	14,85	645,93		
ACCC_ECOLI	C6EGK4	P24182		A	F1?	This study	Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)	449	Y						lipid biosynthetic process|negative regulation of fatty acid biosynthetic process|fatty acid biosynthetic process	GO:0045717|GO:0006633|GO:0008610			1033	1,45E+01	1,37E+03	16,01	695		
ACEA_ECOLI	C6EE08	P0A9G6		A	F1?	This study	Isocitrate lyase	434	Y				(cytoplasm)		glyoxylate cycle|tricarboxylic acid cycle	GO:0006099|GO:0006097			1522			19,15	1522,03		
ACKA_ECOLI	C6ELF7	P0A6A3		A	F1?	This study	Acetate kinase (EC 2.7.2.1) (Acetokinase)	400	Y				(cytosol)		phosphorylation	GO:0016310			8159	5,17E+02	1,09E+04	14,51	5090,85	0,084861	8486,1
ADD_ECOLI	C6EDM4	P22333		A	F1?	This study	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	333	Y				(cytoplasm)		purine nucleotide salvage|purine ribonucleoside monophosphate biosynthetic process|hypoxanthine salvage|purine nucleotide interconversion|adenosine catabolic process|nucleotide metabolic process	GO:0015950|GO:0032261|GO:0043103|GO:0006154|GO:0009168|GO:0009117			241	9,95E-01	2,89E+02	4,27	192,93		
CISY_ECOLI	C6EJL8	P0ABH7		A	F1?	This study	Citrate synthase (EC 2.3.3.1)	427	Y				(cytosol)		tricarboxylic acid cycle|metabolic process	GO:0006099|GO:0008152			2180	1,44E+01	1,36E+03	24,12	1577,84	0,036019	3601,9
ARGB_ECOLI	C6EE50	P0A6C8		A	F1?	This study	Acetylglutamate kinase	258	Y				(cytoplasm)		cellular amino acid biosynthetic process|arginine biosynthetic process|phosphorylation	GO:0016310|GO:0008652|GO:0006526									
ARGE_ECOLI	C6EE52	P23908		A	F1?	This study	Acetylornithine deacetylase (EC 3.5.1.16) (Acetylornithine deacetylase (ArgE)) (EC 3.5.1.16)	383	Y						cellular amino acid biosynthetic process|arginine biosynthetic process	GO:0008652|GO:0006526			273			0,36	17,54	0,0052867	528,67
ARLY_ECOLI	C6EE49	P11447		A	F1?	This study	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	457	Y						cellular amino acid biosynthetic process|arginine biosynthetic process	GO:0008652|GO:0006526									
ASPA_ECOLI	C6ECY6	P0AC38		A	F1?	This study	Aspartate ammonia-lyase	478	Y				(cytosol)		lyase activity|aspartate ammonia-lyase activity	GO:0016829|GO:0008797			589	2,79E+00	5,26E+02	9	398	0,0084338	843,38
ASSY_ECOLI	C6EH54	P0A6E4		A	F1?	This study	Argininosuccinate synthase (EC 6.3.4.5)	447	Y				(cytoplasm)		cellular amino acid biosynthetic process|arginine biosynthetic process	GO:0008652|GO:0006526			711	2,90E+00	5,37E+02	0,65	31	0,015663	1566,3
CARB_ECOLI	C6EB19	P00968		A	F1?	This study	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1073	Y						cellular amino acid biosynthetic process|arginine biosynthetic process|pyrimidine nucleotide biosynthetic process	GO:0008652|GO:0006221|GO:0006526			1137	8,05E+00	9,72E+02	30,62	1302,81		
G3P1_ECOLI	C6EC50	P0A9B2		A	F1?	This study	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)	331	Y				(cytosol)		oxidation-reduction process|glycolysis	GO:0006096|GO:0055114			97347	5,82E+04	1,70E+05	109,07	20789,62	1,0125	101250
GCSP_ECOLI	C6EIK5	P33195		A	F1?	This study	Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase)	957	Y				(cytosol)		oxidation-reduction process	GO:0055114			1535	3,85E+00	6,33E+02	4,96	223,08	0,03748	3748
GLGA_ECOLI	C6EFE5	P0A6U8		A	F1?	This study	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	477	Y						glycogen biosynthetic process	GO:0005978			97	3,59E-01	1,60E+02	0,72	34,35		
GLMS_ECOLI	C6EG74	P17169		A	F1?	This study	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	609	Y				(cytosol)		glutamine metabolic process|UDP-N-acetylglucosamine biosynthetic process	GO:0006541|GO:0006048			1064	1,43E+01	1,36E+03	17,74	767,47		
GLTB_ECOLI	C6EH15	P09831		A	F1?	This study	Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)	1517	Y						oxidation-reduction process|cellular amino acid biosynthetic process|glutamine metabolic process|glutamate biosynthetic process	GO:0006541|GO:0008652|GO:0006537|GO:0055114			2571	4,91E+00	7,29E+02	0,31	15,17	0,06969	6969
GNSA_ECOLI	C6EHL6	P0AC92		A	F1?	This study	GnsAGnsB family protein (Predicted regulator of phosphatidylethanolamine synthesis)	57	Y										1040	9,00E+00	1,04E+03				
GPMA_ECOLI	C6EJI9	P62707		A	F1?	This study	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	250	Y				(cytoplasm)		glycolysis	GO:0006096			14871	8,37E+02	1,44E+04	9,86	253,16	0,29961	29961
GUAA_ECOLI	C6EKK2	P04079		A	F1?	This study	Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)	525	Y				(cytosol)		GMP biosynthetic process|glutamine metabolic process|purine nucleotide biosynthetic process	GO:0006541|GO:0006177|GO:0006164			6072	6,32E+01	3,22E+03	31,82	1352,28	0,13645	13645
