Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
P0AGJ9	SYY_ECOLI	C6EDK8	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	 	 	+ 	 
Q46855	YQHC_ECOLI	C6EHY4	A	"Predicted DNA-binding transcriptional regulator (Transcriptional regulator, AraC family)"	 	 	+ 	 
P0A9B6	E4PD_ECOLI	C6EII2	A	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	 	 	+ 	 
P17115	GUTQ_ECOLI	C6EJS3	A	KpsF/GutQ family protein (EC 5.3.1.13) (Predicted phosphosugar-binding protein)	 	 	+ 	 
P77187	YAHF_ECOLI	C6ELR0	A	FdrA family protein (Predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain)	 	 	 	+ 
P25437	FRMA_ECOLI	C6ELM4	A	Alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase (S-(Hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase)	 	 	 	+ 
P77488	DXS_ECOLI	C6ELG4	A	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase)	 	 	 	+ 
P0A959	YFBQ_ECOLI	C6ELG3	A	Aminotransferase class I and II (Aspartate aminotransferase)	 	 	 	+ 
P22939	ISPA_ECOLI	C6EL48	A	Geranyltranstransferase (EC 2.5.1.1) (EC 2.5.1.10) (Polyprenyl synthetase)	 	 	 	+ 
P0A6G7	CLPP_ECOLI	C6EL28	A	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	 	 	 	+ 
P0A7D7	PUR7_ECOLI	C6EKN5	A	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	 	 	 	+ 
P08178	PUR5_ECOLI	C6EKL2	A	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	 	 	 	+ 
P04079	GUAA_ECOLI	C6EKK2	A	"Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)"	 	 	 	+ 
P0A6P5	ENGA_ECOLI	C6EKJ8	A	GTP-binding protein engA	 	 	 	+ 
P0A6Z1	HSCA_ECOLI	C6EKI1	A	Chaperone protein hscA (Hsc66)	 	 	 	+ 
P0AE01	TRMJ_ECOLI	C6EKH5	A	"Predicted methyltransferase (RNA methyltransferase, TrmH family, group 1)"	 	 	 	+ 
P0ADG4	SUHB_ECOLI	C6EKH4	A	Inositol monophosphatase	 	 	 	+ 
P15254	PUR4_ECOLI	C6EKF0	A	Phosphoribosylformylglycinamidine synthase (EC 6.3.5.3)	 	 	 	+ 
P38489	NFNB_ECOLI	C6EKC3	A	"6,7-dihydropteridine reductase (EC 1.5.1.34) (Dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive)"	 	 	 	+ 
P60716	LIPA_ECOLI	C6EK65	A	Lipoic acid synthetase (EC 2.8.1.8) (Lipoyl synthase)	 	 	 	+ 
P07813	SYL_ECOLI	C6EK51	A	Leucyl-tRNA synthetase (EC 6.1.1.4) (Leucine--tRNA ligase)	 	 	 	+ 
P0A7Y0	RNC_ECOLI	C6EK20	A	Ribonuclease III (EC 3.1.26.3)	 	 	 	+ 
P63284	CLPB_ECOLI	C6EJZ8	A	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	 	 	 	+ 
P0A7X6	RIMM_ECOLI	C6EJY4	A	Ribosome maturation factor rimM	 	 	 	+ 
P22106	ASNB_ECOLI	C6EJR1	A	Asparagine synthase (Glutamine-hydrolyzing) (Asparagine synthetase B) (EC 6.3.5.4)	 	 	 	+ 
P0AF24	NAGD_ECOLI	C6EJR0	A	"HAD-superfamily hydrolase, subfamily IIA (UMP phosphatase)"	 	 	 	+ 
P00962	SYQ_ECOLI	C6EJQ4	A	Glutaminyl-tRNA synthetase (EC 6.1.1.18) (Glutamine--tRNA ligase)	 	 	 	+ 
Q57261	TRUD_ECOLI	C6EJC2	A	tRNA pseudouridine synthase D (EC 5.4.99.-) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D)	 	 	 	+ 
P17846	CYSI_ECOLI	C6EJA9	A	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	 	 	 	+ 
P38038	CYSJ_ECOLI	C6EJA8	A	"Sulfite reductase (NADPH) flavoprotein, alpha chain (Sulfite reductase, alpha subunit, flavoprotein) (EC 1.8.1.2)"	 	 	 	+ 
P64554	YGCF_ECOLI	C6EJ96	A	Putative uncharacterized protein (Putative uncharacterized protein ygcF)	 	 	 	+ 
P30744	SDHM_ECOLI	C6EJ74	A	L-serine deaminase II (EC 4.3.1.17) (L-serine dehydratase 1) (EC 4.3.1.17)	 	 	 	+ 
P0A6C5	ARGA_ECOLI	C6EJ51	A	Amino-acid N-acetyltransferase (N-acetylglutamate synthase) (EC 2.3.1.1)	 	 	 	+ 
P03024	GALR_ECOLI	C6EJ31	A	"DNA-binding transcriptional repressor (Transcriptional regulator, LacI family)"	 	 	 	+ 
P0A8F8	UVRB_ECOLI	C6EJ03	A	UvrABC system protein B (Protein uvrB) (Excinuclease ABC subunit B)	 	 	 	+ 
P30178	YBIC_ECOLI	C6EIY1	A	Malate/L-lactate dehydrogenase (Predicted dehydrogenase)	 	 	 	+ 
P0AEI4	RIMO_ECOLI	C6EIU8	A	MiaB-like tRNA modifying enzyme YliG (Predicted SAM-dependent methyltransferase)	 	 	 	+ 
P0A8N3	SYK1_ECOLI	C6EIL8	A	Lysyl-tRNA synthetase (EC 6.1.1.6)	 	 	 	+ 
P21169	DCOR_ECOLI	C6EIE4	A	Ornithine decarboxylase (EC 4.1.1.17)	 	 	 	+ 
P75821	YBJS_ECOLI	C6EIB3	A	NAD-dependent epimerase/dehydratase	 	 	 	+ 
P0A6Y1	IHFB_ECOLI	C6EI70	A	Integration host factor subunit beta (IHF-beta)	 	 	 	+ 
P20083	PARE_ECOLI	C6EHW3	A	"DNA topoisomerase IV subunit B (EC 5.99.1.-) (DNA topoisomerase IV, B subunit) (EC 5.99.1.3)"	 	 	 	+ 
P30870	GLNE_ECOLI	C6EHU2	A	(Glutamate--ammonia-ligase) adenylyltransferase (EC 2.7.7.42) (Fused deadenylyltransferase/adenylyltransferase for glutamine synthetase) (EC 2.7.7.42)	 	 	 	+ 
P0A7N4	RL32_ECOLI	C6EHC5	A	50S ribosomal protein L32	 	 	 	+ 
P67087	RSMI_ECOLI	C6EH79	A	Predicted methyltransferase (Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase)	 	 	 	+ 
P0ADZ4	RS15_ECOLI	C6EH60	A	30S ribosomal protein S15	 	 	 	+ 
P0AFF6	NUSA_ECOLI	C6EH56	A	NusA antitermination factor (Transcription elongation factor NusA)	 	 	 	+ 
P0C0R7	RLME_ECOLI	C6EH48	A	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) (23S rRNA Um2252 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	 	 	 	+ 
P42641	OBG_ECOLI	C6EH44	A	GTPase obg (GTP-binding protein obg)	 	 	 	+ 
P0A749	MURA_ECOLI	C6EH38	A	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase)	 	 	 	+ 
P09831	GLTB_ECOLI	C6EH15	A	"Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)"	 	 	 	+ 
P09832	GLTD_ECOLI	C6EH14	A	"Glutamate synthase, 4Fe-4S protein, small subunit (EC 1.4.1.13) (Glutamate synthase, small subunit)"	 	 	 	+ 
P30958	MFD_ECOLI	C6EGX8	A	Transcription-repair coupling factor	 	 	 	+ 
P0A6X1	HEM1_ECOLI	C6EGQ6	A	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	 	 	 	+ 
P0A715	KDSA_ECOLI	C6EGQ1	A	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	 	 	 	+ 
P0A7Q6	RL36_ECOLI	C6EGG7	A	50S ribosomal protein L36	 	 	 	+ 
P0A7U3	RS19_ECOLI	C6EGF0	A	30S ribosomal protein S19	 	 	 	+ 
P45524	YHET_ECOLI	C6EGB0	A	Alpha/beta hydrolase fold protein (Predicted hydrolase)	 	 	 	+ 
P00963	ASNA_ECOLI	C6EG59	A	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	 	 	 	+ 
P31473	RAVA_ECOLI	C6EG57	A	ATPase associated with various cellular activities AAA_5 (Fused predicted transcriptional regulator: sigma54 activator protein/conserved protein)	 	 	 	+ 
P05793	ILVC_ECOLI	C6EG37	A	Ketol-acid reductoisomerase (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (Alpha-keto-beta-hydroxylacil reductoisomerase)	 	 	 	+ 
P27830	RMLB2_ECOLI	C6EG24	A	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"	 	 	 	+ 
P27833	RFFA_ECOLI	C6EG21	A	TDP-4-keto-6-deoxy-D-glucose transaminase (TDP-4-oxo-6-deoxy-D-glucose transaminase)	 	 	 	+ 
P08244	PYRF_ECOLI	C6EFV3	A	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	 	 	 	+ 
P76034	YCIT_ECOLI	C6EFV0	A	"Predicted DNA-binding transcriptional regulator (Transcriptional regulator, DeoR family)"	 	 	 	+ 
P00954	SYW_ECOLI	C6EFJ2	A	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	 	 	 	+ 
P46837	YHGF_ECOLI	C6EFG7	A	RNA binding S1 domain protein	 	 	 	+ 
P00490	PHSM_ECOLI	C6EFF7	A	Phosphorylase (EC 2.4.1.1)	 	 	 	+ 
P0AC86	PHSG_ECOLI	C6EFE6	A	Phosphorylase (EC 2.4.1.1)	 	 	 	+ 
P0ACP5	GNTR_ECOLI	C6EFD7	A	"Transcriptional regulator, LacI family"	 	 	 	+ 
P00582	DPO1_ECOLI	C6EF39	A	DNA polymerase I (EC 2.7.7.7)	 	 	 	+ 
P0A6P7	ENGB_ECOLI	C6EF37	A	GTP-binding protein HSR1-related	 	 	 	+ 
P0A9C9	GLPX_ECOLI	C6EEX3	A	"Fructose-1,6-bisphosphatase, class II (EC 3.1.3.11)"	 	 	 	+ 
P0A8R0	RRAA_ECOLI	C6EEW9	A	Regulator of ribonuclease activity A	 	 	 	+ 
P52647	NIFJ_ECOLI	C6EEW7	A	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	 	 	 	+ 
P76104	YDCP_ECOLI	C6EES8	A	Peptidase U32 (Predicted peptidase)	 	 	 	+ 
P26616	MAO1_ECOLI	C6EEN8	A	"Malate dehydrogenase (Oxaloacetate-decarboxylating) (EC 1.1.1.38) (Malate dehydrogenase, (Decarboxylating, NAD-requiring) (Malic enzyme)) (EC 1.1.1.38)"	 	 	 	+ 
P00961	SYGB_ECOLI	C6EEC0	A	Glycyl-tRNA synthetase beta subunit (EC 6.1.1.14) (Glycine--tRNA ligase beta subunit)	 	 	 	+ 
P00960	SYGA_ECOLI	C6EEB9	A	Glycyl-tRNA synthetase alpha subunit (EC 6.1.1.14) (Glycine--tRNA ligase alpha subunit)	 	 	 	+ 
P0ACN7	CYTR_ECOLI	C6EE75	A	"DNA-binding transcriptional dual regulator (Transcriptional regulator, LacI family)"	 	 	 	+ 
P00864	CAPP_ECOLI	C6EE53	A	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	 	 	 	+ 
P11446	ARGC_ECOLI	C6EE51	A	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase)	 	 	 	+ 
P0A6C8	ARGB_ECOLI	C6EE50	A	Acetylglutamate kinase	 	 	 	+ 
P0ACU5	FABR_ECOLI	C6EE46	A	"DNA-binding transcriptional repressor (Transcriptional regulator, TetR family)"	 	 	 	+ 
P22634	MURI_ECOLI	C6EE43	A	Glutamate racemase (EC 5.1.1.3)	 	 	 	+ 
P0AFG0	NUSG_ECOLI	C6EE37	A	Transcription antitermination protein nusG	 	 	 	+ 
P29680	DCUP_ECOLI	C6EE21	A	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	 	 	 	+ 
P39831	YDFG_ECOLI	C6EDU7	A	"L-allo-threonine dehydrogenase, NAD(P)-binding (Short-chain dehydrogenase/reductase SDR)"	 	 	 	+ 
P0AFI7	PDXH_ECOLI	C6EDK7	A	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (Pyridoxal 5'-phosphate synthase)	 	 	 	+ 
P0A6S7	GPDA_ECOLI	C6EDI1	A	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	 	 	 	+ 
P67910	HLDD_ECOLI	C6EDH1	A	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase)	 	 	 	+ 
P27128	RFAI_ECOLI	C6EDG2	A	"Lipopolysaccharide 3-alpha-galactosyltransferase (EC 2.4.1.44) (UDP-glucose:(Glucosyl) LPS alpha1,3-glucosyltransferase WaaO)"	 	 	 	+ 
P25740	RFAG_ECOLI	C6EDG0	A	Glucosyltransferase I (Glycosyl transferase group 1)	 	 	 	+ 
P0A7N9	RL33_ECOLI	C6EDF5	A	50S ribosomal protein L33	 	 	 	+ 
P0AG24	SPOT_ECOLI	C6EDE0	A	"(P)ppGpp synthetase I, SpoT/RelA (EC 3.1.7.2) (Bifunctional (P)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase) (EC 2.7.6.5) (EC 3.1.7.2)"	 	 	 	+ 
P0A8Y5	YIDA_ECOLI	C6ED73	A	Cof-like hydrolase (Predicted hydrolase)	 	 	 	+ 
P16684	PHNF_ECOLI	C6ED21	A	"Phophonate C-P lyase system transcriptional regulator PhnF, GntR family (Predicted DNA-binding transcriptional regulator of phosphonate uptake and biodegradation)"	 	 	 	+ 
P30843	BASR_ECOLI	C6ED11	A	"DNA-binding response regulator in two-component regulatory system with BasS (Two component transcriptional regulator, winged helix family)"	 	 	 	+ 
P39280	YJEK_ECOLI	C6ECX9	A	"Lysine 2,3-aminomutase YodO family protein (EC 5.4.3.2) (Predicted lysine aminomutase)"	 	 	 	+ 
P0A7Q1	RL35_ECOLI	C6ECP0	A	50S ribosomal protein L35	 	 	 	+ 
P0A707	IF3_ECOLI	C6ECN9	A	Translation initiation factor IF-3	 	 	 	+ 
P0A8M3	SYT_ECOLI	C6ECN8	A	Threonyl-tRNA synthetase (EC 6.1.1.3) (Threonine--tRNA ligase)	 	 	 	+ 
P16456	SELD_ECOLI	C6ECJ3	A	"Selenide, water dikinase (Selenophosphate synthetase) (EC 2.7.9.3)"	 	 	 	+ 
P25519	HFLX_ECOLI	C6ECH6	A	GTP-binding proten HflX (Predicted GTPase)	 	 	 	+ 
P21499	RNR_ECOLI	C6ECH0	A	"Exoribonuclease R, RNase R (EC 3.1.-.-) (VacB and RNase II family 3'-5' exoribonuclease) (EC 3.1.13.1)"	 	 	 	+ 
P63177	RLMB_ECOLI	C6ECG9	A	"23S rRNA (Gm2251)-methyltransferase (EC 2.1.1.-) (RNA methyltransferase, TrmH family, group 3)"	 	 	 	+ 
P0A993	F16PA_ECOLI	C6ECB7	A	"Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)"	 	 	 	+ 
P28904	TREC_ECOLI	C6ECA9	A	"Alpha,alpha-phosphotrehalase (Trehalose-6-P hydrolase) (EC 3.2.1.93)"	 	 	 	+ 
P68767	AMPA_ECOLI	C6EC91	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	 	 	 	+ 
P76256	YEAZ_ECOLI	C6EC24	A	Predicted peptidase (Putative uncharacterized protein)	 	 	 	+ 
P21599	KPYK2_ECOLI	C6EBX3	A	Pyruvate kinase (EC 2.7.1.40)	 	 	 	+ 
P08956	T1RK_ECOLI	C6EBN0	A	Endonuclease R (EC 3.1.21.3) (Type I site-specific deoxyribonuclease) (EC 3.1.21.3)	 	 	 	+ 
P39406	RSMC_ECOLI	C6EBK1	A	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	 	 	 	+ 
P0A7I4	RF3_ECOLI	C6EBJ7	A	Peptide chain release factor 3 (RF-3)	 	 	 	+ 
P0A9Q1	ARCA_ECOLI	C6EBH0	A	"DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)"	 	 	 	+ 
P0A8I3	YAAA_ECOLI	C6EBG3	A	UPF0246 protein yaaA	 	 	 	+ 
P77690	ARNB_ECOLI	C6EB46	A	"DegT/DnrJ/EryC1/StrS aminotransferase (VioA, involved in dTDP-N-acetylviosamine synthesis)"	 	 	 	+ 
P06992	RSMA_ECOLI	C6EB02	A	"Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.-) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)"	 	 	 	+ 
P60240	RAPA_ECOLI	C6EAZ6	A	ATP-dependent helicase HepA (SNF2-related protein)	 	 	 	+ 
P0A8F4	URK_ECOLI	C6EAP1	A	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	 	 	 	+ 
P36928	YEGD_ECOLI	C6EAN8	A	Predicted chaperone (Uncharacterized chaperone protein YegD)	 	 	 	+ 
P0AF08	MRP_ECOLI	C6EAJ8	A	Antiporter inner membrane protein (Mrp protein)	 	 	 	+ 
P37024	HRPB_ECOLI	C6EAD6	A	ATP-dependent helicase HrpB (Predicted ATP-dependent helicase)	 	 	 	+ 
P27249	GLND_ECOLI	C6EAB8	A	[Protein-PII] uridylyltransferase (PII uridylyl-transferase) (EC 2.7.7.59) (UTase) (Uridylyl-removing enzyme)	 	 	 	+ 
P10443	DPO3A_ECOLI	C6EAA1	A	"DNA polymerase III subunit alpha (EC 2.7.7.7) (DNA polymerase III, alpha subunit)"	 	 	 	+ 
P16659	SYP_ECOLI	C6EA90	A	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	 	 	 	+ 
P68919	RL25_ECOLI	C6EA12	A	50S ribosomal protein L25	 	 	 	+ 
P33920	NDPA_ECOLI	C6EA11	A	Nucleoid-associated protein YejK	 	 	 	+ 
P0AES4	GYRA_ECOLI	C6E9X0	A	"DNA gyrase subunit A (EC 5.99.1.3) (DNA gyrase, A subunit) (EC 5.99.1.3)"	 	 	 	+ 
P0AFC3	NUOA_ECOLI	C6E9R4	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	+ 	+ 	+ 	+ 
P0AFD4	NUOH_ECOLI	C6E9S0	B	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	+ 	+ 	+ 	+ 
P0AFE0	NUOJ_ECOLI	C6E9S2	B	NADH dehydrogenase (Quinone) (EC 1.6.99.5) (NADH dehydrogenase subunit J) (EC 1.6.5.3)	+ 	+ 	+ 	+ 
P0AFE4	NUOK_ECOLI	C6E9S3	B	NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	+ 	+ 	+ 	+ 
P76473	ARNT_ECOLI	C6E9U3	B	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	+ 	+ 	+ 	+ 
P77757	ARNC_ECOLI	C6E9U6	B	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.7.8.n1) (Undecaprenyl-phosphate Ara4FN transferase)	+ 	+ 	+ 	+ 
P14376	RCSC_ECOLI	C6E9Y2	B	Histidine kinase	+ 	+ 	+ 	+ 
P20966	PTFBC_ECOLI	C6EA31	B	"Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)"	+ 	+ 	+ 	+ 
Q47146	FADE_ECOLI	C6EA67	B	Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	+ 	+ 	+ 	+ 
P0AEH1	RSEP_ECOLI	C6EAA9	B	Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	+ 	+ 	+ 	+ 
P02919	PBPB_ECOLI	C6EAD5	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	+ 	+ 	+ 	+ 
P0ABF1	PCNB_ECOLI	C6EAE1	B	Poly(A) polymerase (EC 2.7.7.19)	+ 	+ 	+ 	+ 
P28249	ASMA_ECOLI	C6EAP3	B	AsmA family protein (Predicted assembly protein)	+ 	+ 	+ 	+ 
P0AE14	AMPE_ECOLI	C6EAU6	B	"Predicted inner membrane protein (Signaling modulator of AmpD, AmpE)"	+ 	+ 	+ 	+ 
P0A6W3	MRAY_ECOLI	C6EAW8	B	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	+ 	+ 	+ 	+ 
P0AD68	FTSI_ECOLI	C6EAX1	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	+ 	+ 	+ 	+ 
P31680	DJLA_ECOLI	C6EAZ8	B	Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	+ 	+ 	+ 	+ 
P76372	WZZB_ECOLI	C6EB58	B	Lipopolysaccharide biosynthesis protein	+ 	+ 	+ 	+ 
P39396	YJIY_ECOLI	C6EBM6	B	Carbon starvation protein CstA (Predicted inner membrane protein)	+ 	+ 	+ 	+ 
P33218	YEBE_ECOLI	C6EBY3	B	Putative uncharacterized protein (Putative uncharacterized protein yebE)	+ 	+ 	+ 	+ 
P69805	PTND_ECOLI	C6EC11	B	"PTS system, mannose/fructose/sorbose family, IID subunit"	+ 	+ 	+ 	+ 
P0AEC0	YOAE_ECOLI	C6EC15	B	Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	+ 	+ 	+ 	+ 
P0ADC6	LPTG_ECOLI	C6EC89	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	+ 	+ 	+ 	+ 
P0AF98	LPTF_ECOLI	C6EC90	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	+ 	+ 	+ 	+ 
P0ABB8	ATMA_ECOLI	C6ECA6	B	Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	+ 	+ 	+ 	+ 
P36672	PTTBC_ECOLI	C6ECA8	B	"Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component (PTS system, trehalose-specific IIBC subunit)"	+ 	+ 	+ 	+ 
P0AE45	YTFL_ECOLI	C6ECC7	B	Predicted inner membrane protein (Putative uncharacterized protein)	+ 	+ 	+ 	+ 
P0AAE0	CYCA_ECOLI	C6ECD6	B	Amino acid permease-associated region (D-alanine/D-serine/glycine transporter)	+ 	+ 	+ 	+ 
P0ABC7	HFLK_ECOLI	C6ECH5	B	HflK protein (Modulator for HflB protease specific for phage lambda cII repressor)	+ 	+ 	+ 	+ 
P08395	SPPA_ECOLI	C6ECJ1	B	"Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)"	+ 	+ 	+ 	+ 
P77529	YDJN_ECOLI	C6ECM9	B	Predicted transporter (Sodium:dicarboxylate symporter)	+ 	+ 	+ 	+ 
P39285	YJEP_ECOLI	C6ECW6	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	+ 	+ 	+ 	+ 
P0ABN5	DCUA_ECOLI	C6ECY7	B	"Anaerobic c4-dicarboxylate antiporter, Dcu family (C4-dicarboxylate antiporter)"	+ 	+ 	+ 	+ 
P30845	EPTA_ECOLI	C6ED10	B	Predicted metal dependent hydrolase (Sulfatase)	+ 	+ 	+ 	+ 
P0C0L7	PROP_ECOLI	C6ED13	B	"Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)"	+ 	+ 	+ 	+ 
P21345	GLTP_ECOLI	C6ED48	B	Glutamate/aspartate:proton symporter (Sodium:dicarboxylate symporter)	+ 	+ 	+ 	+ 
P0AF52	YJCD_ECOLI	C6ED60	B	Predicted permease (Xanthine/uracil/vitamin C permease)	+ 	+ 	+ 	+ 
P31433	YICH_ECOLI	C6EDD4	B	AsmA family protein (Putative uncharacterized protein yicH)	+ 	+ 	+ 	+ 
P0AC75	KDTA_ECOLI	C6EDF8	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	+ 	+ 	+ 	+ 
P0AG27	YIBN_ECOLI	C6EDH8	B	Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	+ 	+ 	+ 	+ 
P33232	LLDD_ECOLI	C6EDI4	B	"FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase, FMN-linked) (EC 1.1.2.3)"	+ 	+ 	+ 	+ 
P07001	PNTA_ECOLI	C6EDP5	B	"NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)"	+ 	+ 	+ 	+ 
P0AB67	PNTB_ECOLI	C6EDP6	B	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	+ 	+ 	+ 	+ 
P0ABN1	KDGL_ECOLI	C6EDX8	B	Diacylglycerol kinase (EC 2.7.1.107)	+ 	+ 	+ 	+ 
P0AG96	SECE_ECOLI	C6EE38	B	"Preprotein translocase, SecE subunit (Translocase)"	+ 	+ 	+ 	+ 
P0CB39	CPTA_ECOLI	C6EE54	B	Conserved inner membrane protein (Sulfatase)	+ 	+ 	+ 	+ 
P29131	FTSN_ECOLI	C6EE76	B	Cell division protein FtsN (Essential cell division protein)	+ 	+ 	+ 	+ 
P37642	YHJD_ECOLI	C6EEG1	B	Conserved inner membrane protein (Ribonuclease)	+ 	+ 	+ 	+ 
P0AFJ7	PITA_ECOLI	C6EEJ2	B	"Phosphate transporter (Phosphate transporter, low-affinity)"	+ 	+ 	+ 	+ 
P37626	YHII_ECOLI	C6EEJ7	B	Predicted HlyD family secretion protein (Secretion protein HlyD family protein)	+ 	+ 	+ 	+ 
P06282	CDH_ECOLI	C6EEY0	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	+ 	+ 	+ 	+ 
