GO:0004416	P05100	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED
GO:0005886	P0A9V1	LPTB_ECOLI	C6EH26	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	241	Y	
GO:0000300	P61889	MDH_ECOLI	C6EGZ6	F1	Malate dehydrogenase (EC 1.1.1.37)	312	Y	
GO:0008137	P0AFC7	NUOB_ECOLI	C6E9R5	F1	NADH-quinone oxidoreductase subunit B (EC 1.6.99.5) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	220	Y	
GO:0004742	P06959	ODP2_ECOLI	C6EAU2	F1	Dihydrolipoamide acetyltransferase (EC 2.3.1.12) (Pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase) (EC 2.3.1.12)	630	Y	
GO:0003677	P0AFI2	PARC_ECOLI	C6EHX4	F1	DNA topoisomerase IV subunit A (EC 5.99.1.-) (DNA topoisomerase IV, A subunit) (EC 5.99.1.3)	752	Y	
GO:0003723	P05055	PNP_ECOLI	C6EH61	F1	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	711	Y	
GO:0000166	P0A7B1	PPK_ECOLI	C6EKL0	F1	Polyphosphate kinase (EC 2.7.4.1)	688	Y	
GO:0009408	P0AFM6	PSPA_ECOLI	C6EFS8	F1	Phage shock protein A, PspA (Regulatory protein for phage-shock-protein operon)	222	Y	
GO:0005737	P69797	PTNAB_ECOLI	C6EC13	F1	Fused mannose-specific PTS enzymes: IIA component/IIB component (EC 2.7.1.69) (PTS system, mannose/fructose/sorbose family, IIA subunit) (EC 2.7.1.69)	323	Y	
GO:0016987	P0AGB6	RPOE_ECOLI	C6EK14	F1	RNA polymerase sigma factor	191	Y	
GO:0006605	P0AG86	SECB_ECOLI	C6EDI0	F1	Protein-export protein secB	155	Y	
GO:0003677	P0AFY8	SEQA_ECOLI	C6EJP7	F1	Regulatory protein for replication initiation (SeqA family protein)	181	Y	
GO:0006099	P33940	MQO_ECOLI	C6E9Y9	F1	Probable malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	548	Y	
GO:0004742	P0AFG8	ODP1_ECOLI	C6EAU3	F1	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	887	Y	
GO:0005886	P31224	ACRB_ECOLI	C6EL02	B	Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1049	Y	Y
GO:0016020	P77757	ARNC_ECOLI	C6E9U6	B	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.7.8.n1) (Undecaprenyl-phosphate Ara4FN transferase)	322	Y	Y
GO:0000166	P0ABB8	ATMA_ECOLI	C6ECA6	B	Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	898	Y	Y
GO:0015986	P0ABA0	ATPF_ECOLI	C6EG67	B	ATP synthase subunit b	156	Y	Y
GO:0010312	P37617	ATZN_ECOLI	C6EFA5	B	Heavy metal translocating P-type ATPase	732	Y	Y
GO:0005886	P0ABI4	CORA_ECOLI	C6EFZ7	B	Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	316	Y	Y
GO:0005886	P0CB39	CPTA_ECOLI	C6EE54	B	Conserved inner membrane protein (Sulfatase)	577	Y	Y
GO:0000155	P0AE82	CPXA_ECOLI	C6EEY6	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	457	Y	Y
GO:0005886	P0AAE0	CYCA_ECOLI	C6ECD6	B	Amino acid permease-associated region (D-alanine/D-serine/glycine transporter)	470	Y	Y
GO:0009055	P0ABJ9	CYDA_ECOLI	C6EJK5	B	Cytochrome bd ubiquinol oxidase subunit I (Cytochrome d terminal oxidase, subunit I) (EC 1.9.3.-)	522	Y	Y
GO:0000166	P23886	CYDC_ECOLI	C6EI96	B	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	573	Y	Y
GO:0000166	P29018	CYDD_ECOLI	C6EI95	B	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	588	Y	Y
GO:0005887	P0ABJ1	CYOA_ECOLI	C6EL34	B	Cytochrome o ubiquinol oxidase subunit II (EC 1.10.3.-) (Ubiquinol oxidase, subunit II)	315	Y	Y
GO:0005507	P0ABI8	CYOB_ECOLI	C6EL35	B	Cytochrome o ubiquinol oxidase subunit I (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit I) (EC 1.9.3.1)	663	Y	Y
GO:0000910	P11557	DAMX_ECOLI	C6EFI8	B	Putative uncharacterized protein damX (Sporulation domain protein)	428	Y	Y
GO:0005886	P30845	EPTA_ECOLI	C6ED10	B	Predicted metal dependent hydrolase (Sulfatase)	547	Y	Y
GO:0006629	Q47146	FADE_ECOLI	C6EA67	B	Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	814	Y	Y
GO:0006508	P0AAI3	FTSH_ECOLI	C6EH49	B	ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	647	Y	Y
GO:0000910	P0AC30	FTSX_ECOLI	C6EFB2	B	Predicted transporter subunit: membrane component of ABC superfamily (Protein insertion ABC transporter, inner membrane subunit FtsX)	352	Y	Y
GO:0004851	P09127	HEMX_ECOLI	C6EG12	B	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	401	Y	Y
GO:0005886	P0ACB7	HEMY_ECOLI	C6EG13	B	HemY protein (Predicted protoheme IX synthesis protein)	398	Y	Y
GO:0009408	P0ABC7	HFLK_ECOLI	C6ECH5	B	HflK protein (Modulator for HflB protease specific for phage lambda cII repressor)	419	Y	Y
GO:0009245	P0ACV0	HTRB_ECOLI	C6EHF9	B	Lipid A biosynthesis lauroyl (Or palmitoleoyl) acyltransferase (Lipid A biosynthesis lauroyl acyltransferase) (EC 2.3.1.-)	306	Y	Y
GO:0005886	P45800	IGAA_ECOLI	C6EFH7	B	Intracellular growth attenuator IgaA	707	Y	Y
GO:0004143	P0ABN1	KDGL_ECOLI	C6EDX8	B	Diacylglycerol kinase (EC 2.7.1.107)	122	Y	Y
GO:0000160	P21865	KDPD_ECOLI	C6EJN9	B	Osmosensitive K channel His kinase sensor	894	Y	Y
GO:0005886	P00803	LEP_ECOLI	C6EK19	B	Signal peptidase I (EC 3.4.21.89)	324	Y	Y
GO:0004457	P33232	LLDD_ECOLI	C6EDI4	B	FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase, FMN-linked) (EC 1.1.2.3)	396	Y	Y
GO:0001950	P75958	LOLE_ECOLI	C6EGX4	B	Lipoprotein releasing system, transmembrane protein LolE	412	Y	Y
GO:0015920	P0ADC6	LPTG_ECOLI	C6EC89	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	360	Y	Y
GO:0005319	P60752	MSBA_ECOLI	C6EI68	B	Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (Lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA)	582	Y	Y
GO:0008381	P0A742	MSCL_ECOLI	C6EGH6	B	Large-conductance mechanosensitive channel	136	Y	Y
GO:0008381	P0C0S1	MSCS_ECOLI	C6EII5	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	286	Y	Y
GO:0008137	P0AFC3	NUOA_ECOLI	C6E9R4	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	147	Y	Y
GO:0005887	P0AFE4	NUOK_ECOLI	C6E9S3	B	NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	100	Y	Y
GO:0005887	P62517	OPGH_ECOLI	C6EHG3	B	Glycosyl transferase family 2	837	Y	Y
GO:0016021	P25714	OXAA_ECOLI	C6EG98	B	Inner membrane protein oxaA	548	Y	Y
GO:0008658	P02918	PBPA_ECOLI	C6EFI0	B	Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	850	Y	Y
GO:0005886	P07001	PNTA_ECOLI	C6EDP5	B	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)	510	Y	Y
GO:0005886	P0AB67	PNTB_ECOLI	C6EDP6	B	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	462	Y	Y
GO:0003755	P0ADY1	PPID_ECOLI	C6EL22	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	Y	Y
GO:0006810	P0C0L7	PROP_ECOLI	C6ED13	B	Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)	500	Y	Y
GO:0005886	P69786	PTGCB_ECOLI	C6EGZ1	B	Fused glucose-specific PTS enzymes: IIB component/IIC component (EC 2.7.1.69) (PTS system, glucose-specific IIBC subunit) (EC 2.7.1.69)	477	Y	Y
GO:0005886	P69831	PTKC_ECOLI	C6EAL8	B	Galactitol-specific enzyme IIC component of PTS (PTS system, galactitol-specific IIC subunit)	451	Y	Y
GO:0005886	P00550	PTM3C_ECOLI	C6EDJ3	B	Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components (PTS system, mannitol-specific IIC subunit)	637	Y	Y
GO:0005886	P36672	PTTBC_ECOLI	C6ECA8	B	Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component (PTS system, trehalose-specific IIBC subunit)	473	Y	Y
GO:0008360	P27434	RODZ_ECOLI	C6EKJ3	B	Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)	337	Y	Y
GO:0005887	P0AEH1	RSEP_ECOLI	C6EAA9	B	Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	450	Y	Y
GO:0015031	P0AG90	SECD_ECOLI	C6ELH6	B	Protein-export membrane protein SecD	604	Y	Y
GO:0005886	P0AG93	SECF_ECOLI	C6ELH5	B	Protein export protein SecF (Protein-export membrane protein SecF)	323	Y	Y
GO:0005886	P0AG99	SECG_ECOLI	C6EH52	B	Preprotein translocase, SecG subunit (Protein-export membrane protein)	110	Y	Y
GO:0005886	P0AGA2	SECY_ECOLI	C6EGG6	B	Preprotein translocase subunit secY	443	Y	Y
GO:0005886	P0AGC7	SMP_ECOLI	C6EBI4	B	Putative uncharacterized protein (Putative uncharacterized protein smp)	214	Y	Y
GO:0009977	P69428	TATA_ECOLI	C6EF60	B	Twin arginate translocase protein A (Twin-arginine translocation protein, TatA/E family subunit)	89	Y	Y
GO:0009977	P69425	TATB_ECOLI	C6EF59	B	Sec-independent translocase (Twin-arginine translocation protein, TatB subunit)	171	Y	Y
GO:0005886	P0ABU9	TOLQ_ECOLI	C6EJK0	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolQ)	230	Y	Y
GO:0005886	P76372	WZZB_ECOLI	C6EB58	B	Lipopolysaccharide biosynthesis protein	326	Y	Y
GO:0005886	P0ADZ7	YAJC_ECOLI	C6ELH7	B	Preprotein translocase subunit YajC (Preprotein translocase, YajC subunit)	110	Y	Y
GO:0005886	P39830	YBAL_ECOLI	C6EKY6	B	Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	558	Y	Y
GO:0006879	P75777	YBHG_ECOLI	C6EIY7	B	Secretion protein HlyD family protein	331	Y	Y
GO:0005886	P0A8R7	YCJF_ECOLI	C6EFR0	B	UPF0283 membrane protein ycjF	353	Y	Y
GO:0005886	P77529	YDJN_ECOLI	C6ECM9	B	Predicted transporter (Sodium:dicarboxylate symporter)	463	Y	Y
GO:0005886	P64499	YEBO_ECOLI	C6EC05	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	95	Y	Y
GO:0016020	P76576	YFGM_ECOLI	C6EKJ6	B	Putative uncharacterized protein (Putative uncharacterized protein yfgM)	206	Y	Y
GO:0016020	P0ADT8	YGIM_ECOLI	C6EHU0	B	Predicted signal transduction protein (SH3 domain) (SH3 domain protein)	206	Y	Y
GO:0005886	P0ADW3	YHCB_ECOLI	C6EGZ9	B	Putative uncharacterized protein (Putative uncharacterized protein yhcB)	132	Y	Y
GO:0005886	P0AF43	YJBB_ECOLI	C6EE04	B	Predicted transporter (Sodium-dependent inorganic phosphate (Pi) transporter)	543	Y	Y
GO:0005886	P39396	YJIY_ECOLI	C6EBM6	B	Carbon starvation protein CstA (Predicted inner membrane protein)	716	Y	Y
GO:0005886	P0AE45	YTFL_ECOLI	C6ECC7	B	Predicted inner membrane protein (Putative uncharacterized protein)	447	Y	Y
GO:0000917	P77173	ZIPA_ECOLI	C6EL66	B	Cell division protein zipA	328	Y	Y
GO:0005886	P64423	ZNTB_ECOLI	C6EFP1	B	Mg2 transporter protein CorA family protein (Zinc transporter)	327	Y	Y
GO:0006631	P31119	AAS_ECOLI	C6EJ32	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	719		Y
GO:0005886	P24177	ACRD_ECOLI	C6EKP2	B	Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1037		Y
GO:0005886	P32705	ACTP_ECOLI	C6ED58	B	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	549		Y
GO:0005886	P0AE14	AMPE_ECOLI	C6EAU6	B	Predicted inner membrane protein (Signaling modulator of AmpD, AmpE)	284		Y
GO:0000155	P0AEC3	ARCB_ECOLI	C6EH17	B	Hybrid sensory histidine kinase in two-component regulatory system with ArcA (EC 2.7.3.-) (Multi-sensor hybrid histidine kinase)	778		Y
GO:0009103	P76473	ARNT_ECOLI	C6E9U3	B	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	550		Y
GO:0005886	P15993	AROP_ECOLI	C6EAU5	B	Amino acid permease-associated region	456		Y
GO:0005886	P0AE34	ARTQ_ECOLI	C6EIB9	B	Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	238		Y
GO:0042597	P28249	ASMA_ECOLI	C6EAP3	B	AsmA family protein (Predicted assembly protein)	617		Y
GO:0000155	P03960	ATKB_ECOLI	C6EJN7	B	Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	682		Y
GO:0015986	P0AB98	ATP6_ECOLI	C6EG65	B	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	271		Y
GO:0000160	P30847	BAES_ECOLI	C6EAM7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with BaeR) (EC 2.7.3.-)	467		Y
GO:0000160	P0AEC5	BARA_ECOLI	C6EJ86	B	Hpt sensor hybrid histidine kinase (Hybrid sensory histidine kinase, in two-component regulatory system with UvrY) (EC 2.7.3.-)	918		Y
GO:0000155	P30844	BASS_ECOLI	C6ED12	B	Histidine kinase	366		Y
GO:0005886	P37652	BCSB_ECOLI	C6EEF1	B	Cellulose synthase subunit B	767		Y
GO:0005886	P0ABC9	BETT_ECOLI	C6ELR7	B	Choline transporter of high affinity (Choline/carnitine/betaine transporter)	677		Y
GO:0005886	P0ABC9	BETT_ECOLI	C6EC73	B	Choline/carnitine/betaine transporter	665		Y
GO:0005886	P33927	CCMF_ECOLI	C6EA04	B	Cytochrome c assembly protein (Heme lyase, CcmF subunit)	647		Y
GO:0005886	P0ABM9	CCMH_ECOLI	C6EA06	B	Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)	350		Y
GO:0005886	P06282	CDH_ECOLI	C6EEY0	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	251		Y
GO:0008808	P0A6H8	CLS_ECOLI	C6EFY7	B	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	486		Y
GO:0004359	Q59385	COPA_ECOLI	C6EKY0	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	834		Y
GO:0005886	P76007	CVRA_ECOLI	C6EGS6	B	Potassium/proton antiporter (Sodium/hydrogen exchanger)	578		Y
GO:0005506	P0ABK2	CYDB_ECOLI	C6EJK4	B	Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)	379		Y
GO:0005886	P16701	CYST_ECOLI	C6EL53	B	Sulfate ABC transporter, inner membrane subunit (Sulfate/thiosulfate transporter subunit)	277		Y
GO:0005886	P0AEB0	CYSW_ECOLI	C6EL54	B	Sulfate ABC transporter, inner membrane subunit	291		Y
GO:0005886	P0A6J3	CYSZ_ECOLI	C6EL65	B	Protein CysZ	253		Y
GO:0000299	P0A830	DCTA_ECOLI	C6EEF5	B	C4-dicarboxylate transport protein (Sodium:dicarboxylate symporter)	428		Y
GO:0005886	P0ABN5	DCUA_ECOLI	C6ECY7	B	Anaerobic c4-dicarboxylate antiporter, Dcu family (C4-dicarboxylate antiporter)	433		Y
GO:0005886	P0ABP6	DEDA_ECOLI	C6ELD6	B	Conserved inner membrane protein	219		Y
GO:0000299	P0AEE3	DEGS_ECOLI	C6EGZ7	B	Periplasmic serine protease DegS (EC 3.4.21.108) (Serine endoprotease, periplasmic) (EC 3.4.21.-)	355		Y
GO:0005886	P15877	DHG_ECOLI	C6EAT3	B	Glucose dehydrogenase (EC 1.1.5.2) (Membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family) (EC 1.1.5.2)	796		Y
GO:0009055	P0AC44	DHSD_ECOLI	C6EJL5	B	Succinate dehydrogenase cytochrome b556 small membrane subunit (EC 1.3.99.1) (Succinate dehydrogenase, hydrophobic membrane anchor protein)	115		Y
GO:0005886	P31680	DJLA_ECOLI	C6EAZ8	B	Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	271		Y
GO:0042936	P0AEF8	DPPB_ECOLI	C6EED7	B	Binding-protein-dependent transport systems inner membrane component (Dipeptide transporter)	339		Y
GO:0005886	P36655	DSBD_ECOLI	C6ECY9	B	Thiol:disulfide interchange protein dsbD (EC 1.8.1.8) (Protein-disulfide reductase)	565		Y
GO:0031226	P27303	EMRA_ECOLI	C6EJU1	B	Efflux pump membrane protein (Multidrug efflux system)	390		Y
GO:0005886	P0ABU7	EXBB_ECOLI	C6EHY7	B	Membrane spanning protein in TonB-ExbB-ExbD complex (TonB-system energizer ExbB)	244		Y
GO:0000166	P33650	FEOB_ECOLI	C6EFG5	B	Ferrous iron transport protein B	773		Y
GO:0005886	P15286	FLK_ECOLI	C6ELD2	B	Flagella assembly protein (Predicted flagella assembly protein)	331		Y
GO:0001539	P0A8Q0	FRDC_ECOLI	C6ECX1	B	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	131		Y
GO:0005886	P52067	FSR_ECOLI	C6EKY5	B	Major facilitator superfamily MFS_1 (Predicted fosmidomycin efflux system)	406		Y
GO:0000935	P0A6S5	FTSB_ECOLI	C6EJB9	B	Cell diviision protein FtsB (Septum formation initiator)	103		Y
GO:0005887	P0AD68	FTSI_ECOLI	C6EAX1	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	588		Y
GO:0005886	P0AEN4	FTSL_ECOLI	C6EAX2	B	Cell division protein FtsL (Membrane bound cell division protein at septum containing leucine zipper motif)	121		Y
GO:0000917	P29131	FTSN_ECOLI	C6EE76	B	Cell division protein FtsN (Essential cell division protein)	319		Y
GO:0000917	P06136	FTSQ_ECOLI	C6EAW2	B	Cell division protein FtsQ (Membrane anchored protein involved in growth of wall at septum)	276		Y
GO:0000910	P0ABG4	FTSW_ECOLI	C6EAW6	B	Cell division protein FtsW (Integral membrane protein involved in stabilizing FstZ ring during cell division)	414		Y
GO:0005886	P37147	FXSA_ECOLI	C6ECY5	B	FxsA cytoplasmic membrane protein (Inner membrane protein)	158		Y
GO:0005886	P25527	GABP_ECOLI	C6EJW2	B	GABA permease (Gamma-aminobutyrate transporter)	466		Y
GO:0005624	P0AEP1	GALP_ECOLI	C6EIG8	B	Sugar transporter	464		Y
GO:0005886	P0AEQ6	GLNP_ECOLI	C6EIX2	B	Glutamine ABC transporter permease protein (Polar amino acid ABC transporter, inner membrane subunit)	219		Y
GO:0005886	P0AER3	GLTJ_ECOLI	C6EK41	B	Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	246		Y
GO:0005886	P0AER5	GLTK_ECOLI	C6EK42	B	Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	224		Y
GO:0005886	P21345	GLTP_ECOLI	C6ED48	B	Glutamate/aspartate:proton symporter (Sodium:dicarboxylate symporter)	437		Y
GO:0005886	P0AER8	GLTS_ECOLI	C6EDD6	B	Glutamate transporter (Sodium/glutamate symporter)	401		Y
GO:0015128	P39835	GNTT_ECOLI	C6EFF9	B	Gluconate transporter (Gluconate transporter, high-affinity GNT I system)	438		Y
GO:0005886	P75798	GSIC_ECOLI	C6EIV1	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	306		Y
GO:0005886	P75799	GSID_ECOLI	C6EIV0	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	303		Y
GO:0005886	P0AEU3	HISM_ECOLI	C6ELE6	B	Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	238		Y
GO:0005886	P52094	HISQ_ECOLI	C6ELE5	B	Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	228		Y
GO:0004222	P23894	HTPX_ECOLI	C6EC00	B	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	293		Y
GO:0005249	P31069	KCH_ECOLI	C6EFY6	B	TrkA-N domain protein (Voltage-gated potassium channel)	417		Y
GO:0009245	P0AC75	KDTA_ECOLI	C6EDF8	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	425		Y
GO:0008381	P77338	KEFA_ECOLI	C6EKZ9	B	Fused conserved protein (MscS Mechanosensitive ion channel)	1120		Y
GO:0005886	P45522	KEFB_ECOLI	C6EGB3	B	Glutathione-regulated potassium-efflux system protein kefB (K(+)/H(+) antiporter) (NEM-activatable K(+)/H(+) antiporter)	601		Y
GO:0000299	P03819	KEFC_ECOLI	C6EB06	B	Glutathione-regulated potassium-efflux system protein (Potassium efflux system protein)	620		Y
GO:0005886	P0AEX3	KGTP_ECOLI	C6EJZ9	B	Alpha-ketoglutarate transporter (Metabolite/H+ symporter, major facilitator superfamily (MFS))	432		Y
GO:0005886	P63183	KUP_ECOLI	C6EG56	B	Potassium transporter (Potassium uptake protein)	622		Y
GO:0005886	P60955	LGT_ECOLI	C6EJ41	B	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	291		Y
GO:0005886	P23930	LNT_ECOLI	C6EK38	B	Apolipoprotein N-acyltransferase	512		Y
GO:0001950	P0ADC3	LOLC_ECOLI	C6EGX6	B	Lipoprotein releasing system, transmembrane protein, LolC/E family (Outer membrane-specific lipoprotein transporter subunit)	399		Y
GO:0015920	P0ADV9	LPTC_ECOLI	C6EH28	B	Putative uncharacterized protein (Putative uncharacterized protein yrbK)	191		Y
GO:0015437	P0AF98	LPTF_ECOLI	C6EC90	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	366		Y
GO:0000166	P27300	LPXK_ECOLI	C6EI67	B	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	328		Y
GO:0005886	P25737	LYSP_ECOLI	C6EAF7	B	Amino acid permease-associated region (Lysine transporter)	489		Y
GO:0016021	P75831	MACB_ECOLI	C6EIA2	B	ABC transporter related (Fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component)	648		Y
GO:0000166	P77265	MDLA_ECOLI	C6EL15	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	590		Y
GO:0000166	P0AAG5	MDLB_ECOLI	C6EL14	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	593		Y
GO:0005886	P76399	MDTC_ECOLI	C6EAM9	B	Acriflavin resistance protein (Multidrug efflux system, subunit C)	1025		Y
GO:0005886	P31547	METI_ECOLI	C6EA86	B	Binding-protein-dependent transport systems inner membrane component (DL-methionine transporter subunit)	217		Y
GO:0008963	P0A6W3	MRAY_ECOLI	C6EAW8	B	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	360		Y
GO:0008360	P16926	MREC_ECOLI	C6EGL1	B	Cell wall structural complex MreBCD transmembrane component MreC (Rod shape-determining protein MreC)	367		Y
GO:0005886	P24205	MSBB_ECOLI	C6EBX2	B	Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase	323		Y
GO:0008955	P46022	MTGA_ECOLI	C6EH19	B	Monofunctional biosynthetic peptidoglycan transglycosylase (Monofunctional TGase) (EC 2.4.2.-)	242		Y
GO:0005886	P41036	NANT_ECOLI	C6EH08	B	Putative sialic acid transporter (Sialic acid permease)	496		Y
GO:0000160	P0AFA2	NARX_ECOLI	C6EGP2	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory system with NarL) (EC 2.7.3.-)	598		Y
GO:0006814	P0AFA7	NHAB_ECOLI	C6EGT1	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	513		Y
GO:0005887	P0AFD4	NUOH_ECOLI	C6E9S0	B	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	325		Y
GO:0005887	P0AFE0	NUOJ_ECOLI	C6E9S2	B	NADH dehydrogenase (Quinone) (EC 1.6.99.5) (NADH dehydrogenase subunit J) (EC 1.6.5.3)	184		Y
GO:0005886	P33607	NUOL_ECOLI	C6E9S4	B	NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain L)	613		Y
GO:0005886	P0AFF2	NUPC_ECOLI	C6EL76	B	Nucleoside (Except guanosine) transporter (Nucleoside transporter)	400		Y
GO:0015421	P0AFH2	OPPB_ECOLI	C6EGM3	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide permease ABC transporter membrane protein)	306		Y
GO:0005886	P0AFH6	OPPC_ECOLI	C6EFZ1	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide transporter subunit)	302		Y
GO:0007047	P0AD65	PBP2_ECOLI	C6EK58	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	633		Y
GO:0008144	P02919	PBPB_ECOLI	C6EAD5	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	841		Y
