K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
PUR5_ECOLI	C6EKL2	A	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	 	 	 	+ 
GUAA_ECOLI	C6EKK2	A	"Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)"	 	 	 	+ 
ENGA_ECOLI	C6EKJ8	A	GTP-binding protein engA	 	 	 	+ 
HSCA_ECOLI	C6EKI1	A	Chaperone protein hscA (Hsc66)	 	 	 	+ 
TRMJ_ECOLI	C6EKH5	A	"Predicted methyltransferase (RNA methyltransferase, TrmH family, group 1)"	 	 	 	+ 
SUHB_ECOLI	C6EKH4	A	Inositol monophosphatase	 	 	 	+ 
PUR4_ECOLI	C6EKF0	A	Phosphoribosylformylglycinamidine synthase (EC 6.3.5.3)	 	 	 	+ 
NFNB_ECOLI	C6EKC3	A	"6,7-dihydropteridine reductase (EC 1.5.1.34) (Dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive)"	 	 	 	+ 
LIPA_ECOLI	C6EK65	A	Lipoic acid synthetase (EC 2.8.1.8) (Lipoyl synthase)	 	 	 	+ 
SYL_ECOLI	C6EK51	A	Leucyl-tRNA synthetase (EC 6.1.1.4) (Leucine--tRNA ligase)	 	 	 	+ 
RNC_ECOLI	C6EK20	A	Ribonuclease III (EC 3.1.26.3)	 	 	 	+ 
CLPB_ECOLI	C6EJZ8	A	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	 	 	 	+ 
RIMM_ECOLI	C6EJY4	A	Ribosome maturation factor rimM	 	 	 	+ 
ASNB_ECOLI	C6EJR1	A	Asparagine synthase (Glutamine-hydrolyzing) (Asparagine synthetase B) (EC 6.3.5.4)	 	 	 	+ 
NAGD_ECOLI	C6EJR0	A	"HAD-superfamily hydrolase, subfamily IIA (UMP phosphatase)"	 	 	 	+ 
SYQ_ECOLI	C6EJQ4	A	Glutaminyl-tRNA synthetase (EC 6.1.1.18) (Glutamine--tRNA ligase)	 	 	 	+ 
TRUD_ECOLI	C6EJC2	A	tRNA pseudouridine synthase D (EC 5.4.99.-) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D)	 	 	 	+ 
CYSI_ECOLI	C6EJA9	A	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	 	 	 	+ 
CYSJ_ECOLI	C6EJA8	A	"Sulfite reductase (NADPH) flavoprotein, alpha chain (Sulfite reductase, alpha subunit, flavoprotein) (EC 1.8.1.2)"	 	 	 	+ 
YGCF_ECOLI	C6EJ96	A	Putative uncharacterized protein (Putative uncharacterized protein ygcF)	 	 	 	+ 
SDHM_ECOLI	C6EJ74	A	L-serine deaminase II (EC 4.3.1.17) (L-serine dehydratase 1) (EC 4.3.1.17)	 	 	 	+ 
ARGA_ECOLI	C6EJ51	A	Amino-acid N-acetyltransferase (N-acetylglutamate synthase) (EC 2.3.1.1)	 	 	 	+ 
GALR_ECOLI	C6EJ31	A	"DNA-binding transcriptional repressor (Transcriptional regulator, LacI family)"	 	 	 	+ 
UVRB_ECOLI	C6EJ03	A	UvrABC system protein B (Protein uvrB) (Excinuclease ABC subunit B)	 	 	 	+ 
YBIC_ECOLI	C6EIY1	A	Malate/L-lactate dehydrogenase (Predicted dehydrogenase)	 	 	 	+ 
RIMO_ECOLI	C6EIU8	A	MiaB-like tRNA modifying enzyme YliG (Predicted SAM-dependent methyltransferase)	 	 	 	+ 
SYK1_ECOLI	C6EIL8	A	Lysyl-tRNA synthetase (EC 6.1.1.6)	 	 	 	+ 
DCOR_ECOLI	C6EIE4	A	Ornithine decarboxylase (EC 4.1.1.17)	 	 	 	+ 
YBJS_ECOLI	C6EIB3	A	NAD-dependent epimerase/dehydratase	 	 	 	+ 
IHFB_ECOLI	C6EI70	A	Integration host factor subunit beta (IHF-beta)	 	 	 	+ 
PARE_ECOLI	C6EHW3	A	"DNA topoisomerase IV subunit B (EC 5.99.1.-) (DNA topoisomerase IV, B subunit) (EC 5.99.1.3)"	 	 	 	+ 
GLNE_ECOLI	C6EHU2	A	(Glutamate--ammonia-ligase) adenylyltransferase (EC 2.7.7.42) (Fused deadenylyltransferase/adenylyltransferase for glutamine synthetase) (EC 2.7.7.42)	 	 	 	+ 
RL32_ECOLI	C6EHC5	A	50S ribosomal protein L32	 	 	 	+ 
RSMI_ECOLI	C6EH79	A	Predicted methyltransferase (Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase)	 	 	 	+ 
RS15_ECOLI	C6EH60	A	30S ribosomal protein S15	 	 	 	+ 
NUSA_ECOLI	C6EH56	A	NusA antitermination factor (Transcription elongation factor NusA)	 	 	 	+ 
RLME_ECOLI	C6EH48	A	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) (23S rRNA Um2252 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	 	 	 	+ 
OBG_ECOLI	C6EH44	A	GTPase obg (GTP-binding protein obg)	 	 	 	+ 
MURA_ECOLI	C6EH38	A	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase)	 	 	 	+ 
GLTB_ECOLI	C6EH15	A	"Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)"	 	 	 	+ 
GLTD_ECOLI	C6EH14	A	"Glutamate synthase, 4Fe-4S protein, small subunit (EC 1.4.1.13) (Glutamate synthase, small subunit)"	 	 	 	+ 
MFD_ECOLI	C6EGX8	A	Transcription-repair coupling factor	 	 	 	+ 
HEM1_ECOLI	C6EGQ6	A	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	 	 	 	+ 
KDSA_ECOLI	C6EGQ1	A	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	 	 	 	+ 
RL36_ECOLI	C6EGG7	A	50S ribosomal protein L36	 	 	 	+ 
RS19_ECOLI	C6EGF0	A	30S ribosomal protein S19	 	 	 	+ 
YHET_ECOLI	C6EGB0	A	Alpha/beta hydrolase fold protein (Predicted hydrolase)	 	 	 	+ 
ASNA_ECOLI	C6EG59	A	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	 	 	 	+ 
RAVA_ECOLI	C6EG57	A	ATPase associated with various cellular activities AAA_5 (Fused predicted transcriptional regulator: sigma54 activator protein/conserved protein)	 	 	 	+ 
ILVC_ECOLI	C6EG37	A	Ketol-acid reductoisomerase (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (Alpha-keto-beta-hydroxylacil reductoisomerase)	 	 	 	+ 
RMLB2_ECOLI	C6EG24	A	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"	 	 	 	+ 
RFFA_ECOLI	C6EG21	A	TDP-4-keto-6-deoxy-D-glucose transaminase (TDP-4-oxo-6-deoxy-D-glucose transaminase)	 	 	 	+ 
PYRF_ECOLI	C6EFV3	A	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	 	 	 	+ 
YCIT_ECOLI	C6EFV0	A	"Predicted DNA-binding transcriptional regulator (Transcriptional regulator, DeoR family)"	 	 	 	+ 
SYW_ECOLI	C6EFJ2	A	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	 	 	 	+ 
YHGF_ECOLI	C6EFG7	A	RNA binding S1 domain protein	 	 	 	+ 
PHSM_ECOLI	C6EFF7	A	Phosphorylase (EC 2.4.1.1)	 	 	 	+ 
PHSG_ECOLI	C6EFE6	A	Phosphorylase (EC 2.4.1.1)	 	 	 	+ 
GNTR_ECOLI	C6EFD7	A	"Transcriptional regulator, LacI family"	 	 	 	+ 
DPO1_ECOLI	C6EF39	A	DNA polymerase I (EC 2.7.7.7)	 	 	 	+ 
ENGB_ECOLI	C6EF37	A	GTP-binding protein HSR1-related	 	 	 	+ 
GLPX_ECOLI	C6EEX3	A	"Fructose-1,6-bisphosphatase, class II (EC 3.1.3.11)"	 	 	 	+ 
RRAA_ECOLI	C6EEW9	A	Regulator of ribonuclease activity A	 	 	 	+ 
NIFJ_ECOLI	C6EEW7	A	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	 	 	 	+ 
YDCP_ECOLI	C6EES8	A	Peptidase U32 (Predicted peptidase)	 	 	 	+ 
MAO1_ECOLI	C6EEN8	A	"Malate dehydrogenase (Oxaloacetate-decarboxylating) (EC 1.1.1.38) (Malate dehydrogenase, (Decarboxylating, NAD-requiring) (Malic enzyme)) (EC 1.1.1.38)"	 	 	 	+ 
SYGB_ECOLI	C6EEC0	A	Glycyl-tRNA synthetase beta subunit (EC 6.1.1.14) (Glycine--tRNA ligase beta subunit)	 	 	 	+ 
SYGA_ECOLI	C6EEB9	A	Glycyl-tRNA synthetase alpha subunit (EC 6.1.1.14) (Glycine--tRNA ligase alpha subunit)	 	 	 	+ 
CYTR_ECOLI	C6EE75	A	"DNA-binding transcriptional dual regulator (Transcriptional regulator, LacI family)"	 	 	 	+ 
CAPP_ECOLI	C6EE53	A	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	 	 	 	+ 
ARGC_ECOLI	C6EE51	A	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase)	 	 	 	+ 
ARGB_ECOLI	C6EE50	A	Acetylglutamate kinase	 	 	 	+ 
FABR_ECOLI	C6EE46	A	"DNA-binding transcriptional repressor (Transcriptional regulator, TetR family)"	 	 	 	+ 
MURI_ECOLI	C6EE43	A	Glutamate racemase (EC 5.1.1.3)	 	 	 	+ 
NUSG_ECOLI	C6EE37	A	Transcription antitermination protein nusG	 	 	 	+ 
DCUP_ECOLI	C6EE21	A	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	 	 	 	+ 
YDFG_ECOLI	C6EDU7	A	"L-allo-threonine dehydrogenase, NAD(P)-binding (Short-chain dehydrogenase/reductase SDR)"	 	 	 	+ 
PDXH_ECOLI	C6EDK7	A	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (Pyridoxal 5'-phosphate synthase)	 	 	 	+ 
GPDA_ECOLI	C6EDI1	A	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	 	 	 	+ 
HLDD_ECOLI	C6EDH1	A	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase)	 	 	 	+ 
RFAI_ECOLI	C6EDG2	A	"Lipopolysaccharide 3-alpha-galactosyltransferase (EC 2.4.1.44) (UDP-glucose:(Glucosyl) LPS alpha1,3-glucosyltransferase WaaO)"	 	 	 	+ 
RFAG_ECOLI	C6EDG0	A	Glucosyltransferase I (Glycosyl transferase group 1)	 	 	 	+ 
RL33_ECOLI	C6EDF5	A	50S ribosomal protein L33	 	 	 	+ 
SPOT_ECOLI	C6EDE0	A	"(P)ppGpp synthetase I, SpoT/RelA (EC 3.1.7.2) (Bifunctional (P)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase) (EC 2.7.6.5) (EC 3.1.7.2)"	 	 	 	+ 
Null	C6EDD0	A	Putative uncharacterized protein (ShiA-like protein)	 	 	 	+ 
YIDA_ECOLI	C6ED73	A	Cof-like hydrolase (Predicted hydrolase)	 	 	 	+ 
PHNF_ECOLI	C6ED21	A	"Phophonate C-P lyase system transcriptional regulator PhnF, GntR family (Predicted DNA-binding transcriptional regulator of phosphonate uptake and biodegradation)"	 	 	 	+ 
BASR_ECOLI	C6ED11	A	"DNA-binding response regulator in two-component regulatory system with BasS (Two component transcriptional regulator, winged helix family)"	 	 	 	+ 
YJEK_ECOLI	C6ECX9	A	"Lysine 2,3-aminomutase YodO family protein (EC 5.4.3.2) (Predicted lysine aminomutase)"	 	 	 	+ 
RL35_ECOLI	C6ECP0	A	50S ribosomal protein L35	 	 	 	+ 
IF3_ECOLI	C6ECN9	A	Translation initiation factor IF-3	 	 	 	+ 
SYT_ECOLI	C6ECN8	A	Threonyl-tRNA synthetase (EC 6.1.1.3) (Threonine--tRNA ligase)	 	 	 	+ 
SELD_ECOLI	C6ECJ3	A	"Selenide, water dikinase (Selenophosphate synthetase) (EC 2.7.9.3)"	 	 	 	+ 
HFLX_ECOLI	C6ECH6	A	GTP-binding proten HflX (Predicted GTPase)	 	 	 	+ 
RNR_ECOLI	C6ECH0	A	"Exoribonuclease R, RNase R (EC 3.1.-.-) (VacB and RNase II family 3'-5' exoribonuclease) (EC 3.1.13.1)"	 	 	 	+ 
RLMB_ECOLI	C6ECG9	A	"23S rRNA (Gm2251)-methyltransferase (EC 2.1.1.-) (RNA methyltransferase, TrmH family, group 3)"	 	 	 	+ 
F16PA_ECOLI	C6ECB7	A	"Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)"	 	 	 	+ 
TREC_ECOLI	C6ECA9	A	"Alpha,alpha-phosphotrehalase (Trehalose-6-P hydrolase) (EC 3.2.1.93)"	 	 	 	+ 
AMPA_ECOLI	C6EC91	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	 	 	 	+ 
YEAZ_ECOLI	C6EC24	A	Predicted peptidase (Putative uncharacterized protein)	 	 	 	+ 
KPYK2_ECOLI	C6EBX3	A	Pyruvate kinase (EC 2.7.1.40)	 	 	 	+ 
T1RK_ECOLI	C6EBN0	A	Endonuclease R (EC 3.1.21.3) (Type I site-specific deoxyribonuclease) (EC 3.1.21.3)	 	 	 	+ 
RSMC_ECOLI	C6EBK1	A	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	 	 	 	+ 
RF3_ECOLI	C6EBJ7	A	Peptide chain release factor 3 (RF-3)	 	 	 	+ 
ARCA_ECOLI	C6EBH0	A	"DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)"	 	 	 	+ 
YAAA_ECOLI	C6EBG3	A	UPF0246 protein yaaA	 	 	 	+ 
ARNB_ECOLI	C6EB46	A	"DegT/DnrJ/EryC1/StrS aminotransferase (VioA, involved in dTDP-N-acetylviosamine synthesis)"	 	 	 	+ 
RSMA_ECOLI	C6EB02	A	"Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.-) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)"	 	 	 	+ 
RAPA_ECOLI	C6EAZ6	A	ATP-dependent helicase HepA (SNF2-related protein)	 	 	 	+ 
URK_ECOLI	C6EAP1	A	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	 	 	 	+ 
YEGD_ECOLI	C6EAN8	A	Predicted chaperone (Uncharacterized chaperone protein YegD)	 	 	 	+ 
MRP_ECOLI	C6EAJ8	A	Antiporter inner membrane protein (Mrp protein)	 	 	 	+ 
HRPB_ECOLI	C6EAD6	A	ATP-dependent helicase HrpB (Predicted ATP-dependent helicase)	 	 	 	+ 
GLND_ECOLI	C6EAB8	A	[Protein-PII] uridylyltransferase (PII uridylyl-transferase) (EC 2.7.7.59) (UTase) (Uridylyl-removing enzyme)	 	 	 	+ 
DPO3A_ECOLI	C6EAA1	A	"DNA polymerase III subunit alpha (EC 2.7.7.7) (DNA polymerase III, alpha subunit)"	 	 	 	+ 
SYP_ECOLI	C6EA90	A	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	 	 	 	+ 
RL25_ECOLI	C6EA12	A	50S ribosomal protein L25	 	 	 	+ 
NDPA_ECOLI	C6EA11	A	Nucleoid-associated protein YejK	 	 	 	+ 
GYRA_ECOLI	C6E9X0	A	"DNA gyrase subunit A (EC 5.99.1.3) (DNA gyrase, A subunit) (EC 5.99.1.3)"	 	 	 	+ 
NUOA_ECOLI	C6E9R4	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	+ 	+ 	+ 	+ 
NUOH_ECOLI	C6E9S0	B	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	+ 	+ 	+ 	+ 
NUOJ_ECOLI	C6E9S2	B	NADH dehydrogenase (Quinone) (EC 1.6.99.5) (NADH dehydrogenase subunit J) (EC 1.6.5.3)	+ 	+ 	+ 	+ 
NUOK_ECOLI	C6E9S3	B	NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	+ 	+ 	+ 	+ 
ARNT_ECOLI	C6E9U3	B	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	+ 	+ 	+ 	+ 
ARNC_ECOLI	C6E9U6	B	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.7.8.n1) (Undecaprenyl-phosphate Ara4FN transferase)	+ 	+ 	+ 	+ 
RCSC_ECOLI	C6E9Y2	B	Histidine kinase	+ 	+ 	+ 	+ 
PTFBC_ECOLI	C6EA31	B	"Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)"	+ 	+ 	+ 	+ 
FADE_ECOLI	C6EA67	B	Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	+ 	+ 	+ 	+ 
RSEP_ECOLI	C6EAA9	B	Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	+ 	+ 	+ 	+ 
PBPB_ECOLI	C6EAD5	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	+ 	+ 	+ 	+ 
PCNB_ECOLI	C6EAE1	B	Poly(A) polymerase (EC 2.7.7.19)	+ 	+ 	+ 	+ 
ASMA_ECOLI	C6EAP3	B	AsmA family protein (Predicted assembly protein)	+ 	+ 	+ 	+ 
AMPE_ECOLI	C6EAU6	B	"Predicted inner membrane protein (Signaling modulator of AmpD, AmpE)"	+ 	+ 	+ 	+ 
MRAY_ECOLI	C6EAW8	B	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	+ 	+ 	+ 	+ 
FTSI_ECOLI	C6EAX1	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	+ 	+ 	+ 	+ 
DJLA_ECOLI	C6EAZ8	B	Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	+ 	+ 	+ 	+ 
WZZB_ECOLI	C6EB58	B	Lipopolysaccharide biosynthesis protein	+ 	+ 	+ 	+ 
YJIY_ECOLI	C6EBM6	B	Carbon starvation protein CstA (Predicted inner membrane protein)	+ 	+ 	+ 	+ 
YEBE_ECOLI	C6EBY3	B	Putative uncharacterized protein (Putative uncharacterized protein yebE)	+ 	+ 	+ 	+ 
PTND_ECOLI	C6EC11	B	"PTS system, mannose/fructose/sorbose family, IID subunit"	+ 	+ 	+ 	+ 
YOAE_ECOLI	C6EC15	B	Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	+ 	+ 	+ 	+ 
LPTG_ECOLI	C6EC89	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	+ 	+ 	+ 	+ 
LPTF_ECOLI	C6EC90	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	+ 	+ 	+ 	+ 
ATMA_ECOLI	C6ECA6	B	Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	+ 	+ 	+ 	+ 
PTTBC_ECOLI	C6ECA8	B	"Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component (PTS system, trehalose-specific IIBC subunit)"	+ 	+ 	+ 	+ 
YTFL_ECOLI	C6ECC7	B	Predicted inner membrane protein (Putative uncharacterized protein)	+ 	+ 	+ 	+ 
CYCA_ECOLI	C6ECD6	B	Amino acid permease-associated region (D-alanine/D-serine/glycine transporter)	+ 	+ 	+ 	+ 
Null	C6ECH4	B	HflC protein (Modulator for HflB protease specific for phage lambda cII repressor)	+ 	+ 	+ 	+ 
HFLK_ECOLI	C6ECH5	B	HflK protein (Modulator for HflB protease specific for phage lambda cII repressor)	+ 	+ 	+ 	+ 
SPPA_ECOLI	C6ECJ1	B	"Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)"	+ 	+ 	+ 	+ 
YDJN_ECOLI	C6ECM9	B	Predicted transporter (Sodium:dicarboxylate symporter)	+ 	+ 	+ 	+ 
YJEP_ECOLI	C6ECW6	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	+ 	+ 	+ 	+ 
DCUA_ECOLI	C6ECY7	B	"Anaerobic c4-dicarboxylate antiporter, Dcu family (C4-dicarboxylate antiporter)"	+ 	+ 	+ 	+ 
EPTA_ECOLI	C6ED10	B	Predicted metal dependent hydrolase (Sulfatase)	+ 	+ 	+ 	+ 
PROP_ECOLI	C6ED13	B	"Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)"	+ 	+ 	+ 	+ 
GLTP_ECOLI	C6ED48	B	Glutamate/aspartate:proton symporter (Sodium:dicarboxylate symporter)	+ 	+ 	+ 	+ 
YJCD_ECOLI	C6ED60	B	Predicted permease (Xanthine/uracil/vitamin C permease)	+ 	+ 	+ 	+ 
YICH_ECOLI	C6EDD4	B	AsmA family protein (Putative uncharacterized protein yicH)	+ 	+ 	+ 	+ 
KDTA_ECOLI	C6EDF8	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	+ 	+ 	+ 	+ 
YIBN_ECOLI	C6EDH8	B	Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	+ 	+ 	+ 	+ 
LLDD_ECOLI	C6EDI4	B	"FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase, FMN-linked) (EC 1.1.2.3)"	+ 	+ 	+ 	+ 
PNTA_ECOLI	C6EDP5	B	"NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)"	+ 	+ 	+ 	+ 
PNTB_ECOLI	C6EDP6	B	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	+ 	+ 	+ 	+ 
KDGL_ECOLI	C6EDX8	B	Diacylglycerol kinase (EC 2.7.1.107)	+ 	+ 	+ 	+ 
SECE_ECOLI	C6EE38	B	"Preprotein translocase, SecE subunit (Translocase)"	+ 	+ 	+ 	+ 
CPTA_ECOLI	C6EE54	B	Conserved inner membrane protein (Sulfatase)	+ 	+ 	+ 	+ 
FTSN_ECOLI	C6EE76	B	Cell division protein FtsN (Essential cell division protein)	+ 	+ 	+ 	+ 
YHJD_ECOLI	C6EEG1	B	Conserved inner membrane protein (Ribonuclease)	+ 	+ 	+ 	+ 
PITA_ECOLI	C6EEJ2	B	"Phosphate transporter (Phosphate transporter, low-affinity)"	+ 	+ 	+ 	+ 
YHII_ECOLI	C6EEJ7	B	Predicted HlyD family secretion protein (Secretion protein HlyD family protein)	+ 	+ 	+ 	+ 
CDH_ECOLI	C6EEY0	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	+ 	+ 	+ 	+ 
CPXA_ECOLI	C6EEY6	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	+ 	+ 	+ 	+ 
TATB_ECOLI	C6EF59	B	"Sec-independent translocase (Twin-arginine translocation protein, TatB subunit)"	+ 	+ 	+ 	+ 
TATA_ECOLI	C6EF60	B	"Twin arginate translocase protein A (Twin-arginine translocation protein, TatA/E family subunit)"	+ 	+ 	+ 	+ 
UBIB_ECOLI	C6EF61	B	Probable ubiquinone biosynthesis protein ubiB	+ 	+ 	+ 	+ 
ATZN_ECOLI	C6EFA5	B	Heavy metal translocating P-type ATPase	+ 	+ 	+ 	+ 
YHHM_ECOLI	C6EFA7	B	Putative receptor	+ 	+ 	+ 	+ 
FTSX_ECOLI	C6EFB2	B	"Predicted transporter subunit: membrane component of ABC superfamily (Protein insertion ABC transporter, inner membrane subunit FtsX)"	+ 	+ 	+ 	+ 
IGAA_ECOLI	C6EFH7	B	Intracellular growth attenuator IgaA	+ 	+ 	+ 	+ 
PBPA_ECOLI	C6EFI0	B	"Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)"	+ 	+ 	+ 	+ 
DAMX_ECOLI	C6EFI8	B	Putative uncharacterized protein damX (Sporulation domain protein)	+ 	+ 	+ 	+ 
ZNTB_ECOLI	C6EFP1	B	Mg2 transporter protein CorA family protein (Zinc transporter)	+ 	+ 	+ 	+ 
SOHB_ECOLI	C6EFW5	B	Peptidase S49 domain protein (Predicted inner membrane peptidase)	+ 	+ 	+ 	+ 
CORA_ECOLI	C6EFZ7	B	Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	+ 	+ 	+ 	+ 
HEMX_ECOLI	C6EG12	B	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	+ 	+ 	+ 	+ 
HEMY_ECOLI	C6EG13	B	HemY protein (Predicted protoheme IX synthesis protein)	+ 	+ 	+ 	+ 
WZZE_ECOLI	C6EG27	B	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	+ 	+ 	+ 	+ 
ATPF_ECOLI	C6EG67	B	ATP synthase subunit b	+ 	+ 	+ 	+ 
OXAA_ECOLI	C6EG98	B	Inner membrane protein oxaA	+ 	+ 	+ 	+ 
YHFK_ECOLI	C6EGA5	B	"Integral membrane protein, YccS/YhfK family"	+ 	+ 	+ 	+ 
SECY_ECOLI	C6EGG6	B	Preprotein translocase subunit secY	+ 	+ 	+ 	+ 
MSCL_ECOLI	C6EGH6	B	Large-conductance mechanosensitive channel	+ 	+ 	+ 	+ 
YCHM_ECOLI	C6EGR0	B	Sulfate transporter	+ 	+ 	+ 	+ 
NHAB_ECOLI	C6EGT1	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	+ 	+ 	+ 	+ 
LOLE_ECOLI	C6EGX4	B	"Lipoprotein releasing system, transmembrane protein LolE"	+ 	+ 	+ 	+ 
LOLC_ECOLI	C6EGX6	B	"Lipoprotein releasing system, transmembrane protein, LolC/E family (Outer membrane-specific lipoprotein transporter subunit)"	+ 	+ 	+ 	+ 
