Entry Name K12		Entry Name BL21(DE3)	Category	Suggested Category 	Suggested Category		Description	Protein Length	UNTREATED	TREATED		Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
METN_ECOLI	P30750	C6EA85	F1	 curated		curated	D-methionine ABC transporter, ATPase subunit (DL-methionine transporter subunit)	343	Y	Y		plasma membrane	transport	amino acid transport|transport	GO:0006810|GO:0006865									
YHIH_ECOLI	P37624	C6EEJ8	B	 			ABC transporter related (Fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein)	911		Y		plasma membrane	transport	transport	GO:0006810									
COPA_ECOLI	Q59385	C6EKY0	B	 			Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	834		Y				copper ion transport|transport|response to acidity|ion transport	GO:0006810|GO:0010447|GO:0006811|GO:0006825									
ATKB_ECOLI	P03960	C6EJN7	B	 			Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	682		Y		plasma membrane		transport|potassium ion transport|protein autophosphorylation|ion transport|detection of chemical stimulus|osmosensory signaling pathway via two-component system	GO:0006810|GO:0006813|GO:0009593|GO:0006811|GO:0007234|GO:0046777									
ATZN_ECOLI	P37617	C6EFA5	B	 			Heavy metal translocating P-type ATPase	732	Y	Y		plasma membrane		response to cadmium ion|detoxification of zinc ion	GO:0046686|GO:0010312			135			0,43	20,84	0,0025014	250,14
ATMA_ECOLI	P0ABB8	C6ECA6	B	 			Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	898	Y	Y				hydrolase activity|magnesium-importing ATPase activity|nucleotide binding|metal ion binding|ATP binding	GO:0046872|GO:0005524|GO:0016787|GO:0000166|GO:0015444			360	1,93E+00	4,24E+02	0,18	8,96	0,00646	646
HFLX_ECOLI	P25519	C6ECH6	F1	 curated		curated	GTP-binding proten HflX (GTPase and ATPase)	426	Y					response to heat	GO:0009408			107	3,89E-01	1,67E+02	0,98	46,31		
ATPE_ECOLI	P0A6E6	C6EG72	F1	 curated		curated	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	139	Y			plasma membrane		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811			1530	9,90E+01	4,18E+03	9	398	0,00010535	10,535
ATP6_ECOLI	P0AB98	C6EG65	B	 			ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	271		Y		plasma membrane		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811			398			9	398		
LPTB_ECOLI	P0A9V1	C6EH26	F1	 curated		curated	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	241	Y					transport|lipopolysaccharide transport	GO:0006810|GO:0015920			161	4,25E-01	1,76E+02	3,22	146,75		
Small molecule transport and metabolism				 																				
GATZ_ECOLI	P0C8J8	C6EAL5	A	F1 This study	F1	This study	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit (Putative tagatose 6-phosphate kinase 1)	420	Y	Y				galactitol metabolic process/D-tagatose-1,6-bisphosphate aldolase subunit/Component of the tagatose-1,6-bisphosphate aldolase gatYZ that is required for full activity and stability of the Y subunit. Could have a chaperone-like function for the proper and stable folding of gatY.	GO:0019402			4990	6,50E+00	8,59E+02	43,67	1838,05	0,12273	12273
YGIB_ECOLI	P0ADT2	C6EHV7	A	F1 This study	F1	This study	UPF0441 protein ygiB	223		Y				YgiB and the YgiC ATPase are encoded by genes expressed in the same operon as tolC. YgiBC may have parallel but independent functions from TolC.				23			0,47	22,71		
ATPA_ECOLI	P0ABB0	C6EG69	F1	 curated		curated	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	513	Y	Y		cytoplasm::plasma membrane		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811			6385	2,77E+01	1,99E+03	28,29	1206,59	0,15958	15958
ATPB_ECOLI	P0ABB4	C6EG71	F1	 curated		curated	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	460	Y	Y		cytoplasm::plasma membrane		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811			11526	5,96E+01	3,11E+03	64,29	2674,21	0,28794	28794
ATPD_ECOLI	P0ABA4	C6EG68	F1	 curated		curated	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta)	177	Y	Y		plasma membrane		transport|proton transport|ion transport|histidine biosynthetic process|ATP biosynthetic process	GO:0006810|GO:0006754|GO:0000105|GO:0015992|GO:0006811			2581	1,29E+01	1,28E+03	34,94	1480,65	0,04983	4983
ATPG_ECOLI	P0ABA6	C6EG70	F1	 curated		curated	p[	287	Y	Y		plasma membrane		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811			1689	5,49E+00	7,79E+02	36,93	1562,34	0,027269	2726,9
GLRX3_ECOLI	P0AC62	C6EDH9	A	F1? This study	F1?	This study	Glutaredoxin 3	83	Y					transport|deoxyribonucleotide biosynthetic process|electron transport chain	GO:0006810|GO:0009263|GO:0022900			581	5,31E+00	7,63E+02	9	398		
IDH_ECOLI	P08200	C6EGV5	A	F1? This study	F1?	This study	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	416	Y					oxidation-reduction process|glyoxylate cycle|electron transport chain|tricarboxylic acid cycle	GO:0006099|GO:0006097|GO:0022900|GO:0055114			5690	3,15E+02	8,19E+03	77,14	3190,93		
DADA_ECOLI	P0A6J5	C6EGS8	F1	 curated		curated	D-amino acid dehydrogenase small subunit (EC 1.4.99.1) (D-amino-acid dehydrogenase) (EC 1.4.99.1)	432	Y	Y		plasma membrane		oxidation-reduction process	GO:0055114			179	2,74E-01	1,37E+02	4,88	220		
DHSA_ECOLI	P0AC41	C6EJL4	F1	 curated		curated	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) (Succinate dehydrogenase or fumarate reductase, flavoprotein subunit)	588	Y	Y			transport	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain|aerobic respiration	GO:0006810|GO:0006099|GO:0022900|GO:0009060|GO:0055114			363	1,68E+00	3,92E+02	13,96	334,59		
DHSB_ECOLI	P07014	C6EJL3	F1	 curated		curated	Succinate dehydrogenase and fumarate reductase iron-sulfur protein (EC 1.3.99.1) (Succinate dehydrogenase, FeS subunit) (EC 1.3.99.1)	238	Y	Y		plasma membrane	transport	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain|aerobic respiration	GO:0006810|GO:0006099|GO:0022900|GO:0055114|GO:0009060			4946	1,51E+00	3,68E+02	18,95	9524,82		
DLDH_ECOLI	P0A9P0	C6EAU1	F1	 curated		curated	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	474	Y	Y		cytoplasm::cytosol::plasma membrane		oxidation-reduction process|pyruvate metabolic process|glycine decarboxylation via glycine cleavage system|glycolysis|tricarboxylic acid cycle|2-oxoglutarate metabolic process	GO:0006099|GO:0019464|GO:0006090|GO:0006103|GO:0006096|GO:0055114			15024	1,78E+03	2,24E+04	49,55	2077,52	0,20595	20595
GLNQ_ECOLI	P10346	C6EIX3	F1	 curated		curated	ABC transporter related (Glutamine ABC transporter ATP-binding protein)	240	Y	Y		plasma membrane	transport	amino acid transport|transport	GO:0006810|GO:0006865			246	1,15E+00	3,15E+02	3,92	177,58		
KPRS_ECOLI	P0A717	C6EGQ9	A	F1? This study	F1?	This study	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	337	Y			cytoplasm		nucleotide biosynthetic process|phosphorylation	GO:0016310|GO:0009165			5344	5,52E+01	2,98E+03	26,38	1127,52	0,11925	11925
KBL_ECOLI	P0AB77	C6EDH2	A	F1? This study	F1?	This study	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	398	Y			cytoplasm	biosynthetic process	pyridoxal phosphate binding|transferase activity|glycine C-acetyltransferase activity|acyltransferase activity|ligase activity|metal ion binding	GO:0008415|GO:0046872|GO:0016740|GO:0030170|GO:0008890|GO:0016874			982	7,58E+00	9,39E+02	24,12	1033,75	0,0097452	974,52
				 																				
Chaperones				 																				
CH10_ECOLI	P0A6F9	C6ECY3	A	F1? This study	F1?	This study	10 kDa chaperonin (Protein Cpn10) (groES protein)	97	Y			cytosol	cell cycle::cell division::protein folding	response to heat|phage assembly|cell cycle|cell division	GO:0051301|GO:0009408|GO:0007049|GO:0042963			76558	2,14E+02	6,54E+03	99	4064,14	2,1907	219070
CH60_ECOLI	P0A6F5	C6ECY2	A	F1? This study	F1?	This study	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548	Y			cytosol	cell cycle::cell division::protein folding	cell cycle|cell division	GO:0051301|GO:0007049			30502	1,00E+04	6,10E+04	92,26	3,796		
CLPB_ECOLI	P63284	C6EJZ8	A	F1? This study	F1?	This study	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	857	Y			cytosol	response to stress	response to stress	GO:0006950			2349	1,98E+01	1,64E+03	12,53	547,85	0,048601	4860,1
DNAJ_ECOLI	P08622	C6EB39	A	F1? This study	F1?	This study	Chaperone protein dnaJ	376	Y			cytoplasm		protein refolding|response to heat|protein unfolding|DNA replication|response to stress	GO:0006260|GO:0006950|GO:0042026|GO:0009408|GO:0043335			1327	5,81E+00	8,05E+02	6,63	295,57	0,028798	2879,8
HSLO_ECOLI	P0A6Y5	C6EFH4	A	F1? This study	F1?	This study	33 kDa chaperonin (Heat shock protein 33 homolog)	292	Y			cytoplasm	protein folding	response to heat|response to stress	GO:0006950|GO:0009408			1479	7,11E+00	9,05E+02	3,92	177,58	0,03355	3355
YCDY_ECOLI	P75915	C6EHH7	A	F1? This study	F1?	This study	Cytoplasmic chaperone TorD family protein (Putative uncharacterized protein ycdY)	184	Y									371	2,73E+00	5,18E+02	4,99	224,39		
GRPE_ECOLI	P09372	C6EJX9	A	F1? This study	F1?	This study	Protein grpE (HSP-70 cofactor)	197	Y					response to heat|protein unfolding|response to stress	GO:0006950|GO:0009408|GO:0043335			11187	9,99E+02	1,60E+04	157,49	6374,36		
PPIB_ECOLI	P23869	C6EKU1	A	F1? This study	F1?	This study	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	164	Y			cytoplasm	protein folding	protein folding	GO:0006457			9509	9,90E+01	4,18E+03	45,42	1909,42	0,22437	22437
DNAK_ECOLI	P0A6Y8	C6EB40	F1	 curated		curated	Chaperone protein DnaK (Molecular chaperone DnaK)	638	Y	Y				DNA replication|response to stress	GO:0006260|GO:0006950			44751	3,16E+03	3,12E+04	42,75	1,801	1,0305	103050
DJLA_ECOLI	P31680	C6EAZ8	B	 			Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	271		Y		plasma membrane	protein folding					167	3,89E-01	1,67E+02				
HTPG_ECOLI	P0A6Z3	C6EKZ1	F1	 curated		curated	Chaperone protein htpG (Heat shock protein htpG) (High temperature protein G)	624	Y					protein folding|response to heat|response to stress	GO:0006457|GO:0006950|GO:0009408			1469	2,96E+01	2,07E+03	20,13	867,51		
PPID_ECOLI	P0ADY1	C6EL22	B	 			Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	Y	Y		plasma membrane	protein folding::response to stress	protein folding|response to stress	GO:0006457|GO:0006950			464	4,41E+00	6,86E+02	5,38	241,38		
				 																				
Proteases				 																				
HSLU_ECOLI	P0A6H5	C6EE78	A	F1? This study	F1?	This study	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	443	Y			cytoplasm		response to heat|response to stress	GO:0006950|GO:0009408			2526	9,00E+00	1,04E+03	10,72	470,95	0,060681	6068,1
OPDA_ECOLI	P27298	C6EEI7	A	F1? This study	F1?	This study	Oligopeptidase A (EC 3.4.24.70)/may process cleaved signal peptides/was found to be a defective signal peptide suppressor	680	Y			cytoplasm		metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding	GO:0046872|GO:0008237|GO:0008233|GO:0016787			350	2,91E+00	5,39E+02	3,56	161,74		
LONH_ECOLI	P75867	C6EI27	A	F1? This study	F1?	This study	Predicted peptidase (Putative ATP-dependent protease)	586	Y					hydrolase activity|serine-type peptidase activity|peptidase activity	GO:0016787|GO:0008233|GO:0008236			26			0,53	25,52		
AMPA_ECOLI	P68767	C6EC91	A	F1? This study	F1?	This study	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503	Y			cytoplasm::intracellular		plasmid recombination|peptide catabolic process	GO:0042150|GO:0043171			347	3,28E+00	5,77E+02	2,56	117,49		
RSEP_ECOLI	P0AEH1	C6EAA9	B	 			Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	450	Y	Y				metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding	GO:0046872|GO:0008237|GO:0008233|GO:0016787									
PBPA_ECOLI	P02918	C6EFI0	B	 			Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	850	Y	Y				regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization|metabolic process	GO:0046677|GO:0009252|GO:0042493|GO:0008152|GO:0008360|GO:0007047			69	1,10E-01	8,04E+01			0,00057933	57,933
LEP_ECOLI	P00803	C6EK19	B	 			Signal peptidase I (EC 3.4.21.89)	324	Y	Y		plasma membrane		proteolysis|protein processing	GO:0006508|GO:0016485			34			0,72	34,35		
FTSI_ECOLI	P0AD68	C6EAX1	B	 			Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	588		Y			cell cycle::cell division	regulation of cell shape|response to antibiotic|response to drug|cellular cell wall organization|peptidoglycan biosynthetic process|cell cycle|metabolic process|cell division	GO:0042493|GO:0008152|GO:0008360|GO:0007047|GO:0009252|GO:0046677|GO:0051301|GO:0007049			7			0,13	6,53		
PBP2_ECOLI	P0AD65	C6EK58	B	 			Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	633		Y		plasma membrane		regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization|metabolic process	GO:0009252|GO:0046677|GO:0042493|GO:0008152|GO:0008360|GO:0007047									
SOHB_ECOLI	P0AG14	C6EFW5	B	 			Peptidase S49 domain protein (Predicted inner membrane peptidase)	349		Y		plasma membrane		hydrolase activity|serine-type peptidase activity|peptidase activity	GO:0016787|GO:0008233|GO:0008236			664	2,92E-01	1,41E+02	2,16	99,64	0,017513	1751,3
SPPA_ECOLI	P08395	C6ECJ1	B	 			Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)	618		Y				signal peptide processing	GO:0006465			20			0,42	20,37		
				 																				
Translation				 																				
IF2_ECOLI	P0A705	C6EH57	A	F1 This study	F1	This study	Translation initiation factor IF-2	890	Y			cytoplasm::intracellular	translation	translational initiation|translation	GO:0006413|GO:0006412			1586	4,08E+01	2,50E+03	15,47	672,06		
IF3_ECOLI	P0A707	C6ECN9	A	F1 This study	F1	This study	Translation initiation factor IF-3	180	Y			cytoplasm	translation	translational initiation|response to cold|ribosome disassembly|translation	GO:0006413|GO:0009409|GO:0006412|GO:0032790			13564	2,37E+03	2,64E+04	16,78	727,17		
EFG_ECOLI	P0A6M8	C6EGC4	A	F1 This study	F1	This study	Elongation factor G (EF-G)	704	Y			cytoplasm	translation	translational elongation|translation	GO:0006412|GO:0006414			22075	7,94E+03	5,33E+04	48,03	2,016	0,12923	12923
EFTS_ECOLI	P0A6P1	C6EAB5	A	F1 This study	F1	This study	Elongation factor Ts (EF-Ts)	283	Y			cytoplasm	translation	translational elongation|translation	GO:0006412|GO:0006414			33279	1,14E+04	6,60E+04	69,79	2895,73	0,3094	30940
DEF_ECOLI	P0A6K3	C6EGI0	A	F1 This study	F1	This study	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	169	Y				translation	translation|N-terminal protein amino acid modification	GO:0031365|GO:0006412			1531	2,05E+01	1,68E+03	1,37	64,08	0,02849	2849
AMPM_ECOLI	P0AE18	C6EAB7	A	F1 This study	F1	This study	Methionine aminopeptidase (EC 3.4.11.18)	264	Y					protein initiator methionine removal	GO:0070084			2004	3,22E+00	5,71E+02	6,63	295,57	0,051445	5144,5
RSGA_ECOLI	P39286	C6ECW4	A	F1 This study	F1	This study	Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)	350	Y					ribosomal small subunit biogenesis	GO:0042274			505	5,40E-01	2,02E+02			0,0080707	807,07
TIG_ECOLI	P0A850	C6EL29	A	F1 This study	F1	This study	Trigger factor (TF)	432	Y			cytosol	cell cycle::protein complex assembly	protein folding|protein complex assembly|cell cycle|cell division|'de novo' cotranslational protein folding	GO:0006457|GO:0051083|GO:0051301|GO:0006461|GO:0007049			21449	3,16E+03	3,12E+04	67,13	2788,66	0,30357	30357
RLME_ECOLI	P0C0R7	C6EH48	A	F1? This study	F1?	This study	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) (23S rRNA Um2252 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	209	Y			cytoplasm	response to stress	enzyme-directed rRNA 2'-O-methylation|methylation|rRNA processing|response to stress	GO:0000453|GO:0006950|GO:0032259|GO:0006364			240	6,68E-01	2,29E+02	0,43	20,84	0,0047117	471,17
				 																				
RL1_ECOLI	P0A7L0	C6EE35	A	F1 This study	F1	This study	50S ribosomal protein L1	234	Y	Y		ribosome		negative regulation of translational initiation|regulation of translation	GO:0045947|GO:0006417			45011	1,87E+04	8,78E+04	53,12	2222,48		
RL10_ECOLI	P0A7J3	C6EE34	A	F1 This study	F1	This study	50S ribosomal protein L10	165	Y	Y		intracellular::ribosome	ribosome biogenesis::translation	regulation of translation	GO:0006417			9867	1,33E+03	1,89E+04	19,31	833,23
RL11_ECOLI	P0A7J7	C6EE36	A	F1 This study	F1	This study	50S ribosomal protein L11	142	Y	Y			translation	stringent response|translational termination	GO:0006415|GO:0015968			5354	4,63E+02	1,02E+04	11,59	507,96
RL14_ECOLI	P0ADY3	C6EGF6	A	F1 This study	F1	This study	50S ribosomal protein L14	123	Y	Y		ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			10451	1,58E+03	2,09E+04	50,79	2,128
RL15_ECOLI	P02413	C6EGG5	A	F1 This study	F1	This study	50S ribosomal protein L15	144	Y	Y		ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			20017	4,64E+03	3,90E+04	24,12	1033,75
RL16_ECOLI	P0ADY7	C6EGF3	A	F1 This study	F1	This study	50S ribosomal protein L16	136	Y	Y		ribosome	translation	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			5982	5,61E+02	1,14E+04	12,89	563,11
RL17_ECOLI	P0AG44	C6EGH2	A	F1 This study	F1	This study	50S ribosomal protein L17	127	Y	Y		ribosome	translation					59840	3,16E+04	1,19E+05	15,68	680,91
RL18_ECOLI	P0C018	C6EGG2	A	F1 This study	F1	This study	50S ribosomal protein L18	117	Y	Y		ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			83651	5,62E+04	1,66E+05	30,62	1302,81
RL2_ECOLI	P60422	C6EGE9	A	F1 This study	F1	This study	50S ribosomal protein L2	273	Y	Y		ribosome	translation	RNA binding|rRNA binding|zinc ion binding	GO:0003723|GO:0008270|GO:0019843			23013	5,88E+03	4,48E+04	28,76	1226,02
RL20_ECOLI	P0A7L3	C6ECP1	A	F1 This study	F1	This study	50S ribosomal protein L20	118	Y	Y			translation	ribosomal large subunit assembly	GO:0000027			8254	9,99E+02	1,60E+04	11,59	507,96
RL28_ECOLI	P0A7M2	C6EDF4	A	F1 This study	F1	This study	50S ribosomal protein L28	78	Y	Y		ribosome	translation					23902	6,31E+03	4,67E+04	25,83	1104,73
RL5_ECOLI	P62399	C6EGF8	A	F1 This study	F1	This study	50S ribosomal protein L5	179	Y	Y		ribosome	translation	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			16608	3,51E+03	3,32E+04	411,46	16,173
RL7_ECOLI	P0A7K2	C6EE33	A	F1 This study	F1	This study	50S ribosomal protein L7/L12	121	Y	Y			translation					3058290	2,51E+07	5,76E+06	9,999	356580,75
RS10_ECOLI	P0A7R5	C6EGE5	A	F1 This study	F1	This study	30S ribosomal protein S10	103	Y	Y			translation	translation|transcription antitermination	GO:0031564|GO:0006412			7629	6,80E+02	1,28E+04	58,95	2458,58
RS12_ECOLI	P0A7S3	C6EGC2	A	F1 This study	F1	This study	30S ribosomal protein S12	124	Y	Y			translation	RNA folding|response to antibiotic|Group I intron splicing|positive regulation of RNA splicing|translation	GO:0046677|GO:0033120|GO:0034337|GO:0006412|GO:0000372			30864	1,00E+04	6,10E+04	16,78	727,17
RS13_ECOLI	P0A7S9	C6EGG8	A	F1 This study	F1	This study	30S ribosomal protein S13	118	Y	Y			translation	translation	GO:0006412			18403	3,16E+03	3,12E+04	137,95	5606,09
RS14_ECOLI	P0AG59	C6EGF9	A	F1 This study	F1	This study	30S ribosomal protein S14 (Ribosomal protein S14)	101	Y	Y			translation	translation	GO:0006412			442501	1,00E+06	8,85E+05	50,79	2,128
RS18_ECOLI	P0A7T7	C6ECE7	A	F1 This study	F1	This study	30S ribosomal protein S18	75	Y	Y		ribosome	translation	translation	GO:0006412			20654	4,64E+03	3,90E+04	55,23	2308,02		
RS2_ECOLI	P0A7V0	C6EAB6	A	F1 This study	F1	This study	30S ribosomal protein S2	241	Y	Y			translation	translation	GO:0006412			49607	2,31E+04	9,92E+04	340,45	13,459		
RS21_ECOLI	P68679	C6EHT0	A	F1 This study	F1	This study	30S ribosomal protein S21	71	Y	Y			translation	translation	GO:0006412			482738	1,00E+06	8,85E+05	2153,43	80476,72		
RS3_ECOLI	P0A7V3	C6EGF2	A	F1 This study	F1	This study	30S ribosomal protein S3	233	Y	Y			translation	translation	GO:0006412			41701	1,67E+04	8,21E+04	30,62	1302,81		
RS4_ECOLI	P0A7V8	C6EGH0	A	F1 This study	F1	This study	30S ribosomal protein S4	206	Y	Y			translation	response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation	GO:0046677|GO:0006353|GO:0006355|GO:0006351|GO:0006417			47279	2,00E+04	9,11E+04	83,83	3458,88		
RS5_ECOLI	P0A7W1	C6EGG3	A	F1 This study	F1	This study	30S ribosomal protein S5	167	Y	Y		intracellular::ribosome	translation	response to antibiotic|translation	GO:0046677|GO:0006412			36649	5,99E+03	4,53E+04	40,25	1698,32	0,6295	62950
RS9_ECOLI	P0A7X3	C6EH02	A	F1 This study	F1	This study	30S ribosomal protein S9	130	Y	Y		ribosome	translation	translation	GO:0006412			5325	3,72E+02	9,01E+03	38,81	1639,38		
RS11_ECOLI	P0A7R9	C6EGG9	A	F1 This study	F1	This study	30S ribosomal protein S11	129		Y			translation	translation	GO:0006412			4537	3,15E+02	8,19E+03	20,54	884,64		
RL13_ECOLI	P0AA10	C6EH01	A	F1 This study	F1	This study	50S ribosomal protein L13	142	Y			ribosome	translation	zinc ion binding	GO:0008270			55766	1,00E+04	6,10E+04	1332,52	50532,55		
RL19_ECOLI	P0A7K6	C6EJY6	A	F1 This study	F1	This study	50S ribosomal protein L19	115	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			11732	1,39E+03	1,94E+04	99	4064,14		
RL21_ECOLI	P0AG48	C6EH41	A	F1 This study	F1	This study	50S ribosomal protein L21	103	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			2486	9,90E+01	4,18E+03	18,31	791,36		
RL22_ECOLI	P61175	C6EGF1	A	F1 This study	F1	This study	50S ribosomal protein L22	110	Y			ribosome	translation	response to antibiotic	GO:0046677			6578290	1,00E+08	1,28E+07	9,999	356580,75		
RL23_ECOLI	P0ADZ0	C6EGE8	A	F1 This study	F1	This study	50S ribosomal protein L23	100	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			227320	3,16E+05	4,53E+05	38,81	1639,38		
RL24_ECOLI	P60624	C6EGF7	A	F1 This study	F1	This study	50S ribosomal protein L24	104	Y				translation	structural constituent of ribosome|RNA binding|rRNA binding	GO:0003723|GO:0003735|GO:0019843			344731	5,62E+05	6,34E+05	1,467	55462,14		
RL25_ECOLI	P68919	C6EA12	A	F1 This study	F1	This study	50S ribosomal protein L25	94	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			18293	3,16E+03	3,12E+04	132,35	5385,32		
RL27_ECOLI	P0A7L8	C6EH42	A	F1 This study	F1	This study	50S ribosomal protein L27	85	Y			ribosome	translation	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			12299	9,99E+02	1,60E+04	214,44	8598,07		
RL29_ECOLI	P0A7M6	C6EGF4	A	F1 This study	F1	This study	50S ribosomal protein L29	63	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			226864	3,16E+05	4,53E+05	16,78	727,17
RL3_ECOLI	P60438	C6EGE6	A	F1 This study	F1	This study	50S ribosomal protein L3	209	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			40381	1,58E+04	7,97E+04	24,81	1062,41
RL30_ECOLI	P0AG51	C6EGG4	A	F1 This study	F1	This study	50S ribosomal protein L30	59	Y			ribosome	translation					868187	3,16E+06	1,73E+06	157,49	6374,36
RL31_ECOLI	P0A7M9	C6EE73	A	F1 This study	F1	This study	50S ribosomal protein L31	70	Y			ribosome	translation	RNA binding|rRNA binding|metal ion binding	GO:0046872|GO:0003723|GO:0019843			182455	2,15E+05	3,63E+05	45,42	1909,42
RL32_ECOLI	P0A7N4	C6EHC5	A	F1 This study	F1	This study	50S ribosomal protein L32	57	Y			ribosome	translation					28570	4,64E+03	3,90E+04	463,16	18139,54
RL4_ECOLI	P60723	C6EGE7	A	F1 This study	F1	This study	50S ribosomal protein L4	201	Y			ribosome	translation	response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation	GO:0046677|GO:0006353|GO:0006355|GO:0006351|GO:0006417			14547	2,37E+03	2,64E+04	64,79	2694,37
RL6_ECOLI	P0AG55	C6EGG1	A	F1 This study	F1	This study	50S ribosomal protein L6	177	Y			ribosome	translation	response to antibiotic	GO:0046677			10191	1,29E+03	1,86E+04	42,29	1781,71
RL9_ECOLI	P0A7R1	C6ECE6	A	F1 This study	F1	This study	50S ribosomal protein L9	149	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			8384	9,99E+02	1,60E+04	17,74	767,47
RS1_ECOLI	P0AG67	C6EI71	A	F1 This study	F1	This study	30S ribosomal protein S1 (Ribosomal protein S1)	557	Y			cytoplasm::ribosome	translation	RNA binding	GO:0003723			135732	1,25E+05	2,64E+05	185,32	7463,64
