Merge ID	Biological Process (Uniprot)	Biological Process (EcoCyc)	Biological Process (EcoliWiki)	Molecular Function (Uniprot)	Molecular Function(EcoCyc)	Molecular Function (EcoliWiki)	Entry Name K12		Entry Name BL21(DE3)	Category	Suggested Category		Description	Protein Length	UNTREATED	TREATED		Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
P0ABA4	transport|proton transport|ion transport|ATP biosynthetic process		histidine biosynthetic process	ATP phosphoribosyltransferase activity			ATPD_ECOLI	P0ABA4	C6EG68	F1		curated	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta)	177	Y	Y		plasma membrane		transport|proton transport|ion transport|histidine biosynthetic process|ATP biosynthetic process	GO:0006810|GO:0006754|GO:0000105|GO:0015992|GO:0006811			2581	1,29E+01	1,28E+03	34,94	1480,65	0,04983	4983
P0ABA6	transport|proton transport|ion transport|ATP biosynthetic process		ATP synthesis coupled proton transport				ATPG_ECOLI	P0ABA6	C6EG70	F1		curated	p[	287	Y	Y		plasma membrane		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811			1689	5,49E+00	7,79E+02	36,93	1562,34	0,027269	2726,9
P0AC62	transport|deoxyribonucleotide biosynthetic process|electron transport chain						GLRX3_ECOLI	P0AC62	C6EDH9	A	F1?	This study	Glutaredoxin 3	83	Y					transport|deoxyribonucleotide biosynthetic process|electron transport chain	GO:0006810|GO:0009263|GO:0022900			581	5,31E+00	7,63E+02	9	398		
P08200	oxidation-reduction process|glyoxylate cycle|tricarboxylic acid cycle		tricarboxylic acid cycle|electron transport chain		oxidoreductase activity|isocitrate dehydrogenase (NADP+) activity|metal ion binding		IDH_ECOLI	P08200	C6EGV5	A	F1?	This study	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	416	Y					oxidation-reduction process|glyoxylate cycle|electron transport chain|tricarboxylic acid cycle	GO:0006099|GO:0006097|GO:0022900|GO:0055114			5690	3,15E+02	8,19E+03	77,14	3190,93		
P0A6J5	oxidation-reduction process				oxidoreductase activity|D-amino-acid dehydrogenase activity		DADA_ECOLI	P0A6J5	C6EGS8	F1		curated	D-amino acid dehydrogenase small subunit (EC 1.4.99.1) (D-amino-acid dehydrogenase) (EC 1.4.99.1)	432	Y	Y		plasma membrane		oxidation-reduction process	GO:0055114			179	2,74E-01	1,37E+02	4,88	220		
P0AC41	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain		oxidation-reduction process|tricarboxylic acid cycle|aerobic respiration	electron carrier activity|flavin adenine dinucleotide binding|succinate dehydrogenase activity	oxidoreductase activity|succinate dehydrogenase activity		DHSA_ECOLI	P0AC41	C6EJL4	F1		curated	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) (Succinate dehydrogenase or fumarate reductase, flavoprotein subunit)	588	Y	Y			transport	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain|aerobic respiration	GO:0006810|GO:0006099|GO:0022900|GO:0009060|GO:0055114			363	1,68E+00	3,92E+02	13,96	334,59		
P07014	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain	aerobic respiration			4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|3 iron, 4 sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding|succinate dehydrogenase activity	4 iron, 4 sulfur cluster binding|electron carrier activity|iron-sulfur cluster binding|3 iron, 4 sulfur cluster binding|2 iron, 2 sulfur cluster binding	DHSB_ECOLI	P07014	C6EJL3	F1		curated	Succinate dehydrogenase and fumarate reductase iron-sulfur protein (EC 1.3.99.1) (Succinate dehydrogenase, FeS subunit) (EC 1.3.99.1)	238	Y	Y		plasma membrane	transport	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain|aerobic respiration	GO:0006810|GO:0006099|GO:0022900|GO:0055114|GO:0009060			4946	1,51E+00	3,68E+02	18,95	9524,82		
P0A9P0	oxidation-reduction process|glycolysis		oxidation-reduction process|pyruvate metabolic process|glycine decarboxylation via glycine cleavage system|tricarboxylic acid cycle|2-oxoglutarate metabolic process	dihydrolipoyl dehydrogenase activity|disulfide oxidoreductase activity|flavin adenine dinucleotide binding|zinc ion binding	dihydrolipoyl dehydrogenase activity|oxidoreductase activity		DLDH_ECOLI	P0A9P0	C6EAU1	F1		curated	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	474	Y	Y		cytoplasm::cytosol::plasma membrane		oxidation-reduction process|pyruvate metabolic process|glycine decarboxylation via glycine cleavage system|glycolysis|tricarboxylic acid cycle|2-oxoglutarate metabolic process	GO:0006099|GO:0019464|GO:0006090|GO:0006103|GO:0006096|GO:0055114			15024	1,78E+03	2,24E+04	49,55	2077,52	0,20595	20595
P10346	amino acid transport|transport				nucleotide binding|ATP binding		GLNQ_ECOLI	P10346	C6EIX3	F1		curated	ABC transporter related (Glutamine ABC transporter ATP-binding protein)	240	Y	Y		plasma membrane	transport	amino acid transport|transport	GO:0006810|GO:0006865			246	1,15E+00	3,15E+02	3,92	177,58		
P0A717	nucleotide biosynthetic process|phosphorylation				transferase activity|kinase activity|ribose phosphate diphosphokinase activity|nucleotide binding|metal ion binding|ATP binding		KPRS_ECOLI	P0A717	C6EGQ9	A	F1?	This study	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	337	Y			cytoplasm		nucleotide biosynthetic process|phosphorylation	GO:0016310|GO:0009165			5344	5,52E+01	2,98E+03	26,38	1127,52	0,11925	11925
P0AB77				pyridoxal phosphate binding|metal ion binding|ligase activity	transferase activity|glycine C-acetyltransferase activity|acyltransferase activity		KBL_ECOLI	P0AB77	C6EDH2	A	F1?	This study	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	398	Y			cytoplasm	biosynthetic process	pyridoxal phosphate binding|transferase activity|glycine C-acetyltransferase activity|acyltransferase activity|ligase activity|metal ion binding	GO:0008415|GO:0046872|GO:0016740|GO:0030170|GO:0008890|GO:0016874			982	7,58E+00	9,39E+02	24,12	1033,75	0,0097452	974,52
P0A6F9	cell cycle|cell division		response to heat|phage assembly			unfolded protein binding	CH10_ECOLI	P0A6F9	C6ECY3	A	F1?	This study	10 kDa chaperonin (Protein Cpn10) (groES protein)	97	Y			cytosol	cell cycle::cell division::protein folding	response to heat|phage assembly|cell cycle|cell division	GO:0051301|GO:0009408|GO:0007049|GO:0042963			76558	2,14E+02	6,54E+03	99	4064,14	2,1907	219070
P0A6F5	cell cycle|cell division				nucleotide binding|ATP binding		CH60_ECOLI	P0A6F5	C6ECY2	A	F1?	This study	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548	Y			cytosol	cell cycle::cell division::protein folding	cell cycle|cell division	GO:0051301|GO:0007049			30502	1,00E+04	6,10E+04	92,26	3,796		
P63284	response to stress				nucleotide binding|ATP binding		CLPB_ECOLI	P63284	C6EJZ8	A	F1?	This study	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	857	Y			cytosol	response to stress	response to stress	GO:0006950			2349	1,98E+01	1,64E+03	12,53	547,85	0,048601	4860,1
P08622	DNA replication|response to stress	protein unfolding	protein refolding|response to heat|DNA replication	unfolded protein binding|protein disulfide isomerase activity|protein homodimerization activity|zinc ion binding	metal ion binding		DNAJ_ECOLI	P08622	C6EB39	A	F1?	This study	Chaperone protein dnaJ	376	Y			cytoplasm		protein refolding|response to heat|protein unfolding|DNA replication|response to stress	GO:0006260|GO:0006950|GO:0042026|GO:0009408|GO:0043335			1327	5,81E+00	8,05E+02	6,63	295,57	0,028798	2879,8
P0A6Y5	response to stress		response to heat				HSLO_ECOLI	P0A6Y5	C6EFH4	A	F1?	This study	33 kDa chaperonin (Heat shock protein 33 homolog)	292	Y			cytoplasm	protein folding	response to heat|response to stress	GO:0006950|GO:0009408			1479	7,11E+00	9,05E+02	3,92	177,58	0,03355	3355
P09372	response to stress	protein unfolding	response to heat				GRPE_ECOLI	P09372	C6EJX9	A	F1?	This study	Protein grpE (HSP-70 cofactor)	197	Y					response to heat|protein unfolding|response to stress	GO:0006950|GO:0009408|GO:0043335			11187	9,99E+02	1,60E+04	157,49	6374,36		
P23869	protein folding				isomerase activity|peptidyl-prolyl cis-trans isomerase activity		PPIB_ECOLI	P23869	C6EKU1	A	F1?	This study	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	164	Y			cytoplasm	protein folding	protein folding	GO:0006457			9509	9,90E+01	4,18E+03	45,42	1909,42	0,22437	22437
P0A6Y8	DNA replication|response to stress				nucleotide binding|ATP binding		DNAK_ECOLI	P0A6Y8	C6EB40	F1		curated	Chaperone protein DnaK (Molecular chaperone DnaK)	638	Y	Y				DNA replication|response to stress	GO:0006260|GO:0006950			44751	3,16E+03	3,12E+04	42,75	1,801	1,0305	103050
P0A6Z3	response to stress	protein folding	response to heat		nucleotide binding|ATP binding	ATPase activity, coupled	HTPG_ECOLI	P0A6Z3	C6EKZ1	F1		curated	Chaperone protein htpG (Heat shock protein htpG) (High temperature protein G)	624	Y					protein folding|response to heat|response to stress	GO:0006457|GO:0006950|GO:0009408			1469	2,96E+01	2,07E+03	20,13	867,51		
P0ADY1	protein folding|response to stress				isomerase activity|peptidyl-prolyl cis-trans isomerase activity		PPID_ECOLI	P0ADY1	C6EL22	B			Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	Y	Y		plasma membrane	protein folding::response to stress	protein folding|response to stress	GO:0006457|GO:0006950			464	4,41E+00	6,86E+02	5,38	241,38		
P0A6H5	response to stress		response to heat		nucleotide binding|ATP binding		HSLU_ECOLI	P0A6H5	C6EE78	A	F1?	This study	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	443	Y			cytoplasm		response to heat|response to stress	GO:0006950|GO:0009408			2526	9,00E+00	1,04E+03	10,72	470,95	0,060681	6068,1
P27298					metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding		OPDA_ECOLI	P27298	C6EEI7	A	F1?	This study	Oligopeptidase A (EC 3.4.24.70)/may process cleaved signal peptides/was found to be a defective signal peptide suppressor	680	Y			cytoplasm		metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding	GO:0046872|GO:0008237|GO:0008233|GO:0016787			350	2,91E+00	5,39E+02	3,56	161,74		
P75867					hydrolase activity|serine-type peptidase activity|peptidase activity		LONH_ECOLI	P75867	C6EI27	A	F1?	This study	Predicted peptidase (Putative ATP-dependent protease)	586	Y					hydrolase activity|serine-type peptidase activity|peptidase activity	GO:0016787|GO:0008233|GO:0008236			26			0,53	25,52		
P68767			plasmid recombination|peptide catabolic process	aminopeptidase activity|DNA binding	hydrolase activity|peptidase activity|aminopeptidase activity|metal ion binding		AMPA_ECOLI	P68767	C6EC91	A	F1?	This study	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503	Y			cytoplasm::intracellular		plasmid recombination|peptide catabolic process	GO:0042150|GO:0043171			347	3,28E+00	5,77E+02	2,56	117,49		
P0AEH1					metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding		RSEP_ECOLI	P0AEH1	C6EAA9	B			Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	450	Y	Y				metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding	GO:0046872|GO:0008237|GO:0008233|GO:0016787									
P02918	response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization|metabolic process	response to antibiotic|peptidoglycan biosynthetic process	response to drug	peptidoglycan glycosyltransferase activity|serine-type D-Ala-D-Ala carboxypeptidase activity	hydrolase activity|transferase activity, transferring glycosyl groups|transferase activity|catalytic activity	peptidoglycan glycosyltransferase activity|serine-type D-Ala-D-Ala carboxypeptidase activity|penicillin binding	PBPA_ECOLI	P02918	C6EFI0	B			Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	850	Y	Y				regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization|metabolic process	GO:0046677|GO:0009252|GO:0042493|GO:0008152|GO:0008360|GO:0007047			69	1,10E-01	8,04E+01			0,00057933	57,933
P00803			proteolysis|protein processing	peptidase activity|toxin binding	hydrolase activity|peptidase activity		LEP_ECOLI	P00803	C6EK19	B			Signal peptidase I (EC 3.4.21.89)	324	Y	Y		plasma membrane		proteolysis|protein processing	GO:0006508|GO:0016485			34			0,72	34,35		
P0AD68	regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|cell cycle|cell division|metabolic process|cellular cell wall organization		response to drug|cell division	peptidoglycan glycosyltransferase activity|penicillin binding	peptidoglycan glycosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity|catalytic activity		FTSI_ECOLI	P0AD68	C6EAX1	B			Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	588		Y			cell cycle::cell division	regulation of cell shape|response to antibiotic|response to drug|cellular cell wall organization|peptidoglycan biosynthetic process|cell cycle|metabolic process|cell division	GO:0042493|GO:0008152|GO:0008360|GO:0007047|GO:0009252|GO:0046677|GO:0051301|GO:0007049			7			0,13	6,53		
P0AD65	response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization|metabolic process		response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization	drug binding|serine-type D-Ala-D-Ala carboxypeptidase activity|carboxypeptidase activity|penicillin binding	catalytic activity		PBP2_ECOLI	P0AD65	C6EK58	B			Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	633		Y		plasma membrane		regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization|metabolic process	GO:0009252|GO:0046677|GO:0042493|GO:0008152|GO:0008360|GO:0007047									
P0AG14					hydrolase activity|serine-type peptidase activity|peptidase activity		SOHB_ECOLI	P0AG14	C6EFW5	B			Peptidase S49 domain protein (Predicted inner membrane peptidase)	349		Y		plasma membrane		hydrolase activity|serine-type peptidase activity|peptidase activity	GO:0016787|GO:0008233|GO:0008236			664	2,92E-01	1,41E+02	2,16	99,64	0,017513	1751,3
P08395			signal peptide processing		hydrolase activity|serine-type peptidase activity|peptidase activity		SPPA_ECOLI	P08395	C6ECJ1	B			Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)	618		Y				signal peptide processing	GO:0006465			20			0,42	20,37		
P0A705	translational initiation|translation			translation initiation factor activity	GTP binding|nucleotide binding|translation initiation factor activity		IF2_ECOLI	P0A705	C6EH57	A	F1	This study	Translation initiation factor IF-2	890	Y			cytoplasm::intracellular	translation	translational initiation|translation	GO:0006413|GO:0006412			1586	4,08E+01	2,50E+03	15,47	672,06		
P0A707	translational initiation|translation	response to cold|ribosome disassembly			RNA binding|translation initiation factor activity	ribosome binding|translation initiation factor activity	IF3_ECOLI	P0A707	C6ECN9	A	F1	This study	Translation initiation factor IF-3	180	Y			cytoplasm	translation	translational initiation|response to cold|ribosome disassembly|translation	GO:0006413|GO:0009409|GO:0006412|GO:0032790			13564	2,37E+03	2,64E+04	16,78	727,17		
P0A6M8	translational elongation|translation				GTP binding|translation elongation factor activity|nucleotide binding		EFG_ECOLI	P0A6M8	C6EGC4	A	F1	This study	Elongation factor G (EF-G)	704	Y			cytoplasm	translation	translational elongation|translation	GO:0006412|GO:0006414			22075	7,94E+03	5,33E+04	48,03	2,016	0,12923	12923
P0A6P1	translational elongation|translation			zinc ion binding	translation elongation factor activity		EFTS_ECOLI	P0A6P1	C6EAB5	A	F1	This study	Elongation factor Ts (EF-Ts)	283	Y			cytoplasm	translation	translational elongation|translation	GO:0006412|GO:0006414			33279	1,14E+04	6,60E+04	69,79	2895,73	0,3094	30940
P0A6K3	translation	N-terminal protein amino acid modification	N-terminal protein amino acid modification	peptide deformylase activity|zinc ion binding	hydrolase activity|peptide deformylase activity|metal ion binding	peptide deformylase activity|ferrous iron binding	DEF_ECOLI	P0A6K3	C6EGI0	A	F1	This study	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	169	Y				translation	translation|N-terminal protein amino acid modification	GO:0031365|GO:0006412			1531	2,05E+01	1,68E+03	1,37	64,08	0,02849	2849
P0AE18			protein initiator methionine removal	metalloaminopeptidase activity|ferrous iron binding	hydrolase activity|peptidase activity|aminopeptidase activity|metal ion binding		AMPM_ECOLI	P0AE18	C6EAB7	A	F1	This study	Methionine aminopeptidase (EC 3.4.11.18)	264	Y					protein initiator methionine removal	GO:0070084			2004	3,22E+00	5,71E+02	6,63	295,57	0,051445	5144,5
P39286			ribosomal small subunit biogenesis	GDP binding|GTPase activity	hydrolase activity|GTP binding|nucleotide binding|metal ion binding		RSGA_ECOLI	P39286	C6ECW4	A	F1	This study	Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)	350	Y					ribosomal small subunit biogenesis	GO:0042274			505	5,40E-01	2,02E+02			0,0080707	807,07
P0A850	protein folding|cell cycle|cell division		protein complex assembly|'de novo' cotranslational protein folding	protein binding involved in protein folding|peptidyl-prolyl cis-trans isomerase activity|ribosome binding	isomerase activity|peptidyl-prolyl cis-trans isomerase activity		TIG_ECOLI	P0A850	C6EL29	A	F1	This study	Trigger factor (TF)	432	Y			cytosol	cell cycle::protein complex assembly	protein folding|protein complex assembly|cell cycle|cell division|'de novo' cotranslational protein folding	GO:0006457|GO:0051083|GO:0051301|GO:0006461|GO:0007049			21449	3,16E+03	3,12E+04	67,13	2788,66	0,30357	30357
P0C0R7	methylation|rRNA processing|response to stress		enzyme-directed rRNA 2'-O-methylation	rRNA (uridine-2'-O-)-methyltransferase activity	methyltransferase activity|transferase activity		RLME_ECOLI	P0C0R7	C6EH48	A	F1?	This study	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) (23S rRNA Um2252 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	209	Y			cytoplasm	response to stress	enzyme-directed rRNA 2'-O-methylation|methylation|rRNA processing|response to stress	GO:0000453|GO:0006950|GO:0032259|GO:0006364			240	6,68E-01	2,29E+02	0,43	20,84	0,0047117	471,17
P0A7L0	regulation of translation	negative regulation of translational initiation			RNA binding|rRNA binding|tRNA binding		RL1_ECOLI	P0A7L0	C6EE35	A	F1	This study	50S ribosomal protein L1	234	Y	Y		ribosome		negative regulation of translational initiation|regulation of translation	GO:0045947|GO:0006417			45011	1,87E+04	8,78E+04	53,12	2222,48		
P0A7J3	regulation of translation				RNA binding		RL10_ECOLI	P0A7J3	C6EE34	A	F1	This study	50S ribosomal protein L10	165	Y	Y		intracellular::ribosome	ribosome biogenesis::translation	regulation of translation	GO:0006417			9867	1,33E+03	1,89E+04	19,31	833,23		
P0A7J7		stringent response|translational termination			RNA binding|rRNA binding	rRNA binding	RL11_ECOLI	P0A7J7	C6EE36	A	F1	This study	50S ribosomal protein L11	142	Y	Y			translation	stringent response|translational termination	GO:0006415|GO:0015968			5354	4,63E+02	1,02E+04	11,59	507,96		
P0ADY3					RNA binding|rRNA binding		RL14_ECOLI	P0ADY3	C6EGF6	A	F1	This study	50S ribosomal protein L14	123	Y	Y		ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			10451	1,58E+03	2,09E+04	50,79	2,128		
P02413					RNA binding|rRNA binding		RL15_ECOLI	P02413	C6EGG5	A	F1	This study	50S ribosomal protein L15	144	Y	Y		ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			20017	4,64E+03	3,90E+04	24,12	1033,75		
P0ADY7					RNA binding|rRNA binding|tRNA binding		RL16_ECOLI	P0ADY7	C6EGF3	A	F1	This study	50S ribosomal protein L16	136	Y	Y		ribosome	translation	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			5982	5,61E+02	1,14E+04	12,89	563,11		
P0C018					RNA binding|rRNA binding		RL18_ECOLI	P0C018	C6EGG2	A	F1	This study	50S ribosomal protein L18	117	Y	Y		ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			83651	5,62E+04	1,66E+05	30,62	1302,81		
P60422				zinc ion binding	RNA binding|rRNA binding		RL2_ECOLI	P60422	C6EGE9	A	F1	This study	50S ribosomal protein L2	273	Y	Y		ribosome	translation	RNA binding|rRNA binding|zinc ion binding	GO:0003723|GO:0008270|GO:0019843			23013	5,88E+03	4,48E+04	28,76	1226,02		
P0A7L3		ribosomal large subunit assembly			RNA binding|rRNA binding	structural constituent of ribosome|translation repressor activity, nucleic acid binding	RL20_ECOLI	P0A7L3	C6ECP1	A	F1	This study	50S ribosomal protein L20	118	Y	Y			translation	ribosomal large subunit assembly	GO:0000027			8254	9,99E+02	1,60E+04	11,59	507,96		
P62399					RNA binding|rRNA binding|tRNA binding		RL5_ECOLI	P62399	C6EGF8	A	F1	This study	50S ribosomal protein L5	179	Y	Y		ribosome	translation	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			16608	3,51E+03	3,32E+04	411,46	16,173		
P0A7R5			translation|transcription antitermination	structural constituent of ribosome|tRNA binding			RS10_ECOLI	P0A7R5	C6EGE5	A	F1	This study	30S ribosomal protein S10	103	Y	Y			translation	translation|transcription antitermination	GO:0031564|GO:0006412			7629	6,80E+02	1,28E+04	58,95	2458,58		
P0A7S3	response to antibiotic	RNA folding|Group I intron splicing|positive regulation of RNA splicing|translation	translation	structural constituent of ribosome	RNA binding|rRNA binding|tRNA binding	rRNA binding|misfolded RNA binding	RS12_ECOLI	P0A7S3	C6EGC2	A	F1	This study	30S ribosomal protein S12	124	Y	Y			translation	RNA folding|response to antibiotic|Group I intron splicing|positive regulation of RNA splicing|translation	GO:0046677|GO:0033120|GO:0034337|GO:0006412|GO:0000372			30864	1,00E+04	6,10E+04	16,78	727,17		
P0A7S9			translation	structural constituent of ribosome	RNA binding|rRNA binding|tRNA binding		RS13_ECOLI	P0A7S9	C6EGG8	A	F1	This study	30S ribosomal protein S13	118	Y	Y			translation	translation	GO:0006412			18403	3,16E+03	3,12E+04	137,95	5606,09		
P0AG59			translation	structural constituent of ribosome			RS14_ECOLI	P0AG59	C6EGF9	A	F1	This study	30S ribosomal protein S14 (Ribosomal protein S14)	101	Y	Y			translation	translation	GO:0006412			442501	1,00E+06	8,85E+05	50,79	2,128		
P0A7T7			translation		RNA binding|rRNA binding		RS18_ECOLI	P0A7T7	C6ECE7	A	F1	This study	30S ribosomal protein S18	75	Y	Y		ribosome	translation	translation	GO:0006412			20654	4,64E+03	3,90E+04	55,23	2308,02		
P0A7V0			translation	structural constituent of ribosome|zinc ion binding			RS2_ECOLI	P0A7V0	C6EAB6	A	F1	This study	30S ribosomal protein S2	241	Y	Y			translation	translation	GO:0006412			49607	2,31E+04	9,92E+04	340,45	13,459		
P68679			translation	structural constituent of ribosome			RS21_ECOLI	P68679	C6EHT0	A	F1	This study	30S ribosomal protein S21	71	Y	Y			translation	translation	GO:0006412			482738	1,00E+06	8,85E+05	2153,43	80476,72		
P0A7V3			translation	structural constituent of ribosome|SSU rRNA binding	RNA binding|rRNA binding		RS3_ECOLI	P0A7V3	C6EGF2	A	F1	This study	30S ribosomal protein S3	233	Y	Y			translation	translation	GO:0006412			41701	1,67E+04	8,21E+04	30,62	1302,81		
P0A7V8	response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation				RNA binding|rRNA binding		RS4_ECOLI	P0A7V8	C6EGH0	A	F1	This study	30S ribosomal protein S4	206	Y	Y			translation	response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation	GO:0046677|GO:0006353|GO:0006355|GO:0006351|GO:0006417			47279	2,00E+04	9,11E+04	83,83	3458,88		
P0A7W1	response to antibiotic		translation		RNA binding|rRNA binding		RS5_ECOLI	P0A7W1	C6EGG3	A	F1	This study	30S ribosomal protein S5	167	Y	Y		intracellular::ribosome	translation	response to antibiotic|translation	GO:0046677|GO:0006412			36649	5,99E+03	4,53E+04	40,25	1698,32	0,6295	62950
P0A7X3			translation	structural constituent of ribosome	RNA binding|tRNA binding		RS9_ECOLI	P0A7X3	C6EH02	A	F1	This study	30S ribosomal protein S9	130	Y	Y		ribosome	translation	translation	GO:0006412			5325	3,72E+02	9,01E+03	38,81	1639,38		
P0A7R9			translation	structural constituent of ribosome|SSU rRNA binding	RNA binding|rRNA binding		RS11_ECOLI	P0A7R9	C6EGG9	A	F1	This study	30S ribosomal protein S11	129		Y			translation	translation	GO:0006412			4537	3,15E+02	8,19E+03	20,54	884,64		
P0AA10				zinc ion binding			RL13_ECOLI	P0AA10	C6EH01	A	F1	This study	50S ribosomal protein L13	142	Y			ribosome	translation	zinc ion binding	GO:0008270			55766	1,00E+04	6,10E+04	1332,52	50532,55		
P0A7K6					RNA binding|rRNA binding		RL19_ECOLI	P0A7K6	C6EJY6	A	F1	This study	50S ribosomal protein L19	115	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			11732	1,39E+03	1,94E+04	99	4064,14		
P0AG48					RNA binding|rRNA binding		RL21_ECOLI	P0AG48	C6EH41	A	F1	This study	50S ribosomal protein L21	103	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			2486	9,90E+01	4,18E+03	18,31	791,36		
P61175	response to antibiotic				RNA binding|rRNA binding		RL22_ECOLI	P61175	C6EGF1	A	F1	This study	50S ribosomal protein L22	110	Y			ribosome	translation	response to antibiotic	GO:0046677			6578290	1,00E+08	1,28E+07	9,999	356580,75		
P0ADZ0					RNA binding|rRNA binding		RL23_ECOLI	P0ADZ0	C6EGE8	A	F1	This study	50S ribosomal protein L23	100	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			227320	3,16E+05	4,53E+05	38,81	1639,38		
P60624				structural constituent of ribosome	RNA binding|rRNA binding		RL24_ECOLI	P60624	C6EGF7	A	F1	This study	50S ribosomal protein L24	104	Y				translation	structural constituent of ribosome|RNA binding|rRNA binding	GO:0003723|GO:0003735|GO:0019843			344731	5,62E+05	6,34E+05	1,467	55462,14		
P68919					RNA binding|rRNA binding		RL25_ECOLI	P68919	C6EA12	A	F1	This study	50S ribosomal protein L25	94	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			18293	3,16E+03	3,12E+04	132,35	5385,32		
P0A7L8					RNA binding|rRNA binding|tRNA binding		RL27_ECOLI	P0A7L8	C6EH42	A	F1	This study	50S ribosomal protein L27	85	Y			ribosome	translation	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			12299	9,99E+02	1,60E+04	214,44	8598,07		
P0A7M6					RNA binding|rRNA binding		RL29_ECOLI	P0A7M6	C6EGF4	A	F1	This study	50S ribosomal protein L29	63	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			226864	3,16E+05	4,53E+05	16,78	727,17		
P60438					RNA binding|rRNA binding		RL3_ECOLI	P60438	C6EGE6	A	F1	This study	50S ribosomal protein L3	209	Y			ribosome	translation	RNA binding|rRNA binding	GO:0003723|GO:0019843			40381	1,58E+04	7,97E+04	24,81	1062,41		
