Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED		BAES_ECOLI	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
ISPG_ECOLI	C6EKJ4	A	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	372	Y			ISPG_ECOLI	4 iron, 4 sulfur cluster binding|4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
EFTS_ECOLI	C6EAB5	A	Elongation factor Ts (EF-Ts)	283	Y		translational elongation	EFTS_ECOLI	translation elongation factor activity|zinc ion binding
NUOI_ECOLI	C6E9S1	F1	NADH-quinone oxidoreductase subunit I (EC 1.6.99.5) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	180	Y	Y		NUOI_ECOLI	4 iron, 4 sulfur cluster binding|oxidoreduction-driven active transmembrane transporter activity|oxidoreductase activity|quinone binding|iron-sulfur cluster binding|NADH dehydrogenase (quinone) activity|metal ion binding
AMPM_ECOLI	C6EAB7	A	Methionine aminopeptidase (EC 3.4.11.18)	264	Y		protein initiator methionine removal	AMPM_ECOLI	hydrolase activity|peptidase activity|metalloaminopeptidase activity|ferrous iron binding|aminopeptidase activity|metal ion binding
SYM_ECOLI	C6EAJ7	A	Methionyl-tRNA synthetase	677	Y		translation	SYM_ECOLI	methionine-tRNA ligase activity|tRNA binding|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding
IDH_ECOLI	C6EGV5	A	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	416	Y			IDH_ECOLI	oxidoreductase activity|isocitrate dehydrogenase (NADP+) activity|metal ion binding
SYY_ECOLI	C6EDK8	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424	Y		translation	SYY_ECOLI	RNA binding|tyrosine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
SYA_ECOLI	C6EJT4	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	876	Y		translation	SYA_ECOLI	alanine-tRNA ligase activity|tRNA binding|aminoacyl-tRNA editing activity|nucleotide binding|ATP binding|ligase activity|RNA binding|zinc ion binding|aminoacyl-tRNA ligase activity|metal ion binding
DNAK_ECOLI	C6EB40	F1	Chaperone protein DnaK (Molecular chaperone DnaK)	638	Y	Y		DNAK_ECOLI	nucleotide binding|ATP binding
PDXH_ECOLI	C6EDK7	A	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (Pyridoxal 5'-phosphate synthase)	218	Y			PDXH_ECOLI	oxidoreductase activity|FMN binding|pyridoxamine-phosphate oxidase activity
RL27_ECOLI	C6EH42	A	50S ribosomal protein L27	85	Y		ribosome	RL27_ECOLI	RNA binding|rRNA binding|tRNA binding
ACON2_ECOLI	C6EAT9	A	Aconitate hydratase 2 (EC 4.2.1.3)	865	Y		regulation of translation	ACON2_ECOLI	4 iron, 4 sulfur cluster binding|lyase activity|mRNA 3'-UTR binding|isocitrate hydro-lyase (cis-aconitate-forming) activity|aconitate hydratase activity|2-methylisocitrate dehydratase activity|citrate hydro-lyase (cis-aconitate-forming) activity|iron-sulfur cluster binding|mRNA binding|metal ion binding
GLMS_ECOLI	C6EG74	A	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	609	Y			GLMS_ECOLI	transaminase activity|transferase activity|glutamine-fructose-6-phosphate transaminase (isomerizing) activity
RS7_ECOLI	C6EGC3	A	30S ribosomal protein S7	156	Y		ribosome	RS7_ECOLI	mRNA binding|RNA binding|tRNA binding|rRNA binding
ARLY_ECOLI	C6EE49	A	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	457	Y			ARLY_ECOLI	argininosuccinate synthase activity|lyase activity|argininosuccinate lyase activity|ATP binding
RL3_ECOLI	C6EGE6	A	50S ribosomal protein L3	209	Y		ribosome	RL3_ECOLI	RNA binding|rRNA binding
TPIS_ECOLI	C6EEX9	A	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	255	Y			TPIS_ECOLI	isomerase activity|triose-phosphate isomerase activity
DNAA_ECOLI	C6ECH7	F1	Chromosomal replication initiator protein dnaA	467		Y		DNAA_ECOLI	sequence-specific DNA binding|DNA binding|nucleotide binding|ATP binding
GATD_ECOLI	C6EAL9	A	Alcohol dehydrogenase GroES domain protein (Galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding) (EC 1.1.1.251)	346	Y			GATD_ECOLI	oxidoreductase activity|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|galactitol-1-phosphate 5-dehydrogenase activity|metal ion binding
PROQ_ECOLI	C6EBZ8	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	232	Y	Y		PROQ_ECOLI	enzyme activator activity
METH_ECOLI	C6EE05	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	1227	Y			METH_ECOLI	methyltransferase activity|cobalamin binding|transferase activity|metal ion binding|methionine synthase activity
RL6_ECOLI	C6EGG1	A	50S ribosomal protein L6	177	Y		ribosome	RL6_ECOLI	RNA binding|rRNA binding
TYPH_ECOLI	C6EBI9	A	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	440	Y			TYPH_ECOLI	thymidine phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity
YADG_ECOLI	C6EAT0	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	308		Y		YADG_ECOLI	nucleotide binding|ATP binding
PSS_ECOLI	C6EK01	F1	Phosphatidylserine synthase (EC 2.7.8.8) (Phospholipase D/Transphosphatidylase)	451	Y	Y		PSS_ECOLI	CDP-diacylglycerol-serine O-phosphatidyltransferase activity|transferase activity
SEQA_ECOLI	C6EJP7	F1	Regulatory protein for replication initiation (SeqA family protein)	181	Y			SEQA_ECOLI	DNA binding
SYN_ECOLI	C6EI52	A	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	466	Y		translation	SYN_ECOLI	asparaginase activity|asparagine-tRNA ligase activity|nucleotide binding|ligase activity|ATP binding|amino acid binding|asparagine synthase (glutamine-hydrolyzing) activity|aminoacyl-tRNA ligase activity
MDH_ECOLI	C6EGZ6	F1	Malate dehydrogenase (EC 1.1.1.37)	312	Y			MDH_ECOLI	L-malate dehydrogenase activity|oxidoreductase activity|malate dehydrogenase activity
RS17_ECOLI	C6EGF5	A	30S ribosomal protein S17	84	Y		ribosome	RS17_ECOLI	structural constituent of ribosome|SSU rRNA binding|RNA binding|rRNA binding
RLME_ECOLI	C6EH48	A	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) (23S rRNA Um2252 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	209	Y			RLME_ECOLI	methyltransferase activity|rRNA (uridine-2'-O-)-methyltransferase activity|transferase activity
MLAF_ECOLI	C6EH32	F1	ABC transporter related (Predicted toluene transporter subunit: ATP-binding component of ABC superfamily)	269		Y		MLAF_ECOLI	hydrolase activity|phospholipid transporter activity|nucleotide binding|ATP binding
EFG_ECOLI	C6EGC4	A	Elongation factor G (EF-G)	704	Y		translational elongation	EFG_ECOLI	GTP binding|translation elongation factor activity|nucleotide binding
RLUB_ECOLI	C6EFW8	A	Pseudouridine synthase (EC 5.4.99.-)	291	Y			RLUB_ECOLI	isomerase activity|pseudouridine synthase activity|RNA binding
NUOF_ECOLI	C6E9R8	F1	NADH-quinone oxidoreductase, F subunit (EC 1.6.99.5) (NADH:ubiquinone oxidoreductase, chain F) (EC 1.6.5.3)	445	Y	Y		NUOF_ECOLI	4 iron, 4 sulfur cluster binding|oxidoreductase activity|quinone binding|iron-sulfur cluster binding|NAD binding|NADH dehydrogenase (quinone) activity|metal ion binding
ASPA_ECOLI	C6ECY6	A	Aspartate ammonia-lyase	478	Y			ASPA_ECOLI	lyase activity|aspartate ammonia-lyase activity
GUAA_ECOLI	C6EKK2	A	Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)	525	Y			GUAA_ECOLI	GMP synthase (glutamine-hydrolyzing) activity|GMP synthase activity|nucleotide binding|ligase activity|ATP binding
RSGA_ECOLI	C6ECW4	A	Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)	350	Y			RSGA_ECOLI	GDP binding|hydrolase activity|GTP binding|GTPase activity|nucleotide binding|metal ion binding
PLSB_ECOLI	C6EDX9	F1	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	807	Y	Y		PLSB_ECOLI	glycerol-3-phosphate O-acyltransferase activity|transferase activity|acyltransferase activity
DHSB_ECOLI	C6EJL3	F1	Succinate dehydrogenase and fumarate reductase iron-sulfur protein (EC 1.3.99.1) (Succinate dehydrogenase, FeS subunit) (EC 1.3.99.1)	238	Y	Y		DHSB_ECOLI	electron carrier activity|4 iron, 4 sulfur cluster binding|3 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|succinate dehydrogenase activity|metal ion binding
RS10_ECOLI	C6EGE5	A	30S ribosomal protein S10	103	Y	Y	ribosome	RS10_ECOLI	structural constituent of ribosome|tRNA binding
RS21_ECOLI	C6EHT0	A	30S ribosomal protein S21	71	Y	Y	ribosome	RS21_ECOLI	structural constituent of ribosome
6PGD_ECOLI	C6EB56	A	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	468	Y			6PGD_ECOLI	oxidoreductase activity|phosphogluconate dehydrogenase (decarboxylating) activity|protein homodimerization activity
GLTB_ECOLI	C6EH15	A	Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)	1517	Y			GLTB_ECOLI	oxidoreductase activity|iron-sulfur cluster binding|3 iron, 4 sulfur cluster binding|metal ion binding|glutamate synthase (NADPH) activity
OMPR_ECOLI	C6EFG9	A	Two component transcriptional regulator, winged helix family	239	Y	Y		OMPR_ECOLI	two-component response regulator activity|DNA binding
RPOB_ECOLI	C6EE32	A	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	1342	Y			RPOB_ECOLI	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity
RHO_ECOLI	C6EG30	A	Transcription termination factor Rho	419	Y	Y		RHO_ECOLI	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding
NUOB_ECOLI	C6E9R5	F1	NADH-quinone oxidoreductase subunit B (EC 1.6.99.5) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	220	Y			NUOB_ECOLI	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|quinone binding|oxidoreductase activity|oxidoreduction-driven active transmembrane transporter activity|NADH dehydrogenase (quinone) activity|NADH dehydrogenase (ubiquinone) activity|metal ion binding
ENO_ECOLI	C6EJ93	A	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	432	Y			ENO_ECOLI	phosphopyruvate hydratase activity|protein binding|lyase activity|magnesium ion binding|metal ion binding
PLSX_ECOLI	C6EHC4	A	Fatty acid/phospholipid synthesis protein PlsX	346		Y		PLSX_ECOLI	transferase activity, transferring acyl groups other than amino-acyl groups|transferase activity
RL1_ECOLI	C6EE35	A	50S ribosomal protein L1	234	Y	Y	regulation of translation	RL1_ECOLI	RNA binding|rRNA binding|tRNA binding
RS12_ECOLI	C6EGC2	A	30S ribosomal protein S12	124	Y	Y	ribosome	RS12_ECOLI	structural constituent of ribosome|RNA binding|tRNA binding|rRNA binding|misfolded RNA binding
MQO_ECOLI	C6E9Y9	F1	Probable malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	548	Y			MQO_ECOLI	malate dehydrogenase (menaquinone) activity|malate dehydrogenase (quinone) activity|oxidoreductase activity
RFAP_ECOLI	C6EDG1	A	Lipopolysaccharide kinase	265		Y		RFAP_ECOLI	transferase activity|kinase activity|nucleotide binding|ATP binding
LACI_ECOLI	C6EJI7	A	Transcriptional regulator, LacI family	363	Y	Y		LACI_ECOLI	DNA binding
RS3_ECOLI	C6EGF2	A	30S ribosomal protein S3	233	Y	Y	ribosome	RS3_ECOLI	structural constituent of ribosome|SSU rRNA binding|RNA binding|rRNA binding
RL15_ECOLI	C6EGG5	A	50S ribosomal protein L15	144	Y	Y	ribosome	RL15_ECOLI	RNA binding|rRNA binding
ACEA_ECOLI	C6EE08	A	Isocitrate lyase	434	Y			ACEA_ECOLI	lyase activity|isocitrate lyase activity
RL31_ECOLI	C6EE73	A	50S ribosomal protein L31	70	Y		ribosome	RL31_ECOLI	RNA binding|rRNA binding|metal ion binding
GLNQ_ECOLI	C6EIX3	F1	ABC transporter related (Glutamine ABC transporter ATP-binding protein)	240	Y	Y		GLNQ_ECOLI	nucleotide binding|ATP binding
RS4_ECOLI	C6EGH0	A	30S ribosomal protein S4	206	Y	Y	regulation of translation	RS4_ECOLI	RNA binding|rRNA binding
RS13_ECOLI	C6EGG8	A	30S ribosomal protein S13	118	Y	Y	ribosome	RS13_ECOLI	structural constituent of ribosome|RNA binding|rRNA binding|tRNA binding
RL22_ECOLI	C6EGF1	A	50S ribosomal protein L22	110	Y		ribosome	RL22_ECOLI	RNA binding|rRNA binding
PTNAB_ECOLI	C6EC13	F1	Fused mannose-specific PTS enzymes: IIA component/IIB component (EC 2.7.1.69) (PTS system, mannose/fructose/sorbose family, IIA subunit) (EC 2.7.1.69)	323	Y			PTNAB_ECOLI	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
WECG_ECOLI	C6EG17	A	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246		Y		WECG_ECOLI	transferase activity, transferring glycosyl groups|transferase activity
MURG_ECOLI	C6EAW5	F1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	355	Y	Y		MURG_ECOLI	UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity|transferase activity, transferring glycosyl groups|undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity|transferase activity
DNAJ_ECOLI	C6EB39	A	Chaperone protein dnaJ	376	Y			DNAJ_ECOLI	unfolded protein binding|protein homodimerization activity|protein disulfide isomerase activity|zinc ion binding|metal ion binding
TALB_ECOLI	C6EBG1	A	Transaldolase (EC 2.2.1.2)	317	Y			TALB_ECOLI	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity|transferase activity
SUHB_ECOLI	C6EKH4	A	Inositol monophosphatase	267	Y			SUHB_ECOLI	glycerol-2-phosphatase activity|hydrolase activity|magnesium ion binding|inositol-1(or 4)-monophosphatase activity|lithium ion binding|metal ion binding
PPK_ECOLI	C6EKL0	F1	Polyphosphate kinase (EC 2.7.4.1)	688	Y			PPK_ECOLI	transferase activity|polyphosphate kinase activity|nucleotide binding|kinase activity|ATP binding
NUOCD_ECOLI	C6E9R6	F1	NADH dehydrogenase I, D subunit (NADH:ubiquinone oxidoreductase, chain C,D) (EC 1.6.5.3)	600	Y	Y		NUOCD_ECOLI	oxidoreductase activity|oxidoreduction-driven active transmembrane transporter activity|quinone binding|NADH dehydrogenase (quinone) activity|NADH dehydrogenase (ubiquinone) activity|catalytic activity
CLPB_ECOLI	C6EJZ8	A	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	857	Y			CLPB_ECOLI	nucleotide binding|ATP binding
LOLD_ECOLI	C6EGX5	F1	Lipoprotein releasing system, ATP-binding protein (Outer membrane-specific lipoprotein transporter subunit)	233	Y	Y		LOLD_ECOLI	hydrolase activity|lipoprotein transporter activity|nucleotide binding|ATP binding
PHOL_ECOLI	C6EK35	A	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	359	Y			PHOL_ECOLI	nucleotide binding|ATP binding
HSLU_ECOLI	C6EE78	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	443	Y			HSLU_ECOLI	nucleotide binding|ATP binding
PPIB_ECOLI	C6EKU1	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	164	Y			PPIB_ECOLI	isomerase activity|peptidyl-prolyl cis-trans isomerase activity
GPMA_ECOLI	C6EJI9	A	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	250	Y			GPMA_ECOLI	isomerase activity|phosphoglycerate mutase activity|2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity|protein homodimerization activity
GYRB_ECOLI	C6ECI0	A	DNA gyrase subunit B (EC 5.99.1.3)	804	Y			GYRB_ECOLI	isomerase activity|DNA topoisomerase activity|DNA topoisomerase (ATP-hydrolyzing) activity|DNA-dependent ATPase activity|DNA binding|nucleotide binding|ATP binding
ACCA_ECOLI	C6EAA0	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	Y			ACCA_ECOLI	acetyl-CoA carboxylase activity|nucleotide binding|ligase activity|ATP binding
RS11_ECOLI	C6EGG9	A	30S ribosomal protein S11	129		Y	ribosome	RS11_ECOLI	structural constituent of ribosome|SSU rRNA binding|RNA binding|rRNA binding
HTPG_ECOLI	C6EKZ1	F1	Chaperone protein htpG (Heat shock protein htpG) (High temperature protein G)	624	Y			HTPG_ECOLI	ATPase activity, coupled|nucleotide binding|ATP binding
HRPA_ECOLI	C6EEV0	A	ATP-dependent helicase HrpA	1300	Y		mRNA processing	HRPA_ECOLI	hydrolase activity|helicase activity|nucleotide binding|ATP binding
DADA_ECOLI	C6EGS8	F1	D-amino acid dehydrogenase small subunit (EC 1.4.99.1) (D-amino-acid dehydrogenase) (EC 1.4.99.1)	432	Y	Y		DADA_ECOLI	oxidoreductase activity|D-amino-acid dehydrogenase activity
FRDA_ECOLI	C6ECW9	F1	Fumarate reductase (EC 1.3.99.1) (Fumarate reductase, flavoprotein subunit)	602	Y			FRDA_ECOLI	oxidoreductase activity|succinate dehydrogenase activity
PGK_ECOLI	C6EII3	A	Phosphoglycerate kinase (EC 2.7.2.3)	387	Y			PGK_ECOLI	phosphoglycerate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
PPSA_ECOLI	C6ECQ5	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	792	Y			PPSA_ECOLI	magnesium ion binding|transferase activity|kinase activity|pyruvate, water dikinase activity|nucleotide binding|metal ion binding|ATP binding
KAD_ECOLI	C6EKZ0	A	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	214	Y			KAD_ECOLI	magnesium ion binding|transferase activity|nucleotide binding|kinase activity|ATP binding|adenylate kinase activity|AMP binding
DHNA_ECOLI	C6EGY3	F1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase (Respiratory NADH dehydrogenase 2/cupric reductase) (EC 1.16.1.-) (EC 1.6.99.3)	434	Y	Y		DHNA_ECOLI	NADH dehydrogenase activity|oxidoreductase activity|NADH dehydrogenase (ubiquinone) activity|flavin adenine dinucleotide binding
NUOG_ECOLI	C6E9R9	F1	NADH-quinone oxidoreductase (EC 1.6.99.5)	908	Y	Y		NUOG_ECOLI	4 iron, 4 sulfur cluster binding|oxidoreduction-driven active transmembrane transporter activity|oxidoreductase activity|quinone binding|iron-sulfur cluster binding|NADH dehydrogenase (quinone) activity|2 iron, 2 sulfur cluster binding|metal ion binding
RPOE_ECOLI	C6EK14	F1	RNA polymerase sigma factor	191	Y			RPOE_ECOLI	sigma factor activity|DNA binding
AMPA_ECOLI	C6EC91	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503	Y			AMPA_ECOLI	hydrolase activity|peptidase activity|aminopeptidase activity|DNA binding|metal ion binding
ACCD_ECOLI	C6ELD7	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304	Y	Y	regulation of translation	ACCD_ECOLI	acetyl-CoA carboxylase activity|DNA binding|nucleotide binding|ATP binding|ligase activity|mRNA binding|RNA binding|zinc ion binding|metal ion binding
PARC_ECOLI	C6EHX4	F1	DNA topoisomerase IV subunit A (EC 5.99.1.-) (DNA topoisomerase IV, A subunit) (EC 5.99.1.3)	752	Y			PARC_ECOLI	DNA topological change|sister chromatid cohesion|chromosome segregation|plasmid partitioning|DNA-dependent DNA replication
GCSP_ECOLI	C6EIK5	A	Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase)	957	Y			GCSP_ECOLI	oxidation-reduction process
HFLX_ECOLI	C6ECH6	A	GTP-binding proten HflX (Predicted GTPase)	426	Y			HFLX_ECOLI	response to heat
DLDH_ECOLI	C6EAU1	F1	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	474	Y	Y		DLDH_ECOLI	oxidation-reduction process|pyruvate metabolic process|glycine decarboxylation via glycine cleavage system|glycolysis|tricarboxylic acid cycle|2-oxoglutarate metabolic process
RS6_ECOLI	C6ECE9	A	30S ribosomal protein S6	131	Y		ribosome	RS6_ECOLI	translation
UGPC_ECOLI	C6EFC4	F1	ABC transporter related	356	Y	Y		UGPC_ECOLI	carbohydrate transport|glycerol-3-phosphate transport|transport|glycerol-2-phosphate transport
METN_ECOLI	C6EA85	F1	D-methionine ABC transporter, ATPase subunit (DL-methionine transporter subunit)	343	Y	Y		METN_ECOLI	amino acid transport|transport
HEMG_ECOLI	C6EF48	A	Protoporphyrin oxidase, flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)	181	Y	Y		HEMG_ECOLI	oxidation-reduction process|heme biosynthetic process|porphyrin biosynthetic process
RLUF_ECOLI	C6EE02	A	Pseudouridine synthase (EC 5.4.99.-)	290	Y			RLUF_ECOLI	rRNA processing|enzyme-directed rRNA pseudouridine synthesis
PYRG_ECOLI	C6EJ92	A	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	545	Y			PYRG_ECOLI	glutamine metabolic process|pyrimidine nucleotide biosynthetic process|CTP biosynthetic process
DNAB_ECOLI	C6EDW8	A	Replicative DNA helicase	471	Y			DNAB_ECOLI	DNA replication, synthesis of RNA primer|DNA replication
RPOC_ECOLI	C6EE31	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	Y	Y		RPOC_ECOLI	transcription, DNA-dependent
SUCD_ECOLI	C6EJK9	A	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	289	Y			SUCD_ECOLI	tricarboxylic acid cycle
RL4_ECOLI	C6EGE7	A	50S ribosomal protein L4	201	Y		regulation of translation	RL4_ECOLI	response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation
RS14_ECOLI	C6EGF9	A	30S ribosomal protein S14 (Ribosomal protein S14)	101	Y	Y	ribosome	RS14_ECOLI	translation
LPTB_ECOLI	C6EH26	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	241	Y			LPTB_ECOLI	transport|lipopolysaccharide transport
KPRS_ECOLI	C6EGQ9	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	337	Y			KPRS_ECOLI	nucleotide biosynthetic process|phosphorylation
GLPD_ECOLI	C6EFE8	F1	FAD dependent oxidoreductase	501	Y	Y		GLPD_ECOLI	oxidation-reduction process|glycerol metabolic process
PFLB_ECOLI	C6EK07	A	Autonomous glycyl radical cofactor	127	Y			PFLB_ECOLI	glucose metabolic process|carbohydrate metabolic process
KPYK2_ECOLI	C6EBX3	A	Pyruvate kinase (EC 2.7.1.40)	480	Y			KPYK2_ECOLI	glycolysis|metabolic process|phosphorylation
LRP_ECOLI	C6EI93	A	DNA-binding transcriptional dual regulator, leucine-binding (Transcriptional regulator, AsnC family)	164	Y			LRP_ECOLI	response to leucine|regulation of transcription, DNA-dependent|transcription, DNA-dependent
NUSA_ECOLI	C6EH56	A	NusA antitermination factor (Transcription elongation factor NusA)	495	Y			NUSA_ECOLI	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent|response to stress
RS5_ECOLI	C6EGG3	A	30S ribosomal protein S5	167	Y	Y	ribosome	RS5_ECOLI	response to antibiotic|translation
EFTU2_ECOLI	C6EE39	F1	Elongation factor Tu	394	Y	Y	translational elongation	EFTU2_ECOLI	translational elongation|response to antibiotic|translation
DEF_ECOLI	C6EGI0	A	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	169	Y		translation	DEF_ECOLI	translation|N-terminal protein amino acid modification
HSLO_ECOLI	C6EFH4	A	33 kDa chaperonin (Heat shock protein 33 homolog)	292	Y			HSLO_ECOLI	response to heat|response to stress
PLSC_ECOLI	C6EHX6	F1	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	245	Y	Y		PLSC_ECOLI	phospholipid biosynthetic process
ATPB_ECOLI	C6EG71	F1	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	460	Y	Y		ATPB_ECOLI	transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process
G3P1_ECOLI	C6EC50	A	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)	331	Y			G3P1_ECOLI	oxidation-reduction process|glycolysis
NDK_ECOLI	C6EKJ1	A	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	143	Y			NDK_ECOLI	phosphorylation|nucleotide metabolic process
YEFI_ECOLI	C6EB51	F1	Glycosyl transferase group 1 (Putative glycosyltransferase WbbC)	370	Y	Y		YEFI_ECOLI	lipopolysaccharide biosynthetic process
ILVD_ECOLI	C6EG40	A	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	616	Y			ILVD_ECOLI	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
TIG_ECOLI	C6EL29	A	Trigger factor (TF)	432	Y		'de novo' cotranslational protein folding	TIG_ECOLI	protein folding|protein complex assembly|cell cycle|cell division|'de novo' cotranslational protein folding
RNE_ECOLI	C6EHC9	F1	Fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein (EC 3.1.4.-) (Ribonuclease, Rne/Rng family)	1061	Y	Y		RNE_ECOLI	RNA catabolic process
RSMC_ECOLI	C6EBK1	A	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	343	Y			RSMC_ECOLI	rRNA base methylation|methylation|rRNA processing|rRNA methylation
