Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	Unique Peptides MS5_11	Unique Spectra MS5_11	Total #spectra MS5_11	Unique Peptides MS5_12	Unique Spectra MS5_12	Total #spectra MS5_12	Unique Peptides MS5_13	Unique Spectra MS5_13	Total #spectra  MS5_13	Unique Peptides MS6_11	Unique Spectra MS6_11	Total #spectra MS6_11	Unique Peptides MS6_12	Unique Spectra MS6_12	Total #spectra MS6_12	Unique Peptides MS6_13	Unique Spectra MS6_13	Total #spectra  MS6_13
GUAA_ECOLI	C6EKK2_ECOBD	A	Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)	525				2	2	2	2	2	2									
KPRS_ECOLI	C6EGQ9_ECOBD	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	337	1	1	2	2	2	3	2	2	3									
RS8_ECOLI	C6EGG0_ECOBD	A	30S ribosomal protein S8	130	1	1	4	1	1	5	1	1	4									
TPX_ECOLI	C6EFQ8_ECOBD	A	Redoxin domain protein (Thiol peroxidase) (EC 1.11.1.-)	168	2	2	3	1	1	1	2	2	3									
ASSY_ECOLI	C6EH54_ECOBD	A	Argininosuccinate synthase (EC 6.3.4.5)	447				1	1	1	1	1	2									
STPA_ECOLI	C6EJV6_ECOBD	A	DNA binding protein, nucleoid-associated (Histone family protein nucleoid-structuring protein H-NS)	134	1	1	2	2	2	3	1	1	2									
EFG_ECOLI	C6EGC4_ECOBD	A	Elongation factor G (EF-G)	704	1	1	1	4	4	4	3	3	3									
RL29_ECOLI	C6EGF4_ECOBD	A	50S ribosomal protein L29	63				1	1	1	2	3	5									
NUSG_ECOLI	C6EE37_ECOBD	A	Transcription antitermination protein nusG	181	1	1	2	2	2	3	1	1	2									
DBHA_ECOLI	C6EL23_ECOBD	A	HU, DNA-binding transcriptional regulator, beta subunit (Histone family protein DNA-binding protein)	90	2	2	3	2	3	5	2	2	5									
RL23_ECOLI	C6EGE8_ECOBD	A	50S ribosomal protein L23	100	2	2	3	1	1	3	1	1	3									
AMPA_ECOLI	C6EC91_ECOBD	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503	1	1	1	2	2	3	1	1	2									
GYRB_ECOLI	C6ECI0_ECOBD	A	DNA gyrase subunit B (EC 5.99.1.3)	804	1	1	1	2	2	3	1	1	2									
YIGA_ECOLI	C6EG04_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein yigA)	235							1	1	1									
FETP_ECOLI	C6EIE8_ECOBD	A	Probable Fe(2+)-trafficking protein	91							1	1	1									
GLNA_ECOLI	C6EF31_ECOBD	A	Glutamine synthetase (EC 6.3.1.2)	469							2	2	2									
HINT_ECOLI	C6EGY9_ECOBD	A	Histidine triad (HIT) protein (Purine nucleoside phosphoramidase)	119							3	3	3									
CAPP_ECOLI	C6EE53_ECOBD	A	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	883							3	3	5									
YHIQ_ECOLI	C6EEI8_ECOBD	A	UPF0341 protein yhiQ	250							1	1	1									
FUR_ECOLI	C6EJQ1_ECOBD	A	Ferric uptake regulator (Ferric uptake regulator, Fur family)	148							1	1	1									
MAO2_ECOLI	C6EKP9_ECOBD	A	Malate dehydrogenase (Oxaloacetate-decarboxylating) (NADP(+)), Phosphate acetyltransferase (EC 1.1.1.40) (EC 2.3.1.8) (Malic enzyme)	759							1	1	1									
RSME_ECOLI	C6EIG5_ECOBD	A	Putative uncharacterized protein	243							2	2	3									
RS11_ECOLI	C6EGG9_ECOBD	A	30S ribosomal protein S11	129							1	1	1									
LIPA_ECOLI	C6EK65_ECOBD	A	Lipoic acid synthetase (EC 2.8.1.8) (Lipoyl synthase)	321							2	2	5									
YHBJ_ECOLI	C6EH22_ECOBD	A	UPF0042 nucleotide-binding protein yhbJ	284							1	1	2									
YHCM_ECOLI	C6EH00_ECOBD	A	AFG1-family ATPase (Conserved protein with nucleoside triphosphate hydrolase domain)	375							1	1	1									
KATG_ECOLI	C6EE66_ECOBD	A	Catalase-peroxidase (CP) (EC 1.11.1.6) (EC 1.11.1.7) (Peroxidase/catalase)	726							1	1	1									
ICLR_ECOLI	C6EE06_ECOBD	A	DNA-binding transcriptional repressor (Transcriptional regulator, IclR family)	274							2	2	2									
PTHP_ECOLI	C6EL62_ECOBD	A	Phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr) (EC 2.7.1.69) (Phosphotransferase system, phosphocarrier protein HPr)	85							1	1	2									
SYS_ECOLI	C6EI89_ECOBD	A	Seryl-tRNA synthetase (EC 6.1.1.11) (Serine--tRNA ligase) (Seryl-tRNA(Ser/Sec) synthetase)	430							1	1	1									
YAEP_ECOLI	C6EA95_ECOBD	A	UPF0253 protein yaeP	66							1	1	1									
ARNB_ECOLI	C6EB46_ECOBD	A	DegT/DnrJ/EryC1/StrS aminotransferase (VioA, involved in dTDP-N-acetylviosamine synthesis)	370							1	1	1									
MENB_ECOLI	C6E9T7_ECOBD	A	Naphthoate synthase	285							1	1	1									
YAIL_ECOLI	C6ELM6_ECOBD	A	Nucleoprotein/polynucleotide-associated enzyme (Putative uncharacterized protein)	179							1	1	2									
NDPA_ECOLI	C6EA11_ECOBD	A	Nucleoid-associated protein YejK	335							1	1	4									
RISB_ECOLI	C6ELG9_ECOBD	A	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (Lumazine synthase) (EC 2.5.1.9) (Riboflavin synthase beta chain)	156							2	2	2									
RFAQ_ECOLI	C6EDF9_ECOBD	A	Lipopolysaccharide heptosyltransferase III	340							1	1	1									
ERPA_ECOLI	C6EAC8_ECOBD	A	Iron-sulfur cluster assembly accessory protein (Putative uncharacterized protein yadR)	114							1	1	1									
YBAB_ECOLI	C6EKZ3_ECOBD	A	UPF0133 protein ybaB	109							1	1	2									
BCP_ECOLI	C6EKN1_ECOBD	A	Peroxiredoxin (EC 1.11.1.15) (Thioredoxin-dependent thiol peroxidase) (EC 1.11.1.-) (EC 1.11.1.7)	156							1	2	3									
RRF_ECOLI	C6EAB3_ECOBD	A	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	185							2	2	8									
ASTC_ECOLI	C6ECL0_ECOBD	A	Acetylornithine and succinylornithine aminotransferase (EC 2.6.1.81) (Succinylornithine transaminase, PLP-dependent) (EC 2.6.1.-)	406							1	1	2									
YICH_ECOLI	C6EDD4_ECOBD	B	AsmA family protein (Putative uncharacterized protein yicH)	569							2	2	3	13	14	21	8	9	18	13	15	24
ATPF_ECOLI	C6EG67_ECOBD	B	ATP synthase subunit b	156	15	18	39	15	18	41	14	16	40	25	35	85	25	35	77	28	38	93
PTGCB_ECOLI	C6EGZ1_ECOBD	B	Fused glucose-specific PTS enzymes: IIB component/IIC component (EC 2.7.1.69) (PTS system, glucose-specific IIBC subunit) (EC 2.7.1.69)	477	3	3	5	4	4	6	4	4	5	7	8	17	6	7	15	9	10	18
ACRB_ECOLI	C6EL02_ECOBD	B	Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1049	1	1	1	3	4	6	3	3	7	23	25	46	21	23	44	26	29	55
PBPA_ECOLI	C6EFI0_ECOBD	B	Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	850	1	1	2	2	2	5	4	4	5	14	16	22	12	13	18	15	18	27
PBPB_ECOLI	C6EAD5_ECOBD	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	841							1	1	1	15	15	24	17	17	24	17	18	27
ATMA_ECOLI	C6ECA6_ECOBD	B	Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	898	3	3	10	3	3	4	3	3	4	11	12	18	9	11	19	11	13	20
YBHG_ECOLI	C6EIY7_ECOBD	B	Secretion protein HlyD family protein	331				1	1	1	1	1	1	8	10	11	5	6	8	8	9	10
YHII_ECOLI	C6EEJ7_ECOBD	B	Predicted HlyD family secretion protein (Secretion protein HlyD family protein)	355	1	1	1	2	3	4	1	1	2	8	9	12	8	9	11	6	7	9
OXAA_ECOLI	C6EG98_ECOBD	B	Inner membrane protein oxaA	548	5	5	13	5	5	9	3	3	13	8	10	29	10	12	30	9	11	30
YQJD_ECOLI	C6EHP5_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yqjD)	101	5	5	7	4	4	8	4	4	8	4	4	4	1	1	1	1	1	2
HEMY_ECOLI	C6EG13_ECOBD	B	HemY protein (Predicted protoheme IX synthesis protein)	398	4	5	7	5	6	8	5	6	8	13	15	27	12	13	22	16	19	34
YIBN_ECOLI	C6EDH8_ECOBD	B	Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	143	2	2	3	4	5	8	4	5	8	8	10	21	6	9	20	8	11	21
YHCB_ECOLI	C6EGZ9_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yhcB)	132	7	8	22	7	9	23	7	7	21	11	14	45	9	12	43	11	14	43
YCJF_ECOLI	C6EFR0_ECOBD	B	UPF0283 membrane protein ycjF	353	1	1	1	1	1	1	1	1	2	5	5	8	6	6	9	6	6	9
MSCL_ECOLI	C6EGH6_ECOBD	B	Large-conductance mechanosensitive channel	136	1	1	1	1	1	1	1	1	1	3	3	5	3	3	6	3	3	6
PPID_ECOLI	C6EL22_ECOBD	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	13	15	18	18	20	23	16	19	24	19	22	37	21	25	42	22	25	40
FADE_ECOLI	C6EA67_ECOBD	B	Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	814	6	6	10	7	8	22	8	8	14	22	26	52	23	27	48	24	28	53
SECD_ECOLI	C6ELH6_ECOBD	B	Protein-export membrane protein SecD	604	10	10	14	11	12	16	9	10	13	30	37	60	25	28	52	31	34	57
PTW3C_ECOLI	C6EJQ6_ECOBD	B	Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)	648							1	1	1	10	10	12	6	6	9	7	7	8
Null	C6ECH4_ECOBD	B	HflC protein (Modulator for HflB protease specific for phage lambda cII repressor)	334	5	6	9	4	5	10	5	7	13	20	25	62	20	25	49	22	26	58
MSCS_ECOLI	C6EII5_ECOBD	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	286	1	1	2	1	1	2	1	1	3	5	5	10	4	4	8	5	5	10
PTFBC_ECOLI	C6EA31_ECOBD	B	Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)	563							1	1	1	8	10	14	6	7	10	8	10	16
YEBO_ECOLI	C6EC05_ECOBD	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	95				1	1	1	1	1	1	3	4	4	2	3	3	2	3	3
HEMX_ECOLI	C6EG12_ECOBD	B	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	401	10	12	13	11	12	14	9	9	10	20	24	34	22	24	33	25	29	42
HFLK_ECOLI	C6ECH5_ECOBD	B	HflK protein (Modulator for HflB protease specific for phage lambda cII repressor)	419	5	5	9	10	10	20	6	6	9	15	17	23	16	17	23	15	16	24
CYDD_ECOLI	C6EI95_ECOBD	B	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	588				1	1	1	1	1	2	7	8	12	8	8	12	7	8	13
PTM3C_ECOLI	C6EDJ3_ECOBD	B	Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components (PTS system, mannitol-specific IIC subunit)	637	1	1	1				3	3	3	4	4	5	2	2	2	3	3	4
TATB_ECOLI	C6EF59_ECOBD	B	Sec-independent translocase (Twin-arginine translocation protein, TatB subunit)	171	1	1	1	2	2	3	1	1	1	5	5	9	4	4	7	5	5	8
PTTBC_ECOLI	C6ECA8_ECOBD	B	Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component (PTS system, trehalose-specific IIBC subunit)	473				1	1	2	1	1	2	4	4	5	4	4	5	4	4	5
MSBA_ECOLI	C6EI68_ECOBD	B	Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (Lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA)	582	4	4	6	2	2	3	4	4	6	18	19	26	14	15	22	14	15	22
CYOB_ECOLI	C6EL35_ECOBD	B	Cytochrome o ubiquinol oxidase subunit I (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit I) (EC 1.9.3.1)	663	2	2	3	2	2	2	2	2	2	5	5	7	3	3	7	3	3	6
SECY_ECOLI	C6EGG6_ECOBD	B	Preprotein translocase subunit secY	443	1	1	1	1	1	1	1	1	2	11	11	18	8	8	11	9	10	15
PNTB_ECOLI	C6EDP6_ECOBD	B	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	462	3	3	5	3	3	5	3	3	7	8	8	16	7	7	12	8	8	17
CPTA_ECOLI	C6EE54_ECOBD	B	Conserved inner membrane protein (Sulfatase)	577	5	6	13	6	7	14	7	8	18	20	22	57	21	24	53	20	22	55
PROP_ECOLI	C6ED13_ECOBD	B	Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)	500	1	1	1	2	2	2	2	2	2	2	2	3	2	2	3	4	4	5
YBAL_ECOLI	C6EKY6_ECOBD	B	Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	558				1	1	2	1	1	1	7	8	12	5	6	9	8	8	10
KEFA_ECOLI	C6EKZ9_ECOBD	B	Fused conserved protein (MscS Mechanosensitive ion channel)	1120							1	1	1	11	11	14	13	13	15	13	13	16
YTFL_ECOLI	C6ECC7_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	447				2	2	4	2	2	4	3	3	5	2	2	6	3	3	4
DAMX_ECOLI	C6EFI8_ECOBD	B	Putative uncharacterized protein damX (Sporulation domain protein)	428	7	7	8	7	8	11	8	9	11	14	16	26	18	19	25	18	21	26
IGAA_ECOLI	C6EFH7_ECOBD	B	Intracellular growth attenuator IgaA	707	2	2	3	3	3	4	1	1	1	8	8	12	7	7	10	6	6	10
YAJC_ECOLI	C6ELH7_ECOBD	B	Preprotein translocase subunit YajC (Preprotein translocase, YajC subunit)	110	5	6	19	4	5	15	4	6	17	7	9	31	7	8	28	9	12	31
LOLE_ECOLI	C6EGX4_ECOBD	B	Lipoprotein releasing system, transmembrane protein LolE	412	1	1	1	1	1	1	1	1	1	4	4	5	7	7	8	9	9	11
CYOA_ECOLI	C6EL34_ECOBD	B	Cytochrome o ubiquinol oxidase subunit II (EC 1.10.3.-) (Ubiquinol oxidase, subunit II)	315	1	1	1				1	1	1	7	7	18	6	6	17	6	6	18
SECF_ECOLI	C6ELH5_ECOBD	B	Protein export protein SecF (Protein-export membrane protein SecF)	323	3	3	4	3	3	5	3	3	5	4	4	15	3	4	16	4	4	17
RODZ_ECOLI	C6EKJ3_ECOBD	B	Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)	337	3	3	4	3	3	4	3	4	6	14	17	28	13	19	27	14	18	29
FTSH_ECOLI	C6EH49_ECOBD	B	ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	647	18	22	65	18	22	48	18	22	71	38	46	110	33	41	95	35	45	109
CYDA_ECOLI	C6EJK5_ECOBD	B	Cytochrome bd ubiquinol oxidase subunit I (Cytochrome d terminal oxidase, subunit I) (EC 1.9.3.-)	522	2	2	2	2	2	3	3	3	4	12	13	26	10	11	22	13	14	27
PNTA_ECOLI	C6EDP5_ECOBD	B	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)	510				2	2	3	3	3	4	9	10	28	9	10	27	8	9	28
KDPD_ECOLI	C6EJN9_ECOBD	B	Osmosensitive K channel His kinase sensor	894				1	1	2	1	2	4	3	3	5	4	4	5	3	3	5
LEP_ECOLI	C6EK19_ECOBD	B	Signal peptidase I (EC 3.4.21.89)	324	1	1	1	1	1	1	1	2	2	8	9	11	7	8	10	8	9	11
OPGH_ECOLI	C6EHG3_ECOBD	B	Glycosyl transferase family 2	837	2	2	2	4	4	4	3	3	3	9	11	18	9	10	17	10	11	18
CPXA_ECOLI	C6EEY6_ECOBD	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	457	2	2	2	2	2	2	2	2	5	9	9	14	7	7	11	8	8	13
SMP_ECOLI	C6EBI4_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein smp)	214	2	2	2	1	1	1	1	1	1	4	4	5	4	4	6	3	3	5
PTKC_ECOLI	C6EAL8_ECOBD	B	Galactitol-specific enzyme IIC component of PTS (PTS system, galactitol-specific IIC subunit)	451	1	1	1				1	2	3	5	6	8	5	5	7	6	7	10
NHAB_ECOLI	C6EGT1_ECOBD	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	513							1	1	1	2	2	3	2	2	3	3	3	4
WZZE_ECOLI	C6EG27_ECOBD	B	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	348							1	1	2	6	6	9	5	5	7	7	7	12
EPTA_ECOLI	C6ED10_ECOBD	B	Predicted metal dependent hydrolase (Sulfatase)	547	3	3	4	3	3	5	4	5	9	6	7	11	6	7	11	8	8	15
PITA_ECOLI	C6EEJ2_ECOBD	B	Phosphate transporter (Phosphate transporter, low-affinity)	499							1	1	1	1	1	1	1	1	1	1	1	1
RSEP_ECOLI	C6EAA9_ECOBD	B	Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	450				1	1	1	1	1	1	4	5	9	5	5	10	5	5	9
ARNC_ECOLI	C6E9U6_ECOBD	B	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.7.8.n1) (Undecaprenyl-phosphate Ara4FN transferase)	322	4	4	6	3	3	6	4	5	8	11	14	30	10	11	24	11	14	31
FTSX_ECOLI	C6EFB2_ECOBD	B	Predicted transporter subunit: membrane component of ABC superfamily (Protein insertion ABC transporter, inner membrane subunit FtsX)	352	1	1	1	2	2	2	2	2	2	8	9	11	6	7	9	6	6	8
ATZN_ECOLI	C6EFA5_ECOBD	B	Heavy metal translocating P-type ATPase	732	4	4	6	4	4	6	6	7	18	14	15	24	14	15	22	14	15	21
HTRB_ECOLI	C6EHF9_ECOBD	B	Lipid A biosynthesis lauroyl (Or palmitoleoyl) acyltransferase (Lipid A biosynthesis lauroyl acyltransferase) (EC 2.3.1.-)	306				2	2	2	2	2	2				1	1	1	1	1	1
YGIM_ECOLI	C6EHU0_ECOBD	B	Predicted signal transduction protein (SH3 domain) (SH3 domain protein)	206	2	2	2	3	4	4	6	7	8	11	13	15	10	14	22	10	14	22
YFHK_ECOLI	C6EKF1_ECOBD	B	Histidine kinase (Predicted sensory kinase in two-component system)	475							1	1	1	4	4	6	3	3	3	4	4	6
NUOA_ECOLI	C6E9R4_ECOBD	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	147	3	4	7	3	4	8	2	3	6	4	5	13	4	5	12	4	5	13
TATA_ECOLI	C6EF60_ECOBD	B	Twin arginate translocase protein A (Twin-arginine translocation protein, TatA/E family subunit)	89	3	4	4	3	3	3	1	1	1	4	4	4	4	4	5	4	4	4
WZZB_ECOLI	C6EB58_ECOBD	B	Lipopolysaccharide biosynthesis protein	326	5	5	7	5	5	7	3	3	6	7	8	17	6	7	13	6	7	14
CYDC_ECOLI	C6EI96_ECOBD	B	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	573				3	3	5	3	4	7	8	8	11	9	9	11	7	7	10
YJIY_ECOLI	C6EBM6_ECOBD	B	Carbon starvation protein CstA (Predicted inner membrane protein)	716	2	2	3	2	2	3	2	2	3	4	4	6	4	4	5	4	4	6
YDJN_ECOLI	C6ECM9_ECOBD	B	Predicted transporter (Sodium:dicarboxylate symporter)	463	3	3	3	3	4	4	3	4	4	5	6	9	5	6	11	5	6	11
CORA_ECOLI	C6EFZ7_ECOBD	B	Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	316				1	1	2	1	1	2	5	5	11	5	5	10	5	5	12
ZIPA_ECOLI	C6EL66_ECOBD	B	Cell division protein zipA	328	3	4	4	2	3	3	2	2	4	3	3	3	3	3	3	3	3	3
TOLQ_ECOLI	C6EJK0_ECOBD	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolQ)	230	2	3	3	3	4	4	2	2	2	4	5	7	4	5	7	4	5	7
LLDD_ECOLI	C6EDI4_ECOBD	B	FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase, FMN-linked) (EC 1.1.2.3)	396	2	2	3	2	2	4	3	3	5	3	3	5	2	2	2	2	2	2
LPTG_ECOLI	C6EC89_ECOBD	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	360	2	2	3	2	2	3	2	2	3	4	4	8	5	5	8	5	5	10
KDGL_ECOLI	C6EDX8_ECOBD	B	Diacylglycerol kinase (EC 2.7.1.107)	122	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
SECG_ECOLI	C6EH52_ECOBD	B	Preprotein translocase, SecG subunit (Protein-export membrane protein)	110	3	3	5	2	2	4	2	2	4	3	3	9	3	3	11	3	3	9
Null	C6EFS7_ECOBD	B	Phage shock protein B	74	1	1	1	1	1	1	3	3	3	3	3	3	2	2	2	2	2	2
ZNTB_ECOLI	C6EFP1_ECOBD	B	Mg2 transporter protein CorA family protein (Zinc transporter)	327				1	1	1	1	1	1				1	1	1	1	1	2
CYCA_ECOLI	C6ECD6_ECOBD	B	Amino acid permease-associated region (D-alanine/D-serine/glycine transporter)	470	3	3	4	2	2	3	2	2	3	2	2	8	3	3	7	2	2	9
NUOK_ECOLI	C6E9S3_ECOBD	B	NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	100	2	2	4	2	2	4	2	2	4	2	2	6	2	2	6	2	2	6
YJBB_ECOLI	C6EE04_ECOBD	B	Predicted transporter (Sodium-dependent inorganic phosphate (Pi) transporter)	543				1	1	1	1	1	1	1	1	1	2	2	2	1	1	1
YFGM_ECOLI	C6EKJ6_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yfgM)	206	3	3	6	3	3	5	5	5	10	3	3	4	1	1	3	2	2	3
ELAB_ECOLI	C6E9T3_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein elaB)	101	2	2	3	2	2	3	2	2	3							1	1	1
YJCE_ECOLI	C6ED59_ECOBD	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	549										3	4	6	5	6	8	6	8	11
MDLB_ECOLI	C6EL14_ECOBD	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	593													1	1	1	2	2	2
COPA_ECOLI	C6EKY0_ECOBD	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	834										10	10	13	9	9	14	9	9	21
LPTC_ECOLI	C6EH28_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yrbK)	191										3	3	3	3	4	4	4	5	5
QMCA_ECOLI	C6EKX5_ECOBD	B	Band 7 protein (Predicted protease, membrane anchored)	305										2	2	2	2	2	2	3	3	3
YEJM_ECOLI	C6EA09_ECOBD	B	Predicted hydrolase, inner membrane (Sulfatase)	586										5	5	8	4	4	7	7	7	11
PQIB_ECOLI	C6EI31_ECOBD	B	Mammalian cell entry related domain protein (Paraquat-inducible protein B)	546										4	4	4	3	3	3	2	2	2
DJLA_ECOLI	C6EAZ8_ECOBD	B	Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	271										6	8	13	8	9	12	8	9	12
TOLA_ECOLI	C6EJJ8_ECOBD	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	421										6	6	7	3	4	6	5	6	8
BARA_ECOLI	C6EJ86_ECOBD	B	Hpt sensor hybrid histidine kinase (Hybrid sensory histidine kinase, in two-component regulatory system with UvrY) (EC 2.7.3.-)	918													1	1	1	2	2	3
RTN_ECOLI	C6EA21_ECOBD	B	Diguanylate phosphodiesterase (Putative uncharacterized protein rtn)	518													1	1	1	1	1	1
YHFK_ECOLI	C6EGA5_ECOBD	B	Integral membrane protein, YccS/YhfK family	696										5	5	6	2	2	3	6	6	7
SPPA_ECOLI	C6ECJ1_ECOBD	B	Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)	618										10	12	20	8	8	14	12	13	23
ARCB_ECOLI	C6EH17_ECOBD	B	Hybrid sensory histidine kinase in two-component regulatory system with ArcA (EC 2.7.3.-) (Multi-sensor hybrid histidine kinase)	778										13	13	16	13	13	16	13	13	15
ARNT_ECOLI	C6E9U3_ECOBD	B	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	550										4	4	4	4	4	4	5	5	5
PSPC_ECOLI	C6EFS6_ECOBD	B	DNA-binding transcriptional activator (Phage shock protein C, PspC)	119										2	3	4	3	3	6	3	4	7
UBIB_ECOLI	C6EF61_ECOBD	B	Probable ubiquinone biosynthesis protein ubiB	546										7	7	9	6	6	8	8	8	11
AAS_ECOLI	C6EJ32_ECOBD	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	719										4	4	4	1	1	1	4	4	4
GALP_ECOLI	C6EIG8_ECOBD	B	Sugar transporter	464										6	6	7	3	3	3	3	3	3
GLNP_ECOLI	C6EIX2_ECOBD	B	Glutamine ABC transporter permease protein (Polar amino acid ABC transporter, inner membrane subunit)	219										2	2	2	2	2	2	3	3	3
PBP2_ECOLI	C6EK58_ECOBD	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	633										1	1	2	1	1	1	5	5	5
DCTA_ECOLI	C6EEF5_ECOBD	B	C4-dicarboxylate transport protein (Sodium:dicarboxylate symporter)	428										5	6	9	4	4	6	4	4	6
YEIU_ECOLI	C6EA23_ECOBD	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	237										3	3	4	2	2	3	3	3	5
KGTP_ECOLI	C6EJZ9_ECOBD	B	Alpha-ketoglutarate transporter (Metabolite/H+ symporter, major facilitator superfamily (MFS))	432										1	2	2	3	4	4	3	4	4
LNT_ECOLI	C6EK38_ECOBD	B	Apolipoprotein N-acyltransferase	512										4	4	6	6	6	11	8	8	12
YFJD_ECOLI	C6EJY0_ECOBD	B	Putative uncharacterized protein	420													1	1	2	2	2	3
YNIB_ECOLI	C6ECN2_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	178										1	1	1	1	1	1	2	2	3
BETT_ECOLI	C6ELR7_ECOBD	B	Choline transporter of high affinity (Choline/carnitine/betaine transporter)	677										2	2	2	3	3	3	3	3	4
YIFK_ECOLI	C6EG16_ECOBD	B	Amino acid permease-associated region (Predicted transporter)	461										1	1	1	1	1	1	1	1	1
