Previous	Updated
P39184	P0A9M8
P0ABT2	P0ABT2
P64506	P64506
P18034	P18034
P0A8N5	P0A8N5
P06713	P0AFB8
P14374	P69407
P0AFT5	P0AFT5
P24235	P0AC78
P77398	P77398
P75782	P75782
P39384	P39384
P0ACJ0	P0ACJ0
P06959	P06959
P08885	P0A6K1
P16457	P0ABG4
P37624	P37624
P31057	P31057
P16682	P16682
A1Z2S2	A1Z2S2
P12727	P0A7H6
P75839	P75839
P39344	P39344
P32715	P32715
P00556	P0ABN1
P07672	P69503
P0A901	P0A901
P09348	P09348
P21774	P0A6Q6
P0A9C3	P0A9C3
P07366	P0A9H9
P68919	P68919
P00844	P68699
P0A6E9	P0A6E9
P0A7F6	P0A7F6
P23306	P0ADP0
P07658	P07658
P25906	P25906
P23485	P23485
P15302	P0AF24
P37348	P37348
P39385	P39385
P76052	P76052
P0A7V0	P0A7V0
P06993	P06993
P75826	P75826
P02411	P0ADY3
P63386	P63386
P76236	P76236
P33136	P33136
P75969	P75969
P33356	P0AFT5
P37759	P37759
P21499	P21499
P0AD61	P0AD61
P0ABH7	P0ABH7
P77253	P0AEB5
Q46807	Q46807
P06277	P0A7Y8
P0ABI8	P0ABI8
P14825	P0A8N5
P0AC65	P0AC65
P76403	P76403
Q0P6M6	Q0P6M6
P24182	P24182
P27826	P0A8R9
P76170	P76170
P77554	P77554
P0AB46	P0AB46
P39830	P39830
P75933	P75933
P30855	P30855
P45464	P45464
P0A9Z1	P0A9Z1
P22524	P22524
P07656	P0A9K7
P39160	P39160
P40681	P0A9C3
P0A7T7	P0A7T7
P26602	P26602
P03051	P03051
P33220	P0ACY9
P32693	P32693
P69405	P69405
P15042	P15042
P39353	P39353
P07025	P0A8F8
O32528	O32528
P16927	P0ABH4
P16686	P16686
P32173	P32173
P0A8R7	P0A8R7
P27836	P27836
P45531	P45531
P37326	P37326
P76342	P76342
P0A944	P0A944
P09147	P09147
P05850	P0A8I8
P14377	P14377
P23857	P23857
P0AG44	P0AG44
P30748	P30748
P05796	P0A9D4
P0A862	P0A862
P31690	P0AFX4
P0ABB4	P0ABB4
P08550	P08550
P0AAT2	P0AAT2
P64574	P64574
P76578	P76578
P27431	P27431
P76422	P76422
P07671	P0A698
P45545	P45545
P0A6D5	P0A6D5
P0ABG7	P0ABG7
P0A7A7	P0A7A7
P31064	P31064
Q06065	Q06065
P04949	P04949
P32138	P32138
P0A8R9	P0A8R9
P30858	P0AAF6
P0AGD7	P0AGD7
P12281	P12281
P77425	P77425
P0A6A8	P0A6A8
P11585	P0AG20
P0AGC7	P0AGC7
P28690	P68191
P25527	P25527
P37657	P37657
P0AF36	P0AF36
P13423	P13423
P0ACE0	P0ACE0
P42590	P42590
P33898	P33898
P0AAE5	P0AAE5
P75995	P75995
P0AFZ7	P0AFZ7
P0AE30	P0AE30
P78055	P78055
P31827	P31827
P33915	P33915
P22523	P22523
P0AGB3	P0AGB3
P76367	P0A8M6
P05852	P05852
P75960	P75960
P77196	P77196
P37618	P0A890
P0A6W9	P0A6W9
P43674	P43674
P45802	P0ACG8
P75938	P75938
P69853	P69853
P27854	P0A6A0
P0AFY8	P0AFY8
P39263	P39263
P00482	P0A7A7
P0AG90	P0AG90
P0A700	P0A700
P22763	P0AEC3
P77721	P77721
P23282	P0AC75
P33021	P33021
P09152	P09152
P35340	P35340
P76542	P76542
P39308	P39308
P45533	P64624
P00816	P00816
P02929	P02929
P24194	P0A8S1
P76508	P76508
P00586	P00586
P32099	P32099
P02997	P0A6P1
P77619	P77619
P27290	P0ABU0
P33582	P0AG99
P0C079	P0C079
P0A6P7	P0A6P7
P05828	P0ABU9
Q46924	P65292
P37011	P0AD99
Q46861	Q46861
P11351	P0AF26
P06712	P0AFB5
P52138	P52138
P75882	P75882
P13029	P13029
P52109	P0AFS3
P24169	P24169
P31134	P31134
P03030	P03030
P31069	P31069
P0AC16	P0AC16
P76054	P64423
P02342	P0ACF0
P33937	P33937
P0AEM4	P0AEM4
P05838	P0ACA3
P71239	P71239
P23243	P61949
P36649	P36649
P00363	P00363
P03827	P03827
Q46808	Q46808
P75876	P75876
P16685	P16685
P76418	P76418
P52043	P52043
Q46864	Q46864
P07682	P60785
Q46894	P0A6S5
P04425	P04425
P0ADU5	P0ADU5
P04335	P04335
P46118	P46118
P77500	P0ACR7
P04379	P0A8Z0
Q46797	Q46797
P52065	P0A8P3
P22767	P0A6E4
Q46829	Q46829
P0AEE1	P0AEE1
P31070	P0AB55
P69681	P69681
P0AG30	P0AG30
P15046	P0A6A3
P0A7I4	P0A7I4
P0A9P6	P0A9P6
P0AEM9	P0AEM9
P00903	P00903
P63264	P63264
P0AD49	P0AD49
P02361	P0A7W7
P0A955	P0A955
P00892	P00892
P77216	P77216
O22160	O22160
P03805	P0A8Q0
Q1R8K8	Q1R8K8
P0AEQ6	P0AEQ6
P0AGJ2	P0AGJ2
P0AFI0	P0AFI0
P0AF63	P0AF63
P37631	P37631
P25516	P25516
P0AB03	P0AB03
P0A799	P0A799
P37146	P37146
P24178	P24178
P39328	P39328
P77552	P77552
P02943	P02943
P07365	P0A964
P22188	P22188
P24225	P0AC73
P0AEW1	P0AEW1
P64602	P64602
P24207	P24207
P0A840	P0A840
P14175	P14175
P55135	P55135
P43329	P43329
P18133	P18133
P09159	P0A7F6
P18197	P0AEZ3
P0A800	P0A800
P19933	P0AER8
P0AFW4	P0AFW4
P22256	P22256
P0ABV2	P0ABV2
Q93K97	Q93K97
P77482	P0A8E7
P19776	P19776
P77318	P77318
P21891	P0A8P8
P03019	P0A9E5
P02358	P02358
P76518	P76518
P16688	P16688
P02901	P0A6A8
P39404	P39404
P36676	P0ACS5
P22939	P22939
P05702	P62552
P38038	P38038
P37314	P0AAG0
P75720	P64435
P04995	P04995
P23853	P0AFM6
P39407	P39407
P22565	P62623
P23891	P0AAE8
P68767	P68767
P0AG59	P0AG59
P77570	P77570
P52627	P52627
P76046	P76046
P0AA43	P0AA43
Q46848	P64574
P75700	P77199
P38521	P38521
P21165	P21165
P45471	P67762
P0A8Q6	P0A8Q6
P0A894	P0A894
P15716	P0ABH9
Q46833	Q46833
P30864	P30864
P10446	P69054
P0A8T1	P0A8T1
P03005	P0ACB0
P06964	P0ACN7
P69931	P69931
P75790	P0A9U3
P0A7M2	P0A7M2
P05020	P05020
P77243	P77243
P0A8W8	P0A8W8
P46889	P46889
P30147	P30147
P39398	P39398
P76172	P76172
P30148	P0A870
P24211	P24211
P06612	P06612
P26607	P0AEC5
P0A738	P0A738
P76243	P76243
P09376	P0C0V0
P0A972	P0A972
Q79EK6	Q79EK6
P69423	P69423
P37190	P0A9S3
P64479	P64479
P64461	P64461
P0AFK0	P0AFK0
P31434	P31434
P0AD65	P0AD65
P00832	P0A6E6
P52643	P52643
P39362	P39362
P21156	P21156
P37182	P37182
P42903	P0C8K0
P33363	P33363
P36663	P62617
P00373	P0A9L8
P39178	P61316
P15039	P0ACP7
P52097	P52097
P17112	P0A6U3
P23845	P23845
P25522	P25522
P0A794	P0A794
Q46889	Q46889
P29211	P60872
P02990	P02990
P10115	P0A9R7
P0C0L9	P0C0L9
P0A832	P0A832
P0AC86	P0AC86
P0ACU7	P0ACU7
P0A6Y1	P0A6Y1
P02351	P0A7V0
P45577	P45577
P0AD01	P0AD01
P23877	P23877
P0AEX9	P0AEX9
P25520	P0AEP3
P0ACX3	P0ACX3
P09835	P09835
P06128	P0AG82
P00882	P0A6L0
P0C0L2	P0C0L2
P0AEI4	P0AEI4
P23003	P23003
P07639	P07639
P09155	P09155
P28244	P0A6D5
P37623	P37623
P11165	P0ABY7
P37641	P37641
P23304	P0A9P6
P06720	P06720
P76214	P76214
P0ACS5	P0ACS5
P0A8Y5	P0A8Y5
P31461	P0ADM6
P76407	P76407
P07176	P0A912
P10026	P10026
P11604	P0AB71
P31217	P62707
P0AFH8	P0AFH8
P76192	P76192
P08867	P62558
P76091	P76091
P08531	P0AAF3
P08839	P08839
P19934	P19934
P04968	P04968
P09743	P0ABP8
P23721	P23721
P0AFP6	P0AFP6
P0A9Y6	P0A9Y6
P06998	P0A796
P11458	P11458
P37187	P69828
P03032	P0A881
P32153	P32153
Q46911	Q46911
P75617	P75617
P46022	P46022
P61320	P61320
P02349	P0AG67
P33591	P33591
P77658	P77658
P0AAC8	P0AAC8
P52598	P52598
P76175	P76175
P0AC55	P0AC55
P76394	P76394
P39290	P63177
Q46939	Q46939
P75764	P75764
P25529	P0AET8
P18956	P18956
P29012	P29012
Q47675	P60472
P0ADN2	P0ADN2
P77499	P77499
P76119	P76119
Q9SCY2	Q9SCY2
P0A6S7	P0A6S7
P0A853	P0A853
P25665	P25665
P08245	P08245
P00928	P0A877
P28637	P0A8T1
P0ABZ6	P0ABZ6
P02426	P68919
P75819	P0A8C1
P0A6S0	P0A6S0
P06739	P06739
P0A9S5	P0A9S5
P75743	P0AFP6
P24172	P0ADK6
P77791	P77791
P75697	P75697
P0AA10	P0AA10
P0A6Z1	P0A6Z1
P22995	P22995
P0A814	P0A814
P09550	P0AG03
P39319	P0AE45
P0AFL6	P0AFL6
P69432	P69432
P0A6J5	P0A6J5
P37095	P37095
P38506	P38506
P0AG48	P0AG48
P0ABG4	P0ABG4
P32142	P0A9V8
P09030	P09030
P77294	P77294
P0ABB8	P0ABB8
P63224	P63224
P0AE67	P0AE67
P22885	P0A8P6
P64616	P64616
P0AB71	P0AB71
P21866	P21866
P19675	P0A847
P32134	P32134
P0ABB0	P0ABB0
P32681	P32681
P27127	P27127
P08622	P08622
P77804	P77804
P00510	P0AB80
P0A776	P0A776
P14081	P14081
P77400	P77400
P08400	P08400
P07395	P07395
P77546	P77546
Q47152	Q47152
P39271	P0AD01
P37344	P37344
P0AES0	P0AES0
P37908	P37908
P02372	P0A7T3
P75825	P75825
P0ADE8	P0ADE8
P31677	P31677
P0ACC7	P0ACC7
P0A8U2	P0A8U2
P28903	P28903
P60785	P60785
P08177	P0A9M0
P75797	P75797
P32125	P32125
P30178	P30178
P41076	P0AAG3
P0A6E6	P0A6E6
P0A823	P0A823
P0AB40	P0AB40
P45504	P0AEQ1
P31061	P31061
P26427	P0AE08
P16918	P16918
P39280	P39280
P0ABF6	P0ABF6
P33353	P33353
P21363	P21363
P13031	P0AC86
P0AFU2	P0AFU2
P18391	P0A6Q3
P0AG40	P0AG40
P61517	P61517
P37653	P37653
Q59431	P0ACT6
P76179	P64467
P06609	P06609
P23483	P0A9I3
P45530	P45530
P39291	P0AF76
P76016	P76016
P75783	P75783
P64588	P64588
P64540	P64540
P0AAV4	P0AAV4
P75966	P75966
P08999	P0A8Z3
P0AAJ1	P0AAJ1
P06709	P06709
P36658	P0AFY8
P37181	P0ACE0
P76161	P76161
Q04230	Q04230
P53554	P53554
P07013	P07013
P30854	P0ACZ4
P0AC75	P0AC75
P00470	P0A884
P0ADW3	P0ADW3
P69380	P69380
P28689	P0ABS8
P61889	P61889
P27511	P0A6T5
P0AF96	P0AF96
P64499	P64499
Q57083	Q57083
P28638	P28638
P05824	P05824
P36857	P61517
P52054	P67080
P0A6W5	P0A6W5
P62768	P62768
P36938	P36938
P77329	P77329
P0ADV5	P0ADV5
P08336	P0AE82
P28302	P69910
P77375	P77375
P77689	P77689
Q659Z5	Q659Z5
P0ABC7	P0ABC7
P24181	P24181
P75978	P75978
P09625	P0A9P4
P24991	P0AEG4
P77688	P77688
P0ACB0	P0ACB0
Q47523	Q47523
P76257	P76257
P30017	P0ACG1
P15043	P15043
P0AEM6	P0AEM6
P0ADZ0	P0ADZ0
P45753	P45753
P0ABJ6	P0ABJ6
Q47622	Q47622
P15877	P15877
P23849	P23849
P0ACZ4	P0ACZ4
P06977	P0A9B2
P33129	P33129
P77444	P77444
P0AAB6	P0AAB6
P0AEE5	P0AEE5
P0A720	P0A720
P50465	P50465
P36979	P36979
P11350	P11350
P22187	P0AEN4
P0A8H8	P0A8H8
P27245	P27245
Q46798	Q46798
P0A6F1	P0A6F1
P0ADX5	P0ADX5
P33635	P0AGJ5
P39161	P39161
P0A912	P0A912
P29745	P29745
P0ADQ7	P0ADQ7
P37195	P37195
P0AE85	P0AE85
P31802	P31802
P45847	P0AFR4
P33233	P0ACL7
P39304	P39304
P36997	P0A972
P0AF52	P0AF52
P02919	P02919
P07650	P07650
P77717	P77717
P27247	P27247
P0A7K2	P0A7K2
P0AAH0	P0AAH0
P39370	P39370
P08373	P08373
P45525	P0A8R7
P0A8A0	P0A8A0
P02666	P02666
P0AEA5	P0AEA5
P0ABE2	P0ABE2
P31223	P0AE06
P77561	P77561
P76513	P76513
Q46811	Q46811
P0ABC3	P0ABC3
P75862	P75862
O65938	P69428
P10377	P0AEJ2
P24239	P0A814
Q9LXX5	Q9LXX5
P52094	P52094
P52648	P0A9X1
P07004	P07004
P76037	P76037
P33925	P0ABM9
P07118	P07118
P17113	P0A6U5
P46186	P0AFX9
P0A6C1	P0A6C1
P77735	P77735
P0ADK6	P0ADK6
P13458	P13458
P0A9J8	P0A9J8
P0A9A6	P0A9A6
P23844	P0A6J8
P32159	P69380
P0AFB1	P0AFB1
P76398	P76398
Q54149	P0AEF4
P0AGB6	P0AGB6
P75941	P0A6S3
P16456	P16456
P45955	P45955
P06968	P06968
P0AGG4	P0AGG4
P36683	P36683
P03809	P0ACI6
P52129	P52129
P05042	P05042
P33668	P33668
P37315	P0AEG1
P54745	P54745
P0A8A2	P0A8A2
P37767	P37767
P68066	P68066
P13685	P0ABF1
P02392	P0A7K2
P0A9R4	P0A9R4
P25894	P25894
P42604	P42604
P31552	P31552
P69506	P69506
Q46891	Q46891
P31663	P31663
P75838	P75838
P11244	P0AER0
P76213	P76213
P00963	P00963
P76464	P76464
P08331	P08331
P0AEL8	P0AEL8
P69488	P69488
P30870	P30870
P24253	P0A6P7
P18595	P60390
P02387	P60422
P0C0V0	P0C0V0
P06981	P0ADG7
P02931	P02931
P0ADY1	P0ADY1
P23484	P23484
P09377	P09377
P71311	P71311
P11036	P0ACQ7
P77574	P0ADI0
P13479	P13479
P17445	P17445
P62707	P62707
P03841	P03841
P0A8V2	P0A8V2
P43529	P43529
P25397	P25397
P80645	P80645
P25530	P0ADF6
P25553	P25553
P23917	P23917
Q9S841	Q9S841
P45548	P45548
P37163	P0AF90
P77439	P77439
P00452	P00452
P06616	P06616
P10902	P10902
P09372	P09372
P23867	P0A742
P0A7B1	P0A7B1
P31441	P31441
P52006	P52006
P06136	P06136
P11028	P0A6R3
P22634	P22634
P75915	P75915
P0AFX7	P0AFX7
P0AFG0	P0AFG0
P76148	P76148
P48838	P60844
P0ADE6	P0ADE6
P32661	P0AG07
P19494	P0ACJ0
P16659	P16659
P77581	P77581
P76197	P76197
P45395	P45395
P77172	P77172
P10121	P10121
P52613	P52613
P0A6K6	P0A6K6
P07022	P0A9J8
P0AFG3	P0AFG3
P23538	P23538
P16676	P16676
P76321	P76321
P32664	P32664
P06972	P06972
P26603	P0AET5
P0A8M3	P0A8M3
P0AES4	P0AES4
P0A917	P0A917
P76049	P76049
P12996	P12996
P00886	P0AB91
P05100	P05100
P30847	P30847
P11555	P0AEN8
P02371	P0ADZ4
P28305	P28305
P0A9T4	P0A9T4
P0A6M4	P0A6M4
P0AFL3	P0AFL3
P60390	P60390
P77211	P77211
P06986	P06986
P0AG11	P0AG11
P19318	P19318
P77730	P77730
P0A991	P0A991
P0AD33	P0AD33
P0ACP1	P0ACP1
P15032	P15032
P16702	P0AEB0
P0A8R0	P0A8R0
P00954	P00954
P29464	P0A7E9
A0R561	A0R561
P64463	P64463
P31448	P31448
P00934	P00934
P23837	P23837
P11666	P0C0S1
P62620	P62620
P00855	P0AB98
P33596	P33596
P39177	P39177
P25714	P25714
P0ADA3	P0ADA3
P0AF03	P0AF03
P0A9N8	P0A9N8
P07017	P07017
P00907	P0A6F1
P05848	P0AAT6
P0A998	P0A998
P08401	P08401
P0A890	P0A890
P0AGE6	P0AGE6
P37175	P0AAR3
P23895	P23895
P33636	P0AGG4
P26612	P26612
P08203	P08203
P64581	P64581
P0ABA6	P0ABA6
P0A7U7	P0A7U7
P24255	P24255
P60932	P60932
P0A9J0	P0A9J0
P03843	P0A8A8
P38106	P0AFX7
P77434	P77434
Q47679	Q47679
P0A870	P0A870
P08391	P0AG40
P0A7B3	P0A7B3
P76316	P76316
P03023	P03023
P76938	P76938
P80063	P69908
P04475	P0A6Y8
P76550	P76550
P25661	P0ABC3
P75829	P75829
P76116	P76116
P0A9K9	P0A9K9
P76474	P76474
Q46890	Q46890
P0AEK2	P0AEK2
P08504	P08504
P0A836	P0A836
P39332	P39332
P37307	P0AEX5
P0AG55	P0AG55
P39300	P39300
P54986	P0ACJ5
P45539	P45539
P43675	P0AES0
P16174	P0A805
P19396	P0AGJ2
P0A7D7	P0A7D7
P27128	P27128
P39408	P39408
P45528	P67087
P78067	P78067
P0A8C1	P0A8C1
P06958	P0AFG8
P00574	P0A7Z4
P0A6Y8	P0A6Y8
P37634	P37634
P54901	P54901
P0AFP9	P0AFP9
Q9R8E4	Q9R8E4
P33938	P0A9I5
P0ABY2	P0ABY2
P76281	P0AEK0
P0AAI9	P0AAI9
P77481	P77481
P39376	P39376
P76092	P76092
P77148	P77148
P23909	P23909
P37797	P0A9W3
P04804	P60906
P0A8C4	P0A8C4
P02942	P02942
P77184	P77184
P00364	P0AC47
P22586	P22586
P63020	P63020
P0A7D4	P0A7D4
P0A8G6	P0A8G6
P09151	P09151
P32177	P32177
P32705	P32705
P33226	P33226
P52143	P52143
P45751	P45751
P15277	P0A9X9
P17802	P17802
P02410	P0AA10
P09158	P09158
P10907	P10907
P21892	P0AEG6
P77748	P77748
P0A6F5	P0A6F5
P18035	P18035
P77522	P77522
P0AE63	P0AE63
P27862	P27862
P76217	P76217
P76554	P65643
P39272	P0AEC8
P03025	P0AA16
P71238	P71238
P45803	P0A6Y5
P75897	P75897
P10346	P10346
P28224	P28224
P45579	P45579
P17577	P0A8B5
P0A7Z4	P0A7Z4
P15723	P15723
P0AEC3	P0AEC3
P06984	P0A6X7
P75691	P75691
P76389	P76389
P36659	P36659
P00575	P0A8V2
P00391	P0A9P0
P24184	P0AAJ3
P42190	P42190
P23931	P0AEZ7
P0A805	P0A805
P39345	P0A9P9
P00831	P0ABA4
Q46925	Q46925
P0A6L9	P0A6L9
P40679	P0AFW4
P09168	P0AFH0
P02419	P0C018
P76008	P76008
P27896	P27896
P31455	P31455
P36654	P69488
P32691	P68206
P37686	P37686
P63235	P63235
P60240	P60240
P0A9I5	P0A9I5
P0ABU7	P0ABU7
P0A6S3	P0A6S3
P77333	P77333
P77609	P77609
P02914	P68187
P0ACF4	P0ACF4
P05797	P0A7Y0
P0A8S9	P0A8S9
P33357	P0AD14
P07364	P07364
P60438	P60438
P76143	P76143
P07028	P0A8G0
P76227	P76227
P25526	P25526
P38504	P0AC55
P26615	P0AAB4
P07014	P07014
P19926	P19926
P23859	P0AFK6
P0AFH2	P0AFH2
P0AER8	P0AER8
P39401	P39401
P26459	P26459
P33366	P33366
P23850	P0ADX7
P06611	P06611
P0AG80	P0AG80
P69783	P69783
P0ACC3	P0ACC3
P12282	P12282
P17117	P17117
P42912	P42912
P36996	P0A9Y6
P31059	P0A7B8
P0AG24	P0AG24
P32698	P0AF48
P0ADH3	P0ADH3
P75961	P75961
P31600	P31600
P16916	P16916
P27838	P27838
P25739	P0AB89
P0A6X3	P0A6X3
P75713	P75713
P46923	P46923
P33361	P33361
P77646	P0CI31
P0ADM6	P0ADM6
P69503	P69503
P00478	P0A7F3
P08402	P0AFJ5
P24196	P0ADT5
P33348	P33348
P76655	P76655
P46474	P46474
Q47083	Q47083
P76541	P76541
P0ABS8	P0ABS8
P52037	P52037
P21168	P0ACP1
P0ADQ2	P0ADQ2
P13033	P13033
P0A763	P0A763
P75946	P75946
P0ACY3	P0ACY3
P31806	P31806
P39172	P39172
P52605	P52605
P0AF93	P0AF93
P64610	P64610
P03033	P0A7C2
P03815	P63284
Q47130	P0A978
P33018	P33018
P76492	P0A8W8
P05827	P05827
P06711	P0A9C5
P75989	P75989
P37019	P37019
P39274	P39274
P52137	P52137
P00891	P0ABH7
P39336	P39336
P0AAW1	P0AAW1
P33928	P69490
P31462	P31462
P28632	P28632
P0A9F1	P0A9F1
P13580	P0A6X1
P33195	P33195
P0A825	P0A825
P10486	P10486
P14900	P14900
P0AG07	P0AG07
P29014	P0AFL6
P67430	P67430
P64519	P64519
Q46877	Q46877
P25889	P25889
P16926	P16926
P11648	P68767
P0AGE9	P0AGE9
P77279	P77279
P45527	P45527
P77739	P77739
P0A6J8	P0A6J8
P77788	P77788
P37902	P37902
P24234	P60546
P62617	P62617
P21179	P21179
P11447	P11447
P02341	P0ACF4
P37682	P37682
P0A8D6	P0A8D6
P27305	P27305
P31574	P31574
P76417	P76417
P16921	P0AFG0
P0A6K3	P0A6K3
P0AE18	P0AE18
P61316	P61316
P21170	P21170
P29013	P29013
P07375	P07375
P07018	P07018
P76633	P76633
P76577	P76577
P0ACS2	P0ACS2
P39296	P0AF82
P0AG84	P0AG84
P30977	P0A8J4
P15035	P0ABG7
P37626	P37626
P71295	P0A991
P15300	P0AF18
P32721	P32721
P02425	P60624
P06975	P0A9A9
P65367	P65367
P30843	P30843
P37345	P0A720
P0A9Q7	P0A9Q7
P32680	P32680
P02388	P60723
P32165	P0A8R0
P22255	P22255
P23482	P23482
P25742	P25742
P46482	P46482
P37024	P37024
P76270	P76270
P30746	P0AEZ9
P0AC33	P0AC33
P0ADG7	P0ADG7
P0A729	P0A729
P0A9B2	P0A9B2
P21151	P21151
P05833	P05833
P32670	P32670
Q46802	Q46802
P0A717	P0A717
P77656	P77656
P31667	P31667
P08192	P08192
P0A6V8	P0A6V8
P19935	P0A855
Q47319	Q47319
P0A6M8	P0A6M8
P0AAG3	P0AAG3
P46003	P46003
P0A8F8	P0A8F8
P26608	P26608
P02436	P0A7N9
P64467	P64467
P21155	P0A7D7
P77169	P77169
Q57451	P0AEV9
P27859	P27859
P76235	P76235
P36660	P63264
P02352	P0A7V3
P02408	P0A7J3
P41069	P41069
P0A7N4	P0A7N4
P18033	P18033
P25519	P25519
P23854	P0AFM9
P10089	P10089
P39833	P0AFB1
P77756	P77756
P77265	P77265
P77585	P77585
P36664	P0A840
P31549	P31549
P75718	P75718
P10177	P0A955
Q46896	Q46896
P80668	P80668
P0AEN8	P0AEN8
P77781	P77781
P31433	P31433
P31224	P31224
P21166	P0AFZ7
P0AES6	P0AES6
P0AB77	P0AB77
P10443	P10443
P02359	P02359
P0C8J6	P0C8J6
P0A7U3	P0A7U3
P18198	P0A734
P10484	P10484
P03004	P03004
P10445	P0AC44
P24250	P0ACY1
P23882	P23882
P13519	P0A9X4
P08337	P08337
P25716	P0AEK2
P76193	P76193
P24223	P0A794
P30140	P30140
P25521	P0A6X3
P06721	P06721
P15038	P15038
P15070	P15070
P11904	P11904
P0AFF6	P0AFF6
P0A6A0	P0A6A0
P76072	P76072
P0AB83	P0AB83
P45420	P45420
P02934	P0A910
P0ABD3	P0ABD3
P25539	P25539
P15047	P15047
P0ACI0	P0ACI0
P36950	P0ACE7
P00944	P00944
P07459	P0AGE9
P77674	P77674
P0A940	P0A940
P0A8L7	P0A8L7
P21367	P21367
P0A8X0	P0A8X0
P08083	P08083
Q47012	P0A8V0
P09424	P09424
P37185	P0AAM7
P05804	P05804
P33666	P33666
P75835	P75835
P32170	P32170
P33371	P33371
Q46840	Q46840
P0AEB2	P0AEB2
P67762	P67762
P0A7W7	P0A7W7
P23843	P23843
P64423	P64423
P0A7Q6	P0A7Q6
P04273	P04273
P07003	P07003
P16917	P16917
P37662	P37662
P0A707	P0A707
P08193	P0A9Q5
P37047	P37047
P32484	P0ACR4
P37905	P69681
P08846	P0AFZ5
P60293	P60293
P04825	P04825
P45476	P0ADW6
P77147	P77147
P08690	P08690
P33995	P0A894
P10378	P10378
P32665	P0A9S5
P0A8B2	P0A8B2
P75884	P75884
P05053	P69786
P0A9L5	P0A9L5
Q46847	P69741
P11457	P0AEU7
P23875	P0A6I6
P76194	P76194
P76504	P0AD33
P52062	P52062
P39264	P39264
P0A6H1	P0A6H1
P0AF06	P0AF06
P33128	P33128
P15288	P15288
P0AEY8	P0AEY8
P64483	P64483
P0AAG0	P0AAG0
P02918	P02918
P36567	P60293
P77681	P77681
P00580	P0AGB3
P33924	P33924
P08716	P08716
P33920	P33920
P24237	P0A8A0
P24199	P0A7J0
P77302	P77302
P77718	P77718
P42184	P42184
P45768	P45768
P23869	P23869
P0AE78	P0AE78
P32704	P32704
P39396	P39396
P77808	P77808
P77274	P0ACX5
P06983	P06983
P76027	P76027
P37647	P37647
P76084	P76084
P09154	P09154
P02356	P0A7W1
P0A6R0	P0A6R0
P62066	P62066
P76484	P76484
P0AAP3	P0AAP3
P0ABM9	P0ABM9
P39405	P39405
P52647	P52647
P02366	P0A7R9
P0AD68	P0AD68
P25738	P25738
P13024	P13024
P0ABK9	P0ABK9
P77734	P0ACN4
P04391	P04391
P0A6Z3	P0A6Z3
P42630	P42630
P0AC88	P0AC88
P69913	P69913
P31222	P69829
Q46812	Q46812
P20625	P0AB83
P51025	P51025
P76100	P76100
P31666	P31666
P00824	P0ABB4
P18392	P18392
P06980	P0A6W9
P29208	P29208
P18783	P0ABU7
P14294	P14294
P14497	P14497
P31219	P0A9T8
P27300	P27300
P20082	P0AFI2
P03034	P03034
P0ABL8	P0ABL8
P21169	P21169
P32132	P32132
P0ABQ4	P0ABQ4
P0ACE7	P0ACE7
P69739	P69739
P17582	P0ABE9
P77504	P77504
P39342	P39342
P0ACG1	P0ACG1
P75954	P75954
P0AAR0	P0AAR0
P77374	P77374
P00647	P0A7Y4
P0A9W6	P0A9W6
P52084	P0AEH5
P76162	P76162
P36837	P36837
P81760	P81760
P31599	P0AFA5
P37745	P37745
P69910	P69910
P32718	P32718
P38134	P38134
P19245	P0A6G7
P16703	P16703
P25534	P25534
P37191	P0C8J8
P08837	P69783
P0ADN0	P0ADN0
P06710	P06710
P24229	P0A8J8
P37351	P37351
P09551	P09551
P0A8A8	P0A8A8
P06217	P0ACK5
P0ABH9	P0ABH9
P0A6N4	P0A6N4
P17580	P0AG24
P07023	P07023
P31577	P0A754
P76015	P76015
P77338	P77338
Q46851	Q46851
P27246	P0ACH5
P27251	P0A6K3
P0A898	P0A898
P62399	P62399
P24554	P24554
P0ADX1	P0ADX1
P32697	P0AE22
P0AEM0	P0AEM0
P0ADT5	P0ADT5
P0AED5	P0AED5
P19673	P0AG90
P77187	P77187
P22257	P0A850
P31828	P31828
P77044	P77044
P68679	P68679
P02414	P0ADY7
P76558	P76558
P02373	P0AG63
P82281	P82281
P0A7E1	P0A7E1
P0A734	P0A734
P67697	P67697
P77212	P77212
P39182	P0AEU0
P06864	P06864
P0AB52	P0AB52
P77488	P77488
P11549	P0A9S1
P0A9M8	P0A9M8
P75967	P75967
P0AEU7	P0AEU7
P39100	P0A9D2
P0AD12	P0AD12
P0AEW6	P0AEW6
P33138	P0A6H1
P33020	P33020
P04790	P0A858
P37330	P37330
P28904	P28904
P0ABJ3	P0ABJ3
P45691	P67662
P0C018	P0C018
Q46796	Q46796
P77529	P77529
P0AFP2	P0AFP2
P21507	P21507
P02428	P0A7M2
P39453	P39453
P17288	P0A7A9
P0AG63	P0AG63
P0A8T5	P0A8T5
P0AEP7	P0AEP7
P08956	P08956
P45532	P45532
P39306	P39306
P0A6D0	P0A6D0
P0ACY9	P0ACY9
P51020	P51020
Q46903	P65870
P0A7Y0	P0A7Y0
P0A7L0	P0A7L0
P76069	P76069
P62538	P62538
P63389	P63389
P45470	P45470
P76256	P76256
P45578	P45578
P68187	P68187
P77470	P0A6W0
P0A7S9	P0A7S9
Q46906	Q46906
P76043	P76043
