K12 Accession_Subcellular Location(this study)	Subcellular Location(this study)	Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
RLUB_A	A	P37765	RLUB_ECOLI	C6EFW8	A	Pseudouridine synthase (EC 5.4.99.-)	 	 	+ 	+ 
ILVD_A	A	P05791	ILVD_ECOLI	C6EG40	A	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	 	 	+ 	+ 
ACCC_A	A	P24182	ACCC_ECOLI	C6EGK4	A	"Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)"	 	 	+ 	+ 
ENGD_A	A	P0ABU2	ENGD_ECOLI	C6EGR3	A	GTP-binding protein YchF (Translation-associated GTPase)	 	 	+ 	+ 
RL27_A	A	P0A7L8	RL27_ECOLI	C6EH42	A	50S ribosomal protein L27	 	 	+ 	+ 
FABH_A	A	P0A6R0	FABH_ECOLI	C6EHC3	A	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III)	 	 	+ 	+ 
HLDE_A	A	P76658	HLDE_ECOLI	C6EHU3	A	Bifunctional protein hldE	 	 	+ 	+ 
LONH_A	A	P75867	LONH_ECOLI	C6EI27	A	Predicted peptidase (Putative ATP-dependent protease)	 	 	+ 	+ 
YCAO_A	A	P75838	YCAO_ECOLI	C6EI77	A	Putative uncharacterized protein (Putative uncharacterized protein ycaO)	 	 	+ 	+ 
SPEA_A	A	P21170	SPEA_ECOLI	C6EIH1	A	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	 	 	+ 	+ 
ODO1_A	A	P0AFG3	ODO1_ECOLI	C6EJL2	A	"2-oxoglutarate dehydrogenase, E1 subunit (EC 1.2.4.2) (Alpha-ketoglutarate decarboxylase) (EC 1.2.4.2)"	 	 	+ 	+ 
MIAB_A	A	P0AEI1	MIAB_ECOLI	C6EK34	A	Isopentenyl-adenosine A37 tRNA methylthiolase (tRNA-i(6)A37 thiotransferase enzyme MiaB)	 	 	+ 	+ 
UPP_A	A	P0A8F0	UPP_ECOLI	C6EKL3	A	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	 	 	+ 	+ 
CLPX_A	A	P0A6H1	CLPX_ECOLI	C6EL27	A	ATP-dependent Clp protease ATP-binding subunit ClpX	 	 	+ 	+ 
THII_A	A	P77718	THII_ECOLI	C6EL46	A	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein thiI) (tRNA 4-thiouridine synthase)	 	 	+ 	+ 
USG_A	A	P08390	USG_ECOLI	C6ELD4	A	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11) (Putative uncharacterized protein usg)	 	 	+ 	+ 
BGAL_A	A	P00722	BGAL_ECOLI	C6ELN6	A	Beta-D-galactosidase (EC 3.2.1.23) (Beta-galactosidase) (EC 3.2.1.23)	 	 	+ 	+ 
PMBA_A	A	P0AFK0	PMBA_ECOLI	C6ECB4	A	Peptidase U62 modulator of DNA gyrase (Predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17)	 	 	+ 	 
CYTR_A	A	P0ACN7	CYTR_ECOLI	C6EDC8	A	"Transcriptional regulator, LacI family"	 	 	+ 	 
SYY_A	A	P0AGJ9	SYY_ECOLI	C6EDK8	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	 	 	+ 	 
YQHC_A	A	Q46855	YQHC_ECOLI	C6EHY4	A	"Predicted DNA-binding transcriptional regulator (Transcriptional regulator, AraC family)"	 	 	+ 	 
E4PD_A	A	P0A9B6	E4PD_ECOLI	C6EII2	A	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	 	 	+ 	 
GUTQ_A	A	P17115	GUTQ_ECOLI	C6EJS3	A	KpsF/GutQ family protein (EC 5.3.1.13) (Predicted phosphosugar-binding protein)	 	 	+ 	 
YAHF_A	A	P77187	YAHF_ECOLI	C6ELR0	A	FdrA family protein (Predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain)	 	 	 	+ 
FRMA_A	A	P25437	FRMA_ECOLI	C6ELM4	A	Alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase (S-(Hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase)	 	 	 	+ 
DXS_A	A	P77488	DXS_ECOLI	C6ELG4	A	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase)	 	 	 	+ 
YFBQ_A	A	P0A959	YFBQ_ECOLI	C6ELG3	A	Aminotransferase class I and II (Aspartate aminotransferase)	 	 	 	+ 
ISPA_A	A	P22939	ISPA_ECOLI	C6EL48	A	Geranyltranstransferase (EC 2.5.1.1) (EC 2.5.1.10) (Polyprenyl synthetase)	 	 	 	+ 
CLPP_A	A	P0A6G7	CLPP_ECOLI	C6EL28	A	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	 	 	 	+ 
PUR7_A	A	P0A7D7	PUR7_ECOLI	C6EKN5	A	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	 	 	 	+ 
PUR5_A	A	P08178	PUR5_ECOLI	C6EKL2	A	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	 	 	 	+ 
GUAA_A	A	P04079	GUAA_ECOLI	C6EKK2	A	"Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)"	 	 	 	+ 
ENGA_A	A	P0A6P5	ENGA_ECOLI	C6EKJ8	A	GTP-binding protein engA	 	 	 	+ 
HSCA_A	A	P0A6Z1	HSCA_ECOLI	C6EKI1	A	Chaperone protein hscA (Hsc66)	 	 	 	+ 
TRMJ_A	A	P0AE01	TRMJ_ECOLI	C6EKH5	A	"Predicted methyltransferase (RNA methyltransferase, TrmH family, group 1)"	 	 	 	+ 
SUHB_A	A	P0ADG4	SUHB_ECOLI	C6EKH4	A	Inositol monophosphatase	 	 	 	+ 
PUR4_A	A	P15254	PUR4_ECOLI	C6EKF0	A	Phosphoribosylformylglycinamidine synthase (EC 6.3.5.3)	 	 	 	+ 
NFNB_A	A	P38489	NFNB_ECOLI	C6EKC3	A	"6,7-dihydropteridine reductase (EC 1.5.1.34) (Dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive)"	 	 	 	+ 
LIPA_A	A	P60716	LIPA_ECOLI	C6EK65	A	Lipoic acid synthetase (EC 2.8.1.8) (Lipoyl synthase)	 	 	 	+ 
SYL_A	A	P07813	SYL_ECOLI	C6EK51	A	Leucyl-tRNA synthetase (EC 6.1.1.4) (Leucine--tRNA ligase)	 	 	 	+ 
RNC_A	A	P0A7Y0	RNC_ECOLI	C6EK20	A	Ribonuclease III (EC 3.1.26.3)	 	 	 	+ 
CLPB_A	A	P63284	CLPB_ECOLI	C6EJZ8	A	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	 	 	 	+ 
RIMM_A	A	P0A7X6	RIMM_ECOLI	C6EJY4	A	Ribosome maturation factor rimM	 	 	 	+ 
ASNB_A	A	P22106	ASNB_ECOLI	C6EJR1	A	Asparagine synthase (Glutamine-hydrolyzing) (Asparagine synthetase B) (EC 6.3.5.4)	 	 	 	+ 
NAGD_A	A	P0AF24	NAGD_ECOLI	C6EJR0	A	"HAD-superfamily hydrolase, subfamily IIA (UMP phosphatase)"	 	 	 	+ 
SYQ_A	A	P00962	SYQ_ECOLI	C6EJQ4	A	Glutaminyl-tRNA synthetase (EC 6.1.1.18) (Glutamine--tRNA ligase)	 	 	 	+ 
TRUD_A	A	Q57261	TRUD_ECOLI	C6EJC2	A	tRNA pseudouridine synthase D (EC 5.4.99.-) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D)	 	 	 	+ 
CYSI_A	A	P17846	CYSI_ECOLI	C6EJA9	A	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	 	 	 	+ 
CYSJ_A	A	P38038	CYSJ_ECOLI	C6EJA8	A	"Sulfite reductase (NADPH) flavoprotein, alpha chain (Sulfite reductase, alpha subunit, flavoprotein) (EC 1.8.1.2)"	 	 	 	+ 
YGCF_A	A	P64554	YGCF_ECOLI	C6EJ96	A	Putative uncharacterized protein (Putative uncharacterized protein ygcF)	 	 	 	+ 
SDHM_A	A	P30744	SDHM_ECOLI	C6EJ74	A	L-serine deaminase II (EC 4.3.1.17) (L-serine dehydratase 1) (EC 4.3.1.17)	 	 	 	+ 
ARGA_A	A	P0A6C5	ARGA_ECOLI	C6EJ51	A	Amino-acid N-acetyltransferase (N-acetylglutamate synthase) (EC 2.3.1.1)	 	 	 	+ 
GALR_A	A	P03024	GALR_ECOLI	C6EJ31	A	"DNA-binding transcriptional repressor (Transcriptional regulator, LacI family)"	 	 	 	+ 
UVRB_A	A	P0A8F8	UVRB_ECOLI	C6EJ03	A	UvrABC system protein B (Protein uvrB) (Excinuclease ABC subunit B)	 	 	 	+ 
YBIC_A	A	P30178	YBIC_ECOLI	C6EIY1	A	Malate/L-lactate dehydrogenase (Predicted dehydrogenase)	 	 	 	+ 
RIMO_A	A	P0AEI4	RIMO_ECOLI	C6EIU8	A	MiaB-like tRNA modifying enzyme YliG (Predicted SAM-dependent methyltransferase)	 	 	 	+ 
SYK1_A	A	P0A8N3	SYK1_ECOLI	C6EIL8	A	Lysyl-tRNA synthetase (EC 6.1.1.6)	 	 	 	+ 
DCOR_A	A	P21169	DCOR_ECOLI	C6EIE4	A	Ornithine decarboxylase (EC 4.1.1.17)	 	 	 	+ 
YBJS_A	A	P75821	YBJS_ECOLI	C6EIB3	A	NAD-dependent epimerase/dehydratase	 	 	 	+ 
IHFB_A	A	P0A6Y1	IHFB_ECOLI	C6EI70	A	Integration host factor subunit beta (IHF-beta)	 	 	 	+ 
PARE_A	A	P20083	PARE_ECOLI	C6EHW3	A	"DNA topoisomerase IV subunit B (EC 5.99.1.-) (DNA topoisomerase IV, B subunit) (EC 5.99.1.3)"	 	 	 	+ 
GLNE_A	A	P30870	GLNE_ECOLI	C6EHU2	A	(Glutamate--ammonia-ligase) adenylyltransferase (EC 2.7.7.42) (Fused deadenylyltransferase/adenylyltransferase for glutamine synthetase) (EC 2.7.7.42)	 	 	 	+ 
RL32_A	A	P0A7N4	RL32_ECOLI	C6EHC5	A	50S ribosomal protein L32	 	 	 	+ 
RSMI_A	A	P67087	RSMI_ECOLI	C6EH79	A	Predicted methyltransferase (Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase)	 	 	 	+ 
RS15_A	A	P0ADZ4	RS15_ECOLI	C6EH60	A	30S ribosomal protein S15	 	 	 	+ 
NUSA_A	A	P0AFF6	NUSA_ECOLI	C6EH56	A	NusA antitermination factor (Transcription elongation factor NusA)	 	 	 	+ 
RLME_A	A	P0C0R7	RLME_ECOLI	C6EH48	A	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) (23S rRNA Um2252 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	 	 	 	+ 
OBG_A	A	P42641	OBG_ECOLI	C6EH44	A	GTPase obg (GTP-binding protein obg)	 	 	 	+ 
MURA_A	A	P0A749	MURA_ECOLI	C6EH38	A	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase)	 	 	 	+ 
GLTB_A	A	P09831	GLTB_ECOLI	C6EH15	A	"Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)"	 	 	 	+ 
GLTD_A	A	P09832	GLTD_ECOLI	C6EH14	A	"Glutamate synthase, 4Fe-4S protein, small subunit (EC 1.4.1.13) (Glutamate synthase, small subunit)"	 	 	 	+ 
MFD_A	A	P30958	MFD_ECOLI	C6EGX8	A	Transcription-repair coupling factor	 	 	 	+ 
HEM1_A	A	P0A6X1	HEM1_ECOLI	C6EGQ6	A	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	 	 	 	+ 
KDSA_A	A	P0A715	KDSA_ECOLI	C6EGQ1	A	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	 	 	 	+ 
RL36_A	A	P0A7Q6	RL36_ECOLI	C6EGG7	A	50S ribosomal protein L36	 	 	 	+ 
RS19_A	A	P0A7U3	RS19_ECOLI	C6EGF0	A	30S ribosomal protein S19	 	 	 	+ 
YHET_A	A	P45524	YHET_ECOLI	C6EGB0	A	Alpha/beta hydrolase fold protein (Predicted hydrolase)	 	 	 	+ 
ASNA_A	A	P00963	ASNA_ECOLI	C6EG59	A	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	 	 	 	+ 
RAVA_A	A	P31473	RAVA_ECOLI	C6EG57	A	ATPase associated with various cellular activities AAA_5 (Fused predicted transcriptional regulator: sigma54 activator protein/conserved protein)	 	 	 	+ 
ILVC_A	A	P05793	ILVC_ECOLI	C6EG37	A	Ketol-acid reductoisomerase (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (Alpha-keto-beta-hydroxylacil reductoisomerase)	 	 	 	+ 
RMLB2_A	A	P27830	RMLB2_ECOLI	C6EG24	A	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"	 	 	 	+ 
RFFA_A	A	P27833	RFFA_ECOLI	C6EG21	A	TDP-4-keto-6-deoxy-D-glucose transaminase (TDP-4-oxo-6-deoxy-D-glucose transaminase)	 	 	 	+ 
PYRF_A	A	P08244	PYRF_ECOLI	C6EFV3	A	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	 	 	 	+ 
YCIT_A	A	P76034	YCIT_ECOLI	C6EFV0	A	"Predicted DNA-binding transcriptional regulator (Transcriptional regulator, DeoR family)"	 	 	 	+ 
SYW_A	A	P00954	SYW_ECOLI	C6EFJ2	A	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	 	 	 	+ 
YHGF_A	A	P46837	YHGF_ECOLI	C6EFG7	A	RNA binding S1 domain protein	 	 	 	+ 
PHSM_A	A	P00490	PHSM_ECOLI	C6EFF7	A	Phosphorylase (EC 2.4.1.1)	 	 	 	+ 
PHSG_A	A	P0AC86	PHSG_ECOLI	C6EFE6	A	Phosphorylase (EC 2.4.1.1)	 	 	 	+ 
GNTR_A	A	P0ACP5	GNTR_ECOLI	C6EFD7	A	"Transcriptional regulator, LacI family"	 	 	 	+ 
DPO1_A	A	P00582	DPO1_ECOLI	C6EF39	A	DNA polymerase I (EC 2.7.7.7)	 	 	 	+ 
ENGB_A	A	P0A6P7	ENGB_ECOLI	C6EF37	A	GTP-binding protein HSR1-related	 	 	 	+ 
GLPX_A	A	P0A9C9	GLPX_ECOLI	C6EEX3	A	"Fructose-1,6-bisphosphatase, class II (EC 3.1.3.11)"	 	 	 	+ 
RRAA_A	A	P0A8R0	RRAA_ECOLI	C6EEW9	A	Regulator of ribonuclease activity A	 	 	 	+ 
NIFJ_A	A	P52647	NIFJ_ECOLI	C6EEW7	A	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	 	 	 	+ 
YDCP_A	A	P76104	YDCP_ECOLI	C6EES8	A	Peptidase U32 (Predicted peptidase)	 	 	 	+ 
MAO1_A	A	P26616	MAO1_ECOLI	C6EEN8	A	"Malate dehydrogenase (Oxaloacetate-decarboxylating) (EC 1.1.1.38) (Malate dehydrogenase, (Decarboxylating, NAD-requiring) (Malic enzyme)) (EC 1.1.1.38)"	 	 	 	+ 
SYGB_A	A	P00961	SYGB_ECOLI	C6EEC0	A	Glycyl-tRNA synthetase beta subunit (EC 6.1.1.14) (Glycine--tRNA ligase beta subunit)	 	 	 	+ 
SYGA_A	A	P00960	SYGA_ECOLI	C6EEB9	A	Glycyl-tRNA synthetase alpha subunit (EC 6.1.1.14) (Glycine--tRNA ligase alpha subunit)	 	 	 	+ 
CYTR_A	A	P0ACN7	CYTR_ECOLI	C6EE75	A	"DNA-binding transcriptional dual regulator (Transcriptional regulator, LacI family)"	 	 	 	+ 
CAPP_A	A	P00864	CAPP_ECOLI	C6EE53	A	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	 	 	 	+ 
ARGC_A	A	P11446	ARGC_ECOLI	C6EE51	A	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase)	 	 	 	+ 
ARGB_A	A	P0A6C8	ARGB_ECOLI	C6EE50	A	Acetylglutamate kinase	 	 	 	+ 
FABR_A	A	P0ACU5	FABR_ECOLI	C6EE46	A	"DNA-binding transcriptional repressor (Transcriptional regulator, TetR family)"	 	 	 	+ 
MURI_A	A	P22634	MURI_ECOLI	C6EE43	A	Glutamate racemase (EC 5.1.1.3)	 	 	 	+ 
NUSG_A	A	P0AFG0	NUSG_ECOLI	C6EE37	A	Transcription antitermination protein nusG	 	 	 	+ 
DCUP_A	A	P29680	DCUP_ECOLI	C6EE21	A	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	 	 	 	+ 
YDFG_A	A	P39831	YDFG_ECOLI	C6EDU7	A	"L-allo-threonine dehydrogenase, NAD(P)-binding (Short-chain dehydrogenase/reductase SDR)"	 	 	 	+ 
PDXH_A	A	P0AFI7	PDXH_ECOLI	C6EDK7	A	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (Pyridoxal 5'-phosphate synthase)	 	 	 	+ 
GPDA_A	A	P0A6S7	GPDA_ECOLI	C6EDI1	A	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	 	 	 	+ 
HLDD_A	A	P67910	HLDD_ECOLI	C6EDH1	A	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase)	 	 	 	+ 
RFAI_A	A	P27128	RFAI_ECOLI	C6EDG2	A	"Lipopolysaccharide 3-alpha-galactosyltransferase (EC 2.4.1.44) (UDP-glucose:(Glucosyl) LPS alpha1,3-glucosyltransferase WaaO)"	 	 	 	+ 
RFAG_A	A	P25740	RFAG_ECOLI	C6EDG0	A	Glucosyltransferase I (Glycosyl transferase group 1)	 	 	 	+ 
RL33_A	A	P0A7N9	RL33_ECOLI	C6EDF5	A	50S ribosomal protein L33	 	 	 	+ 
SPOT_A	A	P0AG24	SPOT_ECOLI	C6EDE0	A	"(P)ppGpp synthetase I, SpoT/RelA (EC 3.1.7.2) (Bifunctional (P)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase) (EC 2.7.6.5) (EC 3.1.7.2)"	 	 	 	+ 
YIDA_A	A	P0A8Y5	YIDA_ECOLI	C6ED73	A	Cof-like hydrolase (Predicted hydrolase)	 	 	 	+ 
PHNF_A	A	P16684	PHNF_ECOLI	C6ED21	A	"Phophonate C-P lyase system transcriptional regulator PhnF, GntR family (Predicted DNA-binding transcriptional regulator of phosphonate uptake and biodegradation)"	 	 	 	+ 
BASR_A	A	P30843	BASR_ECOLI	C6ED11	A	"DNA-binding response regulator in two-component regulatory system with BasS (Two component transcriptional regulator, winged helix family)"	 	 	 	+ 
YJEK_A	A	P39280	YJEK_ECOLI	C6ECX9	A	"Lysine 2,3-aminomutase YodO family protein (EC 5.4.3.2) (Predicted lysine aminomutase)"	 	 	 	+ 
RL35_A	A	P0A7Q1	RL35_ECOLI	C6ECP0	A	50S ribosomal protein L35	 	 	 	+ 
IF3_A	A	P0A707	IF3_ECOLI	C6ECN9	A	Translation initiation factor IF-3	 	 	 	+ 
SYT_A	A	P0A8M3	SYT_ECOLI	C6ECN8	A	Threonyl-tRNA synthetase (EC 6.1.1.3) (Threonine--tRNA ligase)	 	 	 	+ 
SELD_A	A	P16456	SELD_ECOLI	C6ECJ3	A	"Selenide, water dikinase (Selenophosphate synthetase) (EC 2.7.9.3)"	 	 	 	+ 
HFLX_A	A	P25519	HFLX_ECOLI	C6ECH6	A	GTP-binding proten HflX (Predicted GTPase)	 	 	 	+ 
RNR_A	A	P21499	RNR_ECOLI	C6ECH0	A	"Exoribonuclease R, RNase R (EC 3.1.-.-) (VacB and RNase II family 3'-5' exoribonuclease) (EC 3.1.13.1)"	 	 	 	+ 
RLMB_A	A	P63177	RLMB_ECOLI	C6ECG9	A	"23S rRNA (Gm2251)-methyltransferase (EC 2.1.1.-) (RNA methyltransferase, TrmH family, group 3)"	 	 	 	+ 
F16PA_A	A	P0A993	F16PA_ECOLI	C6ECB7	A	"Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)"	 	 	 	+ 
TREC_A	A	P28904	TREC_ECOLI	C6ECA9	A	"Alpha,alpha-phosphotrehalase (Trehalose-6-P hydrolase) (EC 3.2.1.93)"	 	 	 	+ 
AMPA_A	A	P68767	AMPA_ECOLI	C6EC91	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	 	 	 	+ 
YEAZ_A	A	P76256	YEAZ_ECOLI	C6EC24	A	Predicted peptidase (Putative uncharacterized protein)	 	 	 	+ 
KPYK2_A	A	P21599	KPYK2_ECOLI	C6EBX3	A	Pyruvate kinase (EC 2.7.1.40)	 	 	 	+ 
T1RK_A	A	P08956	T1RK_ECOLI	C6EBN0	A	Endonuclease R (EC 3.1.21.3) (Type I site-specific deoxyribonuclease) (EC 3.1.21.3)	 	 	 	+ 
RSMC_A	A	P39406	RSMC_ECOLI	C6EBK1	A	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	 	 	 	+ 
RF3_A	A	P0A7I4	RF3_ECOLI	C6EBJ7	A	Peptide chain release factor 3 (RF-3)	 	 	 	+ 
ARCA_A	A	P0A9Q1	ARCA_ECOLI	C6EBH0	A	"DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)"	 	 	 	+ 
YAAA_A	A	P0A8I3	YAAA_ECOLI	C6EBG3	A	UPF0246 protein yaaA	 	 	 	+ 
ARNB_A	A	P77690	ARNB_ECOLI	C6EB46	A	"DegT/DnrJ/EryC1/StrS aminotransferase (VioA, involved in dTDP-N-acetylviosamine synthesis)"	 	 	 	+ 
RSMA_A	A	P06992	RSMA_ECOLI	C6EB02	A	"Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.-) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)"	 	 	 	+ 
RAPA_A	A	P60240	RAPA_ECOLI	C6EAZ6	A	ATP-dependent helicase HepA (SNF2-related protein)	 	 	 	+ 
URK_A	A	P0A8F4	URK_ECOLI	C6EAP1	A	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	 	 	 	+ 
YEGD_A	A	P36928	YEGD_ECOLI	C6EAN8	A	Predicted chaperone (Uncharacterized chaperone protein YegD)	 	 	 	+ 
MRP_A	A	P0AF08	MRP_ECOLI	C6EAJ8	A	Antiporter inner membrane protein (Mrp protein)	 	 	 	+ 
HRPB_A	A	P37024	HRPB_ECOLI	C6EAD6	A	ATP-dependent helicase HrpB (Predicted ATP-dependent helicase)	 	 	 	+ 
GLND_A	A	P27249	GLND_ECOLI	C6EAB8	A	[Protein-PII] uridylyltransferase (PII uridylyl-transferase) (EC 2.7.7.59) (UTase) (Uridylyl-removing enzyme)	 	 	 	+ 
DPO3A_A	A	P10443	DPO3A_ECOLI	C6EAA1	A	"DNA polymerase III subunit alpha (EC 2.7.7.7) (DNA polymerase III, alpha subunit)"	 	 	 	+ 
SYP_A	A	P16659	SYP_ECOLI	C6EA90	A	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	 	 	 	+ 
RL25_A	A	P68919	RL25_ECOLI	C6EA12	A	50S ribosomal protein L25	 	 	 	+ 
NDPA_A	A	P33920	NDPA_ECOLI	C6EA11	A	Nucleoid-associated protein YejK	 	 	 	+ 
GYRA_A	A	P0AES4	GYRA_ECOLI	C6E9X0	A	"DNA gyrase subunit A (EC 5.99.1.3) (DNA gyrase, A subunit) (EC 5.99.1.3)"	 	 	 	+ 
NUOA_B	B	P0AFC3	NUOA_ECOLI	C6E9R4	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	+ 	+ 	+ 	+ 
NUOH_B	B	P0AFD4	NUOH_ECOLI	C6E9S0	B	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	+ 	+ 	+ 	+ 
NUOJ_B	B	P0AFE0	NUOJ_ECOLI	C6E9S2	B	NADH dehydrogenase (Quinone) (EC 1.6.99.5) (NADH dehydrogenase subunit J) (EC 1.6.5.3)	+ 	+ 	+ 	+ 
NUOK_B	B	P0AFE4	NUOK_ECOLI	C6E9S3	B	NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	+ 	+ 	+ 	+ 
ARNT_B	B	P76473	ARNT_ECOLI	C6E9U3	B	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	+ 	+ 	+ 	+ 
ARNC_B	B	P77757	ARNC_ECOLI	C6E9U6	B	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.7.8.n1) (Undecaprenyl-phosphate Ara4FN transferase)	+ 	+ 	+ 	+ 
RCSC_B	B	P14376	RCSC_ECOLI	C6E9Y2	B	Histidine kinase	+ 	+ 	+ 	+ 
PTFBC_B	B	P20966	PTFBC_ECOLI	C6EA31	B	"Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)"	+ 	+ 	+ 	+ 
FADE_B	B	Q47146	FADE_ECOLI	C6EA67	B	Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	+ 	+ 	+ 	+ 
RSEP_B	B	P0AEH1	RSEP_ECOLI	C6EAA9	B	Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	+ 	+ 	+ 	+ 
PBPB_B	B	P02919	PBPB_ECOLI	C6EAD5	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	+ 	+ 	+ 	+ 
PCNB_B	B	P0ABF1	PCNB_ECOLI	C6EAE1	B	Poly(A) polymerase (EC 2.7.7.19)	+ 	+ 	+ 	+ 
ASMA_B	B	P28249	ASMA_ECOLI	C6EAP3	B	AsmA family protein (Predicted assembly protein)	+ 	+ 	+ 	+ 
AMPE_B	B	P0AE14	AMPE_ECOLI	C6EAU6	B	"Predicted inner membrane protein (Signaling modulator of AmpD, AmpE)"	+ 	+ 	+ 	+ 
