Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED	
ACRB_ECOLI	C6EDX8	B	Diacylglycerol kinase (EC 2.7.1.107)	122	Y	Y	
ACRB_ECOLI	C6EJN9	B	Osmosensitive K channel His kinase sensor	894	Y	Y	
ACRB_ECOLI	C6EK19	B	Signal peptidase I (EC 3.4.21.89)	324	Y	Y	
ACRB_ECOLI	C6EDI4	B	FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase, FMN-linked) (EC 1.1.2.3)	396	Y	Y	
ACRB_ECOLI	C6EGX4	B	Lipoprotein releasing system, transmembrane protein LolE	412	Y	Y	
ACRB_ECOLI	C6EC89	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	360	Y	Y	
ACRB_ECOLI	C6EI68	B	Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (Lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA)	582	Y	Y	
ACRB_ECOLI	C6EGH6	B	Large-conductance mechanosensitive channel	136	Y	Y	
ACRB_ECOLI	C6EII5	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	286	Y	Y	
ACRB_ECOLI	C6ECH4	B	HflC protein (Modulator for HflB protease specific for phage lambda cII repressor)	334	Y	Y	
ACRB_ECOLI	C6EFS7	B	Phage shock protein B	74	Y	Y	
ACRB_ECOLI	C6E9R4	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	147	Y	Y	
ACRB_ECOLI	C6E9S3	B	NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	100	Y	Y	
ACRB_ECOLI	C6EHG3	B	Glycosyl transferase family 2	837	Y	Y	
ACRB_ECOLI	C6EG98	B	Inner membrane protein oxaA	548	Y	Y	
ACRB_ECOLI	C6EFI0	B	Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	850	Y	Y	
ACRB_ECOLI	C6EDP5	B	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)	510	Y	Y	
ACRB_ECOLI	C6EDP6	B	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	462	Y	Y	
ACRB_ECOLI	C6EL22	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	Y	Y	
ACRB_ECOLI	C6ED13	B	Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)	500	Y	Y	
ACRB_ECOLI	C6EGZ1	B	Fused glucose-specific PTS enzymes: IIB component/IIC component (EC 2.7.1.69) (PTS system, glucose-specific IIBC subunit) (EC 2.7.1.69)	477	Y	Y	
ACRB_ECOLI	C6EAL8	B	Galactitol-specific enzyme IIC component of PTS (PTS system, galactitol-specific IIC subunit)	451	Y	Y	
ACRB_ECOLI	C6EDJ3	B	Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components (PTS system, mannitol-specific IIC subunit)	637	Y	Y	
ACRB_ECOLI	C6ECA8	B	Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component (PTS system, trehalose-specific IIBC subunit)	473	Y	Y	
ACRB_ECOLI	C6EKJ3	B	Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)	337	Y	Y	
ACRB_ECOLI	C6EAA9	B	Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	450	Y	Y	
ACRB_ECOLI	C6ELH6	B	Protein-export membrane protein SecD	604	Y	Y	
ACRB_ECOLI	C6ELH5	B	Protein export protein SecF (Protein-export membrane protein SecF)	323	Y	Y	
ACRB_ECOLI	C6EH52	B	Preprotein translocase, SecG subunit (Protein-export membrane protein)	110	Y	Y	
ACRB_ECOLI	C6EGG6	B	Preprotein translocase subunit secY	443	Y	Y	
ACRB_ECOLI	C6EBI4	B	Putative uncharacterized protein (Putative uncharacterized protein smp)	214	Y	Y	
ACRB_ECOLI	C6EF60	B	Twin arginate translocase protein A (Twin-arginine translocation protein, TatA/E family subunit)	89	Y	Y	
ACRB_ECOLI	C6EF59	B	Sec-independent translocase (Twin-arginine translocation protein, TatB subunit)	171	Y	Y	
ACRB_ECOLI	C6EJK0	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolQ)	230	Y	Y	
ACRB_ECOLI	C6EB58	B	Lipopolysaccharide biosynthesis protein	326	Y	Y	
ACRB_ECOLI	C6ELH7	B	Preprotein translocase subunit YajC (Preprotein translocase, YajC subunit)	110	Y	Y	
ACRB_ECOLI	C6EKY6	B	Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	558	Y	Y	
ACRB_ECOLI	C6EIY7	B	Secretion protein HlyD family protein	331	Y	Y	
ACRB_ECOLI	C6EFR0	B	UPF0283 membrane protein ycjF	353	Y	Y	
ACRB_ECOLI	C6ECM9	B	Predicted transporter (Sodium:dicarboxylate symporter)	463	Y	Y	
ACRB_ECOLI	C6EC05	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	95	Y	Y	
ACRB_ECOLI	C6EKJ6	B	Putative uncharacterized protein (Putative uncharacterized protein yfgM)	206	Y	Y	
ACRB_ECOLI	C6EJV3	B	Putative uncharacterized protein	109	Y	Y	
ACRB_ECOLI	C6EHU0	B	Predicted signal transduction protein (SH3 domain) (SH3 domain protein)	206	Y	Y	
ACRB_ECOLI	C6EGZ9	B	Putative uncharacterized protein (Putative uncharacterized protein yhcB)	132	Y	Y	
ACRB_ECOLI	C6EEJ7	B	Predicted HlyD family secretion protein (Secretion protein HlyD family protein)	355	Y	Y	
ACRB_ECOLI	C6EDH8	B	Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	143	Y	Y	
ACRB_ECOLI	C6EE04	B	Predicted transporter (Sodium-dependent inorganic phosphate (Pi) transporter)	543	Y	Y	
ACRB_ECOLI	C6EBM6	B	Carbon starvation protein CstA (Predicted inner membrane protein)	716	Y	Y	
ACRB_ECOLI	C6EHP5	B	Putative uncharacterized protein (Putative uncharacterized protein yqjD)	101	Y	Y	
ACRB_ECOLI	C6ECC7	B	Predicted inner membrane protein (Putative uncharacterized protein)	447	Y	Y	
ACRB_ECOLI	C6EL66	B	Cell division protein zipA	328	Y	Y	
ACRB_ECOLI	C6EFP1	B	Mg2 transporter protein CorA family protein (Zinc transporter)	327	Y	Y	
ACRB_ECOLI	C6EJ32	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	719		Y	
ACRB_ECOLI	C6EKP2	B	Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1037		Y	
ACRB_ECOLI	C6ED58	B	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	549		Y	
ACRB_ECOLI	C6EAU6	B	Predicted inner membrane protein (Signaling modulator of AmpD, AmpE)	284		Y	
ACRB_ECOLI	C6EH17	B	Hybrid sensory histidine kinase in two-component regulatory system with ArcA (EC 2.7.3.-) (Multi-sensor hybrid histidine kinase)	778		Y	
ACRB_ECOLI	C6E9U3	B	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	550		Y	
ACRB_ECOLI	C6EAU5	B	Amino acid permease-associated region	456		Y	
ACRB_ECOLI	C6EIB9	B	Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	238		Y	
ACRB_ECOLI	C6EAP3	B	AsmA family protein (Predicted assembly protein)	617		Y	
ACRB_ECOLI	C6EJN7	B	Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	682		Y	
ACRB_ECOLI	C6EG65	B	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	271		Y	
ACRB_ECOLI	C6EAM7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with BaeR) (EC 2.7.3.-)	467		Y	
ACRB_ECOLI	C6EJ86	B	Hpt sensor hybrid histidine kinase (Hybrid sensory histidine kinase, in two-component regulatory system with UvrY) (EC 2.7.3.-)	918		Y	
ACRB_ECOLI	C6ED12	B	Histidine kinase	366		Y	
ACRB_ECOLI	C6EEF1	B	Cellulose synthase subunit B	767		Y	
ACRB_ECOLI	C6ELR7	B	Choline transporter of high affinity (Choline/carnitine/betaine transporter)	677		Y	
ACRB_ECOLI	C6EC73	B	Choline/carnitine/betaine transporter	665		Y	
ACRB_ECOLI	C6EA04	B	Cytochrome c assembly protein (Heme lyase, CcmF subunit)	647		Y	
ACRB_ECOLI	C6EA06	B	Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)	350		Y	
ACRB_ECOLI	C6EEY0	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	251		Y	
ACRB_ECOLI	C6EFY7	B	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	486		Y	
ACRB_ECOLI	C6EKY0	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	834		Y	
ACRB_ECOLI	C6EGS6	B	Potassium/proton antiporter (Sodium/hydrogen exchanger)	578		Y	
ACRB_ECOLI	C6EJK4	B	Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)	379		Y	
ACRB_ECOLI	C6EL53	B	Sulfate ABC transporter, inner membrane subunit (Sulfate/thiosulfate transporter subunit)	277		Y	
ACRB_ECOLI	C6EL54	B	Sulfate ABC transporter, inner membrane subunit	291		Y	
ACRB_ECOLI	C6EL65	B	Protein CysZ	253		Y	
ACRB_ECOLI	C6EEF5	B	C4-dicarboxylate transport protein (Sodium:dicarboxylate symporter)	428		Y	
ACRB_ECOLI	C6ECY7	B	Anaerobic c4-dicarboxylate antiporter, Dcu family (C4-dicarboxylate antiporter)	433		Y	
ACRB_ECOLI	C6ELD6	B	Conserved inner membrane protein	219		Y	
ACRB_ECOLI	C6EGZ7	B	Periplasmic serine protease DegS (EC 3.4.21.108) (Serine endoprotease, periplasmic) (EC 3.4.21.-)	355		Y	
ACRB_ECOLI	C6EAT3	B	Glucose dehydrogenase (EC 1.1.5.2) (Membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family) (EC 1.1.5.2)	796		Y	
ACRB_ECOLI	C6EJL5	B	Succinate dehydrogenase cytochrome b556 small membrane subunit (EC 1.3.99.1) (Succinate dehydrogenase, hydrophobic membrane anchor protein)	115		Y	
ACRB_ECOLI	C6EAZ8	B	Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	271		Y	
ACRB_ECOLI	C6EED7	B	Binding-protein-dependent transport systems inner membrane component (Dipeptide transporter)	339		Y	
ACRB_ECOLI	C6ECY9	B	Thiol:disulfide interchange protein dsbD (EC 1.8.1.8) (Protein-disulfide reductase)	565		Y	
ACRB_ECOLI	C6EJU1	B	Efflux pump membrane protein (Multidrug efflux system)	390		Y	
ACRB_ECOLI	C6EHY7	B	Membrane spanning protein in TonB-ExbB-ExbD complex (TonB-system energizer ExbB)	244		Y	
ACRB_ECOLI	C6EFG5	B	Ferrous iron transport protein B	773		Y	
ACRB_ECOLI	C6ELD2	B	Flagella assembly protein (Predicted flagella assembly protein)	331		Y	
ACRB_ECOLI	C6ECX1	B	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	131		Y	
ACRB_ECOLI	C6EKY5	B	Major facilitator superfamily MFS_1 (Predicted fosmidomycin efflux system)	406		Y	
ACRB_ECOLI	C6EJB9	B	Cell diviision protein FtsB (Septum formation initiator)	103		Y	
ACRB_ECOLI	C6EAX1	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	588		Y	
ACRB_ECOLI	C6EAX2	B	Cell division protein FtsL (Membrane bound cell division protein at septum containing leucine zipper motif)	121		Y	
ACRB_ECOLI	C6EE76	B	Cell division protein FtsN (Essential cell division protein)	319		Y	
ACRB_ECOLI	C6EAW2	B	Cell division protein FtsQ (Membrane anchored protein involved in growth of wall at septum)	276		Y	
ACRB_ECOLI	C6EAW6	B	Cell division protein FtsW (Integral membrane protein involved in stabilizing FstZ ring during cell division)	414		Y	
ACRB_ECOLI	C6ECY5	B	FxsA cytoplasmic membrane protein (Inner membrane protein)	158		Y	
ACRB_ECOLI	C6EJW2	B	GABA permease (Gamma-aminobutyrate transporter)	466		Y	
ACRB_ECOLI	C6EIG8	B	Sugar transporter	464		Y	
ACRB_ECOLI	C6EIX2	B	Glutamine ABC transporter permease protein (Polar amino acid ABC transporter, inner membrane subunit)	219		Y	
ACRB_ECOLI	C6EK41	B	Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	246		Y	
ACRB_ECOLI	C6EK42	B	Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	224		Y	
ACRB_ECOLI	C6ED48	B	Glutamate/aspartate:proton symporter (Sodium:dicarboxylate symporter)	437		Y	
ACRB_ECOLI	C6EDD6	B	Glutamate transporter (Sodium/glutamate symporter)	401		Y	
ACRB_ECOLI	C6EFF9	B	Gluconate transporter (Gluconate transporter, high-affinity GNT I system)	438		Y	
ACRB_ECOLI	C6EIV1	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	306		Y	
ACRB_ECOLI	C6EIV0	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	303		Y	
ACRB_ECOLI	C6ELE6	B	Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	238		Y	
ACRB_ECOLI	C6ELE5	B	Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	228		Y	
ACRB_ECOLI	C6EC00	B	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	293		Y	
ACRB_ECOLI	C6EFY6	B	TrkA-N domain protein (Voltage-gated potassium channel)	417		Y	
ACRB_ECOLI	C6EDF8	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	425		Y	
ACRB_ECOLI	C6EKZ9	B	Fused conserved protein (MscS Mechanosensitive ion channel)	1120		Y	
ACRB_ECOLI	C6EGB3	B	Glutathione-regulated potassium-efflux system protein kefB (K(+)/H(+) antiporter) (NEM-activatable K(+)/H(+) antiporter)	601		Y	
ACRB_ECOLI	C6EB06	B	Glutathione-regulated potassium-efflux system protein (Potassium efflux system protein)	620		Y	
ACRB_ECOLI	C6EJZ9	B	Alpha-ketoglutarate transporter (Metabolite/H+ symporter, major facilitator superfamily (MFS))	432		Y	
ACRB_ECOLI	C6EG56	B	Potassium transporter (Potassium uptake protein)	622		Y	
ACRB_ECOLI	C6EJ41	B	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	291		Y	
ACRB_ECOLI	C6EK38	B	Apolipoprotein N-acyltransferase	512		Y	
ACRB_ECOLI	C6EGX6	B	Lipoprotein releasing system, transmembrane protein, LolC/E family (Outer membrane-specific lipoprotein transporter subunit)	399		Y	
ACRB_ECOLI	C6EH28	B	Putative uncharacterized protein (Putative uncharacterized protein yrbK)	191		Y	
ACRB_ECOLI	C6EC90	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	366		Y	
ACRB_ECOLI	C6EI67	B	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	328		Y	
ACRB_ECOLI	C6EAF7	B	Amino acid permease-associated region (Lysine transporter)	489		Y	
ACRB_ECOLI	C6EIA2	B	ABC transporter related (Fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component)	648		Y	
ACRB_ECOLI	C6EL15	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	590		Y	
ACRB_ECOLI	C6EL14	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	593		Y	
ACRB_ECOLI	C6EAM9	B	Acriflavin resistance protein (Multidrug efflux system, subunit C)	1025		Y	
ACRB_ECOLI	C6EA86	B	Binding-protein-dependent transport systems inner membrane component (DL-methionine transporter subunit)	217		Y	
ACRB_ECOLI	C6EAW8	B	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	360		Y	
ACRB_ECOLI	C6EGL1	B	Cell wall structural complex MreBCD transmembrane component MreC (Rod shape-determining protein MreC)	367		Y	
ACRB_ECOLI	C6EBX2	B	Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase	323		Y	
ACRB_ECOLI	C6EH19	B	Monofunctional biosynthetic peptidoglycan transglycosylase (Monofunctional TGase) (EC 2.4.2.-)	242		Y	
ACRB_ECOLI	C6EH08	B	Putative sialic acid transporter (Sialic acid permease)	496		Y	
ACRB_ECOLI	C6EGP2	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory system with NarL) (EC 2.7.3.-)	598		Y	
ACRB_ECOLI	C6EGT1	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	513		Y	
ACRB_ECOLI	C6EB50	B	O antigen polymerase (Wzy) (Putative uncharacterized protein)	391		Y	
ACRB_ECOLI	C6E9S0	B	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	325		Y	
ACRB_ECOLI	C6E9S2	B	NADH dehydrogenase (Quinone) (EC 1.6.99.5) (NADH dehydrogenase subunit J) (EC 1.6.5.3)	184		Y	
ACRB_ECOLI	C6E9S4	B	NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain L)	613		Y	
ACRB_ECOLI	C6EL76	B	Nucleoside (Except guanosine) transporter (Nucleoside transporter)	400		Y	
ACRB_ECOLI	C6EGM3	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide permease ABC transporter membrane protein)	306		Y	
ACRB_ECOLI	C6EFZ1	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide transporter subunit)	302		Y	
ACRB_ECOLI	C6EK58	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	633		Y	
ACRB_ECOLI	C6EAD5	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	841		Y	
ACRB_ECOLI	C6EBF0	B	CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthetase) (EC 2.7.8.5)	182		Y	
ACRB_ECOLI	C6EKC5	B	Amino acid permease-associated region	470		Y	
ACRB_ECOLI	C6EGW2	B	Histidine kinase (Sensory histidine kinase in two-compoent regulatory system with PhoP) (EC 2.7.1.-)	486		Y	
ACRB_ECOLI	C6EEJ2	B	Phosphate transporter (Phosphate transporter, low-affinity)	499		Y	
ACRB_ECOLI	C6EGW6	B	Binding-protein-dependent transport systems inner membrane component	285		Y	
ACRB_ECOLI	C6EGW7	B	Binding-protein-dependent transport systems inner membrane component (Spermidine/putrescine ABC transporter membrane protein)	264		Y	
ACRB_ECOLI	C6EI31	B	Mammalian cell entry related domain protein (Paraquat-inducible protein B)	546		Y	
ACRB_ECOLI	C6EJU7	B	Binding-protein-dependent transport systems inner membrane component (Glycine betaine transporter subunit)	354		Y	
ACRB_ECOLI	C6ELI2	B	Amino acid permease-associated region (Predicted cryptic proline transporter)	457		Y	
ACRB_ECOLI	C6EFS6	B	DNA-binding transcriptional activator (Phage shock protein C, PspC)	119		Y	
ACRB_ECOLI	C6EA31	B	Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)	563		Y	
ACRB_ECOLI	C6EC12	B	Mannose-specific enzyme IIC component of PTS (PTS system, mannose/fructose/sorbose family, IIC subunit)	266		Y	
ACRB_ECOLI	C6EC11	B	PTS system, mannose/fructose/sorbose family, IID subunit	283		Y	
ACRB_ECOLI	C6EJQ6	B	Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)	648		Y	
ACRB_ECOLI	C6EKS4	B	N-acetylmuramic acid phosphotransfer permease (Phosphotransferase system EIIC)	474		Y	
ACRB_ECOLI	C6EG89	B	Predicted inner membrane protein (Xanthine/uracil/vitamin C permease)	445		Y	
ACRB_ECOLI	C6EHJ1	B	Proline:sodium symporter (Sodium/proline symporter)	502		Y	
ACRB_ECOLI	C6EKX5	B	Band 7 protein (Predicted protease, membrane anchored)	305		Y	
ACRB_ECOLI	C6EHW7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with QseB) (EC 2.7.3.-)	449		Y	
ACRB_ECOLI	C6EJ66	B	Inner-membrane translocator (Ribose transport system permease protein rbsC)	327		Y	
ACRB_ECOLI	C6E9Y2	B	Histidine kinase	949		Y	
ACRB_ECOLI	C6EDG8	B	Lipid A-core, surface polymer ligase (O-antigen polymerase)	417		Y	
ACRB_ECOLI	C6EF64	B	Predicted recombination limiting protein (Putative uncharacterized protein)	475		Y	
ACRB_ECOLI	C6EK59	B	Cell cycle protein (Cell wall shape-determining protein)	370		Y	
ACRB_ECOLI	C6EDN9	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with RstA)	433		Y	
ACRB_ECOLI	C6EA21	B	Diguanylate phosphodiesterase (Putative uncharacterized protein rtn)	518		Y	
ACRB_ECOLI	C6EAG8	B	Putative uncharacterized protein (Putative uncharacterized protein sanA)	239		Y	
ACRB_ECOLI	C6EFT9	B	Binding-protein-dependent transport systems inner membrane component (Predicted antimicrobial peptide transporter subunit)	321		Y	
ACRB_ECOLI	C6ELL0	B	Predicted transporter (SbmABacA family protein)	406		Y	
ACRB_ECOLI	C6EJ75	B	Predicted serine transporter (Serine transporter)	429		Y	
ACRB_ECOLI	C6EFW5	B	Peptidase S49 domain protein (Predicted inner membrane peptidase)	349		Y	
ACRB_ECOLI	C6ECJ1	B	Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)	618		Y	
ACRB_ECOLI	C6EHQ5	B	Sodium:dicarboxylate symporter (Sodium:serine/threonine symporter)	414		Y	
ACRB_ECOLI	C6EK66	B	Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)	67		Y	
ACRB_ECOLI	C6EJJ8	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	421		Y	
ACRB_ECOLI	C6EJJ9	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolR)	142		Y	
ACRB_ECOLI	C6EDY0	B	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-) (4-HB polyprenyltransferase)	290		Y	
ACRB_ECOLI	C6EF61	B	Probable ubiquinone biosynthesis protein ubiB	546		Y	
ACRB_ECOLI	C6EHT8	B	Undecaprenol kinase (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	273		Y	
ACRB_ECOLI	C6EG28	B	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase (EC 2.4.1.-) (Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase)	367		Y	
ACRB_ECOLI	C6EG27	B	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	348		Y	
ACRB_ECOLI	C6EA36	B	Conserved inner membrane protein (Putative uncharacterized protein)	204		Y	
ACRB_ECOLI	C6EL42	B	Major facilitator superfamily MFS_1 (Predicted transporter)	454		Y	
ACRB_ECOLI	C6EKX3	B	Predicted inner membrane protein (Putative uncharacterized protein)	259		Y	
ACRB_ECOLI	C6EKW8	B	Predicted inner membrane protein (Putative uncharacterized protein)	804		Y	
ACRB_ECOLI	C6EKC4	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	415		Y	
ACRB_ECOLI	C6EIZ0	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	368		Y	
ACRB_ECOLI	C6EIY9	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	377		Y	
ACRB_ECOLI	C6EIQ8	B	Putative transport protein ybjL	561		Y	
ACRB_ECOLI	C6EIB2	B	Conserved protein with NAD(P)-binding Rossmann-fold domain (NAD-dependent epimerase/dehydratase)	476		Y	
ACRB_ECOLI	C6EI20	B	Conserved inner membrane protein (Putative uncharacterized protein)	148		Y	
ACRB_ECOLI	C6EI21	B	Putative uncharacterized protein	720		Y	
ACRB_ECOLI	C6EHB7	B	Aminodeoxychorismate lyase (Predicted aminodeoxychorismate lyase) (EC 2.7.4.9)	340		Y	
ACRB_ECOLI	C6EGR0	B	Sulfate transporter	550		Y	
ACRB_ECOLI	C6EFV5	B	Conserved inner membrane protein (Putative uncharacterized protein)	102		Y	
ACRB_ECOLI	C6EDK1	B	Secretion protein HlyD family protein (Undecaprenyl pyrophosphate phosphatase)	285		Y	
ACRB_ECOLI	C6ECR8	B	Predicted inner membrane protein (Putative uncharacterized protein)	370		Y	
ACRB_ECOLI	C6EC44	B	Diguanylate cyclase (Predicted diguanylate cyclase)	496		Y	
ACRB_ECOLI	C6EBZ5	B	Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	877		Y	
ACRB_ECOLI	C6EBA0	B	Heavy metal sensor signal transduction histidine kinase	452		Y	
ACRB_ECOLI	C6EB69	B	Amino acid permease-associated region (Predicted amino-acid transporter)	452		Y	
ACRB_ECOLI	C6EAP0	B	Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S) (Predicted diguanylate cyclase, GGDEF domain signalling protein)	1105		Y	
ACRB_ECOLI	C6EAP4	B	Fused predicted membrane protein/predicted membrane protein (Integral membrane protein TerC)	527		Y	
ACRB_ECOLI	C6EA23	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	237		Y	
ACRB_ECOLI	C6EA09	B	Predicted hydrolase, inner membrane (Sulfatase)	586		Y	
ACRB_ECOLI	C6ELD1	B	Major facilitator superfamily MFS_1 (Predicted transporter)	392		Y	
ACRB_ECOLI	C6EL75	B	Diguanylate cyclase/phosphodiesterase (Predicted diguanylate cyclase)	729		Y	
ACRB_ECOLI	C6EK28	B	HAD superfamily (Subfamily IF) hydrolase, YfhB	211		Y	
ACRB_ECOLI	C6EKF1	B	Histidine kinase (Predicted sensory kinase in two-component system)	475		Y	
ACRB_ECOLI	C6EJY0	B	Putative uncharacterized protein	420		Y	
ACRB_ECOLI	C6EJW5	B	FAD dependent oxidoreductase (Predicted enzyme)	422		Y	
ACRB_ECOLI	C6EJV7	B	Predicted inner membrane protein with hydrolase activity (Rhodanese domain protein)	174		Y	
ACRB_ECOLI	C6EGA5	B	Integral membrane protein, YccS/YhfK family	696		Y	
ACRB_ECOLI	C6EFA7	B	Putative receptor	119		Y	
ACRB_ECOLI	C6EEJ8	B	ABC transporter related (Fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein)	911		Y	
