Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED		GO Annotation			
ACRB_ECOLI	C6E9S4	B	NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain L)	613		Y		oxidation-reduction process	C6E9S4	oxidoreductase activity|quinone binding|NADH dehydrogenase (quinone) activity	GO:0050136|GO:0048038|GO:0016491
ACRB_ECOLI	C6EHJ1	B	Proline:sodium symporter (Sodium/proline symporter)	502		Y		proline transport|amino acid transport|transport|sodium ion transport|ion transport	C6EHJ1	symporter activity|uniporter activity	GO:0015292|GO:0015293
ACRB_ECOLI	C6ED60	B	Predicted permease (Xanthine/uracil/vitamin C permease)	449		Y		transport	C6ED60	nucleotide binding|ATP binding	GO:0005524|GO:0000166
ACRB_ECOLI	C6EFA5	B	Heavy metal translocating P-type ATPase	732	Y	Y		response to cadmium ion|detoxification of zinc ion	C6EFA5	hydrolase activity|zinc-exporting ATPase activity|cadmium-exporting ATPase activity|nucleotide binding|metal ion binding|ATP binding	GO:0046872|GO:0008551|GO:0005524|GO:0016787|GO:0016463|GO:0000166
IHFA_ECOLI	C6ECP5	A	Integration host factor subunit alpha (IHF-alpha)	99	Y			transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation	C6ECP5	DNA binding	GO:0003677
ACRB_ECOLI	C6EAW8	B	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	360		Y		regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization	C6EAW8	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity|transferase activity|phospho-N-acetylmuramoyl-pentapeptide-transferase activity	GO:0051992|GO:0016740|GO:0008963
ACRB_ECOLI	C6EKY6	B	Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	558	Y	Y		transport|ion transport	C6EKY6	antiporter activity	GO:0015297
RS3_ECOLI	C6EGF2	A	30S ribosomal protein S3	233	Y	Y		translation	C6EGF2	structural constituent of ribosome|SSU rRNA binding|RNA binding|rRNA binding	GO:0003723|GO:0070181|GO:0003735|GO:0019843
DEAD_ECOLI	C6EH63	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	629	Y			ribosomal large subunit assembly|cellular response to cold|response to stress	C6EH63	hydrolase activity|RNA helicase activity|RNA binding|helicase activity|nucleotide binding|ATP-dependent RNA helicase activity|ATP binding	GO:0003723|GO:0016787|GO:0004004|GO:0005524|GO:0000166|GO:0003724|GO:0004386
NUOI_ECOLI	C6E9S1	F1	NADH-quinone oxidoreductase subunit I (EC 1.6.99.5) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	180	Y	Y		oxidation-reduction process|aerobic respiration|anaerobic respiration	C6E9S1	4 iron, 4 sulfur cluster binding|oxidoreduction-driven active transmembrane transporter activity|oxidoreductase activity|quinone binding|iron-sulfur cluster binding|NADH dehydrogenase (quinone) activity|metal ion binding	GO:0050136|GO:0046872|GO:0015453|GO:0051539|GO:0048038|GO:0051536|GO:0016491
SRP54_ECOLI	C6EJY2	F1	Signal Recognition Particle (SRP) component with 4.5S RNA (Ffs) (Signal recognition particle protein)	453	Y	Y		protein targeting to membrane	C6EJY2	RNA binding|GTP binding|GTPase activity|nucleotide binding	GO:0003723|GO:0000166|GO:0005525|GO:0003924
RS9_ECOLI	C6EH02	A	30S ribosomal protein S9	130	Y	Y		translation	C6EH02	structural constituent of ribosome|RNA binding|tRNA binding	GO:0003723|GO:0003735|GO:0000049
CYSA_ECOLI	C6EL55	F1	Sulfate ABC transporter, ATPase subunit (Sulfate/thiosulfate transporter subunit)	365	Y	Y		sulfate transport|transport	C6EL55	hydrolase activity|sulfate transmembrane-transporting ATPase activity|nucleotide binding|ATP binding	GO:0016787|GO:0005524|GO:0000166|GO:0015419
ACRB_ECOLI	C6EAA9	B	Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	450	Y	Y		metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding	C6EAA9	metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding	GO:0046872|GO:0008237|GO:0008233|GO:0016787
RL10_ECOLI	C6EE34	A	50S ribosomal protein L10	165	Y	Y		regulation of translation	C6EE34	RNA binding	GO:0003723
RHLB_ECOLI	C6EG33	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	421	Y	Y		hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding	C6EG33	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding	GO:0003723|GO:0016787|GO:0005524|GO:0000166|GO:0004386
ACRB_ECOLI	C6EEJ8	B	ABC transporter related (Fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein)	911		Y		transport	C6EEJ8	nucleotide binding|ATP binding	GO:0005524|GO:0000166
ACRB_ECOLI	C6EKY0	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	834		Y		copper ion transport|transport|response to acidity|ion transport	C6EKY0	hydrolase activity|glutaminase activity|nucleotide binding|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|metal ion binding|ATP binding	GO:0046872|GO:0016787|GO:0005524|GO:0016820|GO:0000166|GO:0004359
ACRB_ECOLI	C6EA67	B	Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	814	Y	Y		oxidation-reduction process|fatty acid metabolic process|lipid metabolic process	C6EA67	oxidoreductase activity	GO:0016491
ACRB_ECOLI	C6EHQ5	B	Sodium:dicarboxylate symporter (Sodium:serine/threonine symporter)	414		Y		amino acid transport|transport|serine transport	C6EHQ5	neutral amino acid:sodium symporter activity|symporter activity	GO:0005295|GO:0015293
ACRB_ECOLI	C6EG56	B	Potassium transporter (Potassium uptake protein)	622		Y		transport|potassium ion transport|ion transport	C6EG56	symporter activity	GO:0015293
NUOB_ECOLI	C6E9R5	F1	NADH-quinone oxidoreductase subunit B (EC 1.6.99.5) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	220	Y			oxidation-reduction process|electron transport coupled proton transport|transport|anaerobic respiration|aerobic respiration	C6E9R5	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|quinone binding|oxidoreductase activity|oxidoreduction-driven active transmembrane transporter activity|NADH dehydrogenase (quinone) activity|NADH dehydrogenase (ubiquinone) activity|metal ion binding	GO:0050136|GO:0015453|GO:0046872|GO:0051539|GO:0048038|GO:0008137|GO:0051536|GO:0016491
PARC_ECOLI	C6EHX4	F1	DNA topoisomerase IV subunit A (EC 5.99.1.-) (DNA topoisomerase IV, A subunit) (EC 5.99.1.3)	752	Y			DNA topological change|sister chromatid cohesion|chromosome segregation|plasmid partitioning|DNA-dependent DNA replication	C6EHX4	isomerase activity|DNA topoisomerase activity|DNA binding	GO:0003677|GO:0016853|GO:0003916
ACRB_ECOLI	C6EFW5	B	Peptidase S49 domain protein (Predicted inner membrane peptidase)	349		Y		hydrolase activity|serine-type peptidase activity|peptidase activity	C6EFW5	hydrolase activity|serine-type peptidase activity|peptidase activity	GO:0016787|GO:0008233|GO:0008236
ACRB_ECOLI	C6EK58	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	633		Y		regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization|metabolic process	C6EK58	drug binding|serine-type D-Ala-D-Ala carboxypeptidase activity|carboxypeptidase activity|penicillin binding|catalytic activity	GO:0004180|GO:0008144|GO:0009002|GO:0003824|GO:0008658
ATPA_ECOLI	C6EG69	F1	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	513	Y	Y		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	C6EG69	hydrolase activity|nucleotide binding|ATP binding	GO:0016787|GO:0005524|GO:0000166
ACRB_ECOLI	C6EL14	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	593		Y		transport	C6EL14	hydrolase activity|xenobiotic-transporting ATPase activity|nucleotide binding|ATP binding	GO:0016787|GO:0005524|GO:0000166|GO:0008559
SECA_ECOLI	C6EAV7	F1	Protein translocase subunit secA	901	Y	Y		transport|protein transport|transmembrane transport	C6EAV7	nucleotide binding|metal ion binding|ATP binding	GO:0046872|GO:0005524|GO:0000166
HNS_ECOLI	C6EGN0	A	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	137	Y			regulation of transcription, DNA-dependent|transcription, DNA-dependent	C6EGN0	DNA binding	GO:0003677
CLPB_ECOLI	C6EJZ8	A	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	857	Y			response to stress	C6EJZ8	nucleotide binding|ATP binding	GO:0005524|GO:0000166
RS7_ECOLI	C6EGC3	A	30S ribosomal protein S7	156	Y			negative regulation of translation|ribosomal small subunit assembly|translation	C6EGC3	mRNA binding|RNA binding|tRNA binding|rRNA binding	GO:0003729|GO:0003723|GO:0000049|GO:0019843
IHFB_ECOLI	C6EI70	A	Integration host factor subunit beta (IHF-beta)	94	Y			transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation	C6EI70	DNA binding	GO:0003677
ACRB_ECOLI	C6EJ32	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	719		Y		fatty acid metabolic process|metabolic process|phospholipid biosynthetic process	C6EJ32	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity|transferase activity|catalytic activity|nucleotide binding|ligase activity|acyltransferase activity|ATP binding|long-chain fatty acid [acyl-carrier-protein] ligase activity	GO:0008415|GO:0008922|GO:0008779|GO:0005524|GO:0000166|GO:0003824|GO:0016740|GO:0016874
ACRB_ECOLI	C6EAM7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with BaeR) (EC 2.7.3.-)	467		Y		two-component signal transduction system (phosphorelay)|phosphorylation	C6EAM7	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding	GO:0005524|GO:0000166|GO:0016301|GO:0016740|GO:0004673
RL25_ECOLI	C6EA12	A	50S ribosomal protein L25	94	Y			RNA binding|rRNA binding	C6EA12	RNA binding|rRNA binding	GO:0003723|GO:0019843
RL24_ECOLI	C6EGF7	A	50S ribosomal protein L24	104	Y			structural constituent of ribosome|RNA binding|rRNA binding	C6EGF7	structural constituent of ribosome|RNA binding|rRNA binding	GO:0003723|GO:0003735|GO:0019843
ACRB_ECOLI	C6EDP6	B	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	462	Y	Y		oxidation-reduction process	C6EDP6	NAD(P)+ transhydrogenase (AB-specific) activity|oxidoreductase activity	GO:0016491|GO:0008750
DLDH_ECOLI	C6EAU1	F1	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	474	Y	Y		oxidation-reduction process|pyruvate metabolic process|glycine decarboxylation via glycine cleavage system|glycolysis|tricarboxylic acid cycle|2-oxoglutarate metabolic process	C6EAU1	dihydrolipoyl dehydrogenase activity|disulfide oxidoreductase activity|oxidoreductase activity|flavin adenine dinucleotide binding|zinc ion binding	GO:0015036|GO:0004148|GO:0050660|GO:0008270|GO:0016491
ACRB_ECOLI	C6EA31	B	Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)	563		Y		carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	C6EA31	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity	GO:0016301|GO:0016740|GO:0008982
ACRB_ECOLI	C6EIG8	B	Sugar transporter	464		Y		carbohydrate transport|galactose transport|transport	C6EIG8	galactose:hydrogen symporter activity|symporter activity	GO:0015293|GO:0015517
MDH_ECOLI	C6EGZ6	F1	Malate dehydrogenase (EC 1.1.1.37)	312	Y			oxidation-reduction process|glycolysis|malate metabolic process|tricarboxylic acid cycle|fermentation|anaerobic respiration	C6EGZ6	L-malate dehydrogenase activity|oxidoreductase activity|malate dehydrogenase activity	GO:0016615|GO:0030060|GO:0016491
SYM_ECOLI	C6EAJ7	A	Methionyl-tRNA synthetase	677	Y			translation	C6EAJ7	methionine-tRNA ligase activity|tRNA binding|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding	GO:0003723|GO:0005524|GO:0004825|GO:0000049|GO:0016874|GO:0046872|GO:0000166|GO:0004812
ACRB_ECOLI	C6ECA8	B	Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component (PTS system, trehalose-specific IIBC subunit)	473	Y	Y		carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	C6ECA8	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity	GO:0016301|GO:0016740|GO:0008982
DADA_ECOLI	C6EGS8	F1	D-amino acid dehydrogenase small subunit (EC 1.4.99.1) (D-amino-acid dehydrogenase) (EC 1.4.99.1)	432	Y	Y		oxidation-reduction process	C6EGS8	oxidoreductase activity|D-amino-acid dehydrogenase activity	GO:0008718|GO:0016491
KAD_ECOLI	C6EKZ0	A	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	214	Y			purine ribonucleotide interconversion|purine ribonucleotide biosynthetic process|nucleotide biosynthetic process|phosphorylation	C6EKZ0	magnesium ion binding|transferase activity|nucleotide binding|kinase activity|ATP binding|adenylate kinase activity|AMP binding	GO:0000287|GO:0005524|GO:0000166|GO:0016208|GO:0016301|GO:0016740|GO:0004017
ACRB_ECOLI	C6EG28	B	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase (EC 2.4.1.-) (Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase)	367		Y		cell wall macromolecule biosynthetic process|lipopolysaccharide biosynthetic process|cellular cell wall organization	C6EG28	drug binding|phosphotransferase activity, for other substituted phosphate groups|manganese ion binding|transferase activity, transferring glycosyl groups|magnesium ion binding|transferase activity|phospho-N-acetylmuramoyl-pentapeptide-transferase activity	GO:0000287|GO:0016757|GO:0008144|GO:0016780|GO:0016740|GO:0030145|GO:0008963
ACRB_ECOLI	C6EHF9	B	Lipid A biosynthesis lauroyl (Or palmitoleoyl) acyltransferase (Lipid A biosynthesis lauroyl acyltransferase) (EC 2.3.1.-)	306	Y	Y		lipid A biosynthetic process|lipopolysaccharide biosynthetic process|response to stress	C6EHF9	transferase activity|acyltransferase activity	GO:0008415|GO:0016740
ADD_ECOLI	C6EDM4	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	333	Y			purine nucleotide salvage|purine ribonucleoside monophosphate biosynthetic process|hypoxanthine salvage|purine nucleotide interconversion|adenosine catabolic process|nucleotide metabolic process	C6EDM4	hydrolase activity|adenosine deaminase activity|metal ion binding	GO:0046872|GO:0016787|GO:0004000
DHSB_ECOLI	C6EJL3	F1	Succinate dehydrogenase and fumarate reductase iron-sulfur protein (EC 1.3.99.1) (Succinate dehydrogenase, FeS subunit) (EC 1.3.99.1)	238	Y	Y		oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain|aerobic respiration	C6EJL3	electron carrier activity|4 iron, 4 sulfur cluster binding|3 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|succinate dehydrogenase activity|metal ion binding	GO:0009055|GO:0051537|GO:0051536|GO:0000104|GO:0046872|GO:0051539|GO:0016491|GO:0051538
RL23_ECOLI	C6EGE8	A	50S ribosomal protein L23	100	Y			RNA binding|rRNA binding	C6EGE8	RNA binding|rRNA binding	GO:0003723|GO:0019843
RS5_ECOLI	C6EGG3	A	30S ribosomal protein S5	167	Y	Y		response to antibiotic|translation	C6EGG3	RNA binding|rRNA binding	GO:0003723|GO:0019843
CARB_ECOLI	C6EB19	A	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1073	Y			cellular amino acid biosynthetic process|arginine biosynthetic process|pyrimidine nucleotide biosynthetic process	C6EB19	nucleotide binding|carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|metal ion binding|ATP binding|ligase activity	GO:0046872|GO:0005524|GO:0000166|GO:0004088|GO:0016874
ACRB_ECOLI	C6EG12	B	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	401	Y	Y		porphyrin biosynthetic process|methylation	C6EG12	methyltransferase activity|uroporphyrin-III C-methyltransferase activity|transferase activity	GO:0008168|GO:0016740|GO:0004851
GCSP_ECOLI	C6EIK5	A	Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase)	957	Y			oxidation-reduction process	C6EIK5	glycine dehydrogenase (decarboxylating) activity|oxidoreductase activity	GO:0016491|GO:0004375
PPIB_ECOLI	C6EKU1	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	164	Y			protein folding	C6EKU1	isomerase activity|peptidyl-prolyl cis-trans isomerase activity	GO:0003755|GO:0016853
ACRB_ECOLI	C6EL34	B	Cytochrome o ubiquinol oxidase subunit II (EC 1.10.3.-) (Ubiquinol oxidase, subunit II)	315	Y	Y		oxidation-reduction process|transport|aerobic electron transport chain|electron transport chain	C6EL34	hydrogen ion transmembrane transporter activity|electron carrier activity|oxidoreductase activity|oxidoreduction-driven active transmembrane transporter activity|ubiquinone binding	GO:0009055|GO:0015453|GO:0015078|GO:0048039|GO:0016491
OPDA_ECOLI	C6EEI7	A	Oligopeptidase A (EC 3.4.24.70)	680	Y			metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding	C6EEI7	metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding	GO:0046872|GO:0008237|GO:0008233|GO:0016787
CH10_ECOLI	C6ECY3	A	10 kDa chaperonin (Protein Cpn10) (groES protein)	97	Y			response to heat|phage assembly|cell cycle|cell division	C6ECY3	unfolded protein binding	GO:0051082
NUOG_ECOLI	C6E9R9	F1	NADH-quinone oxidoreductase (EC 1.6.99.5)	908	Y	Y		oxidation-reduction process|aerobic respiration|anaerobic respiration	C6E9R9	4 iron, 4 sulfur cluster binding|oxidoreduction-driven active transmembrane transporter activity|oxidoreductase activity|quinone binding|iron-sulfur cluster binding|NADH dehydrogenase (quinone) activity|2 iron, 2 sulfur cluster binding|metal ion binding	GO:0050136|GO:0051537|GO:0015453|GO:0046872|GO:0051539|GO:0048038|GO:0051536|GO:0016491
ACRB_ECOLI	C6EL35	B	Cytochrome o ubiquinol oxidase subunit I (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit I) (EC 1.9.3.1)	663	Y	Y		oxidation-reduction process|electron transport coupled proton transport|transport|aerobic electron transport chain|proton transport|electron transport chain|ion transport	C6EL35	hydrogen ion transmembrane transporter activity|electron carrier activity|ubiquinone binding|cytochrome bo3 ubiquinol oxidase activity|copper ion binding|heme binding|oxidoreduction-driven active transmembrane transporter activity|oxidoreductase activity|metal ion binding	GO:0009055|GO:0020037|GO:0048039|GO:0015453|GO:0046872|GO:0005507|GO:0009486|GO:0015078|GO:0016491
ACRB_ECOLI	C6EBA0	B	Heavy metal sensor signal transduction histidine kinase	452		Y		two-component signal transduction system (phosphorelay)|phosphorylation	C6EBA0	transferase activity|protein kinase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding	GO:0005524|GO:0000166|GO:0004672|GO:0016301|GO:0016740|GO:0004673
TIG_ECOLI	C6EL29	A	Trigger factor (TF)	432	Y			protein folding|protein complex assembly|cell cycle|cell division|'de novo' cotranslational protein folding	C6EL29	isomerase activity|protein binding involved in protein folding|peptidyl-prolyl cis-trans isomerase activity|ribosome binding	GO:0043022|GO:0003755|GO:0016853|GO:0044183
ILVD_ECOLI	C6EG40	A	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	616	Y			cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process	C6EG40	4 iron, 4 sulfur cluster binding|lyase activity|iron-sulfur cluster binding|dihydroxy-acid dehydratase activity|metal ion binding	GO:0046872|GO:0004160|GO:0016829|GO:0051539|GO:0051536
RS2_ECOLI	C6EAB6	A	30S ribosomal protein S2	241	Y	Y		translation	C6EAB6	structural constituent of ribosome|zinc ion binding	GO:0008270|GO:0003735
ACRB_ECOLI	C6EA23	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	237		Y		transport|Gram-negative-bacterium-type cell outer membrane assembly	C6EA23	undecaprenyl-diphosphatase activity|phosphotransferase activity, phosphate group as acceptor	GO:0050380|GO:0016776
ACRB_ECOLI	C6EJY0	B	Putative uncharacterized protein	420		Y		carbohydrate catabolic process|non-phosphorylated glucose catabolic process	C6EJY0	quinoprotein glucose dehydrogenase activity|pyrroloquinoline quinone binding|ubiquinone binding|magnesium ion binding	GO:0000287|GO:0008876|GO:0070968|GO:0048039
HEMH_ECOLI	C6EKY9	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	320		Y		protoporphyrinogen IX metabolic process|heme biosynthetic process|response to light stimulus|porphyrin biosynthetic process	C6EKY9	lyase activity|ferrochelatase activity|metal ion binding	GO:0046872|GO:0016829|GO:0004325
RS6_ECOLI	C6ECE9	A	30S ribosomal protein S6	131	Y			translation	C6ECE9	structural constituent of ribosome|RNA binding|rRNA binding	GO:0003723|GO:0003735|GO:0019843
RFAF_ECOLI	C6EDH0	A	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	348	Y			lipopolysaccharide biosynthetic process	C6EDH0	transferase activity, transferring glycosyl groups|transferase activity	GO:0016757|GO:0016740
LOLD_ECOLI	C6EGX5	F1	Lipoprotein releasing system, ATP-binding protein (Outer membrane-specific lipoprotein transporter subunit)	233	Y	Y		transport|lipoprotein transport	C6EGX5	hydrolase activity|lipoprotein transporter activity|nucleotide binding|ATP binding	GO:0016787|GO:0042954|GO:0005524|GO:0000166
RS11_ECOLI	C6EGG9	A	30S ribosomal protein S11	129		Y		translation	C6EGG9	structural constituent of ribosome|SSU rRNA binding|RNA binding|rRNA binding	GO:0003723|GO:0070181|GO:0003735|GO:0019843
PCNB_ECOLI	C6EAE1	A	Poly(A) polymerase (EC 2.7.7.19)	472	Y			plasmid maintenance|mRNA processing|mRNA polyadenylation|transcription, DNA-dependent|RNA modification	C6EAE1	polynucleotide adenylyltransferase activity|RNA binding|transferase activity|nucleotide binding|ATP binding	GO:0003723|GO:0004652|GO:0005524|GO:0000166|GO:0016740
ACRB_ECOLI	C6EGW2	B	Histidine kinase (Sensory histidine kinase in two-compoent regulatory system with PhoP) (EC 2.7.1.-)	486		Y		two-component signal transduction system (phosphorelay)|phosphorylation	C6EGW2	protein histidine kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding	GO:0046872|GO:0005524|GO:0016301|GO:0000166|GO:0016740|GO:0004673
BETA_ECOLI	C6ELS0	F1	Choline dehydrogenase (EC 1.1.99.1)	556	Y			oxidation-reduction process|glycine betaine biosynthetic process from choline|response to osmotic stress|response to stress	C6ELS0	oxidoreductase activity|choline dehydrogenase activity	GO:0008812|GO:0016491
ACRB_ECOLI	C6EJW5	B	FAD dependent oxidoreductase (Predicted enzyme)	422		Y		oxidation-reduction process	C6EJW5	L-2-hydroxyglutarate oxidase activity|(S)-2-hydroxy-acid oxidase activity|oxidoreductase activity|flavin adenine dinucleotide binding	GO:0003973|GO:0034419|GO:0050660|GO:0016491
ACRB_ECOLI	C6EJN7	B	Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	682		Y		transport|potassium ion transport|protein autophosphorylation|ion transport|detection of chemical stimulus|osmosensory signaling pathway via two-component system	C6EJN7	hydrolase activity|two-component sensor activity|potassium-transporting ATPase activity|aspartate kinase activity|nucleotide binding|metal ion binding|ATP binding	GO:0000155|GO:0046872|GO:0004072|GO:0005524|GO:0016787|GO:0000166|GO:0008556
GLGA_ECOLI	C6EFE5	A	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	477	Y			glycogen biosynthetic process	C6EFE5	transferase activity, transferring glycosyl groups|starch synthase activity|transferase activity	GO:0016757|GO:0009011|GO:0016740
RS12_ECOLI	C6EGC2	A	30S ribosomal protein S12	124	Y	Y		RNA folding|response to antibiotic|Group I intron splicing|positive regulation of RNA splicing|translation	C6EGC2	structural constituent of ribosome|RNA binding|tRNA binding|rRNA binding|misfolded RNA binding	GO:0034336|GO:0003723|GO:0000049|GO:0003735|GO:0019843
RL22_ECOLI	C6EGF1	A	50S ribosomal protein L22	110	Y			response to antibiotic	C6EGF1	RNA binding|rRNA binding	GO:0003723|GO:0019843
PFLB_ECOLI	C6EK07	A	Autonomous glycyl radical cofactor	127	Y			glucose metabolic process|carbohydrate metabolic process	C6EK07	formate C-acetyltransferase activity|transferase activity|acyltransferase activity	GO:0008415|GO:0008861|GO:0016740
EFTU2_ECOLI	C6EE39	F1	Elongation factor Tu	394	Y	Y		translational elongation|response to antibiotic|translation	C6EE39	GTP binding|translation elongation factor activity|nucleotide binding	GO:0000166|GO:0003746|GO:0005525
RL20_ECOLI	C6ECP1	A	50S ribosomal protein L20	118	Y	Y		ribosomal large subunit assembly	C6ECP1	structural constituent of ribosome|RNA binding|rRNA binding|translation repressor activity, nucleic acid binding	GO:0000900|GO:0003723|GO:0003735|GO:0019843
ACRB_ECOLI	C6EG89	B	Predicted inner membrane protein (Xanthine/uracil/vitamin C permease)	445		Y		transport|adenine transport	C6EG89	solute:hydrogen symporter activity|adenine transmembrane transporter activity	GO:0015207|GO:0015295
RS8_ECOLI	C6EGG0	A	30S ribosomal protein S8	130	Y			translation|regulation of translation|regulation of mRNA stability	C6EGG0	RNA binding|translation repressor activity|rRNA binding	GO:0003723|GO:0030371|GO:0019843
RL15_ECOLI	C6EGG5	A	50S ribosomal protein L15	144	Y	Y		RNA binding|rRNA binding	C6EGG5	RNA binding|rRNA binding	GO:0003723|GO:0019843
TPIS_ECOLI	C6EEX9	A	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	255	Y			pentose-phosphate shunt|gluconeogenesis|glycolysis	C6EEX9	isomerase activity|triose-phosphate isomerase activity	GO:0016853|GO:0004807
DAPD_ECOLI	C6EAB9	A	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)	274	Y			cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process	C6EAB9	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity|transferase activity|acyltransferase activity	GO:0008415|GO:0008666|GO:0016740
ACRB_ECOLI	C6EL15	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	590		Y		transport	C6EL15	hydrolase activity|xenobiotic-transporting ATPase activity|nucleotide binding|ATP binding	GO:0016787|GO:0005524|GO:0000166|GO:0008559
