Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	Unique Peptides 301	Unique Spectra 301	Total #spectra 301	Unique Peptides 303	Unique Spectra 303	Total #spectra 303	Unique Peptides 11	Unique Spectra 11	Total #spectra 11	Unique Peptides 12	Unique Spectra 12	Total #spectra 12	Unique Peptides 13	Unique Spectra 13	Total #spectra 13	Unique Peptides MS6_11	Unique Spectra MS6_11	Total #spectra MS6_11	Unique Peptides MS6_12	Unique Spectra MS6_12	Total #spectra MS6_12	Unique Peptides MS6_13	Unique Spectra MS6_13	Total #spectra  MS6_13		Unique Peptides MS5_11	Unique Spectra MS5_11	Total #spectra MS5_11	Unique Peptides MS5_12	Unique Spectra MS5_12	Total #spectra MS5_12	Unique Peptides MS5_13	Unique Spectra MS5_13	Total #spectra  MS5_13	
SYY_ECOLI	C6EDK8	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424																										1	1	1	2	2	4	1	1	2	
CLPB_ECOLI	C6EJZ8	A	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	857																										3	3	4	4	4	10	4	4	6	
GLMS_ECOLI	C6EG74	A	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	609																										2	2	4	1	1	2	1	1	5	
ILVD_ECOLI	C6EG40	A	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	616																										1	1	2	2	2	6	2	2	6	
ACEA_ECOLI	C6EE08	A	Isocitrate lyase	434																										1	1	1	2	2	2	2	2	2	
YGAU_ECOLI	C6EJW0	A	Peptidoglycan-binding LysM (Putative uncharacterized protein ygaU)	149																										2	2	4	2	2	4	2	2	4	
6PGD_ECOLI	C6EB56	A	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	468																										3	3	5	3	3	4	2	2	3	
RL32_ECOLI	C6EHC5	A	50S ribosomal protein L32	57																										3	5	8	3	4	11	3	5	8	
DPO1_ECOLI	C6EF39	A	DNA polymerase I (EC 2.7.7.7)	928																													1	1	2	1	1	2	
GCSP_ECOLI	C6EIK5	A	Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase)	957																										2	3	3	2	3	4	3	4	7	
FIS_ECOLI	C6EGJ9	A	DNA-binding protein Fis (Transcriptional regulator, Fis family)	98																										1	1	1	2	2	2	2	2	2	
GUAA_ECOLI	C6EKK2	A	Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)	525																													2	2	2	2	2	2	
KPRS_ECOLI	C6EGQ9	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	337																										1	1	2	2	2	3	2	2	3	
RS8_ECOLI	C6EGG0	A	30S ribosomal protein S8	130																										1	1	4	1	1	5	1	1	4	
TPX_ECOLI	C6EFQ8	A	Redoxin domain protein (Thiol peroxidase) (EC 1.11.1.-)	168																										2	2	3	1	1	1	2	2	3	
ASSY_ECOLI	C6EH54	A	Argininosuccinate synthase (EC 6.3.4.5)	447																													1	1	1	1	1	2	
STPA_ECOLI	C6EJV6	A	DNA binding protein, nucleoid-associated (Histone family protein nucleoid-structuring protein H-NS)	134																										1	1	2	2	2	3	1	1	2	
RL29_ECOLI	C6EGF4	A	50S ribosomal protein L29	63																													1	1	1	2	3	5	
NUSG_ECOLI	C6EE37	A	Transcription antitermination protein nusG	181																										1	1	2	2	2	3	1	1	2	
DBHA_ECOLI	C6EL23	A	HU, DNA-binding transcriptional regulator, beta subunit (Histone family protein DNA-binding protein)	90																										2	2	3	2	3	5	2	2	5	
RL23_ECOLI	C6EGE8	A	50S ribosomal protein L23	100																										2	2	3	1	1	3	1	1	3	
AMPA_ECOLI	C6EC91	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503																										1	1	1	2	2	3	1	1	2	
GYRB_ECOLI	C6ECI0	A	DNA gyrase subunit B (EC 5.99.1.3)	804																										1	1	1	2	2	3	1	1	2	
YIGA_ECOLI	C6EG04	A	Putative uncharacterized protein (Putative uncharacterized protein yigA)	235																																1	1	1	
FETP_ECOLI	C6EIE8	A	Probable Fe(2+)-trafficking protein	91																																1	1	1	
GLNA_ECOLI	C6EF31	A	Glutamine synthetase (EC 6.3.1.2)	469																																2	2	2	
HINT_ECOLI	C6EGY9	A	Histidine triad (HIT) protein (Purine nucleoside phosphoramidase)	119																																3	3	3	
CAPP_ECOLI	C6EE53	A	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	883																																3	3	5	
YHIQ_ECOLI	C6EEI8	A	UPF0341 protein yhiQ	250																																1	1	1	
FUR_ECOLI	C6EJQ1	A	Ferric uptake regulator (Ferric uptake regulator, Fur family)	148																																1	1	1	
MAO2_ECOLI	C6EKP9	A	Malate dehydrogenase (Oxaloacetate-decarboxylating) (NADP(+)), Phosphate acetyltransferase (EC 1.1.1.40) (EC 2.3.1.8) (Malic enzyme)	759																																1	1	1	
RSME_ECOLI	C6EIG5	A	Putative uncharacterized protein	243																																2	2	3	
LIPA_ECOLI	C6EK65	A	Lipoic acid synthetase (EC 2.8.1.8) (Lipoyl synthase)	321																																2	2	5	
YHBJ_ECOLI	C6EH22	A	UPF0042 nucleotide-binding protein yhbJ	284																																1	1	2	
KATG_ECOLI	C6EE66	A	Catalase-peroxidase (CP) (EC 1.11.1.6) (EC 1.11.1.7) (Peroxidase/catalase)	726																																1	1	1	
ICLR_ECOLI	C6EE06	A	DNA-binding transcriptional repressor (Transcriptional regulator, IclR family)	274																																2	2	2	
PTHP_ECOLI	C6EL62	A	Phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr) (EC 2.7.1.69) (Phosphotransferase system, phosphocarrier protein HPr)	85																																1	1	2	
SYS_ECOLI	C6EI89	A	Seryl-tRNA synthetase (EC 6.1.1.11) (Serine--tRNA ligase) (Seryl-tRNA(Ser/Sec) synthetase)	430																																1	1	1	
YAEP_ECOLI	C6EA95	A	UPF0253 protein yaeP	66																																1	1	1	
ARNB_ECOLI	C6EB46	A	DegT/DnrJ/EryC1/StrS aminotransferase (VioA, involved in dTDP-N-acetylviosamine synthesis)	370																																1	1	1	
MENB_ECOLI	C6E9T7	A	Naphthoate synthase	285																																1	1	1	
YAIL_ECOLI	C6ELM6	A	Nucleoprotein/polynucleotide-associated enzyme (Putative uncharacterized protein)	179																																1	1	2	
NDPA_ECOLI	C6EA11	A	Nucleoid-associated protein YejK	335																																1	1	4	
RISB_ECOLI	C6ELG9	A	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (Lumazine synthase) (EC 2.5.1.9) (Riboflavin synthase beta chain)	156																																2	2	2	
ERPA_ECOLI	C6EAC8	A	Iron-sulfur cluster assembly accessory protein (Putative uncharacterized protein yadR)	114																																1	1	1	
YBAB_ECOLI	C6EKZ3	A	UPF0133 protein ybaB	109																																1	1	2	
BCP_ECOLI	C6EKN1	A	Peroxiredoxin (EC 1.11.1.15) (Thioredoxin-dependent thiol peroxidase) (EC 1.11.1.-) (EC 1.11.1.7)	156																																1	2	3	
RRF_ECOLI	C6EAB3	A	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	185																																2	2	8	
ASTC_ECOLI	C6ECL0	A	Acetylornithine and succinylornithine aminotransferase (EC 2.6.1.81) (Succinylornithine transaminase, PLP-dependent) (EC 2.6.1.-)	406																																1	1	2	
Null	C6EB49	A	Putative glycosyltransferase WbbB (Putative uncharacterized protein)	273	2	2	2							1	1	1	2	2	2																				
RFAP_ECOLI	C6EDG1	A	Lipopolysaccharide kinase	265	2	2	2	3	3	4				1	1	1	2	2	3																				
Null	C6EB48	A	Putative glycosyltransferase WbbA (Putative uncharacterized protein)	248	2	2	3				1	1	1																										
RELA_ECOLI	C6EJ88	A	(P)ppGpp synthetase I, SpoT/RelA (EC 2.7.6.5) ((P)ppGpp synthetase I/GTP pyrophosphokinase) (EC 2.7.6.5)	744													1	1	1																				
CRP_ECOLI	C6EGA6	A	DNA-binding transcriptional dual regulator (Transcriptional regulator, Crp/Fnr family)	210				2	2	2																													
RLMN_ECOLI	C6EKJ2	A	Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-) (23S rRNA m2A2503 methyltransferase)	384				1	1	1																													
RADA_ECOLI	C6EBI2	A	DNA repair protein radA	460	3	3	3																																
YICH_ECOLI	C6EDD4	B	AsmA family protein (Putative uncharacterized protein yicH)	569	16	20	37	18	22	46	14	16	17	13	14	16	17	19	22	13	14	21	8	9	18	13	15	24								2	2	3	
ATPF_ECOLI	C6EG67	B	ATP synthase subunit b	156	21	33	93	24	37	106	21	30	67	19	24	77	18	24	50	25	35	85	25	35	77	28	38	93		15	18	39	15	18	41	14	16	40	
PTGCB_ECOLI	C6EGZ1	B	Fused glucose-specific PTS enzymes: IIB component/IIC component (EC 2.7.1.69) (PTS system, glucose-specific IIBC subunit) (EC 2.7.1.69)	477	9	13	38	11	14	41	9	11	12	8	10	12	9	12	13	7	8	17	6	7	15	9	10	18		3	3	5	4	4	6	4	4	5	
ACRB_ECOLI	C6EL02	B	Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1049	31	36	79	28	35	78	29	30	36	22	23	29	29	30	40	23	25	46	21	23	44	26	29	55		1	1	1	3	4	6	3	3	7	
PBPA_ECOLI	C6EFI0	B	Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	850	20	24	35	24	29	47	22	26	26	18	19	19	22	24	24	14	16	22	12	13	18	15	18	27		1	1	2	2	2	5	4	4	5	
PBPB_ECOLI	C6EAD5	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	841	20	22	43	25	26	49	21	22	24	15	15	16	23	25	30	15	15	24	17	17	24	17	18	27								1	1	1	
ATMA_ECOLI	C6ECA6	B	Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	898	13	16	26	13	16	28	15	17	18	11	14	16	12	14	15	11	12	18	9	11	19	11	13	20		3	3	10	3	3	4	3	3	4	
YBHG_ECOLI	C6EIY7	B	Secretion protein HlyD family protein	331	7	9	14	11	12	20	11	11	12	9	10	10	10	11	12	8	10	11	5	6	8	8	9	10					1	1	1	1	1	1	
YHII_ECOLI	C6EEJ7	B	Predicted HlyD family secretion protein (Secretion protein HlyD family protein)	355	12	14	19	11	12	18	7	8	8	9	9	9	10	11	11	8	9	12	8	9	11	6	7	9		1	1	1	2	3	4	1	1	2	
OXAA_ECOLI	C6EG98	B	Inner membrane protein oxaA	548	16	21	62	17	22	77	17	23	32	12	14	23	16	22	35	8	10	29	10	12	30	9	11	30		5	5	13	5	5	9	3	3	13	
YQJD_ECOLI	C6EHP5	B	Putative uncharacterized protein (Putative uncharacterized protein yqjD)	101	4	4	5	3	3	3	4	4	4	3	3	3	3	3	3	4	4	4	1	1	1	1	1	2		5	5	7	4	4	8	4	4	8	
HEMY_ECOLI	C6EG13	B	HemY protein (Predicted protoheme IX synthesis protein)	398	19	21	41	21	24	40	20	24	31	14	17	18	19	23	26	13	15	27	12	13	22	16	19	34		4	5	7	5	6	8	5	6	8	
YIBN_ECOLI	C6EDH8	B	Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	143	9	11	29	8	11	33	6	7	23	6	8	11	6	8	35	8	10	21	6	9	20	8	11	21		2	2	3	4	5	8	4	5	8	
YHCB_ECOLI	C6EGZ9	B	Putative uncharacterized protein (Putative uncharacterized protein yhcB)	132	11	15	41	12	15	48	10	12	20	8	9	21	10	13	22	11	14	45	9	12	43	11	14	43		7	8	22	7	9	23	7	7	21	
YCJF_ECOLI	C6EFR0	B	UPF0283 membrane protein ycjF	353	3	3	5	5	5	7	5	6	6	6	7	7	5	6	7	5	5	8	6	6	9	6	6	9		1	1	1	1	1	1	1	1	2	
MSCL_ECOLI	C6EGH6	B	Large-conductance mechanosensitive channel	136	5	6	10	5	6	9	7	7	7	7	7	7	6	7	7	3	3	5	3	3	6	3	3	6		1	1	1	1	1	1	1	1	1	
PPID_ECOLI	C6EL22	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	40	48	73	29	33	50	41	48	55	29	32	35	36	40	50	19	22	37	21	25	42	22	25	40		13	15	18	18	20	23	16	19	24	
FADE_ECOLI	C6EA67	B	Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	814	31	36	66	33	40	78	29	36	42	23	26	31	32	37	44	22	26	52	23	27	48	24	28	53		6	6	10	7	8	22	8	8	14	
SECD_ECOLI	C6ELH6	B	Protein-export membrane protein SecD	604	38	47	92	37	46	96	31	36	36	29	32	33	30	38	39	30	37	60	25	28	52	31	34	57		10	10	14	11	12	16	9	10	13	
PTW3C_ECOLI	C6EJQ6	B	Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)	648	10	13	22	10	12	22	9	11	11	6	7	8	9	10	11	10	10	12	6	6	9	7	7	8								1	1	1	
Null	C6ECH4	B	HflC protein (Modulator for HflB protease specific for phage lambda cII repressor)	334	29	42	113	30	43	111	25	32	40	22	26	30	26	37	48	20	25	62	20	25	49	22	26	58		5	6	9	4	5	10	5	7	13	
MSCS_ECOLI	C6EII5	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	286	9	10	27	9	11	28	7	7	8	6	6	6	8	8	8	5	5	10	4	4	8	5	5	10		1	1	2	1	1	2	1	1	3	
PTFBC_ECOLI	C6EA31	B	Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)	563	10	12	18	10	14	22	7	8	8	7	8	8	10	13	20	8	10	14	6	7	10	8	10	16								1	1	1	
YEBO_ECOLI	C6EC05	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	95	4	5	9	3	4	7	3	3	3				4	5	5	3	4	4	2	3	3	2	3	3					1	1	1	1	1	1	
HEMX_ECOLI	C6EG12	B	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	401	32	38	62	31	38	64	26	29	30	20	22	22	25	28	28	20	24	34	22	24	33	25	29	42		10	12	13	11	12	14	9	9	10	
HFLK_ECOLI	C6ECH5	B	HflK protein (Modulator for HflB protease specific for phage lambda cII repressor)	419	16	18	30	18	19	37	16	17	18	11	11	12	17	18	19	15	17	23	16	17	23	15	16	24		5	5	9	10	10	20	6	6	9	
CYDD_ECOLI	C6EI95	B	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	588	11	11	16	10	10	17	7	7	8	7	7	8	9	9	10	7	8	12	8	8	12	7	8	13					1	1	1	1	1	2	
PTM3C_ECOLI	C6EDJ3	B	Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components (PTS system, mannitol-specific IIC subunit)	637	12	15	24	14	17	27	14	14	14	9	9	9	16	16	16	4	4	5	2	2	2	3	3	4		1	1	1				3	3	3	
TATB_ECOLI	C6EF59	B	Sec-independent translocase (Twin-arginine translocation protein, TatB subunit)	171	5	5	8	5	5	9	5	5	6	5	5	6	7	7	7	5	5	9	4	4	7	5	5	8		1	1	1	2	2	3	1	1	1	
PTTBC_ECOLI	C6ECA8	B	Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component (PTS system, trehalose-specific IIBC subunit)	473	4	5	8	5	6	11	3	4	4	3	3	3	3	4	4	4	4	5	4	4	5	4	4	5					1	1	2	1	1	2	
MSBA_ECOLI	C6EI68	B	Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (Lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA)	582	18	22	32	18	19	31	22	22	24	18	19	20	19	21	24	18	19	26	14	15	22	14	15	22		4	4	6	2	2	3	4	4	6	
CYOB_ECOLI	C6EL35	B	Cytochrome o ubiquinol oxidase subunit I (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit I) (EC 1.9.3.1)	663	7	8	15	5	5	6	7	8	8	5	5	7	6	7	8	5	5	7	3	3	7	3	3	6		2	2	3	2	2	2	2	2	2	
SECY_ECOLI	C6EGG6	B	Preprotein translocase subunit secY	443	11	11	25	10	10	14	13	14	25	9	10	11	11	13	18	11	11	18	8	8	11	9	10	15		1	1	1	1	1	1	1	1	2	
PNTB_ECOLI	C6EDP6	B	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	462	10	10	24	11	12	30	10	10	11	10	10	11	13	13	14	8	8	16	7	7	12	8	8	17		3	3	5	3	3	5	3	3	7	
CPTA_ECOLI	C6EE54	B	Conserved inner membrane protein (Sulfatase)	577	29	36	103	30	36	108	22	26	31	18	20	27	26	31	40	20	22	57	21	24	53	20	22	55		5	6	13	6	7	14	7	8	18	
PROP_ECOLI	C6ED13	B	Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)	500	6	6	10	5	5	8	4	4	4	5	6	6	5	5	5	2	2	3	2	2	3	4	4	5		1	1	1	2	2	2	2	2	2	
YBAL_ECOLI	C6EKY6	B	Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	558	7	8	11	7	9	14	5	6	7	2	3	4	4	5	6	7	8	12	5	6	9	8	8	10					1	1	2	1	1	1	
KEFA_ECOLI	C6EKZ9	B	Fused conserved protein (MscS Mechanosensitive ion channel)	1120	16	17	20	17	18	25	13	13	13	9	9	16	8	8	8	11	11	14	13	13	15	13	13	16								1	1	1	
YTFL_ECOLI	C6ECC7	B	Predicted inner membrane protein (Putative uncharacterized protein)	447	9	11	22	8	9	16	10	11	11	6	6	6	8	9	9	3	3	5	2	2	6	3	3	4					2	2	4	2	2	4	
DAMX_ECOLI	C6EFI8	B	Putative uncharacterized protein damX (Sporulation domain protein)	428	15	17	26	22	24	35	15	17	19	13	14	16	13	14	15	14	16	26	18	19	25	18	21	26		7	7	8	7	8	11	8	9	11	
IGAA_ECOLI	C6EFH7	B	Intracellular growth attenuator IgaA	707	11	12	18	10	11	19	12	12	19	7	7	8	13	14	28	8	8	12	7	7	10	6	6	10		2	2	3	3	3	4	1	1	1	
YAJC_ECOLI	C6ELH7	B	Preprotein translocase subunit YajC (Preprotein translocase, YajC subunit)	110	9	13	124	8	12	121	7	10	49	6	7	14	6	10	26	7	9	31	7	8	28	9	12	31		5	6	19	4	5	15	4	6	17	
LOLE_ECOLI	C6EGX4	B	Lipoprotein releasing system, transmembrane protein LolE	412	6	6	8	7	7	10	6	6	6	6	6	6	4	4	4	4	4	5	7	7	8	9	9	11		1	1	1	1	1	1	1	1	1	
CYOA_ECOLI	C6EL34	B	Cytochrome o ubiquinol oxidase subunit II (EC 1.10.3.-) (Ubiquinol oxidase, subunit II)	315	7	7	20	7	7	23	9	9	13	6	7	12	8	9	15	7	7	18	6	6	17	6	6	18		1	1	1				1	1	1	
SECF_ECOLI	C6ELH5	B	Protein export protein SecF (Protein-export membrane protein SecF)	323	6	6	17	4	4	14	7	7	10	7	7	10	6	8	14	4	4	15	3	4	16	4	4	17		3	3	4	3	3	5	3	3	5	
RODZ_ECOLI	C6EKJ3	B	Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)	337	11	15	27	12	16	28	8	11	11	11	14	15	13	16	17	14	17	28	13	19	27	14	18	29		3	3	4	3	3	4	3	4	6	
FTSH_ECOLI	C6EH49	B	ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	647	35	44	120	37	48	133	40	49	86	38	45	65	46	53	79	38	46	110	33	41	95	35	45	109		18	22	65	18	22	48	18	22	71	
CYDA_ECOLI	C6EJK5	B	Cytochrome bd ubiquinol oxidase subunit I (Cytochrome d terminal oxidase, subunit I) (EC 1.9.3.-)	522	12	14	32	13	16	32	10	12	16	12	12	14	12	14	17	12	13	26	10	11	22	13	14	27		2	2	2	2	2	3	3	3	4	
PNTA_ECOLI	C6EDP5	B	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)	510	18	21	50	18	20	55	15	17	20	11	12	15	17	19	25	9	10	28	9	10	27	8	9	28					2	2	3	3	3	4	
KDPD_ECOLI	C6EJN9	B	Osmosensitive K channel His kinase sensor	894	6	7	12	5	6	22	4	4	8	2	2	2	5	5	5	3	3	5	4	4	5	3	3	5					1	1	2	1	2	4	
LEP_ECOLI	C6EK19	B	Signal peptidase I (EC 3.4.21.89)	324	13	15	23	14	17	28	9	11	11	10	12	12	11	12	12	8	9	11	7	8	10	8	9	11		1	1	1	1	1	1	1	2	2	
OPGH_ECOLI	C6EHG3	B	Glycosyl transferase family 2	837	13	14	24	14	15	28	15	16	18	11	11	14	13	14	16	9	11	18	9	10	17	10	11	18		2	2	2	4	4	4	3	3	3	
CPXA_ECOLI	C6EEY6	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	457	11	11	19	13	14	23	15	16	17	11	11	11	14	15	15	9	9	14	7	7	11	8	8	13		2	2	2	2	2	2	2	2	5	
SMP_ECOLI	C6EBI4	B	Putative uncharacterized protein (Putative uncharacterized protein smp)	214	6	6	8	4	4	7	3	3	3	6	6	6	5	5	5	4	4	5	4	4	6	3	3	5		2	2	2	1	1	1	1	1	1	
PTKC_ECOLI	C6EAL8	B	Galactitol-specific enzyme IIC component of PTS (PTS system, galactitol-specific IIC subunit)	451	4	5	8	5	6	9	7	9	9	6	8	8	6	8	9	5	6	8	5	5	7	6	7	10		1	1	1				1	2	3	
NHAB_ECOLI	C6EGT1	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	513	2	2	3	2	2	3	4	4	4	3	3	4	3	3	4	2	2	3	2	2	3	3	3	4								1	1	1	
WZZE_ECOLI	C6EG27	B	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	348	10	10	18	9	9	16	8	9	10	8	8	16	8	8	9	6	6	9	5	5	7	7	7	12								1	1	2	
EPTA_ECOLI	C6ED10	B	Predicted metal dependent hydrolase (Sulfatase)	547	17	19	41	16	21	42	9	10	13	5	6	8	12	15	19	6	7	11	6	7	11	8	8	15		3	3	4	3	3	5	4	5	9	
PITA_ECOLI	C6EEJ2	B	Phosphate transporter (Phosphate transporter, low-affinity)	499	3	4	6	3	3	5	3	3	3	2	2	3	4	4	5	1	1	1	1	1	1	1	1	1								1	1	1	
RSEP_ECOLI	C6EAA9	B	Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	450	9	11	18	9	9	16	6	6	6	4	4	4	7	7	7	4	5	9	5	5	10	5	5	9					1	1	1	1	1	1	
ARNC_ECOLI	C6E9U6	B	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.7.8.n1) (Undecaprenyl-phosphate Ara4FN transferase)	322	13	18	36	13	16	34	11	12	14	8	8	9	13	14	18	11	14	30	10	11	24	11	14	31		4	4	6	3	3	6	4	5	8	
FTSX_ECOLI	C6EFB2	B	Predicted transporter subunit: membrane component of ABC superfamily (Protein insertion ABC transporter, inner membrane subunit FtsX)	352	9	10	16	8	9	16	7	8	8	5	6	6	7	7	7	8	9	11	6	7	9	6	6	8		1	1	1	2	2	2	2	2	2	
ATZN_ECOLI	C6EFA5	B	Heavy metal translocating P-type ATPase	732	20	21	38	24	27	43	14	17	21	15	15	16	16	18	18	14	15	24	14	15	22	14	15	21		4	4	6	4	4	6	6	7	18	
HTRB_ECOLI	C6EHF9	B	Lipid A biosynthesis lauroyl (Or palmitoleoyl) acyltransferase (Lipid A biosynthesis lauroyl acyltransferase) (EC 2.3.1.-)	306	3	4	5	3	3	5	3	4	4	2	2	2	3	3	3				1	1	1	1	1	1					2	2	2	2	2	2	
YGIM_ECOLI	C6EHU0	B	Predicted signal transduction protein (SH3 domain) (SH3 domain protein)	206	15	19	32	14	20	36	11	16	16	12	16	17	14	20	22	11	13	15	10	14	22	10	14	22		2	2	2	3	4	4	6	7	8	
YFHK_ECOLI	C6EKF1	B	Histidine kinase (Predicted sensory kinase in two-component system)	475	6	6	10	8	8	12				2	2	2	5	5	5	4	4	6	3	3	3	4	4	6								1	1	1	
NUOA_ECOLI	C6E9R4	B	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	147	4	5	13	4	5	13	4	5	7	4	6	9	4	6	10	4	5	13	4	5	12	4	5	13		3	4	7	3	4	8	2	3	6	
TATA_ECOLI	C6EF60	B	Twin arginate translocase protein A (Twin-arginine translocation protein, TatA/E family subunit)	89	6	8	9	5	7	7	9	12	13	9	11	12	10	14	16	4	4	4	4	4	5	4	4	4		3	4	4	3	3	3	1	1	1	
WZZB_ECOLI	C6EB58	B	Lipopolysaccharide biosynthesis protein	326	12	15	28	11	15	29	9	10	10	5	6	8	11	13	14	7	8	17	6	7	13	6	7	14		5	5	7	5	5	7	3	3	6	
CYDC_ECOLI	C6EI96	B	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	573	7	8	16	11	12	23	9	10	10	6	6	6	11	12	12	8	8	11	9	9	11	7	7	10					3	3	5	3	4	7	
YJIY_ECOLI	C6EBM6	B	Carbon starvation protein CstA (Predicted inner membrane protein)	716	3	3	4	4	4	7	5	5	5	3	3	3	4	4	4	4	4	6	4	4	5	4	4	6		2	2	3	2	2	3	2	2	3	
YDJN_ECOLI	C6ECM9	B	Predicted transporter (Sodium:dicarboxylate symporter)	463	5	6	13	5	7	16	6	7	9	3	3	3	6	7	8	5	6	9	5	6	11	5	6	11		3	3	3	3	4	4	3	4	4	
CORA_ECOLI	C6EFZ7	B	Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	316	6	7	15	6	7	15	9	9	11	4	5	6	4	5	6	5	5	11	5	5	10	5	5	12					1	1	2	1	1	2	
ZIPA_ECOLI	C6EL66	B	Cell division protein zipA	328	3	5	5	4	5	6	3	4	4	3	3	3	3	4	4	3	3	3	3	3	3	3	3	3		3	4	4	2	3	3	2	2	4	
TOLQ_ECOLI	C6EJK0	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolQ)	230	8	11	18	9	13	23	6	7	7	4	5	5	5	7	7	4	5	7	4	5	7	4	5	7		2	3	3	3	4	4	2	2	2	
LLDD_ECOLI	C6EDI4	B	FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase, FMN-linked) (EC 1.1.2.3)	396	4	5	6	2	2	3	2	2	2	2	2	2	1	1	1	3	3	5	2	2	2	2	2	2		2	2	3	2	2	4	3	3	5	
LPTG_ECOLI	C6EC89	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	360	7	8	14	8	11	17	6	7	8	5	5	5	5	5	6	4	4	8	5	5	8	5	5	10		2	2	3	2	2	3	2	2	3	
KDGL_ECOLI	C6EDX8	B	Diacylglycerol kinase (EC 2.7.1.107)	122	1	1	1	1	1	1	2	2	2	2	3	3	2	3	3	2	2	2	2	2	2	2	2	2		1	1	1	2	2	2	2	2	2	
SECG_ECOLI	C6EH52	B	Preprotein translocase, SecG subunit (Protein-export membrane protein)	110	3	3	8	3	3	8	3	3	5	3	3	5	3	3	5	3	3	9	3	3	11	3	3	9		3	3	5	2	2	4	2	2	4	
